"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",73.1922222222222,"Up",3.227e+09,-2.117e+09,1.11e+09,-5.68e+08,-4.07e+08,-1.61e+08,5.42e+08,-3.6e+07,-2.6e+07,-1e+07,5.06e+08,-6.1e+07,4.45e+08,-3.9e+07,4.06e+08,-1e+06,-1e+06,4.05e+08,4.05e+08,4.05e+08,7.73e+08,7.73e+08,2.244e+09,2.244e+09,1.66e+09,4.69e+08,4.69e+08,5.146e+09,3.046e+09,9.864e+09,1.768e+09,5.382e+09,2.28e+09,4.34e+08,1.291e+10,1.8056e+10,1.226e+09,1.226e+09,8.79e+08,3.935e+09,3.073e+09,2.295e+09,1.474e+09,4.73e+08,3.48e+08,5.368e+09,9.303e+09,1.315e+09,-1.639e+09,9.661e+09,-5.84e+08,8.753e+09,8.753e+09,1.8056e+10,4.06e+08,1.52e+08,-1.3e+07,-2.4e+07,5.21e+08,-1.51e+08,7999999.99999999,-1.43e+08,-1.31e+08,-8.3e+07,-6.6e+07,-3000000.00000001,-2.83e+08,9.5e+07,9.5e+07,1.3e+07,1.08e+08,6.94e+08,3.952e+09,5.58e+08,0.34397,0.16796,0.1255,0.04627,0.02243,1.37778,1.30775,1.06284,0.21887,1.13764,1.12813,9.06461,24.58708,1.56742,0.36798,8,0.03573,0.0372,0.32346,4.58069,5.86531
"31","2017_Q4",84.1579365079365,"Up",3.367e+09,-2.227e+09,1.14e+09,-5.76e+08,-4.08e+08,-1.68e+08,5.64e+08,-4.1e+07,-2.9e+07,-1.2e+07,5.23e+08,-2e+07,5.03e+08,-7.1e+07,4.32e+08,3e+06,3e+06,4.35e+08,4.35e+08,4.35e+08,7.55e+08,7.55e+08,2.271e+09,2.271e+09,1.787e+09,5.41e+08,5.41e+08,5.354e+09,3.165e+09,1.0001e+10,1.79e+09,5.516e+09,2.287e+09,4.08e+08,1.3166e+10,1.852e+10,1.309e+09,1.309e+09,8.78e+08,3.872e+09,3.113e+09,2.394e+09,1.494e+09,4.8e+08,4.2e+08,5.507e+09,9.379e+09,1.57e+08,-2.57e+08,9.747e+09,-5.06e+08,9.141e+09,9.141e+09,1.852e+10,4.32e+08,1.57e+08,1.5e+07,-8e+07,5.23e+08,-1.59e+08,-5e+06,-2.41e+08,-1.42e+08,0,-1.56e+08,-2e+06,-2.99e+08,-1.7e+07,-1.7e+07,-1e+06,-1.8e+07,7.21e+08,3.991e+09,5.53e+08,0.33858,0.16751,0.1292,0.04759,0.02349,1.27126,1.38275,1.02604,0.2155,1.23229,1.2117,9.53824,25.89518,1.56657,0.40227,7,0.03716,0.03562,0.32644,4.48821,5.73759
"32","2018_Q1",92.823606557377,"Up",2.528e+09,-1.662e+09,8.66e+08,-4.87e+08,-3.61e+08,-1.26e+08,3.79e+08,-4.4e+07,-3.3e+07,-1.1e+07,3.35e+08,-2.3e+07,3.12e+08,-16000000.0000001,2.96e+08,1.38e+08,1.38e+08,4.34e+08,4.34e+08,4.34e+08,1.218e+09,1.218e+09,2.138e+09,2.138e+09,1.647e+09,9.23e+08,5.78e+08,5.926e+09,3.159e+09,1.0318e+10,1.841e+09,5.651e+09,2.141e+09,6.85e+08,1.3477e+10,1.9403e+10,1.387e+09,1.387e+09,7.1e+08,3.847e+09,3.634e+09,2.171e+09,1.158e+09,5.29e+08,4.84e+08,5.805e+09,9.652e+09,1.57e+08,-4.21e+08,1.0175e+10,-1.6e+08,9.751e+09,9.751e+09,1.9403e+10,2.96e+08,1.42e+08,3.3e+07,3.53e+08,8.73e+08,-2.2e+08,1.8e+07,-3.94e+08,-1.41e+08,3.32e+08,-2.07e+08,1.9e+07,-2.3e+07,4.56e+08,4.56e+08,7e+06,4.63e+08,5.21e+08,4.344e+09,6.7e+08,0.34256,0.14992,0.17168,0.04451,0.02237,1.54378,1.54042,0.98985,0.22388,1.22254,1.22254,7.12113,27.46761,1.88732,0.39718,6,0.03535,0.04119,0.32488,6,8.24802
"33","2018_Q2",88.34265625,"Down",3.336e+09,-2.172e+09,1.164e+09,-5.42e+08,-3.77e+08,-1.65e+08,6.22e+08,-2e+07,-2.2e+07,2e+06,6.02e+08,-3.6e+07,5.66e+08,-5.99e+08,-3.3e+07,-7e+06,-7e+06,-4e+07,-4e+07,-4e+07,7.04e+08,7.04e+08,2.378e+09,2.378e+09,1.984e+09,6.67e+08,6.67e+08,5.733e+09,3.527e+09,9.551e+09,1.806e+09,5.672e+09,1.615e+09,4.58e+08,1.3078e+10,1.8811e+10,1.556e+09,1.556e+09,6.88e+08,3.635e+09,3.317e+09,2.228e+09,1.15e+09,5.41e+08,5.37e+08,5.545e+09,9.18e+09,1.57e+08,-4.89e+08,1.0047e+10,-8.4e+07,9.631e+09,9.631e+09,1.8811e+10,-3.3e+07,1.62e+08,5.49e+08,-3.95e+08,3.5e+08,-2.37e+08,16717256.4791952,-2.41e+08,-1.41e+08,-3.48e+08,-1.13e+08,3.1e+07,-6.34e+08,-5.25e+08,-5.25e+08,1.1e+07,-5.14e+08,7.84e+08,4.005e+09,7.51e+08,0.34892,0.18645,-0.01199,-0.00415,-0.00213,-18.775,1.57717,0.95317,0.21291,-0.11364,-0.11364,9.47727,27.3608,2.13352,0.40057,6,0.00637,0.04734,-3.525,4.21046,5.30707
"34","2018_Q3",85.227619047619,"Down",3.562e+09,-2.35e+09,1.212e+09,-5.82e+08,-4.09e+08,-1.73e+08,6.3e+08,-2.3e+07,-2.4e+07,1e+06,6.07e+08,-9e+06,5.98e+08,-1.08e+08,4.9e+08,0,0,4.9e+08,4.9e+08,4.9e+08,5.59e+08,5.59e+08,2.643e+09,2.643e+09,2.045e+09,7.13e+08,7.13e+08,5.96e+09,3.676e+09,9.611e+09,1.786e+09,5.73e+09,1.631e+09,4.64e+08,1.3287e+10,1.9247e+10,1.613e+09,1.613e+09,6.75e+08,4.164e+09,3.335e+09,2.268e+09,1.149e+09,5.4e+08,5.79e+08,5.603e+09,9.767e+09,1.57e+08,-5.85e+08,9.957e+09,-4.9e+07,9.48e+09,9.48e+09,1.9247e+10,4.9e+08,1.67e+08,7e+06,-3.02e+08,3.77e+08,-1.95e+08,-2e+06,-2.01e+08,-1.4e+08,-15999999.9999999,-1.74e+08,1.1e+07,-3.3e+08,-1.54e+08,-1.54e+08,9e+06,-1.45e+08,7.97e+08,4.01e+09,4.08e+08,0.34026,0.17687,0.13756,0.05169,0.02546,0.832650000000001,1.43132,1.03027,0.20834,1.4,1.36872,10.17714,27.08571,1.16571,0.4,6,0.03998,0.02589,0.28571,4.32999,5.47778
"35","2018_Q4",71.7396825396825,"Down",4.091e+09,-2.83e+09,1.261e+09,-6.35e+08,-4.34e+08,-2.01e+08,6.26e+08,-2.4e+07,-2.3e+07,-1e+06,6.02e+08,-7e+07,5.32e+08,-8.2e+07,4.5e+08,4e+06,4e+06,4.54e+08,4.54e+08,4.54e+08,7.7e+08,7.7e+08,2.591e+09,2.591e+09,1.961e+09,6.19e+08,6.19e+08,5.941e+09,3.633e+09,9.439e+09,1.698e+09,5.616e+09,1.672e+09,4.53e+08,1.3072e+10,1.9013e+10,1.583e+09,1.583e+09,7.14e+08,4.046e+09,3.294e+09,2.181e+09,1.119e+09,5.38e+08,5.24e+08,5.475e+09,9.521e+09,1.57e+08,-7.98e+08,1.0432e+10,-2.99e+08,9.492e+09,9.492e+09,1.9013e+10,4.5e+08,1.85e+08,-1.9e+07,2.66e+08,8e+08,-2.35e+08,-6e+06,-2.33e+08,-1.54e+08,4.6e+07,-2.28e+08,-7.6e+07,-3.38e+08,2.29e+08,2.29e+08,-1.8e+07,2.11e+08,8.11e+08,4.008e+09,9.24e+08,0.30824,0.15302,0.11098,0.04783,0.02388,2.03524,1.46836,1.00306,0.2108,1.29345,1.28977,11.65527,27.04274,2.63248,0.43875,7,0.03877,0.05892,0.33921,3.9926,5.17252
"36","2019_Q1",75.604262295082,"Up",2.999e+09,-1.891e+09,1.108e+09,-5.15e+08,-3.74e+08,-1.41e+08,5.93e+08,-2.4e+07,-2.3e+07,-1e+06,5.69e+08,-2.5e+07,5.44e+08,1.133e+09,1.677e+09,-1.6e+07,-1.6e+07,1.661e+09,1.661e+09,1.661e+09,8.48e+08,8.48e+08,2.361e+09,2.361e+09,1.857e+09,1.133e+09,6.61e+08,6.199e+09,3.497e+09,1.069e+10,1.704e+09,5.684e+09,2.144e+09,1.158e+09,1.4187e+10,2.0386e+10,1.548e+09,1.548e+09,9.63e+08,4.41e+09,3.037e+09,2.108e+09,1.102e+09,5.19e+08,4.87e+08,5.145e+09,9.555e+09,1.57e+08,-1.134e+09,1.2114e+10,-3.06e+08,1.0831e+10,1.0831e+10,2.0386e+10,1.677e+09,1.53e+08,-1.173e+09,1.17e+08,9.24e+08,-2.45e+08,0,-4.19e+08,-1.53e+08,-1e+06,-2.64e+08,1.27e+08,-4.2e+08,8.5e+07,8.5e+07,-6999999.99999999,7.8e+07,7.46e+08,4e+09,-5.15e+08,0.36946,0.19773,0.55385,0.15336,0.08148,-0.31005,1.40567,0.88219,0.19621,4.78674,4.74571,8.64265,31.21326,-1.48415,0.44092,7,0.10709,-0.0304,0.0921099999999999,4.2252,5.31535
"37","2019_Q2",84.9796825396825,"Up",3.347e+09,-2.233e+09,1.114e+09,-5.5e+08,-3.89e+08,-1.61e+08,5.64e+08,-2.3e+07,-2.2e+07,-1e+06,5.41e+08,-8e+07,4.61e+08,-7.8e+07,3.83e+08,-1.07e+08,-1.07e+08,2.76e+08,2.76e+08,2.76e+08,5.05e+08,5.05e+08,2.38e+09,2.38e+09,1.986e+09,5.07e+08,5.07e+08,5.378e+09,3.55e+09,1.026e+10,1.648e+09,5.648e+09,2.58e+09,3.84e+08,1.381e+10,1.9188e+10,1.538e+09,1.538e+09,5.85e+08,3.471e+09,3.382e+09,2.099e+09,1.101e+09,5.42e+08,4.56e+08,5.481e+09,8.952e+09,1.57e+08,-1.55e+09,1.1886e+10,-2.57e+08,1.0236e+10,1.0236e+10,1.9188e+10,3.83e+08,1.68e+08,5.3e+07,-2.76e+08,2.97e+08,-2.1e+08,4e+06,8e+07,-1.5e+08,-2.8e+07,-5.12e+08,-6.2e+07,-7.19e+08,-3.42e+08,-3.42e+08,-1e+06,-3.43e+08,7.32e+08,3.967e+09,3.24e+08,0.33284,0.16851,0.08246,0.02696,0.01438,1.17391,1.54941,0.87456,0.20674,0.80702,0.80233,9.78655,29.92982,0.94737,0.4386,6,0.02613,0.01987,0.54348,4.72951,6.1383
"38","2019_Q3",87.125625,"Up",3.412e+09,-2.294e+09,1.118e+09,-5.39e+08,-3.73e+08,-1.66e+08,5.79e+08,-1e+07,-1.1e+07,1e+06,5.69e+08,-4.9e+07,5.2e+08,-91000000.0000001,4.29e+08,1e+07,1e+07,4.39e+08,4.39e+08,4.39e+08,5.65e+08,5.65e+08,2.463e+09,2.463e+09,1.97e+09,4.48e+08,4.48e+08,5.446e+09,3.596e+09,1.022e+10,1.596e+09,5.626e+09,2.607e+09,3.91e+08,1.3816e+10,1.9262e+10,1.485e+09,1.485e+09,6.12e+08,3.867e+09,3.37e+09,2.031e+09,1.081e+09,5.29e+08,4.21e+08,5.401e+09,9.268e+09,1.57e+08,-1.713e+09,1.171e+10,-1.6e+08,9.994e+09,9.994e+09,1.9262e+10,4.29e+08,1.73e+08,1.7e+07,-63999999.9999999,5.56e+08,-1.78e+08,4e+06,-1.65e+08,-1.49e+08,2.7e+07,-2.1e+08,0,-3.33e+08,57999999.9999999,57999999.9999999,2e+06,6e+07,7.52e+08,3.982e+09,6.01e+08,0.32767,0.1697,0.12866,0.04393,0.02279,1.36902,1.40833,0.92736,0.20673,1.29882,1.29118,10.09467,29.56805,1.77811,0.44083,4,0.03673,0.03755,0.33941,4.54388,5.90155
"39","2019_Q4",88.12421875,"Up",3.389e+09,-2.279e+09,1.11e+09,-5.14e+08,-3.56e+08,-1.58e+08,5.96e+08,-7e+06,-9e+06,2e+06,5.89e+08,-7.6e+07,5.13e+08,2.45e+08,7.58e+08,-999999.999999985,-999999.999999985,7.57e+08,7.57e+08,7.57e+08,5.46e+08,5.46e+08,2.463e+09,2.463e+09,1.961e+09,4.52e+08,4.52e+08,5.422e+09,3.636e+09,1.069e+10,1.664e+09,5.8e+09,2.845e+09,3.81e+08,1.4326e+10,1.9748e+10,1.438e+09,1.438e+09,6.02e+08,3.694e+09,3.434e+09,1.998e+09,1.094e+09,4.43e+08,4.61e+08,5.432e+09,9.126e+09,1.54e+08,-1.224e+09,1.1893e+10,-2.01e+08,1.0622e+10,1.0622e+10,1.9748e+10,7.58e+08,1.74e+08,-2.42e+08,2e+06,6.91e+08,-1.66e+08,-5e+06,-4.54e+08,-1.55e+08,3.6e+07,-1.36e+08,-3e+06,-2.57e+08,-2e+07,-2e+07,1e+06,-1.9e+07,7.7e+08,4.036e+09,3.61e+08,0.32753,0.17586,0.22337,0.07127,0.03833,0.47688,1.46779,0.85916,0.20438,2.24629,2.23304,10.05638,31.51929,1.07122,0.45994,5,0.05476,0.02167,0.20476,4.53247,5.8557
"40","2020_Q1",81.6445161290323,"Down",3.3e+09,-2.248e+09,1.052e+09,-5.31e+08,-3.72e+08,-1.59e+08,5.21e+08,-7e+06,-7e+06,-4.65661287307739e-10,5.14e+08,-7.7e+07,4.37e+08,-6.1e+07,3.76e+08,-4e+06,-4e+06,3.72e+08,3.72e+08,3.72e+08,9.27e+08,9.27e+08,2.32e+09,2.32e+09,1.836e+09,4.71e+08,4.71e+08,5.554e+09,3.574e+09,1.0566e+10,1.596e+09,5.74e+09,2.776e+09,4.54e+08,1.414e+10,1.9694e+10,1.357e+09,1.357e+09,5.7e+08,3.54e+09,3.395e+09,2.189e+09,1.367e+09,3.95e+08,4.27e+08,5.584e+09,9.124e+09,1.54e+08,-1.337e+09,1.2256e+10,-5.03e+08,1.057e+10,1.057e+10,1.9694e+10,3.76e+08,1.75e+08,1.23e+08,2.05e+08,8.78e+08,-1.52e+08,-1e+06,-1.53e+08,-1.54e+08,-3.1e+07,-1.48e+08,-2000000.00000001,-3.34e+08,3.91e+08,3.91e+08,-1e+07,3.81e+08,6.96e+08,3.965e+09,8.1e+08,0.31879,0.15788,0.11273,0.03519,0.01889,2.17742,1.56893,0.8632,0.20133,1.11045,1.10386,9.85075,31.55224,2.41791,0.4597,6,0.03145,0.04843,0.41398,4.36494,5.83109
"41","2020_Q2",72.4574603174603,"Down",3.168e+09,-2.138e+09,1.03e+09,-5.28e+08,-3.67e+08,-1.61e+08,5.02e+08,-1e+06,-6e+06,5e+06,5.01e+08,-3.1e+07,4.7e+08,-4.47e+08,2.3e+07,3e+06,3e+06,2.6e+07,2.6e+07,2.6e+07,7.42e+08,7.42e+08,2.338e+09,2.338e+09,2.003e+09,4.83e+08,4.83e+08,5.566e+09,3.659e+09,1.0751e+10,1.602e+09,5.846e+09,2.36e+09,9.43e+08,1.441e+10,1.9976e+10,1.433e+09,1.433e+09,5.61e+08,3.404e+09,3.412e+09,2.603e+09,1.365e+09,3.89e+08,8.49e+08,6.015e+09,9.419e+09,1.54e+08,-1.389e+09,1.2206e+10,-4.14e+08,1.0557e+10,1.0557e+10,1.9976e+10,2.3e+07,1.74e+08,4.73e+08,-2.59e+08,4.11e+08,-1.76e+08,2e+06,-2.89e+08,-1.54e+08,-9e+06,-1.25e+08,-2.6e+07,-3.14e+08,-1.92e+08,-1.92e+08,7e+06,-1.85e+08,6.76e+08,3.973e+09,6.88e+08,0.32513,0.15846,0.00821,0.00246,0.0013,26.46154,1.63514,0.8922,0.19889,0.07761,0.07715,9.45672,31.51343,2.05373,0.4597,6,0.01051,0.04016,5.92308,4.77959,6.43625
"42","2020_Q3",89.0325,"Up",3.195e+09,-2.166e+09,1.029e+09,-5.1e+08,-3.52e+08,-1.58e+08,5.19e+08,5e+06,-6e+06,1.1e+07,5.24e+08,-9.34e+08,-4.1e+08,-4.2e+07,-4.52e+08,-4e+06,-4e+06,-4.56e+08,-4.56e+08,-4.56e+08,7.96e+08,7.96e+08,2.461e+09,2.461e+09,2.001e+09,4.57e+08,4.57e+08,5.715e+09,3.558e+09,1.0094e+10,1.547e+09,5.235e+09,2.382e+09,9.3e+08,1.3652e+10,1.9367e+10,1.39e+09,1.39e+09,6.03e+08,3.959e+09,3.752e+09,2.485e+09,1.359e+09,3.54e+08,7.72e+08,6.237e+09,1.0196e+10,1.54e+08,-1.639e+09,1.1122e+10,-5.71e+08,9.066e+09,9.171e+09,1.9367e+10,-4.52e+08,1.8e+08,8.9e+08,-1.37e+08,4.81e+08,-1.3e+08,-4e+06,-3.78e+08,-1.53e+08,3.83e+08,-2.56e+08,-5e+06,-3.1e+07,72000000.0000001,72000000.0000001,-1.8e+07,53999999.9999999,6.99e+08,4.355e+09,4.74e+08,0.32207,0.16244,-0.14272,-0.04972,-0.02355,-1.03947,1.44355,1.11177,0.22487,-1.36937,-1.37764,9.59459,27.22523,1.42342,0.45946,4,-0.01892,0.0296,-0.33553,5.09156,6.85742
"43","2020_Q4",107.1521875,"Up",2.548e+09,-1.841e+09,7.07e+08,-4.67e+08,-3.21e+08,-1.46e+08,2.4e+08,-7e+06,-1.1e+07,4e+06,2.33e+08,-1.06e+08,1.27e+08,-1.85e+08,-5.8e+07,1.7e+07,1.7e+07,-4.1e+07,-4.1e+07,-4.1e+07,4.74e+08,4.74e+08,2.146e+09,2.146e+09,2.227e+09,4.72e+08,4.72e+08,5.319e+09,3.598e+09,9.923e+09,1.612e+09,5.143e+09,2.286e+09,8.82e+08,1.3521e+10,1.884e+10,1.271e+09,1.271e+09,6.91e+08,3.727e+09,3.395e+09,2.574e+09,1.366e+09,4.05e+08,8.03e+08,5.969e+09,9.696e+09,1.49e+08,-7.29e+08,1.0125e+10,-5.09e+08,9.036e+09,9.144e+09,1.884e+10,-5.8e+07,1.76e+08,1.97e+08,6.5e+07,3.8e+08,-1.27e+08,1.5e+07,-8.1e+07,-1.59e+08,-3.52e+08,-1.13e+08,-1e+06,-6.25e+08,-3.26e+08,-3.26e+08,4e+06,-3.22e+08,4.16e+08,4.086e+09,5.39e+08,0.27747,0.09419,-0.01609,-0.00448,-0.00218,-13.14634,1.42715,1.06037,0.21688,-0.12387,-0.12387,7.69789,27.29909,1.6284,0.48036,3,0.00747,0.03411,-3.87805,8.68269,15.05
"44","2021_Q1",125.419836065574,"Up",3.261e+09,-2.292e+09,9.69e+08,-5e+08,-3.52e+08,-1.48e+08,4.69e+08,-1e+07,-1e+07,0,4.59e+08,-1.22e+08,3.37e+08,-1.09e+08,2.28e+08,2e+06,2e+06,2.3e+08,2.3e+08,2.3e+08,9.45e+08,9.45e+08,2.377e+09,2.377e+09,1.95e+09,5.12e+08,5.12e+08,5.784e+09,3.65e+09,9.808e+09,1.593e+09,5.224e+09,2.178e+09,8.13e+08,1.3458e+10,1.9242e+10,2.996e+09,1.276e+09,6.94e+08,3.69e+09,3.452e+09,2.605e+09,1.336e+09,3.95e+08,8.74e+08,6.057e+09,9.747e+09,1.49e+08,-6.69e+08,1.0348e+10,-4.45e+08,9.383e+09,9.495e+09,1.9242e+10,2.28e+08,1.81e+08,1.25e+08,1.85e+08,7.2e+08,-1.1e+08,4e+06,-1.17e+08,-1.59e+08,0,2.6e+07,-999999.999999999,-1.35e+08,4.68e+08,4.68e+08,3e+06,4.71e+08,6.5e+08,4.146e+09,8.34e+08,0.29715,0.14382,0.07053,0.02422,0.01195,3.62609,1.56748,1.02654,0.21547,0.69909,0.69909,9.91185,28.51976,2.53495,0.48328,5,0.02394,0.05134,0.6913,4.92462,6.82516
"45","2021_Q2",131.267142857143,"Up",3.522e+09,-2.376e+09,1.146e+09,-5.23e+08,-3.61e+08,-1.62e+08,6.23e+08,-1.3e+07,-1.2e+07,-1e+06,6.1e+08,-1.75e+08,4.35e+08,-6e+07,3.75e+08,6e+06,6e+06,3.81e+08,3.81e+08,3.81e+08,1.098e+09,1.098e+09,2.64e+09,2.64e+09,2.066e+09,6.77e+08,6.77e+08,6.481e+09,3.768e+09,1.0017e+10,1.613e+09,5.387e+09,2.198e+09,8.19e+08,1.3785e+10,2.0266e+10,3.398e+09,1.629e+09,6.85e+08,4.083e+09,3.516e+09,2.688e+09,1.329e+09,4.1e+08,9.49e+08,6.204e+09,1.0287e+10,1.49e+08,-6.55e+08,1.0672e+10,-3.05e+08,9.861e+09,9.979e+09,2.0266e+10,3.75e+08,1.87e+08,3.4e+07,4.4e+07,6.4e+08,-1.41e+08,2e+06,-2.46e+08,-1.59e+08,-3e+07,-4.4e+07,-1.9e+07,-2.52e+08,1.42e+08,1.42e+08,1.1e+07,1.53e+08,8.1e+08,4.201e+09,7.73e+08,0.32538,0.17689,0.10818,0.03818,0.0188,2.02887,1.58731,1.03086,0.20729,1.15106,1.14414,10.64048,29.79154,2.33535,0.48036,7,0.03201,0.04583,0.41732,3.83086,4.98074
"46","2021_Q3",141.92703125,"Up",3.738e+09,-2.528e+09,1.21e+09,-5.75e+08,-4.01e+08,-1.74e+08,6.35e+08,-1e+06,-5e+06,4e+06,6.34e+08,-2.3e+07,6.11e+08,-1.06e+08,5.05e+08,1e+06,1e+06,5.06e+08,5.06e+08,5.06e+08,1.748e+09,1.748e+09,2.921e+09,2.921e+09,2.134e+09,6.19e+08,6.19e+08,7.422e+09,3.662e+09,9.883e+09,1.548e+09,5.342e+09,2.204e+09,7.89e+08,1.3545e+10,2.0967e+10,4.12e+09,1.793e+09,9.19e+08,5.039e+09,3.602e+09,2.543e+09,1.299e+09,4.17e+08,8.27e+08,6.145e+09,1.1184e+10,2.63e+08,-7.75e+08,1.0541e+10,-2.46e+08,9.783e+09,9.783e+09,2.0967e+10,5.05e+08,1.93e+08,2.8e+07,-1.46e+08,5.8e+08,-8.5e+07,8e+06,-7.7e+07,-1.59e+08,4.11e+08,-9.6e+07,-5e+06,1.51e+08,6.54e+08,6.54e+08,-4e+06,6.5e+08,8.28e+08,4.521e+09,7.03e+08,0.3237,0.16988,0.13537,0.05172,0.02413,1.38933,1.47291,1.14321,0.21562,1.5287,1.51952,11.29305,29.55589,2.12387,0.48036,8,0.03947,0.04173,0.31423,3.34903,4.36693
"47","2021_Q4",152.4809375,"Up",3.845e+09,-2.577e+09,1.268e+09,-5.34e+08,-3.66e+08,-1.68e+08,7.34e+08,-9e+06,-1.1e+07,2e+06,7.25e+08,-2e+07,7.05e+08,-1.24e+08,5.81e+08,-1e+06,-1e+06,5.8e+08,5.8e+08,5.8e+08,1.416e+09,1.416e+09,2.985e+09,2.985e+09,2.392e+09,6.01e+08,6.01e+08,7.394e+09,3.723e+09,9.941e+09,1.516e+09,5.401e+09,2.224e+09,8e+08,1.3664e+10,2.1058e+10,4.157e+09,1.938e+09,5.05e+08,4.662e+09,3.629e+09,2.605e+09,1.305e+09,4.48e+08,8.52e+08,6.234e+09,1.0896e+10,2.64e+08,-7.78e+08,1.0892e+10,-2.16e+08,1.0162e+10,1.0162e+10,2.1058e+10,5.81e+08,2.1e+08,2.6e+07,-1.35e+08,6.82e+08,-1.43e+08,-1.2e+07,-1.74e+08,-1.65e+08,-4.26e+08,-2.48e+08,-3e+06,-8.42e+08,-3.34e+08,-3.34e+08,2e+06,-3.32e+08,9.44e+08,4.134e+09,7.9e+08,0.32978,0.1909,0.15085,0.05708,0.02754,1.36207,1.58601,1.07223,0.19631,1.75227,1.74174,11.61631,30.70091,2.38671,0.49849,8,0.04408,0.04674,0.28448,2.87924,3.703
"48","2022_Q1",141.526612903226,"Down",3.818e+09,-2.555e+09,1.263e+09,-5.57e+08,-3.84e+08,-1.73e+08,7.06e+08,-3.3e+07,-1.1e+07,-2.2e+07,6.73e+08,-4.6e+07,6.27e+08,1.67e+08,7.94e+08,0,0,7.94e+08,7.94e+08,7.94e+08,1.203e+09,1.203e+09,2.928e+09,2.928e+09,2.511e+09,6.21e+08,6.21e+08,7.263e+09,3.778e+09,1.0421e+10,1.549e+09,5.59e+09,2.499e+09,7.83e+08,1.4199e+10,2.1462e+10,4.153e+09,1.911e+09,5.03e+08,4.656e+09,3.589e+09,2.469e+09,1.139e+09,4.83e+08,8.47e+08,6.058e+09,1.0714e+10,1.48e+08,-1.055e+09,1.1709e+10,-1.68e+08,1.0634e+10,1.0748e+10,2.1462e+10,7.94e+08,1.79e+08,-2.43e+08,4.4e+07,7.74e+08,-2.35e+08,-8e+06,-5.4e+08,-1.64e+08,-2e+06,-2.76e+08,-1e+06,-4.43e+08,-2.09e+08,-2.09e+08,-4e+06,-2.13e+08,8.85e+08,4.092e+09,5.27e+08,0.3308,0.18491,0.20796,0.07387,0.037,0.66373,1.55992,0.99684,0.19066,2.40606,2.38438,11.5697,32.22424,1.59697,0.49697,6,0.05535,0.03045,0.20655,3.26441,4.09207
