"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",21.8460317460317,"Up",670550000,-362065000,308485000,-250323000,-118068000,-83732000,-34336000,-116697000,-15558000,58162000,-19614000,-19614000,38548000,-1138000,37410000,-3864000,33546000,33546000,33546000,33546000,1150240000,854918000,588389000,588389000,221598000,189947000,189947000,2150174000,272955000,272955000,505163000,165169000,72733000,893484000,3043658000,529859000,232736000,297123000,117952000,117952000,1103276000,1025684000,193139000,70287000,122852000,1218823000,2322099000,6705742000,-5962793000,-21390000,721559000,721559000,3043658000,33546000,35327000,29860000,-21606000,77127000,-28111000,-89568000,-5148000,-122827000,-32316000,12150000,12150000,-20368000,-66068000,-66068000,-67115000,93489000,1481149000,47636000,0.46005,0.08674,0.05003,0.04649,0.01102,1.42002,1.9489,3.21817,0.48663,0.24154,0.19809,4.82823,5.19552,0.343,0.014,0.01988,3.53955,5.68944
"28","2017_Q1",24.5248387096774,"Up",716191000,-397643000,318548000,-255999000,-1.29e+08,-96853000,-32147000,-112448000,-14551000,62549000,-16484000,-16484000,46065000,-3102000,42963000,-6376000,36587000,36587000,36587000,36587000,1052863000,777615000,576235000,576235000,211251000,172843000,172843000,2013192000,288406000,288406000,481805000,146711000,67004000,860383000,2873575000,546295000,235942000,310353000,109009000,109009000,891545000,1017441000,198248000,73854000,124394000,1215689000,2107234000,6716876000,-5926206000,-24329000,766341000,766341000,2873575000,36587000,35640000,29388000,35096000,136711000,-26024000,44983000,-12513000,6446000.00000001,-220733000,973000,973000,-219767000,-76610000,-76610000,-77303000,98189000,1253682000,113637000,0.44478,0.08734,0.05109,0.04774,0.01273,3.10594,2.25809,2.74973,0.43628,0.26182,0.23171,5.12509,5.48397,0.81319,0.01649,0.05123,2.04523,3.21059
"29","2017_Q2",23.9612698412698,"Down",621497000,-347712000,273785000,-252286000,-120866000,-85002000,-35864000,-116869000,-14551000,21499000,-14833000,-14833000,6666000,-2395000,4271000,-410000,3861000,3861000,3861000,3861000,943909000,693853000,595706000,595706000,284595000,173842000,173842000,1998052000,293150000,293150000,458958000,127847000,63942000,862042000,2860094000,538068000,273513000,264555000,113371000,113371000,841561000,1019755000,199885000,78565000,121320000,1219640000,2061201000,6739409000,-5922345000,-18171000,798893000,798893000,2860094000,3861000,35563000,23261000,-88935000,-26250000,-25706000,5103000,440000,-20163000,-46901000,9708000,9708000,-37193000,-83606000,-83606000,-83762000,57062000,1209877000,-57169000,0.44053,0.03459,0.00621,0.00483,0.00135,-14.80679,2.37422,2.58007,0.42302,0.02744,0.02715,4.41774,5.67872,-0.40637,0.00175,-0.02588,4.66104,12.37118
"30","2017_Q3",23.9306349206349,"Down",707022000,-388782000,318240000,-256144000,-123541000,-88551000,-34990000,-121623000,-10980000,62096000,-16226000,-16226000,45870000,-4276000,41594000,-3568000,38026000,38026000,38026000,38026000,903402000,628623000,564856000,564856000,287073000,186919000,186919000,1942250000,299792000,299792000,445209000,113245000,65191000,834853000,2777103000,512038000,249556000,262482000,105514000,105514000,806773000,929182000,194603000,81349000,113254000,1123785000,1930558000,6752050000,-5884319000,-21186000,846545000,846545000,2777103000,38026000,33451000,33955000,-33434000,71998000,-34622000,-4936000,-3405000,-42963000,-1923000,636999.999999998,636999.999999998,-94911000,-65876000,-65876000,-65230000,95547000,1118403000,31059000,0.45011,0.08783,0.05378,0.04492,0.01369,0.816779999999996,2.40743,2.28051,0.40272,0.26827,0.23008,4.98806,5.97239,0.21912,0.01761,0.01438,2.25021,3.4624
"31","2017_Q4",21.1966666666667,"Down",728719000,-400643000,328076000,-243874000,-122308000,-86739000,-35569000,-117729000,-3837000,84202000,-14263000,-14263000,69939000,-2203000,67736000,-7726000,60010000,60010000,60010000,60010000,794283000,559540000,653242000,653242000,276421000,199189000,199189000,1923135000,314850000,314850000,438801000,106990000,63970000,813525000,2736660000,542987000,258358000,284629000,110629000,110629000,657616000,931302000,203432000,86898000,116534000,1134734000,1792350000,6774114000,-5824309000,-5495000,944310000,944310000,2736660000,60010000,26580000,34618000,-70611000,50597000,-15676000,70034000,1346000,55704000,-186380000,10050000,10050000,-176330000,-70029000,-70029000,-69083000,110782000,935302000,32221000,0.45021,0.11555,0.08235,0.06355,0.02193,0.53693,2.9244,1.89805,0.34177,0.42123,0.34867,5.11511,6.62841,0.22617,0.02881,0.01547,1.27294,1.67477
"32","2018_Q1",23.5327868852459,"Up",744449000,-418764000,325685000,-254827000,-132058000,-95877000,-36181000,-119108000,-3661000,70858000,-9617000,-9617000,61241000,-18716000,42525000,1117531000,1160056000,1160056000,1160056000,1160056000,919646000,640513000,622183000,622183000,267143000,197339000,197339000,2006311000,308465000,308465000,1587152000,100997000,63593000,1945400000,3951711000,583032000,260098000,322934000,102418000,102418000,1037743000,583688000,193938000,82589000,111349000,777626000,1815369000,6811612000,-4664253000,-11017000,2136342000,2136342000,3951711000,1160056000,27308000,-1086144000,37317000,138537000,-18596000,-34164000,-1245000,-54005000,-1912000,17000.0000000037,17000.0000000019,-2617000,81915000,81915000,80973000,98166000,935981000,-1000644000,0.43748,0.09518,1.55827,0.54301,0.29356,-0.86258,1.93334,0.84976,0.23685,8.10667,5.79718,5.20234,14.92912,-6.99267,0.35516,-0.30636,0.1664,0.23053
"33","2018_Q2",25.39546875,"Up",646135000,-374370000,271765000,-249068000,-126921000,-88515000,-38406000,-118524000,-3623000,22697000,-12159000,-12159000,10538000,-5961000,4577000,-477940000,-473363000,-473363000,-473363000,-473363000,927610000,648867000,553724000,553724000,255251000,186837000,186837000,1923422000,318835000,318835000,1167976000,96485000,64146000,1545962000,3469384000,477407000,209243000,268164000,103216000,103216000,933376000,584601000,195267000,79297000,115970000,779868000,1713244000,6830090000,-5076325000,2375000,1756140000,1756140000,3469384000,-473363000,26745000,503020000,-20699000,35703000,-25662000,-8877000,1061000,-33478000,-1914000,6905000,11008000,4991000,7216000,7216000,8354000,49442000,937354000,481021000,0.4206,0.03513,-0.73261,-0.26955,-0.13644,-1.01618,2.06072,0.97557,0.27018,-3.28902,-3.28902,4.48948,12.20203,3.34223,-0.16386,0.16651,0.19708,0.42931
"34","2018_Q3",28.0198412698413,"Up",729978000,-436671000,293307000,-256882000,-136335000,-97359000,-38976000,-116924000,-3623000,36425000,-11735000,-11735000,24690000,-4359000,20331000,-6475000,13856000,13856000,13856000,13856000,920680000,652096000,647380000,647380000,231338000,186024000,186024000,1985422000,298631000,298631000,1163606000,90573000,70767000,1521132000,3506554000,534629000,264398000,270231000,101918000,101918000,989755000,585538000,187142000,76725000,110417000,772680000,1762435000,6811660000,-5062469000,-5072000,1744119000,1744119000,3506554000,13856000,26479000,43127000,-46035000,37427000,-6284000,10851000,-1642000,2925000,-1954000,-33137000,795999.999999998,-35091000,5261000.00000001,5261000.00000001,3229000,62904000,938746000,17059999.9999998,0.4018,0.0499,0.01898,0.00794,0.00395000000000001,1.23124,2.00597,1.0105,0.26771,0.0962399999999999,0.0936399999999997,5.07017,12.11404,0.118490000000002,0.00483,0.00594000000000006,0.2872,0.49598
"35","2018_Q4",31.6931746031746,"Up",818817000,-467274000,351543000,-259910000,-133607000,-95395000,-38212000,-121133000,-5170000,91633000,-15154000,-15154000,76479000,-6359000,70120000,-19280000,50840000,50840000,50840000,50840000,955154000,726214000,728940000,728940000,227885000,192497000,192497000,2104476000,295863000,295863000,1192891000,108302000,72951000,1518219000,3622695000,610599000,312611000,297988000,104170000,104170000,1068438000,586505000,188798000,79914000,108884000,775303000,1843741000,6799288000,-5011629000,-8705000,1778954000,1778954000,3622695000,50840000,28076000,38433000,-29244000,88105000,-18440000,70311000,3907000,15366000,-1943000,-24545000,10931000,-26488000,76983000,76983000,74118000,119709000,940174000,91305000,0.42933,0.11191,0.06209,0.02858,0.01403,1.79593,1.96968,1.03642,0.25952,0.35453,0.31775,5.71002,12.40554,0.63672,0.01748,0.0314,-0.12514,-0.16348
"36","2019_Q1",38.8345901639344,"Up",899356000,-501281000,398075000,-295634000,-157330000,-112791000,-44539000,-134983000,-3321000,102441000,-28230000,-16201000,74211000,-20458000,53753000,10224000,63977000,63977000,63977000,63977000,894404000,745423000,786502000,786502000,262751000,198945000,198945000,2142602000,292067000,292067000,1262884000,148225000,71652000,1613921000,3756523000,680657000,340582000,340075000,275346000,111134000,963003000,686450000,177736000,58323000,119413000,864186000,1827189000,6882766000,-4947652000,-5780000,1929334000,1929334000,3756523000,63977000,28720000,30124000,-54795000,68026000,-17230000,5.1e+07,4292000,-4195999.99999999,14582000,-37077000,392000,-42641000,21189000,21189000,19092000,131161000,693450000,48912000,0.44262,0.1139,0.07114,0.03316,0.01703,0.76452,2.22492,0.94706,0.1846,0.44535,0.51989,6.26053,13.43033,0.34048,0.02284,0.01747,-1.53212,-1.96166
"37","2019_Q2",38.4788888888889,"Down",778527000,-455186000,323341000,-273125000,-137356000,-98113000,-39243000,-128633000,-7136000,50216000,-5188000,-5188000,45028000,-2273000,42755000,-9139000,33616000,33616000,33616000,33616000,787953000,668810000,761186000,761186000,323106000,217422000,217422000,2089667000,288713000,288713000,1239726000,139005000,74614000,1528439000,3618106000,608259000,335547000,272712000,85501000,85501000,700760000,684939000,178102000,50640000,127462000,863041000,1563801000,6929176000,-4864231000,-10640000,2054305000,2054305000,3618106000,33616000,30460000,30712000,-108893000,-14105000,-15345000,89749000,-4983000,69421000,-113776000,-8822000,10899000,-132624000,-77308000,-77308000,-76613000,80676000,691939000,-34423000,0.41532,0.0645,0.04318,0.01636,0.00929,-1.02401,2.982,0.76123,0.19124,0.21505,0.21253,4.98053,13.14217,-0.22022,0.0115,-0.01177,-1.19012,-1.91202
"38","2019_Q3",41.9225,"Up",865011000,-490334000,374677000,-290289000,-145656000,-103502000,-42154000,-137969000,-6664000,84388000,-9715000,-9715000,74673000,-4068000,70605000,-17867000,52738000,52738000,52738000,52738000,818475000,699148000,756607000,756607000,359417000,243669000,243669000,2178168000,282022000,282022000,1226588000,129971000,82938000,1508610000,3686778000,658349000,366932000,291417000,104030000,104030000,769379000,683429000,170771000,40992000,129779000,854200000,1623579000,6893898000,-4811493000,-19206000,2063199000,2063199000,3686778000,52738000,30313000,34205000,-13139000,104117000,-19944000,616999.999999985,-425000,-19752000,-2671000,-45046000,336000,-53556000,30809000,30809000,30338000,114701000,690429000,99485000,0.43315,0.09756,0.06097,0.02556,0.0143,1.8864,2.83107,0.78692,0.18727,0.33769,0.33326,5.53876,13.2109,0.63701,0.01803,0.03402,-1.11635,-1.51735
"39","2019_Q4",38.09984375,"Down",960606000,-536254000,424352000,-293696000,-146925000,-104230000,-42695000,-139880000,-6891000,130656000,-8354000,-8354000,122302000,-5355000,116947000,-30198000,86749000,86749000,86749000,86749000,842899000,723229000,798884000,798884000,356818000,292631000,292631000,2291232000,280630000,280630000,1203846000,121270000,84486000,1484476000,3775708000,681853000,356716000,325137000,102182000,102182000,791035000,681918000,183371000,42848000,140523000,865289000,1656324000,6867892000,-4724744000,-23764000,2119384000,2119384000,3775708000,86749000,30908000,50987000,-85529000,83115000,-13774000,296000,-414000,-13892000,-2670000,-33721000,11660000,-43760000,25463000,25463000,25631000,161564000,688918000,92459000,0.44175,0.13601,0.09031,0.04093,0.02298,1.06582,2.8965,0.78151,0.18246,0.55769,0.55105,6.17551,13.62501,0.5944,0.029,0.03091,-0.95307,-1.17852
"40","2020_Q1",41.028064516129,"Up",967987000,-548291000,419696000,-310282000,-167508000,-117201000,-50307000,-141657000,-1117000,109414000,-10319000,-14195000,99095000,-16212000,82883000,-2552000,80331000,80331000,80331000,80331000,1013985000,904045000,724854000,724854000,345049000,297914000,297914000,2381802000,286884000,286884000,1214646000,112781000,88986000,1511544000,3893346000,727559000,344819000,382740000,111381000,111381000,845940000,680406000,194239000,45492000,148747000,874645000,1720585000,6839258000,-4644413000,-22084000,2172761000,2172761000,3893346000,80331000,31031000,20717000,107934000,240013000,-13516000,-2655000,4471000,-11700000,-2470000,-39540000,52000.0000000019,-49026000,179287000,179287000,179371000,140445000,687406000,237415000,0.43358,0.11303,0.08299,0.03697,0.02063,2.95546,2.81557,0.79189,0.17656,0.5188,0.51297,6.25149,14.03221,1.53328,0.0263,0.07773,-2.32532,-2.9848
"41","2020_Q2",49.7093650793651,"Up",832912000,-462377000,370535000,-286287000,-149534000,-107066000,-42468000,-130900000,-5853000,84248000,-5169000,-8815000,79079000,-6937000,72142000,-9814000,62328000,62328000,62328000,62328000,947353000,837286000,655105000,655105000,342673000,321313000,321313000,2266444000,277739000,277739000,1276628000,125640000,140636000,1564443000,3830887000,585053000,311748000,273305000,141033000,122410000,733086000,680786000,223365000,44425000,178940000,904151000,1637237000,6803446000,-4582085000,-27711000,2193650000,2193650000,3830887000,62328000,35469000,45527000,-103560000,39764000,-26820000,267000,-73000,-54926000,-722000,-37341000,11862000,-51017000,-66179000,-66179000,-66822000,119717000,687786000,-849000,0.44487,0.10115,0.07483,0.02841,0.01627,-0.01362,3.09165,0.74635,0.17954,0.40385,0.40021,5.39681,14.21365,-0.0055,0.02007,-0.00027,-2.16817,-3.08099
"42","2020_Q3",52.62265625,"Up",894053000,-480727000,413326000,-280613000,-143244000,-101214000,-42030000,-131530000,-5839000,132713000,-10525000,-7860000,122188000,-5225000,116963000,-25308000,91655000,91655000,91655000,91655000,988474000,887732000,693963000,693963000,325753000,332021000,332021000,2340211000,260867000,260867000,1255684000,115536000,140463000,1516551000,3856762000,580937000,292164000,288773000,125119000,107023000,712986000,679356000,223844000,42894000,180950000,903200000,1616186000,6792392000,-4490430000,-61386000,2240576000,2240576000,3856762000,91655000,32273000,56095000,-88857000,91166000,-18638000,18839000,-3763000,-3562000,-2392000,-24904000,428000,-32924000,54680000,54680000,50446999.9999999,164986000,686286000,82799000,0.46231,0.14844,0.10252,0.04091,0.02376,0.90338,3.28227,0.72133,0.17794,0.59569,0.59076,5.81067,14.56205,0.53813,0.02909,0.02628,-1.8316,-2.277
"43","2020_Q4",44.434375,"Down",976712000,-512031000,464681000,-272459000,-136398000,-94763000,-41635000,-130221000,-5840000,192222000,-7019000,-7251000,185203000,-4186000,181017000,-38750000,142267000,142267000,142267000,142267000,1164153000,1093749000,715195000,715195000,363600000,324935000,324935000,2567883000,266996000,266996000,1220309000,106182000,148035000,1487305000,4055188000,598193000,297163000,301030000,115368000,95951000,720491000,677856000,227974000,40919000,187055000,905830000,1626321000,6817219000,-4348163000,-40189000,2428867000,2428867000,4055188000,142267000,31663000,61285000,-59786000,175429000,-15875000,31035000,6903000,22063000,-2381000,15696000,15696000,5187000,202679000,202679000,206029000,223885000,684786000,186974000,0.47576,0.19681,0.14566,0.05857,0.03508,1.31425,3.56407,0.66958,0.16887,0.92255,0.91,6.33365,15.75039,1.21246,0.04257,0.05595,-2.14113,-2.49382
"44","2021_Q1",53.8147540983607,"Up",828480000,-424131000,404349000,-299885000,-156797000,-91816559.2553913,-39788109.4306376,-137237000,-5851000,104464000,-7644000,-7395000,96820000,-10981000,85839000,-20798000,65041000,65041000,65041000,65041000,1239291000,1088624000,719405000,719405000,344379000,308084000,308084000,2611159000,272377000,272377000,1215155000,96647000,159856000,1569758000,4180917000,626036000,291904000,334132000,127735000,108700000,760701000,676356000,234263000,49663000,184600000,910619000,1671320000,6828077000,-4283122000,-35358000,2509597000,2509597000,4180917000,65041000,33122000,36791000,52341000,187295000,-21334000,-162947000,464000.000000002,-183817000,-2406000,82000.0000000075,81999.9999999981,-8468000,-4990000,-4990000,-5107000,137586000,683286000,189391000,0.48806,0.12609,0.07851,0.02592,0.01556,2.91187,3.43257,0.66597,0.16343,0.42032,0.41534,5.35401,16.21815,1.22393,0.01898,0.05526,-4.04115,-5.32246
"45","2021_Q2",55.1244444444444,"Up",757130000,-399239000,357891000,-275922000,-137271000,-97278000,-39993000,-132741000,-5910000,81969000,-8481000,-7360000,73488000,-6174000,67314000,-11966000,55348000,55348000,55348000,55348000,1180671000,1029237000,700025000,700025000,389733000,326110000,326110000,2596539000,281228000,281228000,1206766000,91516000,156724000,1590358000,4186897000,522244000,247241000,275003000,155593000,136229000,684767000,674856000,240761000,54371000,186390000,915617000,1600384000,6828040000,-4229980000,-11547000,2586513000,2586513000,4186897000,55348000,32830000,31480000,-126977000,-7319000,-20868000,-20490000,7035000,-34323000,-2434000,1041000,13447000,-20635000,-62277000,-62277000,-59398000,114799000,681786000,-21080000,0.47269,0.10826,0.0731,0.0214,0.01322,-0.38086,3.79186,0.61874,0.16284,0.35668,0.35347,4.87923,16.66847,-0.13585,0.01577,-0.00601,-4.34573,-6.08626
"46","2021_Q3",55.544375,"Up",833927000,-421508000,412419000,-270287000,-154022000,-110387000,-43635000,-110246000,-6019000,142132000,-9059000,-7785000,133073000,-8503000,124570000,-21453000,103117000,103117000,103117000,103117000,1354790000,1202974000,716779000,716779000,401233000,321651000,321651000,2794453000,298329000,298329000,1203516000,82879000,154981000,1593560000,4388013000,609307000,279247000,330060000,166439000,147075000,782676000,673355000,238719000,57224000,181495000,912074000,1694750000,6814765000,-4126863000,5361000,2693263000,2693263000,4388013000,103117000,32982000,23680000,65199000,224978000,-30783000,9871000,7057000,-13855000,-2494000,-26059000,32999.9999999981,-37204000,173919000,173919000,173736000,175114000,680285000,230983000,0.49455,0.17044,0.12365,0.03829,0.0235,2.24001,3.57038,0.62926,0.15503,0.66452,0.65855,5.37414,17.35641,1.48854,0.02855,0.06394,-3.85181,-4.74562
"47","2021_Q4",61.70046875,"Up",988141000,-513591000,474550000,-315979000,-163787000,-117891818.401199,-45315908.4086366,-146225000,-5967000,158571000,-6981000,-7776000,151590000,-10048000,141542000,96690000,238232000,238232000,238232000,238232000,1412451000,1230441000,878229000,878229000,370170000,323283000,323283000,2984133000,288937000,288937000,1321910000,73974000,151665000,1671735000,4655868000,674897000,301606000,373291000,145264000,126179000,827091000,671855000,232686000,57720000,174966000,904541000,1731632000,6817497000,-3888631000,-4630000,2924236000,2924236000,4655868000,238232000,33447000,-99197000,-103385000,69097000,-17882000,-213000,-2088000,-20183000,-269000,-11248000,14809000,-20108000,28806000,28806000,27454000,192018000,678785000,-25939000,0.48025,0.16047,0.24109,0.08147,0.05117,-0.10888,3.60799,0.59217,0.14579,1.53526,1.52144,6.36795,18.84488,-0.16716,0.06211,-0.00676,-3.82082,-4.62674
"48","2022_Q1",65.4501612903226,"Up",1041486000,-564367000,477119000,-332298000,-179008000,-119423438.982581,-44991614.4418597,-147454000,-5836000,144821000,-8084000,-7916000,136737000,-7412000,129325000,-25826000,103499000,103499000,103499000,103499000,1604029000,1422546000,884958000,884958000,374265000,325654000,325654000,3188906000,284968000,284968000,1321315000,65314000,144176000,1676321000,4865227000,765461000,356176000,409285000,136639000,118007000,909030000,670355000,265824000,57457000,208367000,936179000,1845209000,6804711000,-3785132000,438999.999999999,3020018000,3020018000,4865227000,103499000,33007000,21372000,97012000,254890000,-10017000,-9692999.99999999,-2646000,-22356000,-4736000,-26565000,168000.000000002,-38888000,193646000,193646000,192104000,177828000,677285000,290649000,0.45811,0.13905,0.09938,0.03427,0.02127,2.80823,3.50803,0.61099,0.13921,0.66674,0.66054,6.70922,19.45487,1.87235,0.02612,0.07334,-5.21146,-6.39924
"49","2022_Q2",51.8396774193548,"Down",844443000,-460256000,384187000,-320706000,-163379000,-118881000,-44498000,-148409000,-8918000,63481000,-4962000,-8648000,58519000,-3477000,55042000,-9219000,45823000,45823000,45823000,45823000,1579004000,1118636000,795247000,795247000,457604000,332259000,332259000,3164114000,276120000,276120000,1371488000,101026000,148047000,1736248000,4900362000,609515000,310107000,299408000,143883000,124956000,760328000,1065263000,259981000,60670000,199311000,1325244000,2085572000,6569004000,-3739309000,-14905000,2814790000,2814790000,4900362000,45823000,35883000,21532000,-157649000,-54411000,-25804000,-300465000,1346000,-380959000,399229000,-234854000,15146000,134719000,-300651000,-300651000,-303910000,99364000,1072193000,-74870000,0.45496,0.07517,0.05426,0.01628,0.00935,-1.6339,4.16151,0.74093,0.2188,0.29519,0.29245,5.43988,18.13279,-0.48231,0.01105,-0.01805,-5.10055,-7.98366
"50","2022_Q3",48.04828125,"Down",949227000,-547446000,401781000,-333755000,-165511000,-119939000,-45572000,-159324000,-8920000,68026000,-11177000,-11985000,56849000,-9597000,47252000,-8330000,38922000,38922000,38922000,38922000,1549415000,1019863000,774896000,774896000,536878000,367344000,367344000,3228533000,278494000,278494000,1369960000,88956000,153842000,1735596000,4964129000,686149000,352999000,333150000,175679000,156400000,868758000,1062182000,250767000,62369000,188398000,1312949000,2181707000,6498868000,-3700387000,-16059000,2782422000,2782422000,4964129000,38922000,34610000,25846000,7174000.00000006,106552000,-19445000,-71083000,-5638000,-102173000,-9474000,-82755000,39000,-97577000,-93197999.9999999,-93197999.9999999,-98746000,102636000,1069112000,98695000.0000001,0.42327,0.07166,0.041,0.01399,0.00784,2.53571,3.71626,0.7841,0.21537,0.25573,0.25573,6.23683,18.28171,0.64847,0.00949,0.02406,-4.67967,-7.06058
