"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",22.8577777777778,"Up",358879000,-259923000,98956000,-82446000,-57395000,-57395000,-10330000,-14721000,16510000,-7464000,-372000,-7092000,9046000,-21531000,5355000,-15995000,-15995000,-15995000,-15995000,216460000,207342000,9118000,330687000,330687000,75706000,43157000,32549000,622853000,90150000,126820000,1033477000,238889000,575112000,61448000,158028000,1250447000,1873300000,183368000,25656000,2612000,155100000,213599000,213599000,428001000,298119000,203378000,36756000,414585000,842586000,697397000,401032000,-67715000,1030714000,1030714000,1873300000,-15995000,10330000,9226000,52509000,56070000,-7028000,3811000,1285000,-254500000,147287000,1481000,1481000,74000,143072000,-55358000,-55358000,-8043000,-63401000,26840000,147500000,66966000,0.27574,0.046,-0.04457,-0.01552,-0.00854,-4.18668,1.45526,0.81748,0.07874,-0.29619,-0.29304,6.64554,19.08624,1.24004,-0.00693,0.04536,-2.5693,-4.17686
"28","2017_Q1",28.2374193548387,"Up",417161000,-307826000,109335000,-102057000,-73569000,-73569000,-11287000,-17201000,7278000,7097000,1452000,5645000,14375000,11939000,-5749000,6375000,6375000,5855000,5855000,284590000,273252000,11338000,315975000,315975000,63709000,43130000,20579000,664274000,95436000,130092000,1008798000,233027000,590072000,27163000,158536000,1234326000,1898600000,180053000,26634000,8396000,145023000,266211000,266211000,476264000,265035000,216113000,43834000,375035000,851299000,702098000,401113000,-57911000,1045300000,1047301000,1898600000,6375000,11287000,-18226000,86924000,86360000,-8471000,108000,675000,-7229000.00000006,-8201000.00000003,66000,65999.9999999998,-4730000,-18639000,60492000,60492000,5418000,65910000,18565000,1.4e+08,102767000,0.26209,0.01745,0.01404,0.00559,0.00308,17.55201,1.39476,0.81285,0.07374,0.10453,0.10332,7.44784,18.66241,1.83476,0.00801,0.07076,-7.78831,-19.86672
"29","2017_Q2",30.6490476190476,"Up",392933000,-279799000,113134000,-84098000,-55342000,-55342000,-11444000,-17312000,29036000,1198000,-3061000,4259000,30234000,5714000,-1725000,4068000,4068000,3208000,3208000,247548000,244073000,3475000,341984000,341984000,81868000,53196000,28672000,671400000,99980000,133502000,1020481000,228992000,587615000,26232000,177642000,1253963000,1925363000,187935000,33719000,4351000,149865000,147617000,147617000,355306000,282677000,217957000,51056000,533715000,889021000,705792000,398412000,-70577000,1033627000,1036342000,1925363000,4068000,11444000,623000,-151841000,-135706000,-15079000,8334000,-171000,-9796000,130839000,2430000,2430000,-1070000,126290000,-19212000,-19212000,-9967000,-29179000,40480000,270792000,-124715000,0.28792,0.0739,0.00816,0.0031,0.00167,-38.87625,1.88964,0.85785,0.14064,0.05709,0.0567,6.99306,18.39554,-2.21956,0.00573,-0.07845,0.57421,0.800520000000002
"30","2017_Q3",32.6255555555556,"Up",414954000,-289483000,125471000,-78923000,-54134000,-54134000,-11752000,-13037000,46548000,-3615000,-2736000,-879000,42933000,42933000,-11906000,31056000,31056000,30152000,30152000,279799000,250033000,29766000,360788000,360788000,74769000,51314000,23455000,715356000,108371000,110217000,1016129000,225037000,586290000,26235000,178567000,1234717000,1950073000,169464000,27711000,3015000,138738000,176218000,176218000,365436000,284394000,214032000,56272000,530493000,895929000,703073000,422723000,-75243000,1050553000,1054144000,1950073000,31056000,11752000,6679000,-2380000,47107000,-17243000,-3721000,-19000.0000000001,-20983000,-5172000,-6756000,184000,0,-17769000,8355000,8355000,-2395000,5960000,58300000,265853000,50583000,0.30237,0.11218,0.07266,0.0286,0.01546,1.6776,1.95754,0.84991,0.13633,0.5326,0.52759,7.32966,18.55674,0.89349,0.02243,0.03153,-0.23921,-0.2996
"31","2017_Q4",39.3580952380952,"Up",394195000,-278983000,115212000,-80869000,-56818000,-56818000,-11774000,-12277000,34343000,1798000,-2402000,4200000,36141000,32340000,-8075000,24378000,24378000,23897000,23897000,355444000,351305000,4139000,343105000,343105000,75840000,52012000,23828000,774389000,108836000,111289000,1002037000,221047000,581034000,23810000,176146000,1222162000,1996551000,189056000,31477000,7570000,150009000,198807000,198807000,407617000,279771000,221385000,51085000,520932000,928549000,700696000,440824000,-76099000,1065421000,1068002000,1996551000,24378000,11774000,12556000,53632000,102340000,-9294000,28394000,-692000,18408000,-5357000,-7011000,2367000,-1229000,-19393000,101355000,101355000,-83000,101272000,46117000,260915000,98530000,0.29227,0.08712,0.06062,0.02238,0.01197,4.12311,1.8998,0.86943,0.13068,0.42542,0.41906,7.01752,18.96678,1.75405,0.01846,0.06125,-2.04976,-2.7525
"32","2018_Q1",42.3244262295082,"Up",419587000,-288876000,130711000,-85750000,-59938000,-59938000,-12290000,-13522000,44961000,-3660000,-6408000,2748000,41301000,35022000,-7398000,27736000,27736000,26924000,26924000,415245000,410882000,4363000,345314000,345314000,83115000,51542000,31573000,843674000,109567000,115574000,994083000,217319000,576865000,20175000,179724000,1219224000,2062898000,190471000,37481000,4526000,148464000,248354000,248354000,458579000,281049000,219905000,54130000,517271000,975850000,692527000,461976000,-71064000,1083439000,1087048000,2062898000,27736000,12290000,9784000,42590000,92400000,-8472000,-728000,966000,-8234000.00000001,-6654000,-12363000,140000,26000,-24763000,59403000,59403000,174000,59577000,57251000,255976000,98767000,0.31152,0.10716,0.06417,0.02477,0.01305,3.66836,1.83976,0.89771,0.12409,0.48212,0.47361,7.51342,19.40082,1.76859,0.02013,0.06081,-2.78194,-3.54238
"33","2018_Q2",53.533125,"Up",414917000,-288569000,126348000,-84133000,-58261000,-58261000,-12209000,-13663000,42215000,-326000,-3680000,3354000,41889000,41609000,-12210000,29429000,29429000,29041000,29041000,293670000,282019000,11651000,365657000,365657000,106560000,62525000,44035000,765887000,112787000,114608000,1021045000,213910000,583265000,19387000,204483000,1248440000,2014327000,193248000,32658000,7204000,153386000,145752000,145752000,358754000,295538000,220894000,55886000,526822000,885576000,694146000,485194000,-54691000,1124649000,1128751000,2014327000,29429000,12209000,18702000,-169913000,-109573000,-9529000,-2866000,628000,-11767000,-8916000,-42000,3984000,-485000,-15266000,-136606000,-136606000,7743000,-128863000,54424000,251038000,-112808000,0.30451,0.10174,0.06999,0.02573,0.01442,-3.88444,2.13485,0.78456,0.12463,0.52049,0.51488,7.43645,20.15681,-2.02183,0.02081,-0.06733,-0.78333,-1.00988
"34","2018_Q3",58.7804761904762,"Up",455468000,-319702000,135766000,-83500000,-58603000,-58603000,-12447000,-12450000,52266000,-177000,-3624000,3447000,52089000,52291000,-15619000,36732000,36732000,36331000,36331000,296296000,282625000,13671000,397374000,397374000,107121000,66809000,40312000,800791000,115090000,117566000,1028654000,210016000,581780000,22167000,214691000,1261310000,2062101000,200187000,34645000,14687000,150855000,191512000,191512000,413172000,289580000,222755000,50018000,514206000,927378000,674105000,515811000,-57902000,1132014000,1134723000,2062101000,36732000,12447000,7879000,-3645000,53413000,-11284000,-1599000,-19000,-12902000,-5272000,-25235000,4.65661287307739e-10,-1558000,-37779000,2732000,2732000,-2126000,606000,64713000,246099000,65403000,0.29808,0.11475,0.07977,0.03202,0.01762,1.8002,1.93815,0.81727,0.11934,0.65592,0.6476,8.22308,20.43752,1.18079,0.02517,0.03915,-0.77569,-0.96041
"35","2018_Q4",43.0642857142857,"Down",460770000,-326994000,133776000,-83930000,-58516000,-58516000,-12225000,-13189000,49846000,3800000,-3710000,7510000,53646000,53646000,-26316000,27427000,27427000,27247000,27247000,404797000,389990000,14807000,397845000,397845000,89394000,63409000,25985000,892036000,116767000,124196000,1033533000,206733000,586561000,23222000,217017000,1274496000,2166532000,209271000,28359000,17128000,163784000,234411000,234411000,466874000,300795000,233595000,59581000,518764000,985638000,679277000,537353000,-38671000,1177959000,1180894000,2166532000,27427000,12225000,10070000,66030000,115752000,-10320000,-482000,3287000,-7515000,-5402000,-406000,2901000,0,-11513000,96724000,96724000,10641000,107365000,62071000,241161000,144097000,0.29033,0.10818,0.05913,0.02307,0.01258,5.28855,1.91066,0.83465,0.11131,0.49313,0.48479,8.33928,21.31937,2.60795,0.01913,0.08364,-2.63627,-3.28283
"36","2019_Q1",43.852131147541,"Up",488364000,-337450000,150914000,-86717000,-62010000,-62010000,-11707000,-1.3e+07,64197000,-6010000,-2818000,-3192000,58187000,58187000,-15988000,42309000,42309000,41160000,41160000,535141000,520848000,14293000,384996000,384996000,94122000,27700000,29089000,1014259000,119901000,122792000,1030962000,203216000,584222000,25520000,218004000,1273655000,2287914000,228569000,35196000,23034000,170339000,304980000,304980000,558460000,298528000,227729000,61694000,509839000,1068299000,683942000,572800000,-40135000,1216607000,1219615000,2287914000,42309000,11707000,1535000,103982000,159533000,-10867000,-1873000,85000,-12655000,-5383000,-503000,-4.65661287307739e-10,-1101000,-12700000,134178000,134178000,-3320000,130858000,75904000,236222000,185007000,0.30902,0.13145,0.08428,0.03375,0.01799,4.49483,1.81617,0.87593,0.10325,0.74475,0.73098,8.83645,22.01326,3.34751,0.02672,0.10546,-3.93812,-4.65628
"37","2019_Q2",43.6919047619048,"Down",478362000,-340232000,138130000,-193249000,-168724000,-168724000,-11731000,-12794000,-55119000,417000,-4103000,4520000,-54702000,-54702000,16110000,-38592000,-38592000,-38611000,-38611000,376681000,365729000,10952000,397559000,397559000,109768000,32056000,36999000,884008000,123318000,123124000,949020000,93050000,581858000,39512000,234600000,1195462000,2079470000,211649000,35325000,25790000,150534000,175477000,175477000,413755000,296441000,234468000,60364000,501095000,914850000,681060000,537015000,-56488000,1161587000,1164620000,2079470000,-38592000,11731000,91085000,-181716000,-117492000,-13163000,6844000,-313000,-6632000,-18210000,4105000,4105000,-455000,-20587000,-144711000,-144711000,-10408000,-155119000,-43388000,231283000,-254377000,0.28876,-0.11522,-0.08072,-0.03315,-0.01857,6.5882,2.13655,0.78554,0.11122,-0.69723,-0.69723,8.63812,20.9756,-4.59347,-0.01925,-0.15031,3.35111,2.63789
"38","2019_Q3",37.218125,"Down",506793000,-355462000,151331000,-80344000,-57738000,-57738000,-11018000,-11588000,70987000,-8966000,-4337000,-4629000,62021000,62021000,-14833000,47317000,47317000,46034000,46034000,394365000,387679000,6686000,433557000,433557000,103766000,32953000,29009000,931688000,126242000,128913000,947624000,89662000,579863000,37776000,240323000,1202779000,2134467000,207305000,34764000,19453000,153088000,231688000,231688000,465622000,294251000,234098000,58402000,492248000,957870000,664486000,577333000,-68581000,1173238000,1176597000,2134467000,47317000,11018000,11659000,15309000,85303000.0000001,-11402000,-6460000,-28922000,-46784000,22298000,-22745000,9.31322574615479e-10,-690000,-6853000,31666000,31666000,-9716000,21950000,82005000,224626000,100745000,0.29861,0.14007,0.09083,0.03912,0.02157,2.18849,2.00095,0.8141,0.10524,0.83001,0.80431,9.13766,21.15391,1.81647,0.03052,0.05942,-2.06986,-2.39113
"39","2019_Q4",37.32875,"Up",486172000,-319931000,166241000,-103558000,-61179000,-61179000,-11741000,-30638000,62683000,-1881000,-4282000,2401000,60802000,60802000,-15420000,45444000,45444000,44964000,44964000,495923000,489509000,6414000,421812000,421812000,99347000,28106000,29502000,1017082000,130266000,126950000,943255000,86308000,580021000,40530000,236396000,1200471000,2217553000,219435000,31151000,24287000,163997000,266925000,266925000,486360000,301491000,240856000,59201000,524153000,1010513000,651683000,616282000,-63271000,1204694000,1207040000,2217553000,45444000,11741000,9268000,66693000,133146000,-12321000,4501000,1735000,-6085000,-9097000,-11461000,3166000,-3746000,-30319000,96742000,96742000,5088000,101830000,74424000,222662000,144216000,0.34194,0.12893,0.09249,0.03725,0.02028,3.20737,2.09121,0.83718,0.10041,0.81406,0.80392,8.80204,21.81073,2.611,0.02945,0.0833,-3.67168,-4.35941
"40","2020_Q1",35.6790322580645,"Down",502535000,-371102000,131433000,-69158000,-64350000,-64350000,-11999000,7191000,62275000,3944000,-4169000,8113000,66219000,66219000,-15401000,50627000,50627000,50264000,50264000,634648000,626360000,8288000,404857000,404857000,97305000,28535000,26767000,1136810000,131505000,132463000,934074000,82948000,578298000,43220000,229608000,1198042000,2334852000,222348000,39156000,21145000,162047000,328610000,328610000,550958000,317629000,257635000,58891000,540507000,1091465000,656463000,660845000,-76652000,1240656000,1243387000,2334852000,50627000,11999000,8576000,86646000,157848000,-9796000,-579999.999999998,410000.000000004,-9966000,24848000,999.999999998137,1000,-26014000,-6866000,141016000,141016000,-4165000,136851000,74274000,222878000,166525000,0.26154,0.12392,0.10002,0.04043,0.02153,3.31301,2.06333,0.87782,0.09546,0.91107,0.90013,9.10885,22.48787,3.0184,0.03137,0.09335,-5.54393,-6.61212
"41","2020_Q2",27.8012698412698,"Down",496198000,-345631000,150567000,-90233000,-65807000,-65807000,-12777000,-11649000,60334000,-2231000,-4057000,1826000,58103000,58103000,-14453000,43650000,43650000,42951000,42951000,433145000,424637000,8508000,432758000,432758000,109220000,33311000,30529000,975123000,137367000,134148000,1159920000,79581000,578567000,41191000,460581000,1431435000,2406558000,208591000,33174000,19199000,156218000,203062000,203062000,411653000,507417000,269380000,236989000,730511000,1142164000,645299000,697715000,-82114000,1260900000,1264394000,2406558000,43650000,12777000,18354000,-236700000,-161919000,-10706000,-1000,1498000,-9209000,-9534000,-8425000,4313000,-887000,-24927000,-196055000,-196055000,-5668000,-201723000,73111000,223094000,-159842000,0.30344,0.12159,0.08656,0.03397,0.01785,-3.7215,2.3688,0.90333,0.0927,0.77717,0.77201,8.97836,22.81511,-2.89223,0.02458,-0.08013,-2.87304,-3.48147
"42","2020_Q3",28.83875,"Up",504177000,-355796000,148381000,-86512000,-62009000,-62009000,-12715000,-11788000,61869000,-3077000,-4210000,1133000,58792000,58792000,-15760000,43032000,43032000,42804000,42804000,470931000,464423000,6508000,458263000,458263000,120304000,31603000,40506000,1049498000,140685000,138055000,1158043000,76288000,578307000,36779000,466669000,1436783000,2486281000,203688000,30599000,15018000,158071000,246777000,246777000,450465000,504015000,274241000,228710000,777325000,1227790000,601686000,734891000,-80646000,1255931000,1258491000,2486281000,43032000,12715000,14205000,-12131000.0000001,57821000.0000001,-13111000,-809000,312000,-13608000,58591000,-49191000,-9.31322574615479e-10,-10266000,-6494000,37719000,37719000,2067000,39785999.9999999,74584000,273310000,65102000.0000001,0.2943,0.12271,0.0849,0.03401,0.01722,1.52093,2.32981,0.9756,0.10993,0.78442,0.78245,9.23943,23.01589,1.19304,0.02379,0.03198,-2.64964,-3.19418
"43","2020_Q4",36.03625,"Up",527979000,-379419000,148560000,-98872000,-71355000,-71355000,-14863000,-12654000,49688000,-1864000,-6919000,5055000,47824000,29731000,-8775000,20956000,20956000,19993000,19993000,604730000,563708000,41022000,472261000,472261000,120136000,35094000,38656000,1197127000,143230000,143789000,1255503000,116882000,615513000,44928000,478180000,1542522000,2739649000,248010000,36044000,17128000,194838000,312381000,312381000,560391000,507619000,283293000,223489000,901605000,1461996000,604609000,749301000,-78810000,1275100000,1277653000,2739649000,20956000,14863000,8578000,116838000,161235000,-9936000,-35026000,-14692000,-168256000,118625000,-2755000,3371000,-4750000,105537000,98516000,98516000,769000,99285000,64551000,393986000,180228000,0.28137,0.09411,0.03787,0.01565,0.0073,9.01456,2.13624,1.14428,0.14381,0.37025,0.36565,9.77757,23.6134,3.33762,0.01174,0.0827,-3.26477,-4.24135
"44","2021_Q1",54.5549180327869,"Up",448976000,-303034000,145942000,-83249000,-59786000,-59786000,-14956000,-8507000,62693000,-17891000,-6998000,-10893000,44802000,4336000,-4957000,-621000,-621000,-802000.000000004,-802000.000000004,731195000,689244000,41951000,397165000,397165000,108723000,26851000,38755000,1237083000,142728000,161674000,1202343000,111926000,613943000,55479000,420995000,1506745000,2743828000,569356000,45684000,21158000,502514000,54851000,54851000,624207000,501786000,289136000,211594000,895930000,1520137000,585560000,742993000,-107172000,1221381000,1223691000,2743828000,-621000,14956000,8660000,156217000,179212000,-7707000,209000.000000007,-191000,-7689000.00000003,-1833000,-24391000,9.31322574615479e-10,1295000,-30435000,141088000,141088000,-15552000,125536000,77649000,394144000,231116000,0.32506,0.13964,-0.00179,-0.00066,-0.00029,-288.17456,1.98185,1.24226,0.14365,-0.01498,-0.01484,8.38659,22.81463,4.3171,0.00222,0.10904,-4.3407,-5.37621
"45","2021_Q2",65.3449206349206,"Up",346883000,-298281000,48602000,-64910000,-47089000,-47089000,-15035000,-2786000,-16308000,4268000,-6894000,11162000,-12040000,-39527000,8672000,-30855000,-30855000,-30833000,-30833000,592656000,542786000,49870000,375157000,375157000,125469000,34983000,42243000,1093282000,139930000,140330000,1244561000,107202000,619239000,51686000,466434000,1524821000,2618103000,252125000,36975000,10312000,204838000,239206000,239206000,491331000,514448000,304593000,209218000,908751000,1400082000,590897000,706353000,-81592000,1215658000,1218021000,2618103000,-30855000,15035000,20340000,-148782000,-144262000,-8787000,-4667000,244000,-13210000,-331000,3371000,3371000,-5038000,-7805000,-165277000,-165277000,18819000,-146458000,-1273000,394303000,-167514000,0.14011,-0.04701,-0.08889,-0.02531,-0.01178,5.43295,2.22514,1.14947,0.15061,-0.57887,-0.57887,6.51252,22.82326,-3.14498,-0.01177,-0.07876,155.8154,12.16293
"46","2021_Q3",68.59765625,"Up",437789000,-323086000,114703000,-64124000,-46476000,-46476000,-15298000,-2350000,50579000,-7217000,-7494000,277000.000000004,43362000,40955000,-12877000,28078000,28078000,27778000,27778000,600828000,553109000,47719000,435393000,435393000,134667000,30984000,52995000,1170888000,136035000,146625000,1239094000,102351000,621560000,49908000,465275000,1521754000,2692642000,259934000,37639000,10591000,211704000,298977000,298977000,558911000,517744000,312187000,205001000,912209000,1471120000,575103000,728524000,-83655000,1219972000,1221522000,2692642000,28078000,15298000,12665000,-3829000,52211999.9999999,-6542000,-3562000,-14000,-10118000,-332999.999999996,-22770000,9.31322574615479e-10,-665999.999999999,-29376000,12718000,12718000,-2395000,10323000,65877000,394465000,68383000,0.26201,0.11553,0.06345,0.02274,0.01032,2.46177,2.09495,1.20433,0.1465,0.52187,0.52187,8.22479,22.91974,1.28472,0.01565,0.03205,-3.13255,-4.08001
"47","2021_Q4",75.75734375,"Up",477880000,-346361000,131519000,-65526000,-47271000,-47271000,-15735000,-2520000,65993000,7637000,-7298000,14935000,73630000,72792000,-21204000,51588000,51588000,51319000,51319000,740059000,694128000,45931000,448448000,448448000,127079000,28737000,45154000,1315586000,134226000,157023000,1256632000,97696000,625549000,57865000,475522000,1547881000,2863467000,285265000,37858000,9664000,237743000,350145000,350145000,635410000,538434000,333551000,204503000,933063000,1568473000,576798000,774303000,-57914000,1293187000,1294994000,2863467000,51588000,15735000,5178000,73854000,146355000,-7513000,6565000,-6025000,-6973000,-360000,-5282000,2335000,-7443000,-18625000,120757000,120757000,20262000,141019000,81728000,394629000,169273000,0.27521,0.1381,0.10739,0.03963,0.01792,3.29845,2.07045,1.21118,0.13782,0.97568,0.95573,9.08552,24.58624,3.21824,0.02552,0.07597,-4.22658000000002,-5.23434
"48","2022_Q1",66.4559677419355,"Down",557394000,-402182000,155212000,-68960000,-50940000,-50940000,-15777000,-2243000,86252000,3228000,-7592000,10820000,89480000,89480000,-22729000,66751000,66751000,66190000,66190000,914445000,850778000,63667000,448733000,448733000,123954000,30724000,40024000,1487132000,131778000,207120000,1230496000,92949000,626669000,73106000,437772000,1569394000,3056526000,702084000,44993000,23041000,634050000,47986000,47986000,750070000,542887000,346455000,192600000,937681000,1687751000,583260000,834949000,-51820000,1366389000,1368775000,3056526000,66751000,15777000,3056000,111544000,197128000,-8280000,-32152000,9354000,-31078000,-12579000,0,0,7043000,-11080000,154970000,154970000,1680000,156650000,102029000,394794000,228022000,0.27846,0.15474,0.11875,0.04836,0.02166,3.44496,1.98266,1.23304,0.12916,1.24816,1.23961,10.51092,25.76634,4.29987,0.0311,0.09886,-5.09317,-6.0248
"49","2022_Q2",60.2058064516129,"Down",588098000,-418229000,169869000,-68614000,-50267000,-59894894.1373837,-15644000,-2703000,101255000,-979000,-5426000,4447000,100276000,100276000,-23879000,76397000,76397000,74823000,74823000,717551000,649304000,68247000,512921000,512921000,136455000,41049000,34113000,1366927000,129056000,207074000,1239424000,88156000,625395000,68179000,457694000,1575554000,2942481000,536144000,46945000,28578000,460621000,47394000,47394000,583538000,542811000,363543000,175661000,937773000,1521311000,574123000,902906000,-59843000,1417186000,1421170000,2942481000,76397000,15644000,28432000,-281018000,-160545000,-9010000,-3458000,2115000,-10353000,-289000,1129000,3593000,-17627000,-23653000,-194551000,-194551000,-6923000,-201474000,116899000,394962000,-149250000,0.28884,0.17217,0.12723,0.05265,0.02543,-1.99471,2.34248,1.07046,0.13423,1.41096,1.40128,11.08991,26.72423,-2.81444,0.03463,-0.06327,-2.75955,-3.18591
"50","2022_Q3",58.72953125,"Down",643398000,-455969000,187429000,-83653000,-64065000,-75601682.4121512,-15633000,-3955000,103776000,-1299000,-6365000,5066000,102477000,102477000,-26145000,76332000,76332000,75772000,75772000,802887000,725391000,77496000,608141000,608141000,138208000,37054000,37515000,1549236000,126500000,214656000,1227096000,83326000,624899000,68041000,450830000,1568252000,3117488000,647233000,41800000,21209000,584224000,49836000,49836000,697069000,541398000,376199000,163203000,936530000,1633599000,574058000,971995000,-66530000,1479523000,1483889000,3117488000,76332000,15633000,26273000,-217000,118021000,-9978000,-11887000,948000,-20917000,-303000,-6922000,0,-495000,-14403000,82701000,82701000,-6614000,76087000,119409000,395132000,135359000,0.29131,0.16129,0.11777,0.05106,0.02431,1.7864,2.2225,1.10089,0.12675,1.43489,1.41892,12.18395,28.01755,2.56328,0.03407,0.05592,-3.41478,-3.92918
