"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","short_term_debt","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"39","2020_Q1",109.327580645161,"Down",531959000,306695000,22418000,202846000,188302000,765000,13779000,-127784000,-168141000,-106668000,129366000,-7222000,-7222000,122144000,122144000,-28587000,93557000,93557000,93557000,93557000,3658210000,256876000,2325750000,7447695000,13688531000,7190656000,374037000,1421672000,3049675000,12036040000,412000,1593281000,58798000,1652491000,1652491000,13688531000,93557000,5015000,58275000,7335000,164182000,-93407000,6282000,-87125000,-14162000,-58369000,18688000,18688000,442000,19130000,134381000,374037000,0.24319,0.17587,0.05662,0.00683,7.28357,0.02732,2.25634,2.24864,12.82942,39.85363,0.34155,0.00878,0.15137,0.87186,0.90566
"40","2020_Q2",102.104761904762,"Down",524936000,315812000,15420000,193704000,190069000,-10030000,13665000,-134813000,-173762000,-114623000,101738000,-7192000,-7192000,94546000,94546000,-22077000,72469000,72469000,72469000,72469000,3590228000,273085000,2346656000,7060942000,13270911000,7209831000,374131000,1473897000,2682938000,11740797000,405000,1565803000,-36094000,1530114000,1530114000,13270911000,72469000,3940000,59287000,-4174000,131522000,9177000,0,-744000,-16530000,-112274000,18504000,18504000,-2295000,16209000,105678000,374131000,0.19381,0.13805,0.04736,0.00546,7.67315,0.02819,1.76191,1.75729,12.76254,37.20099,0.40189,0.00754,0.2281,0.95617,0.9932
"41","2020_Q3",117.01875,"Up",525815000,314539000,22710000,188566000,171788000,1742000,15036000,-139646000,-145002000,-99906000,141261000,-7200000,-7200000,134061000,134061000,-32551000,101510000,101510000,101510000,101510000,3723293000,360351000,2434462000,7446443000,13964549000,7422252000,374226000,1573312000,2952079000,12321869000,397000,1569689000,72594000,1642680000,1642680000,13964549000,101510000,3879000,149151000,-69637000,184903000,12929000,0,3478000,-16084000,-102669000,85712000,85712000,1554000,87266000,145140000,374226000,0.26865,0.19305,0.0618,0.00727,7.50108,0.0268,2.52934,2.52218,13.10181,40.9309,0.40077,0.00949,0.15845,0.0956,0.09822
"42","2020_Q4",121.3875,"Up",568462000,342890000,22953000,202619000,185302000,643000,16674000,-160166000,-149135000,-105456000,153705000,-7222000,-7222000,146483000,146483000,-34382000,112101000,112101000,112101000,112101000,3854747000,330877000,2532409000,7582497000,14300530000,7575515000,374320000,1588669000,3041580000,12580084000,394000,1629114000,90938000,1720446000,1720446000,14300530000,112101000,4667000,439999.99999997,-29680000,87528000,-57554000,-22629000,-60811000,-15882000,-57507000,-30790000,-30790000,1316000,-29474000,158372000,374320000,0.27039,0.1972,0.06516,0.00784,7.31211,0.02618,2.83234,2.82356,14.36272,43.46866,0.40127,0.01007,0.14168,0.27431,0.28264
"43","2021_Q1",139.012786885246,"Up",598328000,353142000,22731000,222455000,204112000,2649000,15694000,-180944000,-165192000,-113327000,138865000,-7225000,-7225000,131640000,131640000,-31556000,100084000,100084000,100084000,100084000,3895483000,547569000,2629644000,7832589000,14905285000,7775169000,370658853.354428,2015837000,3278394000,13069400000,393000,1705786000,129706000,1835885000,1835885000,14905285000,100084000,5211000,96901000,37268000,239464000,12813000,-8265000,4548000,-15850000,-29340000,214672000,214672000,2020000,216692000,144076000,0,0.23209,0.16727,0.05452,0.00671,7.11886,0,2.53911,2.53044,15.17944,46.57597,0.40211,0.00899,0.15837,-3.80056,-3.94318
"44","2021_Q2",153.513968253968,"Up",637711000,366254000,20052000,251405000,234044000,1766000,15595000,-183789000,-196739000,-121729000,135454000,-7145000,-7145000,128309000,128309000,-30437000,97872000,97872000,97872000,97872000,4056127000,439944000,2712169000,7905620000,15113860000,7887280000,374511000,1702256000,3272620000,13236667000,8532000,1785038000,83623000,1877193000,1877193000,15113860000,97872000,5408000,83185000,-67007000,119458000,-192769000,-10473000,-203242000,-18620000,-24652000,-108436000,-108436000,811000,-107625000,140862000,374511000,0.21241,0.15347,0.05214,0.00648,7.05131,0.02478,2.48054,2.4727,16.16259,47.57687,0.47192,0.00869,0.19025,-0.46452,-0.48306
"45","2021_Q3",145.13296875,"Down",654688000,366450000,20536000,267702000,250689000,701000,16312000,-168347000,-194426000,-115311000,176604000,-7140000,-7140000,169464000,169464000,-41303000,128161000,128161000,128161000,128161000,4025974000,774591000,2808347000,7910959000,15519871000,7941417000,374606000,1798233000,3386852000,13501108000,13274000,1894539000,110950000,2018763000,2018763000,15519871000,128161000,5358000,-66777000,88593000,155335000,72567000,-2393000,70174000,-18660000,105754000,331263000,331263000,3384000,334647000,181962000,374606000,0.26975,0.19576,0.06348,0.00826,6.68781,0.02414,3.2482,3.23794,16.59286,51.16492,0.47293,0.0107,0.1456,-2.19818,-2.26487
"46","2021_Q4",155.11140625,"Up",693239000,383982000,2e+07,289257000,269796000,1410000,18051000,-183425000,-223418000,-131765000,154631000,-7529000,-7529000,147102000,147102000,-35663000,111439000,111439000,112456000,112456000,4106907000,325578000,2877921000,8505729000,15816135000,8112524000,389702000,1866087000,3341249000,13709562000,17849000,1988324000,92769000,2098942000,2106573000,15816135000,111439000,8925000,76057000,-36093000,160328000,-83566000,-505923000,-589489000,-18671000,-18827000,-447988000,-447988000,-1025000,-449013000,163556000,389702000,0.22306,0.16222,0.05338,0.00711,6.50799,0.02464,2.84583,2.83715,17.54325,53.11626,0.47249,0.0094,0.16603,0.39206,0.41469
"47","2022_Q1",139.37564516129,"Down",724094000,389198000,2e+07,314896000,288284000,1995000,24617000,-187192000,-246224000,-130651000,160027000,-8804000,-8804000,151223000,66296000,-31788000,34508000,34508000,34868000,34868000,4264428000,392501000,2943782000,8522512000,16123223000,8242291000,607102000,1714425000,3469622000,14033440000,5618000,2004506000,72388000,2082512000,2089783000,16123223000,34508000,10145000,146103000,31079000,221835000,-197077000,-3749000,-200826000,-18685000,45699000,66708000,66708000,215000,66923000,170172000,607102000,0.221,0.04815,0.01668,0.00216,6.71526,0.03765,0.87838,0.87597,18.24098,52.46151,0.4707,0.00372,0.53588,1.26108,1.34103
"48","2022_Q2",123.99,"Down",691226000,398781000,18905000,273540000,251800000,751000,20989000,-187069000,-248357000,-145944000,109856000,-6853000,-6853000,103003000,103003000,-24239000,78764000,78764000,81419000,81419000,4221684000,359779000,2994367000,8358983000,15934813000,8324645000,6e+06,2292612000,3380755000,14004012000,388000,1980467000,-54670000,1926185000,1930801000,15934813000,78764000,8688000,48719000,78128000,214299000,-108819000,-3853000,-112672000,-30645000,-134571000,-32944000,-32944000,222000,-32722000,118544000,6e+06,0.15893,0.11779,0.04217,0.00511,7.25295,0.000379999999999998,2.0577,2.05132,17.46932,48.68037,0.77449,0.00821,0.37639,-2.98437,-3.22039
"49","2022_Q3",125.53046875,"Up",668683000,389846000,21284000,257553000,240689000,-1892000,18756000,-153257000,-232121000,-139190000,144115000,-6814000,-6814000,137301000,137301000,-31738000,105563000,105563000,107946000,107946000,4064795000,400119000,3028511000,7835580000,15329005000,8276067000,-2505224286.139,2269536000,3005645000,13551248000,378000,1948244000,-173098000,1775524000,1777757000,15329005000,105563000,8665000,-86885000,142840000,170183000,30583000,-6729000,23854000,-12178000,-152570000,41467000,41467000,-1127000,40340000,152780000,0,0.21552,0.16143,0.06072,0.00704,7.62267,0,2.81212,2.80372,17.41997,46.25447,0.31725,0.0092,0.11282,-2.61892,-2.77639
