"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",94.3191803278688,"Up",201018000,-81754000,119264000,-92874000,-40139000,-52735000,26390000,-2900000,-4863000,-4863000,1963000,23490000,23490000,-28342000,-4852000,-4852000,-4852000,-4852000,764023000,269366000,494657000,71367000,71367000,73132000,39120000,39120000,947642000,127682000,459758000,288227000,88387000,587440000,1535082000,38851000,38851000,123474000,50115000,162325000,341879000,419741000,582066000,102866000,851307000,-1157000,953016000,953016000,1535082000,-4852000,3698000,873000,48436000,48155000,-1758000,-1758000,-19344000,4979000,4979000,-11415000,4096000,32907000,32907000,32907000,30088000,341879000,105108000,0.5933,0.13128,-0.02414,-0.00509,-0.00316,-21.66282,5.83793,0.61076,0.22271,-0.11375,-0.11091,4.71254,22.3419,2.46408,3,-0.00353,0.07657,-14.03031,-15.99636
"33","2018_Q2",99.99921875,"Up",205384000,-81147000,124237000,-100522000,-45694000,-54828000,23715000,-1681000,-4883000,-4883000,3202000,22034000,22034000,4371000,26405000,26405000,26405000,26405000,760139000,342272000,417867000,75122000,75122000,76505000,64555000,64555000,976321000,129894000,459780000,288227000,94837000,589674000,1565995000,50068000,50068000,94736000,25426000,144804000,345049000,420616000,565420000,98400000,904160000,-1985000,1000575000,1000575000,1565995000,26405000,3704000,17008000,-24905000,22212000,-4102000,-4102000,67354000,1211000,1211000,-17871000,-16660000,72906000,72906000,72906000,27419000,345049000,-5959000,0.6049,0.11547,0.12856,0.02639,0.01686,-0.22568,6.74236,0.5651,0.22034,0.6146,0.60123,4.78049,23.28923,-0.1387,6,0.01858,-0.00419,-15.13877,-17.50327
"34","2018_Q3",97.7290476190476,"Down",217106000,-85814000,131292000,-113291000,-53796000,-59495000,18001000,-3279000,-4888000,-4888000,1609000,14722000,14722000,-442000,14280000,14280000,14280000,14280000,542280000,194864000,347416000,93830000,93830000,87163000,52642000,52642000,775915000,132021000,684675000,396689000,95385000,816696000,1592611000,40323000,40323000,98757000,24503000,139080000,348233000,425063000,564143000,111988000,918440000,-1960000,1028468000,1028468000,1592611000,14280000,3939000,26193000,-15846000,28566000,-7304000,-7304000,-177414000,1977000,5374000,-537000,1440000,-147408000,-147408000,-147408000,21940000,348233000,-768000,0.60474,0.08291,0.06577,0.01388,0.00896999999999999,-0.0537800000000027,5.57891,0.54853,0.21866,0.32969,0.32239,5.01249,23.74502,-0.0177300000000002,5,0.00982,-0.000530000000000004,-8.84444,-10.77979
"35","2018_Q4",83.1253968253968,"Down",230243000,-94616000,135627000,-110497000,-49406000,-61091000,25130000,-2823000,-4932000,-4932000,2109000,22307000,22307000,5454000,27761000,27761000,27761000,27761000,601929000,225326000,376603000,74607000,74607000,77563000,46952000,46952000,801051000,135566000,667672000,396689000,89372000,803238000,1604289000,43647000,43647000,103701000,25880000,147348000,351457000,409234000,556582000,103173000,946201000,-1667000,1047707000,1047707000,1604289000,27761000,4138000,33598000,28851000,94348000,-6861000,-6861000,-39112000,-20875000,0,-3899000,-24774000,30462000,30462000,30462000,29268000,351457000,45804000,0.58906,0.10915,0.12057,0.0265,0.0173,1.64994,5.43646,0.53124,0.21907,0.6418,0.62818,5.32292,24.22164,1.05893,6,0.01905,0.03144,-8.55788,-9.96705
"36","2019_Q1",83.1790163934426,"Up",215534000,-85291000,130243000,-111881000,-48948000,-62933000,18362000,-5264000,-4991000,-4991000,-273000,13098000,13098000,2047000,15145000,15145000,15145000,15145000,613822000,197043000,416779000,73194000,73194000,74972000,64650000,64650000,826638000,139049000,658667000,397344000,90491000,797716000,1624354000,41171000,41171000,103674000,22494000,144845000,354771000,412219000,557064000,107521000,961343000,-1574000,1067290000,1067290000,1624354000,15145000,4131000,22062000,-12922000,28416000,-17258000,-17258000,-47857000,-8286000,6718000,-556000,-8842000,-28283000,-28283000,-28283000,22493000,354771000,-9734000,0.60428,0.08519,0.07027,0.01419,0.00932,-0.64272,5.70705,0.52194,0.21841,0.35135,0.34601,5.00021,24.76024,-0.22582,6,0.01024,-0.00658000000000001,-11.51696,-14.10799
"37","2019_Q2",96.4987301587302,"Up",188113000,-72239000,115874000,-110782000,-49216000,-61566000,5092000,-2174000,-4997000,-4997000,2823000,2918000,2918000,2480000,5398000,5398000,5398000,5398000,613854000,231144000,382710000,69871000,69871000,70489000,60274000,60274000,814488000,138819000,668620000,397344000,110764000,807439000,1621927000,41544000,41544000,93211000,23971000,134755000,358093000,429690000,564445000,90992000,966741000,-251000,1057482000,1057482000,1621927000,5398000,4137000,22695000,-215000,32015000,-3874000,-3874000,31203000,-15004000,11168094.2804119,-14113000,-29117000,34101000,34101000,34101000,9229000,358093000,2660000,0.61598,0.02707,0.0287,0.0051,0.00333,0.49278,6.04421,0.53376,0.22078,0.12499,0.12348,4.35558,24.48498,0.06159,5,0.00363,0.00179,-27.71275,-50.228
"38","2019_Q3",108.27046875,"Up",206709000,-79660000,127049000,-112493000,-48637000,-63856000,14556000,-1309000,-5005000,-5005000,3696000,13247000,13247000,-29276000,-16029000,-16029000,-16029000,-16029000,641814000,189549000,452265000,72301000,72301000,73865000,59662000,59662000,847642000,137644000,617654000,397344000,69954000,755298000,1602940000,41585000,41585000,89452000,21266000,131037000,361430000,420632000,551669000,99669000,950712000,890000,1051271000,1051271000,1602940000,-16029000,4310000,54736000,-3678000,39339000,-5528000,-5528000,-75935000,-4603000,7109000,-396000,-4999000,-41595000,-41595000,-41595000,18866000,361430000,38936000,0.61463,0.07042,-0.07754,-0.01525,-0.01,-2.4291,6.46872,0.52476,0.22548,-0.36946,-0.374,4.76453,24.23121,0.89745,5,-0.01089,0.02645,-14.86187,-19.26243
"39","2019_Q4",109.66828125,"Up",223294000,-89204000,134090000,-110270000,-47718000,-62552000,23820000,-1954000,-5126000,-5126000,3172000,21866000,21866000,-1685000,20181000,20181000,20181000,20181000,694935000,237056000,457879000,76169000,76169000,71453000,52609000,52609000,895166000,136601000,605411000,397344000,67126000,742012000,1637178000,38724000,38724000,93312000,21827000,132036000,364802000,421388000,553424000,112255000,970893000,606000,1083754000,1083754000,1637178000,20181000,4228000,27064000,12024000,63497000,-3371000,-3371000,-13678000,-1000,-1000,-1184000,-2312000,47507000,47507000,47507000,28048000,364802000,38386000,0.60051,0.10668,0.09038,0.01862,0.01233,1.90209,6.77971,0.51065,0.22282,0.46544,0.44077,5.14989,24.9949,0.88531,5,0.01341,0.0255,-11.77029,-13.85949
"40","2020_Q1",99.2237096774194,"Down",-144331000,47532000,-96799000,-35312000,-17596000,-17716000,-132111000,-1931000,-5105000,-5105000,3174000,-134042000,-134042000,21497000,-112225000,9715000,9715000,9715000,725971000,227146000,498825000,75639000,75639000,73057000,69192000,69192000,943859000,135939000,595055000,398402000,62374000,730994000,1674853000,38899000,38899000,98802000,19251000,137701000,368257000,422101000,559802000,133797000,980608000,646000,1115051000,1115051000,1674853000,-112225000,40252000,-23948000,-16753000,-112674000,-10453000,-10453000,-44403000,7388000,7388000,-602000,6781000,-150296000,-9910000.00000006,-9910000.00000006,-91859000,368257000,-140562000,0.67067,0.91533,-0.06731,0.00871,0.0058,-14.46855,6.85441,0.50204,0.21987,0.22359,0.21685,-3.3217,25.66226,-3.23495,3,0.00632,-0.09144,3.89416000000001,2.70767999999998
"41","2020_Q2",93.4615873015873,"Down",214877000,-85711000,129166000,-125219000,-53996000,-71223000,3947000,-2290000,-5541000,-5541000,3251000,1657000,1657000,587000,2244000,2244000,2244000,2244000,1058263000,615770000,442493000,74620000,74620000,68160000,46994000,46994000,1248037000,136391000,586654000,398402000,63648000,723045000,1971082000,42147000,42147000,404586000,23365000,446733000,371993000,424746000,871479000,116557000,983377000,-331000,1099603000,1099603000,1971082000,2244000,4183000,26512000,26761000,59700000,-4505000,-4505000,51505000,-16287000,11919902.1844343,-16294000,277419000,388624000,388624000,388624000,8130000,371993000,29799000,0.60112,0.01837,0.01044,0.00204,0.00114,13.27941,2.7937,0.79254,0.18873,0.05142,0.05055,4.92363,25.19598,0.68281,5,0.00147,0.01955,-84.41205,-173.87129
"42","2020_Q3",100.56375,"Up",17491000,-11231000,6260000,-75285000,-30806000,-44479000,-69025000,-8511000,-11778000,-11778000,3267000,-77536000,-77536000,7856000,-69680000,-1823000,-1823000,-1823000,723344000,277659000,445685000,70487000,70487000,70022000,53584000,53584000,917437000,140200000,866070000,631932000,44215000,1006270000,1923707000,40245000,40245000,94755000.0000001,26358000,1.35e+08,571774000,631061000,766061000,173481000,981554000,2611000,1157646000,1157646000,1923707000,-69680000,3527999.99999999,31656000,2881000,-31615000,-5366000,-5366000,-322420000,7757000,7757000,-462000,-55151000.0000001,-409186000,-338111000,-338111000,-65497000,571774000,-75838000,0.3579,-3.94632,-0.10423,-0.00157,-0.00095,41.60066,6.79583,0.66174,0.29723,-0.04166,-0.04138,0.39974,26.45685,-1.7332,2,-0.00102,-0.0424,2.31415,2.19587000000007
"43","2020_Q4",112.65484375,"Up",132731000,-57247000,75484000,-99083000,-40154000,-58929000,-23599000,-6560000,-8604000,-8604000,2044000,-30159000,-30159000,3457000,-26702000,3162000,3162000,3162000,721786000,230358000,491428000,80460000,80460000,66159000,69244000,69244000,937649000,139673000,865753000,631932000,55745000,1005426000,1943075000,46228000,46228000,104918000,22323000,151146000,561678000,621878000,773024000,183475000,984716000,1860000,1170051000,1170051000,1943075000,-26702000,35196000,-10375000,-5768000,-7649000,-4638000,-4638000,-51395000,398000,398000,-806000,-21691000,-80735000,-47301000,-47301000,11597000,561678000,-2266000,0.5687,-0.1778,0.02382,0.0027,0.00163,-0.71664,6.2036,0.66068,0.28907,0.07217,0.07134,3.02949,26.70557,-0.05172,2,0.00176,-0.00126,-13.80598,6.78452
"44","2021_Q1",143.397049180328,"Up",145829000,-61894000,83935000,-102346000,-41792000,-60554000,-18411000,-5638000,-8219000,-8105863.35808336,465000,-24049000,-24049000,2702000,-21347000,8948000.00000001,8948000.00000001,8948000.00000001,724683000,202720000,521963000,95169000,95169000,47861000,108108000,87103000,975821000,135803000,881863000,376389000,76675000,1017666000,1993487000,54949000,54949000,95069000,12986000,284498000,428945000,509148000,793646000,204363000,993664000,1814000,1199841000,1199841000,1993487000,-21347000,15929000,18505000,-42362000,-29275000,-4789000,-5625009.31153171,-36007000,6860000,6860000,-561999.999999998,290000.000000015,-64992000,-27638000,-27638000,-2481999.99999999,563425000,-52335000,0.57557,-0.12625,0.0613599999999999,0.00746,0.00449,-5.84879,3.42997,0.66146,0.28263,0.20388,0.20006,3.32268,27.33808,-1.19244,4,0.00485,-0.02839,64.97099,8.75879
"45","2021_Q2",139.805079365079,"Down",157857000,-66103000,91754000,-106469000,-42454000,-64015000,-14715000,-10175000,-11324000,-11324000,1149000,-24890000,-24890000,-1992000,-25156000,13509000,13509000,13509000,572932000,205224000,367708000,103699000,103699000,79244000,105056000,105056000,860931000,1.41e+08,868692000,631932000,82381000,1009692000,1870623000,68998000,68998000,81801000,13450000,150799000,434288000,512845000,663644000,199580000,1007173000,226000,1206979000,1206979000,1870623000,-25156000,15559000,16271000,-26998000,-20324000,-6283000,-6283000,146858000,171361172.709778,11847704.0223982,-17817000,-158389000,-31855000,2504000,2504000,844000,434288000,-30445000,0.58125,-0.09322,0.08558,0.01119,0.00722,-2.25368,5.70913,0.54984,0.23216,0.30591,0.29475,3.57466,27.33195,-0.68942,3,0.00785,-0.0177,-164.27014,9.42195
"46","2021_Q3",150.066875,"Up",169492000,-73194000,96298000,-107785000,-42953000,-64832000,-11487000,-6011000,-6486000,-14371015.0808265,475000,-17498000,-17498000,-1165000,-18491000,19931999.9999999,19931999.9999999,19931999.9999999,617267000,303084000,314183000,99546000,99546000,52269000,391921000,94378000,1161003000,139362000,595637000,376389000,78667000,734999000,1896002000,70820000,70820000,84062000,12811000,154882000,439654000,513366000,668248000,200720000,1027105000,-71000,1227754000,1227754000,1896002000,-18491000,15527000,13999000,15029000,26064000,-5074000,-5074000,48008000,-10593999.9999999,8388000,-1915000,-12509000.0000001,61563000.0000001,97860000,97860000,4040000,439654000,15160000,0.56816,-0.06777,0.1176,0.01623,0.01051,0.76059,7.49605,0.54428,0.23188,0.451359999999999,0.434890000000001,3.83813,27.8024,0.3433,8,0.01145,0.00871,-43.96361,15.46209
"47","2021_Q4",184.14234375,"Up",184831000,-75322000,109509000,-118784000,-46128000,-72656000,-9275000,-1079000,-6595000,-15002115.3458639,1476000,-10354000,-10354000,-9386000,-19740000,2087056000,2087056000,2087056000,2726507000,1362412000,1364095000,72596000,72596000,59114000,61936000,61936000,2920153000,143340000,576009000,376389000,70108000,719349000,3639502000,57975000,57975000,400400000,11329000,458375000,445110000,533544000,991919000,4000,2648190000,-611000,2647583000,2647583000,3639502000,-19740000,15810000,18224000,28210000,42504000,-8689000,-8689000,-1059068000,-669160000,231000,-1661000,-670821000,-1687385000,1059328000,1059328000,6535000,445110000,35442000,0.59248,-0.05018,11.2917,0.78829,0.57345,0.01698,6.37066,0.37465,0.1223,47.32231,45.97647,4.19089,60.03181,0.80362,6,0.65607,0.01114,-349.10436,245.97272
"48","2022_Q1",159.803548387097,"Down",208680000,-80849000,127831000,-125192000,-53487000,-71705000,2639000,5656000,-6628000,-11383157.9379694,2596000,8295000,8295000,-884000.000000002,5513000,-3098000.00000048,-3098000.00000048,-3098000.00000048,2039205000,1074623000,964582000,98313000,98313000,49307000,51748000,51748000,2238573000,146516000,573206000,376389000,77839000,719722000,2958295000,47327000,47327000,170901000,13849000,668827000,485089608.043759,77044000,745871000,3999.9999999702,2214839000,-2419000,2212424000,2212424000,2958295000,5513000,15660000,17343000,4438000,42954000,-9689000,-7416139.12709351,387537000,-456107000,5564000,-845999.999999999,-456953000,-26462000,-287789000,-287789000,18299000,450599000,13932000,0.61257,0.01265,-0.0148499999999991,-0.00139999999999996,-0.00105,-4.49709,3.34701,0.33713,0.15232,-0.0751399999999975,-0.0731499999999841,5.06124,53.65924,0.3379,6,-0.00112999999999996,0.00508,-86.81381,-601.97272
"49","2022_Q2",139.980967741935,"Down",233814000,-78042000,155772000,-122189000,-44647000,-77542000,33583000,-181000,-1680000,-1680000,1499000,33402000,33402000,-11689000,22907000,22907000,22907000,22907000,1933718000,765911000,1167807000,79233000,79233000,55515000,54932000,54932000,2123398000,147940000,572424000,376389000,87408000,720364000,2843762000,64388000,64388000,181820000,21640000,246208000,528086000,589899000,836107000,4000,2018117000,-10466000,2007655000,2007655000,2843762000,22907000,15507000,7975000,38820000,85209000,-4554000,-4554000,-217388000,-157778000,12396014.516469,-8755000,-166533000,-298712000,-308712000,-308712000,49090000,528086000,95045000,0.66622,0.14363,0.09797,0.01141,0.00806,4.14917,8.62441,0.41646,0.1857,0.58789,0.55829,6.00062,51.52457,2.43924,9,0.00882,0.03659,-28.63377,-41.85546
"50","2022_Q3",133.67921875,"Down",263150000,-99247000,163903000,-132524000,-49013000,-83511000,31379000,1778000,-1667000,15941501.325187,3445000,33157000,33157000,-10994000,22135000,22135000,22135000,22135000,1477695000,504850000,972845000,72106000,72106000,74026000,86138000,86138000,1709965000,149447000,559986000,376389000,83813000,709433000,2419398000,95365000,95365000,136754000,10696000,232119000,528564000,581935000,814054000,3000,1619396000,-14055000,1605344000,1605344000,2419398000,22135000,14248000,9776000,-47994000,-1835000,-7768000,-7768000,189499000,-414897000,6365000,-5203000,-420121000,-232457000,-261061000,-261061000,45627000,528564000,859000,0.62285,0.11924,0.0841200000000003,0.01379,0.00915000000000001,0.0388099999999998,7.36676,0.50709,0.21847,0.619649999999995,0.604720000000001,7.36661,44.93992,0.0240499999999995,5,0.01012,0.000390000000000001,-20.80196,-30.24733
