"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2019_Q3",7.6778125,"Up",13626000,-9531000,4095000,-2732000,-2400000,-332000,1363000,1363000,1376000,-315000,1061000,1061000,1061000,1061000,13856000,13856000,7938000,7938000,7932000,736000,736000,30462000,649000,4262000,-3613000,3294000,1886000,1340000,68000,3943000,34405000,4658000,1580000,3078000,4658000,87000,87000,87000,4745000,21616000,8044000,29660000,29660000,34405000,1061000,1061000,141000,69000,-676000,595000,-126000,-583000,15000,15000,-172000,-160000,-160000,-160000,1504000,0,1017000,0.30053,0.10003,0.07787,0.03577,0.03084,0.95853,6.53972,0.15998,0,0.1134,0.10785,1.45641,3.1702,0.1087,0.04195,0.03419,-9.21277,-10.16581
"36","2019_Q4",6.1709375,"Down",15511000,-11246000,4265000,-2990000,-2609000,-381000,1275000,1275000,1315000,-277000,1038000,1038000,1038000,1038000,13312000,13312000,9926000,9926000,8086000,757000,757000,32081000,806000,4491000,-3685000,3226000,1818000,1340000,68000,4032000,36113000,5386000,2430000,2956000,5386000,91000,91000,91000,5477000,21741000,8895000,30636000,30636000,36113000,1038000,1038000,140000,63000,-1425000,-184000,-230000,-230000,57000,57000,-130000,-544000,-544000,-544000,1415000,-9.09494701772928e-13,37000,0.27497,0.0822,0.06692,0.03388,0.02874,0.0356500000000007,5.95637,0.17878,1.35525271560688e-20,0.11085,0.10512,1.65647,3.27172,0.00395,0.03987,0.00120000000000001,-9.40777,-10.4407800000001
"37","2020_Q1",5.80838709677419,"Down",15541000,-11409000,4132000,-3097000,-2662000,-435000,1035000,1035000,1058000,-276000,782000,782000,782000,782000,12540000,12540000,12190000,12190000,8245000,685000,685000,33660000,839000,4600000,-3761000,3201000,1749000,1340000,68000,4040000,37700000,6080000,2406000,3653000,6080000,87000,87000,87000,6167000,22044000,9489000,31533000,31533000,37700000,782000,782000,145000,33000,-1680000,-720000,-109000,-110000,246000,246000,58000,-772000,-772000,-772000,1180000,0,-333000,0.26588,0.0666,0.05032,0.0248,0.02074,-0.42583,5.53618,0.19557,0,0.08314,0.07924,1.65222,3.35238,-0.0354,0.03068,-0.01053,-10.62712,-12.11594
"38","2020_Q2",5.08222222222222,"Down",12414000,-9161000,3253000,-3252000,-2656000,-596000,999.999999999884,1000,12000,14000,26000,26000,26000,26000,14390000,14390000,5745000,5745000,8390000,721000,721000,29246000,867000,4710000,-3843000,9719000,4874000,2753000,2092000,10586000,39832000,4531000,1220000,3311000,5464000,2424000,2406000,2424000,7888000,22622000,9322000,31944000,31944000,39832000,26000,26000,255000,253000,5072000,5606000,-53000,-3954000,391000,391000,198000,1850000,1850000,1850000,256000,0,5261000,0.26204,7.99999999999967e-05,0.00209,0.000810000000000002,0.000650000000000001,202.34615,5.35249,0.24693,0,0.00272000000000001,0.00262999999999999,1.29792,3.33984,0.55005,0.00637,0.15308,-56.21094,-14390
"39","2020_Q3",4.489375,"Down",10390000,-7804000,2586000,-2774000,-2246000,-528000,-188000,-170000,-181000,-3000,-184000,-184000,-184000,-184000,14076000,14076000,4950000,4950000,9100000,1121000,1121000,29247000,797000,4720000,-3923000,9368000,4701000,2697000,1970000,10165000,39412000,4759000,1454000,3305000,5736000,1983000,1892000,1983000,7719000,22750000,8943000,31693000,31693000,39412000,-184000,-184000,253000,178000,-388000,-141000,-10000,-10000,32000,32000,-163000,-314000,-314000,-314000,65000,0,-330000,0.24889,-0.01809,-0.01771,-0.00581,-0.00467,1.79348,5.09885,0.24356,0,-0.01896,-0.01959,1.07077,3.2662,-0.03401,0.00033,-0.0098,-216.55385,74.87234
"40","2020_Q4",4.764375,"Up",9544000,-6813000,2731000,-2950000,-2521000,-429000,-219000,-219000,-219000,137000,-82000,-82000,-82000,-82000,15628000,15628000,5048000,5048000,9247000,1245000,1245000,31168000,773000,4775000,-4002000,8953000,4528000,2697000,1728000,9726000,40894000,3822000,1221000,2601000,6008000,3087000,2913000,3087000,9095000,22938000,8861000,31799000,31799000,40894000,-82000,-82000,252000,254000,-1628000,-1204000,-54000,-54000,22000,22000,2810000,1552000,1552000,1552000,33000.0000000001,1234000,-1786000,0.28615,-0.02295,-0.00859,-0.00258,-0.00201,21.7804899999999,5.18775,0.28602,0.03018,-0.00844,-0.00844,0.98237,3.27309,-0.18383,-0.00227,-0.04945,-436.18182,65.7260299999999
"41","2021_Q1",5.88049180327869,"Up",10696000,-7700000,2996000,-2993000,-2557000,-436000,3000,-60000,-60000,219000,159000,159000,159000,159000,15797000,15797000,5669000,5669000,8586000,813000,813000,30865000,810000,4892000,-4082000,9147000,4355000,2467000,1491000,9957000,40822000,4091000,1475000,2573000,6664000,2094000,2094000,2094000,8758000,23044000,9020000,32064000,32064000,40822000,159000,159000,254000,-903000,776000,286000,-118000,-118000,0,0,1000,169000,169000,169000,257000,1699000,696000,0.2801,0.00028,0.01487,0.00496,0.00389,4.37736,4.6316,0.27314,0.04162,0.01634,0.01634,1.09904,3.29466,0.07152,0.00443,0.01941,-54.85603,-4699.33333
"42","2021_Q2",7.0652380952381,"Up",10002000,-7396000,2606000,-3195000,-2764000,-431000,-589000,-597000,-597000,194000,-403000,-403000,-403000,-403000,15489000,15489000,5155000,5155000,9019000,2139000,2139000,31802000,846000,5008000,-4162000,7987000,4198000,2467000,1254000,8833000,40635000,4127000,1510000,2617000,7315000,1162000,1162000,1162000,8477000,23541000,8617000,32158000,32158000,40635000,-403000,-403000,237000,863000,-1274000,-577000,-116000,-116000,385000,385000,385000,-308000,-308000,-308000,-352000,2103000,-1936000,0.26055,-0.05889,-0.04029,-0.01253,-0.00992,4.80397,4.34751,0.2636,0.05175,-0.04085,-0.04085,1.01392,3.25991,-0.19626,-0.01138,-0.05465,38.02841,22.7266600000012
"43","2021_Q3",8.36234375,"Up",11057000,-6287000,4770000,-2085000,-1883000,-202000,2685000,5493000,5493000,-648000,4845000,4845000,4845000,4845000,14762000,14762000,6364000,6364000,9574000,3637000,3637000,34337000,814000,5038000,-4224000,7616000,4103000,2467000,1046000,8430000,42767000,4476000,1236000,3240000,5167000,360000,358000,360000,5527000,23778000,13462000,37240000,37240000,42767000,4845000,4845000,177000,222000,-6019000,-775000,-52000,-52000,1e+05,1e+05,1e+05,-727000,-727000,-727000,2862000,0,-2561000,0.4314,0.24283,0.43818,0.1301,0.11329,-0.52859,6.64544,0.14842,0,0.49115,0.49115,1.12087,3.77508,-0.25961,0.12886,-0.06811,-5.15793,-5.49795
"44","2021_Q4",7.478125,"Down",15257000,-10198000,5059000,-3863000,-3452000,-411000,1196000,1198000,1198000,-272000,926000.000000001,926000,926000,926000,12578000,12578000,10526000,10526000,10400000,4124000,4124000,37628000,759000,5041000,-4282000,8027000,4008000,2467000,1552000,8786000,46414000,6158000,2461000,3697000,7006000,788000,698000,788000,7794000,24232000,14388000,38620000,38620000,46414000,926000,5896934.8837206,178000,477000,-3821000,-2240000,-26000,-26000,82000,82000,82000.0000000001,-2184000,-2184000,-2184000,1374000,0,-2201000,0.33159,0.0783899999999999,0.06069,0.02398,0.01995,-2.37689,5.37083,0.20181,0,0.0930199999999999,0.0914,1.53257,3.87938,-0.22109,0.0235,-0.05585,-9.15429,-10.5167200000001
"45","2022_Q1",7.19209677419355,"Down",21108000,-15775000,5333000,-4210000,-3775000,-435000,1123000,1123000,1123000,-310000,813000,813000,813000,813000,13053000,13053000,13523000,13523000,11179000,2893000,2893000,40648000,708000,5072000,-4364000,8292000,3913000,2467000,1523000,9e+06,49648000,8538000,3504000,5034000,9370000,675000,675000,675000,10045000,24402000,15201000,39603000,39603000,49648000,813000,2819831.28964038,178000,-335000,-186000,470000,-33000,-33000,38000,38000,38000,475000,475000,475000,1301000,0,1392000,0.25265,0.0532,0.03852,0.02053,0.01638,1.71218,4.3381,0.25364,0,0.08167,0.08025,2.1203,3.97812,0.13983,0.02018,0.03456,-10.03305,-11.62333
"46","2022_Q2",6.43161290322581,"Down",16918000,-12834000,4084000,-4446000,-3992000,-454000,-362000,-357000,-357000,79999.9999999999,-277000,-277000,-277000,-277000,13507000,13507000,10514000,10514000,13477000,3586000,3586000,41084000,727000,5176000,-4449000,7925000,3818000,2467000,1274000,8652000,49736000,9041000,3382000,5659000,9739000,545000,545000,545000,10284000,24528000,14924000,39452000,39452000,49736000,-277000,-276999.999999999,180000,145000,509000,557000,-103000,-103000,-450.922810631091,-450.922810527096,4117198.32973894,454000,454000,454000,-182000,0,144000,0.2414,-0.0214,-0.01637,-0.00702,-0.00557,-0.51986,4.2185,0.26067,-3.46944695195361e-18,-0.02755,-0.0271099999999999,1.68287,3.92439,0.01432,-0.00693000000000001,0.00360000000000001,74.21429,37.31215
"47","2022_Q3",6.64171875,"Up",21505000,-15425000,6080000,-5334000,-4478000,-856000,746000,639000,639000,-136000,503000,503000,503000,503000,3752000,3752000,14706000,14706000,19168000,3926000,3926000,41552000,981000,5540000,-4559000,27114000,17330000,7457000,2002000,28095000,69647000,11105000,3008000,8097000,14602000,524000,524000,14868000,29470000,24750000,15427000,40177000,40177000,69647000,503000,503000,438000,217000,-3354000,-2196000,-165000,-24414000,57000,57000,16855000,-9755000,-9755000,-9755000,1184000,16768000,-2199000,0.28272,0.03469,0.02339,0.01252,0.00722,-4.37177,2.84564,0.7335,0.24076,0.04976,0.0491,2.12759,3.9749,-0.21756,0.00875,-0.03826,10.99324,17.44772
