"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",30.894126984127,"Up",144037000,-47355000,96682000,-63180000,-49409000,-13771000,33502000,-2361000,31141000,31141000,-8974000,22167000,22167000,22167000,22167000,113620000,59840000,53780000,118335000,118335000,63767000,10320000,306042000,132146000,1095243000,482693000,569738000,42812000,1227389000,1533431000,37384000,12034000,1920000,23430000,104816000,98744000,142200000,625506000,194383000,778836000,-65294000,907925000,907925000,1533431000,22167000,16038000,-3273000,-9815000,25117000,-4016000,2032000,4000,-11943000,1525000,1525000,-14289000,-24617000,504000,504000,4e+05,904000,49540000,343637000,44683000,0.67123,0.23259,0.1539,0.02442,0.01446,2.01574,2.15219,0.68894,0.2241,0.14849,0.1478,0.96488,6.08203,0.29932,0.08,0.02452,0.03212,0.53877,4.64306,6.86577
"32","2018_Q1",34.4332786885246,"Up",156578000,-54206000,102372000,-62326000,-48629000,-13697000,40046000,-2198000,37848000,37848000,-10238000,27610000,27610000,27610000,27610000,157714000,91612000,66102000,116830000,116830000,60151000,13330000,348025000,135124000,1075070000,452042000,579026000,44002000,1210194000,1558219000,37852000,16856000,2478000,18518000,97670000,91702000,135522000,608592000,199535000,799027000,-48935000,949627000,949627000,1558219000,27610000,14748000,10424000,-1822000,50960000,-5868000,1011000,-4701000,-11511000,1627000,1627000,-6873000,-16757000,29502000,29502000,2270000,31772000,54794000,343771000,57342000,0.65381,0.25576,0.17633,0.02907,0.01772,2.07686,2.56803,0.64087,0.22062,0.18484,0.1838,1.04824,6.35746,0.38389,0.07706,0.0275,0.04031,0.41691,3.39557,4.64608
"33","2018_Q2",37.29765625,"Up",144613000,-46745000,97868000,-71837000,-58289000,-13548000,26031000,-3064000,22967000,22967000,-7104000,15863000,15863000,15863000,15863000,122725000,72464000,50261000,107325000,107325000,66532000,10576000,307158000,136846000,1083376000,451024000,587780000,44572000,1220222000,1527380000,38017000,15082000,3500000,19435000,69014000,63640000,107031000,567570000,207135000,802434000,-49759000,959810000,959810000,1527380000,15863000,15423000,9706000,3704000,44696000,-5273000,3502000,-12405000,-11958000,3806000,3806000,-36802000,-50954000,-18663000,-18663000,-485000,-19148000,41454000,337500000,46989000,0.67676,0.18,0.10969,0.01653,0.01039,2.96218,2.8698,0.59134,0.22097,0.1061,0.10518,0.96729,6.41996,0.3143,0.07998,0.01959,0.03308,0.75383,5.18104,8.25074
"34","2018_Q3",43.3461904761905,"Up",154153000,-52319000,101834000,-77686000,-63775000,-13911000,24148000,-2416000,21732000,21732000,27115000,48847000,48847000,48847000,48847000,162385000,121458000,40927000,98498000,98498000,68280000,16923000,346086000,138461000,1070875000,438360000,589101000,43414000,1209336000,1555422000,25826000,11318000,0,14508000,85853000,79837000,111679000,557603000,215072000,839564000,-56817000,997819000,997819000,1555422000,48847000,15615000,-22366000,-2914000,39182000,-6335000,-4.65661287307739e-10,-6345000,-11988000,2893000,2893000,-355000,15550000,48387000,48387000,607000,48994000,39763000,362500000,3399000,0.6606,0.15665,0.31687,0.04895,0.0314,0.0695800000000002,3.09894,0.55882,0.23306,0.32609,0.32199,1.02909,6.66119,0.02269,0.08003,0.04214,0.00235,0.24542,5.03269,8.28702
"35","2018_Q4",40.9485714285714,"Down",163973000,-53713000,110260000,-67176000,-53285000,-13891000,43084000,-18101000,24983000,24983000,-5244000,19739000,19739000,19739000,19739000,176434000,86608000,89826000,109759000,109759000,88586000,18725000,393504000,142779000,1081525000,443794000,610667000,27064000,1224304000,1617808000,39709000,14530000,6412000,18767000,31180000,23339000,70889000,559516000,226844000,847310000,-15862000,1058292000,1058292000,1617808000,19739000,16273000,-7980000,-6382000,21650000,-3508000,0,-57930000,-11995000,7025000,7025000,-25982000,-952000,-37232000,-37232000,2382000,-34850000,59357000,392500000,54711000,0.67243,0.26275,0.12038,0.01865,0.0122,2.77172,5.55099,0.5287,0.24261,0.13158,0.12938,1.09307,7.05472,0.36471,0.07996,0.02051,0.03537,0.60768,3.64011,5.01499
"36","2019_Q1",44.2003278688525,"Up",180254000,-58073000,122181000,-79266000,-65287000,-13979000,42915000,13355000,56270000,56270000,-14569000,41701000,41701000,41701000,41701000,181754000,121990000,59764000,120296000,120296000,85648000,10668000,398366000,145348000,1049488000,446332000,597890000,5266000,1194836000,1593202000,47691000,18452000,8878000,20361000,31819000,31819000,79510000,514141000,246944000,876931000,-44814000,1079061000,1079061000,1593202000,41701000,17152000,-1502000,7488000,64839000,-5818000,24317000,37968000,-12032000,5446000,5446000,-2746000,-62832000,39975000,39975000,-4593000,35382000,60067000,3.39e+08,76306000,0.67783,0.23808,0.23135,0.03865,0.02617,1.82984,5.01026,0.47647,0.21278,0.27744,0.27116,1.19926,7.17919,0.50768,0.08005,0.0355,0.05041,0.28853,2.61784,3.66413
"37","2019_Q2",49.5728571428571,"Up",162970000,-55367000,107603000,-81840000,-67051000,-14789000,25763000,-8177000,17586000,17586000,-183000,17403000,17403000,17403000,17403000,163721000,94674000,69047000,114753000,114753000,90918000,13720000,383112000,146511000,1342575000,632686000,704790000,5099000,1489086000,1872198000,4.7e+07,18259000,5232000,23509000,23942000,23942000,83442000,762729000,274962000,905139000,-70632000,1109469000,1109469000,1872198000,17403000,19052000,12951000,-9958000,39448000,-4190000,-11694000,-288113000,-12066000,16453000,16453000,-4731000,222531000,-26134000,-26134000,-1182000,-27316000,44815000,561473000,30850000,0.66026,0.15808,0.10679,0.01569,0.0093,1.77268,4.59136,0.68747,0.2999,0.11541,0.1121,1.08079,7.35781,0.20459,0.08002,0.01636,0.01713,0.69333,8.87542,15.43889
"38","2019_Q3",49.40328125,"Down",174510000,-61492000,113018000,-79417000,-63604000,-15813000,33601000,-11835000,21766000,21766000,-4211000,17555000,17555000,17555000,17555000,156533000,85886000,70647000,113283000,113283000,90905000,19213000,379934000,145262000,1319636000,608273000,706355000,5008000,1464898000,1844832000,46859000,16013000,4984000,25862000,28073000,28073000,87432000,748407000,284231000,895205000,-83011000,1096425000,1096425000,1844832000,17555000,19878000,9244000,-113999.999999998,46563000,-4604000,-8972000,-13634000,-12085000,-12997000,2407000,-1.86264514923096e-09,-41207000.0000001,-8278000.00000001,-8278000.00000001,-510000,-8788000,53479000,545369000,52972000,0.64763,0.19254,0.1006,0.01601,0.00952,3.01749,4.34548,0.68259,0.29562,0.11621,0.11326,1.15518,7.25782,0.35065,0.08,0.01675,0.02993,0.68841,7.27082,11.57216
"39","2019_Q4",51.78421875,"Up",184861000,-60251000,124610000,-80519000,-64967000,-15552000,44091000,5786000,49877000,49877000,-5223000,44654000,44654000,44654000,44654000,178790000,95561000,83229000,133927000,133927000,93839000,16877000,423433000,145319000,1303866000,579142000,719608000,5116000,1449185000,1872618000,48512000,14898000,5318000,28296000,37035000,37035000,98047000,726352000,298126000,927773000,-79633000,1146266000,1146266000,1872618000,44654000,19322000,-8106000,-16208000,39662000,-4925000,188000,-4736000,-12086000,8168000,8169000,0,-27043000,7883000,7883000,1791000,9674000,63413000,522265000,47503000,0.67407,0.23851,0.24155,0.03896,0.02385,1.0638,4.31867,0.63367,0.2789,0.29556,0.28716,1.22356,7.58695,0.31441,0.08,0.03175,0.02658,0.27066,5.41648,7.79014
"40","2020_Q1",49.4437096774194,"Down",191665000,-63405000,128260000,-84996000,-68737000,-16259000,43264000,-20478000,22786000,22786000,-6326000,16460000,16460000,16460000,16460000,166033000,100886000,65147000,137466000,137466000,91050000,18058000,412607000,154039000,1317764000,579429000,732667000,5668000,1471803000,1884410000,48363000,16210000,5764000,26389000,41122000,41122000,101985000,718821000,317176000,931934000,-83521000,1165589000,1165589000,1884410000,16460000,19919000,18713000,854000,55946000,-11692000,-1418000,-30316000,-12127000,10921000,10921000,-1566000,-19897000,5733000,5733000,-407000,5326000,63183000,505160000,58671000,0.66919,0.22573,0.08588,0.01412,0.00873,3.56446,4.04576,0.6167,0.26807,0.10861,0.10516,1.26465,7.69081,0.38712,0.08002,0.01593,0.03269,0.73676,5.36738,7.83855
"41","2020_Q2",59.2830158730159,"Up",183243000,-64829000,118414000,-85087000,-69010000,-16077000,33327000,-15521000,17806000,17806000,-3408000,14398000,14398000,14398000,14398000,158411000,99891000,58520000,122724000,122724000,90855000,19955000,391945000,156783000,1376300000,563338000,730412000,82550000,1533083000,1925028000,31687000,14106000,6533000,11048000,44081000,44081000,88268000,750804000,334493000,931358000,-91627000,1174224000,1174224000,1925028000,14398000,20085000,16475000,-10419000,40539000,-10525000,-4560000,-15085000,-12169000,8952000,8952000,-1927000,-24269000,1185000,1185000,-2180000,-995000,53412000,486056000,35876000,0.64621,0.18187,0.07857,0.01226,0.00748,2.49173,4.4404,0.6394,0.25249,0.09464,0.0917,1.20453,7.71866,0.23583,0.07999,0.01437,0.0194,0.84519,6.1343,9.83122
"42","2020_Q3",64.46328125,"Up",184934000,-63532000,121402000,-84412000,-68030000,-16382000,36990000,113333000,150323000,150323000,-30703000,119620000,119620000,119620000,119620000,243950000,110293000,133657000,111753000,111753000,95351000,14020000,465074000,164313000,1369028000,549712000,734241000,85075000,1533341000,1998415000,42679000,19092000,12851000,10736000,49774000,49774000,104953000,675067000,362917000,1038783000,-78352000,1323348000,1323348000,1998415000,119620000,20553000,-94076000,24321000,70418000,-14564000,47859000,33295000,-12196000,18295000,18295000,-1000,-97027000,6686000,6686000,3715000,10401000,57543000,382952000,98003000,0.65646,0.20002,0.64683,0.09039,0.05986,0.81929,4.43126,0.51012,0.19163,0.78351,0.75734,1.21132,8.66792,0.64192,0.07988,0.06916,0.05142,0.10196,2.41562,3.75783
"43","2020_Q4",71.849375,"Up",194680000,-64616000,130064000,-82272000,-66318000,-15954000,47792000,-969000,46823000,46823000,-10390000,36433000,36433000,36433000,36433000,261088000,156216000,104872000,117452000,117452000,99673000,13715000,491928000,165012000,1342082000,530333000,725831000,85918000,1507094000,1999022000,39809000,19735000,10378000,9696000,52676000,52676000,104985000,707754000,382013000,1012713000,-103458000,1291268000,1291268000,1999022000,36433000,21108000,720000,-8792000,49469000,-9282000,28640000,19358000,-12279000,-38869000,11243000,-3513000,-17786000,51041000,51041000,-5117000,45924000,68900000,419848000,61216000,0.66809,0.24549,0.18714,0.02821,0.01823,1.68023,4.6857,0.54811,0.21003,0.23781,0.23163,1.27072,8.42842,0.39957,0.08015,0.02555,0.03211,0.33703,2.30421,3.32189
"44","2021_Q1",90.5998360655738,"Up",175834000,-62520000,113314000,-74004000,-57225000,-16779000,39310000,22215000,61525000,61525000,-2680000,58845000,58845000,58845000,58845000,270893000,146625000,124268000,122534000,122534000,103152000,24341000,520920000,176829000,1329840000,516545000,728308000,84987000,1506669000,2027589000,34559000,23090000,2376000,9093000,59609000,59609000,106668000,646397000,420921000,1057470000,-97199000,1381192000,1381192000,2027589000,58845000,20991000,-24182000,-10863000,44791000,-17373000,4994000,-10473000,-12258000,32493000,32493000,-1831000,-44721000,-10403000,-10403000,811000.000000001,-9592000,60301000,356743000,34745000,0.64444,0.22356,0.33466,0.0426,0.02902,0.59045,4.88356,0.468,0.17594,0.38408,0.37204,1.14765,9.01491,0.22678,0.08001,0.03678,0.01797,0.20831,1.42369,2.18392
"45","2021_Q2",104.608571428571,"Up",204199000,-66468000,137731000,-88639000,-72598000,-16041000,49092000,-9753000,39339000,39339000,-5944000,33395000,33395000,33395000,33395000,287390000,169404000,117986000,122635000,122635000,106003000,25865000,541893000,191677000,1319526000,507591000,731636000,80299000,1511203000,2053096000,42351000,27190000,2157000,13004000,50573000,50573000,105424000,613811000,449065000,1073362000,-83142000,1439285000,1439285000,2053096000,33395000,21088000,16702000,-5176000,66009000,-10938000,2800000,-8138000,-12336000,15418000,15418000,-4890000,-34933000,22938000,22938000,-159000,22779000,70180000,323639000,60010000,0.67449,0.24041,0.16354,0.0232,0.01627,1.79698,5.14013,0.42647,0.15763,0.21665,0.20859,1.32473,9.33728,0.38931,0.08003,0.02333,0.03061,0.3694,0.51651,0.73839
"46","2021_Q3",121.04453125,"Up",224253000,-73353000,150900000,-99905000,-83116000,-16789000,50995000,5372000,56367000,56367000,-10224000,46143000,46143000,46273000,46273000,282952000,165526000,117426000,128243000,128243000,106590000,24148000,541933000,195602000,1330331000,504172000,746666000,79493000,1525933000,2067866000,41883000,24252000,3658000,13973000,63185000,63185000,117568000,537012000,481392000,1104762000,-64238000,1521916000,1530854000,2067866000,46143000,20884000,10157000,12085000,89269000,-11445000,13162000,-8604000,-12392000,16919000,16919000,-2481000,-90079000,-9413999.99999999,-9413999.99999999,5536000,-3877999.99999999,71879000,231535000,82743000,0.6729,0.2274,0.20634,0.03023,0.02238,1.78815,4.60953,0.35079,0.11197,0.29898,0.28745,1.44896,9.83353,0.53463,0.08007,0.02989,0.04216,0.2678,-0.71533,-1.00828
"47","2021_Q4",122.00765625,"Up",243552000,-75277000,168275000,-99648000,-82596000,-17052000,68627000,-23271000,45356000,45356000,47000,45403000,45403000,45782000,45782000,276244000,186136000,90108000,157790000,157790000,109990000,22582000,566606000,198975000,1319061000,489178000,746460000,83423000,1518036000,2084642000,45093000,25842000,3562000,15689000,80047000,80047000,137640000,536700000,514688000,1088788000,-64023000,1539453000,1547942000,2084642000,45403000,21103000,22650000,-14290000,74866000,-10602000,10731000,129000,-12446000,-20523000,22655000,-6133000,-55227000,19768000,19768000,842000,20610000,89730000,215431000,64791000,0.69092,0.28178,0.18798,0.02958,0.02196,1.41521,4.11658,0.34672,0.10334,0.2946,0.2816,1.56722,9.90613,0.41692,0.08009,0.02972,0.03307,0.27185,-0.67773,-0.88614
"48","2022_Q1",102.756290322581,"Down",259028000,-83084000,175944000,-107362000,-86641000,-20721000,68582000,-61469000,7112999.99999999,7112999.99999999,7531000,14644000,14644000,14960000,14960000,231554000,199091000,32463000,145385000,145385000,116748000,16919000,510606000,207907000,1544444000,615968000,843067000,85409000,1752351000,2262957000,50002000,29384000,5336000,15282000,89782000,89782000,152284000,691723000,534801000,1085461000,-57291000,1562971000,1571234000,2262957000,14644000,24672000,46449000,36255000,122020000,-11316000,0,-226903000,-12448000,10100000,10100000,-5839000,117688000,12805000,12805000,150000,12955000,93254000,341327000,110662000,0.67925,0.26477,0.05775,0.00952,0.00661,7.39719,3.35299,0.44024,0.15083,0.09612,0.09118,1.66432,10.04248,0.71103,0.07998,0.01291,0.05212,0.83209,1.17714,1.60061
"49","2022_Q2",93.4104838709677,"Down",257719000,-86722000,170997000,-107775000,-86175000,-21600000,63222000,4161000,67383000,67383000,1598000,68981000,68981000,69615000,69615000,235061000,196321000,38740000,147548000,147548000,117366000,43773000,543748000,207134000,1519305000,596300000,840020000,82985000,1726439000,2270187000,49545000,25621000,6505000,17419000,71947000,71947000,133992000,623232000,584244000,1119337000,-64216000,1639365000,1646955000,2270187000,68981000,24734000,7825000,-53106000,48434000,-6070000,-1050000,-7120000,-12493000,37880000,37880000,-23946000,-39684000,1630000,1630000,-4400000,-2770000,87956000,300223000,27182000,0.6635,0.24531,0.27012,0.04227,0.03066,0.39046,4.05806,0.37841,0.13225,0.44518,0.42285,1.64807,10.48348,0.17382,0.07989,0.03821,0.01265,0.17946,0.74085,1.03069
"50","2022_Q3",86.2025,"Down",269276000,-85585000,183691000,-121343000,-100693000,-20650000,62348000,23831000,86179000,86179000,-14120000,72059000,72059000,80173000,80173000,278980000,211845000,67135000,152896000,152896000,121858000,36496000,590230000,211814000,1502802000,569347000,832056000,101399000,1714616000,2304846000,60031000,26756000,14284000,18991000,82278000,82278000,154809000,602315000,616822000,1145641000,-59474000,1702989000,1702531000,2304846000,72059000,25102000,-7401000,11233000,100993000,-10168000,0,-35168000,-12576000,-22674000,18620000,-1000,-53376000,12449000,12449000,3075000,15524000,87450000,282118000,102635000,0.68217,0.23154,0.29774,0.04709,0.03478,1.28017,3.81263,0.35378,0.1224,0.51269,0.48698,1.72198,10.89035,0.65633,0.08042,0.04289,0.04746,0.15686,0.03588,0.05033
