"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",79.885,"Up",2339004000,-625918000,1713086000,-1582659000,-1238594000,-982216000,-256378000,-344065000,130427000,-17582000,3500000,112845000,130148000,-38220000,91928000,91928000,91928000,91928000,2208887000,1606549000,602338000,3196643000,3196643000,591297000,279527000,311770000,5996827000,1787534000,566953000,9233609000,1255045000,7263846000,714718000,11588096000,17584923000,1752664000,1752664000,5542802000,7295466000,2008391000,780939000,780939000,2789330000,10084796000,8040878000,-464910000,-75841000,7500127000,7500127000,17584923000,91928000,180521000,435856000,-2356999.99999994,705948000,-144016000,-1928000,-360890000,9328000,-497506000,725210000,85135000,260345000,468787000,468787000,-7160000,461627000,310948000,2008391000,202795000,0.7324,0.05576,0.0393,0.01226,0.00523,2.20602000000002,0.82199,1.34462,0.11421,0.13094,0.12634,3.33153,10.68272,0.28885,4,0.00893,0.01971,-0.64479,-1.53722999999999
"29","2017_Q2",87.0838095238095,"Up",2.397e+09,-6.51e+08,1.746e+09,-1.742e+09,-1.366e+09,-1.106e+09,-2.6e+08,-3.76e+08,4e+06,-1.7e+07,0,-1.3e+07,-1e+07,1.1e+07,1e+06,1e+06,1e+06,1e+06,3219550000,2024904000,1194646000,1439875000,1439875000,745066000,447647000,297419000,5404491000,1846413000,639191000,9168835000,1183069000,7290025000,695741000,11654439000,17058930000,1459686000,1459686000,5042652000,7625863000,695845000,802734000,802734000,1498579000,9124442000,8399092000,-474117000,9513000,7934488000,7934488000,17058930000,1e+06,1.85e+08,3.98e+08,6.46e+08,1.23e+09,-1.57e+08,-5.91e+08,-2e+07,0,-7.68e+08,-9e+06,1.6e+08,-4.9e+07,4.13e+08,4.13e+08,5e+06,4.18e+08,1.89e+08,1819370000,6.67e+08,0.72841,0.00167,0.00042,0.00013,6e-05,667,0.70871,1.14997,0.10665,0.00142,0.00142,3.39435,11.23588,0.94453,4,9e-05,0.06318,-7.40836,-350.045
"30","2017_Q3",91.9946031746032,"Up",2.577e+09,-6.7e+08,1.907e+09,-1.823e+09,-1.436e+09,-1.153e+09,-2.83e+08,-3.87e+08,8.4e+07,-1.3e+07,0,7.1e+07,6.3e+07,-1.7e+07,4.6e+07,4.6e+07,4.6e+07,4.6e+07,3501245000,1949110000,1552135000,1569322000,1569322000,740774000,438246000,302528000,5811341000,1866576000,657687000,9083199000,1106590000,7294381000,682228000,11607462000,17418803000,1576822000,1576822000,4818634000,7526185000,696199000,745105000,745105000,1441304000,8967489000,8890160000,-456381000,17535000,8451314000,8451314000,17418803000,4.6e+07,1.92e+08,4.19e+08,-3.26e+08,3.31e+08,-1.28e+08,-3.53e+08,0,-4.3e+07,-5.24e+08,-66000000.0000001,1.83e+08,1.17e+08,-7.6e+07,-7.6e+07,9.31322574615479e-10,-7.6e+07,2.76e+08,1826928000,-1.61e+08,0.74001,0.0326,0.01785,0.00544,0.00264,-3.49999999999989,0.77215,1.06108,0.10488,0.0646,0.06307,3.61918,11.86917,-0.22611,6,0.00417,-0.01461,-6.06637,-19.9323499999999
"31","2017_Q4",101.910158730159,"Up",2.701e+09,-7.14e+08,1.987e+09,-1.832e+09,-1.438e+09,-1.167e+09,-2.71e+08,-3.94e+08,1.55e+08,-1e+07,1e+06,1.45e+08,1.46e+08,-3.9e+07,1.07e+08,1.07e+08,1.07e+08,1.07e+08,3628665000,2071837000,1556828000,1519916000,1519916000,797589000,469946000,327643000,5946170000,1864891000,670406000,9008569000,1036536000,7294141000,677892000,11543866000,17490036000,1686408000,1686408000,4392082000,7216444000,696555000,747667000,747667000,1444222000,8660666000,9230803000,-404987000,3554000,8829370000,8829370000,17490036000,1.07e+08,1.88e+08,4.2e+08,-5.9e+08,1.25e+08,-1.11e+08,-1e+07,0,-1.4e+07,-1.35e+08,-8e+06,1.42e+08,1.34e+08,1.24e+08,1.24e+08,-1e+06,1.23e+08,3.43e+08,1834509000,-3.19e+08,0.73565,0.05739,0.03961,0.01212,0.00612,-2.98131,0.82398,0.98089,0.10489,0.14914,0.14497,3.76475,12.30669,-0.44463,7,0.00938,-0.02795,-5.23078,-11.5752
"32","2018_Q1",114.834262295082,"Up",2.865e+09,-7.38e+08,2.127e+09,-1.916e+09,-1.52e+09,-1.245e+09,-2.75e+08,-3.96e+08,2.11e+08,-1.3e+07,-3e+06,1.98e+08,2.21e+08,-1.5e+07,2.06e+08,2.06e+08,2.06e+08,2.06e+08,4.521e+09,2.543e+09,1.978e+09,3.921e+09,3.921e+09,1.142e+09,4.71e+08,6.71e+08,9.584e+09,1.947e+09,6.77e+08,9.776e+09,9.73e+08,7.314e+09,1.489e+09,1.24e+10,2.1984e+10,2.047e+09,1.046e+09,6.995e+09,9.042e+09,1.72e+09,8.46e+08,8.46e+08,2.566e+09,1.1608e+10,9.753e+09,6.35e+08,-1.2e+07,1.0376e+10,1.0376e+10,2.1984e+10,2.06e+08,1.88e+08,3.64e+08,2.94e+08,1.052e+09,-1.38e+08,-4.13e+08,-5e+06,-2.8e+07,-5.84e+08,-2.3e+07,1.65e+08,19000000.0000001,4.87e+08,4.87e+08,-1.6e+07,4.71e+08,3.99e+08,1.72e+09,5.7e+08,0.74241,0.07365,0.0719,0.01985,0.00937,2.76699,1.05994,1.11874,0.07824,0.28452,0.26938,3.95708,14.33114,0.78727,7,0.01592,0.04404,-7.02005,-13.27488
"33","2018_Q2",127.580625,"Up",3.006e+09,-7.67e+08,2.239e+09,-2.048e+09,-1.624e+09,-1.329e+09,-2.95e+08,-4.24e+08,1.91e+08,-1.7e+07,1e+06,1.74e+08,3.85e+08,-4.1e+07,3.44e+08,3.44e+08,3.44e+08,3.44e+08,7.159e+09,5.922e+09,1.237e+09,1.763e+09,1.763e+09,1.229e+09,5.62e+08,6.67e+08,1.0151e+10,1.95e+09,1.024e+09,9.838e+09,9.64e+08,7.444e+09,1.43e+09,1.2812e+10,2.2963e+10,1.691e+09,1.691e+09,6.201e+09,7.892e+09,3.175e+09,8.36e+08,8.36e+08,4.011e+09,1.1903e+10,1.0124e+10,9.69e+08,-3.3e+07,1.106e+10,1.106e+10,2.2963e+10,3.44e+08,1.81e+08,2.45e+08,6.96e+08,1.466e+09,-1.22e+08,7.23e+08,-1.82e+08,-1.43e+08,2.76e+08,2.451e+09,2.01e+08,1.625e+09,3.367e+09,3.367e+09,1.2e+07,3.379e+09,3.72e+08,3.175e+09,9.87e+08,0.74484,0.06354,0.11444,0.0311,0.01498,2.86919,1.28624,1.07622,0.13827,0.47188,0.45623,4.12346,15.17147,1.35391,6,0.02283,0.06549,-10.70968,-20.85864
"34","2018_Q3",148.39126984127,"Up",3.281e+09,-8.49e+08,2.432e+09,-2.317e+09,-1.854e+09,-1.504e+09,-3.5e+08,-4.63e+08,1.15e+08,-2.7e+07,-1.86264514923096e-09,8.8e+07,2.31e+08,6.8e+07,2.99e+08,2.99e+08,2.99e+08,2.99e+08,3.427e+09,2.319e+09,1.108e+09,1.98e+09,1.98e+09,1.395e+09,7.26e+08,6.69e+08,6.802e+09,1.986e+09,1.202e+09,1.5833e+10,2.121e+09,1.2254e+10,1.458e+09,1.9021e+10,2.5823e+10,2.083e+09,2.083e+09,5.883e+09,7.966e+09,3.676e+09,6.53e+08,6.53e+08,4.329e+09,1.2295e+10,1.2309e+10,1.269e+09,-5e+07,1.3528e+10,1.3528e+10,2.5823e+10,2.99e+08,2.52e+08,3.92e+08,-4.85e+08,4.58e+08,-1.7e+08,3.47e+08,-4.803e+09,-3.5e+07,-4.661e+09,4.07e+08,1.82e+08,5.89e+08,-3.614e+09,-3.614e+09,1.1e+07,-3.603e+09,3.67e+08,3.676e+09,-3.56e+08,0.74124,0.03505,0.09113,0.0221,0.01158,-1.19064,0.85388,0.90886,0.14235,0.40027,0.3863,4.39224,18.10977,-0.47657,6,0.01674,-0.01994,0.678470000000001,2.16522
"35","2018_Q4",137.554285714286,"Down",3.392e+09,-8.89e+08,2.503e+09,-2.411e+09,-1.93e+09,-1.588e+09,-3.42e+08,-4.81e+08,9.2e+07,-2.7e+07,0,6.5e+07,1.28e+08,-2.3e+07,1.05e+08,1.05e+08,1.05e+08,1.05e+08,3.45e+09,2.105e+09,1.345e+09,2.037e+09,2.037e+09,1.383e+09,7e+08,6.83e+08,6.87e+09,1.998e+09,1.251e+09,1.6469e+10,2.202e+09,1.2848e+10,1.419e+09,1.9718e+10,2.6588e+10,2.143e+09,2.143e+09,5.376e+09,7.519e+09,3.676e+09,7e+08,7e+08,4.376e+09,1.1895e+10,1.3394e+10,1.373e+09,-7.4e+07,1.4693e+10,1.4693e+10,2.6588e+10,1.05e+08,2.56e+08,4.79e+08,-6.97e+08,1.43e+08,-1.36e+08,-2.54e+08,-1.3e+08,-2.5e+07,-5.45e+08,-2e+06,1.85e+08,1.82e+08,-2.2e+08,-2.2e+08,6e+06,-2.14e+08,3.48e+08,3.676e+09,-4.62e+08,0.73791,0.02712,0.03096,0.00715,0.00395,-4.4,0.91369,0.80957,0.13826,0.13816,0.13376,4.46316,19.33289,-0.60789,5,0.00551,-0.02423,0.64943,2.45652
"36","2019_Q1",154.996721311475,"Up",3.603e+09,-9.46e+08,2.657e+09,-2.52e+09,-2.002e+09,-1.643e+09,-3.59e+08,-5.18e+08,1.37e+08,-2.3e+07,-9.5e+07,1.14e+08,2.39e+08,1.23e+08,3.62e+08,3.62e+08,3.62e+08,3.62e+08,4.342e+09,2.669e+09,1.673e+09,4.924e+09,4.924e+09,1.417e+09,6.29e+08,7.88e+08,1.0683e+10,2.051e+09,1.302e+09,1.6701e+10,2.075e+09,1.2851e+10,1.775e+09,2.0054e+10,3.0737e+10,2.688e+09,1.521e+09,8.564e+09,1.1252e+10,3.176e+09,7.04e+08,7.04e+08,3.88e+09,1.5132e+10,1.3928e+10,1.735e+09,-5.8e+07,1.5605e+10,1.5605e+10,3.0737e+10,3.62e+08,2.93e+08,3.62e+08,3.14e+08,1.331e+09,-1.67e+08,-6.74e+08,-4.76837158203125e-07,4.63e+08,-3.78e+08,-1.55e+09,1.36e+08,-3.86e+08,5.67e+08,5.67e+08,-3e+06,5.64e+08,4.3e+08,3.176e+09,4.54e+08,0.73744,0.03802,0.10047,0.0232,0.01178,1.25414,0.94943,0.96969,0.10333,0.47135,0.45997,4.69141,20.31901,0.59115,4,0.01858,0.0233,-2.71163,-8.51095
"37","2019_Q2",156.710793650794,"Up",3.737e+09,-9.14e+08,2.823e+09,-2.613e+09,-2.059e+09,-1.697e+09,-3.62e+08,-5.54e+08,2.1e+08,-9e+06,-9e+06,2.01e+08,4.82e+08,-9e+07,3.92e+08,3.92e+08,3.92e+08,3.92e+08,6.379e+09,4.11e+09,2.269e+09,2.153e+09,2.153e+09,1.503e+09,7.17e+08,7.86e+08,1.0035e+10,2.243e+09,1.548e+09,1.9328e+10,1.794e+09,1.2854e+10,4.68e+09,2.3119e+10,3.3154e+10,2.228e+09,2.228e+09,8.26e+09,1.0488e+10,3.173e+09,3.047e+09,3.047e+09,6.22e+09,1.6708e+10,1.4384e+10,2.127e+09,-6.5e+07,1.6446e+10,1.6446e+10,3.3154e+10,3.92e+08,4.37e+08,2.71e+08,8.65e+08,1.965e+09,-1.59e+08,-5.92e+08,-1e+07,3.5e+07,-7.26e+08,-1.2e+07,2.19e+08,2.07e+08,1.446e+09,1.446e+09,-5e+06,1.441e+09,6.47e+08,3.173e+09,1.443e+09,0.75542,0.05619,0.1049,0.02384,0.01182,3.68112,0.95681,1.01593,0.0957,0.50843,0.49433,4.84695,21.33074,1.8716,5,0.01729,0.06366,-4.95518,-15.26667
"38","2019_Q3",151.97203125,"Down",3.997e+09,-9.67e+08,3.03e+09,-2.972e+09,-2.199e+09,-1.824e+09,-3.75e+08,-6.07e+08,5.8e+07,-3e+06,-3e+06,5.5e+07,1.64e+08,-7.3e+07,9.1e+07,9.1e+07,9.1e+07,9.1e+07,6.042e+09,3.51e+09,2.532e+09,2.332e+09,2.332e+09,1.529e+09,7.43e+08,7.86e+08,9.903e+09,2.283e+09,1.614e+09,1.9536e+10,1.725e+09,1.3199e+10,4.612e+09,2.3433e+10,3.3336e+10,2.347e+09,2.347e+09,7.848e+09,1.0195e+10,2.973e+09,3.002e+09,3.002e+09,5.975e+09,1.617e+10,1.5025e+10,2.218e+09,-7.7e+07,1.7166e+10,1.7166e+10,3.3336e+10,9.1e+07,4.57e+08,6.62e+08,-7.74e+08,4.36e+08,-1.78e+08,-2.6e+08,-4.23e+08,8999999.99999994,-8.52e+08,-3.35e+08,1.52e+08,-1.83e+08,-5.99e+08,-5.99e+08,-1e+06,-6e+08,5.15e+08,2.973e+09,-3.64e+08,0.75807,0.01451,0.02277,0.0053,0.00273,-4,0.97136,0.94198,0.08918,0.11712,0.11418,5.14414,22.09266,-0.46847,6,0.00393,-0.01573,-5.95922,-52.91379
"39","2019_Q4",156.7596875,"Up",4.513e+09,-1.134e+09,3.379e+09,-3.314e+09,-2.54e+09,-2.063e+09,-4.77e+08,-7.74e+08,6.5e+07,-7e+06,-7e+06,5.8e+07,6.4e+07,-1.73e+08,-1.09e+08,-1.09e+08,-1.09e+08,-1.09e+08,6.529e+09,3.868e+09,2.661e+09,2.573e+09,2.573e+09,1.924e+09,1.111e+09,8.13e+08,1.1026e+10,2.365e+09,1.76e+09,3.4791e+10,4.987e+09,2.5022e+10,4.782e+09,3.8916e+10,4.9942e+10,2.881e+09,2.881e+09,7.593e+09,1.0474e+10,2.824e+09,3.365e+09,3.365e+09,6.189e+09,1.6663e+10,3.1244e+10,2.109e+09,-7.4e+07,3.3279e+10,3.3279e+10,4.9942e+10,-1.09e+08,6.08e+08,7.58e+08,-9.59e+08,2.98e+08,-1.7e+08,3.47e+08,9.4e+07,-2.08e+08,6.3e+07,-1.64e+08,1.79e+08,1.5e+07,3.76e+08,3.76e+08,-1.8e+07,3.58e+08,6.73e+08,2.824e+09,-2.83e+08,0.74873,0.0144,-0.02415,-0.00328,-0.00218,2.59633,1.0527,0.50071,0.05655,-0.124,-0.12152,5.13424,37.86007,-0.32196,5,-0.00276,-0.00717,-5.5052,-57
"40","2020_Q1",171.452903225806,"Up",4.851e+09,-1.22e+09,3.631e+09,-3.667e+09,-2.836e+09,-2.346e+09,-4.9e+08,-8.31e+08,-3.6e+07,999999.999999999,1e+06,-3.5e+07,-4e+06,-2.44e+08,-2.48e+08,-2.48e+08,-2.48e+08,-2.48e+08,7.947e+09,4.145e+09,3.802e+09,6.174e+09,6.174e+09,1.842e+09,9.16e+08,9.26e+08,1.5963e+10,2.375e+09,1.963e+09,3.4825e+10,4.724e+09,2.5134e+10,4.388e+09,3.9163e+10,5.5126e+10,3.433e+09,3.433e+09,1.1412e+10,1.4845e+10,2.673e+09,3.723e+09,3.723e+09,6.396e+09,2.1241e+10,3.2117e+10,1.861e+09,-9.3e+07,3.3885e+10,3.3885e+10,5.5126e+10,-2.48e+08,6.33e+08,7.09e+08,5.38e+08,1.632e+09,-1.36e+08,-1.897e+09,-30000000.0000001,5.98e+08,-1.465e+09,-1.65e+08,2.9e+08,1.25e+08,2.92e+08,2.92e+08,-1.5e+07,2.77e+08,5.97e+08,2.673e+09,1.243e+09,0.74851,-0.00742,-0.05112,-0.00732,-0.0045,-5.0121,1.07531,0.62686,0.04849,-0.27897,-0.27163,5.45669,38.11586,1.3982,5,-0.00616,0.03086,-8.83417,146.5
"41","2020_Q2",168.49619047619,"Down",4.865e+09,-1.254e+09,3.611e+09,-3.751e+09,-2.892e+09,-2.39e+09,-5.02e+08,-8.59e+08,-1.4e+08,-5e+06,-5e+06,-1.45e+08,4.7e+07,5.2e+07,9.9e+07,9.9e+07,9.9e+07,9.9e+07,9.802e+09,5.772e+09,4.03e+09,3.076e+09,3.076e+09,1.835e+09,9.54e+08,8.81e+08,1.4713e+10,2.518e+09,1.902e+09,3.449e+10,4.488e+09,2.5266e+10,4.736e+09,3.891e+10,5.3623e+10,2.989e+09,2.989e+09,9.854e+09,1.2843e+10,2.673e+09,3.542e+09,3.542e+09,6.215e+09,1.9058e+10,3.274e+10,1.96e+09,-1.35e+08,3.4565e+10,3.4565e+10,5.3623e+10,9.9e+07,6.58e+08,5.59e+08,5.43e+08,1.859e+09,-3.23e+08,-6.12e+08,-1.03e+08,6.01e+08,-4.37e+08,-4.9e+07,2.58e+08,2.09e+08,1.631e+09,1.631e+09,-4e+06,1.627e+09,5.18e+08,2.673e+09,6.86e+08,0.74224,-0.02878,0.02035,0.00286,0.00185,6.92929,1.1456,0.55137,0.04985,0.11049,0.10843,5.42969,38.57701,0.76562,5,0.00243,0.01682,-13.76255,50.92143
"42","2020_Q3",218.90359375,"Up",5.151e+09,-1.311e+09,3.84e+09,-3.662e+09,-2.764e+09,-2.275e+09,-4.89e+08,-8.98e+08,1.78e+08,-2.1e+07,-2.1e+07,1.57e+08,8.39e+08,1.786e+09,2.625e+09,2.625e+09,2.625e+09,2.625e+09,9.283e+09,4.052e+09,5.231e+09,3.445e+09,3.445e+09,2.118e+09,1.17e+09,9.48e+08,1.4846e+10,2.528e+09,2.555e+09,3.7851e+10,4.676e+09,2.6301e+10,6.874e+09,4.2934e+10,5.778e+10,3.485e+09,3.485e+09,9.478e+09,1.2963e+10,2.673e+09,3.704e+09,3.704e+09,6.377e+09,1.934e+10,3.3923e+10,4.585e+09,-6.8e+07,3.844e+10,3.844e+10,5.778e+10,2.625e+09,6.49e+08,-1.857e+09,-9.88e+08,4.29e+08,-1.14e+08,-1.376e+09,-1.154e+09,5.1e+07,-2.593e+09,-2.5e+07,4.66e+08,4.41e+08,-1.723e+09,-1.723e+09,3e+06,-1.72e+09,8.27e+08,2.673e+09,-2.061e+09,0.74549,0.03456,0.50961,0.06829,0.04543,-0.78514,1.14526,0.50312,0.04626,2.89735,2.83784,5.68543,42.42826,-2.27483,5,0.05857,-0.04599,-7.99274,-37.13483
"43","2020_Q4",243.18359375,"Up",5.419e+09,-1.394e+09,4.025e+09,-3.801e+09,-2.899e+09,-2.377e+09,-5.22e+08,-9.02e+08,2.24e+08,-1e+07,-1e+07,2.14e+08,1.25e+09,-1.69e+08,1.081e+09,1.081e+09,1.081e+09,1.081e+09,9.492e+09,3.724e+09,5.768e+09,3.316e+09,3.316e+09,2.138e+09,1.121e+09,1.017e+09,1.4946e+10,2.564e+09,3.927e+09,3.7699e+10,4.398e+09,2.6313e+10,4.424e+09,4.419e+10,5.9136e+10,3.546e+09,3.546e+09,8.688e+09,1.2234e+10,2.672e+09,3.92e+09,3.92e+09,6.592e+09,1.8826e+10,3.4728e+10,5.666e+09,-8.4e+07,4.031e+10,4.031e+10,5.9136e+10,1.081e+09,6.7e+08,-1.99e+08,-1.213e+09,3.39e+08,-1.24e+08,-9.2e+08,-2.4e+07,3.3e+07,-1.035e+09,-1.3e+07,3.81e+08,3.68e+08,-3.28e+08,-3.28e+08,0,-3.28e+08,8.94e+08,2.672e+09,-2.74e+08,0.74276,0.04134,0.19948,0.02682,0.01828,-0.25347,1.22168,0.46703,0.04518,1.18401,1.15,5.93538,44.15115,-0.30011,5,0.02305,-0.00584,-7.62864,-30.44643
"44","2021_Q1",222.623606557377,"Down",5.817e+09,-1.479e+09,4.338e+09,-4.145e+09,-3.206e+09,-2.632e+09,-5.74e+08,-9.39e+08,1.93e+08,-2.8e+07,-2.8e+07,1.65e+08,4.25e+08,-1.58e+08,2.67e+08,2.67e+08,2.67e+08,2.67e+08,1.1966e+10,6.195e+09,5.771e+09,7.786e+09,7.786e+09,2.137e+09,9.91e+08,1.146e+09,2.1889e+10,2.459e+09,3.909e+09,3.8044e+10,4.114e+09,2.6318e+10,4.919e+09,4.4412e+10,6.6301e+10,4.355e+09,4.355e+09,1.3373e+10,1.7728e+10,2.673e+09,4.407e+09,4.407e+09,7.08e+09,2.4808e+10,3.5602e+10,5.933e+09,-4.2e+07,4.1493e+10,4.1493e+10,6.6301e+10,2.67e+08,8.69e+08,5.72e+08,4.66e+08,2.174e+09,-1.49e+08,-1.23e+08,-2.38418579101562e-07,3.66e+08,93999999.9999998,-39999999.9999999,2.16e+08,1.76e+08,2.444e+09,2.444e+09,2.7e+07,2.471e+09,1.062e+09,2.673e+09,1.537e+09,0.74575,0.03318,0.0459,0.00643,0.00403,5.75655,1.23471,0.59788,0.04032,0.29117,0.28344,6.34351,45.24864,1.67612,6,0.0055,0.03164,-8.75047,-48.15026
"45","2021_Q2",230.470952380952,"Up",5.963e+09,-1.555e+09,4.408e+09,-4.054e+09,-3.103e+09,-2.544e+09,-5.59e+08,-9.51e+08,3.54e+08,-3.8e+07,-3.8e+07,3.16e+08,6.04e+08,-1.35e+08,4.69e+08,4.69e+08,4.69e+08,4.69e+08,1.5023e+10,8.544e+09,6.479e+09,3.174e+09,3.174e+09,2.247e+09,1.081e+09,1.166e+09,2.0444e+10,2.49e+09,3.944e+09,3.8007e+10,3.925e+09,2.664e+10,7.442e+09,4.4441e+10,6.4885e+10,3.439e+09,3.439e+09,1.1884e+10,1.5323e+10,2.672e+09,4.323e+09,4.323e+09,6.995e+09,2.2318e+10,3.6233e+10,6.402e+09,-6.8e+07,4.2567e+10,4.2567e+10,6.4885e+10,4.69e+08,6.85e+08,5.9e+08,1.484e+09,3.228e+09,-1.71e+08,-1.007e+09,-4.25e+08,5.56e+08,-1.047e+09,-6e+07,2.25e+08,1.65e+08,2.346e+09,2.346e+09,3e+06,2.349e+09,1.039e+09,2.672e+09,2.487e+09,0.73923,0.05937,0.07865,0.01102,0.00723,5.30277,1.3342,0.5243,0.04118,0.51652,0.5043,6.56718,46.87996,2.73899,6,0.00946,0.05018,-11.88739,-34.88983
"46","2021_Q3",253.95734375,"Up",6.34e+09,-1.613e+09,4.727e+09,-4.395e+09,-3.375e+09,-2.736e+09,-6.39e+08,-1.02e+09,3.32e+08,-3.2e+07,-3.2e+07,3e+08,8.26e+08,-2.91e+08,5.35e+08,5.35e+08,5.35e+08,5.35e+08,9.65e+09,6.299e+09,3.351e+09,4.074e+09,4.074e+09,2.532e+09,1.321e+09,1.211e+09,1.6256e+10,2.711e+09,4.105e+09,6.5586e+10,9.746e+09,4.8103e+10,4.943e+09,7.2402e+10,8.8658e+10,4.274e+09,4.274e+09,1.3119e+10,1.7393e+10,1.0589e+10,5.156e+09,5.156e+09,1.5745e+10,3.3138e+10,4.8667e+10,6.937e+09,-8.4e+07,5.552e+10,5.552e+10,8.8658e+10,5.35e+08,7.19e+08,4.48e+08,-1.316e+09,3.86e+08,-2.13e+08,2.602e+09,-1.4356e+10,9.13e+08,-1.1054e+10,8.065e+09,3.75e+08,8.44e+09,-2.228e+09,-2.228e+09,-1.7e+07,-2.245e+09,1.051e+09,1.0589e+10,-1.87e+08,0.74558,0.05237,0.08438,0.00964,0.00603,-0.34953,0.93463,0.59687,0.11944,0.58921,0.57527,6.98238,61.14537,-0.20595,3,0.00751,-0.00261999999999999,0.89343,2.82831
"47","2021_Q4",280.985625,"Up",6.863e+09,-1.844e+09,5.019e+09,-4.981e+09,-3.778e+09,-3004002199.74441,-685770653.87072,-1.203e+09,3.8e+07,-1.02e+08,-1.02e+08,-6.4e+07,2.99e+08,1.69e+08,4.68e+08,4.68e+08,4.68e+08,4.68e+08,9.391e+09,4.753e+09,4.638e+09,4.019e+09,4.019e+09,2.547e+09,1.305e+09,1.242e+09,1.5957e+10,2.768e+09,4.004e+09,6.4707e+10,9.472e+09,4.7951e+10,4.759e+09,7.1479e+10,8.7436e+10,4.231e+09,4.231e+09,1.0804e+10,1.5035e+10,1.0591e+10,4.756e+09,4.756e+09,1.5347e+10,3.0382e+10,4.9771e+10,7.405e+09,-1.22e+08,5.7054e+10,5.7054e+10,8.7436e+10,4.68e+08,9.63e+08,7.93e+08,-1.82e+09,4.04e+08,-1.66e+08,-1.47e+09,-3.5e+07,6.95e+08,-9.76e+08,-1.4e+09,4.3e+08,-9.7e+08,-1.542e+09,-1.542e+09,-4e+06,-1.546e+09,1.001e+09,1.0591e+10,-1.154e+09,0.73131,0.00554,0.06819,0.0082,0.00535,-2.46581,1.06132,0.53251,0.12113,0.47755,0.46753,7.00306,58.21837,-1.17755,2,0.00646,-0.01594,1.1988,31.57895
"48","2022_Q1",215.213870967742,"Down",7.326e+09,-2.014e+09,5.312e+09,-5.488e+09,-4.197e+09,-3223092308.92826,-679699507.00864,-1.291e+09,-1.76e+08,-5.5e+07,-5.5e+07,-2.31e+08,-1.97e+08,1.69e+08,-2.8e+07,-2.8e+07,-2.8e+07,-2.8e+07,1.0537e+10,5.464e+09,5.073e+09,9.739e+09,9.739e+09,2.574e+09,1.12e+09,1.454e+09,2.285e+10,2.815e+09,4.784e+09,6.476e+10,8.978e+09,4.7937e+10,5.222e+09,7.2359e+10,9.5209e+10,5.47e+09,5.47e+09,1.6314e+10,2.1788e+10,1.0592e+10,4.698e+09,4.698e+09,1.529e+10,3.7078e+10,5.092e+10,7.377e+09,-1.66e+08,5.8131e+10,5.8131e+10,9.5209e+10,-2.8e+07,9.31e+08,1.085e+09,-6e+06,1.982e+09,-1.67e+08,-1.269e+09,-6e+07,3.7e+07,-1.459e+09,-56000000.000001,2.59e+08,203000000.000001,7.26e+08,7.26e+08,-1.5e+07,7.11e+08,7.55e+08,1.0596e+10,4.13e+08,0.72509,-0.02402,-0.00381999999999999,-0.00048,-0.00029,-14.75,1.04874,0.63784,0.11129,-0.02857,-0.02797,7.47551,59.31735,0.42143,2,-0.00038,0.00562,0.0781500000000002,-0.335230000000006
