"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2020_Q1",0.990322580645161,"Up",8745278,-5916343,2828935,-3905646,-3084101,-522203,-299342,-1076711,-189280,-123578,-65702,-1265991,-1265991,-1761690,-1761690,-1761690,-1761690,4604701,4604701,6210831,6210831,7684527,1108335,754640,19608394,11731084,14633702,289491,26364786,45973180,5878688,2227768,3650920,6355263,5640427,518364,518364,6158791,12514054,230579463,-197928855,808518,33459126,33459126,45973180,-1761690,923193,1040197,183538,385238,108147,108147,-243997,-3484.00000000001,-3484,-247481,245904,245904,-282660,-36756,-153518,6044851,0.32348,-0.12312,-0.20144,-0.05265,-0.03832,3.08538,0.37401,0.13149,-0.06825,-0.06825,0.33878,1.29617,-0.04402,-9.38098,-1.33755
"37","2020_Q2",2.27650793650794,"Up",7551930,-5161112,2390818,-3003710,-2341778,-428411,-283521,-612892,-613947,-98541,-515406,-1226839,-1226839,-1375157,-1375157,-1375157,-1375157,4665170,4665170,5527856,5527856,8016688,562991,562991,18772705,11379106,15958348,1897658,27337454,46110159,5888131,2662522,3225609,7002562,5416213,1443023,1443023,6859236,13861798,230690089,-199304012,862284,32248361,32248361,46110159,-1375157,892072,28258,904892,450065,-206573,-206573,-248956,12167,12167,-236789,6703,6703,53766,60469,279180,5800538,0.31658,-0.08116,-0.18209,-0.04264,-0.02982,2.68083,0.42985,0.1258,-0.05325,-0.05325,0.29241,1.24864,-0.03482,4.0668,-1.85248
"38","2020_Q3",2.904375,"Up",9599912,-5670632,3929280,-2871834,-2199133,-468646,-283279,1057446,33540,-89257,122797,1090986,1090986,769117,769117,769117,769117,4277607,4277607,7401375,7401375,7542329,415897,415897,19637208,11640542,15555737,1778326,27196279,46833487,6009724,2699115,3310609,7137218,5175142,1265152,1265152,6440294,13577512,230785530,-198534895,1005340,33255975,33255975,46833487,769117,868148,-24750,-1124109,488406,-767081,-767081,-251944,3.63797880709171e-12,0,-251944,-530619,-530619,143056,-387563,1925594,5553237,0.4093,0.11015,0.08012,0.02313,0.01642,2.75138,0.40827,0.11857,0.02977,0.02977,0.37154,1.2871,0.01919,0.66246,1.20633
"39","2020_Q4",2.8809375,"Down",8708981,-4696805,4012176,-2949364,-2255625,-412326,-281271,1062812,-43426,-85464,42038,1019386,1019386,816017,816017,816017,816017,4381713,4381713,6309284,6309284,8237059,875303,875303,19803359,11119527,15134721,1638581,26254248,46057607,5005132,1906332,3098800,6140173,4929256,1073981,1073981,6003237,12143410,230872255,-197718878,760820,33914197,33914197,46057607,816017,827095,73680,-785480,931312,-344381,-344381,-250751,12445,12445,-238306,348625,348625,-244519,104106,1889907,5307129,0.46069,0.12204,0.0937,0.02406,0.01772,3.22521,0.35806,0.11523,0.03156,0.02686,0.3368,1.31156,0.02025,0.48966,0.87072
"40","2021_Q1",3.79803278688525,"Up",9107140,-5596915,3510225,-2979660,-2164614,-404694,-281270,530565,109549,-66184,175733,640114,747394,656952,656952,656952,656952,5387388,5387388,6188726,6188726,8984482,697232,565181,21257828,11799061,14518029,1296160,26317090,47574918,5378599,2558638,2819961,7403411,4716800,887766,887766,5604566,13007977,230892975,-197061926,735892,34566941,34566941,47574918,656952,837123,66782,302173,1863030,-937758,-937758,83068,22263,22263,105331,1030603,1030603,-24928,1005675,1367688,5976190,0.38544,0.05826,0.07214,0.01901,0.01381,2.87136,0.37631,0.12562,0.02537,0.0236,0.35175,1.33509,0.01586,0.43051,1.10976
"41","2021_Q2",2.64380952380952,"Down",9508972,-5658780,3850192,-3172245,-2440477,-450497,-281271,677947,-146284,-58549,-87735,531663,531708,97068,97068,97068,97068,5386587,5386587,6258927,6258927,9647434,666501,666501,21959449,12270410,14470824,1530225,26741234,48700683,5475326,2337477,3137849,7454991,4502636,1075781,1075781,5578417,13033408,231166933,-196964858,1465200,35667275,35667275,48700683,97068,826308,253729,-514667,662438,-1216817,-1216817,-312839,137109,137109,-175730,-730109,-730109,729308,-801,1504255,5667994,0.4049,0.0713,0.01021,0.00272,0.00199,2.9456,0.36542,0.11638,0.00374,0.00341,0.36598,1.37275,0.00229,0.18707,0.41509
"42","2021_Q3",2.21109375,"Down",9922171,-6291835,3630336,-3574351,-2763178,-529902,-281271,55985.0000000001,38105,-55147,93252,94090,94567.0000000001,-146545,-146545,-146545,-146545,5306243,5306243,6842818,6842818,9693277,346377,346377,22188715,13631399,14076493,1417165,27707892,49896607,6078011,2737740,3340271,8132271,4519460,891849,891849,5411309,13543580,231275834,-197111403,2188596,36353027,36353027,49896607,-146545,864855,131255,30032,879597,-943893,-943893,56627,2733.99999999997,2733.99999999997,59361,-4935.00000000023,-4935.00000000023,-75409,-80344.0000000002,920840,5730187,0.36588,0.00563999999999999,-0.01477,-0.00403,-0.00294,2.72848,0.37256,0.11484,-0.00561,-0.00619,0.37991,1.39192,-0.00341,0.46039,7.57246
"43","2021_Q4",2.06078125,"Down",10701362,-6797605,3903757,-3727627,-2805829,-640528,-281270,176130,-81387,-52795,-28592,94743,85270,-222564,-222564,-222564,-222564,5940699,5940699,6158709,6158709,8883283,806757,487937,21789448,13304537,13614486,1236429,26919023,48708471,5718509,2196823,3521686,7744280,4317420,656535,656535,4973955,12718235,231508721,-197333967,1815482,35990236,35990236,48708471,-222564,917309,224082,615373,1534200,-560857,-560857,-229157,32826,32826,-196331,777012,777012,-142556,634456,1093439,5494022,0.36479,0.01646,-0.0208,-0.00618,-0.00457,2.81362,0.35338,0.11279,-0.00844,-0.00844,0.40594,1.36523,-0.00528,-0.40851,-2.53606
"44","2022_Q1",2.27016129032258,"Up",8332316,-6268831,2063485,-4806408,-3980113,-545024,-281271,-2742923,1160302,-48863,-171095,-1582621,-1582621,-1532950,-1532950,-1532950,-1532950,6774694,6774694,4656354,4656354,8659587,612467,475364,20703102,13279867,20628021,9043235,33907888,54610990,6801641,2924333,3877308,8448206,4124166,8461133,8461133,12585299,21033505,231708510,-200247177,2116152,33577485,33577485,54610990,-2913210,900964,694922,2973113,1655789,-437217,-437217,-530730,1,1.00000000000728,-530729,687843,687843,146152,833995,-1841959,4971224,0.24765,-0.32919,-0.18398,-0.04565,-0.02807,2.45059,0.62642,0.09103,-0.05721,-0.05721,0.31097,1.25314,-0.03261,0.9791,0.6575
"45","2022_Q2",1.56806451612903,"Down",9103343,-5931408,3171935,-3577328,-2869046,-427011,-281271,-405393,-96831,-45749,-51082,-502224,-502224,-632097,-632097,-632097,-632097,3976981,3976981,5927938,5927938,8708481,457905,455662,19071305,13727842,21275488,9971973,35003330,54074635,6001948,2581594,3420354,7765116,4129263,9240725,9240725,13369988,21135104,231846827,-200879274,1971978,32939531,32939531,54074635,-632097,910962,194179,-2090726,-1617682,-1199005,-1199005,29201,21726,21726,50927,-2765760,-2765760,-31953,-2797713,505569,4995950,0.34844,-0.04453,-0.06944,-0.01919,-0.01169,2.45602,0.64163,0.09239,-0.02342,-0.02342,0.33724,1.22026,-0.0134,2.01549,-2.51353
"46","2022_Q3",1.48046875,"Down",9243174,-6443328,2799846,-3780229,-2946998,-551960,-281271,-980383,-39512,-50331,10819,-1019895,-1019895,-1055291,-1055291,-1055291,-1055291,5052755,5052755,4955494,4955494,7315065,686185,418860,18009499,13158718,20688496,9666252,33847214,51856713,5328143,2249296,3078847,7049634,3794683,8943334,8943334,12738017,19787651,232031365,-201934565,1972262,32069062,32069062,51856713,-1055291,928439,239807,1347355,1460310,-118368,-118368,-232634,0,0,-293857,1048085,1048085,27689,1075774,-51944,4699385,0.30291,-0.10607,-0.11417,-0.03291,-0.02035,2.55467,0.61703,0.09062,-0.03909,-0.03909,0.34242,1.18801,-0.02309,6.8029,0.36044
