"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q4",7.79,"Up",28963000,-13141000,15822000,-27450000,-20020000,-7430000,-11628000,-3902000,-4019000,-4019000,117000,-15530000,-15530000,780000,-14750000,-14750000,-14750000,-14750000,35829000,35829000,18379000,18379000,15424000,2228000,2228000,71860000,9760000,170670000,6362000,180430000,252290000,27354000,6246000,21108000,11511000,11511000,38865000,21668000,5705000,2173000,191013000,229878000,567003000,-544075000,-516000,22412000,22412000,252290000,-14750000,1191000,7816000,7816000,1679000,-4064000,-198000,802000,13000,13000,-140000,-3402000,-3402000,-193000,-3595000,-10437000,169345000,-9736000,0.54628,-0.40148,-0.50927,-0.65813,-0.05846,0.66007,1.84896,10.25692,0.67123,-0.37789,-0.37789,0.74201,0.57418,-0.24943,-0.06911,-0.04562,-12.79256,-11.48228
"32","2019_Q1",10.5408196721311,"Up",32325000,-13514000,18811000,-29929000,-21971000,-7958000,-11118000,-3897000,-4069000,-4069000,172000,-15015000,-15015000,240000,-14775000,-14775000,-14775000,-14775000,95401000,95401000,16651000,16651000,13003000,2051000,2051000,127106000,8825000,167716000,6208000,176541000,303647000,26118000,4027000,22091000,11464000,11464000,37582000,21891000,6327000,1850000,193949000,231531000,631654000,-558851000,-687000,72116000,72116000,303647000,-14775000,1249000,11796000,11796000,1092000,-638000,-20000,-19000,59585000,59585000,59952000,59295000,59295000,277000,59572000,-9869000,172058000,-9037000,0.58193,-0.34394,-0.45708,-0.20488,-0.04866,0.61164,3.3821,3.21054,0.56664,-0.35595,-0.35595,0.77875,1.73736,-0.21771,-0.05553,-0.03397,-7.76745,-6.89486
"33","2019_Q2",12.7368253968254,"Up",30111000,-13121000,16990000,-31196000,-22824000,-8372000,-14206000,-2217000,-2701000,-2701000,484000,-16423000,-25423000,-42000,-25465000,-25465000,-25465000,-25465000,75133000,65634000,19309000,19309000,13754000,3282000,3282000,111478000,8234000,171735000,13027000,179969000,291447000,18156000,6936000,11220000,16026000,12325000,34182000,25240000,6118000,5769000,75020000,109202000,767238000,-584316000,-677000,182245000,182245000,291447000,-25465000,1191000,16288000,16288000,-12144000,-20130000,-266000,-9757000,255000,255000,147000,-29740000,-29740000,-27000,-29767000,-13015000,49780000,-25383000,0.56425,-0.47179,-0.8457,-0.13973,-0.08737,0.99678,3.26131,0.5992,0.1708,-0.43596,-0.43596,0.5155,3.12005,-0.43456,-0.09898,-0.09866,1.94798,1.78467
"34","2019_Q3",7.8765625,"Down",28196000,-12833000,15363000,-29999000,-22134000,-7865000,-14636000,-260000,-491000,-491000,231000,-14896000,-14896000,1143000,-13753000,-13753000,-13753000,-13753000,68861000,24046000,19262000,19262000,14269000,4387000,4387000,106779000,8298000,168716000,12808000,177014000,283793000,21998000,8075000,13923000,15322000,11972000,37320000,2.4e+07,6318000,5387000,73833000,111153000,771332000,-598069000,-623000,172640000,172640000,283793000,-13753000,1160000,6108000,6108000,1472000,-5013000,-419000,-35542000,793000,793000,1040000,-39515000,-39515000,2000,-39513000,-13476000,49833000,-13566000,0.54486,-0.51908,-0.48776,-0.07966,-0.04846,0.9864,2.86117,0.64384,0.1756,-0.19807,-0.19807,0.40608,2.48635,-0.19538,-0.0558,-0.05504,1.41199,1.30008
"35","2019_Q4",3.51765625,"Down",26496000,-12458000,14038000,-27854000,-20729000,-7125000,-13816000,-239000,-444000,-444000,205000,-14055000,-14055000,1168000,-12887000,-12887000,-12887000,-12887000,62761000,25886000,14014000,14014000,14998000,4781000,4781000,96554000,8396000,164444000,11336000,172840000,269394000,19065000,5339000,13726000,14301000,11938000,33366000,23570000,7501000,4932000,73423000,106789000,774319000,-610956000,-758000,162605000,162605000,269394000,-12887000,1133000,6658000,6658000,548000,-4548000,-1346000,6549000,1000,1000,-181000,1820000,1820000,20000,1840000,-12683000,49853000,-14649000,0.52982,-0.52144,-0.48638,-0.07925,-0.04784,1.13673,2.89378,0.65674,0.18506,-0.19298,-0.19298,0.39677,2.43497,-0.21937,-0.0546,-0.06206,1.01774,0.93428
"36","2020_Q1",3.28548387096774,"Down",32440000,-14552000,17888000,-27069000,-18791000,-8278000,-9181000,-130000,-643000,-643000,513000,-9311000,-12331000,-354000,-12685000,-12685000,-12685000,-12685000,58639000,21661000,18981000,18981000,13884000,4592000,4592000,96096000,8056000,160660000,10352000,168716000,264812000,19185000,5152000,14033000,13636000,11803000,32821000,24558000,8168000,4896000,78379000,111200000,777835000,-623641000,-582000,153612000,153612000,264812000,-12685000,1121000,9518000,9518000,-3473000,-5519000,-5e+05,-550999.999999996,9000,9000,1784000,-4286000,-4286000,61000,-4225000.00000001,-8060000,53821000,-11679000,0.55142,-0.28301,-0.39103,-0.08258,-0.0479,0.92069,2.92788,0.7239,0.20324,-0.18995,-0.18995,0.48578,2.3003,-0.17489,-0.05468,-0.05034,0.59777,0.52478
"37","2020_Q2",3.48253968253968,"Up",27617000,-11165000,16452000,-31394000,-22695000,-8699000,-14942000,-1718000,-9e+05,-9e+05,-818000,-16660000,-16660000,680000,-15980000,-15980000,-15980000,-15980000,48485000,34992000,14410000,14410000,16294000,3244000,3244000,82433000,8143000,199643000,44703000,207786000,290219000,21512000,9440000,12072000,13852000,12667000,35364000,59439000,8438000,40072000,113359000,148723000,782102000,-639721000,-885000,141496000,141496000,290219000,-15980000,1092000,5933000,5933000,4660000,-4295000,-1030000,17460000,12291370.480879,12291370.480879,-503000,12662000,12662000,-331000,12331000,-13850000,53920000,-10900000,0.59572,-0.54104,-0.57863,-0.11294,-0.05506,0.6821,2.33099,1.05108,0.18579,-0.2268,-0.2268,0.39196,2.00823,-0.1547,-0.0627,-0.04277,-0.39242,-0.36374
"38","2020_Q3",6.90296875,"Up",26058000,-10720000,15338000,-29064000,-20616000,-8448000,-13726000,-434000,-897000,-897000,463000,-14160000,-14160000,1145000,-13015000,-13015000,-13015000,-13015000,45396000,42965000,9983000,9983000,18900000,4171000,4171000,78450000,7865000,196033000,44061000,203898000,282348000,21899000,9384000,12515000,16449000,14279000,38348000,57268000,7936000,39677000,111281000,149629000,786264000,-652736000,-809000,132719000,132719000,282348000,-13015000,924000,8199000,8199000,1102000,-2790000,-641000,10126000,24745475.3883272,24745475.3883272,511000.000000001,7847000,7847000,126000,7973000,-12802000,54013000,-13486000,0.58861,-0.52675,-0.49946,-0.09806,-0.0461,1.03619,2.04574,1.12741,0.1913,-0.18351,-0.18351,0.36741,1.87128,-0.19015,-0.05334,-0.05527,-0.6731,-0.62779
"39","2020_Q4",6.5696875,"Down",39861000,-14542000,25319000,-30783000,-22655000,-8128000,-5464000,-778000,-885000,-885000,107000,-6242000,-6242000,243000,-5999000,-5999000,-5999000,-5999000,72345000,72345000,17613000,17613000,19560000,13145000,5689000,122663000,7531000,192783000,43373000,200314000,322977000,26658000,10971000,15687000,16133000,13436000,42791000,74092000,25908000,39143000,128213000,171004000,810997000,-658735000,-289000,151973000,151973000,322977000,-5999000,972000,8317000,8317000,-7889000,-4599000,-339000,13211000,21321000,21321000,20417000,29029000,29029000,291000,29320000,-4492000,54121000,-12963000,0.63518,-0.13708,-0.1505,-0.03947,-0.01857,2.16086,2.86656,1.12523,0.16757,-0.08274,-0.08274,0.54981,2.09618,-0.1788,-0.02141,-0.04627,4.05699,3.33529
"40","2021_Q1",5.49196721311475,"Down",44608000,-18391000,26217000,-43121000,-31935000,-11186000,-16904000,-135000,-890000,-890000,755000,-17039000,-17039000,-987000,-18026000,-18026000,-18026000,-18026000,68520000,68520000,25423000,25423000,19689000,4031000,4031000,117663000,17531000,189563000,42794000,207094000,324757000,34889000,9220000,25669000,19360000,16387000,54249000,77234000,29026000,39511000,131458000,185707000,815699000,-676761000,112000,139050000,139050000,324757000,-18026000,1026000,8726000,8726000,4541000,-3733000,-10707000,-822000,-644000,-644000,432000,-4123000,-4123000,299000,-3824000,-15878000,54224000,-21057000,0.58772,-0.37895,-0.4041,-0.12964,-0.05551,1.16815,2.16894,1.33554,0.16697,-0.24129,-0.24129,0.59711,1.86127,-0.28186,-0.06664,-0.07784,0.900370000000001,0.84572
"41","2021_Q2",5.34555555555556,"Down",32794000,-13753000,19041000,-38361000,-27608000,-10753000,-19320000,-1172000,-887000,-887000,-285000,-20492000,-20492000,1671000,-18821000,-18821000,-18821000,-18821000,49744000,49744000,15412000,15412000,21892000,9279000,9279000,96327000,23784000,185087000,41631000,208871000,305198000,36282000,12552000,23730000,17247000,14222000,53529000,74894000,29369000,38793000,128731000,182260000,818851000,-695582000,-331000,122938000,122938000,305198000,-18821000,934000,7270000,7270000,-2284000,-12901000,-6923000,-4923000,-4741105.52815629,-4741105.52815629,-1026000,-18850000,-18850000,74000,-18776000,-18386000,53837000,-29264000,0.58062,-0.58913,-0.57392,-0.15309,-0.06167,1.55486,1.79953,1.48254,0.1764,-0.25193,-0.25193,0.43897,1.6456,-0.39172,-0.07478,-0.11628,-0.22262,-0.21185
"42","2021_Q3",6.57875,"Up",31018000,-14597000,16421000,-33689000,-24248000,-9441000,-17268000,-392000,-896000,-887214.92065222,504000,-17660000,-17660000,517000,-17143000,-17143000,-17143000,-17143000,30863000,30863000,15666000,15666000,25074000,6603000,6603000,78206000,27718000,183391000,42823000,211109000,289315000,28199000,11224000,16975000,24649000,21678000,52848000,73074000,27037000,39337000,127017000,179865000,822459000,-712725000,-284000,109450000,109450000,289315000,-17143000,917000,7900000,7900000,-6338000,-14664000,-4172000,-4172000,894000,894000,-133000,-18969000,-18969000,88000,-18881000,-16351000,53943000,-27378000,0.5294,-0.55671,-0.55268,-0.15663,-0.05925,1.59704,1.47983,1.64335,0.18645,-0.22718,-0.22718,0.41105,1.45042,-0.36281,-0.0725,-0.11578,-1.41153,-1.33658
"43","2021_Q4",4.68125,"Down",28504000,-14835000,13669000,-33281000,-24072000,-9209000,-19612000,-653000,-968000,-903286.560869626,315000,-20265000,-15265000,1422000,-13843000,-13843000,-13843000,-13843000,29309000,29309000,13732000,13732000,24498000,5926000,5926000,73465000,28913000,179810000,42390000,208723000,282188000,27260000,10786000,16474000,20030000,17157000,47290000,71517000,25164000,39124000,135561000,182851000,826635000,-726568000,-730000,99337000,99337000,282188000,-13844000,893000,7875000,14118000.3278377,-4418000,-9494000,-1706000,-1706000,-1000,-1000,9821000,-1379000,-1379000,-175000,-1554000,-18719000,64044000,-26265000,0.47955,-0.68804,-0.48565,-0.13935,-0.04906,1.89735,1.5535,1.84071,0.22696,-0.1814,-0.1814,0.37351,1.30169,-0.34417,-0.05893,-0.11181,-1.8556,-1.77111
"44","2022_Q1",3.45387096774194,"Down",38265000,-18023000,20242000,-31501000,-22960000,-8541000,-11259000,-1115000,-1072000,-946964.92065222,-43000,-12374000,-10243000,813000,-9430000,-9430000,-9430000,-9430000,28451000,28451000,18320000,18320000,20825000,4470000,4470000,72066000,28034000,175114000,40808000,203148000,275214000,24195000,10602000,13593000,18535000,15482000,49568000,66841000,24082000,38430000,131050000,180618000,831501000,-735998000,-907000,94596000,94596000,275214000,-9429000,909000,8411000,29215100.3278377,-6893000,-7002000,-463000,-1145000,-684000,-684000,7297000,-850000.000000002,-850000.000000002,-8000,-858000,-10350000,71047000,-18519000,0.529,-0.29424,-0.24644,-0.09969,-0.03426,1.96384,1.45388,1.90936,0.25815,-0.11979,-0.11979,0.48608,1.20165,-0.23525,-0.04056,-0.07966,-4.11556,-3.78328
"45","2022_Q2",3.82333333333333,"Up",26504000,-14267000,12237000,-39740000,-30875000,-8865000,-27503000,-912000,-1030000,-1030000,118000,-28415000,-76862000,574000,-76288000,-76288000,-76288000,-76288000,29983000,29983000,15422000,15422000,23245000,4547000,4547000,73197000,27699000,171042000,39834000,198741000,271938000,28070000,12517000,15553000,19103000,15894000,47173000,100483000,23030000,73909000,164860000,212033000,835456000,-812286000,-1057000,59905000,59905000,271938000,-76288000,1003000,56623000,56623000,3072000,-15590000,-868000,-868000,2257518.11711844,2257518.11711844,18075000,1617000,1617000,-85000,1532000,-26500000,64377000,-24870000,0.4617,-1.03769,-2.87836,-1.27348,-0.28053,0.326,1.55167,3.53949,0.23673,-0.99983,-0.99983,0.34736,0.28981,-0.32595,-0.33941,-0.11065,-1.29789,-1.25055
