"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",18.5184126984127,"Up",38804000,-36811000,1993000,-3423000,-3423000,-1430000,-198000,-117000,-117000,-81000,-1628000,-1628000,41000,-1587000,-2069000,-2069000,-2069000,5303000,5303000,24245000,24245000,18998000,87745000,1013000,50293000,136291000,79043000,10591000,10591000,89634000,225925000,11486000,3699000,7787000,291000,291000,12021000,424000,11038000,82000,10956000,11462000,23483000,119715000,83915000,-1188000,202442000,202442000,225925000,-1587000,-2069000,1713000,601000,-11665000,-11296000,-858000,-861000,-861000,-858000,-71000,0,-71000,-12225000,-12225000,-12225000,283000,668000,-12281000,0.05136,-0.03685,-0.05332,-0.01022,-0.00916,5.93572,11.33774,0.116,0.00296,-0.2151,-0.2151,4.0341,21.04605,-1.27674,3,-0.00966,-0.05735,-16.37809,3.24126
"32","2018_Q1",19.2668852459016,"Up",35627000,-33794000,1833000,-3308000,-3308000,-1475000,140000,-115000,-121000,255000,-1335000,-1335000,-507000,-1842000,-2158000,-2158000,-2158000,43646000,43646000,28990000,28990000,17055000,51064000,6562000,44502000,140755000,78756000,10813000,10813000,89569000,230324000,14084000,7521000,6563000,2599000,2599000,17001000,737000,12322000,941000,11381000,13059000,30060000,119952000,81757000,-1445000,200264000,200264000,230324000,-1842000,-2158000,1386000,1340000,6433000,6680000,-774000,-774000,-774000,31731000,-68000,0,-68000,38343000,38343000,38343000,-89000.0000000002,1055000,6077000,0.05145,-0.0414,-0.06057,-0.01078,-0.00937,-2.81603,8.27922,0.1501,0.00458,-0.22435,-0.22435,3.70382,20.81963,0.63177,3,-0.0101,0.02844,478.55056,28.87525
"33","2018_Q2",20.3603125,"Up",33365000,-32017000,1348000,-3385000,-3385000,-2037000,119000,-51000,-128000,170000,-1918000,-2223000,272000,-1951000,-1951000,-1951000,-1951000,39991000,39991000,24241000,24241000,17126000,50528000,5683000,44845000,131886000,78349000,9492000,9492000,87841000,219727000,9565000,4460000,5105000,1155000,1155000,11117000,1022000,11321000,354000,10967000,12343000,23460000,118732000,78931000,-1396000,196267000,196267000,219727000,-1951000,-1951000,1522000,38000,-1875000,-2266000,-744000,-744000,-744000,6000,-94000,-1301000,-1395000,-3655000,-3655000,-3655000,-515000,1419000,-3406000,0.0404,-0.06105,-0.05847,-0.00994,-0.00888,1.74577,11.86345,0.11953,0.00646,-0.20099,-0.20099,3.43721,20.21912,-0.35088,3,-0.00933,-0.0163,74.89709,18.93569
"34","2018_Q3",18.9268253968254,"Down",28785000,-30023000,-1238000,-3806000,-3806000,-5044000,33000,13000,-128000,20000,-5011000,-5794000,108000,-5686000,-5686000,-5686000,-5686000,41887000,41887000,16334000,16334000,19270000,52708000,5300000,44320000,130199000,74430000,9300000,9300000,83730000,213929000,10581000,5568000,5013000,184000,184000,11165000,920000,11016000,233000,10783000,11936000,23101000,118932000,73245000,-1349000,190828000,190828000,213929000,-5686000,-5686000,1646000,153000.000000001,6776000,2889000,-894000,-896000,-896000,-893999.999999996,-98999.9999999998,2.3283064365387e-10,-99000,1895999.99999999,1895999.99999999,1895999.99999999,-3398000,1320000,2376000,-0.04301,-0.17523,-0.19753,-0.0298,-0.02658,-0.417870000000001,11.66135,0.12106,0.00617,-0.58456,-0.58456,2.95929,19.61838,0.24427,4,-0.02799,0.01169,11.93849,8.04262
"35","2018_Q4",21.2784126984127,"Up",52455000,-47252000,5203000,-5332000,-5332000,-129000,-32000,-91000,-129000,59000,-161000,24345000,3456000,27801000,27801000,27801000,27801000,1547000,1547000,33955000,33955000,34742000,69480000,5350000,64130000,139724000,107907000,9593000,9593000,117500000,257224000,25354000,19291000,6063000,802000,802000,26586000,1121000,10881000,67000,10814000,12002000,38588000,118932000,101046000,-1342000,218636000,218636000,257224000,27801000,27801000,2476000,-27453000,-10677000,-7853000,-1343000,-1447000,-1447000,-32718000,231000,0,231000,-40340000,-40340000,-40340000,2347000,1551000,-13129000,0.09919,-0.00246,0.53,0.12716,0.10808,-0.47225,5.25555,0.17649,0.00603,2.85578,2.84788,5.38829,22.45876,-1.34864,4,0.12032,-0.05682,0.0017,-0.03101
"36","2019_Q1",23.7073770491803,"Up",57544000,-50761000,6783000,-4140000,-4140000,2643000,-169000,-187000,-198000,18000,2474000,732000,-584000,148000.000000007,148000.000000007,148000.000000007,148000.000000007,6677000,6677000,34394000,34394000,39376000,79066000,4795000,74271000,159513000,103447000,8390000,8390000,111837000,271350000,27747000,19784000,7963000,3745000,3745000,31492000,11464000,9804000,68000,9736000,21268000,52760000,118932000,101194000,-1536000,218590000,218590000,271350000,147999.999999996,147999.999999993,3123000,1871000,-16312000,-11170000,7840000,-710000,-710000,5707000.00000001,11426000,-833000,10593000,5130000,5130000,5130000,5766000,11464000,-2122000,0.11788,0.04593,0.00257000000000007,0.000680000000000014,0.000549999999999967,-14.33784,5.06519,0.24137,0.04225,0.0152000000000005,0.0152000000000001,5.91104,22.45403,-0.21798,4,0.000620000000000023,-0.00885,0.830210000000001,1.8112
"37","2019_Q2",24.8026984126984,"Up",62643000,-56072000,6571000,-4247000,-4247000,2324000,32000,-127000,-131000,159000,2356000,2356000,-191000,2165000,2165000,2165000,2165000,3843000,3843000,27791000,27791000,41116000,74772000,4505000,70267000,147522000,102397000,16606000,16606000,119003000,266525000,24440000,15524000,8916000,4530000,4530000,28970000,18928416.2125836,16767000,-557659.916412056,16767000,16767000,45737000,118954000,103594000,-1760000,220788000,220788000,266525000,2165000,2165000,2669000,150000,5373000,10357000,-1620000,-1622000,-1622000,-1620000,-11571000,-1272410.66640651,-11571000,-2834000,-2834000,-2834000,4993000,0,8937000,0.1049,0.0371,0.03456,0.00981,0.00812,4.12794,5.09223,0.20715,0,0.22239,0.22239,6.43482,22.67982,0.91803,7,0.00911,0.03762,-0.76968,-1.65361
"38","2019_Q3",25.44390625,"Up",69203000,-60985000,8218000,-4705000,-4705000,3513000,-91999.9999999999,-117000,-120000,25000.0000000001,3421000,3421000,-447000,2974000,2974000,2974000,2974000,10054000,10054000,30162000,30162000,33513000,88076000,3983000,84093000,161805000,100285000,16962000,16962000,117247000,279052000,23419000,12694000,10725000,13986000,13986000,37405000,20866790.9331018,17205000,-980173.329647562,17205000,17205000,54610000,119607000,106568000,-1733000,224442000,224442000,279052000,2974000,2974000,3044000,1163000,-239000,6942000,-1023000,-1023000,-1023000,-623000,-108000.000000004,-1266651.61894174,-108000,6211000,6211000,6211000,6557000,-1.86264514923096e-09,5742000,0.11875,0.05076,0.04298,0.01325,0.01066,1.93073,4.32576,0.24331,0,0.30543,0.30487,7.10722,23.05043,0.58971,7,0.01231,0.02376,-1.53332,-2.86194
"39","2019_Q4",31.55484375,"Up",75226000,-59751000,15475000,-4900000,-4900000,10575000,2701000,-91000,-114000,2792000,13276000,13276000,-2529000,10747000,10747000,10747000,10747000,11744000,11744000,36632000,36632000,27287000,93978000,3178000,90800000,169641000,99440000,16232000,16232000,115672000,285313000,19800000,7626000,12174000,10862000,10862000,30662000,19223357.5473282,18898000,170649.921940712,18898000,18898000,49560000,120148000,117315000,-1710000,235753000,235753000,285313000,10747000,10747000,3502000,2616000,-12798000,4067000,-3267000,-3280000,-3280000,-2267000,-110000,-1001316.7620061,-110000,1690000,1690000,1690000,14077000,0,541000,0.20571,0.14058,0.14286,0.04559,0.03767,0.05034,5.53261,0.21022,0,1.10282,1.09708,7.71945,24.1922,0.05552,6,0.0422,0.00212,-0.83427,-1.11054
"40","2020_Q1",30.4954838709677,"Down",72245000,-55325000,16920000,-4643000,-4643000,12277000,1310000,-97000,-107000,1407000,13587000,13587000,-1571000,12016000,12016000,12016000,12016000,31014000,31014000,38026000,38026000,30654000,95345000,4159000,91186000,195039000,99631000,15575000,14344000,115206000,310245000,27643000,15493000,12150000,13923000,13923000,41566000,15942349.4410364,20521000,4265000,16256000,20521000,62087000,120641000,129331000,-1814000,248158000,248158000,310245000,12016000,12016000,3498000,1164000,4842000,21520000,-2675000,-2660000,-2660000,-1913000,325000,-662000,-337000,19270000,19270000,19270000,15775000,4.65661287307739e-10,19513000,0.2342,0.16994,0.16632,0.04842,0.03873,1.62392,4.69227,0.25019,1.73472347597681e-18,1.23279,1.22238,7.41202,25.45994,2.00195,7,0.04472,0.07263,-1.96602,-2.52619
"41","2020_Q2",23.8009523809524,"Down",68923000,-59344000,9579000,-7945000,-7945000,1634000,-598000,-197000,-219000,-401000,1036000,1036000,-472000,564000,564000,564000,564000,9656000,9656000,38789000,38789000,39259000,83725000,4375000,79350000,171429000,108315000,69569000,34587000,177884000,349313000,28603000,17933000,10670000,10332000,10332000,41846000,12968000,45314000,10293000,35021000,58282000,100128000,1.21e+08,129895000,-1710000,249185000,249185000,349313000,564000,564000,3430000,940000,10102000,15036000,-2936000,-2936000,-2936000,-51664000,15776000,-506000,15270000,-21358000,-21358000,-21358000,5064000,15879000,12702000,0.13898,0.02371,0.00818,0.00226,0.00161,22.52128,4.09666,0.40182,0.04546,0.05784,0.05738,7.0683,25.55481,1.30264,4,0.00182,0.04092,1.22887,3.80845
"42","2020_Q3",26.47203125,"Up",69971000,-57013000,12958000,-5584000,-5584000,7374000,808000,-251000,-262000,1059000,8182000,8182000,-2184000,5998000,5998000,5998000,5998000,19206000,19206000,39204000,39204000,35425000,78711000,3809000,74902000,172546000,108789000,70377000,35968000,179166000,351712000,24890000,13014000,11876000,7071000,7071000,35094000,12032000,49078000,12202000,36876000,61110000,96204000,121456000,135893000,-1841000,255508000,255508000,351712000,5998000,5998000,3842000,2221000,1690000,13751000,-3558000,-3558000,-3558000,-3000999.99999999,-633999.999999996,-566000,-1200000,9550000,9550000,9550000,11216000,15165000,11532000,0.18519,0.10539,0.08572,0.02347,0.01705,1.92264,4.91668,0.37652,0.04312,0.6126,0.60986,7.14646,26.09621,1.17782,6,0.01876,0.03607,-0.36029,-0.54801
"43","2020_Q4",28.33078125,"Up",77632000,-62013000,15619000,-5656000,-5656000,9963000,-65000,-222000,-238000,157000,9898000,9898000,-2631000,7267000,7267000,7267000,7267000,30363000,30363000,43624000,43624000,31945000,79650000,3374000,76276000,185582000,109172000,72071000,37970000,181243000,366825000,27748000,13702000,14046000,6843000,6843000,37723000,11244000,54166000,14611000,39555000,65410000,103133000,122329000,143160000,-1797000,263692000,263692000,366825000,7267000,7267000,3667000,3892000,-223000,14603000,-3620000,-3620000,-3293000,-2540000,-899000,-7000,-906000,11157000,11157000,11157000,13630000,14376000,12418000,0.20119,0.12834,0.09361,0.02756,0.01981,1.70882,4.9196,0.39111,0.03919,0.74123,0.73486,7.9184,26.89637,1.26663,3,0.02187,0.03738,-1.17293,-1.60464
"44","2021_Q1",32.4383606557377,"Up",69381000,-57018000,12363000,-5769000,-5769000,6594000,-76000.0000000001,-214000,-214000,138000,6518000,6518000,-1297000,5221000,5221000,5221000,5221000,37927000,37927000,42680000,42680000,29177000,82179000,5194000,76985000,191963000,110184000,70868000,37365000,181052000,373015000,29807000,12993000,16814000,8393000,8393000,45901000,5888000,51600000,12481000,39119000,57488000,103389000,123111000,148381000,-1866000,269626000,269626000,373015000,5221000,5221000,3612000,-315000,4179000,12697000,-4228000,-4228000,-4226000,-4228000,-481000,-424000,-905000,7564000,7564000,7564000,10206000,13589000,11454000,0.17819,0.09504,0.07525,0.01936,0.014,2.19383,4.18211,0.38345,0.03643,0.53243,0.5253,7.07536,27.49602,1.16806,3,0.01559,0.03421,-2.38468,-3.69093
"45","2021_Q2",31.7484126984127,"Down",72311000,-63536000,8775000,-5830000,-5830000,2945000,-168000,-227000,-227000,59000,2777000,2777000,-602000,2175000,2175000,2175000,2175000,29893000,29893000,40214000,40214000,33177000,81026000,5560000,75466000,184310000,109423000,73582000,40395000,183005000,367315000,27867000,13260000,14607000,4416000,4416000,35414000,5106000,54458000,12750000,41708000,59564000,94978000,123586000,150556000,-1805000,272337000,272337000,367315000,2175000,2175000,3014000,9e+05,-6675000,-586000,-1861000,-1861000,-1861000,-1762000,-5464000,-222000,-5686000,-8034000,-8034000,-8034000,5959000,8237000,-1975000,0.12135,0.04073,0.03008,0.00799,0.00592,-0.90805,5.20444,0.34875,0.02242,0.22162,0.21923,7.36815,27.74985,-0.20124,4,0.00649,-0.00589,-3.63417,-7.35348
"46","2021_Q3",26.46125,"Down",73812000,-64274000,9538000,-6337000,-6337000,3201000,-318000,-348000,-348000,30000,2883000,2883000,-752000,2131000,2131000,2131000,2131000,23198000,23198000,33778000,33778000,30029000,94539000,4035000,90504000,181544000,110007000,72558000,39686000,182565000,364109000,30448000,15460000,14988000,5128000,5128000,35576000,-16559467.277321,53821000,12548000,41273000,53821000,89397000,123785000,152687000,-1760000,274712000,274712000,364109000,2131000,2131000,3422000,1293000,-1188000,5658000,-2917000,-2917000,-2917000,-2915000,-8494000,-944000,-9438000,-6695000,-6695000,-6695000,6623000,0,3270000,0.12922,0.04337,0.02887,0.00776,0.00585,1.53449,5.10299,0.32542,3.46944695195361e-18,0.21714,0.2148,7.52109,27.99185,0.3332,5,0.00649,0.00995,-3.50264,-7.24711
"47","2021_Q4",27.54140625,"Up",84643000,-72280000,12363000,-5562000,-5562000,6801000,59000,-112000,-407320.13103893,171000,6860000,6860000,-1914000,4946000,4946000,4946000,4946000,3188000,3188000,38885000,38885000,43042000,113154000,1915000,111239000,198269000,111157000,71541000,38985000,182698000,380967000,37554000,20148000,17406000,7789000,7789000,45343000,2153000,53162000,12391000,40771000,55315000,100658000,124382000,157633000,-1706000,280309000,280309000,380967000,4946000,1787537.19342428,2869000,261000,-26773000,-18697000,-3348000,-4199068.52504555,-4212461.00639982,-3145000,2052000,-220000,1832000,-20010000,-20010000,-20010000,9670000,2153000,-18537000,0.14606,0.08035,0.05843,0.01764,0.01298,-3.74788,4.37265,0.3591,0.00565,0.50218,0.49869,8.59407,28.46066,-1.88212,2,0.01474,-0.05523,-0.10703,-0.15218
"48","2022_Q1",28.7532258064516,"Up",102547000,-88969000,13578000,-10493000,-10493000,3085000,-447000,-515000,-441403.719752047,68000,2638000,2638000,-367000,2271000,2271000,2271000,2271000,2997000,2997000,52664000,52664000,59651000,112914000,5744000,107170000,228226000,121266000,198187000,105127000,319453000,547679000,56765000,32267000,24498000,7327000,7327000,64092000,86761000,113443000,10984000,102459000,200204000,264296000,125161000,159904000,-1682000,283383000,283383000,547679000,2271000,1582960.03217909,4319000,1135000,88999.9999999925,7814000,-5136000,-4591043.60684717,-4599566.0949817,-92330000,84905000,-580000,84325000,-191000,-191000,-191000,7404000,86761000,2724000,0.13241,0.03008,0.02215,0.00801,0.00415,1.19947,3.56091,0.93265,0.15842,0.22854,0.2287,10.31971,28.51796,0.27413,5,0.0047,0.00563,11.31334,27.15203
"49","2022_Q2",29.6853225806452,"Up",109331000,-94545000,14786000,-9368000,-9368000,5418000,-516000,-560000,-560000,44000,4902000,4902000,-1343000,3559000,3559000,3559000,3559000,3301000,3301000,59227000,59227000,62708000,116006000,4939000,111067000,241242000,123047000,195232000,103366000,318279000,559521000,60865000,36953000,23912000,8859000,8859000,69724000,90252000,112547000,11370000,101177000,202799000,272523000,125502000,163463000,-1967000,286998000,286998000,559521000,3559000,3559000,4129000,1135000,-7175000,1648000,-4440000,-4440000,-4440000,-4410000,3366000,-3e+05,3066000,304000,304000,304000,9547000,90252000,-725000,0.13524,0.04956,0.03255,0.0124,0.00636,-0.20371,3.45996,0.94956,0.1613,0.36055,0.35754,11.07598,29.07487,-0.07345,5,0.00727,-0.00148,9.10768,16.04854
"50","2022_Q3",30.633125,"Up",118522000,-94442000,24080000,-10127000,-10127000,13953000,-868000,-869000,-869000,1000,13085000,13085000,-3412000,9673000,9673000,9673000,9673000,3543000,3543000,63047000,63047000,74247000,128995000,3837000,125158000,269832000,124651000,192100000,101343000,316751000,586583000,78880000,49640000,29240000,12896000,12896000,91776000,86713000,111150000,11285000,99865000,197863000,289639000,125616000,173136000,-1808000,296944000,296944000,586583000,9673000,9673000,4239000,458000,-5849000,8521000,-4016000,-4016000,-4016000,-4015999.99999999,-3679000,-584000,-4263000,242000,242000,242000,18192000,86713000,11739000,0.20317,0.11772,0.08161,0.03258,0.01649,1.21358,2.94012,0.9754,0.14783,0.97994,0.97177,12.00709,30.08246,1.18924,5,0.01955,0.02372,4.57179,5.96073
