"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",13.4244444444444,"Down",1246126000,-796740000,449386000,-194208000,-63425000,-130783000,255178000,-90465000,-93293000,-94102000,809000,-878000,3706000,164713000,-212282000,-47569000,-4159000,-51728000,-51728000,-51685000,-51685000,74184000,74184000,135455000,135455000,344255000,132549000,38225000,553894000,7621903000,1456486000,697128000,366800000,278939000,9078389000,9632283000,416067000,70669000,345398000,265376000,118723000,115029000,800166000,5965518000,516203000,72854000,443349000,6481721000,7281887000,4098871000,-46800000,-1701388000,2350683000,2350396000,9632283000,-51728000,133163000,41974000,-23967000,99442000,99997000,-73890000,-73890000,-2338000,4703000,102362000,-165765000,-908000,-166673000,35131000,35131000,35131000,388341000,6230894000,468530000,0.36063,0.20478,-0.04148,-0.02199,-0.00537,-9.06511,0.69222,3.09815,0.64688,-0.27796,-0.27796,6.70155,12.64175,2.51971,-0.00568,0.0515,15.85388,24.12712
"28","2017_Q1",14.1141935483871,"Up",1208868000,-777921000,430947000,-195756000,-66668000,-129088000,235191000,-87390000,-92362000,-93056000,694000,1182000,3790000,147801000,-416970000,-269169000,569000.000000004,-268600000,-268600000,-268487000,-268487000,216397000,216397000,141705000,141705000,261402000,130695000,32864000,619504000,7379305000,1218878000,705476000,167826000,262569000,8598183000,9217687000,405393000,77356000,328037000,215255000,110494000,106946000,731142000,5829912000,578901000,80646000,498255000,6408813000,7139955000,4104297000,-56440000,-1969875000,2077982000,2077732000,9217687000,-268600000,131510000,247185000,-13725000,96370000,8764000.00000003,-69697000,-69697000,-7306000.00000001,224714000,226172000,-166397000,-9319000,-185356000,137186000,137186000,137186000,366701000,6045167000,361171000,0.35649,0.19455,-0.2221,-0.12922,-0.02913,-1.34521,0.84731,3.43642,0.65582,-1.4459,-1.4459,6.51021,11.19072,1.94504,-0.03085,0.04151,15.89516,24.78313
"29","2017_Q2",13.8207936507937,"Down",1216766000,-763349000,453417000,-193047000,-65560000,-127487000,260370000,-87158000,-89801000,-90432000,631000,981000,1662000,173212000,-215545000,-42333000,-84028000,-126361000,-126361000,-126304000,-126304000,59237000,59237000,138149000,138149000,276331000,139917000,30070000,473717000,6512179000,1252192000,710783000,203297000,255998000,7764371000,8238088000,355687000,63542000,292145000,233548000,117093000,113842000,706328000,4933655000,643473000,169263000,474210000,5577128000,6283456000,4107558000,-56440000,-2096179000,1954939000,1954632000,8238088000,-126361000,130078000,111648000,-48592000,66773000,-17253000,-48928000,-48928000,-185971000,3481000,-199743000,-17818000,-5743000,-23561000,-156531000,-156531000,-156531000,390448000,5167203000,408631000,0.37264,0.21399,-0.1038,-0.06462,-0.01533,-3.2353,0.67068,3.21465,0.62723,-0.68019,-0.68019,6.55271,10.52803,2.20062,-0.01627,0.05262,13.08232,19.61811
"30","2017_Q3",12.651746031746,"Down",1186472000,-727095000,459377000,-187977000,-67090000,-120887000,271400000,-75275000,-72941000,-73745000,804000,-4570000,2236000,196125000,-245197000,-49072000,2734999.99999999,-46337000,-46337000,-46287000,-46287000,181307000,151528000,129748000,129748000,249869000,120416000,38440000,560924000,6423841000,1208027000,710783000,196854000,220881000,7631868000,8192792000,367499000,78004000,289495000,615404000,94645000,91312000,1077548000,4573668000,625674000,166326000,459348000,5199342000,6276890000,4115165000,-56440000,-2142466000,1916259000,1915902000,8192792000,-46337000,123579000,16116000,40401000,133759000,-37862000,-40642000,-40642000,-595000,8485000,-59751000,21185000,-1810000,19375000,93383000,93383000,93383000,394979000,5189072000,394783000,0.38718,0.22875,-0.03901,-0.02416,-0.00565,-8.52903,0.52056,3.27621,0.63337,-0.24857,-0.24857,6.37162,10.29074,2.12007,-0.00599,0.05107,12.67856,18.4516
"31","2017_Q4",10.1947619047619,"Down",1177988000,-735091000,442897000,-181428000,-63779000,-117649000,261469000,-79197000,-75096000,-76381000,1285000,-6722000,2621000,182272000,-627419000,-445147000,31218000,-413929000,-413929000,-413885000,-413885000,537930000,291554000,130943000,130943000,266979000,116820000,43724000,935852000,6180376000,975938000,505783000,185880000,219398000,7156314000,8092166000,394904000,76977000,317927000,646504000,86988000,83672000,1128396000,4868863000,585221000,134622000,450599000,5454084000,6582480000,4122878000,-56440000,-2556351000,1510087000,1509686000,8092166000,-413929000,121193000,364426000,22101000,93791000,-50359000,-50474000,-50474000,-1434000,4506000,-263884000,330977000,-16239000,314738000,144645000,144645000,144645000,382662000,5515367000,323186000,0.37598,0.22196,-0.35135,-0.27415,-0.05115,-0.78086,0.82936,4.36016,0.68157,-2.22163,-2.22163,6.32314,8.10576,1.73478,-0.05439,0.04247,13.0074,19.03643
"32","2018_Q1",8.45049180327869,"Down",1165890000,-716341000,449549000,-197644000,-81590000,-116054000,251905000,-70455000,-70838000,-72741000,1903000,-4516000,4899000,181450000,-233019000,-51568999.9999999,66590000,15020999.9999999,15020999.9999999,15057000.0000001,15057000.0000001,514443000,222647000,128961000,128961000,258468000,114844000,37189000,901872000,5852145000,921432000,505783000,129794000,217878000,6773577000,7675449000,421791000,91825000,329966000,602501000,71484000,68358000,1095776000,4539790000,509592000,70644000,438948000,5049382000,6145158000,4128462000,-56440000,-2541294000,1530728000,1530291000,7675449000,15020999.9999999,119908000,-52834000.0000001,1940999.99999999,84036000,-37906000,-73843000,-73843000,-16213000,19975000,-78955000,-81299999.9999999,-54000.0000000019,-81354000.0000001,-76273000,-76273000,-76273000,371813000,5142291000,269258000,0.38558,0.21606,0.0129099999999999,0.00984,0.00196,17.88258,0.82304,4.01568,0.66997,0.0807699999999993,0.0807699999999993,6.25407,8.21114,1.44435,0.0021,0.03749,12.44671,18.3714
"33","2018_Q2",7.76015625,"Down",1187234000,-712725000,474509000,-195690000,-81435000,-114255000,278819000,-67332000,-65675000,-68658000,2983000,-4243000,2586000,211487000,-653136000,-441649000,-15585000,-457234000,-457234000,-457188000,-457188000,510061000,335412000,125473000,125473000,256537000,135639000,32393000,892071000,5775496000,519861000,154131000,77839000,227232000,6295357000,7187428000,383356000,73358000,309998000,605006000,75943000,72954000,1064305000,4530389000,513173000,85776000,427397000,5043562000,6107867000,4134685000,-56440000,-2998201000,1080044000,1079561000,7187428000,-457234000,118211000,407387000,-30400000,37964000,8468000,-66592000,-66592000,-35764000,178000,91155000,-13833000,-2271000,-16104000,113015000,113015000,113015000,397030000,5135395000,390683000,0.39968,0.23485,-0.38509,-0.42349,-0.06361,-0.85453,0.83817,5.65773,0.7145,-2.44643,-2.44643,6.35292,5.77935,2.09056,-0.06795,0.05807,11.64984,16.58902
"34","2018_Q3",9.2,"Up",1155200000,-709036000,446164000,-179023000,-62907000,-116116000,267141000,-64234000,-68415000,-71356000,2941000,-1324000,5505000,202907000,-383962000,-181055000,15546000,-165509000,-165509000,-165488000,-165488000,146628000,126637000,118005000,118005000,286513000,106394000,39015000,551146000,5715931000,462570000,154131000,32018000,216604000,6178501000,6729647000,385991000,79713000,306278000,278848000,71331000,68508000,736170000,4537456000,535364000,69749000,465615000,5072820000,5808990000,4141291000,-56440000,-3163690000,921161000,920657000,6729647000,-165509000,118444000,113761000,-6076000,60620000,1971000,-53866000,-53866000,-244420000,7805999.99999999,-79643000,-172515000,-13361000,-185876000,-204899000,-204899000,-204899000,385585000,4816304000,365934000,0.38622,0.23125,-0.14325,-0.17975,-0.02459,-2.21124,0.74867,6.30961,0.71568,-0.8822,-0.8822,6.15827,4.91063,1.95076,-0.02638,0.05834,12.11063,17.48019
"35","2018_Q4",8.38857142857143,"Down",1120062000,-677468000,442594000,-169776000,-58796000,-110980000,272818000,-67490000,-66133000,-67787000,1654000,-1340000,-17000,205328000,-260231000,-54903000,17763000,-37140000,-37140000,-37121000,-37121000,133664000,133664000,130088000,130088000,372962000,89432000,41676000,636714000,5407130000,450793000,154131000,29984000,207025000,5857923000,6494637000,400436000,79573000,320863000,503687000,58677000,55892000,962800000,4129272000,512717000,51560000,461157000,4641989000,5604789000,4147622000,-56440000,-3200811000,890371000,889848000,6494637000,-37140000,111809000,-12472000,9727000,71924000,-47876000,-48891000,-48891000,-533000,3870000,-24539000,-35679000,-2270000,-37949000,9436000,9436000,9436000,384627000,4632959000,328715000,0.39515,0.24357,-0.03314,-0.04172,-0.00572,-8.85523,0.66131,6.29859,0.71335,-0.19779,-0.19779,5.96809,4.74422,1.75151,-0.00615,0.05446,11.69781,16.49193
"36","2019_Q1",7.34180327868852,"Down",1068930000,-657393000,411537000,-162441000,-56337000,-106104000,249096000,25692000,21564000,19296000,2268000,-1897000,6025000,274788000,-174989000,99799000,31732000,131531000,131531000,131539000,131539000,413122000,398267000,133905000,133905000,226989000,106189000,27683000,774016000,5275427000,417817000,154131000,27528000,184686000,5693244000,6467260000,393276000,95049000,298227000,317561000,62494000,60414000,773331000,4197095000,478421000,18371000,460050000,4675516000,5448847000,4153115000,-64940000,-3069272000,1018903000,1018413000,6467260000,131531000,107151000,-193145000,-12084000,33453000,311771000,-56124000,-56124000,-178000.00000003,5031000,301801000,-67796000,-13082000,-85134000,250120000,250120000,250120000,356247000,4514656000,624202000,0.385,0.23303,0.12306,0.12916,0.02034,4.74538,1.00089,5.35033,0.69808,0.70067,0.70067,5.69391,5.42743,3.32496,0.02188,0.10383,11.51317,16.46568
"37","2019_Q2",6.59968253968254,"Down",1042044000,-654762000,387282000,-153199000,-56311000,-96888000,234083000,-56840000,-59302000,-62386000,3084000,-526000,2988000,177243000,-219170000,-41927000,-679000,-42606000,-42606000,-42595000,-42595000,340018000,256501000,138455000,138455000,272151000,185017000,28811000,750624000,5236194000,1643955000,154131000,27747000,1416147000,6880149000,7630773000,347980000,85379000,262601000,658532000,95212000,95212000,1101724000,5429935000,181517000,18220000,163297000,5611452000,6713176000,4156790000,-70940000,-3167752000,918098000,917597000,7630773000,-42606000,97867000,1977000,-62247000,-5009000,-30597000,-60055000,-60055000,-3986000,2858000,-100073000,-3222000,-3458000,-16636000,-121718000,-121718000,-121718000,331950000,6088467000,239785000,0.37166,0.22464,-0.04088,-0.04642,-0.00558,-5.62942,0.68132,7.31604,0.79788,-0.22809,-0.22809,5.57998,4.91627,1.28401,-0.00593,0.03336,17.31721,24.55731
"38","2019_Q3",7.91234375,"Up",1019457000,-657935000,361522000,-151600000,-57576000,-94024000,209922000,-56821000,-59029000,-61842000,2813000,-991000,3199000,153101000,-208523000,-55422000,-633000.000000004,-56055000,-56055000,-55470000,-55470000,314804000,255999000,137902000,137902000,203223000,130660000,26256000,655929000,5214125000,1589428000,154131000,26036000,1366723000,6803553000,7459482000,366801000,104317000,262484000,515284000,87513000,87513000,969598000,5447341000,176339000,18520000,157819000,5623680000,6593278000,4163043000,-79097000,-3223222000,860724000,866204000,7459482000,-56055000,95010000,7801000,17372000,64128000,-39270000,-62242000,-62242000,-218000,33973000,19774000.0000001,-76583000,-2415000,-87443000,-3540999.99999994,-3540999.99999994,-3540999.99999994,304932000,5962625000,283667000,0.35462,0.20592,-0.05441,-0.06404,-0.00744,-5.11388,0.6765,7.61169,0.79933,-0.29801,-0.29801,5.47692,4.62414,1.52397,-0.00792,0.04049,18.52158,26.90438
"39","2019_Q4",7.42765625,"Down",1008949000,-682970000,325979000,-149959000,-56409000,-93550000,176020000,-57043000,-58749000,-60911000,2162000,-2057000,3763000,118977000,-199285000,-80308000,1800000,-78508000,-78508000,-78458000,-78458000,291181000,241391000,140661000,140661000,196658000,102949000,33305000,628500000,5185681000,1560022000,154131000,23211000,1339904000,6745703000,7374203000,381937000,106109000,275828000,595089000,81034000,81034000,1058060000,5343562000,178785000,16834000,161951000,5522347000,6580407000,4169143000,-79097000,-3301680000,788366000,793796000,7374203000,-78508000,94717000,4305000,48697000,69211000,-83088000,-84088000,-84088000,-543000,4302000,-70056000,-5856000,-2899000,-8755000,-9600000,-9600000,-9600000,270737000,5938651000,234546000,0.32309,0.17446,-0.07776,-0.09884,-0.01064,-2.98945,0.59401,8.2898,0.80533,-0.42294,-0.42294,5.4389,4.24981,1.26436,-0.01135,0.03394,20.85962,32.08425
"40","2020_Q1",5.82693548387097,"Down",986638000,-394828000,591810000,-413630000,-48993000,-94971000,178180000,-53287000,-57132000,-58932000,1800000,-970000,4815000,124893000,-217997000,-93104000,1781000,-91323000,-91323000,-91408000,-91408000,308794000,240227000,133613000,133613000,153768000,84241000,26856000,596175000,5109834000,1488424000,154131000,21210000,1313083000,6598258000,7194433000,371424000,104721000,266703000,596146000,79402000,79402000,1046972000,5264322000,184414000,15397000,169017000,5448736000,6495708000,4174095000,-84651000,-3393088000,696356000,698725000,7194433000,-91323000,96109000,37749000,45547000,88082000,-58402000,-97707000,-97707000,-96000.0000000298,1752000,-75184000,-20266000,-740000,-26560000,-13662000,-13662000,-13662000,274289000,5860468000,259653000,0.59982,0.18059,-0.09265,-0.13082,-0.01271,-2.84059,0.56943,9.29652,0.81458,-0.49346,-0.49346,5.32633,3.75925,1.40173,-0.01355,0.0385,20.24024,31.15767
"41","2020_Q2",3.23603174603175,"Down",1014139000,-588482000,425657000,-209814000,-54595000,-90738000,215843000,-51936000,-53590000,-55045000,1455000,-1008000,2662000,163907000,189762000,353669000,15828000,369497000,369497000,369515000,369515000,500713000,392674000,135531000,135531000,165737000,104432000,23908000,801981000,5298910000,1400804000,154131000,5600000,1234703000,6699714000,7501695000,323050000,78134000,244916000,286416000,76634000,76634000,686100000,5645719000,117646000,0,117646000,5763365000,6449465000,4176341000,-102774000,-3023688000,1049879000,1052230000,7501695000,369497000,92053000,-336823000,-67248000,57479000,235232000,-69385000,-69385000,-446956000,3211000,-247927000,374940000,-9567000,347250000,156802000,156802000,156802000,307896000,5932135000,460052000,0.41972,0.21283,0.36436,0.35117,0.04926,1.24502,1.1689,6.12933,0.79077,2.00621,2.00255,5.50606,5.7001,2.49776,0.05203,0.06478,17.64044,25.16376
"42","2020_Q3",2.75703125,"Down",865909000,-606034000,259875000,-208051000,-52518000,-93154000,51824000,-47197000,-48623000,-50866000,2243000,438000,988000,4627000,-114543000,-109916000,-8504000,-118420000,-118420000,-118401000,-118401000,562314000,452441000,120503000,120503000,155210000,89416000,28397000,838027000,5256368000,1330148000,154131000,5601000,1170416000,6586516000,7424543000,321279000,61780000,259499000,450539000,158608000,158608000,930426000,5420723000,133505000,144000,133361000,5554228000,6484654000,4182420000,-102774000,-3142089000,937557000,939889000,7424543000,-118420000,94710000,14304000,161246000,151840000,-47555999.9999999,-43478000,-43478000,-88000,1233000,-47483000,-39019000,-1707000,-40726000,63631000,63631000,63631000,146534000,5871262000,268728000,0.30012,0.05985,-0.13674,-0.12597,-0.01595,-2.26964,0.90069,6.89938,0.79079,-0.64637,-0.64629,4.72715,5.11828,1.46703,-0.01705,0.0387,36.23014,102.44188
"43","2020_Q4",3.68953125,"Up",807980000,-570530000,237450000,-193579000,-54138000,-87821000,43871000,-47554000,-48209000,-48816000,607000,-293000,948000,-3683000,-106426000,-110109000,-14884000,-124993000,-124993000,-124975000,-124975000,490757000,354621000,113820000,113820000,117507000,73977000,35206000,722084000,5127167000,1158676000,154131000,5750000,998795000,6285843000,7007927000,339637000,62591000,277046000,237372000,142001000,142001000,719010000,5280399000,164348000,12671000,151677000,5444747000,6163757000,4211694000,-102774000,-3267064000,841856000,844170000,7007927000,-124993000,89551000,-84493000,42766000,-77169000,2737000,-27827000,-27827000,-26958000,1804000,-48554000,107212000,-10544000,96668000,-29055000,-29055000,-29055000,133422000,5517771000,193809000,0.29388,0.0543,-0.15468,-0.14804,-0.01783,-1.55078,1.00428,7.30156,0.78736,-0.68203,-0.68188,4.40938,4.59426,1.05767,-0.01915,0.0297,37.67755,114.58626
"44","2021_Q1",5.38147540983607,"Up",852167000,-576813000,275354000,-178390000,-45324000,-87513000,96964000,-47324000,-47130000,-47624000,494000,-1244000,1050000,49640000,-95987000,-46347000,2208000,-44139000,-44139000,-44120000,-44120000,553325000,380420000,109221000,109221000,111057000,66937000,28059000,773603000,5068060000,1060095000,154131000,4898000,901066000,6128155000,6901758000,359084000,71233000,287851000,234654000,96995000,96995000,690733000,5210296000,1.98e+08,9557000,188443000,5408296000,6099029000,4214392000,-102774000,-3311184000,800434000,802729000,6901758000,-44139000,89340000,3928000,24370000,73499000,-44968000,-45181000,-45181000,-2273000,2740000,-81147000,-18893000,-1386000,-20279000,-27927000,-27927000,-27927000,186304000,5444950000,163498000,0.32312,0.11379,-0.05177,-0.05496,-0.00639,-3.70576,1.11997,7.59787,0.78892,-0.24058,-0.23652,4.64682,4.36473,0.89155,-0.00684,0.02537,26.25615,50.44785
"45","2021_Q2",7.19079365079365,"Up",749445000,-556312000,193133000,-178252000,-49943000,-83891000,14881000,-9849000,-10962000,-11383000,421000,-531000,1644000,5032000,-112583000,-107551000,-752000,-108303000,-108303000,-108285000,-108285000,438885000,303952000,52588000,52588000,365079000,90949000,26503000,856552000,5018409000,871192000,27321000,4972000,838899000,5889601000,6746153000,329395000,65278000,264117000,385312000,184255000,68113000,898962000,5001283000,150801000,9876000,140925000,5152084000,6051046000,4215073000,-102774000,-3419469000,692830000,695107000,6746153000,-108303000,85806000,9382000,-10742000,-23857000,-36601000,-40361000,-40361000,-5206000,-62000,-3806000,-31349000,-4213000,-35562000,-63225000,-63225000,-63225000,100687000,5386595000,54096000,0.2577,0.01986,-0.14449,-0.15578,-0.01605,-0.49957,0.95282,8.7052,0.79847,-0.58847,-0.58847,4.07283,3.76516,0.29398,-0.01737,0.00868,49.13951,332.48505
"46","2021_Q3",7.136875,"Down",723292000,-550846000,172446000,-179855000,-52400000,-83591000,-7409000,5743000,-11151000,-11492000,341000,13946000,2948000,-1665999.99999999,-82730000,-84396000,791999.999999996,-83604000,-83604000,-83585000,-83585000,380652000,280675000,52906000,52906000,347373000,78250000,30766000,780931000,4984864000,837154000,27321000,8190000,801643000,5822018000,6602949000,344484000,74558000,269926000,382440000,170398000,67853000,897322000,4953748000,135744000,8853000,126891000,5089492000,5986814000,4219705000,-102774000,-3503054000,613877000,616135000,6602949000,-83604000,85498000,-9498000,11014000,3409999.99999999,-33291000,-39177000,-39177000,-153000,-13000,1561000,-20599000,-393000.000000001,-20992000,-16021000,-16021000,-16021000,78089000,5336188000,55020000,0.23842,-0.01024,-0.11556,-0.13566,-0.01266,-0.65825,0.87029,9.71672,0.80815,-0.45135,-0.45135,3.9057,3.31487,0.2971,-0.01373,0.00904,63.4601,-668.85356
"47","2021_Q4",6.23578125,"Down",641654000,-480423000,161231000,-171598000,-43812000,-84560000,-10367000,-47999000,-47096000,-47382000,286000,-1474000,571000,-58366000,247908000,189542000,-15279000,174263000,174263000,174282000,174282000,636445000,478509000,52223000,52223000,144445000,94984000,37722000,833113000,4940553000,880667000,27321000,103808000,749538000,5821220000,6654333000,367730000,73810000,293920000,387408000,66778000,66778000,821916000,4899075000,139562000,18069000,121493000,5038637000,5860553000,4223087000,-102774000,-3328772000,791541000,793780000,6654333000,174263000,86444000,-278973000,25466000,7200000,259658000,-37272284.7504594,-37272284.7504594,0,2249000,203974000,-18959000,-218000,-19177000,191997000,191997000,191997000,76077000,5286483000,376480000,0.25127,-0.01616,0.27161,0.21956,0.02619,2.16018,1.01362,7.38309,0.79444,0.94042,0.94042,3.46235,4.27114,2.03148,0.02802,0.06053,61.12278,-448.5423
"48","2022_Q1",6.10516129032258,"Down",643868000,-488282000,155586000,-167182000,-38761000,-85571000,-11596000,-117940000,-117133000,-117434000,301000,-1547000,740000,-129536000,24413999.9999999,-105122000,23402000,-81720000,-81720000,-81702000.0000001,-81702000.0000001,529424000,347031000,51137000,51137000,118433000,87946000,26845000,698994000,4904292000,807181000,27321000,67424000,712157000,5711473000,6410467000,330956000,76125000,254831000,233918000,67080000,67080000,631954000,4992099000,86791000,50598321.8492597,86791000,5078890000,5710844000,4210650000,-102774000,-3410474000,697402000,699623000,6410467000,-81720000,87314000,-10748999.9999999,-76232000,-81387000,-32417000.0000001,-35424899.386656,-35424899.386656,-77000.0000000002,36639000,-20272000,-17702000,-20224000,-37926000,-139585000,-139585000,-139585000,75718000,5226017000,-56333000.0000001,0.24164,-0.01801,-0.12689,-0.11678,-0.01275,0.68949,1.10608,8.16274,0.81523,-0.43751,-0.35461,3.44785,3.73451,-0.30166,-0.01359,-0.00937,62.02743,-405.01837
"49","2022_Q2",5.90483870967742,"Down",677820000,-512764000,165056000,-172374000,-45126000,-85684000,-7318000,-16884000,-11963000,-12058000,95000,-4894000,-27000,-24202000,-77806000,-102008000,1976000,-100032000,-100032000,-100013000,-100013000,468507000,289247000,49952000,49952000,136437000,107988000,24791000,654896000,4874044000,766037000,27321000,62050000,674082000,5640081000,6294977000,335489000,82014000,253475000,384141000,73268000,73268000,792898000,4818036000,84764000,118021965.547779,84764000,4902800000,5695698000,4210338000,-102774000,-3510487000,597077000,599279000,6294977000,-100032000,87226000,4962000,-15411000,-23255000,-39246000,-39956000,-39956000,-82000,155000,-36163000,3818000,-4221000,-403000,-59821000,-59821000,-59821000,79908000,5202177000,23275000,0.24351,-0.0108,-0.14755,-0.16689,-0.01589,-0.23272,0.82595,9.50425,0.8264,-0.53953,-0.53953,3.65658,3.221,0.12556,-0.01699,0.00395,59.239,-646.85297
"50","2022_Q3",4.73859375,"Down",689516000,-513664000,175852000,-169913000,-41752000,-86623000,5939000,-13766000,-11216000,-11994000,778000,-2439000,-111000,-7827000,-75266000,-83093000,-1190000,-84283000,-84283000,-84418000,-84418000,404238000,238757000,49544000,49544000,133684000,103738000,29946000,587466000,4839643000,741187000,27321000,59697000,652452000,5580830000,6168296000,336801000,76651000,260150000,445792000,71420000,71420000,854013000,4712455000,83261000,231920931.095558,83261000,4795716000,5649729000,4213909000,-102774000,-3594905000,516230000,518567000,6168296000,-84283000,88143000,-474999.999999985,8191999.99999999,11577000,-51866000,-56895000,-56895000,-6089000,0,-43838000,-17600000,-90000,-17690000,-49951000,-49951000,-49951000,94082000,5158247000,51598000,0.25504,0.00861,-0.12243,-0.16279,-0.01369,-0.61122,0.68789,10.89489,0.83625,-0.45201,-0.45201,3.69197,2.76412,0.27628,-0.01466,0.00896,50.53048,800.47298
