"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",59.2738095238095,"Down",270268000,-68600000,201668000,-192913000,-14661000,-17686000,-160566000,8755000,-819000,-1058000,239000,7936000,-865000,7071000,1445000,8516000,8516000,8516000,8516000,25632000,25632000,15240000,10126000,9464000,9464000,60462000,576742000,35819000,4673000,31146000,612561000,673023000,122908000,21860000,101048000,122908000,142843000,125773000,237843000,360751000,63405000,248867000,312272000,312272000,673023000,8516000,17686000,1571000,-4878000,22895000,-8127000,-8127000,8839000,8839000,-19000,-8499000,6269000,6269000,6269000,26441000,9.5e+07,11991000,0.74618,0.03239,0.03151,0.02727,0.01265,1.40806,0.49193,1.15525,0.14115,0.40326,0.39052,12.79799,14.78701,0.56781,0.0197,0.0218,2.6235,7.92324
"34","2019_Q1",49.3827868852459,"Down",280523000,-71356000,209167000,-193981000,-14806000,-17679000,-161496000,15186000,-1967000,-1012000,-955000,13219000,-999000,12220000,-1535000,10685000,10685000,10685000,10685000,29224000,29224000,31190000,10133000,7940000,7940000,78487000,582754000,33866000,4673000,29193000,616620000,695107000,150425000,36505000,113920000,150425000,140461000,124484000,235461000,385886000,64342000,244879000,309221000,309221000,695107000,10685000,17679000,4057000,5508000,37929000,-18584000,-18584000,-13182000,458000,1000.00000000006,-15753000,3592000,3592000,3592000,32865000,9.5e+07,21324000,0.74563,0.05413,0.03809,0.03455,0.01537,1.99569,0.52177,1.24793,0.13667,0.50287,0.48592,13.20232,14.55295,1.00358,0.02434,0.03915,2.0014,4.33136
"35","2019_Q2",45.2261904761905,"Down",290554000,-73326000,217228000,-201798000,-16896000,-17642000,-167260000,15430000,27000,-1070000,1097000,15457000,-1645000,13812000,-948000,12864000,12864000,12864000,12864000,25673000,25673000,15440000,10678000,6548000,6548000,58339000,582509000,417400000,4673000,412727000,999909000,1058248000,121881000,32942000,88939000,147894000,479086000,456954000,581086000,728980000,61683000,267585000,329268000,329268000,1058248000,12864000,17642000,9980000,-18430000,22056000,-17674000,-17674000,-11380000,514000,-1003000,-7933000,-3551000,-3551000,-3551000,33072000,1.02e+08,-2084000,0.74763,0.05311,0.04427,0.03907,0.01216,-0.162,0.39446,2.21394,0.09639,0.61094,0.59978,13.79911,15.63773,-0.09897,0.01693,-0.00229,2.3079,4.94666
"36","2019_Q3",38.17421875,"Down",301090000,-76861000,224229000,-207432000,-15985000,-17839000,-173608000,16797000,-925000,-1066000,141000,15872000,-1042000,14830000,-638000,14192000,14192000,14192000,14192000,23376000,23376000,17714000,10589000,5947000,5947000,57626000,581605000,416289000,4673000,411616000,997894000,1055520000,129871000,33114000,96757000,156239000,475045000,454176000,575045000,731284000,63430000,260806000,324236000,324236000,1055520000,14192000,17839000,9055000,1245000,42331000,-21083000,-21083000,-19050000,197000,999.999999999767,-23545000,-2297000,-2297000,-2297000,34636000,1e+08,15436000,0.74472,0.05579,0.04714,0.04377,0.01345,1.08766,0.36883,2.25541,0.09474,0.68587,0.6753,14.55103,15.66963,0.74599,0.01856,0.01716,2.21226,4.56177
"37","2019_Q4",38.10625,"Down",278739000,-71552000,207187000,-202986000,-14272000,-18163000,-170551000,4201000,-1049000,-1174000,125000,3152000,-931000,2221000,1450000,3671000,3671000,3671000,3671000,24373000,24373000,15896000,10472000,4554000,4554000,55295000,589268000,413639000,4673000,408966000,1002907000,1058202000,118196000,29167000,89029000,144869000,468768000,450074000,626768000,771637000,65246000,221319000,286565000,286565000,1058202000,3671000,18163000,7939000,-16493000,13280000,-26769000,-26769000,-41051000,238000,-11000,14486000,997000,997000,997000,22364000,1.58e+08,-22348000,0.7433,0.01507,0.01317,0.01281,0.00347,-6.08771,0.38169,2.69271,0.14931,0.18182,0.17973,13.80579,14.19341,-1.10688,0.0067,-0.02447,5.97509,31.80838
"38","2020_Q1",31.9788709677419,"Down",291067000,-73270000,217797000,-205975000,-15387000,-18362000,-172226000,11822000,-878000,-1303000,425000,10944000,4487000,15431000,-920000,14511000,14511000,14511000,14511000,22394000,22394000,22197000,11102000,8912000,8912000,64605000,583639000,423840000,4673000,419167000,1007479000,1072084000,126237000,23422000,102815000,158431000,480366000,460202000,623366000,781797000,67062000,223225000,290287000,290287000,1072084000,14511000,18362000,10759000,-5300000,38332000,-12592000,-12592000,-10213000,116999.999999999,-999.999999999942,-27719000,-1979000,-1979000,-1979000,30184000,175194000,13212000,0.74827,0.04062,0.04985,0.04999,0.01354,0.91048,0.40778,2.69319,0.16341,0.7557,0.74496,15.15816,15.11754,0.68805,0.01799,0.01397,5.06228,12.92505
"39","2020_Q2",19.7988888888889,"Down",254595000,-63806000,190789000,-195589000,-11608000,-18345000,-165636000,-4800000,-3176000,-1471000,-1705000,-7976000,-2905000,-10881000,6614000,-4267000,-4267000,-4267000,-4267000,80309000,80309000,13503000,10517000,8251000,8251000,112580000,580039000,420412000,4673000,415739000,1000451000,1113031000,105309000,28547000,76762000,138765000,470562000,457297000,702362000,841127000,63126000,208778000,271904000,271904000,1113031000,-4267000,18345000,4765000,-17635000,1208000,-16271000,-16271000,-15014000,49568772.0155751,-808000,72978000,57915000,57915000,57915000,13545000,231800000,-26975000,0.74938,-0.01885,-0.01676,-0.01569,-0.00383,6.32177,0.8113,3.09347,0.20826,-0.22339,-0.22339,13.32888,14.23507,-1.41223,-0.00438,-0.02769,11.18427,-31.56062
"40","2020_Q3",25.740625,"Up",128024000,-31988000,96036000,-130349000,-14472000,-18353000,-97524000,-34313000,-281000,-1942000,1661000,-34594000,-11420000,-46014000,17064000,-28950000,-28950000,-28950000,-28950000,86741000,86741000,15492000,10504000,6768000,6768000,119505000,560951000,422274000,4673000,413741000,983225000,1102730000,129401000,43016000,86385000,162707000,460629000,460629000,627429000,790136000,68218000,244376000,312594000,312594000,1102730000,-28950000,18353000,3820000,20147000,13370000,-8587000,-8587000,67396000,67396000,-747000,1649000,6432000,6432000,6432000,-15960000,166800000,-21464000,0.75014,-0.26802,-0.22613,-0.09261,-0.02625,0.74142,0.73448,2.52767,0.15126,-1.3818,-1.3818,6.11064,14.92024,-1.02449,-0.0308,-0.02283,-5.01623000000001,-2.3332
"41","2020_Q4",34.09328125,"Up",198887000,-48938000,149949000,-164392000,-15250000,-18037000,-131105000,-14443000,-1015000,-1639000,624000,-15458000,4047000,-11411000,4827000,-6584000,-6584000,-6584000,-6584000,64924000,64924000,13964000,9911000,4576000,4576000,93375000,547592000,425783000,4673000,412545000,973375000,1066750000,129410000,38384000,91026000,163505000,467534000,467534000,594334000,757839000,69393000,239518000,308911000,308911000,1066750000,-6584000,18037000,3795000,6396000,21644000,-3317000,-3317000,-17000,-17000,7000,-40144000,-21817000,-21817000,-21817000,3594000,126800000,1846000,0.75394,-0.07262,-0.0331,-0.02131,-0.00617,-0.28038,0.57108,2.45326,0.11887,-0.29552,-0.29552,8.92711,13.86557,0.08286,-0.00714,0.00204,17.21647,-4.28415
"42","2021_Q1",52.3503278688525,"Up",197004000,-50841000,146163000,-165175000,-13333000,-18389000,-133453000,-19012000,-1331000,-2026000,695000,-20343000,-1301000,-21644000,3560000,-18084000,-18084000,-18084000,-18084000,51664000,51664000,23630000,10671000,9325000,9325000,95290000,534841000,429293000,4673000,418393000,964134000,1059424000,141090000,37770000,103320000,177899000,14068000,14068000,587737000,765636000,71722000,222066000,293788000,293788000,1059424000,-18084000,18389000,14026000,-10012000,4319000,-7541000,-7541000,-10000,-10000,-12000,-10038000,-13260000,-13260000,-13260000,-623000,610478000,-21736000,0.74193,-0.09651,-0.0918,-0.06155,-0.01707,1.20195,0.53564,2.60608,0.57624,-0.81032,-0.81032,8.82753,13.16431,-0.97397,-0.01967,-0.02367,-896.97271,-29.3927
"43","2021_Q2",55.2874603174603,"Up",223307000,-56149000,167158000,-175100000,-96941000,-18203000,-59956000,-7942000,-1092000,-1402000,310000,-9034000,-273000,-9307000,6166000,-3141000,-3141000,-3141000,-3141000,90247000,90247000,23802000,10425000,8744000,8744000,133218000,521203000,431308000,4673000,414109000,952511000,1085729000,142812000,41503000,101309000,180777000,462869000,462869000,579669000,760446000,67289000,257994000,325283000,325283000,1085729000,-3141000,18203000,4136000,-4986000,14212000,-6877000,-6877000,32567000,32567000,-1239000,31248000,38583000,38583000,38583000,10261000,154765000,-7768000,0.74856,-0.03557,-0.01407,-0.00966,-0.00289,2.4731,0.73692,2.3378,0.14254,-0.13701,-0.13701,9.74034,14.18839,-0.33883,-0.00325,-0.00824,6.28769,-8.12365
"44","2021_Q3",41.97359375,"Down",290283000,-75586000,214697000,-207771000,-121250000,-18233000,-68288000,6926000,-1602000,-1594000,-8000,5324000,-252000,5072000,1297000,6369000,6369000,6369000,6369000,87975000,87975000,25062000,10904000,7664000,7664000,131605000,508719000,428772000,4673000,410171000,937491000,1069096000,157788000,43174000,114614000,196195000,455967000,455967000,537767000,733962000,68713000,266421000,335134000,335134000,1069096000,6369000,18233000,9373000,5311000,39286000,-7393000,-7393000,851000.000000004,850999.999999993,-14000,-34165000,-2272000.00000001,-2272000.00000001,-2272000.00000001,25159000,120207000,21780000,0.73961,0.02386,0.02194,0.019,0.00596,3.41969,0.67079,2.19006,0.11244,0.27781,0.27781,12.66174,14.61808,0.95001,0.00699,0.0239,1.28112999999996,4.65377
"45","2021_Q4",35.58703125,"Down",282180000,-76647000,205533000,-209791000,-122316000,-18224000,-69251000,-4258000,-601000,-1047000,446000,-4859000,-2700000,-7559000,5383000,-2176000,-2176000,-2176000,-2176000,59815000,59815000,24433000,11215000,6389000,6389000,101852000,501211000,438098000,4673000,414059000,939309000,1041161000,135785000,40950000,94835000,174761000,14713000,14713000,530938000,705699000,69980000,265482000,335462000,335462000,1041161000,-2176000,18224000,7821000,-31125000,-7256000,-10875000,-10875000,0,0,0,-10029000,-28160000,-28160000,-28160000,13966000,555201000,-33417000,0.72838,-0.01509,-0.00771,-0.00649,-0.00209,15.35708,0.58281,2.10366,0.53325,-0.09343,-0.09343,12.11593,14.40369,-1.43482,-0.00237,-0.03691,35.47086,-116.34241
"46","2022_Q1",30.4288709677419,"Down",291268000,-79728000,211540000,-218827000,272550000,-18093000,-473284000,-7287000,620000,-959000,1579000,-6667000,-721000,-7388000,2730000,-4658000,-4658000,-4658000,-4658000,38527000,38527000,29055000,11579000,11654000,11654000,90815000,506111000,438240000,4673000,408665000,944351000,1035166000,161194000,48840000,112354000,200434000,14945000,14945000,500961000,701395000,72513000,261258000,333771000,333771000,1035166000,-4658000,18093000,6265000,-1657000,18043000,-17023000,-17023000,0,0,-501000,-22308000,-21288000,-21288000,-21288000,10806000,525256000,-10604000,0.72627,-0.02502,-0.01599,-0.01396,-0.0045,2.27651,0.45309,2.10143,0.50741,-0.2,-0.2,12.50614,14.33109,-0.4553,-0.00532,-0.01213,45.04248,-66.79415
"47","2022_Q2",25.7456451612903,"Down",298729000,-81466000,217263000,-224799000,-134539000,-17976000,-72284000,-7536000,-1022000,-634000,-388000,-8558000,-157000,-8715000,10175000,1460000,1460000,1460000,1460000,27201000,27201000,24108000,11391000,10890000,10890000,73590000,498789000,447681000,4673000,407791000,946470000,1020060000,146114000,49076000,97038000,185689000,15377000,15377000,496709000,682398000,69326000,268336000,337662000,337662000,1020060000,1460000,17976000,838000,-19665000,609000,-11530000,-11530000,-38975571.8409576,-39157040.1452519,-363000,-405000,-11326000,-11326000,-11326000,10440000,520907000,-30930000,0.72729,-0.02523,0.00489,0.00432,0.00143,-21.18493,0.39631,2.02095,0.51066,0.06245,0.06156,12.77876,14.4442,-1.3231,0.00172,-0.03539,47.28985,-65.513
"48","2022_Q3",24.633125,"Down",329697000,-90928000,238769000,-235186000,-140016000,-17565000,-77604999.9999999,3583000,-623000,-436000,-187000,2960000,-438000,2522000,-2225000,297000,297000,297000,297000,37761000,37761000,22827000,11777000,9183000,9183000,81548000,500396000,449171000,4673000,411323000,949567000,1031115000,151562000,47874000,103688000,191543000,13650000,13650000,499228000,690771000,70728000,269616000,340344000,340344000,1031115000,297000,17565000,13177000,-1436000,29603000,-19023000,-19023000,-146940715.522873,-147485120.435756,0,-20000,10560000,10560000,10560000,21148000,525559000,2913999.99999999,0.72421,0.01087,9e-04,0.000869999999999995,0.000289999999999999,9.81145,0.42574,2.02963,0.5097,0.01267,0.0126,14.06917,14.52351,0.12435,0.000359999999999999,0.00331,23.06592,136.14234
