"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",9.74180327868852,"Up",416630000,-105384000,311246000,-269042000,-214288000,-191926000,-22362000,-54714000,42204000,2790000,3982000,-1192000,44994000,44994000,-73995000,-29001000,-29001000,-29001000,-29001000,1251300000,8.11e+08,440300000,348200000,348200000,77300000,4e+07,4e+07,1716800000,245400000,9.8e+07,197700000,146900000,19900000,541100000,2257900000,233400000,7e+07,1.42e+08,793800000,793800000,1027200000,641300000,542500000,98800000,641300000,1668500000,909800000,-319600000,-8e+05,589400000,589400000,2257900000,-29001000,14276000,35505000,136725000,157505000,-13712000,79009000,65297000,-308364000,13969000,-9237000,-317601000,-94799000,-94799000,-94799000,56480000,0,253488000,0.74706,0.1013,-0.06961,-0.0492,-0.01284,-8.74066,1.67134,2.83084,8.27180612553028e-25,-0.03382,-0.03308,0.48583,0.6873,0.29559,-0.02356,0.20597,-22.15475,-29.64885
"31","2018_Q2",11.84359375,"Up",3.99e+08,-97200000,301800000,-269400000,-210300000,-185300000,-2.5e+07,-59100000,32400000,4300000,4500000,-2e+05,36700000,36700000,4900000,41600000,41600000,41600000,41600000,1303900000,835600000,468300000,313100000,313100000,8e+07,38800000,38800000,1735800000,245100000,82500000,337300000,138700000,169500000,664900000,2400700000,212600000,55700000,137900000,817100000,817100000,1029700000,677500000,579300000,98200000,677500000,1707200000,958100000,-262600000,-2e+06,693500000,693500000,2400700000,41600000,13200000,57700000,27200000,139700000,-11600000,-13900000,-25500000,-70400000,45100000,-19200000,-89600000,24600000,24600000,24600000,45600000,0,56300000,0.75639,0.0812,0.10426,0.05999,0.01733,1.35337,1.68573,2.46172,0,0.04961,0.04843,0.47585,0.82707,0.06714,0.03034,0.04106,-28.5943,-40.24383
"32","2018_Q3",15.2896825396825,"Up",441300000,-113100000,328200000,-277500000,-216300000,-192800000,-23500000,-61200000,50700000,800000.000000001,5800000,-5e+06,51500000,51500000,-2200000,49300000,49300000,49300000,49300000,1433700000,972100000,461600000,333600000,333600000,78200000,39300000,39300000,1884800000,2.56e+08,65300000,369600000,141900000,181200000,690900000,2575700000,235700000,63700000,150300000,849500000,849500000,1085200000,710300000,621300000,8.9e+07,710300000,1795500000,996300000,-214700000,-1400000,780200000,780200000,2575700000,49300000,13600000,63200000,16200000,142300000,-11600000,24600000,7000000.00000001,1e+07,11600000,-13300000,-12800000,136500000,136500000,136500000,64300000,5.6843418860808e-14,71100000,0.74371,0.11489,0.11172,0.06319,0.01914,1.44219,1.73682,2.30133,0,0.05848,0.05683,0.52349,0.9255,0.08434,0.03308,0.0477,-22.29705,-28.27811
"33","2018_Q4",15.2315873015873,"Down",453900000,-111600000,342300000,-279500000,-220800000,-198300000,-22500000,-58700000,62800000,7800000,6900000,9e+05,70600000,70600000,-11900000,58700000,58700000,58700000,58700000,1634200000,1169300000,464900000,324400000,324400000,80800000,38700000,38700000,2078100000,265400000,38600000,381400000,147800000,189800000,685400000,2763500000,235700000,66600000,146100000,876200000,876200000,1111900000,7.6e+08,668200000,91800000,7.6e+08,1871900000,1048600000,-1.56e+08,-1e+06,891600000,891600000,2763500000,58700000,14200000,6.4e+07,39800000,176700000,-18200000,29300000,11100000,24900000,24900000,-15500000,9400000,197200000,197200000,197200000,7.7e+07,0,110500000,0.75413,0.13836,0.12932,0.06584,0.02124,1.88245,1.86896,2.09948,0,0.06914,0.06682,0.53463,1.05018,0.13015,0.03554,0.0669,-21.22338,-26.02229
"34","2019_Q1",15.9386885245902,"Up",510400000,-128500000,381900000,-293400000,-227900000,-205900000,-2.2e+07,-65500000,88500000,7e+06,9300000,-2300000,95500000,95500000,89800000,185300000,185300000,185300000,185300000,1649600000,1112400000,537200000,444500000,444500000,9e+07,36800000,36800000,2220900000,271400000,6.7e+07,518700000,2.55e+08,203400000,857100000,3.078e+09,290500000,86400000,175900000,965900000,965900000,1256400000,811400000,720900000,90500000,811400000,2067800000,1068500000,-57500000,-8e+05,1010200000,1010200000,3.078e+09,185300000,14700000,67400000,-87200000,180200000,-11600000,-100200000,-127500000,-89800000,4900000,-19200000,-109600000,-56900000,-56900000,-56900000,103200000,-9.09494701772928e-13,-85400000,0.74824,0.17339,0.36305,0.18343,0.0602,-0.46087,1.76767,2.04692,0,0.21762,0.21081,0.59941,1.18638,-0.10029,0.10172,-0.04688,-15.9845,-18.63955
"35","2019_Q2",16.465873015873,"Up",472600000,-1.13e+08,359600000,-3.09e+08,-240400000,-215900000,-24500000,-68600000,50600000,9700000,10200000,-5e+05,60300000,60300000,-1500000,58800000,58800000,58800000,58800000,1801800000,1216900000,584900000,3.81e+08,3.81e+08,88400000,42100000,42100000,2313300000,2.72e+08,50200000,570200000,262700000,250200000,892400000,3205700000,263200000,69200000,169700000,991100000,991100000,1254300000,893300000,774700000,118600000,893300000,2147600000,1108300000,-5e+07,-2e+05,1058100000,1058100000,3205700000,58800000,15700000,67300000,59500000,201300000,-10200000,-36900000,-3.9e+07,-25800000,34600000,-3.2e+07,-57800000,104500000,104500000,104500000,66300000,0,117100000,0.7609,0.10707,0.12442,0.05557,0.01834,1.9915,1.8443,2.02968,0,0.0691,0.06728,0.55535,1.24336,0.1376,0.03013,0.06001,-27.17647,-35.6087
"36","2019_Q3",16.22625,"Down",521700000,-128300000,393400000,-318200000,-250800000,-226500000,-24300000,-67400000,75200000,10600000,1.1e+07,-4e+05,85800000,85800000,-13100000,72700000,72700000,72700000,72700000,1830200000,1022100000,808100000,403100000,403100000,85700000,41700000,41700000,2360700000,284700000,149500000,574500000,258800000,261300000,1008700000,3369400000,262200000,72400000,174800000,1031500000,1031500000,1293700000,953400000,8.35e+08,118400000,953400000,2247100000,1130400000,-9e+06,9e+05,1122300000,1122300000,3369400000,72700000,15200000,69200000,3.8e+07,195100000,-17300000,-311200000,-336600000,-28800000,5000000.00000001,-24500000,-53300000,-194800000,-194800000,-194800000,90400000,0,124200000,0.75407,0.14414,0.13935,0.06478,0.02158,1.70839,1.82477,2.00223,1.6940658945086e-21,0.08503,0.08299,0.61018,1.31263,0.14526,0.03502,0.05984,-20.24558,-24.33777
"37","2019_Q4",18.82015625,"Up",550600000,-124100000,426500000,-323400000,-253500000,-227400000,-26100000,-69900000,103100000,5400000,11400000,-6e+06,108500000,108500000,-26500000,8.2e+07,8.2e+07,8.2e+07,8.2e+07,1940300000,1175500000,764800000,384100000,384100000,99200000,42600000,42600000,2466200000,305500000,204200000,569700000,243700000,273800000,1079400000,3545600000,278300000,85900000,180800000,1063600000,1063600000,1341900000,1003300000,8.82e+08,121300000,1003300000,2345200000,1152800000,46500000,1100000,1200400000,1200400000,3545600000,8.2e+07,1.5e+07,72700000,51500000,221200000,-17500000,-9600000,-27100000,-21200000,2200000,-19500000,-40700000,153400000,153400000,153400000,118100000,0,178600000,0.77461,0.18725,0.14893,0.06831,0.02313,2.17805,1.83784,1.95368,0,0.09563,0.09388,0.6421,1.39988,0.20828,0.03721,0.08105,-16.4293,-18.81959
"38","2020_Q1",21.4303225806452,"Up",618100000,-140500000,477600000,-355500000,-284300000,-257100000,-27200000,-71200000,122100000,9300000,9900000,-6e+05,131400000,131400000,-13200000,118200000,118200000,118200000,118200000,2065600000,1222500000,843100000,544300000,544300000,117900000,41200000,41200000,2.769e+09,344300000,144300000,621600000,226300000,2.97e+08,1110200000,3879200000,3e+08,96400000,203600000,1155800000,1155800000,1455800000,1.081e+09,953300000,127700000,1.081e+09,2536800000,1180500000,160800000,1100000,1342400000,1342400000,3879200000,118200000,15700000,72500000,-1.6e+07,190400000,-47200000,-17800000,-99600000.0000001,-19800000,7700000,-20300000,-43800000,4.7e+07,4.7e+07,4.7e+07,137800000,0,87800000,0.77269,0.19754,0.19123,0.08805,0.03047,0.74281,1.90205,1.88975,2.71050543121376e-20,0.138,0.13485,0.72166,1.56731,0.10251,0.04877,0.03623,-14.98984,-16.91728
"39","2020_Q2",25.1063492063492,"Up",577700000,-128700000,4.49e+08,-369100000,-288800000,-2.6e+08,-28800000,-80300000,79900000,1200000,9200000,-8e+06,81100000,117900000,-13300000,104600000,104600000,104600000,104600000,1401300000,626100000,775200000,474700000,474700000,1.05e+08,54300000,54300000,2035300000,374200000,1.72e+08,624700000,226500000,303900000,1170900000,3206200000,312800000,87800000,2.25e+08,1230200000,1230200000,1.543e+09,1126900000,996600000,130300000,1126900000,2669900000,1128600000,-589200000,-3100000,536300000,536300000,3206200000,104600000,17600000,79800000,117399999,319399999,-27600000,35700000,4600000,-882500000,7400000,-37900000,-920400000,-596400001,-596400001,-596400001,97500000,0,200599999,0.77722,0.13831,0.18106,0.19504,0.03262,1.91778,1.31905,4.97837,0,0.12263,0.12009,0.67726,0.62872,0.23517,0.06289,0.12061,-14.37231,-17.53817
"40","2020_Q3",25.82609375,"Up",617600000,-135100000,482500000,-364799999,-282699999,-253799999,-28900000,-82100000,117700001,4900000,4e+06,9e+05,122600001,123700001,-9900000,113800001,113800001,113800001,113800001,1526900000,916400000,610500000,498700000,498700000,1.26e+08,57100000,57100000,2208700000,392600000,100400000,628900000,218900000,319400000,1121900000,3330600000,336100000,107200000,228900000,1275800000,1275800000,1611900000,1174800000,1.047e+09,127800000,1174800000,2786700000,1154500000,-613100000,2500000,543900000,543900000,3330600000,113800000,17800000,83500000,31900001,247000001,-30900000,243100000,212200000,-147800000,8300000,-21100000,-168900000,290300001,290300001,290300001,135500001,0,146400002,0.78125,0.19058,0.18426,0.20923,0.03417,1.28647,1.37025,5.12355,-4.33680868994202e-19,0.14084,0.13761,0.76436,0.67314,0.18119,0.06621,0.08518,-11.26863,-12.97281
"41","2020_Q4",25.27578125,"Down",651100000,-139200000,511900000,-386100001,-296100001,-266700001,-29400000,-9e+07,125799999,1500000,2500000,-1e+06,127299999,128399999,-5e+06,123399999,123399999,123399999,123399999,1656700000,882300000,774400000,546600000,546600000,134500000,46800000,46800000,2384600000,419400000,117900000,664300000,230100000,340700000,1201600000,3586200000,345600000,95900000,249700000,1.3e+09,1.3e+09,1645600000,1227400000,1.092e+09,135400000,1227400000,2.873e+09,1178700000,-466900000,1400000,713200000,713200000,3586200000,123400000,16700000,85500000,-4800000,220800000,-35100000,-183800000,-224600000,2500000,2500000,-28700000,-30299999,-34099999,-34099999,-34099999,142499999,0,107599999,0.78621,0.19321,0.18953,0.17302,0.03441,0.87196,1.44908,4.02832,0,0.15216,0.14903,0.80284,0.87941,0.13268,0.06359,0.05545,-11.62596,-13.16932
"42","2021_Q1",32.7162295081967,"Up",7.48e+08,-1.67e+08,5.81e+08,-412800000,-323800000,-291400000,-32400000,-8.9e+07,168200000,2300000,2e+06,3e+05,170500000,171700000,-2.5e+07,146700000,146700000,146700000,146700000,1837300000,1061800000,775500000,7.2e+08,7.2e+08,139800000,43300000,43300000,2740400000,4.48e+08,118300000,737800000,245200000,3.68e+08,1304100000,4044500000,436700000,141600000,295100000,1392800000,1392800000,1829500000,1.359e+09,1212500000,146500000,1.359e+09,3188500000,1207400000,-352100000,7e+05,8.56e+08,8.56e+08,4044500000,146700000,16700000,87600000,45500000,296500000,-32300000,-2999999.99999988,-6.5e+07,-30200000,3900000,-21800000,-51999999.9999999,179500000,179500000,179500000,184900000,0,223100000,0.77674,0.22487,0.19612,0.17138,0.03627,1.52079,1.4979,3.72488,-6.93889390390723e-18,0.18067,0.17717,0.92118,1.05419,0.27475,0.06623,0.10072,-9.93672,-10.92331
"43","2021_Q2",42.6885714285714,"Up",710300000,-156600000,553700000,-433200000,-3.36e+08,-3.04e+08,-3.2e+07,-97200000,120500000,-2200000,-2e+05,-2e+06,118300000,119400000,-12200000,107200000,107200000,107200000,107200000,2936900000,1860200000,1076700000,637300000,637300000,149600000,57400000,57400000,3781200000,494200000,151100000,855699999,260600000,463600000,1500999999,5282199999,414600000,129500000,285100000,1465100000,1465100000,1879700000,1434700000,1280500000,154200000,2421700000,4301400000,1225400000,-244900000,3e+05,980800000,980800000,5282200000,107200000,17300000,90800000,100600000,315900000,-52100000,-411100000,-473500000,9900000,9900000,-43300000,9.56e+08,798400000,798400000,798400000,137800000,9.87e+08,198500000,0.77953,0.16965,0.15092,0.1093,0.02029,1.85168,2.0116,4.3856,0.18685,0.13153,0.12885,0.87153,1.20344,0.24356,0.03151,0.05834,-14.15022,-16.18174
"44","2021_Q3",57.9,"Up",801100000,-186900000,614200000,-467900000,-361300000,-326900000,-34400000,-106600000,146300000,-2500000,-3300000,8e+05,143800000,1.45e+08,-7500000,137500000,137500000,137500000,137500000,3113200000,1879300000,1233900000,584600000,584600000,149800000,60600000,60600000,3908200000,506500000,246600000,897600000,271200000,498500000,1650700000,5558900000,465500000,1.32e+08,333500000,1.533e+09,1.533e+09,1998500000,1522700000,1372400000,150300000,2510200000,4508700000,1.246e+09,-195700000,-1e+05,1050200000,1050200000,5558900000,137500000,18900000,96300000,165500001,418200001,-23500000,-254700000,-278200000,-85700000,5900000,-35200000,-120900000,19100001.0000001,19100001.0000001,19100000.9999999,165200000,987500000,314700001,0.7667,0.18262,0.17164,0.13093,0.02474,2.28873,1.95557,4.29318,0.17764,0.16871,0.16526,0.98294,1.28859,0.38613,0.03862,0.08839,-12.86743,-14.52973
"45","2021_Q4",65.80984375,"Up",1734400000,-1078400000,6.56e+08,-490700000,-382900000,-348212914.635584,-35649680.6022956,-107800000,165300000,-9700000,-3400000,-6300000,155600000,156700000,9300000,163200000,163200000,163100000,163100000,3.121e+09,1852100000,1268900000,604900000,604900000,177900000,59700000,59700000,3963500000,556600000,298200000,1152300000,337300000,616400000,2007100000,5970600000,564300000,142300000,4.22e+08,1616100000,1616100000,2.198e+09,1.649e+09,1490300000,158700000,2.637e+09,4.835e+09,1257900000,-138600000,-1200000,1118100000,1135600000,5970600000,163200000,22900000,106600000,106099999,398799999,-6.9e+07,-175400000,-307500000,-73500000,4900000,-4.3e+07,-118700000,-27400001,-27400001,-27200001,188200000,1005600000,215999999,0.37823,0.09531,0.09404,0.14362,0.02732,1.32434,1.80323,4.25766,0.16843,0.19976,0.19521,2.12419,1.36938,0.26454,0.04303,0.05699,-11.24017,-12.79734
"46","2022_Q1",62.1696774193548,"Down",96399999,638900000,735299999,-521600000,-4.09e+08,-366753672.949917,-36180705.8378245,-112600000,213699999,-7600000,-3500000,-4100000,206099999,207299999,-3700000,198799999,198799999,198999999,198999999,2551700000,1319100000,1232600000,807700000,807700000,175800000,65400000,65400000,3600600000,687600000,440800000,1190100000,342300000,659100000,2318500000,5919100000,540700000,148400000,392300000,3452900000,3452900000,3993600000,138700000,1621579613.745,138700000,1127100000,5120700000,1254400000,-467900000,-4800000,781700000,798400000,5919100000,198800000,25300000,112500000,30200000,366800000,-151300000,-113500000,-265900000,-566500000,5300000,-49800000,-633600000,-532700000,-532700000,-5.33e+08,238999999,988400000,121599999,7.62759,2.2168,2.06432,0.24925,0.03362,0.61106,0.90159,6.4137,0.16698,0.24254,0.23481,0.11749,0.95271,0.1482,0.10335,0.06315,-6.541,-7.3154
"47","2022_Q2",59.388064516129,"Down",954800000,-253800000,7.01e+08,-551100000,-426200000,-387600000,-38600000,-124900000,149900000,-12300000,-3200000,-9100000,137600000,138700000,8100000,138300000,138300000,138400000,138400000,2141600000,923500000,1218100000,790400000,790400000,184600000,91700000,91700000,3208300000,786500000,360800000,1295500000,431700000,684900000,2442800000,5651100000,617199999,174700000,442499999,1893300000,1893300000,2510499999,1918500000,1764600000,153900000,2907400000,5417899999,1236500000,-1003400000,-15400000,217700000,233200000,5651099999,138300000,25500000,124300000,108000001,396100001,-122600000,77200000,-45400000,-680200000,1.1e+07,-65800000,-7.46e+08,-395299999,-395299999,-395599999,175400000,988900000,152700001,0.73419,0.157,0.14495,0.59348,0.02449,1.10332,1.27795,23.23285,0.17499,0.16982,0.16575,1.17153,0.26712,0.18736,0.04407,0.04862,-6.57184,-7.68979
"48","2022_Q3",54.17125,"Down",1030100000,-250800000,779300000,-585200000,-460900000,-415500000,-45400000,-124300000,194100000,-11400000,-2100000,-9300000,182700000,183900000,-2400000,173400000,173400000,173500000,173500000,1754900000,7.1e+08,1044900000,919500000,919500000,195200000,83300000,83300000,2952900000,814600000,188500000,1338500000,480200000,691600000,2341600000,5294500000,621700000,193100000,428600000,2013200000,2013200000,2634900000,2049799999,1918800000,130999999,3039199999,5674099999,1238100000,-1607600000,-23400000,-392900000,-379600000,5294499999,173400000,25100000,132900000,-8000001,323399999,-39900000,3.34e+08,294100000,-795100000,4900000,-35200000,-830300000,-212800001,-212800001,-213500001,219200000,989400000,173699999,0.75653,0.18843,0.16843,-0.45706,0.03277,1.00115,1.12069,-14.94758,0.18687,0.21813,0.21417,1.29507,-0.49397,0.21838,0.06524,0.06531,-3.49224,-3.94384
