"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",63.8418032786885,"Up",28870000,-10568000,18302000,-10470000,-13831000,7832000,167000,213000,-46000,7999000,7999000,-1947000,6052000,6052000,-28000,6024000,6024000,47336000,32392000,16451000,16451000,7976000,1859000,1859000,73622000,8378000,4836000,3526000,3000,1307000,13214000,86836000,14814000,2775000,9617000,3591000,3591000,18405000,2110000,566000,1544000,2110000,20515000,10910000,-1000,56110000,-950000,66069000,252000,66321000,86836000,6052000,182000,71000,3037000,9342000,-878000,19075000,25995000,25995000,25995000,8014000,0,12120000,0.63395,0.27129,0.20866,0.09083,0.06937,2.01195,4.00011,0.30933,0,0.59691,0.59691,2.86068,6.54667,1.20095,0.12342,0.17711,-5.90666,-6.04392
"35","2019_Q2",78.3652380952381,"Up",26788000,-9842000,16946000,-11355000,-10014000,5591000,258000,220000,38000,5849000,5849000,-1418000,4431000,4431000,-49000,4382000,4382000,43711000,20951000,17006000,17006000,8839000,1446000,1446000,71002000,8530000,5555000,3526000,3000,2026000,14085000,85087000,6980000,2024000,4956000,4456000,4456000,11436000,2811000,421000,2390000,2811000,14247000,10910000,-1000,60492000,-868000,70533000,307000,70840000,85087000,4431000,150000,-755000,-4782000,-956000,-299000,-8115000,-11493000,-11493000,-11493000,5741000,0,2078000,0.6326,0.20871,0.16358,0.06186,0.0515,0.47421,6.20864,0.20112,0,0.43421,0.43421,2.65438,6.989,0.20591,0.09238,0.02821,-7.61383,-7.8181
"36","2019_Q3",77.7209375,"Down",26809000,-10073000,16736000,-11592000,-10440000,5144000,203000,236000,-33000,5347000,5347000,-1325000,4022000,4022000,-39000,3983000,3983000,46818000,23920000,16665000,16665000,9387000,862000,862000,73732000,8799000,5684000,3526000,3000,2155000,14483000,88215000,10972000,1733000,6413000,5347000,5347000,16319000,2208000,211000,1997000,2208000,18527000,11127000,-1000,59227000,-1002000,69351000,337000,69688000,88215000,4022000,151000,631000,1231000,6035000,-423000,-561000.000000004,3052000,3052000,3052000,5295000,0,7428000,0.62427,0.19188,0.14857,0.05715,0.04515,1.86493,4.51817,0.26586,0,0.39468,0.39468,2.65655,6.87211,0.73605,0.08909,0.10332,-8.84193,-9.10148
"37","2019_Q4",91.8328125,"Up",28030000,-10326000,17704000,-13331000,-12169000,4373000,174000,229000,-55000,4547000,4547000,-1153000,3394000,3394000,-26000,3368000,3368000,48023000,25158000,16814000,16814000,10466000,2692000,2692000,77995000,8899000,5625000,3526000,3000,2096000,14524000,92519000,13128000,2859000,7443000,6895000,6895000,20023000,2524000,319000,2205000,2524000,22547000,11127000,-1000,59769000,-1141000,69754000,218000,69972000,92519000,3394000,192000,1955000,-947000,4594000,-3e+05,-267000,1364000,1364000,1364000,4565000,0,4471000,0.63161,0.15601,0.12016,0.04813,0.0364,1.32749,3.89527,0.32223,0,0.33372,0.33372,2.77733,6.91152,0.44301,0.08733,0.06167,-10.51982,-10.98171
"38","2020_Q1",88.1143548387097,"Down",29733000,-10632000,19101000,-12287000,-15942000,6814000,297000,191000,106000,7111000,7111000,-1533000,5578000,5578000,-25000,5553000,5553000,16098000,16098000,17047000,17047000,11078000,2097000,2097000,46320000,8909000,5755000,3526000,4000,2225000,14664000,60984000,14711000,2383000,9502000,5773000,5773000,20484000,2924000,331000,2593000,2924000,23408000,11127000,-1000,27165000,-909000,37382000,194000,37576000,60984000,5578000,226000,390000,174000,6368000,-203000,22662000,-9191000,-9191000,-9191000,7040000,0,8544000,0.64242,0.22917,0.18676,0.14778,0.09106,1.53863,2.26128,0.62295,0,0.55002,0.55002,2.94505,3.70268,0.84628,1.08084,0.21096,-2.28665,-2.36249
"39","2020_Q2",92.6174603174603,"Up",25266000,-9497000,15769000,-9924000,-9924000,5845000,-63000,45000,-108000,5782000,5782000,-1416000,4366000,4366000,-22000,4344000,4344000,13834000,13834000,15524000,15524000,11222000,1503000,1503000,42083000,8830000,5605000,3526000,4000,2075000,14435000,56518000,10944000,2156000,5962000,3906000,3906000,14850000,2728000,542000,2186000,2728000,17578000,11127000,-1000,28683000,-1073000,38736000,204000,38940000,56518000,4366000,211000,-703000,-3123000,751000,-145000,-145000,-2220000,-2220000,-2220000,6056000,0,4204000,0.62412,0.23134,0.17193,0.11156,0.07686,0.96777,2.83387,0.45141,0,0.43035,0.43035,2.50307,3.83753,0.41649,0.17207,0.10089,-2.28435,-2.36681
"40","2020_Q3",122.3971875,"Up",21818000,-8556000,13262000,-6235000,-6235000,7027000,-120000,-97000,-23000,6907000,4766000,-1196000,3570000,3570000,999.999999999996,3571000,3571000,19487000,19487000,14113000,14113000,11083000,974000,974000,45657000,8660000,5600000,3526000,4000,2070000,14260000,59917000,13023000,2155000,8041000,4523000,4523000,17546000,2709000,186000,2523000,2709000,20255000,11127000,-1000,29427000,-1091000,39462000,2e+05,39662000,59917000,3570000,210000,114000,4658000,8552000,-42000,-42000,5683000,5683000,5683000,7237000,0,13049000,0.60785,0.32207,0.16367,0.09004,0.0596,3.65416,2.60213,0.51069,0,0.35375,0.35375,2.16134,3.9092,1.29267,0.151,0.30797,-2.69269,-2.77316
"41","2020_Q4",154.39203125,"Up",27087000,-9821000,17266000,-13028000,-13028000,4238000,25000,6000,19000,4263000,6404000,-1576000,4828000,4828000,-11000,4817000,4817000,18577000,18577000,16319000,16319000,11429000,2840000,2840000,49165000,8647000,5574000,3526000,4000,2044000,14221000,63386000,12028000,2147000,7055000,6062000,6062000,18090000,3498000,416000,3082000,3498000,21588000,11127000,-1000,31418000,-968000,41576000,222000,41798000,63386000,4828000,216000,1572000,-4578000,2038000,-194000,-194000,-982000,-982000,-982000,4454000,0,1258000,0.63743,0.15646,0.17783,0.11524,0.07599,0.26116,2.7178,0.51648,0,0.4772,0.4772,2.68339,4.11875,0.12462,0.16873,0.02777,-4.17086,-4.38344
"42","2021_Q1",154.055409836066,"Down",31625000,-11372000,20253000,-10710000,-10710000,9543000,66000,7000.00000000003,59000,9609000,9609000,-2406000,7203000,7203000,-25000,7178000,7178000,23633000,23633000,20077000,20077000,11510000,2137000,2137000,57357000,8599000,5615000,3526000,5000,2084000,14214000,71571000,16053000,2471000,10756000,5818000,5818000,21871000,3323000,121000,3202000,3323000,25194000,11127000,-1000,35769000,-778000,46117000,260000,46377000,71571000,7203000,233000,303000,230000,7969000,-183000,-183000,4959000,4959000,4959000,9776000,0,12229000,0.64041,0.30175,0.22697,0.15477,0.10029,1.70368,2.62251,0.54324,0,0.71118,0.71118,3.13335,4.56919,1.21163,0.20131,0.24606,-2.41745,-2.47647
"43","2021_Q2",148.315555555556,"Down",30863000,-11304000,19559000,-11240000,-11240000,8319000,27000,9000,18000,8346000,8346000,-2049000,6297000,6297000,-30000,6267000,6267000,22674000,22674000,19718000,19718000,11949000,1589000,1589000,55930000,8736000,5511000,3526000,5000,1980000,14247000,70177000,12853000,1888000,8138000,4786000,4786000,17639000,2652000,168000,2484000,2652000,20291000,11127000,-1000,39209000,-742000,49593000,293000,49886000,70177000,6297000,226000,552000,-4868000,2207000,-362000,-362000,-981000,-981000,-981000,8545000,0,5364000,0.63374,0.26955,0.20306,0.12563,0.0893,0.85591,3.17081,0.40675,0,0.62086,0.62086,3.05756,4.91312,0.5314,0.17307,0.1021,-2.65348,-2.72557
"44","2021_Q3",149.12,"Up",31966000,-12268000,19698000,-11279000,-11279000,8419000,15000,8000,7000,8434000,8434000,-2232000,6202000,6202000,-18000,6184000,6184000,28463000,28463000,18650000,18650000,11759000,1003000,1003000,59875000,8666000,8746000,3526000,5000,5215000,17412000,77287000,13630000,2160000,8443000,5043000,5043000,18673000,5556000,65000,5491000,5556000,24229000,11127000,-1000,42366000,-745000,52747000,311000,53058000,77287000,6202000,225000,-76999.9999999999,2423000,8773000,-155000,-155000,5791000,5791000,5791000,8644000,0,13144000,0.61622,0.26337,0.19346,0.11655,0.08001,2.12549,3.2065,0.45665,0,0.61264,0.61264,3.16683,5.22558,1.30216,0.15373,0.22425,-3.2928,-3.38081
"45","2021_Q4",131.05078125,"Down",31725000,-11686000,20039000,-11713000,-11713000,8326000,-9000,10000,-19000,8317000,8317000,-2160000,6157000,6157000,-9000,6148000,6148000,27245000,27245000,22115000,22115000,12841000,3361000,3361000,65562000,8621000,8669000,3526000,5000,5138000,17290000,82852000,15565000,1852000,10685000,5691000,5691000,21256000,5634000,424000,5210000,5634000,26890000,11127000,-1000,45486000,-835000,55777000,185000,55962000,82852000,6157000,246000,815000,-5034000,2184000,-203000,-203000,-1175000,-1175000,-1175000,8572000,0,5495000,0.63165,0.26244,0.19379,0.10986,0.0742,0.89379,3.0844,0.4805,0,0.60906,0.60906,3.14286,5.52558,0.54437,0.15105,0.08921,-3.17837,-3.27228
"46","2022_Q1",137.835322580645,"Up",35457000,-13222000,22235000,-12237000,-12237000,9998000,23000,8000,15000,10021000,10021000,-2421000,7600000,7600000,-4000,7596000,7596000,32913000,32913000,20726000,20726000,15565000,2533000,2533000,71737000,8569000,8609000,3526000,7000,5076000,17178000,88915000,17547000,3355000,14192000,5247000,5247000,22794000,5580000,427000,5153000,5580000,28374000,11127000,-1000,50053000,-827000,60352000,189000,60541000,88915000,7600000,323000,-378000,4440000,11985000,-251000,-251000,5676000,5676000,5676000,10321000,0,16931000,0.6271,0.28198,0.21423,0.12547,0.08543,2.22894,3.14719,0.46867,0,0.7525,0.7525,3.51257,5.97881,1.67728,0.2065,0.25606,-3.18894,-3.29196
"47","2022_Q2",112.386451612903,"Down",31293000,-12178000,19115000,-11749000,-11749000,7366000,-17000,9000,-26000,7349000,7349000,-1879000,5470000,5470000,-19000,5451000,5451000,28971000,28971000,18760000,18760000,17820000,1854000,1854000,67405000,8361000,8672000,3526000,7000,5139000,17033000,84438000,12680000,2399000,7253000,4035000,4035000,16715000,4817000,172000,4645000,4817000,21532000,11127000,-1000,52476000,-898000,62704000,202000,62906000,84438000,5470000,283000,210000,-9839000,-3876000,-79000,-79000,-3955000,-3955000,-3955000,7649000,0,-390000,0.61084,0.23539,0.17419,0.08665,0.06456,-0.07155,4.03261,0.34229,0,0.54001,0.54001,3.10006,6.21181,-0.03864,0.08049,-0.00576,-3.78755,-3.93307
"48","2022_Q3",108.55359375,"Down",31748000,-10955000,20793000,-13451000,-13451000,7342000,-127000,11000,-138000,7215000,7215000,-1755000,5460000,5460000,-10000,5450000,5450000,30272000,30272000,17403000,17403000,21542000,2296000,2296000,71513000,8496000,8939000,3526000,410000,5003000,17435000,88948000,13034000,2682000,7122000,6490000,6490000,19524000,4496000,14000,4482000,4496000,24020000,11127000,-1000,54696000,-1090000,64732000,196000,64928000,88948000,5460000,283000,-316000,-678000,4749000,-425000,-425000,1296000,1296000,1296000,7625000,0,8277000,0.65494,0.23126,0.17166,0.08394,0.06127,1.51872,3.66283,0.36995,0,0.53992,0.53992,3.14523,6.41292,0.81999,0.12212,0.11922,-3.9701,-4.12313
