"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"33","2018_Q2",96.9925,"Up",10887000,-3965000,6922000,-1951000,-1838000,-113000,4971000,37000,37000,5008000,5008000,-916000,4092000,4092000,4092000,4092000,42925000,42853000,4209000,4209000,5558000,427000,53119000,11781000,32288000,14348000,17940000,44069000,97188000,5120000,1084000,4036000,5120000,9382000,6271000,9382000,14502000,1023000,88703000,-7040000,82686000,82686000,97188000,4092000,770000,-45000,-1067000,3750000,-173000,-173000,-1005000,147000,147000,-842000,2735000,2735000,243000,2978000,5741000,0,5417000,0.6358,0.4566,0.37586,0.04949,0.0421,1.3238,10.3748,0.17539,0,1.09852,1.09178,2.92268,22.19758,1.45423,0.2698,0.05536,0.05884,0.2456,-7.47692,-8.63508
"34","2018_Q3",88.9588888888889,"Down",10965000,-3981000,6984000,-1928000,-1811000,-117000,5056000,501000,501000,5557000,5557000,-1249000,4308000,4308000,4308000,4308000,45873000,45873000,4532000,4532000,5228000,363000,55996000,10769000,30279000,13925000,16354000,41048000,97044000,5248000,979000,4269000,5248000,8434000,3266000,8434000,13682000,1234000,92004000,-9876000,83362000,83362000,97044000,4308000,753000,-587000,-516000,3958000,834000,908000,-1006000,2e+05,2e+05,-783000,4083000,4083000,-1063000,3020000,5809000,0,7376000,0.63694,0.4611,0.39289,0.05168,0.04439,1.71216,10.66997,0.16413,0,1.15465,1.14758,2.93889,22.34307,1.97695,0.26963,0.05789,0.08035,0.23352,-7.89688,-9.07298
"35","2018_Q4",82.2255555555556,"Down",10390000,-4096000,6294000,-1892000,-1784000,-108000,4402000,79000,79000,4481000,4481000,2281000,6762000,6762000,6762000,6762000,49352000,49352000,4476000,4476000,4920000,307000,59055000,10574000,29523000,13854000,15669000,40097000,99152000,4770000,668000,4102000,4770000,5551000,3110000,5551000,10321000,1334000,97758000,-10261000,88831000,88831000,99152000,6762000,717000,-109000,-2771000,4599000,-54000,-54000,-1007000,89000,89000,-913000,3632000,3632000,-153000,3479000,5119000,0,13000,0.60577,0.42368,0.65082,0.07612,0.0682,0.00192,12.3805,0.11619,0,1.81141,1.80176,2.78328,23.79614,0.00348,0.26976,0.08231,0.00014,0.14892,-9.64095,-11.21127
"36","2019_Q1",82.3772131147541,"Up",9756000,-3650000,6106000,-1838000,-1722000,-116000,4268000,113000,36999.9999999999,4381000,4413000,-1020000,3393000,3393000,3393000,3393000,51112000,51112000,3956000,3956000,5412000,423000,60903000,10359000,28506000,13703000,14803000,38865000,99768000,5260000,975000,4285000,5260000,5516000,2976000,5516000,10776000,159000,100123000,-11290000,88992000,88992000,99768000,3393000,716000,106000,312000,4527000,-147000.000000001,-147000.000000002,-1008000,-1187000,18000,-2239000,2141000,2141000,-381000,1760000,4984000,1.81898940354586e-12,6169000,0.62587,0.43747,0.34779,0.03813,0.03401,1.81816,11.57852,0.12109,2.71050543121376e-20,0.90941,0.90795,2.61485,23.85205,1.65344,0.27017,0.04657,0.06527,0.29708,-10.25522,-11.97563
"37","2019_Q2",79.1373015873016,"Down",10732000,-3959000,6773000,-2672000,-2557000,-115000,4101000,36000,36000,4137000,4137000,-998000,3139000,3139000,3139000,3139000,32665000,32665000,4909000,4909000,7648000,446000,45668000,10238000,49145000,13842000,34861000,59383000,105051000,7043000,2847000,4196000,7043000,5833000,2932000,5833000,12876000,283000,102235000,-10343000,92175000,92175000,105051000,3139000,1450000,-91000,-1138000,3360000,-21012000,-21012000,-1027000,97000,97000,-930000,-18582000,-18582000,135000,-18447000,5551000,0,-15601000,0.6311,0.38213,0.29249,0.03405,0.02988,-4.97005,6.48417,0.13969,0,0.84336,0.83975,2.8834,24.76491,-4.19156,0.27593,0.04251,-0.15918,0.32717,-5.88453,-7.96513
"38","2019_Q3",87.65328125,"Up",11847000,-4347000,7500000,-3019000,-2906000,-113000,4481000,84000,84000,4565000,4565000,-1040000,3525000,3525000,3525000,3525000,32880000,32880000,5235000,5235000,7712000,398000,46225000,10134000,47002000,13679000,32890000,57136000,103361000,3821000,854000,2967000,3821000,5628000,2792000,5628000,9449000,37000,104681000,-10806000,93912000,93912000,103361000,3525000,1807000,-99000,-3550000,1683000,-118000,-117999.999999996,-1028000,74000,74000,-1352000,213000,213000,1999.99999999988,214999.999999993,6288000,-2.91038304567337e-11,3660000,0.63307,0.37824,0.29754,0.03754,0.0341,1.0383,12.09762,0.10062,-2.16840434497101e-19,0.94758,0.94352,3.18468,25.24516,0.98387,0.27634,0.04574,0.03677,0.29163,-5.22901,-7.33765
"39","2019_Q4",95.81203125,"Up",12494000,-5115000,7379000,-3007000,-2878000,-129000,4372000,76000,76000,4448000,4448000,-743000,3705000,3705000,3705000,3705000,37393000,37393000,5067000,5067000,6711000,342000,49513000,9844000,44737000,13468000,30847000,54581000,104094000,3686000,785000,2901000,3686000,5422000,2596000,5422000,9108000,37000,107439000,-12490000,94986000,94986000,104094000,3705000,1781000,-76000,962000,6372000,-122000,-122000,-1028000,52000,52000,-976000,5274000,5274000,-761000,4513000,6153000,0,7736000,0.5906,0.34993,0.29654,0.03901,0.03559,2.08799,13.43272,0.09589,0,0.9949,0.99064,3.35499,25.50644,2.07734,0.27605,0.04714,0.07705,0.27746,-6.0772,-8.55284
"40","2020_Q1",88.1116129032258,"Down",11831000,-4017000,7814000,-3136000,-3010000,-126000,4678000,50000,-204000,4728000,4734000,-376000,4358000,4358000,4358000,4358000,42787000,42787000,4742000,4742000,6914000,443000,54886000,10728000,44173000,13961000,30212000,54901000,109787000,3448000,1098000,2350000,3448000,3136000,2760000,5246000,8694000,55000,110820000,-9782000,101093000,101093000,109787000,4358000,1806000,74000,-597000,5641000,-288000,-288000,-1029000,-338000,60000,-969000,4384000,4384000,1010000,5394000,6484000,2110000,5975000,0.66047,0.3954,0.36835,0.04311,0.0397,1.37104,15.91821,0.086,0.01922,1.17214,1.16462,3.18209,27.19016,1.60705,0.27676,0.05066,0.05619,0.23612,-6.27344,-8.69538
"41","2020_Q2",85.3804761904762,"Down",10902000,-4066000,6836000,-2973000,-2838000,-135000,3863000,125000,125000,3988000,3988000,-848000,3140000,3140000,3140000,3140000,39613000,39613000,4410000,4410000,6757000,443000,51223000,10224000,41747000,13547000,27796000,51971000,103194000,3801000,1057000,2744000,3801000,5007000,2633000,5007000,8808000,36000,106582000,-12232000,94386000,94386000,103194000,3140000,1805000,-76000,805000,5674000,-454000,-454000,-1042000,-6378000,48000,-7420000,-2200000,-2200000,-974000,-3174000,5668000,0,6867000,0.62704,0.35434,0.28802,0.03327,0.03043,2.18694,13.47619,0.09332,0,0.84705,0.84318,2.94092,25.46156,1.85244,0.28109,0.04208,0.06909,0.33185,-6.98888,-10.25447
"42","2020_Q3",79.17234375,"Down",8787000,-3837000,4950000,-2973000,-2858000,-115000,1977000,0,0,1977000,1977000,-665000,1312000,1312000,1312000,1312000,42352000,42352000,3792000,3792000,6580000,393000,53117000,10417000,40011000,13503000,26113000,50428000,103545000,3243000,560000,2683000,3243000,5015000,2524000,5015000,8258000,116000,106881000,-11710000,95287000,95287000,103545000,1312000,1772000,211000,382000,3677000,-257000,-257000,-1035000,31000,31000,-1004000,2416000,2416000,323000,2739000,3749000,-2.3283064365387e-10,4539000,0.56333,0.22499,0.14931,0.01377,0.01267,3.4596,16.37897,0.08666,-1.73472347597681e-18,0.36014,0.35886,2.41202,26.15619,1.24595,0.28411,0.0234,0.04525,0.78887,-11.29688,-21.42236
"43","2020_Q4",81.61015625,"Up",10479000,-3982000,6497000,-2909000,-2784000,-125000,3588000,0,0,3588000,3588000,-654000,2934000,2934000,2934000,2934000,46294000,46294000,4277000,4277000,6304000,385000,57260000,10650000,39162000,13783000,24993000,49812000,107072000,3627000,651000,2976000,3627000,5030000,2552000,5030000,8657000,36000,108578000,-10199000,98415000,98415000,107072000,2934000,1793000,-1000,282000,5008000,-95000,-95000,-1020000,-348000,203000,-1368000,3545000,3545000,397000,3942000,5381000,0,6222000,0.62,0.3424,0.27999,0.02981,0.0274,2.12065,15.78715,0.08796,0,0.8056,0.80296,2.87727,27.02224,1.7084,0.28007,0.03822,0.06015,0.34765,-8.60323,-12.90245
"44","2021_Q1",84.4544262295082,"Up",12010000,-4745000,7265000,-2985000,-2874000,-111000,4280000,-13000,-125000,4267000,4287000,-875000,3412000,3412000,3412000,3412000,51590000,51590000,4104000,4104000,6222000,346000,62262000,11326000,38157000,14164000,23993000,49483000,111745000,3791000,788000,3003000,3791000,3137000,2802000,5132000,8923000,151000,110952000,-8281000,102822000,102822000,111745000,3412000,1800000,42000,524000,5778000,-54000,-54000,-1019000,76999.9999999998,76000,-942000,4782000,4782000,514000,5296000,6080000,1995000,7425000,0.60491,0.35637,0.2841,0.03318,0.03053,2.17614,16.42363,0.08678,0.01785,0.93736,0.93377,3.29945,28.2478,2.03984,0.27995,0.04105,0.06878,0.29865,-8.15707,-11.58762
"45","2021_Q2",83.351746031746,"Down",10964000,-4017000,6947000,-3059000,-2929000,-130000,3888000,10000,10000,3898000,3898000,-874000,3024000,3024000,3024000,3024000,56033000,56033000,4157000,4157000,5975000,451000,66616000,10721000,37051000,14232000,22453000,47772000,114388000,4567000,839000,3728000,4567000,4938000,2541000,4938000,9505000,281000,112937000,-8335000,104883000,104883000,114388000,3024000,1827000,-150000,832000,5533000,-10000,-10000,-1038000,89000,89000,-949000,4574000,4574000,-131000,4443000,5715000,0,7411000,0.63362,0.35462,0.27581,0.02883,0.02644,2.45073,14.58638,0.09062,0,0.82986,0.82736,3.00878,28.78238,2.03375,0.28485,0.03699,0.06748,0.34325,-9.80455,-14.41178
"46","2021_Q3",85.38828125,"Up",12604000,-4819000,7785000,-3021000,-2892000,-129000,4764000,61000,61000,4825000,4825000,-1399000,3426000,3426000,3426000,3426000,59506000,59506000,4606000,4606000,6118000,357000,70587000,10812000,35395000,14236000,20803000,46207000,116794000,4431000,1186000,3245000,4431000,4998000,2841000,4998000,9429000,325000,115326000,-8286000,107365000,107365000,116794000,3426000,1833000,288000,-855000,4692000,-212000,-212000,-1039000,3000.00000000003,3000.00000000001,-1036000,3444000,3444000,29000.0000000002,3473000,6597000,0,6929000,0.61766,0.37798,0.27182,0.03191,0.02933,2.02248,15.93026,0.08782,1.73472347597681e-18,0.94018,0.93735,3.45884,29.4635,1.90148,0.28513,0.03974,0.06167,0.30327,-9.02016,-12.49076
"47","2021_Q4",99.248125,"Up",12572000,-4499000,8073000,-2975000,-2848000,-127000,5098000,59000,59000,5157000,5157000,-951000,4206000,4206000,4206000,4206000,64321000,64321000,4853000,4853000,6299000,373000,75846000,10547000,33359000,14064000,18911000,43906000,119752000,5015000,1026000,3989000,5015000,4757000,2218000,4757000,9772000,556000,118492000,-9068000,109980000,109980000,119752000,4206000,1819000,-112000,78000,5991000,-77000,-77000,-1039000,189000,189000,-850000,5064000,5064000,-249000,4815000,6917000,0,7869000,0.64214,0.4055,0.33455,0.03824,0.03512,1.8709,15.12383,0.08885,0,1.15391,1.15044,3.44911,30.17284,2.15885,0.28505,0.04571,0.06858,0.24703,-9.29897,-12.61691
"48","2022_Q1",90.8156451612903,"Down",12914000,-4802000,8112000,-2982000,-2842000,-140000,5130000,36000,-130000,5166000,5181000,-1049000,4132000,4132000,4132000,4132000,60974000,66132058.833193,5132000,5132000,6596000,456000,73158000,10618000,31860000,14098000,17313000,42478000,115636000,3745000,761000,2984000,3745000,4753000,2682000,4753000,8498000,878000,115314000,-9054000,107138000,107138000,115636000,4132000,1802000,114000,-1061000,4987000,-253000,-253000,-8349000,279000,279000,-8070000,-3336000,-3336000,-11000,-3347000,6932000,0,6667000,0.62816,0.39724,0.31996,0.03857,0.03573,1.6135,19.53485,0.07932,0,1.11484,1.12486,3.48429,28.90659,1.7988,2.25262,0.11155,0.05958,2.02057,-8.79602,-11.88577
"49","2022_Q2",84.513064516129,"Down",12323000,-4790000,7533000,-3011000,-2888000,-123000,4522000,8000,8000,4530000,4530000,-996000,3534000,3534000,3534000,3534000,65873000,65873000,5720000,5720000,7367000,520000,79480000,10562000,29761000,13903000,15423000,40323000,119803000,6098000,1454000,4644000,6098000,4537000,2209000,4537000,10635000,940000,117788000,-9560000,109168000,109168000,119803000,3534000,1795000,-79000,-204000,5046000,-237000,-237000,-12359613.2964814,19000,19000,19000,4828000,4828000,71000,4899000,6317000,0,6872000,0.6113,0.36696,0.28678,0.03237,0.0295,1.94454,13.03378,0.09742,0,0.96689,0.96373,3.37155,29.86813,1.88016,3.33198095636378,0.03108,0.06044,3.01117650467643,-10.42789,-14.56723
"50","2022_Q3",87.7640625,"Up",13429000,-5279000,8150000,-3093000,-2958000,-135000,5057000,142000,142000,5199000,5199000,-1095000,4104000,4104000,4104000,4104000,66224000,66224000,4938000,4938000,7338000,453000,78953000,10171000,27025000,13396000,13209000,37196000,116149000,4439000,818000,3621000,4439000,4239000,2196000,4239000,8678000,36000,119293000,-11858000,107471000,107471000,116149000,4104000,1764000,-72000,-964000,4832000,-222000,-222000,-1060000,-2491000,4000,-3551000,1059000,1059000,-708000,351000,6821000,1.81898940354586e-12,6730000,0.6069,0.37657,0.30561,0.03819,0.03533,1.63986,17.78621,0.08075,0,1.12285,1.11978,3.67415,29.40383,1.84131,0.29001,0.04623,0.06025,0.25828,-9.70884,-13.09551
