"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",25.7219047619048,"Up",31472000,-7124000,24348000,-17955000,-14746000,-2069000,-1140000,6393000,-644000,-644000,5749000,5749000,-1329000,4420000,4420000,4420000,4420000,34275000,30269000,28438000,28438000,3679000,3679000,66392000,11256000,95509000,439000,93716000,483000,871000,106765000,173157000,6328000,2013000,4174000,5265000,21481000,5612000,5104000,22982000,44463000,303980000,-172429000,-2804000,-53000,128694000,128694000,173157000,4420000,1140000,1819000,-433000,6946000,-1424000,1600000,176000,477000,-2713000,-2236000,4886000,4886000,4847000,7533000,27258000,7005000,0.77364,0.20313,0.14044,0.03435,0.02553,1.58484,3.09073,0.34549,0.15742,0.16049,0.15369,1.14273,4.67282,0.25435,0.02736,0.04336,-0.9315,-1.09761
"33","2018_Q4",16.4733333333333,"Down",30742000,-7445000,23297000,-19913000,-16417000,-2340000,-1156000,3384000,-362000,-362000,3022000,3022000,747000,3769000,3769000,3769000,3769000,32447000,29447000,27621000,27621000,5922000,5922000,65990000,10980000,95996000,892000,93709000,526000,869000,106976000,172966000,6625000,1960000,4524000,5275000,21788000,5423000,5027000,20321000,42109000,304843000,-174780000,965000,-171000,130857000,130857000,172966000,3769000,1156000,3369000,-1662000,6632000,-948000,1e+06,-318000,-2278000,-4838000,-7116000,-802000,-802000,-822000,4540000,24786000,1183000,0.75782,0.11008,0.1226,0.0288,0.02179,0.31388,3.02873,0.32179,0.1433,0.13544,0.13103,1.10475,4.70252,0.04251,0.0234,0.00734,-1.68744,-2.26389
"34","2019_Q1",15.0129508196721,"Down",31820000,-7665000,24155000,-19905000,-16419000,-2342000,-1144000,4250000,-572000,-572000,3678000,3678000,-1006000,2672000,2672000,2672000,2672000,35173000,34673000,30042000,30042000,4903000,4903000,70118000,10901000,95444000,849000,93687000,55000,852999.999999999,106345000,176463000,7739000,1871000,5692000,5573000,14553000,5611000,4949000,29325000,43878000,307068000,-177905000,3637000,-215000,132585000,132585000,176463000,2672000,1144000,3336000,-648000,6504000,-568000,2500000,1932000,-3076000,-25121000,-3197000,5239000,5239000,5226000,5394000,24955000,5184000,0.75911,0.13356,0.08397,0.02015,0.01514,1.94012,4.81811,0.33094,0.14142,0.09518,0.0935,1.13353,4.72308,0.18467,0.01638,0.03177,-1.89433,-2.40424
"35","2019_Q2",18.6863492063492,"Up",29972000,-7012000,22960000,-18585000,-15468000,-1987000,-1130000,4375000,-137000,-137000,4238000,4238000,-948000,3290000,3290000,3290000,3290000,38851000,38851000,25250000,25250000,4164000,4164000,68265000,11627000,122720000,809000,93727000,307000,27877000,134347000,202612000,5372000,1987000,3228000,8032000,14645000,29438000,28894000,52842000,67487000,309402000,-181030000,6927000,-174000,135125000,135125000,202612000,3290000,1143000,2312000,3059000,9804000,-1833000,5e+05,-1333000,-3102000,-1181000,-4283000,4188000,4188000,4178000,5518000,24645000,7692000,0.76605,0.14597,0.10977,0.02435,0.01624,2.33799,4.66132,0.49944,0.12164,0.11832,0.11664,1.07794,4.85974,0.27664,0.01739,0.04065,-2.57448,-3.24709
"36","2019_Q3",22.975,"Up",34286000,-7952000,26334000,-20246000,-17099000,-2001000,-1146000,6088000,-253000,-253000,5835000,5835000,-1684000,4151000,4151000,4151000,4151000,44405000,44405000,27075000,27075000,2998000,2998000,74478000,12001000,122010000,780000,93683000,405000,27142000,134011000,208489000,5321000,1028000,4034000,8784000,15346000,28669000,28281000,51763000,67109000,313164000,-182630000,11078000,-232000,141380000,141380000,208489000,4151000,1202000,4203000,-541000,9015000,-1546000,0,-1546000,-1600000,-312000,-1912000,5557000,5557000,5554000,7290000,24335000,6887000,0.76807,0.17757,0.12107,0.02936,0.01991,1.65912,4.85325,0.47467,0.11672,0.15018,0.14696,1.2404,5.11487,0.24916,0.02135,0.03543,-2.75309,-3.29665
"37","2019_Q4",25.3771875,"Up",33809000,-8047000,25762000,-18852000,-15562000,-2085000,-1205000,6910000,-408000,-408000,6502000,6502000,-1151000,5351000,5351000,5351000,5351000,52140000,52140000,24643000,24643000,4313000,4313000,81096000,12121000,120800000,735000,93540000,108000,26417000,132921000,214017000,6442000,2007000,4435000,7158000,14841000,28621000,27614000,51405000,66246000,314439000,-182630000,16429000,-467000,147771000,147771000,214017000,5351000,1299000,2471000,2053000,11174000,-1392000,-2.3283064365387e-10,-1392000,96000,-2064000,-1968000,7814000,7814000,7735000,8209000,24025000,10021000,0.76199,0.20438,0.15827,0.03621,0.025,1.87273,5.46432,0.4483,0.11226,0.19173,0.18903,1.2114,5.29474,0.35906,0.0267,0.05,-3.4249,-4.06874
"38","2020_Q1",23.7637096774194,"Down",35890000,-8847000,27043000,-21677000,-18421000,-2034000,-1222000,5366000,107000,107000,5473000,5473000,-1390000,4083000,4083000,4083000,4083000,57499000,52487000,27102000,27102000,2830000,2830000,87431000,12371000,121806000,710000,93639000,136000,27321000,134177000,221608000,8256000,2036000,6155000,6906000,16403000,29781000,28170000,52254000,68657000,317730000,-184972000,20512000,-319000,152951000,152951000,221608000,4083000,1355000,4482000,-464000,9456000,-1564000,-5012000,-6576000,-2075000,-483000,-2558000,322000,322000,347000,6721000,23714000,6083000,0.7535,0.14951,0.11376,0.02669,0.01842,1.48984,5.33018,0.44888,0.10701,0.1451,0.14332,1.27541,5.43536,0.21617,0.01978,0.02947,-5.02678,-6.29612
"39","2020_Q2",25.2146031746032,"Up",31416000,-8151000,23265000,-19681000,-16304000,-2032000,-1345000,3584000,-469000,-469000,3115000,3115000,-908000,2207000,2207000,2207000,2207000,45166000,40279000,23554000,23554000,2563000,2563000,71283000,12639000,127568000,3590000,96992000,244000,26742000,140207000,211490000,6757000,1691000,4802000,7200000,15354000,28754000,27419000,50761000,66115000,322956000,-199796000,22719000,-504000,145375000,145375000,211490000,2207000,1516000,3843000,2131000,9697000,-1636000,-41999.9999999991,-6693000,-14824000,-68000,-15205000,-12201000,-12201000,-12208000,5100000,23404000,6503000,0.74055,0.11408,0.07025,0.01518,0.01044,2.94653,4.64263,0.45479,0.11066,0.07881,0.0776,1.12184,5.19122,0.23222,0.01117,0.03292,-4.26706,-6.07199
"40","2020_Q3",37.69984375,"Up",34796000,-8785000,26011000,-19136000,-15837000,-1846000,-1453000,6875000,-10000.0000000001,-10000,6865000,6865000,-2092000,4773000,4773000,4773000,4773000,55413000,50390000,25568000,25568000,1830000,1830000,82811000,12951000,127498000,3471000,97023000,616000,26388000,140449000,223260000,9965000,1847000,4901000,7820000,19339000,28835000,27985000,50375000,69714000,326249000,-199796000,27492000,-399000,153546000,153546000,223260000,4773000,1674000,1963000,3734000,12144000,-1702000,-29000,-1731000,0,0,-311999.999999996,10101000,10101000,10111000,8549000,23094000,12673000,0.74753,0.19758,0.13717,0.03109,0.02138,2.65514,4.28207,0.45403,0.10344,0.17336,0.16945,1.26384,5.577,0.4603,0.02323,0.06168,-3.78044,-4.70095
"41","2020_Q4",51.6734375,"Up",36244000,-9212000,27032000,-20559000,-17146000,-1961000,-1452000,6473000,91000,91000,6564000,6564000,218000,6782000,6782000,6782000,6782000,62472000,57408000,24380000,24380000,4917000,4917000,91769000,13088000,126350000,3369000,97174000,127000,25680000,139438000,231207000,6980000,1624000,5356000,9530000,18216000,29669000,27912000,50735000,68951000,327955000,-199796000,34274000,-177000,162256000,162256000,231207000,6782000,1726000,5706000,-2707000,11507000,-1605000,-24999.9999999998,-1630000,460000,-3089000,-2942000,6935000,6935000,7018000,8199000,22772000,3669000,0.74583,0.1786,0.18712,0.0418,0.02933,0.54099,5.03782,0.42495,0.09849,0.24411,0.2369,1.30454,5.84012,0.13206,0.03159,0.01709,-4.84205,-6.13317
"42","2021_Q1",77.7483606557377,"Up",45920000,-11196000,34724000,-28835000,-25151000,-1988000,-1696000,5889000,71000,71000,5960000,5960000,-2654000,3306000,3306000,3306000,3306000,82700000,82616000,40183000,40183000,4880000,4880000,127763000,13661000,315144000,108872000,179118000,216000,26938000,328805000,456568000,27118000,4303000,22328000,19300000,46418000,53762000,29914000,207644000,254062000,363111000,-199796000,37580000,1611000,202506000,202506000,456568000,3306000,2021000,5359000,8419000,19105000,-1717000,5027000,-165693000,91000.0000000009,-24144000,171825000,25237000,25237000,25208000,7910000,153882000,17266000,0.75618,0.12824,0.07199,0.01633,0.00724,5.22263,2.75245,1.25459,0.33704,0.11765,0.1122,1.63411,7.20636,0.61443,0.00806,0.0421,8.99899,12.08728
"43","2021_Q2",71.791746031746,"Down",52969000,-15933000,37036000,-33815000,-28041000,-2923000,-2851000,3221000,-696000,-696000,2525000,2525000,-715000,1810000,1810000,1810000,1810000,93925000,93841000,37589000,37589000,4520000,4520000,136034000,15191000,313147000,107257000,179417000,392000,26081000,328338000,464372000,18106000,2583000,14913000,28618000,46724000,40534000,27213000,235510000,282234000,339666000,-199796000,39623000,2645000,182138000,182138000,464372000,1810000,3997000,6460000,3423000,15690000,-3131000,7899844.40799847,-3131000,221938.361327822,-1402000,-1402000,11157000,11157000,11225000,7218000,194976000,8225000,0.6992,0.06081,0.03417,0.00994,0.0039,4.5442,2.91144,1.54956,0.41987,0.06432,0.0619,1.88227,6.47234,0.29228,0.00433,0.01969,13.99986,31.37256
"44","2021_Q3",79.46671875,"Up",63711000,-16349000,47362000,-35428000,-28307000,-2534000,-4587000,11934000,-486000,-486000,11448000,11448000,-6328000,5120000,5120000,5120000,5120000,109122000,109038000,39718000,39718000,4562000,4562000,153402000,16453000,312363000,105441000,182222000,1500000,23200000,328816000,482218000,20783000,3718000,16868000,31511000,52294000,40789000,24703000,236092000,288386000,345665000,-199796000,44743000,3220000,193832000,193832000,482218000,5120000,4268000,8040000,763000,18191000,-3094000,5130981.96375451,-3094000,15999.9999999998,-29000,-13000.0000000149,15084000,15084000,15197000,16202000,195303000,20199000,0.74339,0.18731,0.08036,0.02641,0.01062,3.94512,2.93345,1.48781,0.40501,0.18194,0.17509,2.26399,6.88789,0.71778,0.01191,0.04698,5.31916,7.22147
"45","2021_Q4",93.99015625,"Up",69751000,-17571000,52180000,-45048000,-38835000,-2790000,-3423000,7132000,-199000,-15903232.4533234,6933000,6933000,3051000,9984000,9984000,9984000,9984000,104468000,99383000,45528000,45528000,9314000,9314000,159310000,17467000,332577000,112651000,197108000,228000,22590000,350044000,509354000,29900000,2956000,26944000,33364000,63264000,41938000,25851000,237569000,300833000,353700000,-199796000,54727000,-110000,208521000,208521000,509354000,9984000,4692000,16292000,-7763000,23205000,-3020000,-5001000,-32367000,0,-27000,-27000,-9189000,-9189000,-9655000,11824000,195631000,-2010000,0.74809,0.10225,0.14314,0.04788,0.0196,-0.20132,2.51818,1.4427,0.38408,0.35335,0.31035,2.46863,7.37997,-0.07114,0.02238,-0.00451,7.71,12.78225
"46","2022_Q1",80.5824193548387,"Down",76996000,-21355000,55641000,-43574000,-35549000,-3392000,-4633000,12067000,-21894000,-22093000,-9827000,-9827000,-6138000,-15965000,-15965000,-15965000,-15965000,381699000,361623000,51095000,51095000,5317000,5317000,438111000,18720000,332169000,110390000,197073000,474000,24232000,350889000,7.89e+08,35435000,3783000,31178000,34565000,7e+07,43049000,26800000,496243000,566243000,383493000,-199796000,38762000,298000,222757000,222757000,7.89e+08,-15965000,7493000,12875000,20210000,24613000,-3386000,-15006000,-18392000,0,-158099000,255901000,262122000,262122000,262240000,19560000,453194000,42522000,0.72265,0.15672,-0.20735,-0.07167,-0.02023,-2.66345,6.25873,2.54198,0.57439,-0.54812,-0.49036,2.64346,7.64778,1.45988,-0.0222,0.05914,3.65516,5.92484
"47","2022_Q2",69.7275806451613,"Down",68165000,-18591000,49574000,-38892000,-32097000,-3118000,-3677000,10682000,-560000,-560000,10122000,10122000,-2958000,7164000,7164000,7164000,7164000,395153000,375133000,51009000,51009000,5843000,5843000,452005000,19942000,327217000,106457000,195951000,1738000,23071000,347159000,799164000,23585000,2213000,16707000,41864000,65449000,38701000,22939000,492519000,557968000,397855000,-200119000,45926000,-2466000,241196000,241196000,799164000,7164000,5044000,9029000,6320000,27557000,-3578000,-33000,-3611000,-323000,-9588000,-9911000,14035000,14035000,13510000,15726000,453818000,21426000,0.72726,0.15671,0.1051,0.0297,0.00896,2.99079,6.90622,2.31334,0.56787,0.24727,0.24727,2.35279,8.32514,0.73954,0.00976,0.0292,3.73045,5.49195
"48","2022_Q3",64.2959375,"Down",78876000,-19006000,59870000,-40755000,-32487000,-3081000,-5187000,19115000,-984000.000000004,-984000,18131000,18131000,-5716000,12415000,12415000,12415000,12415000,394051000,374144000,60176000,60176000,6142000,6142000,460369000,20903000,318439000,100043000,192819000,3424000,22153000,339342000,799711000,29674000,7680000,16960000,40699000,70373000,36494000,21833000,490936000,561309000,406990000,-217288000,58341000,-9641000,238402000,238402000,799711000,12415000,5096000,8568000,-5197000,20882000,-3585000,-63000,-3473000,-17169000,0,-17169000,239999.99999994,239999.99999994,-989000,24211000,454442000,21145000,0.75904,0.24234,0.1574,0.05208,0.01552,1.70318,6.54184,2.35446,0.56826,0.41979,0.36232,2.66707,8.0612,0.71499,0.01702,0.02899,2.49436,3.15935
