"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"26","2016_Q3",39.31875,"Up",3.307e+09,1.73e+09,5.87e+08,9.9e+08,1e+06,9.89e+08,-1.339e+09,-3.05e+08,-1.809e+09,-1.46e+08,-1.3e+08,-1.3e+08,-2.76e+08,-2.76e+08,-1.2e+07,-2.88e+08,-2.88e+08,2.23e+08,-6.5e+07,-6.5e+07,5.2359e+10,3.48e+08,8.616e+09,6.2e+08,1.724e+10,7.9183e+10,3.798e+10,1.914e+09,1.1065e+10,5.193e+09,5.6152e+10,3.2e+09,1.4724e+10,1.19e+08,1.7945e+10,5.086e+09,2.3031e+10,7.9183e+10,-2.88e+08,8.02e+08,1.08e+08,6.22e+08,-6.03e+08,-5.31e+08,1.74e+08,-9.6e+08,-4e+07,4.76e+08,-5.3e+07,-1.86264514923096e-09,3.83e+08,4.5e+07,4.5e+07,-5e+06,4e+07,1.1065e+10,-0.04415,-0.01966,-0.00282,-0.00082,2.43811,0.13974,-0.1919,-0.19177,9.76323,52.97886,0.11809,-0.000319999999999999,-0.61538,-73.40411
"27","2016_Q4",42.0738095238095,"Up",3.287e+09,1.767e+09,5.61e+08,9.59e+08,4.5e+07,9.14e+08,-1.202e+09,-3.14e+08,-1.085e+09,6.86e+08,-1.3e+08,-1.3e+08,5.56e+08,5.56e+08,-1.63e+08,3.93e+08,3.93e+08,-6.6e+07,3.27e+08,3.27e+08,5.2385e+10,3.44e+08,7.853e+09,6.19e+08,1.7307e+10,7.8508e+10,3.7753e+10,1.186e+09,1.0922e+10,5.241e+09,5.5102e+10,3.21e+09,1.5031e+10,1.44e+08,1.827e+10,5.136e+09,2.3406e+10,7.8508e+10,3.93e+08,2.88e+08,2.64e+08,9.45e+08,-2.9e+08,-4.13e+08,-2.6e+07,-7.29e+08,-4.1e+07,-1.47e+08,-2.9e+07,-1e+06,-2.18e+08,-2e+06,-2e+06,-2e+06,-4e+06,1.0922e+10,0.2087,0.09948,0.01397,0.00417,2.35418,0.13912,0.96984,0.96852,9.74879,54.18632,0.1216,0.00476,0.12538,15.41983
"28","2017_Q1",44.8895161290323,"Up",3.338e+09,1.728e+09,5.65e+08,1.045e+09,3.2e+07,6.52e+08,-1.334e+09,-3.09e+08,-1.101e+09,5.94e+08,-1.33e+08,-1.33e+08,4.61e+08,4.61e+08,-4.9e+07,4.12e+08,4.12e+08,-1.22e+08,2.9e+08,2.9e+08,5.0711e+10,3.27e+08,7.644e+09,6e+08,1.7312e+10,7.6594e+10,3.6431e+10,7.86e+08,1.0778e+10,5.238e+09,5.3233e+10,3.19e+09,1.5196e+10,-2.23e+08,1.8163e+10,5.198e+09,2.3361e+10,7.6594e+10,4.12e+08,-6.44e+08,-7.2e+07,5.37e+08,-2.65e+08,-3.06e+08,2.3e+08,-3.41e+08,-4.1e+07,-1.48e+08,-1.9e+07,0,-2.08e+08,-1.2e+07,-1.2e+07,-5e+06,-1.7e+07,1.0778e+10,0.17795,0.08688,0.01241,0.00379,2.27871,0.14072,0.86102,0.85949,9.91063,53.92655,0.12173,0.00437,0.14138,17.59428
"29","2017_Q2",45.0384126984127,"Up",3.3e+09,1.645e+09,6.04e+08,1.051e+09,3.4e+07,1.017e+09,-1.293e+09,-3.05e+08,-1.05e+09,6.52e+08,-1.42e+08,-1.42e+08,5.1e+08,5.1e+08,-1.19e+08,3.91e+08,3.91e+08,-9.6e+07,2.95e+08,2.95e+08,5.1022e+10,4.12e+08,7.783e+09,6.26e+08,1.7271e+10,7.7114e+10,3.6663e+10,1.087e+09,1.069e+10,4.94e+09,5.338e+10,3.171e+09,1.5466e+10,-1.49e+08,1.8488e+10,5.246e+09,2.3734e+10,7.7114e+10,3.91e+08,2.94e+08,-6.86e+08,-1e+06,-2.11e+08,8.5e+07,3.99e+08,2.73e+08,-9.7e+07,-9.1e+07,-24857256.2146576,5288334.48674512,-1.88e+08,8.4e+07,8.4e+07,1e+06,8.5e+07,1.069e+10,0.19758,0.08939,0.01243,0.00383,2.24909,0.13863,0.87568,0.87361,9.79577,54.88008,0.28794,0.00516,0.32881,15.7638
"30","2017_Q3",45.8192063492063,"Up",3.359e+09,1.734e+09,4.78e+08,1.147e+09,4.3e+07,1.104e+09,-1.28e+09,-3.12e+08,-1.281e+09,4.86e+08,-1.39e+08,-1.39e+08,3.47e+08,3.47e+08,-6.9e+07,2.78e+08,2.78e+08,-4.7e+07,2.31e+08,2.31e+08,5.1606e+10,3.57e+08,7.977e+09,6.47e+08,1.8514e+10,7.9101e+10,3.711e+10,1.33e+09,1.1286e+10,5.269e+09,5.4995e+10,3.181e+09,1.5677e+10,-3.6e+07,1.8816e+10,5.29e+09,2.4106e+10,7.9101e+10,2.78e+08,2.79e+08,6.75e+08,1.232e+09,-2.65e+08,-1.3e+07,-1.549e+09,-1.827e+09,-4.1e+07,5.84e+08,-6e+06,-999999.999999998,5.36e+08,-5.9e+07,-59000000.0000001,4e+06,-5.5e+07,1.1286e+10,0.14469,0.06877,0.00958,0.00292,2.28138,0.14268,0.68562,0.684,9.96973,55.84709,0.12169,0.0035,0.17749,22.48765
"31","2017_Q4",47.811746031746,"Up",3.521e+09,1.806e+09,5.57e+08,1.158e+09,1.6e+07,1.142e+09,-1.48e+09,-3.09e+08,-1.245e+09,4.87e+08,-2.23e+08,-2.23e+08,2.64e+08,2.64e+08,-5.2e+07,2.12e+08,2.12e+08,-5.5e+07,1.57e+08,1.57e+08,5.2134e+10,4.16e+08,7.792e+09,6.43e+08,1.8542e+10,7.9527e+10,3.7309e+10,1.229e+09,1.1433e+10,5.195e+09,5.5166e+10,3.184e+09,1.5811e+10,3.2e+07,1.9021e+10,5.34e+09,2.4361e+10,7.9527e+10,2.12e+08,3.52e+08,1.5e+07,5.79e+08,-2.59e+08,-1.47e+08,-1.27e+08,-5.33e+08,-4.2e+07,6.6e+07,0,-1.5e+07,9e+06,5.5e+07,5.5e+07,4e+06,5.9e+07,1.1433e+10,0.13831,0.04459,0.00644,0.00197,2.26452,0.14376,0.46601,0.46479,10.45117,56.45889,0.12467,0.00254,0.26752,22.62218
"32","2018_Q1",49.326393442623,"Up",3.555e+09,1.803e+09,5.43e+08,1.209e+09,2.9e+07,7.9e+08,-1.257e+09,-3.07e+08,-1.388e+09,6.03e+08,-1.42e+08,-1.42e+08,4.61e+08,4.61e+08,7e+07,5.31e+08,5.31e+08,-5e+07,4.81e+08,4.81e+08,5.2226e+10,4.72e+08,7.613e+09,6.34e+08,1.8641e+10,7.9586e+10,3.7212e+10,1.781e+09,1.1533e+10,4.494e+09,5.502e+10,3.154e+09,1.6096e+10,-2.6e+07,1.9204e+10,5.362e+09,2.4566e+10,7.9586e+10,5.31e+08,-8.63e+08,2.38e+08,7.8e+08,-2.96e+08,8.9e+07,-3.61e+08,-5.68e+08,-4.3e+07,96999999.9999999,-2.1e+08,-3.72529029846191e-09,-1.56e+08,5.6e+07,5.6e+07,0,5.6e+07,1.1533e+10,0.16962,0.1353,0.01958,0.00604,2.23968,0.14491,1.43266,1.4281,10.58855,57.19902,0.12808,0.00673,0.0894,18.34328
"33","2018_Q2",49.14578125,"Down",3.581e+09,1.785e+09,5.06e+08,1.29e+09,9e+06,1.281e+09,-1.339e+09,-2.96e+08,-1.4e+09,5.46e+08,-1.41e+08,-1.41e+08,4.05e+08,4.05e+08,-2.5e+07,3.8e+08,3.8e+08,-8.7e+07,2.93e+08,2.93e+08,5.1065e+10,4.51e+08,7.893e+09,6.65e+08,2.0712e+10,8.0786e+10,3.7106e+10,1.014e+09,1.1468e+10,7.35e+09,5.6938e+10,3.145e+09,1.6321e+10,-4.17e+08,1.8532e+10,5.316e+09,2.3848e+10,8.0786e+10,3.8e+08,1.56e+08,-2.3e+07,5.13e+08,-2.3e+08,4.17e+08,-1.31e+08,5.6e+07,-9.8e+07,-7e+07,-4.97e+08,7.4e+07,-5.91e+08,-2.2e+07,-2.2e+07,1e+06,-2.1e+07,1.1468e+10,0.15247,0.08182,0.01229,0.00363,2.38754,0.14196,0.89389,0.89134,10.92501,56.53792,0.29898,0.0049,0.33447,20.17766
"34","2018_Q3",49.0465079365079,"Down",3.59e+09,1.815e+09,5.51e+08,1.224e+09,-3e+06,1.227e+09,-1.327e+09,-3.59e+08,-1.454e+09,4.5e+08,-1.43e+08,-1.43e+08,3.07e+08,3.07e+08,-5.9e+07,2.48e+08,2.48e+08,-1.8e+07,2.3e+08,2.3e+08,5.0469e+10,4.53e+08,8.217e+09,6.73e+08,2.092e+10,8.0732e+10,3.7067e+10,1.19e+09,1.1471e+10,9.146e+09,5.8874e+10,3.812e+09,1.6532e+10,-6.25e+08,1.8911e+10,2.947e+09,2.1858e+10,8.0732e+10,2.48e+08,2.95e+08,1.095e+09,1.638e+09,-2.5e+08,6.2e+07,-1.105e+09,-1.293e+09,-4.2e+07,-2e+06,-3.02e+08,8999999.99999994,-3.37e+08,8e+06,8000000.00000001,-6e+06,2e+06,1.1471e+10,0.12535,0.06407,0.01052,0.00285,2.69348,0.14209,0.72141,0.71933,11.26027,59.3156,0.13174,0.00342,0.18261,24.48444
"35","2018_Q4",46.1609523809524,"Down",3.608e+09,1.853e+09,4.94e+08,1.261e+09,1.5e+07,1.246e+09,-1.312e+09,-3.37e+08,-1.459e+09,5e+08,-1.46e+08,-1.46e+08,3.54e+08,3.54e+08,-6.5e+07,2.89e+08,2.89e+08,-1.1e+07,2.78e+08,2.78e+08,4.8695e+10,5.71e+08,7.836e+09,6.54e+08,2.0969e+10,7.8725e+10,3.6498e+10,1.128e+09,1.146e+10,7.753e+09,5.6839e+10,3.816e+09,1.679e+10,-7.58e+08,1.8952e+10,2.934e+09,2.1886e+10,7.8725e+10,2.89e+08,6.46e+08,3.09e+08,1.244e+09,-2.51e+08,-2.63e+08,1.034e+09,5.2e+08,-3e+07,-1.5e+07,-9e+07,-1.512e+09,-1.647e+09,1.17e+08,1.17e+08,1e+06,1.18e+08,1.146e+10,0.13858,0.07705,0.0127,0.00353,2.59705,0.14557,0.88022,0.87772,11.42387,60.00697,0.09499,0.00397,0.10791,21.778
"36","2019_Q1",46.2973770491803,"Up",3.287e+09,1.859e+09,2.66e+08,1.162e+09,-7.8e+07,2.33e+08,-1.594e+09,-3.43e+08,-1.438e+09,-8.8e+07,-1.44e+08,-1.44e+08,-2.32e+08,-2.32e+08,2.1e+07,-2.11e+08,-2.11e+08,4.6e+07,-1.65e+08,-1.65e+08,4.8186e+10,4.05e+08,7.96e+09,6.33e+08,2.1132e+10,7.8316e+10,3.6764e+10,4.285e+09,1.1376e+10,4.505e+09,5.693e+10,3.63e+09,1.5773e+10,-8.8e+08,1.8518e+10,2.868e+09,2.1386e+10,7.8316e+10,-2.11e+08,-4.14e+08,5.4e+08,8.27e+08,-2.64e+08,-3.92e+08,-7.1e+07,-7.27e+08,-3.1e+07,-9.1e+07,-1.37e+08,-1e+06,-2.6e+08,-1.6e+08,-1.6e+08,-6e+06,-1.66e+08,1.1376e+10,-0.02677,-0.0502,-0.00772,-0.00211,2.66202,0.14526,-0.5258,-0.52459,10.47449,59.01023,0.09879,-0.00181,-0.18788,-124.67045
"37","2019_Q2",50.388253968254,"Up",3.757e+09,1.803e+09,6.57e+08,1.297e+09,3.1e+07,9.85e+08,-1.357e+09,-3.42e+08,-1.409e+09,6.49e+08,-1.41e+08,-1.41e+08,5.08e+08,5.08e+08,-1.12e+08,3.96e+08,3.96e+08,-2e+06,3.94e+08,3.94e+08,4.9468e+10,3.39e+08,8.012e+09,6.64e+08,2.1966e+10,8.0449e+10,3.7336e+10,4.863e+09,1.1361e+10,4.987e+09,5.8547e+10,3.61e+09,1.6144e+10,-3.9e+08,1.9037e+10,2.865e+09,2.1902e+10,8.0449e+10,3.96e+08,3.4e+08,-6.55e+08,8.1e+07,-2.23e+08,3.88e+08,1.35e+08,3e+08,-8.7e+07,-1.8e+07,-3.17e+08,-2.7e+07,-4.49e+08,-6.8e+07,-6.8e+07,2e+06,-6.6e+07,1.1361e+10,0.17274,0.10487,0.01799,0.0049,2.67313,0.14122,1.27167,1.26949,12.126,61.44337,0.2808,0.00636,0.22081,16.98305
"38","2019_Q3",50.75640625,"Up",3.623e+09,1.824e+09,5.51e+08,1.248e+09,1999999.99999999,9.61e+08,-1.352e+09,-3.38e+08,-1.494e+09,4.39e+08,-1.64e+08,-1.64e+08,2.75e+08,2.75e+08,-5e+07,2.25e+08,2.25e+08,2.4e+07,2.49e+08,2.49e+08,5.074e+10,4.4e+08,8.144e+09,6.81e+08,2.2272e+10,8.2277e+10,3.7914e+10,5.398e+09,1.1543e+10,5.028e+09,5.9883e+10,3.615e+09,1.6374e+10,3000000.00000006,1.9514e+10,2.88e+09,2.2394e+10,8.2277e+10,2.25e+08,2.17e+08,-4.9e+07,3.93e+08,-2.82e+08,-51999999.9999999,7.8e+07,-2.56e+08,-2.9e+07,1.58e+08,-1.61e+08,-3999999.99999994,-35999999.9999999,1.01e+08,1.01e+08,1.86264514923096e-09,1.01e+08,1.1543e+10,0.12117,0.06873,0.01112,0.00303,2.67406,0.14029,0.81959,0.81768,11.92522,64.23093,0.09545,0.00362,0.11647,25.29157
"39","2019_Q4",49.6628125,"Down",3.675e+09,1.89e+09,5.25e+08,1.26e+09,8e+06,9.6e+08,-1.614e+09,-3.45e+08,-1.512e+09,2.04e+08,-1.44e+08,-1.44e+08,6e+07,6e+07,-2.1e+07,3.9e+07,3.9e+07,3.3e+07,7.2e+07,7.2e+07,5.1387e+10,4.42e+08,7.622e+09,6.68e+08,2.238e+10,8.2499e+10,3.8509e+10,5.09e+09,1.1482e+10,5.16e+09,6.0241e+10,3.623e+09,1.6427e+10,1.7e+07,1.942e+10,2.838e+09,2.2258e+10,8.2499e+10,3.9e+07,1.53e+08,6.05e+08,7.97e+08,-2.38e+08,-4.01e+08,1.11e+08,-5.28e+08,-2.9e+07,-6.6e+07,-1.65e+08,-2e+06,-2.62e+08,7e+06,7e+06,-5e+06,2e+06,1.1482e+10,0.05551,0.01959,0.00323,0.00087,2.70649,0.13918,0.23873,0.23817,12.18501,64.38992,0.09615,0.0013,0.40278,54.11765
"40","2020_Q1",46.4646774193548,"Down",3.876e+09,1.911e+09,6.22e+08,1.343e+09,7999999.99999999,1.032e+09,-1.483e+09,-3.58e+08,-1.617e+09,4.18e+08,-1.42e+08,-1.42e+08,2.76e+08,2.76e+08,-6.5e+07,2.11e+08,2.11e+08,5999999.99999999,2.17e+08,2.17e+08,5.125e+10,3.36e+08,7.675e+09,6.62e+08,2.232e+10,8.2243e+10,3.8614e+10,5.055e+09,1.1533e+10,5.111e+09,6.0313e+10,3.377e+09,1.5823e+10,-68000000.0000001,1.9119e+10,2.811e+09,2.193e+10,8.2243e+10,2.11e+08,-5.72e+08,-1.12e+08,4.7e+08,-2.98e+08,2.71e+08,-1.6e+08,-1.87e+08,-2.9e+07,4.6e+07,-4.08e+08,-6e+06,-3.97e+08,-1.14e+08,-1.14e+08,8e+06,-1.06e+08,1.1533e+10,0.10784,0.05599,0.0099,0.00264,2.75025,0.14023,0.7342,0.73259,13.11409,64.68737,0.09812,0.00319,0.13364,26.78708
"41","2020_Q2",33.2773015873016,"Down",3.099e+09,1.869e+09,1.63e+08,1.067e+09,-2.16e+08,9.82e+08,-1.425e+09,-3.44e+08,-2.307e+09,-9.77e+08,-1.44e+08,-1.44e+08,-1.121e+09,-1.121e+09,7.7e+07,-1.044e+09,-1.044e+09,4.12e+08,-6.32e+08,-6.32e+08,4.7842e+10,9.39e+08,8.136e+09,6.83e+08,2.1654e+10,7.9254e+10,3.8351e+10,4.955e+09,1.1968e+10,4.802e+09,6.0076e+10,3.35e+09,1.5167e+10,-1.093e+09,1.6966e+10,2.212e+09,1.9178e+10,7.9254e+10,-1.044e+09,1.336e+09,3.7e+07,3.29e+08,-2.33e+08,-3.18e+08,9.78e+08,4.27e+08,-8.7e+07,4.31e+08,-4.58e+08,-3e+07,-1.44e+08,6.12e+08,6.12e+08,-9e+06,6.03e+08,1.1968e+10,-0.31526,-0.20394,-0.03295,-0.00797,3.13255,0.15101,-2.20178,-2.20178,10.7964,59.10674,0.30309,-0.00734,-0.13766,-11.28864
"42","2020_Q3",35.490625,"Up",2.31e+09,1.85e+09,6.44e+08,-1.84e+08,-1.142e+09,6.5e+08,-1.642e+09,-3.42e+08,-1.277e+09,-9.51e+08,-1.23e+08,-1.23e+08,-1.074e+09,-1.074e+09,2.28e+08,-8.46e+08,-8.46e+08,1.1e+07,-8.35e+08,-8.35e+08,5.1486e+10,6.68e+08,8.431e+09,6.99e+08,1.7155e+10,7.8439e+10,3.9862e+10,5.712e+09,1.0005e+10,4.447e+09,6.0026e+10,3.374e+09,1.4316e+10,4999999.99999976,1.7204e+10,1.209e+09,1.8413e+10,7.8439e+10,-8.46e+08,1.053e+09,-9.6e+07,1.11e+08,-2.07e+08,2.75e+08,-8.2e+08,-7.52e+08,-2.7e+07,4.46e+08,-3.3e+07,-2e+07,3.66e+08,-2.75e+08,-2.75e+08,4e+06,-2.71e+08,1.0005e+10,-0.41169,-0.36147,-0.04535,-0.01065,3.25998,0.12755,-2.96646,-2.96646,8.20662,61.1198,0.09592,-0.01111,-0.03234,-9.81809
"43","2020_Q4",39.813125,"Up",3.465e+09,1.953e+09,5.4e+08,9.72e+08,4.6e+07,6.09e+08,-1.616e+09,-3.6e+08,-1.169e+09,3.2e+08,-1.37e+08,-1.37e+08,1.83e+08,1.83e+08,-2.1e+07,1.62e+08,1.62e+08,-2.3e+07,1.39e+08,1.39e+08,5.2772e+10,8.86e+08,7.85e+09,6.97e+08,1.7259e+10,7.9464e+10,4.0532e+10,5.33e+09,1.0408e+10,4.574e+09,6.0844e+10,3.382e+09,1.4437e+10,2.38e+08,1.7372e+10,1.248e+09,1.862e+10,7.9464e+10,1.62e+08,1.14e+08,5.75e+08,8.51e+08,-1.44e+08,-7.92e+08,1.53e+08,-7.83e+08,-2.7e+07,3.59e+08,-1.87e+08,0,1.45e+08,2.13e+08,2.13e+08,5e+06,2.18e+08,1.0408e+10,0.09235,0.04012,0.00747,0.00175,3.26767,0.13098,0.49755,0.49755,12.40291,62.18277,0.09665,0.00224,0.19424,29.75625
"44","2021_Q1",48.3247540983607,"Up",3.709e+09,1.977e+09,6.48e+08,1.084e+09,65999999.9999999,1.944e+09,-1.487e+09,-3.64e+08,-1.126e+09,7.32e+08,-1.84e+08,-1.11e+08,5.48e+08,5.48e+08,-1.11e+08,4.37e+08,4.37e+08,-4e+07,3.97e+08,3.97e+08,5.3844e+10,4.78e+08,7.833e+09,7.08e+08,1.7373e+10,8.0236e+10,4.1143e+10,5.18e+09,1.0109e+10,4.623e+09,6.1055e+10,3.136e+09,1.415e+10,5.81e+08,1.786e+10,1.321e+09,1.9181e+10,8.0236e+10,4.37e+08,-5.86e+08,4.4e+08,1.025e+09,-1.26e+08,-4.38e+08,-3.13e+08,-8.77e+08,7.1e+07,-3.03e+08,-2.45e+08,-8.8e+07,-5.65e+08,-4.17e+08,-4.17e+08,9e+06,-4.08e+08,1.0109e+10,0.19736,0.10704,0.0207,0.00495,3.1831,0.12599,1.45214,1.45214,13.5667,65.32792,-0.2597,0.00434,-0.17884,13.1571
"45","2021_Q2",55.5946031746032,"Up",3.622e+09,1.962e+09,5.5e+08,1.11e+09,5.7e+07,7.15e+08,-1.506e+09,-3.59e+08,-1.225e+09,5.32e+08,-1.25e+08,-1.25e+08,4.07e+08,4.07e+08,-1.14e+08,2.93e+08,2.93e+08,-3.2e+07,2.61e+08,2.61e+08,5.2359e+10,6.6e+08,8.539e+09,7.41e+08,1.7706e+10,8.0005e+10,4.1147e+10,6.809e+09,9.137e+09,4.375e+09,6.1468e+10,3.122e+09,1.4394e+10,3.4e+07,1.727e+10,1.267e+09,1.8537e+10,8.0005e+10,2.93e+08,2.57e+08,-4.16e+08,1.34e+08,-8.7e+07,-9.3e+07,4.86e+08,3.06e+08,-4.9e+07,8.6e+07,-2.8e+08,-1.5e+07,-2.58e+08,1.82e+08,1.82e+08,8862852.95276257,1.82e+08,9.137e+09,0.14688,0.07206,0.01408,0.00326,3.31596,0.11421,0.9761,0.97475,13.54576,64.58731,0.18325,0.00424,0.18774,15.93421
"46","2021_Q3",54.011875,"Down",4.003e+09,2.035e+09,6.16e+08,1.352e+09,5.78e+08,4.15e+08,-1.546e+09,-3.57e+08,-9.88e+08,1.112e+09,-1e+08,-1e+08,1.012e+09,1.012e+09,-2.19e+08,7.93e+08,7.93e+08,-3.9e+07,7.54e+08,7.54e+08,5.4374e+10,5.78e+08,9.162e+09,7.21e+08,1.6773e+10,8.1608e+10,4.2357e+10,6.046e+09,9.11e+09,4.697e+09,6.221e+10,3.124e+09,1.5132e+10,3.27e+08,1.8083e+10,1.315e+09,1.9398e+10,8.1608e+10,7.93e+08,-4.44e+08,6e+07,4.09e+08,-9.6e+07,-5.6e+08,4.43e+08,-2.13e+08,-2.7e+07,-3.3e+07,-2.04e+08,-1.5e+07,-2.79e+08,-83000000.0000001,-83000000.0000001,1e+06,-81999999.9999999,9.11e+09,0.27779,0.18836,0.03887,0.00924,3.20703,0.11163,2.81985,2.81595,14.97064,67.62781,0.10098,0.01034,0.03581,7.67266
"47","2021_Q4",56.459375,"Up",3.371e+09,2.059e+09,4.83e+08,8.29e+08,2.2e+07,8.07e+08,-1.632e+09,-3.68e+08,-9.68e+08,4.03e+08,-9.9e+07,-9.9e+07,3.04e+08,3.04e+08,-5.8e+07,2.46e+08,2.46e+08,-2.6e+07,2.2e+08,2.2e+08,5.4043e+10,8.11e+08,9.187e+09,7.21e+08,1.6964e+10,8.1726e+10,4.2607e+10,6.197e+09,9.112e+09,4.68e+09,6.2596e+10,3.123e+09,1.5336e+10,1.91e+08,1.7817e+10,1.313e+09,1.913e+10,8.1726e+10,2.46e+08,1.02e+08,7.85e+08,1.133e+09,-1.44e+08,-6.09e+08,2.36e+08,-5.17e+08,2.7e+07,-8e+06,-3.41e+08,-5.4e+07,-3.76e+08,2.4e+08,2.4e+08,-7e+06,2.33e+08,9.112e+09,0.11955,0.06526,0.0115,0.00269,3.27214,0.11149,0.85683,0.85503,13.12899,69.39165,-0.10516,0.00256,-0.12273,20.59801
"48","2022_Q1",61.0746774193548,"Up",3.661e+09,2.119e+09,6.1e+08,9.32e+08,3e+06,1.626e+09,-1.665e+09,-3.59e+08,-1.104e+09,5.33e+08,-7.4e+07,-1e+08,4.59e+08,4.59e+08,-8.8e+07,3.71e+08,3.71e+08,-2.8e+07,3.43e+08,3.43e+08,5.3938e+10,6.21e+08,9.273e+09,7.37e+08,7.169e+09,8.1626e+10,4.3171e+10,1.169e+09,8.986e+09,9.032e+09,6.2451e+10,2.887e+09,1.4776e+10,1.86e+08,1.7846e+10,1.329e+09,1.9175e+10,8.1626e+10,3.71e+08,-4.36e+08,5.46e+08,9.96e+08,-1.55e+08,1.98e+08,-8.55e+08,-8.12e+08,-1.6e+07,-3.9e+07,-3.11e+08,-1e+07,-3.76e+08,-1.92e+08,-1.92e+08,2e+06,-1.9e+08,9.079e+09,0.14559,0.09369,0.01789,0.0042,3.2569,0.11123,1.33588,1.33307,14.25845,69.5046,0.06232,0.00446,0.04665,15.86867
"49","2022_Q2",62.7416129032258,"Up",3.402e+09,2.059e+09,4.32e+08,9.11e+08,-1.1e+07,5.4e+08,-1.455e+09,-3.44e+08,-1.045e+09,5.58e+08,-9.6e+07,-9.6e+07,4.62e+08,4.62e+08,-9.2e+07,3.7e+08,3.7e+08,-3.2e+07,3.38e+08,3.38e+08,5.1102e+10,7.98e+08,9.259e+09,7.66e+08,1.7219e+10,7.9144e+10,4.2228e+10,5.639e+09,9.276e+09,4.306e+09,6.1449e+10,2.861e+09,1.5097e+10,-1.251e+09,1.6575e+10,1.12e+09,1.7695e+10,7.9144e+10,3.7e+08,3.33e+08,-2.8e+08,4.23e+08,-1.21e+08,-7.51e+08,6.85e+08,-1.87e+08,-8.4e+07,1.95e+08,-1.32e+08,-3.5e+07,-5.6e+07,1.8e+08,1.8e+08,-3e+06,1.77e+08,9.276e+09,0.16402,0.09935,0.0191,0.00427,3.47268,0.1172,1.3164,1.3164,13.24973,64.55445,0.32715,0.00574,0.24852,15.19355
"50","2022_Q3",56.0259375,"Down",3.388e+09,2.155e+09,3.66e+08,8.67e+08,-5.9e+07,5.34e+08,-1.583e+09,-3.74e+08,-1.082e+09,3.49e+08,-9.6e+07,-9.6e+07,2.53e+08,2.53e+08,-5.1e+07,2.02e+08,2.02e+08,-2.2e+07,1.8e+08,1.8e+08,4.8075e+10,9.51e+08,9.701e+09,7.92e+08,1.7552e+10,7.7071e+10,4.1774e+10,5.308e+09,9.282e+09,4.486e+09,6.085e+10,2.871e+09,1.5261e+10,-2.51e+09,1.5236e+10,9.85e+08,1.6221e+10,7.7071e+10,2.02e+08,1.72e+08,6.49e+08,1.023e+09,-1.91e+08,-4.94e+08,8.6e+07,-5.99e+08,-2.6e+07,2e+06,-2.48e+08,1e+07,-2.62e+08,1.62e+08,1.62e+08,-9e+06,1.53e+08,9.282e+09,0.10301,0.05313,0.0111,0.00234,3.75131,0.12043,0.72589,0.7244,13.66294,61.44292,0.10485,0.00287,0.14444,23.87106
