"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"38","2020_Q1",12.4353225806452,"Down",8839000,-5411000,3428000,-2401000,-2401000,1027000,133000,1000,132000,1160000,1144000,-179000,965000,965000,965000,965000,18084000,12453000,4445000,4445000,6016000,365000,365000,28910000,2831000,22714000,-19883000,4142000,10307000,39217000,4084000,1865000,2219000,4084000,4324000,41626000,-580000,-6153000,34893000,34893000,39217000,965000,128000,210000,274000,1577000,-337000,-337000,1292000,1292000,1292000,1155000,-9.09494701772928e-13,1271000,0.38783,0.11619,0.10918,0.02766,0.02461,1.3171,7.07884,0.12392,-2.71050543121376e-20,0.19621,0.19252,1.79716,7.09451,0.25842,0.02747,0.03618,-15.65714,-17.60857
"39","2020_Q2",8.57174603174603,"Down",8618000,-5662000,2956000,-2296000,-2296000,660000,-384000,-1594.76755289326,-384000,276000,237000,-54000,183000,183000,183000,183000,21937000,16631000,4819000,4819000,5986000,341000,341000,33083000,2771000,22770000,-19999000,3949000,10015000,43098000,4700000,1639000,3061000,4700000,4700000,44948000,-580000,-5970000,38398000,38398000,43098000,183000,135000,433000,171000,922000,-56000,-56000,4178000,4178000,4178000,795000,0,964000,0.343,0.07658,0.02123,0.00477,0.00425,5.26776,7.03894,0.1224,0,0.03622,0.0359,1.7058,7.60028,0.19081,0.00477,0.02511,-27.59371,-33.23788
"40","2020_Q3",8.62625,"Up",7059000,-4816000,2243000,-2059000,-2059000,184000,228000,-4000,232000,412000,312000,-57000,255000,255000,255000,255000,22163000,16639000,4470000,4470000,6018000,266000,266000,32917000,2712000,22818000,-20106000,3878000,9785000,42702000,3904000,1652000,2252000,4007000,4007000,44990000,-580000,-5715000,38695000,38695000,42702000,255000,126000,-28000.0000000001,-404000,-50999.9999999999,-49000,-49000,7999.99999999907,7999.99999999907,7999.99999999907,310000,103000,-86000,0.31775,0.02607,0.03612,0.00659,0.00597,-0.33725,8.21487,0.10355,0.00241,0.04892,0.04863,1.35421,7.4233,-0.0165,0.00657,-0.00222,-71.1612900000001,-119.8913
"41","2020_Q4",9.66203125,"Up",8071000,-5203000,2868000,-2159000,-2159000,709000,137000,-3000,140000,846000,8e+05,-171000,629000,629000,629000,629000,22922000,17276000,4644000,4644000,5430000,268000,268000,33264000,2824000,23044000,-20220000,3864000,9822000,43086000,3700000,1249000,2451000,3700000,3700000,45052000,-580000,-5086000,39386000,39386000,43086000,629000,131000,145000,54000,959000,-224000,-224000,637000,637000,637000,840000,0,841000,0.35535,0.08785,0.07793,0.01597,0.0146,1.33704,8.99027,0.09394,0,0.12065,0.11991,1.54809,7.55458,0.16131,0.01597,0.02135,-27.2881,-32.33004
"42","2021_Q1",11.5126229508197,"Up",7414000,-4552000,2862000,-3e+06,-3e+06,-138000,-43000,-4000,-39000,-181000,-45000.0000000002,-54000,-98999.9999999998,-98999.9999999998,-98999.9999999998,-98999.9999999998,24122000,18331000,4122000,4122000,5280000,257000,257000,33781000,2785000,23121000,-20336000,3817000,9674000,43455000,3397000,1240000,2132000,3397000,3690000,45530000,-580000,-5185000,39765000,39765000,43455000,-98999.9999999998,136000,618000,707000,1362000,-78000,-99000,1055000,1055000,1055000,-2000,0,681000,0.38603,-0.01861,-0.01335,-0.00249,-0.00227999999999999,-6.87879,9.94436,0.0928,0,-0.01898,-0.01875,1.42157,7.62459,0.13058,-0.00247,0.017,12061,174.7971
"43","2021_Q2",10.9547619047619,"Down",6536000,-4401000,2135000,-2195000,-2195000,-60000,169000,-3000,45000,109000,33000,-6000,27000,27000,27000,27000,24596000,18678000,3913000,3913000,5339000,365000,365000,34213000,2725000,23176000,-20451000,9512000,12237000,46450000,3583000,1517000,2066000,6308000,6580000,45608000,-580000,-5158000,39870000,39870000,46450000,27000,134000,56000,185000,402000,-55000,-55000,347000,347000,347000,74000,0,210000,0.32665,-0.00918,0.00413,0.00068,0.00058,7.77778,5.42375,0.16504,0,0.00512,0.00505,1.23971,7.5623,0.03983,0.00067,0.00523,-332.37838,409.93333
"44","2021_Q3",11.13328125,"Up",6882000,-4151000,2731000,-2115000,-2115000,616000,67000.0000000009,-3000,-4999.99999999997,683000.000000001,7000,-24999.9999999995,-17999.9999999981,-17999.9999999981,-17999.9999999981,-17999.9999999981,21247000,15254000,4654000,4654000,5548000,270000,270000,31719000,2952000,23520000,-20568000,3683000,11680000,43399000,3282000,1568000,1714000,3282000,3528000,45627000,-580000,-5176000,39871000,39871000,43399000,-17999.9999999981,137000,647000,-1120000,-354000,-345000,-345000,-3424000,-3424000,-3424000,753000,9.09494701772928e-13,-687000,0.39683,0.08951,-0.00262000000000026,-0.000449999999999978,-0.000410000000000019,38.16667,9.66453,0.08849,-2.71050543121376e-20,-0.00340999999999948,-0.00336000000000003,1.30534,7.56249,-0.13031,-0.000449999999999968,-0.01712,-28.2164699999993,-34.4918799999999
"45","2021_Q4",12.044375,"Up",7501000,-4782000,2719000,-3465000,-3465000,-746000,-18630000,-3000,240000,-19376000,40829000,-9049000,31780000,31780000,31780000,31780000,66421000,15593000,5031000,5031000,5260000,414000,414000,77126000,3183000,23880000,-20697000,622000,3805000,80931000,2956000,1388000,1568000,2956000,9230000,45677000,-580000,26604000,71701000,71701000,80931000,31780000,146000,-31226000,-521000,179000,-359000,-2596000,339000,339000,339000,-6e+05,0,7569000,0.36249,-0.09945,4.23677,0.44323,0.39268,0.23817,26.09134,0.12873,0,6.0967,6.05209,1.439,13.75519,1.45204,0.40757,0.09707,110.70167,89.03619
"46","2022_Q1",10.575,"Down",7221000,-4735000,2486000,-3082000,-3082000,-596000,18394000,-2000,-269000,17798000,-22113000,4962000,-17151000,-17151000,-17151000,-17151000,45183000,29016000,4667000,4667000,5492000,494000,494000,55836000,3383000,24220000,-20837000,687000,4070000,59906000,4426000,1455000,2372000,4426000,5163000,45870000,-580000,9453000,54743000,54743000,59906000,-17151000,159000,16269000,1848000,1125000,-3065000,12402000,13423000,13423000,13423000,-437000,5.6843418860808e-14,-6616000,0.34427,-0.08254,-2.37516,-0.3133,-0.2863,0.385750000000001,12.61545,0.09431,0,-3.29026,-3.26619,1.38528,10.50195,-1.26922,-0.30914,-0.11925,103.39359,75.8104
"47","2022_Q2",11.2251612903226,"Up",8108000,-5061000,3047000,-2826000,-2826000,221000,22000,-7000,-16000,243000,243000,-74000,169000,169000,169000,169000,44467000,21652000,5255000,5255000,5919000,467000,467000,56108000,3442000,24427000,-20985000,679000,4121000,60229000,4497000,1568000,2128000,4497000,5084000,46103000,-580000,9622000,55145000,55145000,60229000,169000,166000,23000,-912000,-554000,-207000,-6810000,-7364000,-7364000,-7364000,387000,0,-658000,0.3758,0.02726,0.02084,0.00306,0.00281,-3.89349,12.47676,0.09219,0,0.03205,0.03173,1.53742,10.45643,-0.12477,0.00303,-0.01181,-114.90181,-201.20814
"48","2022_Q3",13.30546875,"Up",7434000,-4639000,2795000,-2671000,-2671000,124000,-2374000,7000,-8000,-2250000,-2250000,452000,-1798000,-1798000,-1798000,-1798000,41502000,22325000,4711000,4711000,6372000,331000,331000,52916000,3465000,24615000,-21150000,1065000,4530000,57446000,3447000,1560000,1881000,3447000,4079000,46123000,-580000,7824000,53367000,53367000,57446000,-1798000,185000,2020000,-740000,-333000,-188000,1026000,673000,673000,673000,309000,0,-1071000,0.37598,0.01668,-0.24186,-0.0336900000000001,-0.0313,0.59566,15.35132,0.07643,1.05879118406788e-22,-0.34093,-0.3376,1.40961,10.1193,-0.20308,-0.0333,-0.01983,-134.31068,-334.69355
