"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",6.92619047619048,"Down",225009000,-192534000,32475000,-16014000,-15693000,16461000,-3659000,-3659000,12802000,12802000,-219000,12583000,12583000,12583000,12583000,57525000,57525000,151196000,151196000,93195000,14137000,14137000,316053000,6.3e+07,35917000,12987000,3814000,98917000,414970000,125982000,91582000,34400000,129199000,161340000,19116000,14534000,4582000,180456000,309655000,242471000,-9114000,-79452000,-48590000,105315000,105315000,414970000,12583000,4039000,5437000,-2921000,19138000,-4647000,-4647000,13398000,13398000,-547000,12851000,20500000,164557000,13151000,0.14433,0.07316,0.05592,0.11948,0.03032,1.04514,2.44625,2.94027,0.39655,0.41639,0.4107,7.44594,3.48506,0.43519,0.04354,0.04551,5.22107,6.50216
"34","2019_Q1",7.50524590163934,"Up",223602000,-198162000,25440000,-15570000,-15250000,9870000,-4318000,-5629000,5552000,5552000,306000,5858000,5858000,5858000,5858000,70913000,70913000,134624000,134624000,92359000,16828000,16828000,314724000,65099000,38307000,12800000,2583000,103406000,418130000,123614000,86645000,36969000,132716000,154656000,15720000,12065000,3655000,170376000,303092000,243325000,-10245000,-70571000,-47471000,115038000,115038000,418130000,5858000,3483000,-7895000,19507000,20953000,-4296000,-4296000,14103000,14103000,-715000,13388000,13353000,163758000,28258000,0.11377,0.04414,0.0262,0.05092,0.01401,4.82383,2.37141,2.63471,0.39164,0.19237,0.19129,7.34301,3.77781,0.92798,0.01989,0.09595,6.95312,9.40679
"35","2019_Q2",7.80666666666667,"Up",243164000,-208604000,34560000,-15520000,-15199000,19040000,-4396000,-4396000,14644000,14644000,-3514000,11130000,11130000,11130000,11130000,54348000,54348000,159016000,159016000,97280000,21257000,21257000,331901000,66128000,55566000,12492000,22564000,121694000,453595000,132002000,96305000,35697000,139687000,155572000,31685000,12489000,19196000,187257000,326944000,244086000,-10245000,-59513000,-47677000,126651000,126651000,453595000,11130000,3718000,6815000,-27634000,-5971000,-5560000,-5560000,-16880000,-16880000,315000,-16565000,22758000,158801000,-6922000,0.14213,0.0783,0.04577,0.08788,0.02454,-0.62192,2.37603,2.58146,0.35009,0.36476,0.36261,7.96919,4.15072,-0.22685,0.0351,-0.02183,4.58973,5.48598
"36","2019_Q3",7.3190625,"Down",243190000,-209407000,33783000,-16569000,-16247000,17214000,-7491000,-7491000,9723000,9723000,-2546000,7177000,7177000,7177000,7177000,60521000,60521000,157882000,157882000,92913000,22370000,22370000,333686000,70658000,55982000,12188000,24419000,126640000,460326000,128256000,93320000,34936000,136345000,154758000,32721000,11812000,20909000,187479000,323824000,244805000,-10245000,-52336000,-45722000,136502000,136502000,460326000,7177000,3340000,3474000,630999.999999993,14622000,-7122000,-7122000,6289000,6289000,-116000,6173000,20554000,157996000,16609000,0.13892,0.07078,0.02951,0.05258,0.01559,2.3142,2.44737,2.3723,0.34323,0.23495,0.23326,7.96117,4.46859,0.54372,0.02193,0.05076,4.74239,5.66254
"37","2019_Q4",7.09890625,"Down",225399000,-198773000,26626000,-17969000,-17532000,8657000,-3799000,-3799000,4858000,4858000,147000,5005000,5005000,5005000,5005000,38703000,38703000,153190000,153190000,90186000,24496000,24496000,306575000,73059000,91817000,28841000,25727000,164876000,471451000,127720000,88835000,38885000,136540000,154950000,40216000,13417000,26799000,195166000,331706000,245526000,-10245000,-43816000,-51720000,139745000,139745000,471451000,5005000,3807000,-3127000,14172000,19857000,-6041000,-40041000,-20343000,-20343000,-1475000,-21818000,12464000,158285000,20448000,0.11813,0.03841,0.02221,0.03582,0.01062,4.08551,2.24531,2.37365,0.33574,0.16366,0.16132,7.37056,4.56967,0.66865,0.0148,0.06045,9.59419,13.81333
"38","2020_Q1",4.34983870967742,"Down",189485000,-179317000,10168000,-14443000,-15523000,-4275000,-3394000,-1169000,-7669000,-7669000,134999.999999999,-7534000,-7534000,-7534000,-7534000,39511000,39511000,115099000,115099000,82872000,18490000,18490000,255972000,73686000,106168000,25258000,38440000,179854000,435826000,95731000,63058000,32673000,106607000,153128000,47403000,10666000,36737000,200531000,307138000,246175000,-11230000,-60307000,-45950000,128688000,128688000,435826000,-7534000,4649000,608000,10515000,8238000,-5256000,-5256000,-412000,-412000,1220000,808000.000000007,374000,156384000,5498000,0.05366,-0.02256,-0.03976,-0.05854,-0.01729,-0.72976,2.40108,2.38669,0.35882,-0.24487,-0.24457,6.15871,4.18266,0.1787,-0.02266,0.01654,312.49465,-27.33871
"39","2020_Q2",2.07746031746032,"Down",187105000,-166802000,20303000,-17959000,-17959000,2344000,-5365000,-4624000,-3021000,-31888000,7294000,-24594000,-24594000,-24594000,-24594000,58055000,58055000,123293000,123293000,84459000,14043000,14043000,279850000,70022000,81316000,24160000,34361000,151338000,431188000,127906000,73640000,54266000,138904000,152304000,43054000,10072000,32982000,195358000,334262000,247037000,-11230000,-84901000,-53980000,96926000,96926000,431188000,-24594000,4640000,22997000,7302000,10345000,-3468000,-3468000,20721000,20721000,-2177000,18544000,6984000,155572000,3524000,0.10851,0.01253,-0.13144,-0.25374,-0.05704,-0.14329,2.0147,3.44863,0.3608,-0.79835,-0.79835,6.07365,3.14634,0.11439,-0.08321,0.01192,13.96292,41.60282
"40","2020_Q3",3.86,"Up",126896000,-120421000,6475000,-16840000,-16840000,-10365000,-5104000,-5309000,-15469000,-15619000,3122000,-12497000,-12497000,-12497000,-12497000,63390000,63390000,102771000,102771000,70711000,13684000,13684000,250556000,66867000,83565000,23362000,33818000,150432000,400988000,106701000,54561000,52140000,117419000,151729000,43979000,9986000,33993000,195708000,313127000,247891000,-11230000,-97398000,-51402000,87861000,87861000,400988000,-12497000,4585000,413000.000000004,17662000,10163000,-935000,-935000,5378000,5378000,-43000,5335000,-5780000,154173000,7825000,0.05103,-0.08168,-0.09848,-0.14224,-0.03117,-0.62615,2.13386,3.56389,0.38448,-0.40456,-0.40456,4.108,2.84432,0.25332,-0.04369,0.02736,-15.7064,-8.75861
"41","2020_Q4",7.2403125,"Up",187697000,-163538000,24159000,-15267000,-15267000,8892000,-5673000,-5460000,3219000,3219000,959000,4178000,4178000,4178000,4178000,53601000,53601000,128648000,128648000,83303000,13031000,13031000,278583000,64556000,83978000,22584000,33285000,148534000,427117000,125880000,89435000,36445000,137189000,147965000,46618000,10382000,36236000,194583000,331772000,248633000,-11230000,-93220000,-48838000,95345000,95345000,427117000,4178000,4610000,1863000,-387000,10264000,-1049000,-1049000,-11978000,-11978000,2189000,-9789000,13502000,150400000,11107000,0.12871,0.04737,0.02226,0.04382,0.00978,2.65845,2.03065,3.4797,0.35213,0.13484,0.13484,6.05748,3.07703,0.35845,0.01429,0.03799,7.16923,10.88608
"42","2021_Q1",9.36819672131148,"Up",216001000,-192862000,23139000,-18162000,-18162000,4977000,-5189000,-5210000,-211999.999999996,-211999.999999999,-3924000,-4136000,-4136000,-4136000,-4136000,50503000,50503000,151101000,151101000,91247000,17686000,17686000,310537000,62776000,81060000,21804000,33275000,143836000,454373000,153222000,112402000,40820000,164887000,144147000,49969000,15296000,34673000,194116000,359003000,249625000,-11893000,-97356000,-45006000,95370000,95370000,454373000,-4136000,4658000,2734000,343999.999999998,3600000,-968000,-968000,-5431000,-5431000,2333000,-3098000,9635000,146576000,12935000,0.10712,0.02304,-0.01915,-0.04337,-0.0091,-3.12742,1.88333,3.76432,0.32259,-0.13303,-0.13303,6.9476,3.06755,0.41605,-0.01417,0.04431,9.97125,19.3034
"43","2021_Q2",11.0657142857143,"Up",245122000,-214001000,31121000,-15718000,-15718000,15403000,-4385000,-5041000,11018000,11018000,-2528000,8490000,8490000,8490000,8490000,38136000,38136000,186036000,186036000,109008000,22043000,22043000,355223000,59882000,76781000,20926000,31252000,136663000,491886000,187134000,135453000,51681000,189564000,152035000,47672000,14668000,33004000,199707000,389271000,250592000,-11893000,-88866000,-47218000,102615000,102615000,491886000,8490000,4642000,4599000,-33102000,-15371000,-1709000,-1709000,-11606000,-11606000,-761000,-12367000,20045000,154465000,-12238000,0.12696,0.06284,0.03464,0.08274,0.01726,-1.44146,1.87389,3.79351,0.31403,0.27156,0.26279,7.84039,3.28221,-0.39144,0.02786,-0.04016,5.80339,7.55236
"44","2021_Q3",9.46296875,"Down",257941000,-223573000,34368000,-18039000,-18039000,16329000,-2533000,-2818000,13796000,6641000,-1546000,5095000,5095000,5095000,5095000,40971000,40971000,202058000,202058000,128319000,21650000,21650000,392998000,61262000,75695000,20028000,30989000,136957000,529955000,188298000,141797000,46501000,195798000,177225000,45295000,13909000,31386000,222520000,418318000,252794000,-11966000,-83771000,-45420000,111637000,111637000,529955000,5095000,4666000,10151000,-29353000,-9441000,-5200000,-5200000,2126000,2126000,709000,2835000,20995000,184725000,-12012000,0.13324,0.06331,0.01975,0.04564,0.00960999999999999,-2.35761,2.00716,3.74713,0.34857,0.16297,0.15771,8.25042,3.57078,-0.38421,0.01491,-0.03516,6.84706,8.8036
"45","2021_Q4",9.0484375,"Down",239610000,-209466000,30144000,-18772000,-18772000,11372000,-1444000,-1630000,9928000,9928000,-2417000,7511000,7511000,7511000,7511000,33603000,33603000,192111000,192111000,146469000,19918000,19918000,392101000,62142000,74949000,19142000,31789000,137091000,529192000,191146000,139076000,52070000,199584000,170253000,38697000,11646000,27051000,208950000,408534000,254657000,-11966000,-76260000,-45773000,120658000,120658000,529192000,7511000,4571000,2712000,-10871000,3923000,-4490000,-4490000,-6735000,-6735000,-633000,-7368000,15943000,178691000,2999000,0.1258,0.04746,0.03135,0.06225,0.01419,0.39928,1.96459,3.38588,0.33767,0.23792,0.22965,7.5898,3.82192,0.095,0.02222,0.00887,9.10042,12.75835
"46","2022_Q1",8.09564516129032,"Down",228905000,-205551000,23354000,-16877000,-16877000,6477000,-1939000,-1690000,4538000,4538000,-1902000,2636000,2636000,2636000,2636000,34958000,34958000,174472000,174472000,141045000,20201000,20201000,370676000,63126000,73891000,18283000,31500000,137017000,507693000,152755000,101915000,50840000,162130000,185581000,33329000,9905000,23424000,218910000,381040000,255887000,-13172000,-73624000,-42438000,126653000,126653000,507693000,2636000,4616000,499000,-16694000,-8943000,-6167000,-6167000,-171999.999999998,-171999.999999998,1527000,1355000,11093000,194956000,-9866000,0.10202,0.0283,0.01152,0.02081,0.00519,-3.74279,2.28629,3.00854,0.384,0.0835,0.0806,7.25071,4.01182,-0.31251,0.00743,-0.0278,14.42333,24.70249
"47","2022_Q2",6.80725806451613,"Down",244374000,-218991000,25383000,-16999000,-16999000,8384000,-3002000,-1961000,5382000,5382000,-1400000,3982000,3982000,3982000,3982000,38208000,38208000,210378000,210378000,158355000,22951000,22951000,429892000,64751000,71145000,17407000,30200000,135896000,565788000,175354000,128942000,46412000,185667000,213608000,32112000,9423000,22689000,245720000,431387000,257005000,-13636000,-69642000,-39326000,134401000,134401000,565788000,3982000,4432000,2361000,-32173000,-21398000,-3590000,-3590000,3418000,3418000,-168000,3250000,12816000,223921000,-21547000,0.10387,0.03431,0.01629,0.02963,0.00704,-5.4111,2.31539,3.2097,0.39577,0.1256,0.12158,7.70774,4.23911,-0.67961,0.0102,-0.05519,14.49071,22.15088
"48","2022_Q3",6.40015625,"Down",250849000,-228970000,21879000,-15652000,-15652000,6227000,-1951000,-2118000,4276000,3355000,-870000,2485000,2485000,2485000,2485000,28500000,28500000,219312000,219312000,150025000,19066000,19066000,416903000,65275000,74394000,16416000,33508000,139669000,556572000,183787000,125450000,58337000,192537000,197157000,33424000,7043000,26381000,230581000,423118000,258709000,-14084000,-67157000,-44014000,133454000,133454000,556572000,2485000,4574000,4057000,5775000,16891000,-5026000,-5026000,-7882000,-7882000,-1826000,-9708000,10801000,205907000,12420000,0.08722,0.02482,0.00991,0.01862,0.00446,4.99799,2.16531,3.17052,0.36996,0.07709,0.07521,7.7814,4.13978,0.38527,0.00667,0.03332,16.42505,28.48996
