"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",1.33819672131148,"Down",17673000,-5053000,12620000,-9633000,-6630000,-3592000,2987000,-3065000,-3030000,-3087000,-35000,-78000,30000,-47999.9999999991,46000,46000.0000000009,55000,-89000,-34000,17952000,17952000,38128000,38128000,17296000,10497000,6799000,74168000,21483000,25531000,14653000,8701000,2177000,47014000,121182000,69225000,69225000,1821000,1821000,76333000,4148000,67153000,143486000,3559000,366258000,-11603000,-379225000,-21049000,-22304000,121182000,46000.0000000009,3592000,-310000,4973000,8301000,-397000,-397000,-6936000,-7170000,734000,734000,734000,6579000,68292000,0.71408,0.16901,-0.00191999999999998,0.00152,-0.00028,0.97164,-6.4332,0.56355,-0.000859999999999972,-0.000859999999999972,0.44788,-0.62364,-0.00068,7.65162,16.85303
"33","2018_Q2",1.5340625,"Up",13078000,-3425000,9653000,-10092000,-6543000,-3484000,-439000,-2705000,-2695000,-2695000,-10000,-3144000,0,-3144000,-3283000,-3283000,-3267000,-89000,-3356000,17820000,17820000,32996000,32996000,12889000,9081000,3808000,64346000,19588000,24126000,13261000,8701000,2164000,43714000,108060000,64232000,64232000,1603000,1603000,91502000,3751000,42055000,133557000,3559000,366433000,-11603000,-382581000,-24226000,-25497000,108060000,-3283000,3484000,1022000,4092000,5315000,-197000,-197000,-5250000,-5250000,-132000,-132000,-132000,3045000,63971000,0.73811,-0.03357,-0.25661,0.13162,-0.03106,0.70322,-5.23815,0.592,-0.08916,-0.08916,0.34746,-0.73819,-0.07948,15.15632,-105.127559999999
"34","2018_Q3",1.39777777777778,"Down",13744000,-3616000,10128000,-11025000,-6487000,-3471000,-897000,-2590000,-2572000,-2572000,-18000,-3487000,1.16415321826935e-10,-3487000,-3487000,-3487000,-3479000,-89000,-3568000,15691000,15691000,30834000,30834000,11279000,8647000,2632000,58430000,18173000,22705000,11867000,8701000,2137000,40878000,99308000,55777000,55777000,1687000,1687000,82391000,3356000,45572000,127963000,3559000,366839000,-11603000,-386149000,-27376000,-28655000,99308000,-3487000,3471000,2300000,-6042000,-3758000,-662000,-662000,2291000,2291000,-2129000,-2129000,-2129000,2574000,67143000,0.7369,-0.06526,-0.2596,0.12452,-0.03593,0.70918,-4.46564,0.67611,-0.09465,-0.09465,0.3646,-0.82064,-0.08527,19.98912,-57.36009
"35","2018_Q4",0.862380952380952,"Down",14643000,-5246000,9397000,-8764000,-6425000,-3471000,633000,-2605000,-2593000,-2593000,-12000,-1972000,-1245000,-3217000,-3272000,-3272000,-3258000,-89000,-3347000,17141000,17141000,38893000,38893000,11343000,9397000,1946000,68009000,16312000,21493000,10685000,8701000,2107000,37805000,105814000,67511000,67511000,1728000,1728000,94290000,2957000,42688000,136978000,3559000,367666000,-11603000,-389496000,-29871000,-31164000,105814000,-3272000,3471000,1330000,3247000,4776000,-320000,-320000,-3006000,-3006000,1450000,1450000,1450000,4104000,64782000,0.64174,0.04323,-0.22857,0.1074,-0.03163,0.72127,-4.39539,0.61223,-0.08797,-0.08797,0.38488,-0.87867,-0.09151,11.6084299999999,75.2622400000001
"36","2019_Q1",1.25803278688525,"Up",12069000,-3833000,8236000,-11531000,-8206000,-3325000,-3295000,-2452000,-2396000,-2432000,-56000,-5747000,-375000,-6122000,-6223000,-6223000,-6229000,-89000,-6318000,17872000,17872000,41765000,41765000,7613000,6109000,1504000,67923000,14047000,19913000,9686000,8701000,1526000,33960000,101883000,71751000,71751000,1687000,1687000,116757000,2562000,21694000,138451000,3559000,368567000,-11603000,-395814000,-35281000,-36568000,101883000,-6223000,3325000,2626000,5027000,4755000,-791000,-791000,-3233000,-3233000,731000,731000,731000,30000.0000000009,62451000,0.68241,-0.27301,-0.52349,0.17277,-0.06201,0.58175,-3.78612,0.61297,-0.16497,-0.16497,0.31514,-1.01417,-0.22211,1485.96667,-13.52929
"37","2019_Q2",1.75126984126984,"Up",9803000,-3612000,6191000,-8888000,-5849000,-2769000,-2697000,-2295000,-2282000,-2282000,-13000,-4992000,3121645.78180528,-4992000,-5039000,-5039000,-5033000,-89000,-5122000,16142000,16142000,37688000,37688000,10263000,8776000,1487000,64705000,12525000,20972000,8691000,8701000,3580000,33497000,98202000,75847000,75847000,2571000,1645000,121435000,3500000,18357000,139792000,3559000,368667000,-11603000,-400936000,-40297000,-41590000,98202000,-5039000,2769000,1066000,5219000,4015000,-252000,-252000,-5493000,-5493000,-1730000,-1730000,-1730000,72000,57874000,0.63154,-0.27512,-0.52249,0.12315,-0.05216,0.53284,-3.36119,0.58934,-0.13356,-0.13356,0.25561,-1.14354,-0.2589,579.61111,-15.47349
"38","2019_Q3",1.09953125,"Down",10241000,-4087000,6154000,-7247000,-4988000,-2203000,-1093000,-1968000,-1813000,-1813000,-155000,-3061000,6385245.36738903,-3061000,-3088000,-3088000,-3095000,-89000,-3184000,13665000,13665000,36921000,36921000,10348000,9200000,1148000,61541000,10913000,20029000,8097000,8701000,3231000,30942000,92483000,75230000,75230000,2784000,1869000,114704000,2956000,15929000,130633000,3559000,375262000,-11603000,-404120000,-36864000,-38150000,92483000,-3088000,2203000,614000,55000,-216000,252000,252000,-8363000,-2513000,-2477000,-2477000,-2477000,1110000,49663000,0.60092,-0.10673,-0.31091,0.08346,-0.03443,0.53652,-3.42419,0.537,-0.0768,-0.0768,0.24703,-0.97507,-0.22006,32.43063,-32.93504
"39","2019_Q4",0.86125,"Down",11512000,-5726000,5786000,-5175000,-2997000,-2183000,611000,-2637000,-1618000,-1618000,-1019000,-2026000,5957972.26927827,-2026000,-2162000,-2162000,-2169000,-89000,-2258000,14474000,14474000,40902000,40902000,11140000,9458000,1682000,67114000,9442000,19155000,7518000,8701000,2936000,28597000,95711000,80985000,80985000,2566000,1640000,121861000,2383000,13987000,135848000,3559000,375529000,-11603000,-406378000,-38858000,-40137000,95711000,-2162000,2183000,729000,769000,1519000,-377000,-377000,-333000,-333000,809000,809000,809000,2794000,49914000,0.50261,0.05308,-0.19614,0.0562600000000001,-0.02359,0.55074,-3.38461,0.52151,-0.05322,-0.05322,0.27133,-0.99975,-0.18569,12.68432,58.00327
"40","2020_Q1",0.525645161290323,"Down",7735000,-3721000,4014000,-5184000,-2510000,-2237000,-1170000,-1544000,-1524000,-1545000,-19999.9999999999,-2714000,-1618000,-4332000,-4435000,-4435000,-4437000,-89000,-4526000,14294000,14294000,34785000,34785000,7374000,5382000,1992000,57035000,7967000,45438000,6924000,8701000,6380000,53405000,110440000,77085000,77085000,2238000,1645000,128014000,1713000,1713000,129727000,3559000,400846000,-11603000,-410904000,-18010000,-19287000,110440000,-4435000,2237000,2822000,1820000,2444000,-870000,-870000,-1754000,-1754000,-180000,-180000,-180000,1067000,48691000,0.51894,-0.15126,-0.58513,0.23467,-0.04098,0.44554,-6.72614,0.44088,-0.08415,-0.08415,0.14382,-0.40103,-0.14545,32.23711,-29.39915
"41","2020_Q2",1.12619047619048,"Up",6018000,-2679000,3339000,-5954000,-3840000,-2114000,-2615000,-1484000,-1290000,-1290000,-194000,-4099000,-15771000,-19870000,-19870000,-19870000,-19856000,-89000,-19945000,16301000,16301000,26549000,26549000,10146000,8345000,1801000,53433000,6457000,51206000,6333000,8701000,1209000,57663000,111096000,65382000,65382000,1798000,1661000,111088000,475000,2627000,113715000,3559000,437553000,-11603000,-430849000,-1328000,-2619000,111096000,-19870000,2114000,16013000,-1995000,-3738000,-79000,508000,-2214000,5237000,2007000,2007000,2007000,-501000,46060000,0.55484,-0.43453,-3.31422,7.6155,-0.17953,0.481,-43.41924,0.4146,-0.21124,-0.21124,0.06374,-0.05176,-0.45416,-59.3992,-11.38011
"42","2020_Q3",1.24109375,"Up",7182000,-4330000,2852000,-7911000,-6168000,-1936000,-5059000,-1521000,-1194000,-1194000,-327000,-6580000,-20167000,-26747000,-26566000,-26566000,-26543000,-89000,-26632000,16503000,16503000,23245000,23245000,11608000,9380000,2228000,51598000,5118000,30086000,5743000,8701000,1174000,35204000,86802000,57265000,57265000,1885000,1750000,87542000,102000,2254000,89796000,3559000,463863000,-11603000,-457481000,-1680000,-2994000,86802000,-26566000,1936000,20457000,-4862000,-9035000,58999.9999999999,281000,-1169000,8956000,202000,202000,202000,-3123000,30544000,0.3971,-0.7044,-3.70816,8.89512,-0.30681,0.58941,-29.99198,0.35188,-0.23231,-0.23231,0.06265,-0.0457,-0.96311,-4.496,-2.77545
"43","2020_Q4",0.60796875,"Down",9954000,-4385000,5569000,-6973000,-5361000,-1419000,-1404000,-1095000,-948000,-948000,-147000,-2499000,-7168000,-9667000,-9667000,-9667000,-9644000,-89000,-9733000,26207000,26207000,25088000,25088000,10467000,7390000,3077000,61985000,4241000,25463000,8039000,8701000,1139000,29704000,91689000,54137000,54137000,1453000,1336000,78633000,21000,2174000,80807000,3559000,487571000,-11603000,-467214000,12219000,10882000,91689000,-9667000,1419000,9584000,-5339000,-4003000,-905000,-899000,-4007000,14606000,9704000,9704000,9704000,15000,25196000,0.55947,-0.14105,-0.9778,-0.894410000000002,-0.10615,0.78828,7.42575,0.2748,-0.07105,-0.07105,0.07267,0.06322,-0.26962,-67.4,0.720090000000001
"44","2021_Q1",1.39967213114754,"Up",8265000,-4709000,3556000,-7951000,-6501000,-1450000,-4395000,-631000,-618000,-655000,-13000,-5026000,-1910000,-6936000,-6802000,-6802000,-6777000,-89000,-6866000,16849000,16849000,21093000,21093000,5034000,3657000,1377000,43142000,3500000,28804000,9860000,8701000,3800000,32304000,75446000,46627000,46627000,1011000,924000,57380000,32000,2184000,59564000,3559000,499436000,-11603000,-474080000,17244000,15882000,75446000,-6802000,1450000,3423000,-1302000,-3231000,-1600000,-1600000,-10990000,-4527000,-9357999.99999999,-9357999.99999999,-9357999.99999999,-2945000,11894000,0.43025,-0.53176,-0.83073,-0.43231,-0.09101,0.75186,3.75041,0.15765,-0.05952,-0.05952,0.07165,0.11864,-0.24691,1.68251,1.12742
"45","2021_Q2",1.37936507936508,"Down",15015000,-4631000,10384000,-7539000,-6043000,-1496000,2845000,-155000,-144000,-144000,-11000,2690000,2441000,5131000,5194000,5194000,5187000,-89000,5098000,13355000,13355000,27145000,27145000,4508000,2856000,1652000,45150000,2922000,32565000,12213000,10738000,2837000,35487000,80637000,50213000,50213000,972000,449000,54603000,1523000,1523000,56126000,3559000,503014000,-11603000,-468982000,25866000,24511000,80637000,5194000,1496000,-1458000,-1611000,3621000,-41000,-791000,-6324000,-6324000,-3494000,-3494000,-3494000,4341000,3418000,0.69158,0.18948,0.33953,0.20799,0.06322,0.82688,2.28983,0.04239,0.03036,0.02977,0.08941,0.13283,0.1731,-2.28910000000001,-3.49279
"46","2021_Q3",1.761875,"Up",10103000,-3333000,6770000,-8184000,-7159000,-1136000,-1414000,66000,-36000,388993.390034231,102000,-1348000,666000,-682000,-195000,-195000.000000002,-183999.999999998,-89000,-273000,12645000,12645000,24151000,24151000,5684000,3610000,2074000,42602000,2546000,38753000,16367000,13527000,1416000,41299000,83901000,52741000,52741000,937000,167000,53678000,2702000,2702000,56380000,3559000,506278000,-11608000,-469255000,28887000,27521000,83901000,-195000.000000002,1136000,568000,4228000,5737000,-40000,-4029000,-3418000,-3418000,-1710000,-1710000,-1710000,-278000,0,0.6701,-0.13996,-0.0270199999999999,-0.00992,-0.00325,0.79366,2.04862,0,-0.00163,-0.00159000000000001,0.06016,0.15082,-0.00903,45.48561,8.94272
"47","2021_Q4",1.90375,"Up",14084000,-6459000,7625000,-8389000,-7358000,-1031000,-764000,-119000,-97000,708924.520045642,-22000,-883000,453000,-430000,-404000,-404000,-385000,-89000,-474000,20201000,20201000,29785000,29785000,8613000,5787000,2826000,58691000,2438000,38425000,15672000,13659000,1198000,40863000,99554000,54706000,54706000,1065000,285000,55771000,2774000,2774000,58545000,174000,523658000,-11608000,-469729000,42394000,41009000,99554000,-404000,1031000,1067000,-6306000,-4612000,-211000,-211000,0,12378000,7555000,7555000,7555000,267000,0,0.54139,-0.05425,-0.03366,-0.01156,-0.00476,1.05236,1.42761,0,-0.00282,-0.00277,0.08386,0.2514,-0.01083,-75.65918,26.4411
"48","2022_Q1",0.844032258064516,"Down",16852000,-6471000,10381000,-10005000,-8991000,-903000,376000,-147000,-78000,605143.390034231,-69000,229000,-2765000,-2536000,-2324000,-2324000,-2406000,-175000,-2581000,13062000,13062000,30843000,30843000,8258000,5909000,2349000,52163000,1980000,43465000,20034000,21084000,2347000,52473000,104636000,52025000,52025000,4967000,383965.25807977,56992000,6694000,6694000,63686000,-1680847.10356586,526334000,-11608000,-472310000,42253000,40950000,104636000,-2324000,903000,5083000,-3529000,133000.000000001,-349000,-7271000,-2.3283064365387e-10,-1.86264514923096e-09,-7138000,-7138000,-7138000,1279000,0,0.61601,0.02231,-0.15316,-0.06303,-0.02467,0.91527,1.55521,0,-0.01513,-0.01485,0.09876,0.24761,-0.05417,-10.21267,-34.73936
"49","2022_Q2",0.673870967741935,"Down",13590000,-7356000,6234000,-10815000,-9815000,-1e+06,-4581000,-147000,-133000,-133000,-14000,-4728000,-1259000,-5987000,-5987000,-5987000,-6005000,-88000,-6093000,11519000,11519000,25215000,25215000,7218000,4621000,2597000,44081000,1865000,48277000,19290000,21084000,2131000,50142000,94223000,46450000,46450000,7131000,371000,53581000,4651000,4651000,58232000,3559000,523843000,-11608000,-478403000,37276000,35991000,94223000,-5987000,1e+06,2404000,1385000,-1198000,-141000,-61000,-284000,-284000,-1543000,-1543000,-1543000,-3581000,0,0.45872,-0.33709,-0.44834,-0.16929,-0.06467,0.8227,1.61796,-8.67361737988404e-19,-0.03473,-0.03473,0.07747,0.19221,-0.14992,3.21670000000001,2.51452
"50","2022_Q3",0.55453125,"Down",14006000,-8092000,5914000,-10625000,-9597000,-984000,-4711000,-372000,-380000,-1716155.65005705,8000,-5083000,-572000,-5655000,-5655000,-5655000,-5664000,-88000,-5752000,9676000,9676000,24939000,24939000,10727000,8080000,2647000,45499000,1756000,41801000,18554000,21025000,2222000,48757000,94256000,47268000,47268000,4661000,270000,55551000,6829000,6829000,62380000,20971041.3106976,529392000,-11608000,-484155000,33152000,31876000,94256000,-5655000,984000,3295000,-3705000,-5081000,-133000,-213000,3451000,3451000,-1843000,-1843000,-1843000,-3727000,3622000,0.42225,-0.33636,-0.41068,-0.18045,-0.06103,0.81905,1.95696,0.03843,-0.03252,-0.03252,0.07918,0.18741,-0.13589,1.62436,1.28508
