"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",9.18548387096774,"Up",155255000,-64107000,91148000,-146128000,-140367000,-5761000,-54980000,551000,247000,-115000,362000,304000,-54429000,-55356000,25326000,-30030000,-2846000,-2846000,-32876000,-32876000,-32876000,197188000,49507000,147681000,22825000,22825000,1868000,26312000,14446000,11718000,248193000,40512000,270896000,8500000,87356000,158272000,10663000,311408000,559601000,63385000,10099000,51456000,105827000,28364000,69244000,169212000,68886000,62464000,68886000,238098000,614160000,-216169000,-76230000,-258000,321503000,321503000,559601000,-32876000,5761000,-43896000,61222000,-9789000,-777000,4277000,3500000,192000,192000,-12999.9999999999,179000,-6110000,-6110000,-6152000,-49219000,4.65661287307739e-10,-14100000,0.58709,-0.35413,-0.21175,-0.10226,-0.05875,0.42888,1.46676,0.74058,8.67361737988404e-19,-0.47989,-0.49197,2.26623,4.69293,-0.20582,2,-0.08421,-0.03612,4.00634,3.58654000000007
"29","2017_Q2",9.74222222222222,"Up",162109000,-40173000,121936000,-112155000,-108245000,-3910000,9781000,317000,277000,-113000,390000,40000,10098000,10098000,-4501000,5597000,-420000,-420000,5177000,5177000,5177000,156591000,13268000,143323000,23473000,23473000,1445000,24284000,11989000,12198000,205793000,37465000,266471000,8300000,87356000,154480000,10287000,303936000,509729000,58160000,13270000,42577000,64995000,20932000,36665000,123155000,59509000,54602000,59509000,182664000,615410000,-217098000,-71053000,-194000,327065000,327065000,509729000,5177000,3910000,13127000,-61267000,-39053000,-735000,4324000,3589000,138000,138000,-928000,-790000,-36254000,-36254000,-36239000,13691000,0,-43810000,0.75219,0.06034,0.03194,0.01583,0.01016,-8.46243,1.67101,0.55849,0,0.07549,0.07362,2.36386,4.76924,-0.63883,3,0.01339,-0.11333,-11.43751,-16.00971
"30","2017_Q3",9.2684126984127,"Down",146222000,-36406000,109816000,-100712000,-96836000,-3876000,9104000.00000001,604000,351000,-113000,464000,253000,9708000.00000001,9708000.00000001,-5045000,4663000,-377000,-377000,4286000,4286000,4286000,163600000,38898000,124702000,21389000,21389000,877000,23861000,13335000,10426000,209727000,35434000,261314000,8100000,87356000,149528000,10343000,296748000,506475000,54193000,10414000,41681000,66820000,27230000,32923000,121013000,50514000,47300000,50514000,171527000,618947000,-217271000,-66767000,39000,334948000,334948000,506475000,4286000,3876000,13055000,-16410000,4807000,-1411000,20068000,18657000,2321000,2321000,-173000,2148000,25612000,25612000,25630000,12980000,0,204000,0.75102,0.06226,0.02931,0.0128,0.00845999999999999,0.0475999999999992,1.73309,0.5121,0,0.06209,0.06048,2.1183,4.85235,0.00296000000000007,4,0.01112,0.000530000000000017,-12.60401,-17.97012
"31","2017_Q4",11.8946031746032,"Up",144986000,-37788000,107198000,-102659000,-99077000,-3582000,4539000,556000,360000,-114000,474000,196000,5095000,5095000,-1597000,3498000,-476000,-476000,3022000,3022000,3022000,168079000,16276000,151803000,21134000,21134000,991000,18907000,8769000,9967000,209111000,33278000,258808000,7900000,87356000,147990000,9640000,292086000,501197000,56056000,11780000,42378000,63962000,22401000,35127000,120018000,41793000,39637000,41793000,161811000,620326000,-217339000,-63745000,144000,339386000,339386000,501197000,3022000,3582000,9232000,-10697000,5139000,-1280000,-27102000,-28382000,89000,89000,-69000,20000,-23223000,-23223000,-23208000,8121000,0,-2259000,0.73937,0.03131,0.02084,0.0089,0.00603,-0.74752,1.74233,0.47678,0,0.04392,0.04281,2.10726,4.93272,-0.03283,5,0.00793,-0.00593,-20.69684,-37.02996
"32","2018_Q1",12.7973770491803,"Up",143118000,-28977000,114141000,-103429000,-100807000,-2622000,10712000,637000,461000,-111000,572000,176000,11349000,11349000,-55982000,-44633000,251000,251000,-44382000,-44382000,-44382000,174288000,18110000,156178000,18875000,18875000,1112000,16445000,7722000,8341000,210720000,33230000,203146000,7900000,87356000,98084000,8221000,236376000,447096000,52855000,8515000,42155000,59831000,22897000,31233000,112686000,38205000,37420000,38205000,150891000,621851000,-217355000,-108127000,-164000,296205000,296205000,447096000,-44382000,2622000,33142000,15936000,7318000,-2906000,-2605000.00000001,-5511000,174000,174000,-17000,157000,1964000,1964000,1834000,13334000,0,82346000,0.79753,0.07485,-0.31011,-0.14984,-0.09927,-1.85539,1.86997,0.50941,0,-0.63911,-0.623,2.06094,4.26544,1.18581,5,-0.13272,0.24624,-13.07095,-16.27035
"33","2018_Q2",14.5821875,"Up",148065000,-26946000,121119000,-100590000,-98008000,-2582000,20529000,853000,525000,-109000,634000,328000,21382000,21382000,-3498000,17884000,-382000,-382000,17502000,17502000,17502000,182236000,24198000,158038000,23915000,23915000,1013000,18222000,10182000,7527000,225386000,32027000,199923000,7900000,87356000,94380000,8702000,231950000,457336000,46838000,11694000,33414000,67250000,30278000,32671000,114088000,30277000,30277000,30277000,144365000,624228000,-220336000,-90625000,-296000,312971000,312971000,457336000,17502000,2582000,12187000,-21175000,11096000,-1360000,-1542000,-2902000,875000,875000,-2981000,-2106000,6088000,6088000,6088000,23111000,0,4074000,0.81801,0.13865,0.1182,0.05592,0.03827,0.23277,1.97555,0.46127,0,0.25203,0.24568,2.13218,4.50688,0.05867,6,0.05099,0.01187,-7.88525,-8.877
"34","2018_Q3",16.488253968254,"Up",142036000,-30290000,111746000,-100443000,-98340000,-2103000,11303000,501000,636000,-106000,742000,-135000,11804000,11804000,-2940000,8864000,-113000,-113000,8750999.99999999,8750999.99999999,8750999.99999999,184746000,33175000,151571000,24992000,24992000,914000,20042000,10957000,8914000,230694000,30829000,197267000,7900000,87356000,91443000,8983000,228096000,458790000,45899000,11297000,32840000,60009000,23050000,33834000,105908000,29965000,29965000,29965000,135873000,625720000,-220573000,-81874000,-356000,322917000,322917000,458790000,8751000,2103000,10831000,-18027000,3658000,-1377000,6638000,5261000,295000,295000,-237000,58000,8977000,8977000,8977000,13406000,0,-3058000,0.78674,0.07958,0.06161,0.0271,0.01907,-0.34945,2.17825,0.42077,0,0.12602,0.12284,2.04536,4.6501,-0.04404,6,0.0248,-0.00867,-13.78084,-16.34486
"35","2018_Q4",13.2790476190476,"Down",145690000,-27201000,118489000,-99206000,-96842000,-2364000,19283000,874000,842000,-108000,950000,32000,20157000,20157000,-5089000,15068000,-211000,-211000,14857000,14857000,14857000,188365000,32029000,156336000,34043000,34043000,894000,16805000,8515000,8224000,240107000,29977000,191269000,7900000,87356000,86910000,7507000,221246000,461353000,50394000,12646000,35686000,41223000,22988000,16222000,91617000,30089000,30089000,30089000,121706000,627603000,-220668000,-67017000,-271000,339647000,339647000,461353000,14857000,2364000,13878000,-27558000,3541000,-1215000,-4267000,-5482000,438000,438000,-95000,343000,-1598000,-1598000,-1598000,21647000,0,-2037000,0.8133,0.13236,0.10198,0.04374,0.0322,-0.13711,2.62077,0.35833,0,0.21395,0.20855,2.09798,4.89102,-0.02933,6,0.04018,-0.00551,-8.70167,-9.76845
"36","2019_Q1",14.4418032786885,"Up",145505000,-25460000,120045000,-99862000,-97517000,-2345000,20183000,826000,855000,-358000,1213000,-29000,21009000,21009000,-7034000,13975000,96000,96000,14071000,14071000,14071000,228822000,32394000,196428000,28751000,28751000,763000,11112000,7771000,3341000,269448000,30048000,182997000,7900000,87356000,81628000,5935000,213045000,482493000,44497000,9195000,33830000,52555000,32351000,19668000,97052000,30238000,30238000,30238000,127290000,629147000,-220700000,-52946000,-298000,355203000,355203000,482493000,14071000,2345000,-11125000,33401000,38692000,-2780000,-35589000,-38369000,74000,74000.0000000001,-32000,42000,364999.999999998,364999.999999998,365000,22528000,-7.105427357601e-15,60183000,0.82502,0.13871,0.0967,0.03961,0.02916,4.27709,2.77633,0.35836,-1.32348898008484e-23,0.20109,0.19602,2.07947,5.07636,0.8601,7,0.03651,0.15614,-10.15723,-11.33736
"37","2019_Q2",18.4465079365079,"Up",157853000,-26327000,131526000,-101555000,-99322000,-2233000,29971000,1624000,1398000,-42000,1440000,226000,31595000,31595000,-6407000,25188000,-397000,-397000,24791000,24791000,24791000,239567000,38799000,200768000,29840000,29840000,727000,12047000,8381000,3546000,282181000,28397000,219578000,7900000,87356000,74850000,49294000,247975000,530156000,43452000,13072000,29082000,49169000,24289000,24872000,92621000,57213000,57213000,57213000,149834000,630625000,-223232000,-27120000,49000,380322000,380322000,530156000,24791000,2233000,19856000,-33935000,12945000,-479000,-3638000,-4117000,109000,109000,-2532000,-2423000,6405000,6405000,6405000,32204000,0,4197000,0.83322,0.18987,0.15705,0.06518,0.04676,0.1693,3.04662,0.39397,0,0.3543,0.34537,2.25595,5.43535,0.05998,6,0.05666,0.00959,-7.43904,-7.99329
"38","2019_Q3",19.62421875,"Up",156441000,-25350000,131091000,-130907000,-128672000,-2235000,183999.999999996,1597000,1552000,-40000,1592000,45000,1781000.00000001,1781000,-2302000,-521000,-38000.0000000001,-38000.0000000001,-558999.999999996,-558999.999999996,-558999.999999996,279899000,51104000,228795000,27870000,27870000,660000,12511000,9013000,3378000,320940000,27507000,213352000,7900000,87356000,72415000,45503000,240859000,561799000,46929000,12382000,33412000,81553000,28664000,52886000,128482000,52069000,52069000,52069000,180551000,631735000,-223263000,-27679000,455000,381248000,381248000,561799000,-559000,2235000,14904000,23889000,40469000,-929000,-27285000,-28205000,71000,70999.9999999999,-29999.9999999995,41000,12305000,12305000,12305000,2419000.00000001,0,27681000,0.83796,0.00117999999999999,-0.00356999999999999,-0.00146999999999999,-0.001,-49.51878,2.49794,0.47358,8.27180612553028e-25,-0.00798999999999989,-0.00779000000000002,2.23577,5.44858,0.3956,5,-0.00129,0.06388,-115.70856,-1521.19022
"39","2019_Q4",16.2703125,"Down",154959000,-25318000,129641000,-105347000,-103063000,-2284000,24294000,1752000,1655000,-43000,1698000,97000,26046000,26046000,-7653000,18393000,-159000,-159000,18234000,18234000,18234000,281826000,47411000,234415000,29913000,29913000,665000,40621000,7645000,32976000,353025000,26698000,219084000,7900000,87356000,65363000,58287000,245782000,598807000,49634000,11044000,36915000,82506000,23784000,58719000,132140000,64723000,64723000,64723000,196863000,634395000,-223392000,-9445000,386000,401944000,401944000,598807000,18234000,2284000,17455000,-5996000,31977000,-1812000,-5211000,-7023000,1146000,1146000,-130000,1016000,25970000,25970000,25970000,26578000,0,26423000,0.83661,0.15678,0.11767,0.04536,0.03045,1.44911,2.6716,0.48978,0,0.25995,0.25276,2.20919,5.73035,0.3767,5,0.03907,0.05662,-10.60373,-11.60064
"40","2020_Q1",15.5451612903226,"Down",158451000,-24949000,133502000,-101489000,-99096000,-2393000,32013000,1587000,1620000,-42000,1662000,-33000,33600000,33600000,-6066000,27534000,-17999.9999999999,-17999.9999999999,27516000,27516000,27516000,294175000,108687000,185488000,55018000,55018000,576000,10616000,7299000,3317000,360385000,26006000,212755000,7900000,87356000,60169000,57330000,238761000,599146000,51004000,11533000,38095000,52809000,24647000,28162000,103813000,64038000,64038000,64038000,167851000,640195000,-227315000,18071000,344000,431295000,431295000,599146000,27516000,2393000,-14243000,-27972000,-12306000,-1954000,49092000,47044000,-3427000,448000,-48000.0000000001,-3475000,31263000,31263000,31276000,34406000,0,10546000,0.84254,0.20204,0.17366,0.0638,0.04593,0.383270000000006,3.47148,0.38918,0,0.39399,0.38369,2.2688,6.17556,0.151,5,0.05555,0.02129,-8.55011000000002,-9.18924000000027
"41","2020_Q2",14.3007936507937,"Down",170994000,-26911000,144083000,-106168000,-103529000,-2639000,37915000,1433000,1446000,-41000,1487000,-13000,39348000,38736000,-9604000,29132000,-26000,-26000,29106000,29106000,29106000,281583000,37932000,243651000,32573000,32573000,553000,17584000,10389000,7195000,332293000,28349000,245884000,18300000,118777000,50701000,58106000,274233000,606526000,35123000,9624000,24010000,57166000,29002000,28164000,92289000,69094000,69094000,69094000,161383000,643820000,-245311000,47177000,-543000,445143000,445143000,606526000,29106000,2639000,26154000,-13131000,44768000,-1015000,-58860000,-93940000,-16896000,413000,-687000,-17583000,-66755000,-66755000,-66755000,40554000,0,36012000,0.84262,0.22173,0.17022,0.06539,0.04799,1.23727,3.60057,0.36254,0,0.41676,0.40586,2.4484,6.37385,0.51564,7,0.0566,0.07003,-6.94341,-7.42669
"42","2020_Q3",14.53328125,"Up",176035000,-28676000,147359000,-109991000,-105840000,-4151000,37368000,1093000,968000,-43000,1011000,125000,38461000,38461000,-10272000,28189000,-22000,-22000,28167000,28167000,28167000,341801000,91536000,250265000,35597000,35597000,570000,16093000,9843000,6250000,394061000,28335000,232703000,17189000,118312000,41361000,55841000,261038000,655099000,41451000,11909000,27623000,68979000,38538000,30441000,110430000,65985000,65985000,65985000,176415000,647712000,-245313000,75344000,941000,478684000,478684000,655099000,28167000,4151000,25410000,2868000,60596000,-2424000,-5167000,-7590999.99999999,601000,601000,-1999.99999999977,599000,53604000,53604000,53604000,41519000,0,52235000,0.8371,0.21228,0.16001,0.05884,0.043,1.85448,3.56842,0.36854,6.46234853557053e-27,0.40331,0.39277,2.52058,6.85411,0.74793,6,0.05171,0.0959,-8.2324,-9.14689000000001
"43","2020_Q4",12.01953125,"Down",169126000,-27562000,141564000,-109490000,-105495000,-3995000,32074000,681000,695000,-42000,737000,-14000,32755000,32755000,7206000,39961000,-21000,-21000,39940000,39940000,39940000,363730000,58120000,305610000,37554000,37554000,616000,14954000,7825000,7129000,416854000,28808000,238089000,16356000,118312000,49284000,54137000,266897000,683751000,47079000,12856000,31845000,51416000,29303000,22113000,98495000,63585000,63585000,63585000,162080000,651855000,-246071000,115284000,603000,521671000,521671000,683751000,39940000,3995000,6828000,-18374000,32389000,-4040000,-56164000,-65958000,358000,911000,-205000,153000,-33416000,-33416000,-33416000,36069000,0,6449000,0.83703,0.18965,0.23616,0.07656,0.05841,0.16147,4.23224,0.31069,0,0.57579,0.56043,2.43817,7.52056,0.09297,6,0.06824,0.01102,-10.08428,-11.34034
"44","2021_Q1",12.6381967213115,"Up",171159000,-28619000,142540000,-106351000,-102350000,-4001000,36189000,689000,576000,-41000,617000,113000,36878000,36878000,-9806000,27072000,-21000,-21000,27051000,27051000,27051000,406360000,105684000,300676000,44682000,44682000,596000,15423000,8209000,7214000,467061000,27761000,226695000,15522000,118312000,40351000,52510000,254456000,721517000,24910000,13259000,10249000,78905000,34534000,44371000,103815000,61795000,61795000,61795000,165610000,659296000,-246088000,142335000,364000,555907000,555907000,721517000,27051000,4001000,-16038000,27189000,42203000,-2289000,3766999.99999999,1581000,3798000,3798000,-18000,3780000,47564000,47564000,47564000,40190000,-2.16840434497101e-19,74896000,0.83279,0.21143,0.15805,0.04866,0.03749,2.7687,4.49897,0.29791,4.03896783473158e-28,0.38562,0.37843,2.43993,7.92466,1.06767,5,0.04379,0.12125,-10.11097,-11.22883
"45","2021_Q2",12.221746031746,"Down",183638000,-28974000,154664000,-114047000,-110045000,-4002000,40617000,381000,250000,-109000,359000,131000,40998000,40998000,-10245000,30753000,-20136.0426877866,-20136.0426877866,30753000,30753000,30753000,447017000,86031000,360986000,41482000,41482000,594000,16960000,10023000,6937000,506053000,25696000,218616000,14689000,118312000,35584000,50031000,244312000,750365000,44244000,10767000,26850000,58975000,37004000,21971000,103219000,58801000,58801000,58801000,162020000,663363000,-248120000,173088000,14000,588345000,588345000,750365000,30753000,4002000,22239000,-12286000,44708000,-1042000,-61601000,-62643000,314000,314000,-2032000,-1718000,-19653000,-19653000,-19653000,44619000,0,41536000,0.84222,0.22118,0.16747,0.05227,0.04098,1.35063,4.90271,0.27538,0,0.4384,0.43022,2.61783,8.38708,0.59211,5,0.04752,0.06418,-10.01853,-11.00566
"46","2021_Q3",11.255,"Down",175539000,-28532000,147007000,-111045000,-107132000,-3913000,35962000,6000,42000,-280000,322000,-36000,35968000,35968000,-9319000,26649000,-19648.0569170488,-19648.0569170488,26649000,26649000,26649000,476653000,87343000,389310000,51682000,51682000,619000,20191000,10986000,9205000,549145000,24807000,212467000,13856000,118312000,31782000,48517000,237274000,786419000,44165000,11533000,31110000,73607000,45214000,28393000,117772000,55035000,55035000,55035000,172807000,667349000,-253494000,199737000,20000,613612000,613612000,786419000,26649000,3913000,19928000,-12453000,38037000,-2017000,-29643000,-31660000,-5063000,309000,-2000.00000000047,-5065000,1312000,1312000,1311999.99999999,39875000,1.35525271560688e-20,34724000,0.83746,0.20487,0.15181,0.04343,0.03389,1.30301,4.66278,0.28162,0,0.37989,0.37281,2.50237,8.74727,0.495,6,0.03986,0.05193,-11.95368,-13.25435
"47","2021_Q4",10.90265625,"Down",173998000,-25961000,148037000,-110176000,-106289000,-3887000,37861000,-535000,-418000,-305602.989665436,210109.57736468,-117000,37326000,37326000,-9557000,27769000,-18836.0426877866,-18836.0426877866,27769000,27769000,27769000,475791000,266400000,209391000,42485000,42485000,1178000,17690000,8078000,9612000,537144000,25838000,273437000,34109000,162692000,30413000,46223000,299275000,836419000,26964000,12650000,10749000,107447000,57051000,50396000,134411000,56623000,56623000,56623000,191034000,671376000,-253494000,227506000,-3000,645385000,645385000,836419000,27769000,3887000,15418000,14387000,61461000,-3217000,178785000,118621000,170000,170000,0,170000,180252000,180252000,180252000,41748000,0,62475000,0.8508,0.21759,0.15959,0.04303,0.0332,2.24981,3.99628,0.296,0,0.3962,0.38856,2.48253,9.20808,0.89137,4,0.03956,0.08899,-11.39674,-12.56678
"48","2022_Q1",11.1001612903226,"Up",159859000,-25276000,134583000,-100007000,-95043000,-4964000,34576000,216000,136000,-208429.175241641,124615.185595705,80000,34792000,34792000,-10309000,24483000,-17000,-17000,24466000,24466000,24466000,494195000,319982000,174213000,-36385000,-36385000,904000,95739000,6919000,88820000,554453000,28355000,264625000,32208000,162579000,25114000,44724000,292980000,847433000,19739000,10838000,8690000,120505000,70613000,49892000,140244000,57079000,57079000,57079000,197323000,675129000,-276895000,251972000,-96000,650110000,650110000,847433000,24466000,4964000,-30356000,47836000,46910000,-4177000,34379000,30006000,-19856000,68000,-3477000,-23333000,53583000,53583000,53583000,39540000,0,93508000,0.84189,0.21629,0.15305,0.03763,0.02887,3.82196,3.95349,0.30352,1.57772181044202e-30,0.34907,0.34234,2.2808,9.27549,1.33413,5,0.0346,0.13222,-12.49861,-14.29301
"49","2022_Q2",10.9561290322581,"Down",182959000,-28088000,154871000,-111178000,-106296000,-4882000,43693000,141000,230000,-103000,333000,-89000,43834000,43834000,-11756000,32078000,-13439.9288536889,-13439.9288536889,32078000,32078000,32078000,498063000,190443000,307620000,34104000,34104000,1405000,22631000,9874000,12757000,556203000,27956000,259668000,30542000,162579000,24128000,42419000,287624000,843827000,33088000,12135000,9971000,77259000,39108000,38151000,110347000,55100000,55100000,55100000,165447000,678204000,-282333000,284050000,-1541000,678380000,678380000,843827000,32078000,4882000,17117000,-31923000,22154000,-4742000,-135172000,-146914000,-3169000,659000,-5596000,-8765000,-133525000,-133525000,-133525000,48575000,0,23666000,0.84648,0.23881,0.17533,0.04729,0.03801,0.73776,5.04049,0.24389,0,0.46662,0.46111,2.66138,9.86792,0.34425,5,0.04373,0.03227,-10.25348,-11.39915
"50","2022_Q3",11.9434375,"Up",167684000,-27269000,140415000,-106241000,-101332000,-4909000,34174000,769000,995000,-99000,1094000,-226000,34943000,34715000,-8948000,25767000,-7455.82924885345,-7455.82924885345,25767000,25767000,25767000,515589000,148749000,366840000,32186000,32186000,1168000,22851000,10306000,12545000,571794000,26952000,257315000,28877000,162579000,25671000,40188000,284267000,856061000,29962000,12419000,9548000,80236000,35567000,44669000,110198000,53103000,53103000,53103000,163301000,680294000,-294177000,309817000,-3174000,692760000,692760000,856061000,25767000,4909000,11249000,-9300000,32625000,-2023000,-60661000,-62684000,-11652000,190000,-1999.99999999907,-11654000,-41713000,-41713000,-41713000,39083000,0,36708000,0.83738,0.2038,0.15366,0.03719,0.0301,1.42461,5.18879,0.23573,1.97215226305253e-31,0.37704,0.37245,2.45364,10.13681,0.53713,5,0.03455,0.04922,-13.19216,-15.08717
