"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",29.0930158730159,"Up",1.951e+09,-4.06e+08,1.545e+09,-7.87e+08,-2.42e+08,-7.5e+07,7.58e+08,-2.26e+08,-2.17e+08,-9e+06,5.32e+08,5.32e+08,-1.29e+08,4.03e+08,4.03e+08,4.03e+08,4.03e+08,4.09e+08,4.09e+08,7.02e+08,7.02e+08,3.12e+08,8.04e+08,1.73e+08,5.36e+08,2.227e+09,3.0407e+10,3.6741e+10,-6.334e+09,6.4e+09,3.05e+09,6.44e+08,2.706e+09,3.6807e+10,3.9034e+10,1.349e+09,7e+08,5.69e+08,8e+07,2.083e+09,1.666e+09,4.17e+08,8.24e+08,8.24e+08,4.256e+09,1.7958e+10,6.711e+09,7.76e+08,7.76e+08,4.055e+09,1.88e+09,2.4669e+10,2.8925e+10,9.924e+09,3.962e+09,-3.777e+09,1.0109e+10,1.0109e+10,3.9034e+10,4.03e+08,4.03e+08,2.65e+08,-2.73e+08,-2.6e+08,1.35e+08,-6.8e+08,1e+06,-6.79e+08,-2.58e+08,8.08e+08,7.3e+07,-1.6e+07,6.07e+08,6.3e+07,1.29e+08,3e+06,1.32e+08,1.023e+09,2.0041e+10,2.12e+08,0.7919,0.38852,0.20656,0.03987,0.01032,0.52605,0.52326,2.86131,0.51342,0.59188,0.58997,2.8654,14.84692,0.31136,0.37892,0.01793,0.00575,0.6402,19.19062,25.89974
"30","2017_Q3",29.3720634920635,"Up",1.725e+09,-3.19e+08,1.406e+09,-7.48e+08,-2.46e+08,-7e+07,6.58e+08,-2.9e+08,-2.22e+08,-6.8e+07,3.68e+08,3.68e+08,-7.6e+07,2.92e+08,2.92e+08,2.92e+08,2.92e+08,4.67e+08,4.67e+08,6.28e+08,6.28e+08,3.16e+08,7.55e+08,1.31e+08,5.55e+08,2.166e+09,3.1233e+10,3.7826e+10,-6.593e+09,6.565e+09,3.139e+09,6.56e+08,2.77e+09,3.7798e+10,3.9964e+10,1.296e+09,7.52e+08,4.67e+08,7.7e+07,2.168e+09,1.497e+09,6.71e+08,8.86e+08,8.86e+08,4.35e+09,1.8397e+10,6.727e+09,7.87e+08,7.87e+08,4.13e+09,1.81e+09,2.5124e+10,2.9474e+10,1.003e+10,3.983e+09,-3.523e+09,1.049e+10,1.049e+10,3.9964e+10,2.92e+08,2.92e+08,2.68e+08,9.9e+07,-4000000.00000012,6.55e+08,-6.93e+08,-1.3e+07,-7.06e+08,-2.71e+08,2.8e+08,1.04e+08,-9e+06,1.04e+08,5.3e+07,1.1e+08,4e+06,1.14e+08,9.26e+08,2.0565e+10,3.05e+08,0.81507,0.38145,0.16928,0.02784,0.00731,1.04452,0.49793,2.80972,0.51459,0.427,0.42544,2.52252,15.33982,0.44601,0.39629,0.0149,0.00807,0.92808,21.7041,30.54407
"31","2017_Q4",27.5588888888889,"Down",1.845e+09,-3.45e+08,1.5e+09,-7.64e+08,-2.57e+08,-6.9e+07,7.36e+08,-2.65e+08,-2.3e+08,-3.5e+07,4.71e+08,4.71e+08,-1.16e+08,3.55e+08,3.55e+08,3.55e+08,3.55e+08,6.76e+08,6.76e+08,6.17e+08,6.17e+08,3.23e+08,7.15e+08,1.01e+08,5.57e+08,2.331e+09,3.1816e+10,3.8594e+10,-6.778e+09,6.611e+09,3.134e+09,6.66e+08,2.811e+09,3.8427e+10,4.0758e+10,1.542e+09,8.38e+08,5.94e+08,1.1e+08,1.659e+09,1.211e+09,4.48e+08,9.48e+08,9.48e+08,4.149e+09,1.911e+10,6.807e+09,7.96e+08,7.96e+08,4.224e+09,1.787e+09,2.5917e+10,3.0066e+10,1.0129e+10,4.066e+09,-3.503e+09,1.0692e+10,1.0692e+10,4.0758e+10,3.55e+08,3.55e+08,2.84e+08,1.28e+08,1.97e+08,9.64e+08,-7.79e+08,-4e+06,-7.83e+08,-2.71e+08,2.09e+08,9.8e+07,-9e+06,2.7e+07,2.08e+08,4.16e+08,0,4.16e+08,1.02e+09,2.0769e+10,5.54e+08,0.81301,0.39892,0.19241,0.0332,0.00871,1.56056,0.56182,2.81201,0.50957,0.51707,0.51543,2.6873,15.57322,0.80692,0.39472,0.01636,0.01448,0.76338,19.69902,27.30027
"32","2018_Q1",23.1285245901639,"Down",1.926e+09,-3.74e+08,1.552e+09,-8.03e+08,-2.63e+08,-7.8e+07,7.49e+08,-2.08e+08,-2.32e+08,2.4e+07,5.41e+08,5.41e+08,-4.63e+08,7.8e+07,7.8e+07,7.8e+07,7.8e+07,4.85e+08,4.85e+08,6.81e+08,6.81e+08,3.2e+08,8.08e+08,6.6e+07,6.93e+08,2.294e+09,3.3092e+10,3.9987e+10,-6.895e+09,6.093e+09,3.258e+09,6.97e+08,2.138e+09,3.9185e+10,4.1479e+10,1.584e+09,9.24e+08,5.55e+08,1.05e+08,1.428e+09,1.08e+09,3.48e+08,1.011e+09,1.011e+09,4.023e+09,1.9847e+10,6.848e+09,8e+08,8e+08,2.462e+09,3.586e+09,2.6695e+10,3.0718e+10,1.0312e+10,3.871e+09,-3.422e+09,1.0761e+10,1.0761e+10,4.1479e+10,78000000.0000001,7.8e+07,2.88e+08,2.52e+08,8.9e+07,7.07e+08,-9.81e+08,-1.2e+07,-9.93e+08,-2.72e+08,1.65e+08,1.78e+08,1.5e+07,8.6e+07,-2e+08,-3.92e+08,8e+06,-3.84e+08,1.037e+09,2.1275e+10,6.08e+08,0.80582,0.38889,0.0405,0.00725,0.00188,7.79487,0.57022,2.85457,0.51291,0.1131,0.11285,2.79262,15.60302,0.88158,0.39439,0.009,0.01564,3.48718,20.04822,27.75701
"33","2018_Q2",21.83359375,"Down",2.126e+09,-4.55e+08,1.671e+09,-8.2e+08,-2.69e+08,-8.3e+07,8.51e+08,-2.82e+08,-2.39e+08,-4.3e+07,5.69e+08,5.69e+08,-1.17e+08,4.52e+08,4.52e+08,4.52e+08,4.52e+08,6.29e+08,6.29e+08,7.6e+08,7.6e+08,2.79e+08,8.22e+08,1.39e+08,6.27e+08,2.49e+09,3.3736e+10,4.0853e+10,-7.117e+09,6.162e+09,3.302e+09,7.03e+08,2.157e+09,3.9898e+10,4.2388e+10,1.572e+09,8.36e+08,6.08e+08,1.28e+08,1.707e+09,1.457e+09,2.5e+08,9.59e+08,9.59e+08,4.238e+09,2.0214e+10,6.76e+09,6.53e+08,6.53e+08,2.557e+09,3.55e+09,2.6974e+10,3.1212e+10,1.0418e+10,4.037e+09,-3.279e+09,1.1176e+10,1.1176e+10,4.2388e+10,4.52e+08,4.52e+08,2.9e+08,1.4e+07,-1.9e+08,5.66e+08,-7.57e+08,4e+06,-7.53e+08,-2.73e+08,5.13e+08,1e+08,-9e+06,3.31e+08,1.44e+08,2.86e+08,-2e+06,2.84e+08,1.141e+09,2.1921e+10,3.11e+08,0.78598,0.40028,0.21261,0.04044,0.01066,0.68805,0.58754,2.79277,0.51715,0.65081,0.65006,3.06113,16.09183,0.4478,0.39308,0.01819,0.0078,0.60398,18.66082,25.01998
"34","2018_Q3",23.3934920634921,"Up",1.848e+09,-3.37e+08,1.511e+09,-8.53e+08,-2.73e+08,-7.4e+07,6.58e+08,-1e+06,-2.35e+08,2.34e+08,6.57e+08,6.57e+08,-1.42e+08,5.15e+08,5.15e+08,5.15e+08,5.15e+08,8.52e+08,8.52e+08,6.75e+08,6.75e+08,2.88e+08,7.85e+08,1.26e+08,5.81e+08,2.6e+09,3.3823e+10,4.1014e+10,-7.191e+09,6.407e+09,3.308e+09,6.94e+08,2.405e+09,4.023e+10,4.283e+10,1.426e+09,8.04e+08,4.9e+08,1.32e+08,2.067e+09,1.864e+09,2.03e+08,9.55e+08,9.55e+08,4.448e+09,2.0217e+10,6.925e+09,6.65e+08,6.65e+08,2.632e+09,3.628e+09,2.7142e+10,3.159e+10,1.0469e+10,4.266e+09,-3.495e+09,1.124e+10,1.124e+10,4.283e+10,5.15e+08,5.15e+08,2.86e+08,-7.8e+07,3.6e+07,7.59e+08,-7.7e+08,-6.1e+07,-8.96e+08,-2.85e+08,6.09e+08,4.7e+07,-7e+06,3.64e+08,2.27e+08,4.49e+08,-5e+06,4.44e+08,9.44e+08,2.2284e+10,3.52e+08,0.81764,0.35606,0.27868,0.04582,0.01202,0.6835,0.58453,2.8105,0.52029,0.73676,0.73469,2.64375,16.07998,0.50357,0.40772,0.01978,0.0087,0.5534,22.70339,32.57143
"35","2018_Q4",24.6495238095238,"Up",1.872e+09,-3.55e+08,1.517e+09,-8.31e+08,-2.75e+08,-7.7e+07,6.86e+08,-1.38e+08,-2.44e+08,1.06e+08,5.48e+08,5.48e+08,-1.03e+08,4.45e+08,4.45e+08,4.45e+08,4.45e+08,8.42e+08,8.42e+08,6.84e+08,6.84e+08,2.95e+08,7.24e+08,1.03e+08,5.3e+08,2.545e+09,3.4018e+10,4.1325e+10,-7.307e+09,6.479e+09,3.242e+09,7e+08,2.537e+09,4.0497e+10,4.3042e+10,1.548e+09,8.14e+08,6.13e+08,1.21e+08,1.879e+09,1.549e+09,3.3e+08,9.56e+08,9.56e+08,4.383e+09,1.9924e+10,6.952e+09,6.49e+08,6.49e+08,2.717e+09,3.586e+09,2.6876e+10,3.1259e+10,1.1008e+10,4.423e+09,-3.648e+09,1.1783e+10,1.1783e+10,4.3042e+10,4.45e+08,4.45e+08,2.97e+08,-3.7e+07,1.8e+08,8.85e+08,-8.17e+08,0,-8.17e+08,-2.88e+08,-3.16e+08,5.31e+08,-4e+06,-7.7e+07,-9e+06,-2e+07,-2e+06,-2.2e+07,9.83e+08,2.1803e+10,4.49e+08,0.81036,0.36645,0.23771,0.03777,0.01034,1.00899,0.58065,2.65289,0.50655,0.63234,0.6263,2.66011,16.74364,0.63803,0.40925,0.01808,0.01108,0.64719,21.3235,30.55539
"36","2019_Q1",25.5683606557377,"Up",1.939e+09,-3.97e+08,1.542e+09,-8.85e+08,-2.77e+08,-7.8e+07,6.57e+08,-1.46e+08,-2.45e+08,9.9e+07,5.11e+08,5.11e+08,-9.6e+07,4.15e+08,4.15e+08,4.15e+08,4.15e+08,6.21e+08,6.21e+08,6.63e+08,6.63e+08,3.03e+08,8.45e+08,7e+07,6.66e+08,2.432e+09,3.4458e+10,4.1869e+10,-7.411e+09,6.506e+09,3.162e+09,7.16e+08,2.628e+09,4.0964e+10,4.3396e+10,1.673e+09,9.89e+08,5.74e+08,1.1e+08,1.96e+09,1.43e+09,5.3e+08,9.3e+08,9.3e+08,4.563e+09,2.0069e+10,7.107e+09,7.71e+08,7.71e+08,2.796e+09,3.54e+09,2.7176e+10,3.1739e+10,1.1028e+10,4.593e+09,-3.964e+09,1.1657e+10,1.1657e+10,4.3396e+10,4.15e+08,4.15e+08,2.99e+08,-2.6e+08,1.57e+08,6.11e+08,-8.94e+08,-999999.999999985,-8.95e+08,-2.87e+08,3.39e+08,2e+07,0,7.2e+07,-2.12e+08,-5.65e+08,-9e+06,-5.74e+08,9.56e+08,2.2029e+10,3.15e+08,0.79526,0.33883,0.21403,0.0356,0.00956,0.75904,0.53298,2.72274,0.50763,0.57598,0.57032,2.69116,16.17891,0.43719,0.39833,0.01721,0.00772,0.69157,22.39331,32.58447
"37","2019_Q2",25.8185714285714,"Up",2.079e+09,-4.44e+08,1.635e+09,-8.54e+08,-2.84e+08,-8e+07,7.81e+08,-1.89e+08,-2.41e+08,5.2e+07,5.92e+08,5.92e+08,-1.26e+08,4.66e+08,4.66e+08,4.66e+08,4.66e+08,5.18e+08,5.18e+08,7.49e+08,7.49e+08,2.74e+08,8.88e+08,1.57e+08,6.22e+08,2.429e+09,3.5307e+10,4.2943e+10,-7.636e+09,6.831e+09,3.26e+09,7.28e+08,2.843e+09,4.2138e+10,4.4567e+10,1.565e+09,8.23e+08,6.3e+08,1.12e+08,1.63e+09,1.428e+09,2.02e+08,8.66e+08,8.66e+08,4.061e+09,2.1114e+10,7.22e+09,7.18e+08,7.18e+08,2.941e+09,3.561e+09,2.8334e+10,3.2395e+10,1.1058e+10,4.761e+09,-3.647e+09,1.2172e+10,1.2172e+10,4.4567e+10,4.66e+08,4.66e+08,3.06e+08,8e+06,-3.06e+08,4.74e+08,-7.29e+08,6.2e+07,-7.22e+08,-2.96e+08,4.24e+08,2.2e+07,-8e+06,1.42e+08,-1.06e+08,-1.06e+08,3e+06,-1.03e+08,1.087e+09,2.2744e+10,1.78e+08,0.78644,0.37566,0.22415,0.03828,0.01046,0.38197,0.59813,2.66144,0.51033,0.6463,0.6384,2.8834,16.88157,0.24687,0.41053,0.01808,0.00422,0.63519,20.4471,28.45839
"38","2019_Q3",25.51171875,"Down",1.803e+09,-3.06e+08,1.497e+09,-8.57e+08,-3e+08,-7.5e+07,6.4e+08,-1.15e+08,-2.46e+08,1.31e+08,5.25e+08,5.25e+08,-8.4e+07,4.41e+08,4.41e+08,4.41e+08,4.41e+08,4.06e+08,4.06e+08,6.62e+08,6.62e+08,2.86e+08,8.77e+08,1.42e+08,6.02e+08,2.231e+09,3.513e+10,4.2817e+10,-7.687e+09,6.843e+09,3.139e+09,7.1e+08,2.994e+09,4.1973e+10,4.4204e+10,1.454e+09,8.3e+08,5.13e+08,1.11e+08,1.772e+09,1.636e+09,1.36e+08,8.37e+08,8.37e+08,4.063e+09,2.0965e+10,7.193e+09,7.16e+08,7.16e+08,2.986e+09,3.491e+09,2.8158e+10,3.2221e+10,1.1076e+10,4.903e+09,-3.996e+09,1.1983e+10,1.1983e+10,4.4204e+10,4.41e+08,4.41e+08,3.09e+08,-9.2e+07,-6.2e+07,5.96e+08,-7.45e+08,-1.2e+07,-7.57e+08,-2.98e+08,3.51e+08,1.3e+07,-1e+07,5.6e+07,-1.05e+08,-1.05e+08,-7e+06,-1.12e+08,9.49e+08,2.2737e+10,2.26e+08,0.83028,0.35496,0.24459,0.0368,0.00998,0.51247,0.5491,2.68889,0.51437,0.61098,0.60335,2.49796,16.6018,0.31311,0.41286,0.01763,0.00539,0.67574,23.53109,34.89219
"39","2019_Q4",28.67890625,"Up",1.933e+09,-3.44e+08,1.589e+09,-8.63e+08,-3.06e+08,-7.7e+07,7.26e+08,-1.33e+08,-2.59e+08,1.26e+08,5.93e+08,5.93e+08,-1.18e+08,4.75e+08,4.75e+08,4.75e+08,4.75e+08,6.7e+08,6.7e+08,6.25e+08,6.25e+08,2.95e+08,9.44e+08,1.15e+08,6.2e+08,2.534e+09,3.5108e+10,4.2945e+10,-7.837e+09,6.917e+09,3.05e+09,7.09e+08,3.158e+09,4.2025e+10,4.4559e+10,1.584e+09,8.46e+08,6.44e+08,9.4e+07,1.387e+09,1.387e+09,0,8.69e+08,8.69e+08,3.84e+09,2.1547e+10,7.27e+09,7.19e+08,7.19e+08,3.076e+09,3.475e+09,2.8817e+10,3.2657e+10,1.1094e+10,5.08e+09,-4.272e+09,1.1902e+10,1.1902e+10,4.4559e+10,4.75e+08,4.75e+08,3.35e+08,-8.9e+07,9.7e+07,8.18e+08,-7.23e+08,8e+06,-7.15e+08,-2.99e+08,4.56e+08,1.4e+07,-6e+06,1.65e+08,2.68e+08,2.68e+08,-6e+06,2.62e+08,1.061e+09,2.2934e+10,5.53e+08,0.82204,0.37558,0.24573,0.03991,0.01066,1.16421,0.6599,2.74382,0.51469,0.65765,0.64965,2.6763,16.47867,0.76564,0.41397,0.01838,0.01313,0.62947,20.98398,30.66667
"40","2020_Q1",27.9014516129032,"Down",-2.13e+08,-3.38e+08,-5.51e+08,-69999999.9999999,-59000000.0000001,4.6e+07,-6.21e+08,-1.7e+08,1.25e+08,-2.95e+08,-7.91e+08,-7.91e+08,1.45e+08,-6.46e+08,3.65e+08,3.65e+08,3.65e+08,8.15e+08,8.15e+08,6.87e+08,6.87e+08,3.32e+08,9.33e+08,7.9e+07,7.07e+08,2.767e+09,3.6482e+10,4.4646e+10,-8.164e+09,6.431e+09,3.198e+09,7.42e+08,2.491e+09,4.2913e+10,4.568e+10,1.666e+09,9.56e+08,6.11e+08,9.9e+07,2.323e+09,1.151e+09,1.172e+09,9.11e+08,9.11e+08,4.9e+09,2.0721e+10,7.068e+09,5.87e+08,5.87e+08,3.088e+09,3.393e+09,2.7789e+10,3.2689e+10,1.2222e+10,5.127e+09,-4.358e+09,1.2991e+10,1.2991e+10,4.568e+10,-6.46e+08,3.64e+08,56999999.9999999,3.38e+08,-3e+07,5.39e+08,-4.6e+07,-4.8e+07,-8.86e+08,-2.99e+08,-7.73e+08,1.118e+09,-1e+06,4.73e+08,1.26e+08,-27999999.9999999,2e+07,-7999999.99999994,-5.64e+08,2.3044e+10,-7.85e+08,2.58685,2.91549,-1.71362,0.0281,0.00799,-2.15068,0.56469,2.51628,0.50447,0.48734,0.48345,-0.284390000000001,17.34518,-1.04811,0.39922,0.0154,-0.01821,0.81918,-39.41312,-35.79549
"41","2020_Q2",22.8673015873016,"Down",1.44e+09,-3.64e+08,1.076e+09,-6.52e+08,-2.5e+08,-4.7e+07,4.24e+08,-1.59e+08,-1.54e+08,-5e+06,2.65e+08,2.65e+08,-6.1e+07,2.04e+08,5.54e+08,5.54e+08,5.54e+08,9.15e+08,9.15e+08,7.3e+08,7.3e+08,3.2e+08,9.91e+08,1.55e+08,6.43e+08,2.956e+09,3.6835e+10,4.5134e+10,-8.299e+09,6.537e+09,3.178e+09,7.48e+08,2.611e+09,4.3372e+10,4.6328e+10,1.604e+09,8.33e+08,6.71e+08,1e+08,2.866e+09,1.696e+09,1.17e+09,8.52e+08,8.52e+08,5.322e+09,2.067e+10,7.095e+09,5e+08,5e+08,3.217e+09,3.378e+09,2.7765e+10,3.3087e+10,1.2247e+10,5.36e+09,-4.366e+09,1.3241e+10,1.3241e+10,4.6328e+10,2.04e+08,5.54e+08,2.59e+08,3.3e+07,-8.3e+07,6.92e+08,-6.16e+08,-3e+06,-8.33e+08,-3.17e+08,5.88e+08,2e+07,-8e+06,2.4e+08,9.9e+07,7.6e+07,1e+06,7.7e+07,6.83e+08,2.3536e+10,4.5e+07,0.74722,0.29444,0.38472,0.04184,0.01196,0.08123,0.55543,2.49883,0.50803,0.7214,0.72066,1.87513,17.24205,0.0586,0.41279,0.01985,0.00103,0.5722,33.12006,53.35142
"42","2020_Q3",24.0440625,"Up",1.263e+09,-2.71e+08,9.92e+08,-6.45e+08,-2.55e+08,-3.7e+07,3.47e+08,-1.54e+08,-1.64e+08,9999999.99999997,1.93e+08,1.93e+08,-4e+07,1.53e+08,3.44e+08,3.44e+08,3.44e+08,1.278e+09,1.278e+09,6.65e+08,6.65e+08,3.33e+08,9.92e+08,1.53e+08,6.05e+08,3.268e+09,3.6785e+10,4.5134e+10,-8.349e+09,6.467e+09,3.086e+09,7.3e+08,2.651e+09,4.3252e+10,4.652e+10,1.431e+09,8.04e+08,5.51e+08,7.6e+07,2.886e+09,8.28e+08,2.058e+09,8.51e+08,8.51e+08,5.168e+09,2.1098e+10,7.21e+09,4.91e+08,4.91e+08,3.279e+09,3.44e+09,2.8308e+10,3.3476e+10,1.2263e+10,5.383e+09,-4.602e+09,1.3044e+10,1.3044e+10,4.652e+10,1.53e+08,3.44e+08,2.68e+08,46000000.0000001,-1.4e+07,6.07e+08,-5.42e+08,1.2e+07,-7.4e+08,-3.19e+08,7.68e+08,1.3e+07,-1.5e+07,5.05e+08,3.72e+08,4.15e+08,-7e+06,4.08e+08,6.15e+08,2.3984e+10,9.9e+07,0.78543,0.274740000000001,0.27237,0.02637,0.00739,0.28779,0.63235,2.56639,0.51556,0.44747,0.4471,1.64289,16.96741,0.12878,0.41495,0.01499,0.00224,0.92733,36.92033,65.43516
"43","2020_Q4",25.6884375,"Up",1.4e+09,-3.13e+08,1.087e+09,-6.5e+08,-2.57e+08,-4.7e+07,4.37e+08,-1.55e+08,-1.61e+08,6e+06,2.82e+08,2.82e+08,-1.65e+08,1.17e+08,2.81e+08,2.81e+08,2.81e+08,7.46e+08,7.46e+08,7.42e+08,7.42e+08,3.51e+08,8.56e+08,1.34e+08,5.86e+08,2.695e+09,3.832e+10,4.7144e+10,-8.824e+09,6.909e+09,3.283e+09,7.63e+08,2.863e+09,4.5229e+10,4.7924e+10,1.661e+09,8.64e+08,7.04e+08,9.3e+07,2.893e+09,1.368e+09,1.525e+09,8.88e+08,8.88e+08,5.442e+09,2.1243e+10,7.553e+09,4.85e+08,4.85e+08,3.569e+09,3.499e+09,2.8796e+10,3.4238e+10,1.2268e+10,5.345e+09,-3.927e+09,1.3686e+10,1.3686e+10,4.7924e+10,1.17e+08,2.81e+08,2.75e+08,5.7e+07,2.64e+08,9.48e+08,-5.32e+08,-9e+06,-7.85e+08,-3.2e+08,-4.94e+08,-1e+06,2e+06,-7.12e+08,-5.49e+08,-6.41e+08,0,-6.41e+08,7.12e+08,2.4136e+10,6.09e+08,0.77643,0.31214,0.20071,0.02053,0.00586,2.16726,0.49522,2.50168,0.50363,0.36551,0.36509,1.82104,17.802,0.79215,0.41624,0.01325,0.01342,1.13879,32.85112,53.52403
"44","2021_Q1",25.7222950819672,"Up",1.371e+09,-3.18e+08,1.053e+09,-6.75e+08,-2.6e+08,-1.469e+09,3.78e+08,-1.64e+08,-1.55e+08,-9e+06,2.14e+08,2.14e+08,-4.8e+07,1.66e+08,-1369080000,-1369080000,-1369080000,4.42e+08,4.42e+08,6.03e+08,6.03e+08,3.02e+08,1.9553e+10,5.3e+07,5.17e+08,2.09e+10,2.45e+10,3.0545e+10,-6.045e+09,2.716e+09,7.16e+08,3.51e+08,1.649e+09,2.7216e+10,4.8116e+10,1.246e+09,7.45e+08,4.32e+08,6.9e+07,2.242e+09,1.168e+09,1.074e+09,1.1567e+10,5.44e+08,1.5055e+10,1.3615e+10,6.073e+09,1.89e+08,1.89e+08,2.536e+09,3.348e+09,1.9688e+10,3.4743e+10,1.2278e+10,5.315e+09,-4.22e+09,1.3373e+10,1.3373e+10,4.8116e+10,-1.303e+09,-1.179e+09,2.78e+08,1e+08,-2.51e+08,-9.7e+08,-5.8e+08,4e+06,-9e+08,-3.19e+08,3.41e+08,-3.2e+07,2.7e+08,3.53e+08,-1.517e+09,-1.445e+09,2.3e+07,-1.422e+09,798276383.989286,1.5857e+10,371890078.74619,0.70135844983432,0.267709228434068,-0.774429482152241,-0.107986203356064,-0.0255454449427503,-9.58674216756195,1.38824,2.598,0.32956,-1.58747174992922,-1.58412730123294,2.07777293971781,17.39342,0.4845627794931,0.416278393024253,-0.0280360882085213,0.00772215277213137,-4.56878358347017,31.2686404228437,47.8687669398224
"45","2021_Q2",26.9280952380952,"Up",1.498e+09,-3.97e+08,1.101e+09,-6.86e+08,-2.67e+08,-4.19e+08,4.15e+08,-1.53e+08,-1.53e+08,-4022650.21120208,2.62e+08,2.62e+08,-5.9e+07,2.03e+08,-1.84e+09,-1.84e+09,-1.84e+09,4.21e+08,4.21e+08,6.34e+08,6.34e+08,2.6e+08,1.9012e+10,1.32e+08,4.55e+08,2.0327e+10,2.4697e+10,3.0891e+10,-6.194e+09,2.757e+09,7.16e+08,3.48e+08,1.693e+09,2.7454e+10,4.7781e+10,1.207e+09,6.6e+08,5.02e+08,4.5e+07,2.523e+09,1.547e+09,9.76e+08,1.1893e+10,5.17e+08,1.5623e+10,1.3715e+10,6.889e+09,1.83e+08,1.83e+08,3.37e+09,3.336e+09,2.0604e+10,3.6227e+10,1.2281e+10,3.155e+09,-3.882e+09,1.1554e+10,1.1554e+10,4.7781e+10,2.03e+08,-1.84e+09,2.78e+08,2.2e+07,-1.07e+08,6.63e+08,-4.71e+08,-1e+06,-7.35e+08,-3.2e+08,3.79e+08,-25839741.4632727,-4e+06,-7.1e+07,-1.43e+08,-1.43e+08,8e+06,-1.35e+08,6.93e+08,1.6238e+10,1.74e+08,0.73498,0.27704,-1.2283,-0.15925,-0.03851,-0.0945699999999925,1.30109,3.13545,0.33984,-2.39222,-2.38741,1.94758,15.0216,0.22622,0.41604,-0.04383,0.00501999999999999,-0.17391,22.82395,38.11325
"46","2021_Q3",27.2690625,"Up",1.288e+09,-2.96e+08,9.92e+08,-7.22e+08,-2.69e+08,-4.53e+08,2.7e+08,-4.61e+08,-4.74e+08,1.3e+07,-1.91e+08,-1.91e+08,-3.45e+08,-5.36e+08,1.9e+07,1.9e+07,1.9e+07,7.629e+09,7.629e+09,5.69e+08,5.69e+08,2.65e+08,5.55e+08,1.19e+08,4.36e+08,9.018e+09,2.4945e+10,3.1299e+10,-6.354e+09,2.796e+09,7.16e+08,3.47e+08,1.733e+09,2.7741e+10,3.6759e+10,1.36e+09,6.83e+08,4.16e+08,2.61e+08,2.2e+09,1744153647.45521,2.2e+09,612000000.000002,6.12e+08,4.172e+09,1.1095e+10,6.54e+09,1.89e+08,1.89e+08,3.079e+09,3.272e+09,1.7635e+10,2.1807e+10,1.2289e+10,2.854e+09,-1.91e+08,1.4952e+10,1.4952e+10,3.6759e+10,-5.36e+08,1.9e+07,2.98e+08,3.57e+08,2.8e+08,8.58e+08,-4.98e+08,-7e+06,9.711e+09,-3.2e+08,-3.276e+09,-79807108.2039008,-1.5e+07,-3.531e+09,7.038e+09,7.322e+09,-1.86264514923096e-09,7.322e+09,5.68e+08,1.3295e+10,6.95e+08,0.77019,0.20963,0.01475,0.00127,0.00052,36.57895,2.16155,1.45847,0.36168,0.0247,0.02465,1.67456,19.43941,0.90358,0.41604,0.00975,0.01998,16.84211,9.97535,20.98519
