"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",18.01875,"Up",45432000,-10735000,34697000,-33049000,-25051000,-14277000,-10774000,-5797000,-2201000,1648000,773000,393000,380000,2421000,2421000,-629000,1792000,1792000,1792000,1792000,166437000,126484000,34445000,34445000,11504000,15899000,6478000,9421000,228285000,6300000,112283000,35733000,57025000,14550000,118583000,346868000,26524000,4822000,1435000,20267000,30828000,30433000,57352000,35290000,8169000,35290000,92642000,91146000,170319000,-7239000,254226000,254226000,346868000,1792000,2747000,791000,4396000,9726000,-2296000,4e+07,37704000,-179000,47251000,47251000,572000,47823000,4395000,0,7124000,0.76371,0.03627,0.03944,0.00705,0.00517,3.97545,3.98042,0.36441,0,0.0449,0.04473,1.13836,6.36998,0.1785,0.00619,0.02461,-37.86962,-100.99333
"32","2018_Q3",18.6915873015873,"Up",49554000,-13573000,35981000,-38592000,-27832000,-16622000,-11210000,-8016000,-2744000,-2611000,1739000,340000,1399000,-872000,-872000,-129999.999999996,-1002000,-1002000,-1002000,-1002000,101432000,101432000,41704000,41704000,14454000,19222000,6329000,12893000,176812000,6581000,163699000,49138000,95456000,14183000,170280000,347092000,29636000,6520000,1599000,21517000,31258000,30675000,60894000,35282000,9131000,35282000,96176000,92155000,169317000,-10556000,250916000,250916000,347092000,-1002000,3273000,956000.000000002,-13599000,-10372000,-720000,4e+07,-13785000,-54000,-24211000,-24211000,-841000,-25052000,662000,0,-13527000,0.7261,-0.05269,-0.02022,-0.00398999999999999,-0.00289,13.5,2.9036,0.3833,0,-0.02512,-0.0250700000000001,1.24214,6.28957,-0.33907,-0.00349999999999998,-0.04726,-153.22054,38.84795
"33","2018_Q4",16.2547619047619,"Down",52495000,-17952000,34543000,-37657000,-26223000,-16039000,-10184000,-8992000,-2442000,-3114000,504000,258000,246000,-2610000,-2610000,1702000,-908000,-908000,-908000,-908000,91935000,91935000,42534000,42534000,15307000,19163000,5201000,13962000,168939000,6476000,158006000,46540000,94672000,11883000,164482000,333421000,27450000,3456000,1600000,22394000,29464000,28344000,56914000,26631000,6111000,26631000,83545000,93264000,168409000,-11797000,249876000,249876000,333421000,-908000,3046000,-1900000,-8797000,-8559000,-394000,0,-394000,-166000,-9119000,-9119000,-378000,-9497000,-68000,0,-10961000,0.65802,-0.05932,-0.0173,-0.00363,-0.00272,12.07159,2.96832,0.33435,0,-0.02272,-0.02285,1.31343,6.2519,-0.27424,-0.00328,-0.03964,1351.98529,29.52312
"34","2019_Q1",17.0060655737705,"Up",63855000,-22553000,41302000,-28293000,-26288000,-16867000,-9421000,-9392000,7387000,13009000,513000,274000,239000,13522000,3670000,-508000,3162000,3162000,3162000,3162000,99497000,76708000,59631000,59631000,14428000,18400000,4733000,13667000,191956000,6250000,154620000,45462000,91841000,11716000,160870000,352826000,37362000,7202000,6905000,23255000,34995000,33633000,72357000,28028000,2661000,28028000,100385000,93350000,172378000,-13287000,252441000,252441000,352826000,3162000,3072000,-3354000,7551000,10431000,-275000,-23056000,-23331000,-571000,-13471000,-13471000,-909000,-14380000,16081000,0,23865000,0.64681,0.20373,0.04952,0.01253,0.00896,7.54744,2.6529,0.39766,0,0.07914,0.07824,1.59813,6.31797,0.59728,0.01127,0.08509,-6.18723999999997,-7.64832
"35","2019_Q2",15.9084126984127,"Down",47608000,-16039000,31569000,-37096000,-24253000,-14383000,-9870000,-10495000,-2348000,-5527000,-416000,135000,-551000,-5943000,-5943000,272000,-5671000,-5671000,-5671000,-5671000,95270000,69907000,59084000,59084000,15241000,17123000,5720000,11403000,186718000,5879000,162882000,43436000,92730000,21135000,168761000,355479000,38760000,14957000,3429000,20374000,34591000,33356000,73351000,34170000,2668000,34170000,107521000,93684000,166707000,-12433000,247958000,247958000,355479000,-5671000,2862000,548000,-1476000,-3737000,-176000,-2475000,-2651000,-218000,-6606000,-6606000,-195000,-6801000,-2665000,0,-4589000,0.6631,-0.11609,-0.11912,-0.02287,-0.01595,0.8092,2.54554,0.43363,0,-0.14165,-0.14165,1.18913,6.19338,-0.11462,-0.0201,-0.01627,35.74859,17.2372
"36","2019_Q3",14.48109375,"Down",56234000,-17880000,38354000,-40565000,-26220000,-16040000,-10180000,-11977000,-2368000,-2211000,520000,69000,451000,-1691000,-1691000,-771000,-2462000,-2462000,-2462000,-2462000,75422000,49126000,68185000,68185000,20220000,19699000,7016000,12683000,183526000,6234000,157413000,40571000,92903000,18345000,163647000,347173000,34347000,11643000,1341000,21363000,29351000,28322000,63698000,38660000,4017000,38660000,102358000,94312000,164246000,-13743000,244815000,244815000,347173000,-2462000,2872000,332000.000000001,-19798000,-19056000,-813000,-854000.000000002,-1667000,-48000,-20771000,-20771000,-10000,-20781000,661000,0,-19179000,0.68204,-0.03932,-0.04378,-0.01006,-0.00709,7.79001,2.88119,0.4181,0,-0.06149,-0.06149,1.40452,6.11457,-0.47902,-0.00868999999999999,-0.06766,-114.10287,34.11217
"37","2019_Q4",17.00359375,"Up",79111000,-26669000,52442000,-35937000,-23646000,-14156000,-9490000,-9956000,-2335000,16505000,-1383000,228000,-1611000,15122000,15122000,-3709000,11413000,11413000,11413000,11413000,81331000,54889000,76571000,76571000,18977000,21001000,6645000,14356000,197880000,8796000,158601000,37752000,91037000,24270000,167397000,365277000,40665000,13074000,4735000,22856000,30771000,29456000,71436000,39766000,3758000,39766000,111202000,94734000,176118000,-16777000,254075000,254075000,365277000,11413000,2845000,390000,-5517000,9131000,-3207000,-84000,-3291000,-128000,5712000,5712000,51000,5763000,19350000,0,14335000,0.66289,0.20863,0.14427,0.04492,0.03124,1.25602,2.77003,0.43767,0,0.28506,0.28374,1.97595,6.346,0.35804,0.03884,0.04878,-4.20315,-4.92766
"38","2020_Q1",16.9440322580645,"Down",70531000,-25058000,45473000,-40051000,-27597000,-13240000,-14357000,-10035000,-2419000,5422000,1499000,315000,1184000,6921000,6921000,-2337000,4584000,4584000,4584000,4584000,109793000,84282000,62405000,62405000,19819000,17784000,6198000,11586000,209801000,11454000,161287000,36209000,94612000,22603000,172741000,382542000,42446000,10835000,7410000,24201000,31366000,30338000,73812000,46436000,4623000,46436000,120248000,96149000,179440000,-13295000,262294000,262294000,382542000,4584000,2966000,543000,23813000,31906000,-3257000,973000,-2284000,-175000,29447000,29447000,-54000,29393000,8388000,0,31281000,0.64472,0.07687,0.06499,0.01748,0.01198,6.82394999999999,2.84237,0.45845,0,0.11435,0.1139,1.75936,6.54279,0.78029,0.01485,0.10132,-13.08929,-20.24954
"39","2020_Q2",19.6431746031746,"Up",56370000,-16070000,40300000,-37121000,-27127000,-14859000,-12268000,-9994000,-4081597.27231737,3179000,-131000,207000,-338000,3048000,694000,-690000,4000,4000,4000,4000,105276000,79624000,62971000,62971000,18373000,21349000,6334000,15015000,207969000,12157000,156871000,33052000,91556000,24297000,169028000,376997000,33874000,9113000,2974000,21787000,34795000,33349000,68669000,47689000,4387000,47689000,116358000,97206000,181012000,-17579000,260639000,260639000,376997000,4000,3019000,1132000,-6507000,-2352000,-1516000,-155000,-1671000,-293000,-4316000,-4316000,-342000,-4658000,6198000,0,-1135000,0.71492,0.0564,7e-05,2e-05,1e-05,-283.75,3.02857,0.44643,0,1e-04,1e-04,1.40479,6.49535,-0.02829,1e-05,-0.00368,-16.98548,-33.11607
"40","2020_Q3",24.670625,"Up",54954000,-18225000,36729000,-40770000,-25540000,-14694000,-10846000,-10541000,-4689000,-4041000,635000,126000,509000,-3406000,-1052000,-973000,-2025000,-2025000,-2025000,-2025000,110780000,83984000,54347000,54347000,16443000,20113000,6004000,14109000,201683000,12159000,154619000,30652000,91646000,24282000,166778000,368461000,31723000,5778000,2571000,23374000,38769000,37728000,70492000,40762000,4364000,40762000,111254000,97180000,177166000,-17139000,257207000,257207000,368461000,-2025000,3078000,812000,4868000,6733000,-651000,-1198000,-1849000,-886000,3998000,3998000,362000,4360000,-963000,0,4227000,0.66836,-0.07353,-0.03685,-0.00787,-0.0055,-2.08740999999998,2.86108,0.43255,0,-0.05064,-0.0509,1.37416,6.43162,0.1057,-0.0068,0.01419,115.03634,27.41401
"41","2020_Q4",21.4921875,"Down",51439000,-15478000,35961000,-38316000,-25313000,-14576000,-10737000,-10643000,-2360000,-2355000,772000,56000,716000,-1583000,-1583000,-95000,-1678000,-1678000,-1678000,-1678000,112742000,85931000,54475000,54475000,14029000,20879000,6439000,14440000,202125000,12060000,155348000,28743000,94159000,24288000,167408000,369533000,28682000,5300000,2459000,20923000,37957000,36607000,66639000,43678000,4379000,43678000,110317000,97418000,175488000,-13690000,259216000,259216000,369533000,-1678000,3096000,1007000,623000,3048000,-543000,-60000,-603000,-784000,1661000,1661000,286000,1947000,741000,0,916000,0.6991,-0.04578,-0.03262,-0.00647,-0.00454,-0.54589,3.03313,0.42558,0,-0.04192,-0.04192,1.28495,6.47522,0.02288,-0.00554,0.00302,-152.14845,47.87346
"42","2021_Q1",24.533606557377,"Up",52928000,-17859000,35069000,-37110000,-25021000,-12534000,-12487000,-10016000,-2073000,-2041000,562000,15000,547000,-1479000,-1479000,-277000,-1756000,-1756000,-1756000,-1756000,115253000,88394000,57537000,57537000,13093000,21295000,7837000,13458000,207178000,11835000,156190000,27196000,97552000,24412000,168025000,375203000,30285000,5684000,2618000,21983000,45019000,43417000,75304000,42559000,1912000,42559000,117863000,98859000,173731000,-10220000,257340000,257340000,375203000,-1756000,2810000,420000,6019000,7493000,-524000,-17000,-540999.999999999,-5097000,1855000,1855000,608000,2463000,769000,0,6541000,0.66258,-0.03856,-0.03318,-0.00682,-0.00468,-3.72494,2.75122,0.458,0,-0.04391,-0.04391,1.32353,6.43511,0.16357,-0.00586,0.02181,-149.87386,56.46889
"43","2021_Q2",26.1388888888889,"Up",50775000,-16533000,34242000,-43536000,-29719000,-17168000,-12551000,-12244000,-1573000,-9294000,-358000,4000,-362000,-9652000,-9652000,501000,-9151000,-9151000,-9151000,-9151000,115207000,70819000,47892000,47892000,11346000,22279000,7587000,14692000,196724000,11722000,154031000,25697000,97453000,23431000,165753000,362477000,31365000,5788000,967000,24610000,43237000,43162000,74602000,41395000,1739000,41395000,115997000,98062000,164602000,-11154000,246480000,246480000,362477000,-9151000,2310000,632000,9792000,3583000,-771000,-17669000,-18440000,-2139000,-16996000,-16996000,-558000,-17554000,-6984000,0,1536000,0.67439,-0.18304,-0.18023,-0.03713,-0.02525,-0.16785,2.63698,0.47061,0,-0.2288,-0.2288,1.2695,6.16262,0.0384,-0.03179,0.00534,16.49585,12.39585
"44","2021_Q3",21.19703125,"Down",52277000,-17446000,34831000,-43690000,-30060000,-15021000,-15039000,-12096000,-1534000,-8859000,1031000,2000,1029000,-7828000,-7828000,1143000,-6685000,-6685000,-6685000,-6685000,109256000,66530000,45762000,45762000,9498000,22926000,7823000,15103000,187442000,11468000,155418000,24227000,97842000,24407000,166886000,354328000,33251000,6918000,997000,25336000,43629000,43058000,76880000,38803000,1736000,38803000,115683000,99263000,157917000,-10597000,238645000,238645000,354328000,-6685000,2272000,-173000,2187000,-2399000,-454000,1516000,1062000,-2999000,-4336000,-4336000.00000001,47000,-4289000,-6587000,0,-5997000,0.66628,-0.16946,-0.12788,-0.02801,-0.01887,0.897079999999999,2.43811,0.48475,0,-0.16714,-0.16714,1.30706,5.96672,-0.14994,-0.02409,-0.02161,16.58661,12.33277
"45","2021_Q4",18.653125,"Down",52276000,-15881000,36395000,-38411000,-25656000,-14449000,-11207000,-11359000,-1396000,-2016000,279000,-4000,283000,-1737000,-1737000,762000,-975000,-975000,-975000,-975000,97815000,58633000,44752000,44752000,11715000,23972000,8362000,15610000,178254000,10962000,152129000,22614000,96223000,22998000,163091000,341345000,30245000,7881000,985000,21379000,43081000,42375000,73326000,37400000,1641000,37400000,110726000,99058000,156946000,-12884000,230619000,230619000,341345000,-975000,2178000,-2888000,-3928000,-5613000,-321000,3400000,3079000,-5115000,-7649000,-7649000,-249000,-7898000,162000,0,-4849000,0.69621,-0.03856,-0.01865,-0.00423,-0.00286,4.97333,2.43098,0.48013,0,-0.0246,-0.0246,1.31913,5.81945,-0.12236,-0.00364,-0.01809,-603.7963,48.51935
"46","2022_Q1",15.1079032258065,"Down",59153000,-21686000,37467000,-43426000,-30326000,-16092000,-14234000,-11715000,-1385000,-5959000,-967000,-3000,-963999.999999999,-6926000,-6926000,-6847000,-13773000,-13773000,-13773000,-13773000,98488000,63380000,56612000,56612000,10345000,21644000,7594000,14050000,187089000,10757000,144425000,21270000,96174000,23195000,155182000,342271000,33582000,8204000,732592.784849437,25378000,55494000,54617000,89076000,33415000,1286000,33415000,122491000,100290000,143173000,-11182000,219780000,219780000,342271000,-13773000,2166000,9619000,3672000,1684000,-658000,3977000,3319000,-141000,4862000,4862000,-135000,4727000,-3793000,0,6068000,0.63339,-0.10074,-0.23284,-0.06267,-0.04024,-0.44057,2.10033,0.55733,0,-0.34755,-0.34755,1.49267,5.54594,0.15312,-0.0544,0.02397,25.96573,16.52761
"47","2022_Q2",13.1746774193548,"Down",52447000,-15769000,36678000,-45921000,-30790000,-15895000,-14895000,-13749000,-1382000,-9243000,15630000,-17000,15647000,6387000,6387000,-1173000,5214000,5214000,5214000,5214000,119947000,83645000,35704000,35704000,10388000,22657000,7656000,15001000,188696000,10253000,136962000,19728000,94586000,18969000,147215000,335911000,29372000,7231000,735000,21406000,51068000,50988000,80440000,31876000,2010000,31876000,112316000,101015000,148387000,-13306000,223595000,223595000,335911000,5214000,2097000,-12655000,9004000,3660000,-279000,-1312000,17283000,-635000,20308000,20308000,-45000,20263000,-7146000,0,2752000,0.69933,-0.17624,0.09941,0.02332,0.01552,0.52781,2.3458,0.50232,0,0.13157,0.13157,1.32345,5.95766,0.06944,0.02041,0.01077,16.78519,12.97706
"48","2022_Q3",10.7915625,"Down",52790000,-17284000,35506000,-43744000,-29651000,-16381000,-13270000,-12876000,-1217000,-8238000,-640000,35000,-675000,-8878000,-8878000,-472000,-9350000,-9350000,-9350000,-9350000,97809000,77583000,39863000,39863000,9997000,22850000,7117000,15733000,170519000,10130000,131260000,18117000,90421000,19207000,141390000,311909000,30590000,9119000,1434000,20037000,48455000,48342000,79045000,28522000,1942000,28522000,107567000,102180000,139037000,-18653000,204342000,204342000,311909000,-9350000,1946000,1188000,-8728000,-14944000,-773000,16050000,15277000,-5808000,-5475000,-5475000,-586000,-6061000,-6292000,0,-15321000,0.67259,-0.15605,-0.17712,-0.04576,-0.02998,1.63861,2.15724,0.52641,0,-0.23284,-0.23284,1.31459,5.08858,-0.38153,-0.04015,-0.06579,15.54498,11.87291
