"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",21.1426984126984,"Up",1.988e+09,-9.79e+08,-1.61e+08,-3.76e+08,4.3e+08,1.76e+08,-2.8e+08,2.72e+08,7.7e+07,6.06e+08,6.06e+08,-3.7e+07,5.69e+08,5.69e+08,-1.96e+08,3.73e+08,3.73e+08,6.39e+08,6.39e+08,8.67e+08,1.48e+08,1.191e+09,1.68e+08,2.845e+09,2.7762e+10,6.738e+09,1.0167e+10,5.97e+08,4.4667e+10,4.7512e+10,2.002e+09,6.8e+08,1.322e+09,0,0,2.045e+09,2.1825e+10,8.233e+09,5.133e+09,3.1e+09,3.0058e+10,3.2103e+10,1.9306e+10,8.61e+08,1.8445e+10,-1.041e+09,-9.487e+09,-3.34e+08,8.444e+09,6.965e+09,1.5409e+10,4.7512e+10,5.69e+08,4.42e+08,-2.2e+08,-2.2e+08,-1.47e+08,2.9e+07,-3e+07,3.2e+07,-1.78e+08,6.44e+08,-5.13e+08,-5.11e+08,-5.11e+08,1.53e+08,-1.6e+08,-2.48e+08,-1.623e+09,-1.53e+09,-2e+09,4.7e+08,2.122e+09,2.122e+09,-2.66e+08,-1.5e+07,4.69e+08,4.69e+08,4.69e+08,8.72e+08,2.1825e+10,2.49e+08,0.2163,0.18763,0.02421,0.00785,0.66756,1.3912,2.08339,0.45936,0.45237,0.45131,2.41102,10.24076,0.30198,0.30077,0.01366,0.00548,0.66488,24.29587,49.26977
"30","2017_Q3",21.8153968253968,"Up",1.924e+09,-9.83e+08,-1.53e+08,-3.97e+08,4.04e+08,-1.2e+08,-2.71e+08,2e+06,2.4e+07,2.84e+08,2.58e+08,-6.5e+07,1.93e+08,1.93e+08,-1.12e+08,8.1e+07,80999999.9999999,1.918e+09,1.918e+09,6.93e+08,1.5e+08,1.208e+09,2.04e+08,3.969e+09,2.8042e+10,6.675e+09,1.0084e+10,6.03e+08,4.4801e+10,4.877e+10,2.009e+09,7.34e+08,1.275e+09,1.951e+09,1.951e+09,3.996e+09,2.1325e+10,8.268e+09,5.2e+09,3.068e+09,2.9593e+10,3.3589e+10,1.9332e+10,8.61e+08,1.8471e+10,-1.041e+09,-9.654e+09,-3.31e+08,8.306e+09,6.875e+09,1.5181e+10,4.877e+10,1.93e+08,4.33e+08,1.04e+08,1.04e+08,-19999999.9999999,1.72e+08,0,-3e+06,-1.89e+08,7.1e+08,-5.57e+08,-5.45e+08,-5.45e+08,1.21e+08,-4.36e+08,-2.48e+08,1.463e+09,1.463e+09,-7.1e+08,2.173e+09,3e+06,3e+06,-2.13e+08,1.005e+09,1.279e+09,1.279e+09,1.279e+09,8.37e+08,2.3276e+10,3.25e+08,0.20998,0.0421,0.00534,0.00166,4.01235000000003,0.99324,2.21257,0.47726,0.09801,0.09776,2.3281,10.05051,0.39326,0.30009,0.00704,0.00696,3.06173,25.51732,52.86634
"31","2017_Q4",21.0612698412698,"Down",1.891e+09,-9.98e+08,-1.38e+08,-4.27e+08,3.89e+08,-1.25e+08,-2.67e+08,4e+06,2.3e+07,2.64e+08,1.49e+08,-2.4e+07,1.25e+08,1.25e+08,-9.2e+07,3.3e+07,3.3e+07,1.172e+09,1.172e+09,7.83e+08,1.44e+08,1.94e+08,1.94e+08,2.293e+09,2.7709e+10,6.615e+09,9.503e+09,6.3e+08,4.3827e+10,4.612e+10,1.852e+09,7.73e+08,1.079e+09,5.02e+08,5.02e+08,2.354e+09,2.0567e+10,8.317e+09,5.211e+09,3.106e+09,2.8884e+10,3.1238e+10,1.9353e+10,8.61e+08,1.8492e+10,-1.041e+09,-9.872e+09,-3.31e+08,8.109e+09,6.773e+09,1.4882e+10,4.612e+10,1.25e+08,4.33e+08,1.37e+08,1.37e+08,-7.3e+07,-8.3e+07,7e+06,1.8e+07,-1.5e+07,6.22e+08,-6.57e+08,-6.44e+08,-6.44e+08,1.14e+08,1.513e+09,-2.48e+08,-2.395e+09,-2.395e+09,-2.765e+09,3.7e+08,5000000.00000024,5000000.00000024,-2.43e+08,-2.881e+09,-7.46e+08,-7.46e+08,-7.46e+08,8.22e+08,2.1069e+10,1.16e+08,0.20571,0.01745,0.00222,0.00072,3.51515,0.97409,2.09905,0.45683,0.03991,0.03979,2.28719,9.80794,0.1403,0.29996,0.00635,0.00262,7.51515,24.2056,51.1491
"32","2018_Q1",21.6004918032787,"Up",2.228e+09,-1.691e+09,-1.42e+08,-1.121e+09,-1.43e+08,-3.23e+08,-2.65e+08,4e+06,-1.49e+08,-4.66e+08,-4.78e+08,2.1e+09,1.622e+09,1.622e+09,6.5e+07,1.687e+09,1.687e+09,8.99e+08,8.99e+08,9.76e+08,1.13e+08,1.91e+08,1.84e+08,2.179e+09,2.8211e+10,6.552e+09,9.41e+09,6.19e+08,4.4173e+10,4.6352e+10,2.145e+09,9.78e+08,1.167e+09,5.01e+08,5.01e+08,2.646e+09,2.0434e+10,7.097e+09,3.147e+09,3.95e+09,2.7531e+10,3.0177e+10,1.9369e+10,8.61e+08,1.8508e+10,-1.041e+09,-8.434e+09,-2.38e+08,9.656e+09,6.519e+09,1.6175e+10,4.6352e+10,1.622e+09,4.28e+08,-1.294e+09,-1.294e+09,6999999.99999999,-2.06e+08,3.1e+07,7.1e+07,1.11e+08,7.63e+08,-7.13e+08,-6.99e+08,-6.99e+08,2.35e+08,-4.67e+08,-2.48e+08,-1.3e+08,-1.3e+08,-450000000.000001,3.2e+08,1e+06,1e+06,-1.92e+08,-5.69e+08,-2.73e+08,-2.73e+08,-2.73e+08,2.85e+08,2.0935e+10,-2.521e+09,-0.06418,0.75718,0.1043,0.0364,-1.49437,0.82351,1.86566,0.45165,2.04001,2.03338,2.69422,11.67657,-3.04853,0.2999,0.04377,-0.05703,0.147009999999999,70.30175,-140.11189
"33","2018_Q2",19.55453125,"Down",2.088e+09,-9.84e+08,-1.32e+08,-4.21e+08,4.91e+08,-1.66e+08,-2.73e+08,4e+06,2.1e+07,3.25e+08,3.25e+08,-5.5e+07,2.7e+08,2.7e+08,-1.18e+08,1.52e+08,1.52e+08,1.292e+09,1.292e+09,7.43e+08,1.6e+08,2.04e+08,2.04e+08,2.399e+09,2.8847e+10,6.513e+09,9.293e+09,6.49e+08,4.4653e+10,4.7052e+10,1.663e+09,7.76e+08,8.87e+08,5.01e+08,5.01e+08,2.164e+09,2.1379e+10,7.606e+09,3.196e+09,4.41e+09,2.8985e+10,3.1149e+10,1.9395e+10,8.62e+08,1.8533e+10,-1.041e+09,-8.587e+09,-2.94e+08,9.473e+09,6.43e+09,1.5903e+10,4.7052e+10,2.7e+08,4.31e+08,8.7e+07,8.7e+07,-1.52e+08,2.38e+08,-4e+07,-1.97e+08,-1.53e+08,6.36e+08,-9.58e+08,-9.57e+08,-9.57e+08,2.18e+08,-7.4e+08,-2.81e+08,9.88e+08,9.88e+08,-1.06e+09,2.048e+09,1e+07,1e+07,-2.2e+08,4.97e+08,3.93e+08,3.93e+08,3.93e+08,9.22e+08,2.188e+10,-1.33e+08,0.23515,0.0728,0.00956,0.00323,-0.875,1.1086,1.95869,0.46502,0.18368,0.18309,2.52324,11.44761,-0.16072,0.33957,0.00954,-0.00293,1.84868,22.32972,41.93075
"34","2018_Q3",21.7869841269841,"Up",2.091e+09,-9.79e+08,-1.3e+08,-4.15e+08,4.76e+08,-8.9e+07,-2.75e+08,6.8e+07,2.6e+07,3.87e+08,3.21e+08,-51999999.9999995,2.69e+08,2.69e+08,-1.34e+08,1.35e+08,1.35e+08,2.75e+08,2.75e+08,8.44e+08,1.53e+08,2.69e+08,2.69e+08,1.541e+09,2.8953e+10,6.81e+09,9.07e+09,6.64e+08,4.4833e+10,4.6374e+10,1.956e+09,8.93e+08,1.063e+09,2e+06,2000000.00000006,1.958e+09,2.1313e+10,7.656e+09,3.267e+09,4.389e+09,2.8969e+10,3.0927e+10,1.9414e+10,8.62e+08,1.8552e+10,-1.041e+09,-8.735e+09,-2.93e+08,9.345e+09,6.102e+09,1.5447e+10,4.6374e+10,2.69e+08,4.34e+08,1.56e+08,1.56e+08,-5.2e+07,-1.17e+08,7e+06,1.27e+08,-68999999.9999999,8.07e+08,-9.29e+08,-9.33e+08,-9.33e+08,1.42e+08,-7.87e+08,-2.82e+08,-5.7e+08,-5.7e+08,-7.01e+08,1.31e+08,1e+06,1e+06,-1.86e+08,-1.037e+09,-1.017e+09,-1.017e+09,-1.017e+09,9.1e+08,2.1315e+10,-19000000.0000002,0.22764,0.06456,0.00874,0.00291,-0.14074,0.78703,2.00214,0.45963,0.16307,0.16263,2.52576,11.28803,-0.0229499999999998,0.34063,0.00939,-0.000429999999999991,2.08889,23.12088,44.20168
"35","2018_Q4",18.9865079365079,"Down",2.303e+09,-1.012e+09,-1.74e+08,-4.13e+08,5.01e+08,-1.11e+08,-2.7e+08,2e+06,5.2e+07,3.9e+08,3.9e+08,-1.9e+08,2e+08,2e+08,-7.1e+07,1.29e+08,1.29e+08,4.2e+07,4.2e+07,8.83e+08,1.53e+08,9.06e+08,2.42e+08,1.984e+09,2.8674e+10,7.427e+09,9.068e+09,7.44e+08,4.5169e+10,4.7153e+10,1.856e+09,7.39e+08,1.117e+09,8.56e+08,3.3e+07,2.761e+09,2.1409e+10,6.024e+09,1.648e+09,4.376e+09,2.7433e+10,3.0194e+10,2.5925e+10,1.245e+09,2.468e+10,-1.041e+09,-9.018e+09,-2.91e+08,1.561e+10,1.349e+09,1.6959e+10,4.7153e+10,2e+08,4.25e+08,2.15e+08,2.15e+08,-1.8e+08,-4.6e+07,-6e+06,-6e+06,-1.22e+08,6.6e+08,-7.74e+08,-7.69e+08,-7.69e+08,-4.54e+08,-1.228e+09,-4.11e+08,9.47e+08,1.26e+08,-1.44e+09,1.566e+09,4e+06,4e+06,-2.05e+08,3.35e+08,-2.33e+08,-2.33e+08,-2.33e+08,9.26e+08,2.2265e+10,1.62e+08,0.21754,0.05601,0.00761,0.00274,1.25581,0.71858,1.78041,0.47219,0.12603,0.12567,2.24993,15.2161,0.15827,0.40153,0.01193,0.00358,3.18605,23.99892,44.35729
"36","2019_Q1",20.677868852459,"Up",2.204e+09,-1.013e+09,-1.33e+08,-4.45e+08,5.23e+08,-3.9e+07,-2.94e+08,-7.4e+07,2.12e+08,4.84e+08,-7.05e+08,1.59e+08,-5.46e+08,-5.46e+08,-2.5e+07,-5.71e+08,-5.72e+08,1.68e+08,1.68e+08,9.92e+08,1.3e+08,1.74e+08,1.74e+08,1.464e+09,2.7504e+10,7.821e+09,8.513e+09,7.46e+08,4.3838e+10,4.5302e+10,1.764e+09,6.62e+08,1.102e+09,46999999.9999998,46999999.9999999,1.811e+09,2.2367e+10,5.127e+09,1.524e+09,3.603e+09,2.7494e+10,2.9305e+10,2.5938e+10,1.245e+09,2.4693e+10,-1.041e+09,-1.0002e+10,-2.7e+08,1.466e+10,1.337e+09,1.5997e+10,4.5302e+10,-5.46e+08,4.35e+08,1.166e+09,1.166e+09,1.35e+08,-1.11e+08,2.3e+07,-1.7e+07,2.4e+08,1.19e+09,-6.02e+08,-5.97e+08,-5.97e+08,-6.75e+08,1.9e+07,-4.12e+08,-6.43e+08,1.78e+08,-3e+06,1.81e+08,0,0,-2.8e+07,-1.083e+09,1.26e+08,1.26e+08,1.26e+08,9.58e+08,2.2414e+10,3.32e+08,0.2373,-0.25953,-0.03576,-0.01263,-0.58042,0.80839,1.83191,0.49477,-0.47057,-0.47363,1.81319,12.03169,0.27313,0.33894,-0.00367,0.00763,-0.72028,23.22129,42.53537
"37","2019_Q2",21.7292063492064,"Up",2.054e+09,-9.28e+08,-1.28e+08,-3.84e+08,5.61e+08,-2.04e+08,-2.96e+08,1e+06,1.1e+07,3.57e+08,2.83e+08,-6.9e+07,2.14e+08,2.14e+08,-1.9e+07,1.95e+08,1.94e+08,4.3e+07,4.3e+07,9.29e+08,1.29e+08,1.86e+08,1.86e+08,1.287e+09,2.9081e+10,6.544e+09,9.058e+09,9.62e+08,4.4683e+10,4.597e+10,1.594e+09,6.2e+08,9.74e+08,2.575e+09,1.561e+09,4.169e+09,2.0703e+10,5.373e+09,1.601e+09,3.772e+09,2.6076e+10,3.0245e+10,2.5949e+10,1.246e+09,2.4703e+10,-1.041e+09,-1.027e+10,-2.67e+08,1.4406e+10,1.319e+09,1.5725e+10,4.597e+10,2.14e+08,4.16e+08,2.55e+08,2.55e+08,-1.1e+08,9.7e+07,1e+06,-3.9e+07,-1.69e+08,7.75e+08,-4.26e+08,-4.22e+08,-4.22e+08,-1.05e+08,-1.258e+09,-4.6e+08,8.58e+08,-1.56e+08,-8.64e+08,7.08e+08,6e+06,6e+06,-4.6e+07,3.58e+08,-1.25e+08,-1.25e+08,-1.25e+08,9.77e+08,2.3278e+10,5.1e+08,0.27313,0.09445,0.01234,0.00422,2.62887,0.30871,1.92337,0.50637,0.16013,0.15986,1.69543,11.86226,0.42097,0.3797,0.01474,0.01149,2.37113,23.78199,41.41711
"38","2019_Q3",19.97234375,"Down",2.041e+09,-9.6e+08,-1.52e+08,-3.84e+08,5.74e+08,-1.5e+08,-2.96e+08,5.2e+07,7e+06,4.24e+08,4.22e+08,-9.8e+07,3.24e+08,3.24e+08,-1.4e+07,3.1e+08,3.1e+08,8.06e+08,8.06e+08,8.79e+08,1.34e+08,2.09e+08,2.09e+08,2.028e+09,2.9131e+10,6.261e+09,9.089e+09,9.66e+08,4.4481e+10,4.6509e+10,1.826e+09,6.27e+08,1.199e+09,1.563e+09,1.563e+09,3.389e+09,2.0711e+10,5.328e+09,1.567e+09,3.761e+09,2.6039e+10,2.9428e+10,2.5542e+10,1.246e+09,2.4296e+10,-1.041e+09,-1.0423e+10,-2.65e+08,1.3848e+10,3.233e+09,1.7081e+10,4.6509e+10,3.24e+08,4.24e+08,1.45e+08,1.45e+08,1.76e+08,5.2e+07,3e+06,-5.9e+07,1.8e+08,1.069e+09,-5.08e+08,-4.97e+08,-4.97e+08,-1.43e+08,-1.66e+08,-4.61e+08,-1.01e+09,8000000.00000003,-4000000.00000024,1.2e+07,0,0,1.331e+09,-1.4e+08,7.63e+08,7.63e+08,7.63e+08,9.98e+08,2.2274e+10,7.64e+08,0.28123,0.15189,0.01815,0.00667,2.46452,0.59841,1.72285,0.47892,0.25577,0.25534,1.68393,11.3964,0.63034,0.38035,0.01725,0.0171,1.4871,21.51102,37.4007
"39","2019_Q4",18.43859375,"Down",1.999e+09,-1.001e+09,-1.3e+08,-4.36e+08,6.28e+08,-1.23e+08,-2.96e+08,7.9e+07,1e+06,5.05e+08,3.19e+08,-7.7e+07,2.42e+08,2.42e+08,-2.1e+07,2.21e+08,2.2e+08,2.47e+08,2.47e+08,8.75e+08,1.29e+08,1.83e+08,1.83e+08,1.434e+09,2.9613e+10,6.228e+09,9.006e+09,9.65e+08,4.4847e+10,4.6281e+10,1.786e+09,6.02e+08,1.184e+09,1.538e+09,1.538e+09,3.324e+09,2.0719e+10,5.379e+09,1.651e+09,3.728e+09,2.6098e+10,2.9422e+10,2.5557e+10,1.247e+09,2.431e+10,-1.041e+09,-1.0664e+10,-2.66e+08,1.3621e+10,3.238e+09,1.6859e+10,4.6281e+10,2.42e+08,4.35e+08,2.5e+08,2.5e+08,-6.9e+07,1e+07,3e+06,2.2e+07,-1.04e+08,8.58e+08,-8.03e+08,-7.86e+08,-7.86e+08,-1.16e+08,-9.2e+08,-4.61e+08,-2e+07,-2e+07,-3.6e+07,1.6e+07,4e+06,4e+06,-2e+07,-4.97e+08,-5.59e+08,-5.59e+08,-5.59e+08,1.063e+09,2.2257e+10,2.68e+08,0.31416,0.11006,0.01305,0.00475,1.21818,0.43141,1.74518,0.48091,0.18148,0.18119,1.64896,11.20702,0.22107,0.38028,0.01531,0.00602,2.09545,20.70555,35.04777
"40","2020_Q1",15.8659677419355,"Down",2.107e+09,-9.56e+08,-1.48e+08,-3.69e+08,6.32e+08,-2.04e+08,-2.98e+08,-2.5e+07,4e+06,4.28e+08,4e+07,-9.1e+07,-5.1e+07,-6.6e+07,1.9e+08,1.24e+08,1.23e+08,2.89e+08,2.89e+08,9.96e+08,1.25e+08,1.7e+08,1.7e+08,1.58e+09,2.92e+10,6.235e+09,9.025e+09,1.066e+09,4.446e+10,4.604e+10,1.828e+09,5.52e+08,1.276e+09,2.14e+09,2.14e+09,3.968e+09,2.0148e+10,5.56e+09,1.782e+09,3.778e+09,2.5708e+10,2.9676e+10,2.557e+10,1.247e+09,2.4323e+10,-1.041e+09,-1.1002e+10,-1.99e+08,1.3363e+10,3.001e+09,1.6364e+10,4.604e+10,-6.6e+07,4.39e+08,6.19e+08,6.19e+08,-1000000.00000003,-1.25e+08,-2e+06,3e+07,96000000.0000001,9.91e+08,-4.12e+08,-4.04e+08,-4.04e+08,4.31e+08,-4.66e+08,-4.6e+08,3e+07,2.6e+07,-5e+06,3.1e+07,0,0,-5.3e+07,-4.83e+08,42000000.0000002,42000000.0000002,42000000.0000002,1.071e+09,2.2288e+10,7.49e+08,0.29995,0.05838,0.00752,0.00267,6.08943,0.39819,1.81349,0.4841,0.10146,0.1013,1.73797,10.99367,0.61782,0.37943,0.01319,0.01694,3.73984,20.54062,34.80854
"41","2020_Q2",15.712380952381,"Down",1.913e+09,-8.92e+08,-1.13e+08,-3.5e+08,6.25e+08,-2.74e+08,-2.96e+08,3e+06,-3e+06,3.51e+08,-7.74e+08,2.04e+08,-5.7e+08,-5.7e+08,5.3e+07,-5.17e+08,-5.18e+08,4e+08,4e+08,9.3e+08,1.05e+08,1.3e+08,1.3e+08,1.565e+09,2.9141e+10,5.179e+09,8.744e+09,1.056e+09,4.3064e+10,4.4629e+10,1.488e+09,3.59e+08,1.129e+09,6.28e+08,6.28e+08,2.116e+09,2.1848e+10,5.406e+09,1.602e+09,3.804e+09,2.7254e+10,2.937e+10,2.5578e+10,1.248e+09,2.433e+10,-1.041e+09,-1.2013e+10,-2.05e+08,1.2354e+10,2.905e+09,1.5259e+10,4.4629e+10,-5.7e+08,4.29e+08,1.104e+09,1.104e+09,-1.76e+08,6.7e+07,1.9e+07,-1.55e+08,-1.07e+08,7.87e+08,-3.09e+08,-3.06e+08,-3.06e+08,-2e+07,-3.29e+08,-4.85e+08,1.84e+08,1.84e+08,-1.518e+09,1.702e+09,6e+06,6e+06,-5.2e+07,-3.47e+08,1.11e+08,1.11e+08,1.11e+08,1.054e+09,2.2476e+10,3.65e+08,0.32671,-0.27078,-0.03395,-0.01161,-0.70463,0.7396,1.92477,0.50362,-0.42703,-0.42703,1.57706,10.15565,0.3009,0.39983,-0.00076,0.00846,-0.93629,20.94497,35.3216
"42","2020_Q3",17.56359375,"Up",1.781e+09,-8.92e+08,-1.27e+08,-3.35e+08,6.18e+08,-1.86e+08,-2.94e+08,1000000.00000001,-1e+06,4.32e+08,4.32e+08,-1.17e+08,3.15e+08,3.15e+08,-1.2e+07,3.03e+08,3.03e+08,1.133e+09,1.133e+09,9.07e+08,1.34e+08,1.64e+08,1.64e+08,2.338e+09,2.9137e+10,5.155e+09,8.713e+09,1.104e+09,4.3005e+10,4.5343e+10,1.812e+09,7.69e+08,1.043e+09,6.26e+08,6.26e+08,2.438e+09,2.2323e+10,5.502e+09,1.729e+09,3.773e+09,2.7825e+10,3.0263e+10,2.5591e+10,1.248e+09,2.4343e+10,-1.041e+09,-1.2197e+10,-1.76e+08,1.2212e+10,2.868e+09,1.508e+10,4.5343e+10,3.15e+08,4.3e+08,1.79e+08,1.79e+08,2.19e+08,1.8e+07,-2.8e+07,3.91e+08,-1.62e+08,1.143e+09,-3.2e+08,-3.07e+08,-3.07e+08,-2.1e+07,-3.41e+08,-4.86e+08,4.86e+08,4.86e+08,-1.708e+09,2.194e+09,0,0,-6.9e+07,-6.9e+07,7.33e+08,7.33e+08,7.33e+08,1.048e+09,2.2949e+10,1.064e+09,0.347,0.17013,0.02009,0.00668,3.51155,0.95898,2.00683,0.50612,0.24967,0.24967,1.46753,10.03378,0.87673,0.40046,0.01813,0.02444,1.60396,20.81679,35.30097
"43","2020_Q4",17.83078125,"Up",1.933e+09,-8.97e+08,-1.14e+08,-3.57e+08,6.56e+08,-2.22e+08,-2.92e+08,2e+06,-3.8e+07,4.34e+08,4.34e+08,-1.11e+08,3.23e+08,3.23e+08,-1.4e+07,3.09e+08,3.08e+08,7e+07,7e+07,1.011e+09,1.57e+08,1.65e+08,1.65e+08,1.403e+09,2.9107e+10,5.176e+09,8.634e+09,1.103e+09,4.2917e+10,4.432e+10,1.429e+09,4.64e+08,9.65e+08,4.32e+08,3.92e+08,1.861e+09,2.1951e+10,5.61e+09,1.846e+09,3.764e+09,2.7561e+10,2.9422e+10,2.5607e+10,1.248e+09,2.4359e+10,-1.041e+09,-1.2376e+10,-1.6e+08,1.2065e+10,2.833e+09,1.4898e+10,4.432e+10,3.23e+08,4.26e+08,1.63e+08,1.63e+08,-4.6e+08,-1.03e+08,-2.4e+07,-3.13e+08,-2e+07,4.52e+08,-3.39e+08,-3.25e+08,-3.25e+08,-9.4e+07,-4.33e+08,-4.85e+08,-5.68e+08,-6.08e+08,-6.1e+08,2e+06,3e+06,3e+06,-3.2e+07,-1.082e+09,-1.063e+09,-1.063e+09,-1.063e+09,1.082e+09,2.2383e+10,3.94e+08,0.33937,0.15934,0.02067,0.00695,1.27922,0.7539,1.9749,0.50503,0.25372,0.25295,1.59237,9.91008,0.32457,0.39953,0.01849,0.00919,1.57468,20.622,34.01372
"44","2021_Q1",20.3427868852459,"Up",2.092e+09,-9e+08,-1.12e+08,-3.52e+08,6.94e+08,-2.19e+08,-2.9e+08,2e+06,-2.3e+07,4.75e+08,1.85e+08,-5.5e+07,1.3e+08,1.3e+08,-1.4e+07,1.16e+08,1.15e+08,1.42e+08,1.42e+08,9.98e+08,1.36e+08,1.52e+08,1.49e+08,1.428e+09,2.8929e+10,5.159e+09,8.648e+09,1.204e+09,4.2736e+10,4.4164e+10,1.426e+09,4.82e+08,9.44e+08,8.93e+08,8.93e+08,2.319e+09,2.1451e+10,5.812e+09,1.923e+09,3.889e+09,2.7263e+10,2.9582e+10,2.4406e+10,3.5e+07,2.4371e+10,-1.041e+09,-1.2748e+10,-9.6e+07,1.1769e+10,2.814e+09,1.4583e+10,4.4165e+10,1.3e+08,4.36e+08,4.54e+08,4.54e+08,93999999.9999998,1.6e+07,2.2e+07,70000000.0000001,-1.4e+07,1.114e+09,-3.07e+08,-3.01e+08,-3.01e+08,-1.66e+08,-4.73e+08,-4.85e+08,-44000000.0000002,-4e+06,-5e+06,1e+06,0,0,-4e+07,-5.69e+08,7.2e+07,7.2e+07,7.2e+07,1.13e+09,2.2344e+10,9.72e+08,0.33174,0.05497,0.00789,0.0026,8.45217,0.61578,2.02853,0.50593,0.09473,0.09454,1.72325,8.66648,0.80067,0.39951,0.01404,0.02274,4.21739,19.64779,31.99135
"45","2021_Q2",23.307619047619,"Up",2.612e+09,-9.42e+08,-1.23e+08,-3.81e+08,7.38e+08,-1.62e+08,-2.94e+08,2e+06,-1e+06,5.76e+08,5.76e+08,-1.41e+08,4.35e+08,4.35e+08,-9e+06,4.26e+08,4.25e+08,1.126e+09,1.126e+09,1.057e+09,1.44e+08,1.69e+08,1.69e+08,2.496e+09,2.9076e+10,5.129e+09,8.56e+09,1.198e+09,4.2765e+10,4.5261e+10,1.393e+09,5.38e+08,8.55e+08,2.142e+09,2.142e+09,3.535e+09,2.1092e+10,6.162e+09,2.065e+09,4.097e+09,2.7254e+10,3.0789e+10,2.5633e+10,1.249e+09,2.4384e+10,-1.041e+09,-1.2825e+10,-1e+08,1.1702e+10,2.771e+09,1.4473e+10,4.5262e+10,4.35e+08,4.38e+08,2.09e+08,2.09e+08,-1.67e+08,-5.9e+07,-7999999.99999999,3.8e+07,-1.38e+08,9.15e+08,-2.61e+08,-2.6e+08,-2.6e+08,-9e+06,-2.7e+08,-4.98e+08,8.92e+08,8.92e+08,-5e+06,8.97e+08,3e+06,3e+06,-5.8e+07,3.39e+08,9.84e+08,9.84e+08,9.84e+08,1.176e+09,2.3234e+10,8.89e+08,0.28254,0.16271,0.02937,0.00939,2.09176,0.70608,2.12734,0.51333,0.3499,0.34916,2.15042,9.60527,0.7319,0.41,0.02104,0.02027,1.17176,18.79932,29.95664
"46","2021_Q3",23.273125,"Down",2.283e+09,-9.35e+08,-1.14e+08,-3.58e+08,6.12e+08,-1.71e+08,-2.98e+08,2e+06,-1e+07,4.41e+08,4.41e+08,-1.19e+08,3.22e+08,3.22e+08,-1.8e+07,3.04e+08,3.04e+08,1.201e+09,1.201e+09,9.98e+08,1.94e+08,2.31e+08,2.31e+08,2.624e+09,2.9299e+10,5.124e+09,8.459e+09,1.182e+09,4.2882e+10,4.5506e+10,1.616e+09,6.11e+08,1.005e+09,2.143e+09,2.143e+09,3.759e+09,2.1091e+10,6.392e+09,2.179e+09,4.213e+09,2.7483e+10,3.1242e+10,2.565e+10,1.249e+09,2.4401e+10,-1.041e+09,-1.3022e+10,-1.1e+08,1.1512e+10,2.753e+09,1.4265e+10,4.5507e+10,3.22e+08,4.63e+08,1.79e+08,1.79e+08,92999999.9999999,9e+06,-5e+07,5.6e+07,7.8e+07,1.057e+09,-4.29e+08,-4.25e+08,-4.25e+08,-999999.99999997,-4.3e+08,-4.98e+08,-5000000.00000012,-5e+06,-6e+06,1e+06,0,0,-4.9e+07,-5.52e+08,7.5e+07,7.5e+07,7.5e+07,1.075e+09,2.3234e+10,8.58e+08,0.26807,0.13316,0.02131,0.00668,2.82237,0.69806,2.19012,0.51057,0.25028,0.24975,1.87956,9.44884,0.70638,0.41,0.01827,0.01955,1.63816,20.49581,36.00163
