"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"38","2019_Q3",11.9140625,"Up",111000,-3351000,-3285000,-66000,-3240000,-4234000,-4234000,-7474000,-7474000,-2000,-7476000,-7476000,-7476000,-7476000,19481000,19481000,108000,108000,572000,572000,20161000,47356000,10009000,3813000,6196000,57365000,77526000,2455000,1086000,1369000,53000,3474000,153033000,787000,37000,153820000,157294000,407031000,-486799000,-79768000,-79768000,77526000,-7476000,66000,3860000,713000,-2837000,-653000,-653000,-15000,6736000,3246000,3246000,3246000,-3174000,153086000,-29.18919,-67.35135,0.09372,-0.09643,5.8034,-1.97189,1.97464,-0.28227,-0.28227,0.00419,-3.01182,-0.10088,-42.09357,-41.23611
"39","2019_Q4",11.53234375,"Down",110000,-3066000,-2998000,-68000,-2956000,-4302000,-4302000,-7258000,-7258000,-1000,-7444000,-7444000,-7444000,-7444000,15272000,15272000,93000,93000,523000,523000,15888000,47590000,9970000,3813000,6157000,57631000,73519000,1593000,666000,927000,42000,2601000,156785000,776000,26000,157561000,160162000,407600000,-494243000,-86643000,-86643000,73519000,-7444000,68000,3912000,-368000,-3832000,-610000,-610000,-15000,233000,-4209000,-4209000,-4209000,-2888000,156827000,-26.87273,-67.67273,0.08592,-0.10125,6.10842,-1.84853,2.13315,-0.27588,-0.27588,0.00408,-3.21102,-0.1049,-49.01489,-47.88735
"40","2020_Q1",9.73661290322581,"Down",111000,-3023000,-2958000,-65000,-2912000,-4129000,-4355000,-7041000,-7041000,-2000,-7348000,-7348000,-7348000,-7348000,15682000,15682000,49000,49000,386000,386000,16117000,49947000,9931000,3813000,6118000,60607000,76724000,4730000,194000,4536000,31000,4805000,153272000,765000,15000,154037000,158842000,419479000,-501597000,-82118000,-82118000,76724000,-7348000,65000,-5468000,9747000,-3004000,-171000,-1075000,-15000,4490000,410999.999999999,410999.999999999,410999.999999999,-2847000,153303000,-26.23423,-66.1982,0.08948,-0.09577,3.35421,-1.93431,1.99811,-0.26817,-0.26817,0.00404999999999998,-2.9969,-0.10213,-48.33895,-47.25996
"41","2020_Q2",11.1634920634921,"Up",114000,-4056000,-3977000,-79000,-3942000,-3550000,-3550000,-7492000,-19886000,-2000,-20514000,-20514000,-20514000,-20514000,10518000,10518000,76000,76000,632000,632000,11226000,51626000,10191000,3813000,6378000,62845000,74071000,1936000,961000,975000,20000,4548000,88457000,753000,2999.99999999999,89210000,93758000,502423000,-522111000,-19687000,-19687000,74071000,-21735043.6796136,79000,-3690000,-768000,-4379000,-3453000,-4693000,-15000,3908000,-5164000,-5164000,-5164000,-3863000,88477000,-34.57895,-179.94737,1.04201,-0.27695,2.46834,-4.76243,1.19449,-0.65934,-0.65934,0.00366,-0.63279,-0.29498,-20.18095,-19.77651
"42","2020_Q3",10.1859375,"Down",148000,-3194000,-3098000,-96000,-3046000,-1673000,-1673000,-4719000,-4719000,-1000,-4793000,-4793000,-4793000,-4793000,5568000,5568000,138000,138000,629000,629000,6335000,52447000,10152000,3813000,6339000,64597000,70932000,2101000,1075000,1026000,17000,4190000,90170000,752000,2000,90922000,95112000,502723000,-526904000,-24180000,-24180000,70932000,-25307000,96000,22964000,-393000,-2640000,-1259000,-2302000,-7999.99999999999,-7999.99999999907,-4950000,-4950000,-4950000,-2950000,90187000,-20.58108,-32.38514,0.19822,-0.06757,1.51193,-3.9335,1.27146,-0.137740000000001,-0.13774,0.00424999999999998,-0.694919999999968,-0.0718,-28.68441,-27.78037
"43","2020_Q4",10.02140625,"Down",139000,-2633000,-2527000,-106000,-2494000,-1920000,-1920000,-4414000,-4414000,-2000,-4493000,-4493000,-4493000,-4493000,7502000,7502000,96000,96000,635000,635000,8233000,52682000,10112000,3813000,6299000,65141000,73374000,1301000,438000,863000,54000,3108000,92032000,750000,846323.597396863,92782000,95890000,508880000,-531397000,-22516000,-22516000,73374000,-4493000,106000,1745000,-635000,-3277000,-391000,-817000,143000,6028000,1934000,1934000,1934000,-2388000,92086000,-17.94245,-32.32374,0.19955,-0.06123,2.64897,-4.25875,1.25502,-128.18099,-0.12818,3.96554,-642.38845,-0.06389,-35.42044,-33.915
"44","2021_Q1",10.7391803278689,"Up",140000,-2412000,-2312000,-1e+05,-2272000,-4350000,-4383000,-6622000,-6622000,-2000,-8017000,-8017000,-8017000,-8017000,7290000,7290000,55000,55000,691000,691000,8036000,53481000,11492000,3813000,7679000,66327000,74363000,1222000,548000,674000,51000,3135000,95779000,750000,2124887.45995926,96529000,99664000,513745000,-539414000,-25301000,-25301000,74363000,-8017000,1e+05,5423000,-638000,-3132000,-626000,-2026000,-13000,4946000,-212000.000000002,-212000.000000002,-212000.000000002,-2172000,95830000,-16.22857,-57.26429,0.31686,-0.10781,2.56332,-3.93913,1.28868,-0.224000000000032,-0.224,0.00391000000000119,-0.717210000000023,-0.11247,-40.76427,-38.97007
"45","2021_Q2",11.9757142857143,"Up",139000,-3336000,-3233000,-103000,-3197000,-2542000,-2542000,-5739000,-5739000,-2000,-5944000,-5944000,-5944000,-5944000,18671000,18671000,18000,18000,818000,818000,19507000,53704000,15050000,3813000,11237000,70042000,89549000,2243000,177000,2066000,47000,2316000,96500000,3785000,3035000,100285000,102601000,532305000,-545358000,-13052000,-13052000,89549000,-5944000,103000,3e+06,18000,-2823000,-513000,-650000.000000001,-13000,14854000,11381000,11381000,11381000,-3094000,96547000,-23,-42.76259,0.45541,-0.06638,8.42271,-7.86094,1.07815,-154.51001,-0.17386,3.61321,-339.30335,-0.0681,-25.17001,-24.35909
"46","2021_Q3",12.28703125,"Up",141000,-6478000,-6375000,-103000,-6337000,-4858000,-4858000,-11195000,-11195000,1000,-11560000,-11560000,-11560000,-11560000,11186000,11186000,66000,66000,1235000,1235000,12487000,76098000,12014000,3813000,8201000,89156000,101643000,2273000,117000,2156000,43000,2341000,100477000,3890000,3140000,104367000,106708000,551450000,-556920000,-5065000,-5065000,101643000,-11562000,103000,8411000,-128000,-3176000,-19664000,-19786000,-10000.0000000009,15477000,-7485000,-7485000,-7485000,-6234000,100520000,-44.94326,-81.98582,2.28233,-0.11373,5.33405,-21.06772,0.98895,-300.49389,-300.49389,3.66519,-142.18872,-0.11636,-14.33013,-14.09721
"47","2021_Q4",5.40796875,"Down",142000,-4309000,-4202000,-107000,-4167000,-2840000,-2e+06,-7007000,-8406000,-4000,-7841000,-7841000,-7841000,-9290000,18575000,18575000,83000,83000,2186000,737000,20844000,77579000,20735000,3813000,16922000,99263000,120107000,4509000,579000,2481000,134000,4667000,64357000,3964000,3214000,68321000,72988000,612903000,-566208000,47119000,47119000,120107000,-7839000,107000,3382000,706000,-3644000,-917000,-1092999.99999999,23936000,22332000,17595000,17595000,17595000,-4060000,64491000,-29.34507,-65.42254,-0.19716,-0.07735,4.46625,1.54901,0.53695,-221.75542,-221.75542,3.38959,1114.62536,-0.08038,-11.30936,-11.01896
"48","2022_Q1",2.51903225806452,"Down",142000,-3953000,-3843000,-110000,-3811000,-1146000,-1986000,-4957000,-4957000,-5000,-5904000,-5904000,-5904000,-7192000,10965000,10965000,270000,270000,1979000,691000,13214000,78890000,19413000,3813000,15600000,99279000,112493000,2382000,286000,808000,107000,2513000,65332000,4039000,3289000,69371000,71884000,614009000,-573400000,40609000,40609000,112493000,-5904000,110000,1699000,-1536000,-5631000,-1814000,-1943000,-40000,-1485000.00000001,-9059000,-9059000,-9059000,-3701000,65439000,-26.83803,-50.64789,-0.1771,-0.06393,5.25826,1.77014999999999,0.58172,-0.0678000000000054,-0.0678000000000054,0.00134000000000034,0.382830000000013,-0.06533,-14.71872,-14.29389
"49","2022_Q2",2.08370967741935,"Down",142000,-3927000,-3806000,-121000,-3785000,-1991000,-1991000,-5776000,-5776000,-2000,-5912000,-5912000,-5912000,-7177000,18819000,18819000,124000,124000,2058000,793000,21001000,79381000,18413000,3813000,14600000,98736000,119737000,3899000,1095000,1539000,82000,4006000,66332000,3793000,3043000,70125000,74131000,625676000,-580577000,45606000,45606000,119737000,-5912000,121000,1583000,986000,-3222000,-530000,-1918000,-35000,11706000,6566000,6566000,6566000,-3664000,66414000,-26.65493,-50.54225,-0.15737,-0.05994,5.24239,1.62547,0.55467,-0.17147,-0.17147,0.00339,1.07751,-0.06197,-12.9899,-12.57464
"50","2022_Q3",3.36484375,"Up",185000,-3577000,-3405000,-172000,-3392000,-2055000,-2055000,-5447000,-5447000,1000,-5481000,-5481000,-5481000,-6769000,13239000,13239000,154000,154000,2198000,910000,15591000,80509000,17090000,3813000,13277000,98506000,114097000,3503000,633000,1582000,57000,3586000,67386000,3867000,3117000,71253000,74839000,626099000,-587348000,39258000,39258000,114097000,-5483000,172000,1527000,-544000,-4328000,-1218000,-2483000,-34000,-34000.0000000037,-6845000,-6845000,-6845000,-3220000,67443000,-18.33514,-36.58919,-0.17242,-0.05933,4.34774,1.90634,0.5911,-0.161729999999992,-0.161729999999999,0.00441999999999998,0.925839999999919,-0.06122,-16.83354,-15.97995
