"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",9.583125,"Up",23069000,-15787000,7282000,-4926000,-3825000,-1101000,2356000,-133000,-33000,-1e+05,2223000,2223000,-55000,2168000,2168000,-17000,2151000,2151000,18239000,18239000,15730000,15730000,26961000,2821000,2730000,63751000,7359000,27967000,20698000,7119000,32000,118000,35326000,99077000,9484000,7545000,12079000,3905000,3874000,31000,3905000,15984000,183301000,-18469000,-80743000,-859000,83230000,-137000,83093000,99077000,2168000,586000,147000,-3822000,-921000,-172000,-172000,939000,939000,253067.311124344,939000,-154000,-154000,154000,0,2942000,0,-997000,0.31566,0.10213,0.09324,0.02589,0.02171,-0.46351,5.27784,0.19236,0,0.13697,0.13276,1.46899,5.29992,-0.06349,0.02472,-0.01146,-6.19952,-7.74151
"32","2018_Q3",9.34603174603175,"Down",22864000,-16314000,6550000,-4918000,-3701000,-1217000,1632000,85000,-21000,106000,1717000,1717000,-78000.0000000005,1639000,1639000,-13000,1626000,1626000,20285000,20285000,15468000,15468000,24861000,2909000,2445000,63523000,8056000,27266000,20322000,6805000,32000.0000000001,107000,35322000,98845000,8507000,6656000,10854000,3923000,3891000,32000,3923000,14777000,183814000,-18469000,-79117000,-2036000,84192000,-124000,84068000,98845000,1639000,597000,251000,252000,2739000,-827000,-827000,354000,354000,397000,751000,2663000,2663000,-244000,2419000,2229000,-7.27595761418343e-12,1732000,0.28648,0.07138,0.07112,0.01934,0.01645,1.06519,5.8525,0.17577,-1.0842021724855e-19,0.10212,0.09843,1.436,5.28778,0.10878,0.01848,0.01968,-9.10049,-12.42953
"33","2018_Q4",7.26968253968254,"Down",20330000,-14289000,6041000,-4541000,-3442000,-1099000,1500000,21000,-13000,34000,1521000,1521000,-86000,1435000,1435000,-27000,1408000,1408000,25013000,25013000,14533000,14533000,23118000,3341000,2900000,66005000,8792000,26999000,20201000,6670000,32000,96000,35791000,101796000,9022000,7260000,12364000,3936000,3904000,32000,3936000,16300000,184244000,-18469000,-77709000,-2473000,85593000,-97000,85496000,101796000,1435000,593000,390000,3295000,5713000,-995000,-995000,64000,64000,0,64000,4782000,4782000,-77000,4705000,2093000,0,4479000,0.29715,0.07378,0.06926,0.01647,0.01383,3.18111,5.33848,0.19065,0,0.08826,0.08521,1.27445,5.36566,0.28078,0.01574,0.05008,-11.95079,-16.67533
"34","2019_Q1",8.97311475409836,"Up",20927000,-15217000,5710000,-4643000,-3552000,-1091000,1067000,85000,4000,81000,1152000,1152000,18605000,19757000,19757000,-12000,19745000,19745000,25583000,25583000,16015000,16015000,22843000,2780000,2429000,67221000,10744000,42139000,20109000,6504000,15444000,82000,52883000,120104000,11534000,9919000,14947000,623000,591000,32000,623000,15570000,184635000,-19266000,-57964000,-2786000,104619000,-85000,104534000,120104000,19757000,593000,-18505000,1510000,3355000,-2191000,-2191000,211000,211000,-797000,-586000,578000,578000,-98000,480000,1660000,-1.16415321826935e-10,-17626000,0.27285,0.05099,0.94352,0.18889,0.1644,-0.89268,4.49729,0.14895,0,1.23793,1.22313,1.31204,6.55918,-1.10508,0.18777,-0.16762,-15.41145,-23.97657
"35","2019_Q2",9.09761904761905,"Up",18882000,-13798000,5084000,-4536000,-3500000,-1036000,548000,-58000,-5000,-53000,490000,490000,-41000,449000,449000,-24000,425000,425000,21240000,21240000,13938000,13938000,27906000,2397000,2397000,65481000,12398000,43072000,20251000,6484000,15421000,916000,55470000,120951000,12671000,11307000,15996000,1032000,564000,468000,1032000,17028000,185176000,-21231000,-57610000,-2351000,103984000,-61000,103923000,120951000,449000,539000,189000,-1722000,-545000,-2581000,-2581000,356000,356000,-1965000,-1609000,-4735000,-4735000,41000,-4694000,1087000,0,-3175000,0.26925,0.02902,0.02251,0.00409,0.00351,-7.47059,4.09359,0.16385,0,0.027,0.02619,1.19962,6.60635,-0.20172,0.00405,-0.03025,-19.54002,-38.75912
"36","2019_Q3",8.5575,"Down",29397000,-20532000,8865000,-5823000,-4236000,-1587000,3042000,-83000,-114000,31000,2959000,2959000,-676000,2283000,2283000,-27000,2256000,2256000,6816000,6816000,25119000,25119000,34315000,2374000,2374000,68624000,22078000,51036000,26574000,9932000,13746000,784000,73114000,141738000,15705000,14179000,20285000,911000,534000,377000,15402000,35687000,185473000,-21231000,-55354000,-2803000,106085000,-34000,106051000,141738000,2283000,647000,827000,-7458000,-3701000,-1212000,-26460000,122000,122000,-157000,15935000,-14226000,-14226000,-198000,-14424000,3689000,15782000,-4305000,0.30156,0.10348,0.0767399999999999,0.02127,0.01592,-1.90824,3.38299,0.33651,0.11135,0.14331,0.13982,1.86742,6.73898,-0.27347,0.01838,-0.03507,2.43047,2.94740000000001
"37","2019_Q4",8.29484375,"Down",27493000,-19632000,7861000,-6555000,-4526000,-2029000,1306000,-160000,-220000,60000,1146000,1146000,-225000,921000,921000,-23000,898000,898000,7089000,7089000,26573000,26573000,32396000,2949000,2949000,69007000,22599000,51698000,26373000,9683000,13556000,2086000,74297000,143304000,11985000,10451000,18273000,1923000,504000,1419000,18180000,36453000,186020000,-21231000,-54456000,-3471000,106862000,-11000,106851000,143304000,921000,734000,336000,-2592000,-601000,-1053000,-1053000,388000,388000,0,2177000,523000,523000,-250000,273000,2040000,17583000,-1380000,0.28593,0.0475,0.03266,0.0084,0.00627,-1.53675,3.77645,0.34116,0.1227,0.05689,0.05594,1.74161,6.76942,-0.08742,0.00711,-0.01092,5.14412,8.03522
"38","2020_Q1",6.83903225806452,"Down",31023000,-21668000,9355000,-6883000,-4730000,-2153000,2472000,-296000,-2e+05,-96000,2176000,2176000,-515000,1661000,1661000,-35000,1626000,1626000,7405000,7405000,30106000,30106000,29759000,3103000,3103000,70373000,22525000,51659000,26753000,9721000,13222000,1963000,74184000,144557000,15818000,9388000,17190000,1837000,559000,1278000,17617000,34807000,186318000,-21231000,-52830000,-2531000,109726000,24000,109750000,144557000,1661000,825000,656000,-1265000,1877000,-1435000,-1435000,-1893000,64000,1957000,-378999.999999998,62999.9999999981,62999.9999999981,253000,316000.000000002,3297000,17152000,1112000,0.30155,0.07968,0.05241,0.01482,0.01125,0.68389,4.09383,0.31715,0.11865,0.1025,0.09974,1.95556,6.91667,0.0701,0.01263,0.00864,2.95632,3.94296
"39","2020_Q2",7.30984126984127,"Up",25814000,-18480000,7334000,-5849000,-4301000,-1548000,1485000,-92000,-174000,82000,1393000,1393000,-319000,1074000,1074000,-15000,1059000,1059000,6109000,6109000,35750000,35750000,28979000,2730000,2730000,73568000,22039000,50543000,26468000,9405000,12887000,1783000,72582000,146150000,13328000,11731000,18928000,1599000,496000,1103000,16953000,35881000,186578000,-21239000,-51771000,-3338000,110230000,39000,110269000,146150000,1074000,728000,484000,-2651000,-365000,-445000,-445000,28999.9999999995,29000,-8000,-322000,-1132000,-1132000,-164000,-1296000,2213000,16821000,-564000,0.28411,0.05753,0.04102,0.0096,0.00725,-0.53258,3.88673,0.3254,0.11509,0.06671,0.06583,1.62608,6.94362,-0.03553,0.00823,-0.00438,4.84049,7.21347
"40","2020_Q3",6.5703125,"Down",28560000,-20597000,7963000,-5669000,-4394000,-1275000,2294000,-117000,-106000,-11000,2177000,2177000,-499000,1678000,1678000,-20000,1658000,1658000,8389000,8389000,26405000,26405000,28064000,2144000,2144000,65002000,22713000,49873000,26459000,9250000,12526000,1638000,72586000,137588000,9148000,7766000,14470000,1500000,501000,999000,10784000,25254000,186930000,-21246000,-50113000,-3296000,112275000,59000,112334000,137588000,1678000,728000,707000,6134000,9247000,-968000,-968000,47000,47000,-7000.00000000023,-6027000,2252000,2252000,28000,2280000,3022000,10766000,8687000,0.27882,0.08032,0.05805,0.01476,0.01205,5.23945,4.49219,0.22481,0.07825,0.10438,0.10272,1.79792,7.06799,0.54687,0.01331,0.06972,0.786569999999999,1.03618
"41","2020_Q4",6.31046875,"Down",24362000,-17851000,6511000,-5804000,-4198000,-1606000,707000,-53000,-92000,39000,654000,654000,-192000,462000,462000,-55000,407000,407000,13777000,13777000,15012000,15012000,29746000,3661000,3661000,62196000,22605000,50753000,26705000,9212000,12425000,2411000,73358000,135554000,10133000,8875000,17372000,2155000,480000,1675000,4345000,21717000,187294000,-21246000,-49706000,-2619000,113723000,114000,113837000,135554000,462000,731000,422000,10994000,12609000,-369000,-369000,142000,142000,0,-6909000,5331000,5331000,57000,5388000,1438000,3727000,12255000,0.26726,0.02902,0.01671,0.00358,0.003,30.11057,3.58024,0.19077,0.02749,0.02559,0.02531,1.53153,7.14924,0.77042,0.0034,0.10236,-6.98887,-14.21499
"42","2021_Q1",7.08983606557377,"Up",28976000,-21625000,7351000,-6136000,-4618000,-1518000,1215000,-9000,-64000,55000,1206000,2799000,-682000,2117000,2117000,-9000,2108000,2108000,10653000,10653000,21054000,21054000,28193000,4596000,4596000,64496000,22850000,50355000,27018000,9209000,11836000,2292000,73205000,137701000,17345000,10839000,18706000,2072000,515000,1557000,2072000,20778000,187501000,-21321000,-47598000,-1782000,116800000,123000,116923000,137701000,2117000,748000,-826000,-1810000,229000,-1199000,-1199000,20000,20000,-75000,-2436000,-3406000,-3406000,282000,-3124000,1963000,1361000,-364000,0.25369,0.04193,0.07275,0.01803,0.01531,-0.172680000000003,3.44788,0.17771,0.00988,0.13224,0.13114,1.8177,7.32702,-0.02283,0.01751,-0.00302,-4.73357,-7.64774
"43","2021_Q2",8.60904761904762,"Up",25973000,-18995000,6978000,-6026000,-4379000,-1647000,952000,-56000,-56000,31285.2347937945,896000,896000,-217000,679000,679000,-8000,671000,671000,13662000,13662000,19156000,19156000,27856000,2846000,2846000,63520000,22946000,49924000,27061000,9077000,11652000,2134000,72870000,136390000,15642000,10141000,16635000,1894000,504000,1390000,1894000,18529000,185674000,-21380000,-46927000,-1679000,117730000,131000,117861000,136390000,679000,884000,1971000,369000,3903000,-489000,-489000,31000,31000,-58000,-420000,2994000,2994000,15000,3009000,1836000,993000,1933000,0.26866,0.03665,0.02583,0.00569,0.00492,2.88077,3.81846,0.15721,0.00728,0.04201,0.04154,1.62606,7.24272,0.12102,0.00556,0.01601,-6.90033,-13.30777
"44","2021_Q3",8.05625,"Down",26770000,-19503000,7267000,-6176000,-4323000,-1853000,1091000,-21000,-55000,34000,1070000,1070000,-248000,822000,822000,-11000,811000,811000,15828000,15828000,18712000,18712000,27414000,2351000,2351000,64305000,22720000,49495000,27115000,8936000,11459000,1985000,72215000,136520000,14907000,9545000,15531000,1752000,492000,1260000,1752000,17283000,188185000,-21388000,-46116000,-1586000,119095000,142000,119237000,136520000,822000,886000,-1204000,2548000,3052000,-736000,-736000,283000,283000,-9000,-122000,2194000,2194000,-28000,2166000,1977000,624000,4037000,0.27146,0.04075,0.0303,0.0068,0.00594,4.97781,4.14043,0.14495,0.00457,0.05077,0.05021,1.67595,7.45602,0.25274,0.00667,0.0332,-7.69044,-13.93584
"45","2021_Q4",6.14109375,"Down",21761000,-16653000,5108000,-5887000,-4164000,-1723000,-779000,1000,-53000,54000,-778000,-778000,175000,-603000,-603000,18000,-585000,-585000,15853000,15853000,16235000,16235000,28179000,4271000,4271000,64538000,23035000,49239000,26998000,8725000,11700000,1816000,72274000,136812000,16435000,9206000,16688000,1578000,475000,1103000,1578000,18266000,186360000,-21469000,-46701000,-1819000,118422000,124000,118546000,136812000,-603000,848000,-50000,1312000,1507000,-1099000,-1099000,84000,84000,-81000,-394000,14000,14000,11000,25000,69000,253000,107000,0.23473,-0.0358,-0.02688,-0.00493,-0.00428,-0.18291,3.86733,0.15408,0.00185,-0.03652,-0.03611,1.35836,7.26411,0.00668,-0.00486,0.00089,-226.08696,20.02567
"46","2022_Q1",5.35403225806452,"Down",23763000,-18474000,5289000,-6518000,-4915000,-1603000,-1229000,-110000,-78000,-32000,-1339000,-1339000,211000,-1128000,-1128000,-3000,-1131000,-1131000,8413000,8413000,20232000,20232000,33189000,4690000,4690000,66524000,23205000,69809000,38068000,17390000,11472000,2879000,93014000,159538000,16924000,9823000,18924000,4014000,2254000,1760000,22871000,41795000,188570000,-21469000,-47832000,-1653000,117616000,127000,117743000,159538000,-1128000,921000,-89000.0000000002,-3841000,-4137000,-490000,-24009000,0,0,-114000,20578000,-7568000,-7568000,128000,-7440000,-308000,20857000,-4850000,0.22257,-0.05172,-0.0476,-0.00961,-0.00709,4.28824,3.51532,0.35497,0.13073,-0.06949,-0.07187,1.46,7.22635,-0.29798,-0.00793,-0.03401,-40.4026,-10.12531
"47","2022_Q2",4.92290322580645,"Down",30373000,-23415000,6958000,-7253000,-5396000,-1857000,-295000,-117000,-134000,17000,-412000,-412000,251000,-161000,-161000,-7000,-168000,-168000,6050000,6050000,22909000,22909000,36380000,3803000,3803000,69142000,22773000,69474000,37926000,17043000,11804000,2701000,92247000,161389000,18015000,11235000,20015000,3752000,2178000,1574000,23733000,43748000,186816000,-21476000,-4.8e+07,-1889000,117507000,134000,117641000,161389000,-161000,1144000,-206000,-3999000,-3222000,-371000,-371000,113000,113000,-7000,1223000,-2370000,-2370000,7000,-2363000,849000,21981000,-3772000,0.22909,-0.00971,-0.00553,-0.00143,-0.00104,22.45238,3.45451,0.37188,0.1362,-0.01045,-0.01045,1.8884,7.178,-0.23452,-0.00117,-0.02631,18.76443,-54.00339
"48","2022_Q3",4.7284375,"Down",32126000,-24480000,7646000,-6853000,-5181000,-1672000,793000,-115000,-177000,62000,678000,678000,-170000,508000,508000,4000,512000,512000,5114000,5114000,22349000,22349000,39201000,5161000,5161000,71825000,22338000,68060000,37502000,16566000,11731000,2261000,90398000,162223000,20176000,13441000,22176000,3414000,2086000,1328000,22980000,45156000,189056000,-21480000,-47488000,-3151000,116937000,130000,117067000,162223000,508000,1142000,221000,-2049000,-178000,-214000,-214000,0,0,-29000,-429000,-821000,-821000,-115000,-935999.999999999,1935000,21566000,-158000,0.238,0.02468,0.01594,0.00437,0.00316,-0.308590000000002,3.23886,0.38573,0.13294,0.03174,0.0317,1.99182,7.25011,-0.0098,0.0036,-0.00111,8.50233,20.74653
