"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"39","2019_Q4",1138.97015625,"Up",2033058000,1300032000,113382000,619644000,32144000,386708000,-752134000,-475219000,-543457000,262248000,-47465000,-47465000,214783000,261928000,-57975000,203953000,203953000,1684000,205637000,205637000,18728292000,2715455000,1930394000,570323000,13091732000,37036196000,19683075000,408508000,3896962000,2247179000,26235724000,3402934000,6988888000,231632000,10623454000,177018000,10800472000,37036196000,203953000,258847000,462800000,-46225000,64566000,-153853000,-135512000,277297000,-12732000,-14077000,250488000,577776000,577776000,-19473000,558303000,3896962000,0.12899,0.10115,0.01904,0.00555,2.42913,0.10522,14.84958,14.83672,146.81239,767.14717,0.00561,4.5053
"40","2020_Q1",1143.49806451613,"Up",2581529000,1346323000,112493000,1122713000,531734000,372408000,-773190000,-485346000,-569171000,753822000,-42665000,-42665000,711157000,641010000,-129497000,511513000,511513000,-409000,511104000,511104000,18757912000,3072807000,1846060822.00671,566042000,15077054000,37473815000,19772132000,406720000,3534183000,2504802000,26217837000,3404919000,7457176000,208772000,11070867000,185111000,11255978000,37473815000,511513000,-316006000,562162000,-27919000,54918000,9.5e+07,121999000,-356799000,-34309000,-20219000,-411327000,272834000,272834000,27750000,300584000,3534183000,0.29201,0.19798,0.04541,0.01364,2.32924,0.09431,36.9455,36.82836,186.60756,800.26507,0.01379,0.61205
"41","2020_Q2",908.95380952381,"Down",335666000,1330709000,88243000,-1083286000,-1681441000,352161000,-1076348000,-495163000,-569485000,-1805330000,-45030000,-45030000,-1850360000,-1772059000,370683000,-1401376000,-1401376000,-4387000,-1405763000,-1405763000,16058574000,3834664000,2088579000,630600000,13436370000,36048787000,20204513000,280405000,3593954000,2082168000,26161040000,3419528000,6039474000,261726000,9720728000,167019000,9887747000,36048787000,-1401376000,1467054000,65678000,-29907000,-11768000,948294000,906619000,59154000,-23865000,-14382000,20907000,993204000,993204000,-35233000,957971000,3593954000,-5.37835,-4.18798,-0.14217,-0.039,2.6458,0.0997,-101.75628,-101.75628,24.29721,703.63576,-0.0393,0.13333
"42","2020_Q3",1015.77390625,"Up",3132015000,1360174000,95615000,1676226000,911242999.999999,423581000,-713216000,-489362000,-687177000,1242260000,-45427000,-45427000,1196833000,1175373000,-243702000,931671000,931671000,-9903000,921768000,921768000,16653991000,4833689000,2362789000,637760000,14579397000,39067626000,20658715000,447970000,3606109000,2729931000,27442725000,3421845000,6948466000,432351000,11394553000,230348000,11624901000,39067626000,931671000,-508608000,423063000,-20761000,1348609000,-1180811000,147037000,11476999.9999999,591813000,-16667000,586623000,1156723000,1156723000,12325000,1169048000,3606109000,0.39663,0.294310000000001,0.07929,0.02359,2.36068,0.0923,66.75125,66.75125,226.80969,782.2914,0.02387,-0.98818
"43","2020_Q4",996.81765625,"Down",2911735000,1394428000,90384000,1426923000,539302000,342039000,-863247000,-492824000,-863272000,692392000,-42744000,-42744000,649648000,584071000,-130028000,454043000,454043000,-1317000,452726000,452726000,18325645000,4593025000,2004080000,638134000,14609135000,40170019000,21267135000,416988000,3498311000,2838807000,28021241000,3425247000,7377095000,499714000,11893947000,254831000,12148778000,40170019000,454043000,318804000,772847000,-22103000,-49683000,-959379000,-1031165000,-108477000,0,-23432000,-131909000,-390227000,-390227000,25408000,-364819000,3498311000,0.23779,0.15548,0.03727,0.01127,2.30651,0.08709,32.78485,32.78485,210.85777,818.45579,0.01139,-1.58106
"44","2021_Q1",1078.64606557377,"Up",3355650000,1526894000,101584000,1727172000,848875000,321734000,-814150000,-540278000,-856660000,1144562000,-140234000,-44381000,1004328000,1013064000,-165635000,847429000,847429000,-129999.999999999,847299000,828899000,19709943000,4341736000,1930211000,630794000,15097370000,41710054000,21725607000,493470000,3484023000,2946631000,28649731000,3428340000,8195182000,584376000,12799789000,260534000,13060323000,41710054000,847429000,-463330000,475999000,-28530000,-194516000,-311193000,-534239000,-14967000,-2888999.99999994,-4809000,-41065000,-99305000.0000001,-99305000.0000001,53401000,-45904000.0000002,3484023000,0.34109,0.24702,0.06347,0.01987,2.19365,0.08353,60.01731,59.80944,242.96937,883.92571,0.02056,-0.74938
"45","2021_Q2",1198.74603174603,"Up",2900194000,1497695000,96570000,1305929000,526871000,328832000,-879918000,-526743000,-748176000,745357000,-42389000,-42389000,702968000,728052000,-148371000,579681000,579681000,-5987000,573694000,573694000,21093944000,3882379000,2254424000,722865000,15089417000,43043029000,22416179000,561155000,3564949000,3080928000,29623211000,3447614000,8754760000,369679000,13163944000,255874000,13419818000,43043029000,579681000,-261557000,318124000,-30650000,-452055000,-594882000,-1077587000,80769000,-22023000,-5039000,53707000,-705756000,-705756000,-12989000,-718745000,3564949000,0.257,0.19781,0.04275,0.01333,2.20742,0.08282,41.51487,41.44888,209.87003,909.76576,0.0135,-0.42588
"46","2021_Q3",1232.924375,"Up",3500772000,1568037000,96261000,1836474000,674753000,592601000,-814955000,-548364000,-1058182000,1079271000,-46568000,-46568000,1032703000,1020446000,-217112000,803334000,803334000,-11224000,792110000,774110000,22908436000,3679433000,2627218000,766736000,15659690000,45641513000,23236964000,671820000,4160175000,3346104000,31415063000,3451968000,9503889000,427223000,13974971000,251479000,14226450000,45641513000,803334000,-308286000,495048000,-25088000,651309000,-1785973000,-1159752000,595458000,-38803000,-28081000,510574000,-154130000,-154130000,8044000.00000001,-146086000,4160175000,0.3083,0.22113,0.05441,0.01696,2.20822,0.09115,56.0178,55.92876,253.33034,968.45503,0.01761,0.44543
"47","2021_Q4",1261.85734375,"Up",2687354000,1630500000,91264000,965590000,-25833000,405711000,-948241000,-569756000,-927669000,241688000,2395000,-46455000,244083000,244083000,-54415000,189668000,189668000,-1598000,188070000,188070000,22941259000,3938626000,2320987000,772127000,16723437000,46696436000,24048549000,579905000,4268290000,3527555000,32424299000,3455129000,9650355000,319389000,14016764000,255373000,14272137000,46696436000,189668000,619602000,809270000,-25020000,-1930034000,1459902000,-495152000,-57317000,-61551000,-6029000,-124897000,189221000,189221000,-34028000,155193000,4268290000,0.08994,0.06998,0.01318,0.00403,2.27186,0.09141,13.63814,13.61543,194.87701,973.52234,0.00408,1.36401
"48","2022_Q1",1291.80580645161,"Up",3758105000,1806797000,83322000,1867986000,802743000,384976000,-938091000,-648876000,-993953000,1177185000,-24746000,-48167000,1152439000,1139612000,-264560000,875052000,875052000,-3923000,871129000,853129000,23411220000,3978490000,2413938000,794145000,17879303000,48477096000,24465493000,616665000,4361266000,3832084000,33275508000,3441079000,10446763000,237617000,14717350000,484238000,15201588000,48477096000,875052000,319151000,651625000,-64491000,-525862000,385042000,-205311000,92865000,-84141000,-60341000,-69616999.9999999,376697000,376697000,-2760999.99999999,373936000,4361266000,0.31324,0.22701,0.05612,0.0176,2.18895,0.08997,63.48631,62.92904,279.66252,1051.15784,0.0182,0.32516
"49","2022_Q2",1372.2114516129,"Up",2606236000,1759770000,72734000,773732000,-358399000,481621000,-972372000,-590365000,-1085644000,-42145000,-49692000,-49692000,-91837000,-68343000,18429000,-49914000,-49914000,-2929000,-52843000,-52843000,23044270000,3891080000,2686731000,899358000,18463818000,48985257000,25590928000,634089000,4428692000,3744465000,34398174000,3469449000,10278405000,-238567000,14101178000,485905000,14587083000,48985257000,-49914000,464787000,414873000,-51696000,-397855000,399575000,-49976000,65254000,-79296000,-4808000,-18850000,346047000,346047000,-19411000,326636000,4428692000,-0.01617,-0.02028,-0.00362,-0.00108,2.35813,0.09041,-3.85659,-3.84341,190.20844,985.93541,-0.00109,-12.75625
"50","2022_Q3",1220.1196875,"Down",1792207000,1833104000,93658000,-134555000,-1554643000,776959000,-1058810000,-609469000,-1303099000,-1179171000,-50050000,-50050000,-1229221000,-1122489000,239102000,-883387000,-883387000,-32972000,-916359000,-934359000,21169429000,3698854000,3128706000,954521000,18995263000,47946773000,26176848000,703481000,4502237000,3301497000,34684063000,3478153000,9289820000,-603657000,12756207000,506503000,13262710000,47946773000,-883387000,1389503000,506116000,-58848000,558307000,-683464000,-184005000,76632000,-46995000,-548876000,-537239000,-215128000,-215128000,-81138000,-296266000,4502237000,-0.65794,-0.52135,-0.07045,-0.01949,2.61516,0.0939,-68.44118,-68.44118,131.27798,891.02813,-0.0194,-0.68131
