"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",54.9269841269841,"Up",8.432e+09,-4.682e+09,3.75e+09,-2.496e+09,-2.496e+09,1.254e+09,6.9e+07,-1.9e+07,8.8e+07,1.323e+09,1.323e+09,-1.82e+08,1.141e+09,1.141e+09,1.141e+09,1.141e+09,6.16e+09,4.021e+09,2.139e+09,3.752e+09,3.752e+09,4.932e+09,1.361e+09,1.361e+09,1.6205e+10,3.793e+09,3.154e+09,2.83e+08,1.39e+08,2.732e+09,6.947e+09,2.3152e+10,5.242e+09,1.938e+09,7.6e+07,3.228e+09,2.9e+07,2.3e+07,6e+06,5.271e+09,3.472e+09,1.687e+09,1.687e+09,5.159e+09,1.043e+10,8.395e+09,4.095e+09,2.29e+08,1.2719e+10,1.2719e+10,2.3149e+10,1.141e+09,1.75e+08,-1.39e+08,-6.3e+07,1.114e+09,-2.63e+08,-4.8e+08,1.9e+07,-7.24e+08,-2.98e+08,-4.8e+07,-3.74e+08,3e+06,-7.17e+08,-3.27e+08,-3.27e+08,9e+06,-3.18e+08,1.429e+09,3.501e+09,1.285e+09,0.44473,0.14872,0.13532,0.08971,0.04928,1.12621,3.07437,0.82003,0.15122,0.69022,0.67663,5.10072,7.69403,0.77733,0.18027,0.08035,0.07175,0.26117,-1.86074,-2.12041
"32","2018_Q1",63.2513114754098,"Up",8.677e+09,-4.854e+09,3.823e+09,-2.665e+09,-2.665e+09,1.158e+09,9999999.99999999,-1.8e+07,2.8e+07,1.168e+09,1.168e+09,-1.6e+08,1.008e+09,1.008e+09,1.008e+09,1.008e+09,6.179e+09,3.808e+09,2.371e+09,3.677e+09,3.677e+09,5.055e+09,1.15e+09,1.15e+09,1.6061e+10,3.989e+09,3.209e+09,2.83e+08,1.39e+08,2.787e+09,7.198e+09,2.3259e+10,5.143e+09,2.048e+09,8.4e+07,3.011e+09,3.31e+08,3.25e+08,6e+06,5.474e+09,3.471e+09,1.907e+09,1.907e+09,5.378e+09,1.0852e+10,8.638e+09,3.979e+09,-2.13e+08,1.2404e+10,1.2404e+10,2.3256e+10,1.008e+09,1.85e+08,-44999999.9999999,-3.92e+08,7.56e+08,-3.29e+08,-1.91e+08,7.45058059692383e-09,-5.2e+08,-2.99e+08,-4e+06,-6.44e+08,4.88e+08,-4.59e+08,-2.23e+08,-2.23e+08,9999999.99999999,-2.13e+08,1.343e+09,3.802e+09,7.82e+08,0.44059,0.13346,0.11617,0.08126,0.04334,0.77579,2.93405,0.87488,0.16346,0.61202,0.60014,5.26837,7.53127,0.4748,0.18154,0.07215,0.04317,0.29663,-1.76992,-2.05268
"33","2018_Q2",67.72,"Up",9.07e+09,-5.108e+09,3.962e+09,-2.856e+09,-2.856e+09,1.106e+09,-3.4e+07,-1.6e+07,-1.8e+07,1.072e+09,1.072e+09,-1.22e+08,9.5e+08,9.5e+08,9.5e+08,9.5e+08,5.519e+09,3.413e+09,2.106e+09,3.871e+09,3.871e+09,5.211e+09,1.591e+09,1.591e+09,1.6192e+10,4.086e+09,3.369e+09,2.83e+08,1.39e+08,2.947e+09,7.455e+09,2.3647e+10,5.714e+09,2.116e+09,9.7e+07,3.501e+09,3.42e+08,3.35e+08,7e+06,6.056e+09,3.472e+09,2.126e+09,2.126e+09,5.598e+09,1.1654e+10,8.817e+09,3.759e+09,-5.86e+08,1.199e+10,1.199e+10,2.3644e+10,9.5e+08,1.79e+08,-2.2e+07,-5.32e+08,5.75e+08,-2.7e+08,2.58e+08,0,-1.2e+07,-3e+08,-7e+06,-6.46e+08,-4.5e+07,-9.98e+08,-4.35e+08,-4.35e+08,4e+07,-3.95e+08,1.285e+09,3.814e+09,6.05e+08,0.43682,0.12194,0.10474,0.07923,0.04017,0.63684,2.67371,0.97198,0.16129,0.57959,0.56652,5.53352,7.31499,0.3691,0.18303,0.0697,0.03374,0.31579,-1.32685,-1.54159
"34","2018_Q3",77.4134920634921,"Up",8.554e+09,-4.876e+09,3.678e+09,-2.768e+09,-2.768e+09,9.1e+08,-3.1e+07,-1.3e+07,-1.8e+07,8.79e+08,8.79e+08,-1.12e+08,7.67e+08,7.67e+08,7.67e+08,7.67e+08,6.389e+09,4.304e+09,2.085e+09,3.613e+09,3.613e+09,5.326e+09,1.254e+09,1.254e+09,1.6582e+10,4.117e+09,3.356e+09,2.82e+08,1.39e+08,2.935e+09,7.473e+09,2.4055e+10,5.511e+09,2.141e+09,9.2e+07,3.278e+09,1.239e+09,1.229e+09,1e+07,6.75e+09,3.472e+09,2.075e+09,2.075e+09,5.547e+09,1.2297e+10,9.041e+09,3.301e+09,-5.87e+08,1.1755e+10,1.1755e+10,2.4052e+10,7.67e+08,1.87e+08,-1.5e+07,3.84e+08,1.323e+09,-2.27e+08,1.3e+07,1.86264514923096e-09,-2.14e+08,-2.95e+08,-7e+06,-8.1e+08,8.96e+08,-2.16e+08,8.93e+08,8.93e+08,-2000000.00000001,8.91e+08,1.097e+09,4.711e+09,1.366e+09,0.42997,0.10638,0.08967,0.06525,0.03189,1.78096,2.45659,1.04611,0.19584,0.47142,0.4618,5.25753,7.22495,0.83958,0.18132,0.05727,0.07366,0.38462,-1.52963,-1.84396
"35","2018_Q4",72.2893650793651,"Down",8.984e+09,-5.046e+09,3.938e+09,-2.767e+09,-2.767e+09,1.171e+09,-1.2e+07,-1.3e+07,1e+06,1.159e+09,1.159e+09,-2.08e+09,-9.21e+08,-9.21e+08,-9.21e+08,-9.21e+08,4.751e+09,3.662e+09,1.089e+09,3.792e+09,3.792e+09,5.366e+09,1.446e+09,1.446e+09,1.5355e+10,4.298e+09,2.899e+09,2.82e+08,1.39e+08,2.478e+09,7.197e+09,2.2552e+10,5.766e+09,1.961e+09,7.8e+07,3.727e+09,1.7e+07,1.1e+07,6e+06,5.783e+09,3.469e+09,3.518e+09,3.518e+09,6.987e+09,1.277e+10,9.325e+09,1.078e+09,-6.24e+08,9.779e+09,9.779e+09,2.2549e+10,-9.21e+08,1.85e+08,6.52e+08,8.71e+08,7.87e+08,-2.31e+08,9.83e+08,0,7.52e+08,-3.25e+08,-6e+06,-6.84e+08,-1.219e+09,-2.234e+09,-6.95e+08,-6.95e+08,5.3e+07,-6.42e+08,1.356e+09,3.486e+09,4.076e+09,0.43833,0.13034,-0.10252,-0.09418,-0.04084,-4.42562,2.6552,1.30586,0.15458,-0.56729,-0.56729,5.53372,6.02341,2.51063,0.20018,-0.03551,0.24282,-0.35288,-0.93289,-1.08027
"36","2019_Q1",79.95,"Up",9.789e+09,-5.411e+09,4.378e+09,-3.12e+09,-3.12e+09,1.258e+09,-4.3e+07,-1.2e+07,-3.1e+07,1.215e+09,1.215e+09,-7.8e+07,1.137e+09,1.137e+09,1.137e+09,1.137e+09,5.245e+09,4.249e+09,9.96e+08,3.498e+09,3.498e+09,5.261e+09,1.13e+09,1.13e+09,1.5134e+10,4.454e+09,2.948e+09,2.85e+08,1.54e+08,2.509e+09,7.402e+09,2.2536e+10,5.698e+09,2.279e+09,1.5e+08,3.269e+09,3.42e+08,3.36e+08,6e+06,6.04e+09,3.468e+09,3.216e+09,3.216e+09,6.684e+09,1.2724e+10,6.384e+09,3.517e+09,-92000000.0000001,9.809e+09,9.809e+09,2.2533e+10,1.137e+09,1.96e+08,1.78e+08,7.59e+08,2.27e+09,-2.97e+08,7.2e+07,-2.5e+07,-2.5e+08,-3.23e+08,-9e+06,-1.381e+09,3.26e+08,-1.387e+09,6.33e+08,6.33e+08,-4.6e+07,5.87e+08,1.454e+09,3.81e+09,1.994e+09,0.44724,0.12851,0.11615,0.11591,0.05045,1.75374,2.50563,1.29718,0.16906,0.70815,0.67877,6.09679,6.10924,1.2419,0.20117,0.08671,0.11842,0.28408,-0.98693,-1.1407
"37","2019_Q2",81.768253968254,"Up",9.948e+09,-5.551e+09,4.397e+09,-3.063e+09,-3.063e+09,1.334e+09,-6.4e+07,-1.1e+07,-5.3e+07,1.27e+09,1.27e+09,-1.78e+08,1.092e+09,1.092e+09,1.092e+09,1.092e+09,4.269e+09,3.282e+09,9.87e+08,4.33e+09,4.33e+09,5.227e+09,1.675e+09,1.675e+09,1.5501e+10,4.487e+09,2.495e+09,2.84e+08,1.54e+08,2.057e+09,6.982e+09,2.2483e+10,6.689e+09,2.333e+09,1.82e+08,4.174e+09,1.9e+07,1.3e+07,6e+06,6.708e+09,3.467e+09,3.316e+09,3.316e+09,6.783e+09,1.3491e+10,6.525e+09,2.494e+09,-3e+07,8.989e+09,8.989e+09,2.248e+10,1.092e+09,1.78e+08,2.28e+08,-1.97e+08,1.301e+09,-3.39e+08,6e+06,-1363327090.17647,-3.33e+08,-3.2e+08,-7e+06,-1.173e+09,-3.32e+08,-1.832e+09,-8.64e+08,-8.64e+08,-1.03e+08,-9.67e+08,1.512e+09,3.486e+09,1.154e+09,0.442,0.1341,0.10977,0.12148,0.04857,1.05678,2.31082,1.50083,0.15505,0.68507,0.66814,6.2409,5.63927,0.72396,0.20075,0.0894,0.07307,0.29304,-0.51786,-0.58696
"38","2019_Q3",83.55125,"Up",9.374e+09,-5.269e+09,4.105e+09,-3.142e+09,-3.142e+09,9.63e+08,3.4e+07,-1.4e+07,4.8e+07,9.97e+08,9.97e+08,-1.5e+08,8.47e+08,8.47e+08,8.47e+08,8.47e+08,4.041e+09,3.423e+09,6.18e+08,4.346e+09,4.346e+09,5.388e+09,1.791e+09,1.791e+09,1.5566e+10,4.588e+09,2.523e+09,2.84e+08,1.54e+08,2.085e+09,7.111e+09,2.2677e+10,7.263e+09,2.574e+09,2.11e+08,4.478e+09,1.5e+07,9e+06,6e+06,7.278e+09,3.466e+09,3.204e+09,3.204e+09,6.67e+09,1.3948e+10,6.707e+09,1.81e+09,2.09e+08,8.726e+09,8.726e+09,2.2674e+10,8.47e+08,1.71e+08,1.36e+08,3.7e+08,1.524e+09,-2.87e+08,3.75e+08,-3239534122.74545,87999999.9999999,-3.18e+08,-1e+07,-1.124e+09,-6e+06,-1.458e+09,1.54e+08,1.54e+08,-1.3e+07,1.41e+08,1.134e+09,3.481e+09,1.367e+09,0.43791,0.10273,0.09036,0.09707,0.03735,1.61393,2.13877,1.59844,0.1535,0.5356,0.52261,5.92766,5.5179,0.86442,0.20109,0.07558,0.08869,0.37544,-0.49383,-0.58152
"39","2019_Q4",92.09359375,"Up",9.611e+09,-5.272e+09,4.339e+09,-3.091e+09,-3.091e+09,1.248e+09,4.3e+07,-1.2e+07,5.5e+07,1.291e+09,1.291e+09,-1.9e+08,1.101e+09,1.101e+09,1.101e+09,1.101e+09,4.046e+09,3.695e+09,3.51e+08,4.549e+09,4.549e+09,5.415e+09,1.786e+09,1.786e+09,1.5796e+10,4.688e+09,2.437e+09,2.83e+08,1.54e+08,2e+09,7.125e+09,2.2921e+10,7.259e+09,2.307e+09,2.14e+08,4.738e+09,2.2e+07,1.6e+07,6e+06,7.281e+09,3.465e+09,3.214e+09,3.214e+09,6.679e+09,1.396e+10,6.91e+09,1.851e+09,1.97e+08,8.958e+09,8.958e+09,2.2918e+10,1.101e+09,1.78e+08,1.56e+08,-3.67e+08,1.068e+09,-2.15e+08,3.39e+08,-4235224093.9417,1.24e+08,-3.48e+08,-9e+06,-6.21e+08,1e+06,-9.77e+08,2.15e+08,2.15e+08,5.7e+07,2.72e+08,1.426e+09,3.487e+09,1.034e+09,0.45146,0.12985,0.11456,0.12291,0.04803,0.93915,2.16948,1.55838,0.15213,0.69994,0.68411,6.10998,5.69485,0.65734,0.22123,0.09252,0.06602,0.31608,-0.39201,-0.44792
"40","2020_Q1",91.1148387096774,"Down",1.0184e+10,-5.551e+09,4.633e+09,-3.406e+09,-3.406e+09,1.227e+09,1.6e+07,-1.2e+07,2.8e+07,1.243e+09,1.243e+09,-2.54e+08,9.89e+08,9.89e+08,9.89e+08,9.89e+08,4.663e+09,4.466e+09,1.97e+08,4.272e+09,4.272e+09,5.622e+09,1.968e+09,1.968e+09,1.6525e+10,4.744e+09,2.448e+09,2.83e+08,1.54e+08,2.011e+09,7.192e+09,2.3717e+10,7.851e+09,2.612e+09,2.29e+08,5.01e+09,1.5e+07,8999999.99999999,6e+06,7.866e+09,3.464e+09,3.347e+09,3.347e+09,6.811e+09,1.4677e+10,7.163e+09,1.643e+09,2.31e+08,9.037e+09,9.037e+09,2.3714e+10,9.89e+08,1.78e+08,8.7e+07,7.56e+08,2.01e+09,-2.78e+08,3.067e+09,-2.932e+09,-1.43e+08,-3.46e+08,-3.05e+08,-6.68e+08,2.93e+08,-1.026e+09,8.41e+08,8.41e+08,-7e+07,7.71e+08,1.405e+09,3.479e+09,2.137e+09,0.45493,0.12048,0.09711,0.10944,0.0417,2.16077,2.10081,1.6241,0.14669,0.62978,0.61463,6.48497,5.75458,1.3608,0.22033,0.08414,0.13469,0.34985,-0.8427,-0.96496
"41","2020_Q2",90.6526984126984,"Down",1.066e+10,-5.789e+09,4.871e+09,-3.328e+09,-3.328e+09,1.543e+09,1.8e+07,-1.5e+07,3.3e+07,1.561e+09,1.561e+09,-1.94e+08,1.367e+09,1.367e+09,1.367e+09,1.367e+09,3.644e+09,3.446e+09,1.98e+08,4.656e+09,4.656e+09,5.835e+09,2.093e+09,2.093e+09,1.6228e+10,4.615e+09,5.406e+09,2.79e+08,2.24e+08,2.071e+09,1.0021e+10,2.6249e+10,7.387e+09,2.716e+09,2.16e+08,4.455e+09,2.56e+08,2.5e+08,6e+06,8.07e+09,3.463e+09,5.516e+09,2.841e+09,8.979e+09,1.7049e+10,7.296e+09,1.721e+09,1.8e+08,9.197e+09,9.197e+09,2.6246e+10,1.367e+09,1.69e+08,9.3e+07,-1.235e+09,3.94e+08,-2.84e+08,4.5e+07,-1.09e+08,-3.48e+08,-3.45e+08,-2e+06,-8.88e+08,2.25e+08,-1.01e+09,-9.64e+08,-9.64e+08,-5.6e+07,-1.02e+09,1.712e+09,3.719e+09,3.87e+08,0.45694,0.14475,0.12824,0.14864,0.05208,0.2831,2.0109,1.85376,0.14168,0.87494,0.85571,6.82284,5.88646,0.2477,0.22081,0.09287,0.02099,0.25238,0.04381,0.04861
"42","2020_Q3",105.68953125,"Up",1.0326e+10,-5.782e+09,4.544e+09,-3.324e+09,-3.324e+09,1.22e+09,2.9e+07,-1.2e+07,4.1e+07,1.249e+09,1.249e+09,-1.34e+08,1.115e+09,1.115e+09,1.115e+09,1.115e+09,3.502e+09,3.07e+09,4.32e+08,4.792e+09,4.792e+09,6.199e+09,1.876e+09,1.876e+09,1.6369e+10,4.668e+09,5.565e+09,2.77e+08,2.24e+08,2.182e+09,1.0233e+10,2.6602e+10,7.527e+09,2.627e+09,2.28e+08,4.672e+09,3.06e+08,3e+08,6e+06,8.264e+09,3.462e+09,5.525e+09,2.802e+09,8.987e+09,1.7251e+10,7.719e+09,1.577e+09,5.2e+07,9.348e+09,9.348e+09,2.6599e+10,1.115e+09,1.74e+08,-1.2e+07,-3.65e+08,9.12e+08,-2.38e+08,9.55e+08,-1.157e+09,-4.4e+08,-3.44e+08,2.9e+08,-5.5e+08,-2.54e+08,-8.58e+08,-3.86e+08,-3.86e+08,1e+07,-3.76e+08,1.394e+09,3.768e+09,9.25e+08,0.44005,0.11815,0.10798,0.11928,0.04191,0.8296,1.98076,1.84542,0.14164,0.71447,0.69928,6.61669,5.99,0.59272,0.22043,0.07826,0.04961,0.30852,0.19082,0.21803
"43","2020_Q4",130.68953125,"Up",1.0104e+10,-5.631e+09,4.473e+09,-3.283e+09,-3.283e+09,1.19e+09,-3.09e+08,-1.2e+07,-2.97e+08,8.81e+08,8.81e+08,-3.4e+07,8.47e+08,8.47e+08,8.47e+08,8.47e+08,3.182e+09,2.863e+09,3.19e+08,4.473e+09,4.473e+09,5.807e+09,2.282e+09,2.282e+09,1.5744e+10,4.783e+09,5.693e+09,2.75e+08,2.23e+08,2.288e+09,1.0476e+10,2.622e+10,7.845e+09,2.221e+09,2.68e+08,5.356e+09,1.3e+07,9e+06,4e+06,8.28e+09,3.463e+09,5.432e+09,2.674e+09,8.895e+09,1.7175e+10,7.971e+09,1.128e+09,-5.7e+07,9.042e+09,9.042e+09,2.6217e+10,8.47e+08,1.7e+08,1.84e+08,-2.1e+07,1.18e+09,-2.75e+08,7.84e+08,-4.79e+08,3e+07,-3.82e+08,-2.93e+08,-7.49e+08,-1.8e+07,-1.442e+09,-2.32e+08,-2.32e+08,2.5e+07,-2.07e+08,1.36e+09,3.476e+09,1.098e+09,0.4427,0.11778,0.08383,0.09367,0.0323,1.29634,1.90145,1.89947,0.13257,0.5442,0.5321,6.4919,5.80956,0.70547,0.24544,0.06846,0.06116,0.451,0.21618,0.24706
"44","2021_Q1",137.428360655738,"Up",6.313e+09,-3.96e+09,2.353e+09,-3.191e+09,-3.191e+09,-8.38e+08,34000000.0000001,-5e+07,8.4e+07,-8.04e+08,-8.04e+08,1.4e+07,-7.9e+08,-7.9e+08,-7.9e+08,-7.9e+08,8.787e+09,8.348e+09,4.39e+08,2.749e+09,2.749e+09,7.367e+09,1.653e+09,1.653e+09,2.0556e+10,4.866e+09,5.92e+09,2.74e+08,2.23e+08,2.326e+09,1.0786e+10,3.1342e+10,7.588e+09,2.248e+09,1.56e+08,5.184e+09,2.51e+08,2.48e+08,3e+06,8.284e+09,9.406e+09,5.597e+09,2.684e+09,1.5003e+10,2.3287e+10,8.302e+09,-1.91e+08,-5.6e+07,8.055e+09,8.055e+09,3.1342e+10,-7.9e+08,2.08e+08,2.05e+08,3.76e+08,-1e+06,-2.89e+08,5.95e+08,-5.76e+08,-2.7e+08,-3.81e+08,6.182e+09,5e+06,-4999999.99999997,5.801e+09,5.53e+09,5.53e+09,-4.5e+07,5.485e+09,-6.3e+08,9.657e+09,-5.57e+08,0.37272,-0.13274,-0.12514,-0.09808,-0.02521,0.70506,2.48141,2.891,0.30812,-0.50778,-0.49918,4.05772,5.1774,-0.35802,0.24489,-0.01755,-0.0239,-0.48228,-1.38095,-1.03819
"45","2021_Q2",133.297936507936,"Down",1.0594e+10,-5.853e+09,4.741e+09,-2.975e+09,-2.975e+09,1.766e+09,-5.1e+07,-6.5e+07,1.4e+07,1.715e+09,1.715e+09,-1.97e+08,1.518e+09,1.518e+09,1.518e+09,1.518e+09,9.48e+09,8.148e+09,1.332e+09,3.813e+09,3.813e+09,6.705e+09,1.939e+09,1.939e+09,2.1937e+10,4.969e+09,6.352e+09,2.72e+08,2.23e+08,2.699e+09,1.1321e+10,3.3258e+10,8.022e+09,1.983e+09,2.97e+08,5.742e+09,1.38e+08,1.37e+08,1e+06,8.619e+09,9.408e+09,6.007e+09,3.046e+09,1.5415e+10,2.4034e+10,8.698e+09,9.27e+08,-4.01e+08,9.224e+09,9.224e+09,3.3258e+10,1.518e+09,1.76e+08,-8.8e+07,-7.24e+08,8.82e+08,-1.76e+08,3.84e+08,-1.097e+09,-8.89e+08,-3.84e+08,-1.13e+08,3.02e+08,-5.3e+07,-2.48e+08,-2.55e+08,-2.55e+08,5.5e+07,-2e+08,1.942e+09,9.546e+09,1.239e+09,0.44752,0.1667,0.14329,0.16457,0.04564,0.81621,2.54519,2.60559,0.28703,0.97196,0.95274,6.7832,5.90601,0.79332,0.24587,0.07676,0.05001,0.25296,0.03399,0.03737
"46","2021_Q3",161.80296875,"Up",1.1243e+10,-6.396e+09,4.847e+09,-3.267e+09,-3.267e+09,1.58e+09,-1.24e+08,-7e+07,-5.4e+07,1.456e+09,1.456e+09,-2.05e+08,1.251e+09,1.251e+09,1.251e+09,1.251e+09,1.1812e+10,8.635e+09,3.177e+09,3.713e+09,3.713e+09,6.09e+09,1.992e+09,1.992e+09,2.3607e+10,4.959e+09,6.27e+09,2.7e+08,2.23e+08,2.691e+09,1.1229e+10,3.4836e+10,8.372e+09,2.154e+09,1.88e+08,6.03e+09,4.1e+07,4.1e+07,-4367171.17735661,8.871e+09,9.41e+09,5.915e+09,3.019e+09,1.5325e+10,2.4196e+10,9.339e+09,1.73e+09,-4.29e+08,1.064e+10,1.064e+10,3.4836e+10,1.251e+09,1.85e+08,2.41e+08,7.96e+08,2.473e+09,-1.68e+08,5.3e+08,-2.35e+09,-1.988e+09,-3.85e+08,-96999999.999999,4.79e+08,-4.1e+07,-4.4e+07,4.41e+08,4.41e+08,4.6e+07,4.87e+08,1.765e+09,9.451e+09,2.598e+09,0.43111,0.14053,0.11127,0.11758,0.03591,2.07674,2.66114,2.27406,0.2713,0.7953,0.77678,7.14749,6.76414,1.65162,0.24476,0.06291,0.0999,0.30775,-1.33768,-1.4943
"47","2021_Q4",163.93328125,"Up",1.0357e+10,-5.638e+09,4.719e+09,-3.041e+09,-3.041e+09,1.678e+09,-4.2e+07,-6.4e+07,2.2e+07,1.636e+09,1.636e+09,-1.87e+08,1.449e+09,1.449e+09,1.449e+09,1.449e+09,1.2528e+10,8.516e+09,4.012e+09,3.669e+09,3.669e+09,6.693e+09,1.81e+09,1.81e+09,2.47e+10,4.958e+09,6.527e+09,2.71e+08,2.42e+08,2.865e+09,1.1485e+10,3.6185e+10,8.42e+09,2.257e+09,2.56e+08,5.907e+09,4e+06,4e+06,-15101513.5320698,8.894e+09,9.412e+09,5.948e+09,2.984e+09,1.536e+10,2.4254e+10,9.648e+09,2.729e+09,-4.46e+08,1.1931e+10,1.1931e+10,3.6185e+10,1.449e+09,1.82e+08,-7.4e+07,-2.67e+08,1.29e+09,-1.77e+08,6.74e+08,-1.607e+09,-1.11e+09,-4.34e+08,-3.7e+07,1.88e+08,-3.7e+07,-3.2e+08,-1.4e+08,-1.4e+08,2.1e+07,-1.19e+08,1.86e+09,9.416e+09,1.603e+09,0.45563,0.16202,0.13991,0.12145,0.04004,1.10628,2.77715,2.03286,0.26022,0.91831,0.89549,6.56379,7.56132,1.01591,0.27505,0.06899,0.05873,0.29952,-1.67312,-1.85459
"48","2022_Q1",139.943225806452,"Down",1.2344e+10,-6.689e+09,5.655e+09,-3.742e+09,-3.742e+09,1.913e+09,-5.9e+07,-6.3e+07,3999999.99999999,1.854e+09,1.854e+09,-3.45e+08,1.509e+09,1.509e+09,1.509e+09,1.509e+09,1.3476e+10,9.889e+09,3.587e+09,4.463e+09,4.463e+09,6.854e+09,1.498e+09,1.498e+09,2.6291e+10,4.904e+09,6.545e+09,2.69e+08,2.42e+08,2.921e+09,1.1449e+10,3.774e+10,9.205e+09,2.836e+09,3.06e+08,6.063e+09,2e+06,2e+06,-33203027.0641397,9.674e+09,9.413e+09,5.886e+09,2.955e+09,1.5299e+10,2.4973e+10,9.968e+09,3.179e+09,-3.8e+08,1.2767e+10,1.2767e+10,3.774e+10,1.509e+09,2.01e+08,6.2e+07,2.4e+08,2.012e+09,-1.74e+08,8.61e+08,-5e+08,1.87e+08,-4.35e+08,-1999999.99999994,-4.05e+08,-5e+06,-8.47e+08,1.352e+09,1.352e+09,2.1e+07,1.373e+09,2.114e+09,9.415e+09,2.525e+09,0.45812,0.15497,0.12225,0.1182,0.03998,1.67329,2.7177,1.95606,0.24947,0.95549,0.93396,7.81612,8.08396,1.59881,0.27544,0.06926,0.08996,0.28827,-1.921,-2.12284
"49","2022_Q2",118.053225806452,"Down",1.2248e+10,-6.552e+09,5.696e+09,-3.572e+09,-3.572e+09,2.124e+09,-1.8e+07,-5.7e+07,3.9e+07,2.106e+09,2.106e+09,-2.32e+08,1.874e+09,1.874e+09,1.874e+09,1.874e+09,1.3695e+10,1.072e+10,2.975e+09,4.341e+09,4.341e+09,6.699e+09,1.655e+09,1.655e+09,2.639e+10,4.869e+09,6.658e+09,2.67e+08,2.42e+08,3.071e+09,1.1527e+10,3.7917e+10,7.792e+09,2.135e+09,3.61e+08,5.296e+09,1.5e+07,1.5e+07,-60671711.7735661,8.269e+09,9.415e+09,5.89e+09,2.992e+09,1.5305e+10,2.3574e+10,1.0524e+10,3.886e+09,-6.7e+07,1.4343e+10,1.4343e+10,3.7917e+10,1.874e+09,1.77e+08,2.5e+07,-9.65e+08,1.111e+09,-1.84e+08,1.037e+09,-3.52e+08,5.01e+08,-4.35e+08,1.3e+07,-2.79e+08,-4.2e+07,-7.43e+08,8.69e+08,8.69e+08,-3.8e+07,8.31e+08,2.301e+09,9.43e+09,1.384e+09,0.46506,0.17342,0.153,0.13066,0.04942,0.73853,3.19144,1.64359,0.2487,1.19135,1.16441,7.7864,9.11825,0.87985,0.27654,0.07784,0.04666,0.23212,-1.85354,-2.008
"50","2022_Q3",110.32,"Down",1.1357e+10,-6.144e+09,5.213e+09,-3.759e+09,-3.759e+09,1.454e+09,4.7e+07,-5.5e+07,1.02e+08,1.501e+09,1.501e+09,-1.64e+08,1.337e+09,1.337e+09,1.337e+09,1.337e+09,1.5103e+10,1.0751e+10,4.352e+09,3.746e+09,3.746e+09,6.506e+09,1.822e+09,1.822e+09,2.7177e+10,4.812e+09,6.928e+09,2.65e+08,2.42e+08,3.404e+09,1.174e+10,3.8917e+10,8.386e+09,2.795e+09,1.6e+08,5.431e+09,9e+06,9e+06,-99507567.6603492,8.857e+09,9.417e+09,5.719e+09,2.884e+09,1.5136e+10,2.3993e+10,1.0993e+10,3.786e+09,1.45e+08,1.4924e+10,1.4924e+10,3.8917e+10,1.337e+09,1.81e+08,1.1e+08,1.129e+09,2.757e+09,-1.78e+08,9.95e+08,-2.423e+09,-1.606e+09,-4.38e+08,-3.72529029846191e-09,-5.98e+08,-6.7e+07,-1.103e+09,4.8e+07,4.8e+07,-1.7e+07,3.1e+07,1.635e+09,9.426e+09,2.75e+09,0.45901,0.12803,0.11772,0.08959,0.03436,2.05684,3.06842,1.60768,0.24221,0.84674,0.83007,7.19253,9.45155,1.74161,0.27739,0.05903,0.09146,0.3276,-3.47217,-3.9044
