"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"32","2018_Q1",133.527540983607,"Down",2.909e+09,-1.853e+09,1.056e+09,-3.55e+08,7.01e+08,-1.95e+08,-6.4e+07,-1.31e+08,5.06e+08,4.06e+08,-3.89e+08,1.7e+07,-1.2e+07,-7e+06,-1.9e+07,-1.9e+07,1.285e+09,7.56e+08,5.29e+08,2.478e+09,2.478e+09,9.914e+09,9.914e+09,1.3677e+10,5.64e+08,5.64e+08,1.1847e+10,1.733e+09,8.358e+09,1.367e+09,1.2411e+10,2.6088e+10,1.1586e+10,9.625e+09,2.99e+08,8.7e+08,8.7e+08,1.2755e+10,5.667e+09,3.018e+09,1.789e+09,1.102e+09,8.685e+09,2.144e+10,4.583e+09,6.5e+07,4.648e+09,2.6088e+10,1.7e+07,4.48e+08,1.05e+08,1.9e+08,1.53e+08,-84999999.9999999,-84999999.9999999,3.81e+08,-5.8e+07,-5.8e+07,-8.05e+08,1.128e+09,2.65e+08,-9e+07,-5.09e+08,-3e+06,-3e+06,-1.5e+07,-6.17e+08,2.9e+07,2.9e+07,-2.2e+07,7e+06,5.966e+09,0.36301,0.24098,-0.00652999999999999,-0.00409,-0.000730000000000002,1.07229,4.61274,0.22869,-0.07564,-0.0741899999999996,11.58041,18.24443,0.35828,6,0.00521,-4.73684,6.6776
"33","2018_Q2",134.67015625,"Up",3.09e+09,-1.824e+09,1.266e+09,-3.57e+08,9.09e+08,-8.1e+07,-6.6e+07,-1.5e+07,8.28e+08,7.18e+08,-1.14e+08,6.04e+08,6.1e+08,-1.6e+07,5.94e+08,5.94e+08,7.15e+08,5.97e+08,1.18e+08,3.053e+09,3.053e+09,1.1347e+10,1.1347e+10,1.5115e+10,5.78e+08,5.78e+08,1.2154e+10,1.662e+09,8.55e+09,1.646e+09,1.2732e+10,2.7847e+10,1.2283e+10,1.0738e+10,4.03e+08,9.72e+08,9.72e+08,1.3658e+10,5.697e+09,3.107e+09,1.759e+09,1.105e+09,8.804e+09,2.2462e+10,5.301e+09,8.4e+07,5.385e+09,2.7847e+10,6.04e+08,2.53e+08,7.7e+07,2.6e+07,1.5e+08,-7.17e+08,-7.17e+08,1.4e+08,-4.5e+07,-4.5e+07,-3e+07,4.21e+08,3.46e+08,-8.9e+07,-4.65e+08,-1.09e+08,-1.09e+08,0,-6.63e+08,-1.77e+08,-1.77e+08,1.8e+07,-1.59e+08,6.1e+09,0.40971,0.29417,0.19223,0.11031,0.02133,1.10668,4.17122,0.21905,2.39034,2.3741,12.43461,21.33199,0.35815,7,0.04681,0.14983,5.92409
"34","2018_Q3",140.425714285714,"Up",2.561e+09,-1.713e+09,8.48e+08,-5.82e+08,2.66e+08,-7.1e+07,-6.8e+07,-3e+06,1.95e+08,-8.7e+07,1.44e+08,56999999.9999999,57999999.9999999,-1e+07,4.8e+07,4.8e+07,6.6e+08,4.87e+08,1.73e+08,2.992e+09,2.992e+09,1.1208e+10,1.1208e+10,1.486e+10,5.75e+08,5.75e+08,1.1782e+10,1.363e+09,8.291e+09,1.676e+09,1.2357e+10,2.7217e+10,1.1923e+10,1.0476e+10,7.99e+08,1.121e+09,1.121e+09,1.3843e+10,5.659e+09,3.097e+09,1.715e+09,1.088e+09,8.756e+09,2.2599e+10,4.545e+09,7.3e+07,4.618e+09,2.7217e+10,5.7e+07,2.8e+08,7e+07,-1.19e+08,3.29e+08,-6.4e+07,-64000000.0000001,2.73e+08,-6.6e+07,-6.6e+07,-1.9e+07,-8.2e+07,-1.67e+08,-9.8e+07,19000000.0000001,-4.1e+07,-4.1e+07,-1.5e+07,-1.35e+08,-2.9e+07,-2.9e+07,-8.1e+07,-1.1e+08,6.458e+09,0.33112,0.10387,0.01874,0.01039,0.00176,1.07347,4.89368,0.23728,0.19512,0.19402,10.41057,18.47561,0.39837,6,0.0103,2.04167,21.79699
"35","2018_Q4",149.67126984127,"Up",2.349e+09,-1.611e+09,7.38e+08,-3.76e+08,3.62e+08,-6.8e+07,-6.9e+07,1e+06,2.94e+08,1.94e+08,-3.9e+07,1.55e+08,1.53e+08,-6e+06,1.47e+08,1.47e+08,6.51e+08,4.84e+08,1.67e+08,2.656e+09,2.656e+09,1.0041e+10,1.0041e+10,1.3348e+10,5.94e+08,5.94e+08,1.166e+10,1.26e+09,8.282e+09,1.642e+09,1.2254e+10,2.5602e+10,1.0914e+10,9.314e+09,7.41e+08,9.88e+08,9.88e+08,1.2643e+10,5.665e+09,2.966e+09,1.603e+09,1.09e+09,8.631e+09,2.1274e+10,4.262e+09,6.6e+07,4.328e+09,2.5602e+10,1.55e+08,1.75e+08,6.7e+07,-3.5e+07,1.43e+08,2.32e+08,2.32e+08,5.62e+08,-6.8e+07,-6.8e+07,-9e+06,-1.8e+07,-9.5e+07,-9.8e+07,-3.64e+08,1.1e+07,1.1e+07,-6e+06,-4.57e+08,1e+07,1e+07,-1.3e+07,-3e+06,6.406e+09,0.31418,0.15411,0.06258,0.03396,0.00574,1.05576,4.91543,0.25021,0.60246,0.59853,9.62705,17.46721,0.40164,5,0.01788,0.66667,15.89779
"36","2019_Q1",156.674262295082,"Up",2.77e+09,-1.809e+09,9.61e+08,-3.61e+08,6e+08,-7.8e+07,-7e+07,-8e+06,5.22e+08,4.21e+08,-1.37e+08,2.84e+08,3.53e+08,-8e+06,3.45e+08,3.45e+08,8.28e+08,6.56e+08,1.72e+08,2.76e+09,2.76e+09,1.0784e+10,1.0784e+10,1.4372e+10,5.88e+08,5.88e+08,1.1462e+10,1.149e+09,8.171e+09,1.581e+09,1.205e+10,2.6422e+10,1.2109e+10,1.943e+09,2.51e+08,9.36e+08,9.36e+08,1.3296e+10,5.993e+09,2.914e+09,1.636e+09,1.097e+09,8.907e+09,2.2203e+10,4.151e+09,6.8e+07,4.219e+09,2.6422e+10,2.84e+08,-3.16e+08,1.24e+08,-9.7e+07,-3.43e+08,5.67e+08,5.67e+08,7.11e+08,-6.1e+07,-6.1e+07,-1e+07,-5.3e+07,-5.3e+07,-9.7e+07,-4.72e+08,1.39e+08,1.39e+08,-1.4e+07,-4.44e+08,2.14e+08,2.14e+08,-4.2e+07,1.72e+08,6.244e+09,0.34693,0.21661,0.12455,0.08177,0.01306,1.08093,5.26262,0.23632,1.42385,1.40931,11.43211,17.13165,0.40033,6,0.03304,0.28116,9.02667
"37","2019_Q2",175.540158730159,"Up",3.143e+09,-1.788e+09,1.355e+09,-3.86e+08,9.69e+08,-7e+07,-7e+07,0,8.99e+08,8.02e+08,-1.26e+08,6.76e+08,6.76e+08,-1.7e+07,6.59e+08,6.59e+08,7.34e+08,6e+08,1.34e+08,3.242e+09,3.242e+09,1.1943e+10,1.1943e+10,1.5919e+10,6.06e+08,6.06e+08,1.261e+10,1.077e+09,8.219e+09,2.726e+09,1.3216e+10,2.9135e+10,1.2891e+10,1.479e+09,4.26e+08,1.22e+09,1.22e+09,1.4537e+10,5.99e+09,3.746e+09,1.59e+09,1.951e+09,9.736e+09,2.4273e+10,4.775e+09,8.7e+07,4.862e+09,2.9135e+10,6.76e+08,1.97e+08,8.9e+07,-2.5e+07,1.33e+08,-7.99e+08,-7.99e+08,7.4e+07,-5.7e+07,-5.7e+07,-9e+06,3.9e+07,-2.7e+07,-9.6e+07,7.7e+07,-9.8e+07,-9.8e+07,-2.3e+07,-1.4e+08,-9.3e+07,-9.3e+07,3.7e+07,-5.6e+07,6.416e+09,0.43112,0.3083,0.20967,0.13554,0.02262,1.09507,4.99239,0.22022,2.72089,2.70414,12.97688,19.71511,0.39637,5,0.05025,0.14568,5.86378
"38","2019_Q3",187.34609375,"Up",2.606e+09,-1.712e+09,8.94e+08,-3.84e+08,5.1e+08,-7e+07,-7.6e+07,6e+06,4.4e+08,3.43e+08,-5.6e+07,2.87e+08,2.87e+08,-1e+07,2.77e+08,2.77e+08,8.16e+08,5.81e+08,2.35e+08,3.227e+09,3.227e+09,1.2702e+10,1.2702e+10,1.6745e+10,5.99e+08,5.99e+08,1.2463e+10,9.73e+08,8.198e+09,2.693e+09,1.3062e+10,2.9807e+10,1.344e+10,1.369e+09,8.44e+08,1.197e+09,1.197e+09,1.5481e+10,6.74e+09,3.673e+09,1.576e+09,1.886e+09,1.0413e+10,2.5894e+10,3.836e+09,7.7e+07,3.913e+09,2.9807e+10,2.87e+08,2.25e+08,9.1e+07,-7.45058059692383e-09,1.34e+08,-2.25e+08,-2.25e+08,2.87e+08,-4.9e+07,-4.9e+07,1e+06,-1.47e+08,-1.95e+08,-1.07e+08,98999999.9999999,-4.6e+07,-4.6e+07,-3.8e+07,-92000000.0000001,2.98023223876953e-08,2.98023223876953e-08,-1.9e+07,-1.9e+07,7.584e+09,0.34305,0.1957,0.10629,0.07079,0.00929,1.08165,6.61743,0.25444,1.15129,1.14133,10.83126,15.94347,0.44472,7,0.02531,0.38628,13.27059
"39","2019_Q4",192.68578125,"Up",2.379e+09,-1.564e+09,8.15e+08,-3.54e+08,4.61e+08,-7.5e+07,-7.7e+07,2e+06,3.86e+08,2.85e+08,-5.6e+07,2.29e+08,2.28e+08,-6e+06,2.22e+08,2.22e+08,7.79e+08,6.02e+08,1.77e+08,2.866e+09,2.866e+09,1.1672e+10,1.1672e+10,1.5317e+10,6.06e+08,6.06e+08,1.2244e+10,8.74e+08,8.071e+09,2.688e+09,1.285e+10,2.8167e+10,1.254e+10,1.499e+09,1.148e+09,1.163e+09,1.163e+09,1.4851e+10,6.12e+09,3.635e+09,1.551e+09,1.875e+09,9.755e+09,2.4606e+10,3.492e+09,6.9e+07,3.561e+09,2.8167e+10,2.27e+08,1.97e+08,7.2e+07,-1.9e+07,1.44e+08,3.76e+08,3.76e+08,8e+08,-6.1e+07,-6.1e+07,1.2e+07,4e+07,-9e+06,-1.04e+08,-6.23e+08,1.1e+07,1.1e+07,-2e+07,-7.36e+08,5.5e+07,5.5e+07,-3.6e+07,1.9e+07,7.268e+09,0.34258,0.19378,0.09332,0.06234,0.00788,1.03138,6.90986,0.25803,0.9371,0.92771,10.04221,14.7404,0.439,7,0.02254,0.46847,14.07592
"40","2020_Q1",199.656935483871,"Up",2.885e+09,-1.329e+09,1.556e+09,-9.35e+08,6.21e+08,-8.4e+07,-7.6e+07,-8e+06,5.37e+08,4.4e+08,-5.9e+07,3.81e+08,3.82e+08,-8e+06,3.74e+08,3.74e+08,9.28e+08,7.9e+08,1.38e+08,3.112e+09,3.112e+09,1.2436e+10,1.2436e+10,1.6476e+10,6.21e+08,6.21e+08,1.2308e+10,7.83e+08,8.165e+09,1.499e+09,1.2929e+10,2.9405e+10,1.939e+09,1.939e+09,7.12e+08,1.292e+10,1.292e+10,1.5571e+10,6.627e+09,3.758e+09,1.738e+09,1.821e+09,1.0385e+10,2.5956e+10,3.375e+09,7.4e+07,3.449e+09,2.9405e+10,3.83e+08,4.1e+07,6.5e+07,8e+06,-3.2e+07,78000000.0000001,7.8e+07,6.74e+08,-5.8e+07,-5.8e+07,9000000.00000001,1.03e+08,2000000.00000003,-1.03e+08,2.804e+09,-1.958e+09,2e+06,-2.2e+07,7.21e+08,1.397e+09,1.397e+09,8.1e+07,1.478e+09,7.339e+09,0.53934,0.21525,0.12964,0.10844,0.01272,1.05812,7.52566,0.24958,1.59352,1.58006,12.29229,14.38006,0.43886,6,0.03279,0.2754,10.32367
"41","2020_Q2",182.163174603175,"Down",3.219e+09,-1.706e+09,1.513e+09,-3.83e+08,1.13e+09,-5.3e+07,-8.1e+07,2.8e+07,1.077e+09,9.8e+08,-1.89e+08,7.91e+08,7.91e+08,-1.9e+07,7.72e+08,7.72e+08,8.6e+08,6.9e+08,1.7e+08,3.554e+09,3.554e+09,1.2931e+10,1.2931e+10,1.7345e+10,6.66e+08,6.66e+08,1.2271e+10,7.46e+08,8.293e+09,2.594e+09,1.2937e+10,3.0282e+10,1.395e+10,1.549e+09,1.884e+09,1.277e+09,1.277e+09,1.7111e+10,6.227e+09,3.684e+09,1.655e+09,1.84e+09,9.911e+09,2.7022e+10,3.169e+09,9.1e+07,3.26e+09,3.0282e+10,7.91e+08,1.42e+08,7.6e+07,-6e+06,7.2e+07,-6.36e+08,-6.36e+08,3.38e+08,-5.9e+07,-5.9e+07,-3.04e+08,-3.8e+07,-4.38e+08,-1.02e+08,7.19e+08,-5.75e+08,-1.12e+08,4e+07,8.2e+07,-1.8e+07,-1.8e+07,-8.2e+07,-1e+08,8.111e+09,0.47002,0.35104,0.23983,0.23681,0.02549,1.01368,8.28896,0.26785,3.31046,3.29211,13.8036,13.58919,0.43739,5,0.05805,0.13212,6.41681
"42","2020_Q3",195.65421875,"Up",2.497e+09,-1.542e+09,9.55e+08,-4.58e+08,4.97e+08,-9.8e+07,-8.9e+07,-9e+06,3.99e+08,4.96e+08,-8.5e+07,4.11e+08,4.11e+08,-1.3e+07,3.98e+08,3.98e+08,1.411e+09,7.57e+08,6.54e+08,3.314e+09,3.314e+09,1.4265e+10,1.4265e+10,1.899e+10,6.15e+08,6.15e+08,1.239e+10,6.99e+08,8.356e+09,2.681e+09,1.3005e+10,3.1995e+10,1.5282e+10,1.488e+09,7.82e+08,1.319e+09,1.319e+09,1.7383e+10,7.229e+09,3.688e+09,1.641e+09,1.847e+09,1.0917e+10,2.83e+10,3.601e+09,9.4e+07,3.695e+09,3.1995e+10,4.11e+08,1.13e+08,6.4e+07,-9e+06,5.8e+07,3.16e+08,3.16e+08,8.81e+08,-3e+07,-3e+07,-3.4e+07,-4.84e+08,-5.54e+08,-1.02e+08,-1.13e+08,-4.5e+07,-4.5e+07,-2.6e+07,-2.86e+08,4.1e+07,4.1e+07,25999999.9999999,6.7e+07,8.011e+09,0.38246,0.19904,0.15939,0.10771,0.01244,1.09245,7.659,0.25038,1.70962,1.70304,10.72595,15.46821,0.43814,8,0.03248,0.25628,13.27968
"43","2020_Q4",200.495625,"Up",2.385e+09,-1.564e+09,8.21e+08,-1.75e+08,6.46e+08,-7.7e+07,-7.7e+07,0,5.69e+08,3.64e+08,-8.2e+07,2.82e+08,2.82e+08,-7e+06,2.75e+08,2.75e+08,1.269e+09,8.21e+08,4.48e+08,2.906e+09,2.906e+09,1.4074e+10,1.4074e+10,1.8249e+10,6.09e+08,6.09e+08,1.2501e+10,6.65e+08,8.462e+09,2.719e+09,1.311e+10,3.1359e+10,1.5157e+10,1.608e+09,4.72e+08,1.241e+09,1.241e+09,1.687e+10,7.251e+09,3.618e+09,1.597e+09,1.798e+09,1.0869e+10,2.7739e+10,3.542e+09,7.8e+07,3.62e+09,3.1359e+10,2.82e+08,1.28e+08,6.7e+07,1.1e+07,5e+07,3.52e+08,3.52e+08,8.04e+08,-3e+07,-3e+07,0,2.1e+08,1.77e+08,-1.03e+08,-3.1e+08,-4.84e+08,1.6e+07,-4.5e+07,-9.42e+08,3.9e+07,3.9e+07,2.5e+07,6.4e+07,7.723e+09,0.34423,0.27086,0.1153,0.07597,0.00877,1.08174,7.66271,0.24628,1.1833,1.17773,10.26248,15.24096,0.4432,7,0.02527,0.37455,9.99071
"44","2021_Q1",216.705245901639,"Up",2.965e+09,-1.384e+09,1.581e+09,-8.27e+08,7.54e+08,-8.7e+07,-8.1e+07,-6e+06,6.67e+08,6.26e+08,-9.2e+07,5.34e+08,5.34e+08,-1e+07,5.24e+08,5.24e+08,1.192e+09,8.84e+08,3.08e+08,3.07e+09,3.07e+09,1.4422e+10,1.4422e+10,1.8684e+10,5.99e+08,5.99e+08,1.2831e+10,6.4e+08,8.666e+09,1.521e+09,1.343e+10,3.2114e+10,2.016e+09,2.016e+09,4.48e+08,1.4969e+10,1.4969e+10,1.7433e+10,7.281e+09,3.817e+09,1.763e+09,1.792e+09,1.1098e+10,2.8531e+10,3.495e+09,8.8e+07,3.583e+09,3.2114e+10,5.34e+08,1.61e+08,93442462.3089436,21167079.6845311,48305328.71961,2.2e+07,-83642157.3727001,7.6e+08,-2.2e+07,-28490770.1627156,-3e+07,1.75e+08,1.36e+08,-1.05e+08,2.91e+08,-6.15e+08,1.85e+08,-1.97e+08,-6.26e+08,2.7e+08,2.7e+08,3.28e+08,5.98e+08,7.729e+09,0.53322,0.2543,0.17673,0.14625,0.01632,1.07176,7.96288,0.24067,2.28621,2.27135,12.9363,15.24869,0.45812,6,0.04158,0.20038,8.66976
"45","2021_Q2",241.08,"Up",3.525e+09,-1.796e+09,1.729e+09,-4.44e+08,1.285e+09,-7.8e+07,-7.6e+07,-2e+06,1.207e+09,1.167e+09,-2.34e+08,9.33e+08,9.33e+08,-2e+07,9.13e+08,9.13e+08,9.93e+08,8.22e+08,1.71e+08,3.526e+09,3.526e+09,1.4386e+10,1.4386e+10,1.8905e+10,5.84e+08,5.84e+08,1.2686e+10,5.94e+08,8.587e+09,1.463e+09,1.327e+10,3.2175e+10,1.628e+09,1.628e+09,260806031.97168,1.5195e+10,1.5195e+10,1.6823e+10,7.263e+09,3.728e+09,1.681e+09,1.754e+09,1.0991e+10,2.7814e+10,4.26e+09,1.01e+08,4.361e+09,3.2175e+10,9.33e+08,1.9e+08,1.31e+08,1.9e+07,4e+07,-6.03e+08,-6.03e+08,5.61e+08,-2.9e+07,-2.9e+07,-6850846.83765009,1.38e+08,1.02e+08,-1.04e+08,-3.72e+08,-1.37e+08,-8.7e+07,-6.8e+07,-6.81e+08,-1.8e+07,-1.8e+07,-3.4e+07,-5.2e+07,7.263e+09,0.4905,0.36454,0.25901,0.20936,0.02838,1.12376,6.37789,0.22573,4.02026,4.00263,15.5218,18.75826,0.45795,7,0.06625,0.11391,4.87938
"46","2021_Q3",265.53609375,"Up",2.886e+09,-1.704e+09,1.182e+09,-4.74e+08,7.08e+08,-7.6e+07,-7.5e+07,-1e+06,6.32e+08,5.96e+08,-2.03e+08,3.93e+08,3.93e+08,-1.4e+07,3.79e+08,3.79e+08,1.38e+09,1.091e+09,2.89e+08,3.545e+09,3.545e+09,1.6351e+10,1.6351e+10,2.1276e+10,5.85e+08,5.85e+08,1.2719e+10,5.64e+08,8.659e+09,1.409e+09,1.3304e+10,3.458e+10,1.692e+09,1.692e+09,1.3e+07,1.7222e+10,1.7222e+10,1.8927e+10,7.272e+09,3.814e+09,1.644e+09,1.753e+09,1.1086e+10,3.0013e+10,4.462e+09,1.05e+08,4.567e+09,3.458e+10,3.93e+08,1.4e+08,165702379.245395,10877197.0050958,31799514.1587016,1.34e+08,-1122306722.25197,7.84e+08,-4.1e+07,-4.1e+07,9e+06,-1.16e+08,-1.29e+08,-1.15e+08,-1.5e+07,-2.95e+08,-5.3e+07,3.7e+08,-5.5e+07,6e+08,6e+08,6.3e+07,6.63e+08,7.285e+09,0.40956,0.24532,0.13132,0.08299,0.01096,1.12411,6.57171,0.21067,1.66887,1.66155,12.70806,19.64773,0.50638,8,0.03153,0.30343,8.3404
"47","2021_Q4",296.82296875,"Up",2.702e+09,-1.933e+09,7.69e+08,-1.534e+09,-7.65e+08,-6.7e+07,-7.7e+07,1e+07,-8.32e+08,-8.68e+08,-2.3e+07,-8.91e+08,-8.91e+08,-9e+06,-9e+08,-9e+08,9.19e+08,6.09e+08,3.1e+08,3.117e+09,3.117e+09,1.4704e+10,1.4704e+10,1.874e+10,5.41e+08,5.41e+08,1.2535e+10,5.29e+08,8.547e+09,1.348e+09,1.3076e+10,3.1816e+10,1.995e+09,1.995e+09,1.5e+08,1.5365e+10,1.5365e+10,1.751e+10,8.25e+09,3.757e+09,1.607e+09,1.736e+09,1.2007e+10,2.9517e+10,2.209e+09,9e+07,2.299e+09,3.1816e+10,-8.91e+08,2.09e+08,184126981.851003,217215.054413386,23875542.6877926,6.08e+08,-1456408963.00263,-9.4e+07,-3.2e+07,-38015895.4380233,-1.2e+07,-1.6e+07,-8.9e+07,-1.16e+08,1.91e+09,-1.233e+09,1.8e+07,-4.19e+08,1.42e+08,-4.1e+07,-4.1e+07,-1.22e+08,-1.63e+08,8.4e+09,0.2846,-0.28312,-0.33309,-0.39147,-0.02829,1.07025,12.83906,0.26402,-3.9929,-3.9929,11.98758,9.80035,0.51464,3,-0.05423,-0.12889,-9.77908
"48","2022_Q1",288.50064516129,"Down",3.08e+09,-1.632e+09,1.448e+09,-4.39e+08,1.009e+09,6.2e+07,-8.3e+07,1.45e+08,1.071e+09,1.036e+09,-1.63e+08,8.73e+08,8.73e+08,-1e+07,8.63e+08,8.63e+08,8.36e+08,5.44e+08,2.92e+08,3.094e+09,3.094e+09,1.5102e+10,1.5102e+10,1.9032e+10,5.29e+08,518000733.203493,1.2356e+10,4.92e+08,8.434e+09,1.298e+09,1.2885e+10,3.1917e+10,2.192e+09,2.192e+09,1.164e+09,1.5717e+10,1.5717e+10,1.9073e+10,8.228e+09,3.458e+09,1.375e+09,1.682e+09,1.1686e+10,3.0759e+10,1.061e+09,9.7e+07,1.158e+09,3.1917e+10,8.73e+08,-6.9e+07,172988093.53111,-10301374.4234757,14763799.8729873,8.6e+07,-1394806722.25197,9.31e+08,-3.5e+07,-26246478.9151057,-1.1e+07,2.27e+08,1.65e+08,-1.12e+08,7.98e+08,-1.823e+09,1.77e+08,-1.93e+08,-1.33e+09,-2.34e+08,-2.34e+08,-1.42e+08,-3.76e+08,9.392e+09,0.47013,0.3276,0.28019,0.74525,0.02704,0.99785,26.56218,0.29426,3.82875,3.82875,13.6646,4.70719,0.49689,5,0.0696,0.12978,8.47968
"49","2022_Q2",285.617096774194,"Down",3.67e+09,-1.839e+09,1.831e+09,-4.36e+08,1.395e+09,-6.3e+07,-8.8e+07,2.5e+07,1.332e+09,1.304e+09,-2.56e+08,1.048e+09,1.048e+09,-2.5e+07,1.023e+09,1.023e+09,1.05e+09,5.95e+08,4.55e+08,3.625e+09,3.625e+09,1.587e+10,1.587e+10,2.0545e+10,5.15e+08,5.15e+08,1.2431e+10,5.3e+08,8.496e+09,1.274e+09,1.2946e+10,3.3491e+10,1.728e+09,1.728e+09,5.99e+08,1.6862e+10,1.6862e+10,1.9189e+10,9.685e+09,3.326e+09,1.32e+09,1.607e+09,1.3011e+10,3.22e+10,1.177e+09,1.14e+08,1.291e+09,3.3491e+10,1.048e+09,1.04e+08,1.19e+08,-1.8e+07,3e+06,-7.27e+08,-7.27e+08,4.63e+08,-2.3e+07,-2.3e+07,-1.12e+08,-1.64e+08,-2.63e+08,-1.1e+08,1.567e+09,-9.44e+08,-1.16e+08,-1.3e+07,5e+08,7e+08,7e+08,-5e+07,6.5e+08,1.0284e+10,0.49891,0.38011,0.27875,0.79241,0.03055,1.07067,24.94191,0.30707,4.66484,4.62477,16.73507,5.36708,0.5016,5,0.07604,0.10753,6.61935
"50","2022_Q3",281.46765625,"Down",2.983e+09,-1.712e+09,1.271e+09,-5.46e+08,7.25e+08,-6.7e+07,-9.7e+07,3e+07,6.58e+08,6.33e+08,-1.19e+08,5.14e+08,5.14e+08,-1.3e+07,5.01e+08,5.01e+08,9.83e+08,7.4e+08,2.43e+08,3.648e+09,3.648e+09,1.7536e+10,1.7536e+10,2.2167e+10,5.05e+08,5.05e+08,1.2048e+10,4.91e+08,8.295e+09,1.207e+09,1.2553e+10,3.472e+10,1.728e+09,1.728e+09,7.39e+08,1.861e+10,1.861e+10,2.1077e+10,9.666e+09,3.189e+09,1.277e+09,1.548e+09,1.2855e+10,3.3932e+10,6.84e+08,1.04e+08,7.88e+08,3.472e+10,5.14e+08,2.4e+07,8876986.97196019,-20200090.2465882,-12880142.6454551,3.7e+07,757511203.753285,6.68e+08,-4.5e+07,-4.5e+07,-9e+06,2.02e+08,1.38e+08,-1.19e+08,-5.05e+08,-5.5e+08,-5e+07,6.37e+08,-5.37e+08,2.69e+08,2.69e+08,-3.73e+08,-1.04e+08,1.0405e+10,0.42608,0.24304,0.16795,0.63579,0.01443,1.05172,43.06091,0.29968,2.3488,2.33349,13.985,3.20675,0.5579,6,0.04311,0.23752,12.99586
