"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",1.553125,"Down",119885000,-93312000,26573000,-45554000,-1736000,-16656000,-18981000,158000,-68000,226000,-18823000,-20804000,3684000,-17120000,-17120000,-17120000,-17120000,14650000,14650000,108233000,8662000,8662000,131545000,102566000,234887000,225877000,337453000,468998000,85183000,60537000,24646000,138744000,227848000,227848000,227848000,366592000,170869000,-68463000,102406000,102406000,468998000,-17120000,7051000,-946000,-1314000,-12329000,-4531000,-4531000,33000,-1013000,-17873000,-17873000,-17873000,-11930000,9.31322574615479e-10,-21459000,0.22165,-0.15833,-0.1428,-0.16718,-0.0365,1.25345,0.94811,3.57979,-1.73472347597681e-18,-1.21332,-1.21332,8.49646,7.25769,-1.52084,-0.05184,-0.06498,1.228,0.77182
"37","2019_Q4",1.338125,"Down",144936000,-104800000,40136000,-50925000,-1602000,-20208000,-10789000,-11000,-169000,158000,-10800000,-14192000,-8114000,-22306000,-22306000,-22306000,-22306000,4202000,4202000,140222000,8417000,7870000,152841000,96096000,217440000,216496000,313536000,466377000,91922000,68395000,23527000,145132000,215672000,215672000,240672000,385804000,171585000,-91012000,80573000,80573000,466377000,-22306000,6861000,12187000,-27657000,-30915000,-4302000,-4302000,-178000,24769000,-10448000,-10448000,-10448000,-3928000,2.5e+07,-27773000,0.27692,-0.07444,-0.1539,-0.27684,-0.04783,1.24509,1.05312,4.78825,0.0536,-1.60868,-1.60868,10.45262,5.81083,-2.00296,-0.06944,-0.08645,-5.29481,-1.9277
"38","2020_Q1",1.16548387096774,"Down",209411000,-146905000,62506000,-55738000,-1527000,-137544000,6768000,49000,-150000,199000,6817000,-5161000,243000,-4918000,-4918000,-4918000,-4918000,30132000,30132000,94674000,6705000,6705000,131511000,82863000,208068000,208068000,290931000,422442000,88286000,59513000,28773000,141440000,204047000,204047000,204047000,345487000,172885000,-95930000,76955000,76955000,422442000,-4918000,6564000,12721000,39805000,54172000,-2921000,-2921000,-372000,-25321000,25930000,25930000,25930000,13332000,3.72529029846191e-09,49973000,0.29848,0.03232,-0.02348,-0.06391,-0.01164,-10.16124,0.9298,4.48947,1.38777878078145e-17,-0.353,-0.353,15.03094,5.52361,3.58692,-0.0175,0.17784,-2.26013,-4.45213
"39","2020_Q2",1.23444444444444,"Up",77247000,-67011000,10236000,-34646000,-1501000,-33145000,-24410000,-1e+05,-220000,120000,-24510000,-27694000,20256000,-7438000,-7438000,-7438000,-7438000,30140000,30140000,99075000,29964000,7950000,159179000,77375000,189410000,189410000,266785000,425964000,70279000,45876000,24403000,121071000,195042000,195042000,235042000,356113000,173219000,-103368000,69851000,69851000,425964000,-7438000,6053000,5049000,-41329000,-37665000,-2354000,-2354000,-8000,40027000,8000,8000,8000,-18357000,4e+07,-82296000,0.13251,-0.316,-0.09629,-0.10648,-0.01746,11.06426,1.31476,5.09818,0.0939,-0.53167,-0.53167,5.52159,4.99292,-5.88249,-0.0244,-0.26992,-0.53712,-0.40393
"40","2020_Q3",6.5003125,"Up",124722000,-89002000,35720000,-35399000,-1569000,-33830000,321000,-103000,-169000,66000,218000.000000004,-5448000,-3915000,-9363000,-9363000,-9363000,-9363000,27565000,27565000,77078000,14629000,8467000,119272000,72676000,171318000,171318000,243994000,363266000,65946000,36890000,29056000,114980000,187474000,187474000,187474000,302454000,173543000,-112731000,60812000,60812000,363266000,-9363000,5933000,5982000,37945000,40497000,-3052000,-3052000,-20000,-40020000,-2575000,-2575000,-2575000,6254000,7.45058059692383e-09,45062000,0.2864,0.00257000000000002,-0.07507,-0.15397,-0.02577,-4.81277,1.03733,4.97359,0,-0.66291,-0.66291,8.8305,4.30558,3.19046,-0.03771,0.18149,-4.40758,-85.87227
"41","2020_Q4",13.6634375,"Up",146609000,-93738000,52871000,-39638000,-1613000,-38025000,13233000,-9000,-95000,86000,13224000,13047000,-691000,12356000,12356000,12356000,12356000,37189000,37189000,83874000,15027000,9586000,136090000,68140000,162755000,162755000,230895000,366985000,80376000,53339000,27037000,126391000,167177000,167177000,167177000,293568000,173792000,-100375000,73417000,73417000,366985000,12356000,5824000,607000,-7130000,11657000,-2006000,-2006000,-39000,-27000,9624000,9624000,9624000,19057000,0,10612000,0.36063,0.09026,0.08428,0.1683,0.03367,0.85885,1.07674,3.99864,0,0.86715,0.86715,10.28907,5.15243,0.74475,0.05136,0.04411,-1.95146,-2.81032
"42","2021_Q1",24.9586885245902,"Up",194918000,-120907000,74011000,-45481000,-1622000,-43859000,28530000,17000,-87000,104000,28547000,28187000,-7103000,21084000,21084000,21084000,21084000,100337000,100337000,62083000,8278000,8278000,170698000,63410000,153004000,153004000,216414000,387112000,92627000,55173000,37454000,137600000,154590000,154590000,154590000,292190000,174391000,-79469000,94922000,94922000,387112000,21084000,5446000,625000,36919000,64074000,-1077000,-1077000,-19000,151000.000000007,63148000,63148000,63148000,33976000,0,76921000,0.3797,0.14637,0.10817,0.22212,0.05446,3.64831,1.24054,3.07821,0,1.47719,1.22889,13.65641,6.65046,5.38927,0.0845,0.30829,-2.95317,-3.51689
"43","2021_Q2",26.8726984126984,"Up",123569000,-83314000,40255000,-38201000,-1613000,-36588000,2054000,-5000,-85000,80000,2049000,2049000,-330000,1719000,1719000,1719000,1719000,72275000,72275000,76259000,8745000,8745000,157279000,59682000,148039000,148039000,207721000,3.65e+08,84249000,53107000,31142000,128529000,141159000,141159000,141159000,269688000,174418000,-79106000,95312000,95312000,3.65e+08,1719000,5272000,561000,-32507000,-24955000,-1546000,-1546000,-257000,-1561000,-28062000,-28062000,-28062000,7326000,0,-26397000,0.32577,0.01662,0.01391,0.01804,0.00471,-15.35602,1.22368,2.82953,0,0.12141,0.11552,8.72724,6.73155,-1.86433,0.00727,-0.11163,-9.86555,-35.18744
"44","2021_Q3",19.74703125,"Down",114790000,-75092000,39698000,-39475000,-1630000,-37845000,223000,-1000,-76000,75000,222000,222000,404000,626000,626000,626000,626000,45248000,45248000,92017000,8779000,8779000,146044000,56332000,142749000,142749000,199081000,345125000,81785000,50890000,30895000,254542000,5981000,5981000,5981000,260523000,175090000,-90488000,84602000,84602000,345125000,626000,5214000,683000,-19722000,-13199000,-1841000,-1841000,-73000.0000000001,-11987000,-27027000,-27027000,-27027000,5437000,0,-16530000,0.34583,0.00194,0.00544999999999999,0.00739999999999999,0.00181000000000001,-26.40575,0.57375,3.0794,0,0.04399,0.04092,8.06733,5.94574,-1.16171,0.00691,-0.18248,-8.32224,-202.90583
"45","2021_Q4",20.6153125,"Up",143630000,-93817000,49813000,-40793000,-1655000,-39138000,9020000,9000,-79000,88000,9029000,9029000,-1800000,7229000,7229000,7229000,7229000,26475000,26475000,115671000,10170000,10170000,152316000,52850000,134717000,134717000,187567000,339883000,96942000,68349000,28593000,138705000,125415000,125415000,125415000,264120000,175479000,-99716000,75763000,75763000,339883000,7229000,5049000,877000,-13691000,-536000,-1731000,-1731000,-49000,-16506000,-18773000,-18773000,-18773000,14069000,0,447000,0.34681,0.0628,0.05033,0.09542,0.02127,0.06183,1.09813,3.48613,0,0.50805,0.47255,10.09417,5.32455,0.03141,0.03593,0.00222,-1.8818,-2.93514
"46","2022_Q1",14.2470967741935,"Down",176191000,-117529000,58662000,-43860000,-1714000,-42146000,14802000,21000,-80000,101000,14823000,14069000,-1617000,12452000,12452000,12452000,12452000,25003000,25003000,114029000,10537000,10537000,149569000,49997000,131623000,131623000,181620000,331189000,93346000,62535000,30811000,134614000,115449000,115449000,115449000,250063000,175856000,-94730000,81126000,81126000,331189000,12452000,4896000,586000,-10029000,7905000,-1942000,-1942000,0,-7435000,-1472000,-1472000,-1472000,19698000,-9.31322574615479e-10,9344000,0.33295,0.08401,0.07067,0.15349,0.0376,0.750399999999999,1.1111,3.0824,3.46944695195361e-18,0.92891,0.87272,13.14368,6.05192,0.69705,0.06334,0.04753,-1.26932,-1.68915999999997
"47","2022_Q2",6.40016129032258,"Down",103285000,-74993000,28292000,-39387000,-1697000,-37690000,-11095000,-84000,-156000,72000,-11179000,-11179000,3324000,-7855000,-7855000,-7855000,-7855000,5382000,5382000,130855000,10994000,10994000,147231000,47269000,141516000,141516000,188785000,336016000,71329000,47313000,24016000,112860000,122949000,122949000,157949000,270809000,174045000,-108838000,65207000,65207000,336016000,-7855000,4499000,762000,-41037000,-43631000,-2378000,-2378000,-2375000,26388000,-19621000,-19621000,-19621000,-6596000,3.5e+07,-53335000,0.27392,-0.10742,-0.07605,-0.12046,-0.02338,6.78994,1.30455,4.15307,0.10416,-0.62515,-0.62515,8.22006,5.18957,-4.24473,-0.0352,-0.239,-4.4903,-2.66949
"48","2022_Q3",3.84484375,"Down",102101000,-83576000,18525000,-40325000,-1596000,-38729000,-21800000,-283000,-366000,83000,-22083000,-22083000,-3622000,-25705000,-25705000,-25705000,-25705000,10330000,10330000,141702000,7273000,7273000,159305000,45934000,148201000,148201000,194135000,353440000,89205000,61569000,27636000,253432000,4897000,4897000,59897000,313329000,174654000,-134543000,40111000,40111000,353440000,-25705000,4338000,860000,8071000,-12436000,-2608000,-2608000,-8000,19992000,4948000,4948000,4948000,-17462000,5.5e+07,-8377000,0.18144,-0.21351,-0.25176,-0.64085,-0.07273,0.32589,0.62859,7.81155,0.15561,-2.01766,-2.01766,8.01421,3.14843,-0.657539999999999,-0.25703,-0.08376,-2.55813,-2.04908
