"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",33.7193650793651,"Up",208749000,-68509000,140240000,-78415000,-8441000,-69974000,61825000,-34454000,-35454000,1e+06,27371000,27371000,1137000,28508000,28508000,-2894000,25614000,25614000,167742000,167742000,2856000,2856000,170598000,7676371000,9635819000,-1959448000,266203000,4616000,105016000,156571000,7942574000,8113172000,38989000,38989000,4048828000,4087817000,189479000,189479000,238278000,4326095000,3280337000,-866954000,22539000,2435922000,1351155000,3787077000,8113172000,28508000,69974000,-2567000,14165000,110080000,-215530000,-215530000,-215530000,2003000,-213527000,-36970000,-267376000,86073000,98038000,-5409000,-5409000,-5409000,131799000,4097627000,0.67181,0.29617,0.1227,0.00676,0.00316,0.04173,1.14233,0.50506,0.15468,0.15464,1.26061,14.71021,0.22326,5,0.00775,1.44335,29.81726,63.56466
"32","2018_Q1",31.4793442622951,"Down",209190000,-64928000,144262000,-79665000,-9045000,-70620000,64597000,-34089000,-34768000,679000,30508000,30508000,1478000,31986000,31986000,-2450000,29536000,29536000,176645000,176645000,2980000,2980000,179625000,7816456000,9829208000,-2012752000,296560000,4293000,107735000,184532000,8113016000,8292641000,42399000,42399000,4117390000,4159789000,180389000,180389000,230803000,4390592000,3274235000,-879810000,43099000,2437524000,1464525000,3902049000,8292641000,31986000,70620000,6132000,-14723000,94015000,-54444000,-54444000,-54444000,1595000,-54420000,-38981000,32401000,-13905000,-30692000,8903000,8903000,8903000,135217000,4167804000,0.68962,0.3088,0.14119,0.00757,0.00356,0.04318,1.1252,0.50259,0.17413,0.17409,1.23329,14.3705,0.22981,6,0.0083,1.31978,29.5167,61.78552
"33","2018_Q2",31.955625,"Up",212247000,-67054000,145193000,-82065000,-9567000,-72498000,63128000,-32003000,-32900000,897000,31125000,31125000,1506000,32631000,32631000,-4425000,28206000,28206000,183556000,183556000,2871000,2871000,186427000,7779604000,9846903000,-2067299000,357869000,3998000,110117000,243754000,8137473000,8323900000,42483000,42483000,4098900000,4141383000,206107000,206107000,256050000,4397433000,3279120000,-894289000,74021000,2458852000,1467615000,3926467000,8323900000,32631000,72498000,-1461000,13949000,117617000,-36277000,-36277000,-36277000,1953000,-34324000,-42391000,-17808000,-16183000,-76382000,6911000,6911000,6911000,135626000,4148843000,0.68408,0.29743,0.13289,0.00718,0.00339,0.04502,1.11995,0.49843,0.16631,0.16628,1.25145,14.49786,0.24995,7,0.00852,1.50291,29.23692,62.81344
"34","2018_Q3",33.2007936507936,"Up",219469000,-68726000,150743000,-82816000,-9437000,-73379000,67927000,-32562000,-33268000,706000,35365000,35365000,1668000,37033000,37033000,-5349000,31684000,31684000,170391000,170391000,3261000,3261000,173652000,7787456000,9923936000,-2136480000,356876000,3741000,109835000,243300000,8144332000,8317984000,42486000,42486000,4106495000,4148981000,188208000,188208000,238717000,4387698000,3279342000,-905085000,87486000,2461743000,1468543000,3930286000,8317984000,37033000,73379000,-3637000,-8512000,98263000,-63324000,-63324000,-63324000,1821000,-61503000,-42477000,5829000,-13169000,-49925000,-13165000,-13165000,-13165000,141306000,4157004000,0.68685,0.30951,0.14437,0.00806,0.00381,0.04185,1.11638,0.49976,0.18647,0.18646,1.29162,14.48791,0.24999,8,0.00896,1.34065,28.21262,58.68967
"35","2018_Q4",30.7955555555556,"Down",223336000,-73430000,149906000,-83507000,-9440000,-74067000,66399000,-32331000,-33721000,1390000,34068000,34068000,1348000,35416000,35416000,-4855000,30561000,30561000,172362000,172362000,5040000,5040000,177402000,7787123000,9987526000,-2200403000,383254000,3492000,118252000,261510000,8170377000,8347779000,42491000,42491000,4122277000,4164768000,208697000,208697000,259470000,4424238000,3279445000,-917009000,94643000,2457079000,1466462000,3923541000,8347779000,35416000,74067000,-1854000,8334000,115963000,-64869000,-64869000,-64869000,2092000,-72156000,-42480000,13828000,-13184000,-41836000,1971000,1971000,1971000,140466000,4173050000,0.67121,0.29731,0.13684,0.00779,0.00366,0.0426,1.12761,0.4999,0.17985,0.17984,1.31431,14.45962,0.24999,6,0.00879,1.39001,28.48154,60.25223
"36","2019_Q1",32.8470491803279,"Up",226264000,-71657000,154607000,-100117000,-10197000,-89920000,54490000,-32836000,-33513000,677000,21654000,21654000,1878000,23532000,23532000,2103000,25635000,25635000,146227000,146227000,4371000,4371000,150598000,7783821000,10030708000,-2246887000,327290000,3251000,111032000,213007000,8111111000,8261709000,44263000,44263000,4134030000,4178293000,184253000,184253000,234986000,4413279000,3284018000,-935630000,53944000,2402332000,1446098000,3848430000,8261709000,23532000,89920000,7226000,-19539000,101139000,-83051000,-83051000,-83051000,1483000,-81568000,-42483000,6833000,-10056000,-45706000,-26135000,-26135000,-26135000,144410000,4184763000,0.6833,0.24082,0.1133,0.00666,0.0031,0.03604,1.14677,0.50653,0.15068,0.15068,1.32997,14.12082,0.24971,4,0.00829,1.65723,27.96576,74.11518
"37","2019_Q2",35.6165079365079,"Up",224186000,-71004000,153182000,-89705000,-9832000,-79873000,63477000,-32240000,-33293000,1053000,31237000,31237000,1551000,32788000,32788000,-4087000,28701000,28701000,149722000,149722000,5281000,5281000,155003000,7751635000,10061536000,-2309901000,309271000,3092000,105526000,200653000,8060906000,8215909000,44262000,44262000,4129271000,4184420000,192505000,192505000,243307000,4427727000,3284090000,-953335000,30943000,2361698000,1426484000,3788182000,8215909000,32788000,79873000,147000,19681000,132489000,-64063000,-64063000,-64063000,2225000,-61838000,-44263000,-5177000.00000001,-17209000,-67156000,3495000,3495000,3495000,143350000,4180073000,0.68328,0.28314,0.12802,0.00758,0.00349,0.03704,1.16883,0.50878,0.16861,0.16861,1.31703,13.8743,0.26003,5,0.00894,1.54221,28.11546,63.49309
"38","2019_Q3",36.1740625,"Up",230534000,-72020000,158514000,-87883000,-9159000,-78724000,70631000,-32978000,-34063000,1085000,37653000,37653000,2207000,39860000,39860000,-5894000,33966000,33966000,303962000,303962000,5199000,5199000,309161000,8092514000,10467110000,-2374596000,276036000,2993000,106017000,167026000,8368550000,8677711000,45565000,45565000,4304913000,4361363000,211847000,211847000,263988000,4625351000,3485932000,-964927000,-25853000,2495152000,1557208000,4052360000,8677711000,39860000,78724000,-3650000,-19247000,95687000,-414732000,-414732000,-414732000,1644000,-420606000,-44255000,179822000,142610000,479159000,154240000,154240000,154240000,149355000,4357054000,0.68759,0.30638,0.14734,0.00838,0.00391,0.07089,1.1414,0.5021,0.19689,0.19689,1.33634,14.46373,0.25653,8,0.00907,1.30292,27.1373,57.38404
"39","2019_Q4",38.07859375,"Up",238069000,-77881000,160188000,-99497000,-9218000,-90279000,60691000,-39101000,-40397000,1296000,21590000,21590000,1831000,23421000,23421000,-933000,22488000,22488000,181510000,181510000,5113000,5113000,186623000,8056841000,10490815000,-2433974000,277431000,2877000,102280000,172274000,8334272000,8520895000,45598000,45598000,4176967000,4233449000,251439000,251439000,303384000,4536833000,3487778000,-988030000,-48878000,2450870000,1533192000,3984062000,8520895000,23421000,90279000,-1621000,18713000,130792000,-60011000,-60011000,-60011000,3388000,-56623000,-45558000,-125180000,-25656000,-196621000,-122452000,-122452000,-122452000,150970000,4228912000,0.67286,0.25493,0.09446,0.00564,0.00264,0.04408,1.13875,0.4963,0.12827,0.12827,1.35791,13.97941,0.25986,6,0.00804,2.02588,26.80931,66.68867
"40","2020_Q1",34.5006451612903,"Down",243893000,-77258000,166635000,-118726000,-9859000,-108867000,47909000,-34552000,-35555000,1003000,13357000,321295000,1334000,322629000,322629000,-44071000,278558000,278558000,153683000,153683000,5302000,5302000,166464000,8960218000,11478633000,-2518415000,222619000,6407000,42442000,173770000,9182837000,9349301000,49111000,49111000,4619058000,4679051000,299316000,299316000,299316000,4978367000,3488110000,-758576000,-17462000,2712072000,1658862000,4370934000,9349301000,322629000,108867000,-296642000,-24236000,110618000,-65187000,-65186999.9999999,-65186999.9999999,37822000,-110601000,-45591000,18469000,-723000,-27844000,-27827000,-27827000,-27827000,156776000,4619058000,0.68323,0.19643,1.14213,0.06373,0.02979,0.03558,1.13897,0.49405,1.58831,1.58831,1.39065,15.46398,0.25996,5,0.03489,0.16367,28.48252,93.20535
"41","2020_Q2",26.8130158730159,"Down",251350000,-79020000,172330000,-108112000,-10335000,-97777000,64218000,-34827000,-35420000,593000,29391000,29391000,323000,29714000,29714000,-2791000,26923000,26923000,174696000,174696000,5801000,5801000,180497000,8917757000,11510753000,-2592996000,214800000,6064000,48346000,160390000,9132557000,9313054000,49113000,49113000,4620215000,4680206000,442785000,442785000,503141000,5183347000,3488196000,-780562000,-165872000,2541762000,1587945000,4129707000,9313054000,29714000,97777000,1823000,24196000,153510000,-58413000,-58413000,-58413000,219000,-64785000,-48907000,-432000,-18366000,-67712000,21013000,21013000,21013000,161995000,4680571000,0.68562,0.25549,0.10711,0.00652,0.00289,0.03857,1.25514,0.50258,0.15352,0.15352,1.43323,14.49346,0.27887,6,0.0082,1.81655,27.8149,70.1653
"42","2020_Q3",25.45125,"Down",207796000,-69157000,138639000,-108628000,-9863000,-98765000,30011000,-35343000,-35190000,-153000,-5332000,-5331999.99999997,-140000,-5472000,-5472000,7501999.99999999,2030000,2030000,176393000,176393000,16996000,16996000,193389000,8884939000,11564194000,-2679255000,193049000,5736000,47742000,139571000,9077988000,9271377000,49113000,49113000,4666603000,4726593000,442026000,442026000,500445000,5227038000,3488196000,-827748000,-179471000,2480977000,1563362000,4044339000,9271377000,-5472000,98765000,14076000,-24070000,83299000,-69518000,-69518000,-69518000,4344000,-65174000,-49216000,50060000,-17272000,-16428000,1697000,1697000,1697000,128776000,4725022000,0.66719,0.14443,0.00977000000000013,0.000500000000000009,0.000219999999999998,0.04092,1.29243,0.50964,0.01158,0.01158,1.18487,14.1467,0.28063,3,0.00556,24.24433,35.32202,151.56539
"43","2020_Q4",25.94203125,"Up",216987000,-78269000,138718000,-104421000,-9469000,-94952000,34297000,-36301000,-36167000,-134000,-2004000,-2004000,145000,-1859000,-1859000,5632000,3773000,3773000,202166000,202166000,17482000,17482000,219648000,8876752000,11634453000,-2757701000,192973000,5437000,47589000,139947000,9069725000,9289373000,49113000,49113000,4708312000,4768300000,463337000,463337000,520705000,5289005000,3488196000,-873080000,-167591000,2447525000,1552843000,4000368000,9289373000,-1859000,94952000,1711000,25116000,119920000,-71671000,-71671000,-71671000,336000,-71335000,-49105000,39811000,-13445000,-22739000,25846000,25846000,25846000,129249000,4765680000,0.63929,0.15806,0.01739,0.00094,0.00041,0.04606,1.32213,0.51302,0.02151,0.02151,1.23728,13.95603,0.28,4,0.00573,13.01484,35.30793,133.05869
"44","2021_Q1",28.0547540983607,"Up",215390000,-78967000,136423000,-103688000,-9934000,-93754000,32735000,-22630000,-36095000,13035000,10105000,16498000,-328000,16170000,16170000,1525000,17695000,17695000,172385000,172385000,18226000,18226000,198083000,8862445000,11678638000,-2816193000,190297000,5141000,47374000,137782000,9052742000,9250825000,49138000,49138000,4744967000,4804976000,449830000,449830000,449830000,5254806000,3489642000,-904516000,-148035000,2437091000,1558928000,3996019000,9250825000,16170000,93754000,-7366000,-39069000,63489000,-97996000,-71145159.572193,-71145159.572193,13457000,-63881000,-49105000,30963000,-11309000,-29451000,-29843000,-29843000,-29843000,126489000,4744967000,0.63338,0.15198,0.08215,0.00443,0.00191,0.04122,1.31501,0.51292,0.10088,0.10088,1.22801,13.89463,0.27996,4,0.00727,2.77508,36.15004,139.6848
"45","2021_Q2",31.5149206349206,"Up",216295000,-71489000,144806000,-102368000,-9571000,-92797000,42438000,-35017000,-35205000,188000,7421000,7421000,167000,7588000,7588000,4013000,11601000,11601000,184274000,184274000,18038000,18038000,209781000,8850908000,11740844000,-2889936000,189048000,4880000,47199000,136969000,9039956000,9249737000,49140000,49140000,4775994000,4836001000,393211000,393211000,393211000,5229212000,3489703000,-942046000,-97332000,2450325000,1570200000,4020525000,9249737000,7588000,92797000,850000,23809000,125044000,-79511000,-79511000,-79511000,194000,-79317000,-49130000,29807000,-14410000,-33838000,11889000,11889000,11889000,135235000,4775994000,0.66948,0.1962,0.05364,0.00289,0.00125,0.04338,1.30063,0.51634,0.06612,0.06612,1.2327,13.96483,0.28,5,0.00661,4.23498,33.95364,108.19831
"46","2021_Q3",30.86140625,"Down",225006000,-72792000,152214000,-103458000,-9558000,-93900000,48756000,-34607000,-35935000,874999.999999998,14149000,14149000,-167000,13982000,13982000,2215000,16197000,16197000,330934000,330934000,15622000,15622000,354024000,8837714000,11799021000,-2961307000,181616000,4628000,47107000,129881000,9019330000,9373354000,49141000,49141000,4969659000,5029665000,364557000,364557000,364557000,5394222000,3489705000,-974982000,-93345000,2421378000,1557754000,3979132000,9373354000,13982000,93900000,1753000,-12841000,96794000,-80203000,-80203000,-80203000,1359000,-78844000,-49131000,190900000,-13059000,128710000,146660000,146660000,146660000,142656000,4969659000,0.67649,0.21669,0.07198,0.00407,0.00173,0.07039,1.35563,0.53019,0.09231,0.09231,1.28235,13.79986,0.28001,8,0.00701,3.03334,32.51686,95.14162
"47","2021_Q4",31.965625,"Up",238244000,-79692000,158552000,-104539000,-11435000,-93104000,54013000,-38267000,-38878000,351000,15746000,15746000,-211529.434536787,15746000,15746000,2395000,18141000,18141000,350494000,350494000,12986000,12986000,370947000,8810702000,11845398000,-3034696000,201238000,4389000,46745000,150104000,9011940000,9382887000,49145000,49145000,5012291000,5072300000,355893000,355893000,355893000,5428193000,3489943000,-1005977000,-79539000,2404427000,1550267000,3954694000,9382887000,15746000,93104000,4653000,4241000,117744000,-76353000,-13303775.0923909,-13303775.0923909,2121000,-74232000,-49132000,38878000,-13719000,-23983000,19529000,19529000,19529000,147117000,5012291000,0.6655,0.22671,0.07614,0.00459,0.00193,0.07313,1.37259,0.53419,0.10338,0.10338,1.35773,13.70262,0.28,8,0.00722,2.70834,31.68768,86.3088
"48","2022_Q1",31.2666129032258,"Down",238852000,-79428000,159424000,-103478000,-11990000,-91488000,55946000,-37131000,-37478000,114000,18815000,18815000,97717.6325674988,18815000,18815000,513000,19328000,19328000,335905000,335905000,13127000,13127000,356496000,8790432000,11819077000,-3028645000,207104000,4168000,46594000,156342000,8997536000,9354032000,194618000,49158000,5012076000,5217554000,149925000,149925000,149925000,5367479000,3490641000,-1035798000,-38774000,2416069000,1570484000,3986553000,9354032000,18815000,91488000,15580000,-18514000,107369000,-57024000,38297552.213933,38297552.213933,709000,-56315000,-49136000,-2769000,-13731000,-65643000,-14589000,-14589000,-14589000,147434000,5012076000,0.66746,0.23423,0.08092,0.00485,0.00207,0.06833,1.3464,0.53582,0.11013,0.11013,1.36095,13.76646,0.27997,7,0.00748,2.54222,31.71705,83.58365
"49","2022_Q2",26.7996774193548,"Down",238882000,-77547000,161335000,-100605000,-11240000,-89365000,60730000,-34718000,-34902000,184000,26012000,26012000,247000,26259000,26259000,-745000,25514000,25514000,337274000,337274000,10216000,10216000,354951000,8744836000,11841693000,-3096857000,340527000,3969000,47873000,288685000,9085363000,9440314000,204158000,49226000,5013876000,5228890000,85727000,85727000,85727000,5314617000,3494417000,-1059499000,83029000,2517947000,1607750000,4125697000,9440314000,26259000,89365000,2791000,21055000,139470000,-49260000,-49260000,-49260000,-23684000,-72944000,-49148000,-202000,-15494000,-65157000,1369000,1369000,1369000,150095000,5013876000,0.67538,0.25423,0.10681,0.00618,0.0027,0.06788,1.28817,0.53111,0.14538,0.14538,1.36118,14.3476,0.28005,7,0.00809,1.92631,31.15761,77.00645
"50","2022_Q3",20.74421875,"Down",246970000,-81874000,165096000,-105608000,-11661000,-93947000,59488000,-35404000,-36264000,295000,24084000,24084000,-247000,23837000,23837000,537000,24374000,24374000,271043000,271043000,9987000,9987000,288489000,9056628000,12228172000,-3171544000,361443000,3816000,47955000,309672000,9418071000,9706560000,179680000,49230000,5188902000,5379435000,98174000,98174000,98174000,5477609000,3494622000,-1084346000,124770000,2535046000,1693905000,4228951000,9706560000,23837000,93947000,336000,-2100000.00000001,116020000,-397681000,-397681000,-397681000,25812000,-371869000,-49216000,173121000,65730000,189618000,-66231000,-66231000,-66231000,153435000,5188902000,0.66849,0.24087,0.09869,0.00576,0.00251,0.05363,1.29526,0.53458,0.13866,0.13866,1.40496,14.42137,0.27998,5,0.00773,2.0192,32.05174,82.66977
