"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",102.596984126984,"Down",411319000,-105468000,305851000,-197643000,-32255000,-160111000,-5277000,108208000,-122006000,-80326000,-41680000,-13798000,-13798000,-1574000,-15372000,-15372000,-15372000,-15372000,165446000,165225000,74637000,74637000,618116000,53632000,564484000,858199000,2780112000,4277411000,3710817000,566594000,7057523000,7915722000,119919000,23904000,35541000,60474000,515876000,102971000,94502000,8469000,738766000,8515392000,330626000,330626000,8846018000,9584784000,2000746000,-3299422000,-370386000,-1669062000,-1669062000,7915722000,-15372000,160111000,52740000,-24983000,172496000,-33659000,-42698000,5571000,-70786000,513176000,-52320000,-3022000,457834000,559544000,559544000,-1249000,558295000,268319000,9031268000,211251000,0.74359,0.26308,-0.03737,0.00921,-0.00194,-13.74258,1.16167,-5.74262,1.14093,-0.12337,-0.12254,3.30109,-13.39525,1.69542,-0.002,0.02746,33.0421,81.93315
"28","2017_Q1",107.622903225806,"Up",416505000,-106267000,310238000,-202805000,-33023000,-158554000,-11228000,107433000,-96886000,-75034000,-21852000,10547000,10547000,-5285000,5262000,5261999.99999999,5262000,5262000,146109000,146109000,78344000,78344000,100118000,52205000,47913000,324571000,2792076000,4244298000,3656924000,587374000,7036374000,7360945000,133952000,28320000,44503000,61129000,627157000,112338000,101098000,11240000,873447000,8148426000,334993000,334993000,8483419000,9356866000,2011730000,-3637467000,-370184000,-1995921000,-1995921000,7360945000,5262000,158554000,41223000,10255000,215294000,-35662000,-84721000,-7639000,-128022000,-294438000,-343340000,15687000,-622091000,-534819000,-534819000,-142000,-534961000,265987000,8775583000,245865000,0.74486,0.25794,0.01263,-0.00264,0.00071,46.72463,0.3716,-4.68799,1.19218,0.0429,0.0426800000000001,3.39536,-16.27079,2.0043,0.00074,0.03456,32.44322,80.32424
"29","2017_Q2",126.609047619048,"Up",423363000,-110970000,312393000,-204574000,-34223000,-159031000,-11320000,107819000,-66823000,-74368000,7545000,40996000,40996000,-3398000,37598000,37598000,37598000,37598000,132222000,132222000,74214000,74214000,94831000.0000001,51049000,43782000,301267000,2785944000,4210239000,3605548000,604691000,6996183000,7297450000,102798000,29628000,19214000,53956000,2e+07,105795000,96039000,9756000,228593000,8646174000,339177000,339177000,8985351000,9213944000,2030693000,-3604288000,-342899000,-1916494000,-1916494000,7297450000,37598000,159031000,9398000,-33721000,172306000,-35747000,-42651000,-5879000,-84277000,-1.15e+08,-4419000,7147000,-112272000,-24243000,-24243000,3744000,-20499000,266850000,8666174000,200780000,0.73788,0.25467,0.08881,-0.01962,0.00515,5.34018,1.31792,-4.80771,1.18756,0.3106,0.30885,3.49745,-15.83238,1.65867,0.0053,0.02832,31.98033,79.15072
"30","2017_Q3",138.727142857143,"Up",427294000,-109344000,317950000,-203360000,-33395000,-159520000,-10445000,114590000,-101965000,-75547000,-26418000,12625000,12625000,-3391000,9233999.99999999,9234000,9234000,9234000,164521000,164521000,75739000,75739000,96204000,53807000,42397000,336464000,2774398000,4197991000,3569045000,628946000,6972389000,7308853000,167390000,29155000,42042000,96193000,772517000,106512000,98793000,7719000,1046419000,7906188000,341927000,341927000,8248115000,9294534000,2128303000,-3735062000,-378922000,-1985681000,-1985681000,7308853000,9233999.99999999,159520000,43706000,19433000,231893000,-33688000,-39530000,-11146000,-84364000,5153000.00000003,-140019000,23028000,-111838000,35691000.0000001,35691000,-3969000,31722000,274110000,8678705000,263246000,0.7441,0.26818,0.02161,-0.00465,0.00126,28.50834,0.32154,-4.68078,1.18742,0.07603,0.07542,3.51807,-16.34884,2.1674,0.00131,0.03742,31.06119,74.30128
"31","2017_Q4",154.792380952381,"Up",433945000,-111469000,322476000,-205465000,-32559000,-161906000,-1.1e+07,117011000,-64471000,-78852000,14381000,52540000,52540000,-3378000,49162000,49162000,49162000,49162000,139711000,139711000,87417000,87417000,96938000,54262000,42676000,324066000,2777339000,4199065000,3550710000,648355000,6976404000,7300470000,137149000,32429000,19668000,85052000,773289000,112277000,101168000,11109000,1022715000,8185512000,350041000,350041000,8535553000,9558268000,2149457000,-4064805000,-342450000,-2257798000,-2257798000,7300470000,49162000,161906000,4038000,-27833000,187273000,-36875000,-79208000,-6191000,-122274000,274658000,-378932000,10782000,-93492000,-28493000,-28493000,3762000,-24731000,278917000,8958801000,217587000,0.74313,0.26964,0.11329,-0.02177,0.00673,4.42592,0.31687,-4.23345,1.22715,0.41061,0.40627,3.62439,-18.85757,1.81733,0.00697,0.03086,31.61905,75.36975
"32","2018_Q1",161.498852459016,"Up",443072000,-114529000,328543000,-209462000,-30520000,-162643000,-16299000,119081000,-108351000,-83645000,-24706000,10730000,10730000,-3070000,7660000,7660000,7660000.00000001,7660000.00000001,68783000,68783000,90673000,90673000,100077000,49716000,50361000,259533000,2812346000,4248326000,3598131000,650195000,7060672000,7320205000,152095000,33334000,48899000,69862000,19999999.9999999,106810000,97969000,8841000,278905000,9290686000,349728000,349728000,9640414000,9919319000,2168634000,-4388288000,-379460000,-2599114000,-2599114000,7320205000,7660000,162643000,44244000,12451000,226998000,-40734000,-279927000,6469000,-314192000,346061000,-331164000,8131000,23028000,-64166000,-64166000,-4001000,-68167000,281724000,9310686000,256511000,0.74151,0.26876,0.01729,-0.00295,0.00105,33.48708,0.93054,-3.81642,1.27192,0.06536,0.0644200000000001,3.78032,-22.17579,2.18857,0.00108,0.03633,32.80481,77.61022
"33","2018_Q2",157.22671875,"Down",458302000,-115337000,342965000,-212997000,-36049000,-165398000,-11550000,129968000,-89841000,-87628000,-2213000,40127000,40127000,-8582000,31545000,31545000,31545000,31545000,109350000,109350000,101103000,101103000,92327000,50916000,41411000,302780000,2803478000,4298824000,3600640000,698184000,7102302000,7405082000,123639000,29554000,33862000,60223000,2e+07,107289000,93407000,13882000,250928000,9363686000,378709000,378709000,9742395000,9993323000,2186154000,-4395286000,-379109000,-2588241000,-2588241000,7405082000,31545000,165398000,23917000,-42283000,178577000,-31096000,-117622000,-2879000,-151597000,66848000,-38545000,5746000,34049000,61029000,61029000,-504000,60525000,295366000,9383686000,230569000,0.74834,0.28359,0.06883,-0.01219,0.00426,7.30921,1.20664,-3.86105,1.2672,0.27079,0.26667,3.93413,-22.21781,1.97923,0.0044,0.03214,31.39947,71.35861
"34","2018_Q3",155.325396825397,"Down",456323000,-114415000,341908000,-216038000,-35944000,-169558000,-10536000,125870000,-201510000,-91968000,-109542000,-75640000,-75640000,18249000,-57391000,-57391000,-57391000,-57391000,134651000,134651000,87393000,87393000,104832000,66227000,38605000,326876000,2778372000,4184130000,3459866000,724264000,6962502000,7289378000,142783000,32382000,49764000,60637000,2.4e+07,111027000,94552000,16475000,277810000,9675738000,377965000,377965000,10053703000,10331513000,2218421000,-4759637000,-500919000,-3042135000,-3042135000,7289378000,-57391000,169558000,104284000,30028000,246479000,-37518000,-167741000,-13299000,-218558000,296906000,-306979000,2741000,-7332000,20589000,20589000,-9046000,11543000,295428000,9699738000,269689000,0.74927,0.27584,-0.12577,0.01887,-0.00787,-4.69915,1.17662,-3.39614,1.33067,-0.49881,-0.50673,3.96609,-26.44047,2.34398,-0.00816,0.03833,32.37705,75.99179
"35","2018_Q4",158.603650793651,"Up",467221000,-116741000,350480000,-212474000,-34908000,-167703000,-9863000,138006000,-123840000,-93710000,-30130000,14166000,14166000,1978000,16144000,16144000,16144000,16144000,136221000,136221000,89302000,89302000,102140000,59641000,42499000,327663000,2787714000,4098446000,3387955000,710491000,6886160000,7213823000,134402000,32087000,34186000,68129000,2.4e+07,107110000,96577000,10533000,265512000,9710145000,383249000,383249000,10093394000,10358906000,2234935000,-4851501000,-528517000,-3145083000,-3145083000,7213823000,16144000,167703000,42672000,-27432000,199087000,-36352000,-218295000,8595000,-150162000,28989000,-108015000,21120000,-57906000,-8981000,-8981000,-4058000,-13039000,305709000,9734145000,239947000,0.75014,0.29538,0.03455,-0.00513,0.00224,14.86292,1.23408,-3.29368,1.34937,0.14089,0.14089,4.07754,-27.44784,2.09407,0.00232,0.03441,31.39562,69.54715
"36","2019_Q1",176.648524590164,"Up",483849000,-122302000,361547000,-211225000,-35625000,-169454000,-6146000,150322000,-77291000,-96180000,18889000,73031000,73031000,-15878000,57153000,57153000,57153000,57153000,143444000,143444000,111035000,111035000,119375000,63126000,56249000,373854000,2786355000,4053498000,3331465000,722033000,6839853000,7213707000,146695000,34308000,48722000,63665000,941728000,117856000,108054000,9802000,1206279000,8996825000,387426000,387426000,9384251000,10590530000,2271450000,-5136368000,-511905000,-3376823000,-3376823000,7213707000,57153000,169454000,-22339000,22207000,226475000,-44846000,51829000,-3030000,-98030000,198941000,-282162000,-34127000,-117348000,11097000,11097000,3879000,14976000,319776000,9938553000,313015000,0.74723,0.31068,0.11812,-0.01693,0.00792,5.47679,0.30992,-3.13624,1.37773,0.50354,0.47657,4.26291,-29.75122,2.75779,0.00822,0.04504,30.63116,65.16085
"37","2019_Q2",205.63380952381,"Up",493293000,-123815000,369478000,-230205000,-50959000,-171038000,-8208000,139273000,-103077000,-96867000,-6210000,36196000,36196000,-10207000,25989000,25989000,25989000,25989000,117613000,117613000,113017000,113017000,69939000,22574000,47365000,300569000,2761325000,6250865000,3258952000,2991913000,9012190000,9312759000,123138000,34545000,35059000,53534000,942442000,339074000,98970000,240104000,1404654000,8780606000,2430280000,2430280000,11210886000,12615540000,2360327000,-5131347000,-531761000,-3302781000,-3302781000,9312759000,25989000,171038000,36982000,-11344000,222665000,-36374000,95270000,6181000,-84976000,-2.15e+08,63475000,-6522000,-158047000,-20358000,-20358000,-14071000,-34429000,310311000,9723048000,272800000,0.749,0.28233,0.05268,-0.00787,0.00279,10.49675,0.21398,-3.81967,1.04406,0.23059,0.22729,4.37673,-29.30387,2.42041,0.00294,0.03082,30.95422,68.96839
"38","2019_Q3",241.196875,"Up",500147000,-124449000,375698000,-239247000,-55524000,-171564000,-12159000,136451000,-88870000,-95866000,6996000,47581000,47581000,-15608000,31973000,31973000,31973000,31973000,101836000,101836000,117476000,117476000,96417000,48252000,48165000,315729000,2761580000,6192106000,3238031000,2954075000,8953686000,9269415000,148988000,41270000,49235000,58483000,943161000,335989000,95127000,240862000,1428138000,8749450000,2431173000,2431173000,11180623000,12608761000,2409516000,-5193942000,-554920000,-3339346000,-3339346000,9269415000,31973000,171564000,40070000,-166000,243441000,-36411000,9105000.00000003,-7647000,-170499000,-4.2e+07,-70126000,5709999.99999994,-106416000,-33474000,-33474000,16415000,-17059000,308015000,9692611000,287046000,0.75118,0.27282,0.06393,-0.00957,0.00345,8.97776,0.22108,-3.77582,1.04566,0.28243,0.27817,4.41795,-29.49744,2.53556,0.00364,0.03268,31.13736,70.28732
"39","2019_Q4",231.5278125,"Down",507547000,-123509000,384038000,-230193000,-42272000,-174988000,-12933000,153845000,-135082000,-95256000,-39826000,18763000,18763000,3002000,21765000,21765000,21678000,21678000,128778000,128778000,122725000,122725000,77751000,21946000,55805000,329254000,2763055000,6108829000,3261885000,2846944000,8871884000,9201138000,132774000,35130000,34493000,63151000,2.4e+07,353378000,112382000,240996000,510152000,9821502000,2415781000,2415781000,12237283000,12747435000,2447495000,-5387091000,-620778000,-3560374000,-3546297000,9201138000,21765000,174988000,53104000,-10979000,238878000,-38596000,127481000,-5160000,-159591000,1085036000,-147974000,-938307000,-43118000,36169000,36169000,-4301000,31868000,328833000,9845502000,276256000,0.75666,0.30311,0.04271,-0.00611,0.00236,12.74361,0.6454,-3.59458,1.07003,0.19177,0.1882,4.49002,-31.49686,2.4439,0.00729,0.0317,29.54911,63.15918
"40","2020_Q1",257.961129032258,"Up",513658000,-121258000,392400000,-238481000,-43962000,-179488000,-15031000,153919000,-46647000,-96547000,49900000,107272000,84349000,-16792000,67557000,67557000,67351000,67351000,108309000,108309000,132125000,132125000,93837000,37281000,56556000,334271000,2794602000,6631068000,3626773000,3004295000,9425670000,9759941000,148733000,31846000,49269000,67618000,522090000,377470000,113507000,263963000,1048293000,9812335000,2550268000,2550268000,12362603000,13410896000,2462453000,-5560695000,-568765000,-3667007000,-3650955000,9759941000,67557000,179488000,-12148000,30164000,265061000,-42855000,-1005813000,817000,-532092000,-430578000,-182067000,899426000,245267000,-21764000,-21764000,4204000,-17560000,333407000,10334425000,337508000,0.76393,0.29965,0.13112,-0.01845,0.0069,5.01118,0.31887,-3.67326,1.05886,0.59984,0.58925,4.57475,-32.65919,3.00592,0.01179,0.03655,30.67157,66.4383
"41","2020_Q2",289.14746031746,"Up",517067000,-115514000,401553000,-250350000,-49617000,-182579000,-18154000,151203000,-345674000,-94966000,-250708000,-194471000,-194471000,66538000,-127933000,-127933000,-127058000,-127058000,184137000,184137000,107200000,107200000,103721000,41886000,61835000,395058000,2697778000,6266666000,3294369000,2972297000,8964444000,9359502000,113811000,26939000,32697000,54175000,522691000,383050000,133548000,249502000,1019552000,10050737000,2591965000,2591965000,12642702000,13662254000,2473002000,-5943386000,-846846000,-4317230000,-4302752000,9359502000,-127933000,182579000,206469000,16627000,277742000,-39291000,-89531000,-3178000,-132012000,179885000,-164461000,-6558000,-43335000,102395000,102395000,-13900000,88495000,333782000,10573428000,244580000,0.7766,0.29242,-0.24573,0.02953,-0.01358,-1.92495,0.38748,-3.17524,1.1297,-1.13538,-1.13538,4.62047,-38.57839,2.18555,-0.00845,0.0276,31.12598,68.71088
"42","2020_Q3",299.8578125,"Up",507225000,-111503000,395722000,-238669000,-49087000,-178706000,-10876000,157053000,-134100000,-94988000,-39112000,22952999.9999999,22953000,164000,23117000,23117000,22811000,22811000,433340000,207487000,91295000,91295000,99451000,38890000,60561000,624086000,2658889000,6107564000,3174567000,2932997000,8766453000,9390539000,142354000,26353000,50420000,65581000,23999999.9999999,386305000,130670000,255635000,552659000,10555568000,2572955000,2572955000,13128523000,13681182000,2535542000,-5972657000,-867877000,-4304992000,-4290643000,9390539000,23117000,178706000,59351999.9999999,53501000,314676000,-27688000,-29504000,248000.000000001,-281958000,51178000.0000001,-1553000,-6440999.99999988,-8786000,23932000,23932000,-1908999.99999999,22023000,335759000,10579568000,361408000,0.78017,0.30963,0.0449700000000001,-0.00532,0.00243,15.84358,1.12924,-3.18861,1.12662,0.20415,0.20415,4.53941,-38.52756,3.23442,0.00844,0.04078,30.21878,64.60385
"43","2020_Q4",288.46453125,"Down",522939000,-121520000,401419000,-241084000,-48152000,-180302000,-12630000,160335000,-147099000,-89035000,-58064000,13236000,13236000,9441000,22677000,22677000,22569000,22569000,271874000,271874000,68042000,68042000,118675000,29994000,88681000,458591000,2668004000,5908087000,3063498000,2844589000,8576091000,9034682000,125638000,29230000,33885000,62523000,2.4e+07,401610000,155799000,245811000,551248000,10692710000,2261928000,2261928000,12954638000,13505886000,2565093000,-6177879000,-873612000,-4486398000,-4471204000,9034682000,22677000,180302000,118013000,-30502000,290490000,-28392000,-80864000,-1911000,60592000,135319000,-162691000,-182729000,-262129000,88953000,88953000,-4618000,84335000,340637000,10716710000,272302000,0.76762,0.3066,0.04316,-0.00505,0.0025,12.06531,0.83191,-3.02064,1.18617,0.2019,0.2019,4.67825,-40.1356,2.43603,0.00877,0.03201,30.66266,65.14383
"44","2021_Q1",260.729344262295,"Down",535907000,-127991000,407916000,-242813000,-47411000,-180383000,-15019000,165103000,14951000,-85904000,100855000,180054000,140533000,-34347000,106186000,106186000,105782000,105782000,308560000,308560000,74088000,74088000,90342000,23875000,66467000,472990000,2677326000,6007702000,3156150000,2851552000,8685028000,9158018000,227350000,109969000,54350000,63031000,2.4e+07,363451000,113117000,250334000,614801000,11071796000,2280609000,2280609000,13352405000,13967206000,2587228000,-6604028000,-807582000,-4824382000,-4809188000,9158018000,106186000,180383000,-14336000,-29108000,243125000,-33195000,-71518999.9999999,7958000,-92987999.9999999,379854000,-431501000,-51630000,-154767000,-4629999.99999999,-4629999.99999999,11465000,6835000,345486000,11095796000,317530000,0.76117,0.30808,0.19739,-0.022,0.01155,3.00174,0.76934,-2.90428,1.21159,0.95556,0.89318,4.84103,-43.58029,2.86836,0.01836,0.03706,31.22337,65.3364
"45","2021_Q2",295.868095238095,"Up",548739000,-129774000,418965000,-245386000,-51601000,-183881000,-9904000,173579000,-189703000,-89463000,-100240000,-16124000,-32667000,20922000,-11745000,-11745000,-11745000,-11745000,176622000,176622000,86165000,86165000,127140000,25640000,101500000,389927000,2608526000,6765007000,2984098000,3780909000,9373533000,9763460000,117831000,33610000,27003000,57218000,2.4e+07,418933000,174351000,244582000,560764000,12019757000,2214439000,2214439000,14234196000,14794960000,2611565000,-6848313000,-808429000,-5045177000,-5031500000,9763460000,-11745000,183881000,108169000,5193000,285498000,-24536000,-1052676000,641000,-1076584000,938170000,-158085000,-15330000,701343000,-89743000,-89743000,-10880000,-100623000,357460000,12043757000,317195000,0.76351,0.31632,-0.0214,0.00233,-0.0012,-27.00681,0.69535,-2.94047,1.23355,-0.10729,-0.10729,5.01273,-46.08772,2.89758,0.0056,0.03438,33.1985,68.36734
"46","2021_Q3",341.969375,"Up",575527000,-135759000,439768000,-240005000,-53945000,-175469000,-10591000,199763000,7038000.00000003,-89997000,97035000.0000001,206801000,199917000,-47250000,152667000,152667000,152667000,152667000,273803000,273803000,85976000,85976000,122447000,26840000,95607000,482226000,2625097000,6852990000,3051616000,3801374000,9478087000,9960313000,169649000,34602000,66392000,68655000,2.4e+07,432357000,176996000,255361000,626006000,11908447000,2250425000,2250425000,14158872000,14784878000,2658635000,-6759382000,-738995000,-4839742000,-4824565000,9960313000,152667000,175469000,-11616000,36264000,352784000,-30839000,-77175000,-56000.0000000009,-108170000,-1265158000,25285000,1147405000,-155949000,88665000,88665000,7959999.99999999,96625000,375232000,11932447000,427907000,0.76411,0.3471,0.26526,-0.03164,0.01533,2.80288,0.77032,-3.0645,1.198,1.39461,1.39461,5.25744,-44.21107,3.90893,0.0231,0.04572,31.0705,58.36238
"47","2021_Q4",347.74515625,"Up",589305000,-140023000,449282000,-237506000,-5.1e+07,-170916000,-15590000,211776000,-169878000,-88254000,-81624000,41898000,36964000,10834000,47798000,47798000,47798000,47798000,187806000,187806000,76076000,76076000,139906000,35310000,104596000,403788000,2580262000,6684032000,2906855000,3777177000,9264294000,9668082000,131240000,34790000,26477000,69973000,2.4e+07,436784000,184340000,252444000,592024000,11822536000,2196650000,2196650000,14019186000,14611210000,2713029000,-6890822000,-780512000,-4958305000,-4943128000,9668082000,47798000,170916000,85454000,-51120000,253048000,-35032000,-57903000,4000,-93068000,-8.5e+07,-78391000,-9828000,-236782000,-76802000,-76802000,-7609000,-84411000,382692000,11846536000,285706000,0.76239,0.35937,0.08111,-0.00966999999999999,0.00494,5.97736,0.68205,-2.95586,1.22532,0.4391,0.43167,5.41367,-45.54963,2.62465,0.01224,0.0314,30.46505,55.05218
"48","2022_Q1",321.71064516129,"Down",595263000,-139928000,455335000,-257958000,-63483000,-169895000,-24580000,197377000,-118297000,-81757000,-36540000,79080000,48350000,553999.999999993,48904000,48904000,48904000,48904000,367278000,367278000,101950000,101950000,145218000,30813000,114405000,614446000,2575487000,6611766000,2803247000,3808519000,9187253000,9801699000,151232000,34066000,49096000,68070000,2.4e+07,441099000,184380000,256719000,616331000,12278694000,2172828000,2172828000,14451522000,15067853000,2682436000,-7203531000,-762309000,-5283404000,-5266154000,9801699000,48904000,169895000,66996000,12771000,298566000,-43287000,-69950000,-31817000,-145438000,1585457000,-284699000,-1206982000,30652000,183780000,183780000,-2553000,181227000,367272000,12302694000,336202000,0.76493,0.33158,0.08216,-0.00929,0.00499,6.87473,0.99694,-2.86126,1.25516,0.44926,0.44166,5.4684,-48.53616,3.08853,0.01216,0.03651,32.49748,60.47015
"49","2022_Q2",335.076612903226,"Up",619770000,-152928000,466842000,-250063000,-62124000,-174323000,-13616000,216779000,16885000,-79750000,96635000,233664000,228783000,-40477000,188306000,188306000,188623000,188623000,263569000,263569000,121583000,121583000,154271000,36462000,117809000,539423000,2674679000,6927998000,2909789000,4018209000,9602677000,10142100000,144921000,40583000,23710000,80628000,662264000,471368000,195553000,275815000,1278553000,11969068000,2283589000,2283589000,14252657000,15531210000,2689913000,-7523696000,-591364000,-5425147000,-5389110000,10142100000,188306000,174323000,-35185000,-34962000,292482000,-38008000,-215181000,-2513000,-255881000,3.3e+08,-420831000,15954000,-151750000,-115149000,-115149000,15961000,-99188000,391102000,12631332000,358609000,0.75325,0.34977,0.30434,-0.035,0.0186,1.90119,0.4219,-2.88196,1.24544,1.73279,1.7035,5.69354,-49.83829,3.29437,0.02787,0.03765,31.62286,57.0524
"50","2022_Q3",323.335,"Down",652006000,-166011000,485995000,-255017000,-63274000,-176393000,-15350000,230978000,-160466000,-82796000,-77670000,70512000,65589000,3563000,69152000,69152000,69517000,69517000,183067000,183067000,115137000,115137000,196695000,77419000,119276000,494899000,2677983000,6839055000,2800562000,4038493000,9517038000,10011937000,177993000,41455000,50841000,85697000,662720000,477487000,199829000,277658000,1318200000,11817504000,2274963000,2274963000,14092467000,15410667000,2719042000,-7531180000,-626473000,-5438611000,-5398730000,10011937000,69152000,176393000,105767000,20803000,372115000,-52963000,-138397000,369000,-229814000,-1.5e+08,9405000,-7094000,-224254000,-81953000.0000001,-81953000.0000001,-3507000,-85460000,407371000,12480224000,371648000,0.74538,0.35426,0.10662,-0.01288,0.00694,5.34615,0.37544,-2.8545,1.24653,0.64457,0.63575,6.04549,-50.42755,3.44597,0.01561,0.03972,30.18663,53.23952
