"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",14.5646875,"Up",725808000,-348274000,-11674000,-75255000,-261345000,99716000,-50808000,-56136000,10572000,48908000,-40635000,8273000,-375000,7898000,7898000,8034000,-8854000,16092000,16092000,419903000,419903000,95667000,48432000,48432000,580094000,4850619000,5652880000,-802261000,372493000,1306630000,178755000,325046000,802829000,6529742000,7109836000,415690000,263527000,152163000,415690000,3735749000,302539000,12138000,290401000,4038288000,4453978000,1943171000,2655858000,2655858000,7109836000,7898000,75255000,1790000,1385000,86328000,-66045000,9277000,-56768000,34630000,-57139000,-22509000,7051000,7051000,7051000,174971000,3735749000,110686000,0.13739,-0.0122,-0.00333,-0.00125,-12.50124,1.3955,1.67704,0.52543,-0.07223,-0.07223,5.92114,15.8524,0.90298,-0.00132,0.01653,21.25871,37.30251
"32","2018_Q3",16.154126984127,"Up",752388000,-367943000,-13529000,-77680000,-276734000,101386000,-49773000,-57909000,8324000,51613000,-40486000,11127000,-256000,10871000,10871000,10997000,-6260000,7846000,7846000,432777000,432777000,92520000,42526000,42526000,575669000,4818688000,5686153000,-867465000,362852000,1300423000,173685000,325046000,801692000,6481963000,7057632000,384159000,239212000,144947000,384159000,3764914000,305768000,12244000,293524000,4070682000,4454841000,1874332000,2602791000,2602791000,7057632000,10871000,77680000,1143000,-25206000,64488000,-43733000,8551000,-35577000.0000001,27300000,-64457000,-37157000,-8246000,-8246000,-8246000,179066000,3764914000,110383000,0.13475,-0.00832,-0.00241,-0.00089,-17.63307,1.49852,1.71156,0.53345,-0.05107,-0.05107,6.13798,15.29081,0.9005,-0.00094,0.01654,20.98147,37.05707
"33","2018_Q4",15.7828571428571,"Down",745278000,-389484000,-24209000,-91876000,-273399000,82543000,-47499000,-58819000,9492000,35044000,-36395000,-1351000,-283000,-1634000,-1634000,-323000,-17958000,11878000,11878000,365646000,365646000,85722000,298178000,42659000,761424000,4523151000,5405984000,-882833000,356468000,1294125000,168291000,325046000,800788000,6173744000,6935168000,430006000,194489000,235517000,430006000,3681186000,288116000,12293000,275823000,3969302000,4399308000,1791133000,2535860000,2535860000,6935168000,-1634000,91876000,-146000,66652000,156748000,-6231000,8214000,-582000,-85600000,-66534000,-152134000,4032000,4032000,4032000,174419000,3681186000,235123000,0.11075,-0.0241,-0.00708,-0.00259,-13.09294,1.77073,1.73484,0.5308,-0.1465,-0.1465,6.07998,14.61207,1.91813,-0.00276,0.03614,21.03732,44.45329
"34","2019_Q1",15.5811475409836,"Down",689296000,-359405000,-17486000,-68379000,-273540000,1164019000,-32462000,-56327000,15238000,1131557000,-1159900000,-28343000,-584000,-28927000,-28927000,-24783000,-42804000,10300000,10300000,323462000,323462000,73531000,35986000,35986000,443279000,4417033000,5440858000,-1023825000,355085000,1263674000,162602000,301959000,799113000,6035792000,6479071000,332834000,127327000,205507000,332834000,3432463000,271774000,12576000,259198000,3704237000,4037071000,1680534000,2.442e+09,2.442e+09,6479071000,-28927000,68379000,88006000,-44983000,82475000,230741000,-81000,233620000,-250600000,-67073000,-317673000,-1578000,-1578000,-1578000,1232398000,3432463000,1418740000,1.68871,-0.0621,-0.01753,-0.00661,-33.14503,1.33183,1.65318,0.52978,-0.3492,-0.3492,5.62328,13.7098,11.57409,-0.00696,0.23083,2.77683,2.93995000000001
"35","2019_Q2",16.4573015873016,"Up",620009000,-351765000,-11686000,-77638000,-262441000,100139000,-45680000,-55701000,12997000,54459000,-38110000,16349000,-402000,15947000,15947000,15954000,-2461000,11204000,11204000,307390000,307390000,80147000,41329000,41329000,440070000,4378278000,5471477000,-1093199000,350258000,1446205000,150494000,301959000,993752000,6174741000,6614811000,402966000,144629000,258337000,402966000,3406247000,415438000,12828000,402610000,3821685000,4224651000,1611652000,2390160000,2390160000,6614811000,15947000,77638000,12069000,8367000,114021000,-29254000,5425000,-23829000,-28100000,-61188000,-89288000,904000,904000,904000,177777000,3406247000,157292000,0.16151,-0.00397,-0.00103,-0.00037,-63.91386,1.09208,1.76752,0.51494,-0.02008,-0.02008,5.05804,13.14786,1.28319,-4e-04,0.02532,19.0972,33.9033
"36","2019_Q3",16.42859375,"Down",634785000,-357495000,-13412000,-79353000,-264730000,110240000,-45153000,-55507000,15046000,65087000,-23292000.0000001,41795000,-143000,41652000,41652000,40120000,21436000,9579000,9579000,297847000,297847000,84094000,44877000,44877000,436397000,4345007000,5505360000,-1160353000,344583000,1428956000,147178000,301959000,979819000,6118546000,6554943000,353001000,132026000,220975000,353001000,3433137000,410601000,12911000,397690000,3843738000,4196739000,1568089000,2358204000,2358204000,6554943000,41652000,79353000,-3476000,-35940000,81589000,-38551000,5386000,-33165000,2.5e+07,-75049000,-50049000,-1625000,-1625000,-1625000,189593000,3433137000,115245000,0.17367,0.03377,0.00909,0.00327,5.37624,1.23625,1.77963,0.52375,0.17487,0.17487,5.17858,12.79248,0.940170000000001,0.00346,0.01858,18.05741,31.0555
"37","2019_Q4",15.62078125,"Down",621697000,-365656000,-14999000,-83522000,-267135000,95269000,-34869000,-54673000,11830000,60400000,-42482000,17918000,-111000,17807000,17807000,17557000,-1127000,56609000,56609000,330581000,330581000,72087000,58469000,58469000,517746000,4309372000,5521434000,-1212062000,336900000,1396663000,142715000,301959000,951989000,6042935000,6560681000,413925000,188703000,225222000,413925000,3415033000,390039000,12872000,377167000,3805072000,4218997000,1501897000,2292012000,2341684000,6560681000,17807000,83522000,-2640000,37430000,136119000,-40903000,7522000,-33381000,29400000,-85108000,-55708000,47030000,47030000,47030000,178791000,3415033000,175429000,0.15324,-0.00181,-0.00048,-0.00017,-155.66016,1.25082,1.80169,0.52053,-0.00919,-0.00919,5.07181,12.25248,1.43115,-0.00018,0.02854,18.78408,35.25201
"38","2020_Q1",10.9738709677419,"Down",604329000,-359301000,-12590000,-79293000,-267418000,26051000,-46280000,-53559000,16611000,-20229000,44888000,24659000,1000.00000000003,24660000,24660000,22368000,3684000,29128000,29128000,417002000,417002000,65137000,81807000,81807000,593074000,4294475000,5540596000,-1246121000,334523000,1375569000,138927000,301959000,934683000,6004567000,6597641000,415495000,218737000,196758000,415495000,3429237000,406490000,12640000,393850000,3835727000,4251222000,1431171000,2221286000,2346419000,6597641000,24660000,79293000,27560000,-80955000,50558000,-53353000,2917000,-50436000,-37100000,-86126000,-326000,-204000,-204000,-204000,105344000,3429237000,-28965000,0.04311,0.0061,0.00157,0.00056,-7.86238000000003,1.42739,1.81179,0.51977,0.03005,0.03005,4.93012,11.6755,-0.2363,0.000599999999999999,-0.00469,32.27625,130.51741
"39","2020_Q2",5.5815873015873,"Down",539923000,-331900000,-9373000,-74357000,-248170000,208023000,-30548000,-54965000,14159000,177475000,-148861000,28614000,365000,28979000,28979000,24909000,6225000,18137000,18137000,315645000,315645000,70161000,92937000,92937000,496880000,4256491000,5567710000,-1311219000,327942000,1353145000,136071000,301959000,915115000,5937578000,6434458000,324809000,151868000,172941000,324809000,3440571000,378406000,12125000,366281000,3818977000,4143786000,1371338000,2161453000,2290672000,6434458000,28979000,74357000,-21318000,7534000,89552000,-37940000,7060000,-30880000,18100000,-91668000,-73568000,-14896000,-14896000,-14896000,282380000,3440571000,251609000,0.38528,0.01153,0.00272,0.00097,40.41912,1.52976,1.80898,0.53471,0.05078,0.05078,4.40469,11.18738,2.05263,0.00102,0.04118,12.11996,16.45219
"40","2020_Q3",4.911875,"Down",388467000,-311104000,-25413000,-80120000,-205571000,77363000,-43550000,-51618000,12618000,33813000,-355583000,-321770000,-795000,-322565000,-322565000,-326714000,-345398000,28020000,28020000,238300000,238300000,109531000,96939000,96939000,472790000,3950907000,5188913000,-1238006000,322412000,1323328000,131969000,301959000,889400000,5596647000,6069437000,303657000,118606000,185051000,303657000,3432576000,401457000,12770000,388687000,3834033000,4137690000,1008254000,1798369000,1931747000,6069437000,-322565000,80120000,293071000,11984000,62610000,-31194000,5976000,-25218000,4887000,-38287000,-33400000,3992000,3992000,3992000,157483000,3432576000,139068000,0.19915,-0.88913,-0.1788,-0.05691,-0.402630000000009,1.55699,2.14194,0.56555,-2.81776,-2.81776,3.16912,8.22534,1.13452,-0.0599,0.02412,21.61856,44.00755
"41","2020_Q4",4.9175,"Up",443125000,-293835000,-11072000,-67733000,-215030000,-109354000,-29467000,-51312000,14439000,-138821000,113386000,-25435000,-145000,-25580000,-25580000,-29717000,-48401000,36504000,36504000,247819000,247819000,89811000,142458000,142458000,516592000,3913749000,5209403000,-1295654000,321541000,1201468000,129178000,301959000,770331000,5436758000,5953350000,333602000,151762000,181840000,333602000,3358728000,391535000,12665000,378870000,3750263000,4083865000,941895000,1732010000,1869485000,5953350000,-25580000,67733000,48685000,52628000,143466000,-30800000,1907000,-28893000,-74518000,-41540000,-116058000,-1485000,-1485000,-1485000,-41621000,3358728000,-19648000,-0.24678,-0.10923,-0.02589,-0.00813,0.40594,1.54853,2.18449,0.56417,-0.39486,-0.39486,3.61502,7.68398,-0.16029,-0.00861,-0.0035,-79.82086,-30.38045
"42","2021_Q1",6.75,"Up",453140000,-310818000,-11062000,-73112000,-226644000,-42402000,-49464000,-51884000,22803000,-91866000,11469999.9999999,-80396000,-752000,-81148000,-81148000,-85156000,-103840000,21282000,21282000,392465000,392465000,99877000,66545000,66545000,580169000,3851334000,5173475000,-1322141000,319068000,1183048000,128742000,301959000,752347000,5353450000,5933619000,383411000,198433000,184978000,383411000,3393716000,406335000,13317000,393018000,3800051000,4183462000,818848000,960042000,1750157000,5933619000,-81148000,73112000,42672000,-33519000,1117000,-21162000,2397000,-18765000,50835000,-50185000,650000,-16998000,-16998000,-16998000,30710000,3393716000,-23219000,-0.09357,-0.22916,-0.05933,-0.0175,0.2236,1.51318,2.39034,0.57195,-0.84713,-0.84713,3.69672,6.68017,-0.18942,-0.01871,-0.00418,109.8155,-79.53479
"43","2021_Q2",9.13444444444444,"Up",521219000,-295469000,-11666000,-66286000,-217517000,225750000,-57234000,-57829000,20660000,168516000,-197729000,-29213000,-222000,-29435000,-29435000,-34224000,-52908000,18449000,18449000,473929000,473929000,72427000,79338000,79338000,644143000,3825124000,5206508000,-1381384000,310024000,1170322000,127848000,301959000,740515000,5305470000,5949613000,454094000,257728000,196366000,454094000,3370262000,423578000,13389000,410189000,3793840000,4247934000,747909000,911564000,1701679000,5949613000,-29435000,66286000,45370000,-5062000,77159000,-39365000,9314000,-30051000,-7821000,-32518000,-40339000,6769000,6769000,6769000,292036000,3370262000,247831000,0.43312,-0.10151,-0.03109,-0.00889,-4.68419,1.41852,2.49632,0.56647,-0.43162,-0.43162,4.25211,6.10144,2.02181,-0.00963,0.0451,11.4774,14.84746
"44","2021_Q3",8.431875,"Down",503855000,-316537000,-12907000,-67541000,-236089000,187318000,-60792000,-59169000,14222000,126526000,-161781000,-35255000,-525000,-35780000,-35780000,-41682000,-60366000,24205000,24205000,433310000,433310000,78327000,83879000,83879000,619721000,3874647000,5312157000,-1437510000,302940000,1166179000,127947000,301959000,736273000,5343766000,5963487000,520003000,301676000,218327000,520003000,3343142000,436018000,13719000,422299000,3779160000,4299163000,669562000,874209000,1664324000,5963487000,-35780000,67541000,42930000,36334000,111025000,-72015000,7701000,-64314000,13855000,-48065000,-34210000,12501000,12501000,12501000,254859000,3343142000,219703000,0.37177,-0.11981,-0.03627,-0.01012,-3.63952,1.19176,2.58313,0.5606,-0.49247,-0.49247,4.11045,5.46229,1.79234,-0.01109,0.04036,13.02264,17.7182
"45","2021_Q4",10.3584375,"Up",518821000,-407673000,-14371000,-67148000,-326154000,111148000,-47898000,-59940000,10301000,63250000,-76654000,-13404000,-423000,-13827000,-13827000,-20899000,-39583000,10407000,10407000,321637000,321637000,87220000,62419000,62419000,481683000,3890684000,5385516000,-1494832000,846202000,607757000,127148000,301959000,178650000,5344643000,5826326000,378119000,176091000,202028000,378119000,3359577000,434828000,13947000,420881000,3794405000,4172524000,611876000,1401991000,1653802000,5826326000,-13827000,67148000,25667000,-24815000,54173000,-106369000,6982000,-99387000,-38218000,-40460000,14422000,-30792000,-30792000,-30792000,178296000,3359577000,47535000,0.21423,-0.07629,-0.02393,-0.00679,-1.20089,1.27389,2.52299,0.57662,-0.32292,-0.32292,4.23254,4.99169,0.38779,-0.00727,0.00872,18.78432,30.13253
"46","2022_Q1",11.0024193548387,"Up",581581000,-303523000,-22241000,-108771000,-172511000,-368879000,-46134000,-56786000,12715000,-415013000,356523000,-58490000,-5e+05,-58990000,-58990000,-68262000,-86946000,19987000,19987000,400334000,400334000,77958000,44205000,44205000,542484000,3912185000,5464040000,-1551855000,843055000,608077000,127063000,301959000,179055000,5363317000,5905801000,496939000,264316000,232623000,496939000,2979505000,449222000,14297000,434925000,3428727000,3925666000,641313000,1685389000,1980135000,5905801000,-58990000,108771000,22226000,23587000,95594000,-83042000,2677000,-80365000,-3.84e+08,378267000,-5733000,9496000,9496000,9496000,-260108000,2979505000,-319063000,-0.63427,-0.1495,-0.04391,-0.01472,3.66967,1.09165,1.98252,0.5045,-0.70931,-0.70931,4.74454,5.18609,-2.60292,-0.01607,-0.05899,-11.37804,-8.023
"47","2022_Q2",10.791935483871,"Down",631947000,-341981000,-15122000,-69506000,-257353000,289966000,-46918000,-55104000,12444000,243048000,-238295000,4753000,-304000,4449000,4449000,-5250000,-23934000,9547000,9547000,531791000,531791000,84094000,44167000,44167000,669599000,3911770000,5519055000,-1607285000,837990000,599840000,126783000,301959000,171098000,5349600000,6019199000,597205000,365935000,231270000,597205000,3026803000,452085000,14476000,437609000,3478888000,4076093000,885749000,1675864000,1943106000,6019199000,4449000,69506000,9459000,-29169000,54245000,-80199000,4685000,-75514000,45800000,-34971000,10829000,-10440000,-10440000,-10440000,359472000,3026803000,250408000,0.45885,-0.03787,-0.01232,-0.00398,-10.46244,1.12122,2.09772,0.50286,-0.19525,-0.19525,5.15542,7.22593,2.04283,-0.00441,0.04618,8.39358,10.40555
"48","2022_Q3",9.87109375,"Down",721725000,-404176000,-20665000,-73673000,-309838000,317549000,-26499000,-55959000,14572000,291050000,-220964000,70086000,-571000,69515000,69515000,35347000,16663000,10070000,10070000,453502000,453502000,91834000,49685000,49685000,605091000,3937675000,5599512000,-1661837000,834819000,593875000,126700000,301959000,165216000,5366369000,5971460000,509455000,256086000,253369000,509455000,3325226000,456123000,14897000,441226000,3781349000,4290804000,890541000,1680656000,1680656000,5971460000,69515000,73673000,-42085000,2939000,104042000,-61111000,2711000,-58400000,306963000,-338641000,-31678000,13964000,13964000,13964000,391222000,3325226000,333621000,0.43999,0.02309,0.00991,0.00279,20.02166,1.18772,2.55305,0.55685,0.13594,0.13594,5.88783,7.26502,2.72168,0.00305,0.06108,8.47385,10.43983
