"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2020_Q2",12.1849206349206,"Up",-131099000,-40215000,-89120000,-1764000,-77126000,-10530000,-2214000,-87656000,-931000,-88587000,-88948000,-88948000,-88948000,-88948000,338873000,123231000,215642000,15690000,15690000,407949000,80189000,250211000,29414000,330400000,738349000,82961000,16239000,91714000,94305000,89254000,244041000,335755000,2240953000,-1857558000,19199000,402594000,402594000,738349000,-88948000,1764000,24420000,-45178000,-107942000,-806000,94052000,93246000,-21000,6077000,6077000,-1487000,-16183000,-16183000,-20448000,-75362000,149736000,-0.22094,-0.12047,4.44806,0.83398,0.2028,-0.34614,-0.34614,1.56671,-0.13756,2.50971,2.45231
"40","2020_Q3",14.57484375,"Up",-106307000,-34657000,-69611000,-2039000,-50630000,2556000,-2770000,-48074000,-715000,-48789000,-52492000,-52492000,-52492000,-52492000,309590000,164573000,145017000,18275000,18275000,383884000,70894000,246673000,25876000,317567000,701451000,99784000,14306000,108300000,82161000,77110000,232198000,340498000,2253463000,-1910050000,17540000,360953000,360953000,701451000,-52492000,2039000,4366000,12569000,-33518000,-1070000,71082000,70012000,-16999.9999999851,4657000,4657000,4085999.99999999,40580000,40580000,41369000,-48591000,150037000,-0.14543,-0.07483,3.54464,0.94333,0.2139,-0.20336,-0.20336,1.39834,-0.0885,3.28359,3.15135
"41","2020_Q4",20.450625,"Up",-110765000,-37850000,-70419000,-2496000,-51727000,-3247000,-6266000,-54974000,-8310000,-63284000,-64011000,-64011000,-64011000,-64011000,509082000,210631000,298451000,15600000,15600000,585277000,68015000,247250000,26453000,315265000,900542000,104359000,14764000,111727000,79962000,74911000,468546000,580273000,2277423000,-1974061000,16907000,320269000,320269000,900542000,-64011000,2496000,18122000,1385000,-42008000,-284000,-153777000,-154061000,230660000,9294000,9294000,238711000,42642000,42642000,46163000,-49231000,388584000,-0.19987,-0.07108,5.23846,1.81183,0.4315,-0.24698,-0.24698,1.23572,-0.08115,2.4476,2.3295
"42","2021_Q1",15.4785245901639,"Down",-125525000,-43685000,-79293000,-2547000,-64371000,-8759000,-7949000,-73130000,-464000,-73594000,-71401000,-71401000,-71401000,-71401000,483269000,163240000,320029000,29721000,29721000,579469000,66863000,240188000,42391000,307051000,886520000,113904000,17063000,129676000,81210000,76314000,470464000,600140000,2311228000,-2045462000,20614000,286380000,286380000,886520000,-71401000,2547000,19872000,-840000.000000004,-49822000,-1067000,-21709000,-22776000,-18000,22254000,22254000,21548000,-51050000,-51050000,-47265000,-61824000,389254000,-0.24932,-0.08054,4.46859,2.09561,0.43908,-0.27336,-0.27336,1.09642,-0.09434,1.52069,1.46052
"43","2021_Q2",9.76079365079365,"Down",-112447000,-46726000,-64117000,-1604000,-52584000,-11027000,-7827000,-63611000,-471000,-64082000,-65664000,-65664000,-65664000,-65664000,417429000,184833000,232596000,21730000,21730000,502891000,43445000,263698000,20538000,307143000,810034000,73288000,16110000,99652000,69697000,64801000,459486000,559138000,2353187000,-2111126000,8835000,250896000,250896000,810034000,-65664000,1604000,24226000,-32520000,-72354000,-868000,87433000,86565000,18862000,4161000,4161000,8829000,23040000,23040000,21887000,-50980000,389789000,-0.26172,-0.08106,5.04647,2.22856,0.4812,-0.24838,-0.24838,0.94904,-0.09243,0.54217,0.52564
"44","2021_Q3",10.2290625,"Up",-106846000,-42276000,-63003000,-1567000,-37813000,-7866000,-8100000,-45679000,-1021000,-46700000,-51225000,-51225000,-51225000,-51225000,383068000,176538000,206530000,24176000,24176000,480502000,42365000,264025000,21200000,306390000,786892000,85087000,13762000,111993000,70555000,65659000,460989000,572982000,2367179000,-2162351000,9082000,213910000,213910000,786892000,-51225000,1567000,13791000,-56000,-35923000,-366000,26079000,25713000,-20999.9999999851,2500000,2500000,2235000.00000001,-7975000,-7975000,-8260999.99999997,-36246000,390434000,-0.23947,-0.0651,4.29046,2.67861,0.49617,-0.19376,-0.19376,0.80913,-0.0759,-0.20322,-0.1948
"45","2021_Q4",11.14453125,"Up",-106960000,-46107000,-59333000,-1520000,-39111000,-7820000,-8057000,-46931000,-3545000,-50476000,-50294000,-50294000,-50294000,-50294000,556960000,385903000,171057000,20081000,20081000,650540000,64991000,241144000,43347000,306135000,956675000,96927000,24474000,121102000,70225000,65329000,458944000,580046000,2582758000,-2212645000,6516000,376629000,376629000,956675000,-50294000,1520000,17050000,8024000,-23700000,-890000,35462000,34572000,-71000,201446000,201446000,201113000,211985000,211985000,209283000,-37591000,388719000,-0.13354,-0.05257,5.37184,1.5401,0.40632,-0.18804,-0.18804,1.40815,-0.06019,4.47557,4.30163
"46","2022_Q1",9.37629032258065,"Down",-144715000,-57601000,-85596000,-1518000,-70412000,-8150000,-7978000,-78562000,-1734000,-80296000,-83277000,-83277000,-83277000,-83277000,482496000,245197000,237299000,34848000,34848000,596834000,65496000,242810000,45013000,308306000,905140000,119666000,21513000,145975000,62439000,57509000,451796000,597771000,2598227000,-2295922000,5064000,307369000,307369000,905140000,-83277000,1518000,15631000,-4386000,-70514000,-1760000,-66329000,-68089000,-19000,1871000,1871000,-104000,-138707000,-138707000,-139615000,-68894000,389357000,-0.27093,-0.092,4.0886,1.9448,0.43016,-0.31136,-0.31136,1.14919,-0.1097,1.35192,1.32277
"47","2022_Q2",8.235,"Down",-141044000,-58116000,-81517000,-1411000,-69911000,-6112000,-8014000,-76023000,-5428000,-81451000,-85260000,-85260000,-85260000,-85260000,411195000,233317000,177878000,30960000,30960000,518900000,57544000,250494000,52697000,308038000,826938000,103293000,22914000,129699000,68628000,63698000,458622000,588321000,2620744000,-2381182000,-945000,238617000,238617000,826938000,-85260000,1411000,37389000,-11855000,-58315000,-871000,59084000,58213000,-20000,859000,859000,-8154000,-8256000,-8256000,-11633000,-68500000,389994000,-0.35731,-0.1031,4.0008,2.46555,0.47161,-0.31877,-0.31877,0.89214,-0.12228,0.3095,0.30326
"48","2022_Q3",11.1421875,"Up",-133032000,-53379000,-78319000,-1334000,-60498000,-633000,-7901000,-61131000,-114999.999999999,-61246000,-62157000,-62157000,-62157000,-62157000,386841000,235639000,151202000,37367000,37367000,497643000,56657000,246289000,48492000,302946000,800589000,137816000,23113000,164625000,71887000,66957000,462539000,627164000,2633921000,-2443339000,-17157000,173425000,173425000,800589000,-62157000,1334000,18565000,26396000,-15862000,-355000,26647000,26292000,-20999.9999999999,999000.000000007,999000.000000007,693000,11123000,11123000,2038000,-59164000,390652000,-0.35841,-0.07764,3.02289,3.61634,0.48796,-0.21289,-0.21289,0.59398,-0.09774,-0.06441,-0.06299
