"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",66.2726984126984,"Up",1.07e+09,-8.34e+08,-8.34e+08,2.36e+08,-1.77e+08,-8.9e+07,-8.8e+07,5.9e+07,-3.5e+07,-2e+07,-2e+07,1e+06,-1.6e+07,2.4e+07,1.1e+07,3.5e+07,-1.6e+07,1.9e+07,1.9e+07,1.8e+07,1.8e+07,4.39e+08,3.83e+08,5.6e+07,3.6e+08,3.6e+08,1.5e+07,4.54e+08,1.5e+08,8e+07,2.24e+08,1.268e+09,4.243e+09,1.99e+08,2.151e+09,6.82e+08,1.52e+08,2.98e+08,1.019e+09,6.593e+09,7.861e+09,8.48e+08,1.51e+08,6.97e+08,3.52e+08,1.2e+09,1.444e+09,1.55e+09,1.55e+09,2.994e+09,4.194e+09,1.157e+09,2.666e+09,-1.72e+08,3.651e+09,1.6e+07,3.667e+09,7.861e+09,1.9e+07,1.9e+07,8.8e+07,-1.5e+07,9.2e+07,-7.9e+07,-2e+06,-4.7e+07,-1.18e+08,1.04e+08,-2.07e+08,-2e+06,-1.05e+08,-1.31e+08,-1.31e+08,-2e+06,-1.33e+08,1.47e+08,1.796e+09,0.22056,0.05514,0.01682,0.00491,0.00229,1.05667,1.14371,0.22847,0.14515,0.14353,8.62827,29.44095,0.00257,9.23129,23
"32","2018_Q1",76.9662295081967,"Up",1.117e+09,-8.86e+08,-8.86e+08,2.31e+08,-1.86e+08,-9.9e+07,-8.7e+07,4.5e+07,2.11e+08,-1.9e+07,-1.9e+07,2.2e+08,1e+07,2.56e+08,1.86e+08,4.42e+08,-2.29e+08,2.13e+08,2.13e+08,2.13e+08,2.13e+08,5.52e+08,5.03e+08,4.9e+07,3.5e+08,3.5e+08,1.4e+07,4.11e+08,1.53e+08,2.4e+07,2.34e+08,1.327e+09,4.034e+09,2.12e+08,1.999e+09,3.05e+08,1.5e+08,1.41e+08,1.403e+09,6.245e+09,7.572e+09,6.33e+08,1.36e+08,4.97e+08,1.1e+07,9.92e+08,1.44e+09,1.287e+09,1.287e+09,2.727e+09,3.719e+09,9.68e+08,3.054e+09,-1.85e+08,3.837e+09,1.6e+07,3.853e+09,7.572e+09,2.13e+08,2.13e+08,8.7e+07,-4.4e+07,3.81e+08,-8.6e+07,1.2e+07,3.6e+08,2.89e+08,-3.41e+08,-1.88e+08,-5e+06,-5.34e+08,1.36e+08,1.36e+08,-7e+06,1.29e+08,1.32e+08,1.451e+09,0.2068,0.04029,0.19069,0.05528,0.02813,1.3377,0.96522,0.19163,1.77373,1.74336,9.30168,31.95216,0.03232,6.81061,19.97778
"33","2018_Q2",78.1075,"Up",1.109e+09,-8.52e+08,-8.52e+08,2.57e+08,-1.78e+08,-9.5e+07,-8.3e+07,7.9e+07,-5e+07,-1.9e+07,-1.9e+07,-1.3e+07,-1.8e+07,2.9e+07,5.32e+08,5.61e+08,-1.5e+08,4.11e+08,4.11e+08,4.11e+08,4.11e+08,1.214e+09,1.16e+09,5.4e+07,3.67e+08,3.67e+08,1.3e+07,6.02e+08,1.36e+08,1.6e+07,4.5e+08,2.196e+09,3.572e+09,1.74e+08,2.045e+09,3.05e+08,1.54e+08,1.49e+08,1.437e+09,5.791e+09,7.987e+09,7.06e+08,1.31e+08,5.75e+08,1.1e+07,1.051e+09,1.439e+09,1.303e+09,1.303e+09,2.742e+09,3.793e+09,9.07e+08,3.511e+09,-2.3e+08,4.188e+09,6e+06,4.194e+09,7.987e+09,4.11e+08,4.11e+08,8.3e+07,-4.28e+08,6.6e+07,-6e+07,7e+06,9.76e+08,9.23e+08,-1e+06,-7.5e+07,-1.5e+07,-1.09e+08,8.8e+08,8.8e+08,-3e+06,8.77e+08,1.62e+08,1.45e+09,0.23174,0.07124,0.3706,0.098,0.05146,2.08944,0.90439,0.18155,3.46391,3.40293,9.34666,35.29648,0.06175,1.45679,2.98734
"34","2018_Q3",77.2980952380952,"Down",1.133e+09,-8.64e+08,-8.64e+08,2.69e+08,-1.62e+08,-8.3e+07,-7.9e+07,1.07e+08,-1.2e+07,-1.9e+07,-1.9e+07,2e+06,4999999.99999999,9.5e+07,7e+06,1.02e+08,-2.5e+07,77000000.0000001,77000000.0000001,7.7e+07,7.7e+07,7.82e+08,6.28e+08,1.54e+08,3.79e+08,3.79e+08,1.3e+07,5.53e+08,1.52e+08,1.2e+07,2.54e+08,1.727e+09,3.376e+09,2.07e+08,2.006e+09,2.94e+08,1.52e+08,1.53e+08,1.407e+09,5.589e+09,7.316e+09,5.42e+08,1.3e+08,4.12e+08,1.1e+07,9.16e+08,1.429e+09,1.27e+09,1.27e+09,2.699e+09,3.615e+09,4e+08,3.571e+09,-2.76e+08,3.695e+09,6e+06,3.701e+09,7.316e+09,7.7e+07,76999999.9999999,7.9e+07,-1.79e+08,-2.3e+07,-6.1e+07,-9.9e+07,2999999.99999976,-1.62e+08,-999999.99999997,-5.13e+08,-7e+06,-5.38e+08,-7.23e+08,-7.23e+08,4e+06,-7.19e+08,1.86e+08,1.44e+09,0.23742,0.09444,0.06796,0.02081,0.01052,1.88537,0.97676,0.19683,0.672140000000001,0.661220000000001,9.89007,32.25402,0.01466,3.53763,6.14953
"35","2018_Q4",69.0595238095238,"Down",1.074e+09,-8.49e+08,-8.49e+08,2.25e+08,-1.63e+08,-8.2e+07,-8.1e+07,6.2e+07,-3.4e+07,-1.9e+07,-1.9e+07,-6e+06,-9e+06,2.8e+07,2.28e+08,2.56e+08,-1.9e+07,2.37e+08,2.37e+08,2.37e+08,2.37e+08,1.231e+09,1.014e+09,2.17e+08,4.36e+08,4.36e+08,1.3e+07,2.63e+08,1.4e+08,5.6e+07,2.3e+07,1.943e+09,3.57e+09,2.25e+08,1.986e+09,2.96e+08,1.32e+08,1.49e+08,1.409e+09,5.781e+09,7.724e+09,5.53e+08,1.27e+08,4.26e+08,1.1e+07,8.97e+08,1.622e+09,1.27e+09,1.27e+09,2.892e+09,3.789e+09,3.4e+08,3.791e+09,-2.02e+08,3.929e+09,6e+06,3.935e+09,7.724e+09,2.37e+08,2.37e+08,8.1e+07,-2.16e+08,1.02e+08,-7.4e+07,-5.4e+07,3.13e+08,-6.3e+07,1.88e+08,-6.6e+07,-1e+06,1.04e+08,1.43e+08,1.43e+08,2e+06,1.45e+08,1.43e+08,1.633e+09,0.2095,0.05773,0.22067,0.06023,0.03068,2.16611,0.9629,0.21142,2.12829,2.0932,9.64468,35.283,0.03715,2.81119,6.48387
"36","2019_Q1",70.0531147540984,"Up",1.138e+09,-9.1e+08,-9.1e+08,2.28e+08,-1.44e+08,-6e+07,-8.4e+07,8.4e+07,-2.1e+07,-1.9e+07,-1.9e+07,2.5e+07,-2.7e+07,6.3e+07,-3.1e+07,3.2e+07,1.2e+07,4.4e+07,4.4e+07,43999999.9999999,43999999.9999999,6.86e+08,5.7e+08,1.16e+08,4.27e+08,4.27e+08,1.4e+07,2.18e+08,1.49e+08,3.6e+07,3.3e+07,1.345e+09,3.608e+09,2.33e+08,2.457e+09,6.28e+08,2.83e+08,1.8e+08,1.366e+09,6.298e+09,7.643e+09,6.62e+08,1.51e+08,5.11e+08,1.1e+07,1.061e+09,1.623e+09,1.282e+09,1.282e+09,2.905e+09,3.966e+09,5.1e+07,3.819e+09,-2e+08,3.67e+09,7e+06,3.677e+09,7.643e+09,4.4e+07,4.4e+07,8.4e+07,1.47e+08,1.96e+08,-1.02e+08,1.05e+08,9.8e+07,-3.24e+08,-1e+06,-2.92e+08,2e+06,-3.07e+08,-4.35e+08,-4.35e+08,2e+06,-4.33e+08,1.68e+08,1.634e+09,0.20035,0.07381,0.0386599999999999,0.01197,0.00576,1.26767,1.0786,0.21379,0.40565,0.39983,10.49155,33.83478,0.0091,5.64286,11.28571
"37","2019_Q2",74.767619047619,"Up",1.241e+09,-1.007e+09,-1.007e+09,2.34e+08,-2.08e+08,-1.28e+08,-8e+07,2.6e+07,2.9e+07,-1.9e+07,-1.9e+07,-3e+06,5.1e+07,5.5e+07,2.8e+07,8.3e+07,-2e+07,6.3e+07,6.3e+07,6.3e+07,6.3e+07,6.01e+08,5.47e+08,5.4e+07,4.72e+08,4.72e+08,1.4e+07,2.15e+08,1.56e+08,3.5e+07,2.4e+07,1.302e+09,3.605e+09,2.3e+08,2.898e+09,4.81e+08,3.2e+08,1.73e+08,1.924e+09,6.733e+09,8.035e+09,5.45e+08,1.74e+08,3.71e+08,1.31e+08,1.105e+09,1.621e+09,1.681e+09,1.681e+09,3.302e+09,4.407e+09,999999.99999997,3.831e+09,-2.1e+08,3.622e+09,6e+06,3.628e+09,8.035e+09,6.3e+07,6.3e+07,8e+07,-1.3e+08,1.3e+07,-6.6e+07,5.6e+07,-1.4e+07,-3.9e+07,1.19e+08,-1.02e+08,-2e+06,-5e+06,-3.1e+07,-3.1e+07,0,-3.1e+07,1.06e+08,1.752e+09,0.18856,0.02095,0.05077,0.01736,0.00784,1.17828,1.21472,0.21805,0.59447,0.58594,11.71018,34.1775,0.01175,10.85849,44.26923
"38","2019_Q3",75.0915625,"Up",1.289e+09,-1.03e+09,-1.03e+09,2.59e+08,-1.78e+08,-9.5e+07,-8.3e+07,8.1e+07,1.4e+07,-2e+07,-2e+07,6e+06,2.8e+07,9.5e+07,9999999.99999997,1.05e+08,-1.9e+07,8.6e+07,8.6e+07,8.6e+07,8.6e+07,5.77e+08,5.15e+08,6.2e+07,4.97e+08,4.97e+08,1.3e+07,2.17e+08,1.47e+08,3.8e+07,3.2e+07,1.304e+09,3.615e+09,2.22e+08,2.941e+09,4.71e+08,3.22e+08,1.72e+08,1.976e+09,6.778e+09,8.082e+09,5.88e+08,1.49e+08,4.39e+08,9.1e+07,1.114e+09,1.621e+09,1.7e+09,1.7e+09,3.321e+09,4.435e+09,1e+06,3.853e+09,-2.12e+08,3.642e+09,5e+06,3.647e+09,8.082e+09,8.6e+07,8.6e+07,8.3e+07,-3000000.00000003,1.66e+08,-8e+07,-1000000.00000001,2.8e+07,-5.6e+07,-4.1e+07,-4.5e+07,-3.2e+07,-1.38e+08,-2.8e+07,-27999999.9999999,4e+06,-24000000.0000001,1.64e+08,1.712e+09,0.20093,0.06284,0.06672,0.02358,0.01064,1.17056,1.21607,0.21183,0.81617,0.80422,12.23299,34.56367,0.01502,6.92073,14.01235
"39","2019_Q4",77.680625,"Up",1.215e+09,-1.007e+09,-1.007e+09,2.08e+08,-1.68e+08,-8.3e+07,-8.5e+07,4e+07,1e+06,-1.9e+07,-1.9e+07,-5e+06,2.5e+07,4.1e+07,3.64e+08,4.05e+08,-1.09e+08,2.96e+08,2.96e+08,2.96e+08,2.96e+08,7.23e+08,6.6e+08,6.3e+07,4.34e+08,4.34e+08,1.2e+07,3.07e+08,1.29e+08,2.1e+07,1.4e+08,1.476e+09,3.519e+09,2.29e+08,2.905e+09,4.53e+08,3.22e+08,1.47e+08,1.983e+09,6.653e+09,8.129e+09,5.96e+08,1.44e+08,4.52e+08,1.1e+07,1.044e+09,1.612e+09,1.712e+09,1.712e+09,3.324e+09,4.368e+09,999999.999999999,4.003e+09,-2.48e+08,3.756e+09,5e+06,3.761e+09,8.129e+09,2.96e+08,2.96e+08,8.5e+07,-2.86e+08,9.5e+07,-9.8e+07,4e+06,4.87e+08,3.93e+08,-8.5e+07,-1.33e+08,1e+06,-2.37e+08,2.51e+08,2.51e+08,2e+06,2.53e+08,1.25e+08,1.623e+09,0.17119,0.03292,0.24362,0.0787,0.03641,1.41379,1.16139,0.19966,2.83707,2.79548,11.64542,36.00017,0.04453,7.2,22.5
"40","2020_Q1",75.4708064516129,"Down",1.275e+09,-1.033e+09,-1.033e+09,2.42e+08,-1.92e+08,-1.11e+08,-8.1e+07,5e+07,-2e+06,-1.7e+07,-1.7e+07,-8e+06,2.3e+07,4.8e+07,3.65e+08,4.13e+08,-9.2e+07,3.21e+08,3.21e+08,3.21e+08,3.21e+08,9.61e+08,8.93e+08,6.8e+07,4.21e+08,4.21e+08,1.2e+07,3.12e+08,1.34e+08,2.8e+07,1.5e+08,1.706e+09,3.456e+09,2.32e+08,3.023e+09,434204283.337546,3.26e+08,1.44e+08,2.116e+09,6.711e+09,8.417e+09,5.98e+08,1.5e+08,4.48e+08,1.1e+07,1.086e+09,1.612e+09,1.752e+09,1.752e+09,3.364e+09,4.45e+09,1e+06,4.17e+09,-2.09e+08,3.962e+09,5e+06,3.967e+09,8.417e+09,3.21e+08,3.21e+08,8.1e+07,-2.67e+08,1.22e+08,-1.25e+08,-6e+07,4.51e+08,2.87e+08,-1999999.99999999,-1.41e+08,2e+06,-1.61e+08,2.48e+08,2.48e+08,-5e+06,2.43e+08,1.31e+08,1.623e+09,0.1898,0.03922,0.25176,0.08092,0.03814,1.5709,1.12175,0.19282,3.12616,3.06214,12.417,38.58523,0.04645,5.05344,13.24
"41","2020_Q2",53.2442857142857,"Down",9.93e+08,-8.61e+08,-8.61e+08,1.32e+08,-1.27e+08,-4.7e+07,-8e+07,5e+06,-1e+08,-1.7e+07,-1.7e+07,-2e+06,-8.1e+07,-9.5e+07,-4.3e+07,-1.38e+08,3.5e+07,-1.03e+08,-1.03e+08,-1.03e+08,-1.03e+08,1.262e+09,1.194e+09,6.8e+07,3.65e+08,3.65e+08,1.2e+07,1.14e+08,6.5e+07,3.1e+07,1.8e+07,1.753e+09,3.294e+09,2.59e+08,2.992e+09,4.27e+08,3.26e+08,1.99e+08,2.04e+09,6.545e+09,8.298e+09,5.02e+08,1.33e+08,3.69e+08,3.6e+08,1.183e+09,1.602e+09,1.805e+09,1.805e+09,3.407e+09,4.59e+09,1e+06,3.989e+09,-2.85e+08,3.705e+09,3e+06,3.708e+09,8.298e+09,-1.03e+08,-1.03e+08,8e+07,5.9e+07,-1e+08,-5.5e+07,-1e+06,-9e+06,1.3e+07,3.49e+08,-6.9e+07,-7e+06,2.53e+08,1.66e+08,1.69e+08,-7331382.42566748,1.69e+08,8.5e+07,1.962e+09,0.13293,0.00504,-0.10373,-0.02778,-0.01241,1.48183,1.23786,0.23644,-1.01576,-1.01576,9.79267,36.53762,-0.0111,8.23529,140
"42","2020_Q3",53.64703125,"Up",2.5e+08,-3.34e+08,-3.34e+08,-8.4e+07,-1.74e+08,-1.01e+08,-7.3e+07,-2.58e+08,-7.2e+07,-3.5e+07,-3.5e+07,-2.3e+07,-1.4e+07,-3.3e+08,2.98023223876953e-08,-3.3e+08,9.4e+07,-2.36e+08,-2.36e+08,-2.36e+08,-2.36e+08,1.503e+09,1.438e+09,6.5e+07,3.13e+08,3.13e+08,1.1e+07,1.11e+08,5.3e+07,3.7e+07,2.1e+07,1.938e+09,3.237e+09,2.59e+08,3.146e+09,4.18e+08,2.88e+08,2.23e+08,2.217e+09,6.642e+09,8.58e+09,4.13e+08,9.3e+07,3.2e+08,9e+06,7.01e+08,2.491e+09,1.895e+09,1.895e+09,4.386e+09,5.087e+09,4e+06,3.753e+09,-2.67e+08,3.49e+09,3e+06,3.493e+09,8.58e+09,-2.36e+08,-2.36e+08,7.3e+07,5e+07,-2.3e+08,-3.3e+07,8e+06,-3.2e+07,-5.7e+07,5.4e+08,0,-7e+06,5.33e+08,2.46e+08,2.47e+08,-5567163.28149086,2.47e+08,-1.85e+08,2.5e+09,-0.336,-1.032,-0.944,-0.06756,-0.02751,2.76462,1.45634,0.29138,-2.33141,-2.33141,2.46972,34.47727,-0.02992,-5.38919,-3.86434
"43","2020_Q4",65.18578125,"Up",3.99e+08,-4.18e+08,-4.18e+08,-1.9e+07,-1.49e+08,-6.9e+07,-8e+07,-1.68e+08,-7.4e+07,-3.5e+07,-3.5e+07,-2e+07,-1.9e+07,-2.42e+08,2.2e+07,-2.2e+08,5.9e+07,-1.61e+08,-1.61e+08,-1.61e+08,-1.61e+08,2.088e+09,1.778e+09,3.1e+08,3.22e+08,3.22e+08,1.4e+07,2.14e+08,4.2e+07,1.6e+08,1.2e+07,2.638e+09,3.178e+09,2.6e+08,3.149e+09,4.12e+08,2.88e+08,2.43e+08,2.206e+09,6.587e+09,9.225e+09,4.32e+08,1.01e+08,3.31e+08,2.6e+08,9.7e+08,2.981e+09,1.921e+09,1.921e+09,4.902e+09,5.872e+09,8e+06,3.592e+09,-2.5e+08,3.35e+09,3e+06,3.353e+09,9.225e+09,-1.61e+08,-1.61e+08,8e+07,2.4e+07,-1.33e+08,-1.6e+07,-2.3e+08,-2.8e+07,-2.74e+08,7.41e+08,0,0,7.41e+08,3.34e+08,3.31e+08,-3269362.49656881,3.31e+08,-8.8e+07,3.241e+09,-0.04762,-0.42105,-0.40351,-0.04802,-0.01745,2.71959,1.75127,0.35133,-1.58919,-1.58919,3.93842,33.0669,-0.01891,-13.10227,-6.8631
"44","2021_Q1",78.6508196721311,"Up",2.699e+09,-4.54e+08,-443712414.297296,2.245e+09,-2.879e+09,-2.802e+09,-7.7e+07,-6.34e+08,2.12e+08,2.15e+08,-36450803.0138262,-2.5e+07,2.2e+07,-4.22e+08,5.9e+07,-3.63e+08,-4.45e+08,-8.08e+08,-8.08e+08,-8.08e+08,-8.08e+08,1.882e+09,1.207e+09,6.75e+08,3.16e+08,3.16e+08,9e+06,3.56e+08,6.4e+07,2.81e+08,1.1e+07,2.563e+09,3.126e+09,2.6e+08,3.18e+09,3.85e+08,2.88e+08,2.07e+08,2.3e+09,6.566e+09,9.129e+09,4.13e+08,1.02e+08,3.11e+08,2.6e+08,9.84e+08,2.984e+09,1.947e+09,1.947e+09,4.931e+09,5.915e+09,1.3e+07,3.389e+09,-1.92e+08,3.211e+09,3e+06,3.214e+09,9.129e+09,-2.03e+08,-278828821.855628,7.7e+07,7.3e+07,-1.48e+08,-1.8e+07,-3.78e+08,5.6e+07,-4.18e+08,-1e+06,7.45058059692383e-09,-1e+06,-2e+06,-5.68e+08,-5.69e+08,-4e+06,-5.73e+08,-60135253.1028722,3.244e+09,0.0687870071516974,-0.223162369715651,-0.521952732120431,-0.0933542287509718,-0.0307098104611912,2.60467,1.84039,0.35535,-2.71193678813369,-2.71073716993636,4.48072973030788,31.66825,-0.0331485967841138,-137.128172790895,7.518267075343
"45","2021_Q2",80.8193650793651,"Up",4.38e+08,-4.24e+08,-4.24e+08,1.4e+07,-1.69e+08,-9.5e+07,-7.4e+07,-1.55e+08,2.5e+07,-4.1e+07,-4.1e+07,5.4e+07,1.2e+07,-1.3e+08,1.2e+07,-1.18e+08,-1.86e+08,-3.04e+08,-3.04e+08,-3.04e+08,-3.04e+08,1.628e+09,1.078e+09,5.5e+08,3.4e+08,3.4e+08,9e+06,3.55e+08,5.8e+07,2.88e+08,9e+06,2.332e+09,3.183e+09,2.59e+08,2.995e+09,3.78e+08,2.88e+08,1.5e+07,2.314e+09,6.437e+09,8.769e+09,3.82e+08,1.02e+08,2.8e+08,2.6e+08,9.5e+08,2.982e+09,1.949e+09,1.949e+09,4.931e+09,5.881e+09,3.6e+07,3.085e+09,-2.37e+08,2.885e+09,3e+06,2.888e+09,8.769e+09,-3.04e+08,-3.04e+08,7.4e+07,1.86e+08,-9.1e+07,-1.9e+07,1e+08,-2.8e+07,-3.1e+07,-68910873.7449216,289938300.915188,-1.4e+07,-1.4e+07,-1.36e+08,-1.31e+08,-8596762.02234351,-1.31e+08,-8.1e+07,3.242e+09,0.0319600000000001,-0.35388,-0.69406,-0.10526,-0.03467,2.45474,2.03636,0.36971,-2.99431,-2.99431,4.31417,28.40653,-0.03763,-19.9259299999999,-10.4129
"46","2021_Q3",75.38140625,"Down",6.63e+08,-5.73e+08,-5.73e+08,9e+07,-1.6e+08,-8.6e+07,-7.4e+07,-7e+07,-5.1e+07,-4.2e+07,-4.2e+07,-3.4e+07,2.5e+07,-1.21e+08,1.27e+08,6e+06,-1.5e+07,-9000000.00000006,-9000000.00000006,-9e+06,-9e+06,1.737e+09,1.144e+09,5.93e+08,3.6e+08,3.6e+08,9e+06,3.68e+08,6.4e+07,2.86e+08,1.8e+07,2.474e+09,3.121e+09,2.62e+08,3.105e+09,3.69e+08,2.88e+08,1.6e+07,2.432e+09,6.488e+09,8.962e+09,4.16e+08,1.1e+08,3.06e+08,2.6e+08,1.017e+09,2.986e+09,2.05e+09,2.05e+09,5.036e+09,6.053e+09,4.7e+07,3.076e+09,-2.18e+08,2.906e+09,3e+06,2.909e+09,8.962e+09,-9e+06,-9e+06,7.4e+07,-4.7e+07,3.3e+07,-1.8e+07,-4e+07,1.4e+07,77999999.9999999,-2e+06,618277880.003675,0,-2000000.00000001,1.09e+08,1.04e+08,-7e+06,9.7e+07,4e+06,3.246e+09,0.13575,-0.10558,-0.01357,-0.00309,-0.001,2.43265,2.08078,0.3622,-0.08832,-0.08832,6.50633,28.50814,-0.0011,377.25,-21.55714
"47","2021_Q4",85.35640625,"Up",8.51e+08,-7.04e+08,-697690661.808178,1.47e+08,-1.4e+08,-6.9e+07,-7.1e+07,7e+06,-5.5e+07,-4e+07,-4e+07,-1.2e+07,-3e+06,-4.8e+07,3.06e+08,2.58e+08,-1.38e+08,1.2e+08,1.2e+08,1.2e+08,1.2e+08,2.775e+09,2.418e+09,3.57e+08,3.73e+08,3.73e+08,9e+06,82000000.0000001,5.9e+07,8e+06,1.5e+07,3.239e+09,2.876e+09,2.49e+08,3.113e+09,3.63e+08,2.88e+08,1.5e+07,2.447e+09,6.238e+09,9.477e+09,5.3e+08,1.09e+08,4.21e+08,1e+07,8.76e+08,2.978e+09,2.034e+09,2.034e+09,5.012e+09,5.888e+09,6.3e+08,3.196e+09,-2.41e+08,3.586e+09,3e+06,3.589e+09,9.477e+09,1.2e+08,64492542.7663988,7.1e+07,-2.72e+08,2.67e+08,-2.8e+07,2.49e+08,-1.4e+07,6.91e+08,-2.56e+08,5.75e+08,-3e+06,3.16e+08,1.274e+09,1.274e+09,4e+06,1.278e+09,7.8e+07,2.988e+09,0.17274,0.00823,0.14101,0.03344,0.01266,3.69749,1.64057,0.31529,1.17979,1.17979,8.36665,35.24612,0.01394,2.73076999999989,30.42857
"48","2022_Q1",93.8687096774194,"Up",4.487e+09,-7.9e+08,-770003148.423386,3.697e+09,-3.598e+09,-3.507e+09,-9.1e+07,9.9e+07,2.53e+08,2.86e+08,-39733380.0181951,2e+07,-5.3e+07,3.52e+08,-8.94e+08,-5.42e+08,6.05e+08,6.3e+07,6.3e+07,6.3e+07,6.3e+07,1.187e+09,9.6e+08,2.27e+08,6.33e+08,6.33e+08,1e+07,2.32e+08,1.49e+08,2.6e+07,5.7e+07,2.062e+09,2.848e+09,2.57e+08,7.436e+09,1.977e+09,2.965e+09,1.4e+07,2.48e+09,1.0541e+10,1.2603e+10,1.009e+09,5.23e+08,4.86e+08,1e+07,2.232e+09,3.968e+09,2.837e+09,2.837e+09,6.805e+09,9.037e+09,6.41e+08,3.167e+09,-2.45e+08,3.563e+09,3e+06,3.566e+09,1.2603e+10,-2.9e+07,-40322927.3304735,9.1e+07,-2.8e+07,1.06e+08,-4.6e+07,1.38e+08,8.36e+08,-2.51e+09,9.89e+08,0,-1e+06,9.88e+08,-1.416e+09,-1.416e+09,0,-1.416e+09,102122421.643964,3.978e+09,0.252165982340375,0.0101679219504733,0.0149384913675356,0.000357236692822352,0.00245199373544633,0.92384,2.53421,0.31564,0.117379617862245,0.117357484685173,9.95854819224524,35.4211164076968,0.00191861340930099,-117.330822522308,98.5949796803442
"49","2022_Q2",86.7558064516129,"Down",1.279e+09,-8.33e+08,-8.33e+08,4.46e+08,-4.24e+08,-3.05e+08,-1.19e+08,2.2e+07,-5.9e+07,-4e+07,-4e+07,-9e+06,-1e+07,-3.7e+07,-3.4e+07,-7.1e+07,-2e+06,-7.3e+07,-7.3e+07,-7.3e+07,-7.3e+07,1.305e+09,1.023e+09,2.82e+08,6.55e+08,6.55e+08,8e+06,6.29e+08,1.54e+08,5.3e+07,4.7e+07,2.597e+09,2.525e+09,2.09e+08,7.358e+09,1.88e+09,3.006e+09,1.4e+07,2.458e+09,1.0092e+10,1.2689e+10,9.82e+08,5.46e+08,4.36e+08,6e+06,2.52e+09,3.815e+09,2.83e+09,2.83e+09,6.645e+09,9.165e+09,6.57e+08,3.094e+09,-2.31e+08,3.521e+09,3e+06,3.524e+09,1.2689e+10,-7.3e+07,-7.3e+07,1.19e+08,6.8e+07,1.8e+08,-4.3e+07,-3.2e+07,4e+06,-1.1e+08,1810634857.71534,-387664762.272351,-1.4e+07,-1.4e+07,5.6e+07,6.1e+07,-7e+06,5.4e+07,1.41e+08,3.821e+09,0.34871,0.0172,-0.05708,-0.02072,-0.00575000000000001,1.03056,2.60074,0.30113,-0.66303,-0.66303,11.61671,31.97094,-0.00717,17.8439699999999,114.36364
"50","2022_Q3",85.02703125,"Down",1.483e+09,-9.26e+08,-9.26e+08,5.57e+08,-3.87e+08,-2.82e+08,-1.05e+08,1.7e+08,-5.6e+07,-3.8e+07,-3.8e+07,1e+06,-1.9e+07,1.14e+08,1.98e+08,3.12e+08,-1.06e+08,2.06e+08,2.06e+08,2.06e+08,2.06e+08,1.955e+09,1.428e+09,5.27e+08,6.99e+08,6.99e+08,8e+06,2.3e+08,1.59e+08,1.8e+07,5.3e+07,2.892e+09,2.349e+09,1.85e+08,7.224e+09,1.81e+09,3.08e+09,1.2e+07,2.322e+09,9.758e+09,1.265e+10,1.09e+09,5.54e+08,5.36e+08,6e+06,2.411e+09,3.798e+09,2.829e+09,2.829e+09,6.627e+09,9.038e+09,5.73e+08,3.3e+09,-2.65e+08,3.609e+09,3e+06,3.612e+09,1.265e+10,2.06e+08,2.06e+08,1.05e+08,-1.72e+08,2.03e+08,-6.1e+07,-2.43e+08,24000000.0000001,3.11e+08,-1.6e+07,-1.01e+08,-1.1e+07,-1.28e+08,3.86e+08,3.81e+08,1.8e+07,3.99e+08,2.75e+08,3.804e+09,0.37559,0.11463,0.13891,0.05703,0.01628,1.1995,2.50221,0.30071,1.87103,1.87103,13.46957,32.77021,0.02011,6.72364,10.87647
