"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",2.91328125,"Down",27142000,-21758000,5384000,-10365000,-6982000,-2956000,-4026000,-1201000,-2182000,-4981000,33000,33000,-4948000,-4948000,-4953000,-4953000,-4953000,-4953000,1431000,1431000,23331000,23331000,6671000,1655000,31433000,3405000,13411000,9291000,4120000,16816000,48249000,20082000,15627000,4455000,21634000,1894000,1894000,1894000,23528000,362750000,-338029000,24721000,24721000,48249000,-4953000,1722000,688000,-911000,-3454000,-933000,-933000,-2.91038304567337e-11,101000,101000,101000,-4286000,-4286000,-4286000,-3259000,0,0.19836,-0.18352,-0.18248,-0.20036,-0.10265,1.45294,0.95174,0,-0.37948,-0.37775,2.07954,1.89405,-0.1861,0.43909,0.28729
"37","2019_Q4",2.5965625,"Down",28552000,-22644000,5908000,-7764000,-4729000,-2616000,-2113000,-1200000,-1835000,-1856000,117000,117000,-1739000,-1739000,-1739000,-1739000,-1739000,-1739000,1092000,1092000,22647000,22647000,6447000,1409000,30186000,3377000,11679000,7964000,3715000,15056000,45242000,17512000,14224000,3288000,18910000,1663000,1663000,2699000,21609000,363401000,-339768000,23633000,23633000,45242000,-1739000,1747000,467000,-1738000,-1263000,-340000,-90000,1036000,0,0,1036000,-317000,-317000,-317000,-109000,1036000,0.20692,-0.065,-0.06091,-0.07358,-0.03844,1.5963,0.91436,0.0229,-0.1313,-0.1326,2.15577,1.78437,-0.06604,0.51376,0.03017
"38","2020_Q1",1.97564516129032,"Down",26683000,-21163000,5520000,-8591000,-5808000,-2062000,-3746000,-731000,-2052000,-3071000,-101000,309000,-3172000,-3172000,-3177000,-3177000,-3177000,-3177000,892000,892000,24051000,24051000,6319000,1265000,31262000,3349000,10293000,7104000,3189000,13642000,44904000,17399000,14412000,2987000,22311000,1497000,1497000,1497000,23808000,364041000,-342945000,21096000,21096000,44904000,-3177000,1198000,925000,-1529000,-2583000,-310000,-310000,1709000,3.63797880709171e-12,-3.63797880709171e-12,2709000,-184000,-184000,-184000,-1873000,3745000,0.20687,-0.11509,-0.11906,-0.1506,-0.07075,1.40119,1.12856,0.0834,-0.24433,-0.24193,2.05212,1.62244,-0.12062,-1.52322,-0.92901
"39","2020_Q2",0.978412698412698,"Down",24472000,-19115000,5357000,-8654000,-6075000,-2132000,-3943000,-722000,-1857000,-3297000,-764000,68000,-4061000,-4061000,-4061000,-4061000,-4061000,-4061000,7354000,7354000,20820000,20820000,1670000,1168000,29844000,3100000,10641000,6244000,4397000,13741000,43585000,15566000,12525000,3041000,23335000,2706000,2706000,2706000,26041000,364550000,-347006000,17544000,17544000,43585000,-4061000,1212000,1009000,886000,-954000,-103000,-103000,2967000,53774.0566203159,53795.2892844168,2967000,1910000,1910000,1910000,-2085000,6712000,0.2189,-0.13473,-0.16594,-0.23148,-0.09317,1.27894,1.48433,0.154,-0.3089,-0.30921,1.86144,1.33447,-0.15062,0.30791,0.19472
"40","2020_Q3",2.53640625,"Up",17033000,-10993000,6040000,-7272000,-4927000,-2026000,-2901000,-559000,-1786000,-1232000,-142000,62000,-1374000,-1374000,-1374000,-1374000,-1374000,-1374000,5210000,5210000,14679000,14679000,5239000,1939000,25128000,3026000,9528000,5537000,3991000,12554000,37682000,9084000,5899000,3185000,17700000,2524000,2524000,3293000,20993000,365069000,-348380000,16689000,16689000,37682000,-1374000,1066000,146000,-753000,-915000,-285000,-285000,1854000,103921.202122343,103933.887624844,1854000,654000,654000,654000,-166000,8565000,0.35461,-0.07233,-0.08067,-0.08233,-0.03646,1.41966,1.25789,0.2273,-0.10472,-0.10462,1.29823,1.27201,-0.04946,-20.21084,-2.72321
"41","2020_Q4",3.09609375,"Up",17813000,-11390000,6423000,-6690000,-5014000,-1904000,-3110000,-225000,-1451000,-267000,-181000,53000,-448000,-448000,-448000,-448000,-448000,-448000,11270000,11270000,14633000,14633000,4447000,1145000,30350000,3e+06,8788000,5135000,3653000,11788000,42138000,10580000,7540000,3040000,22351000,2361000,2361000,2975000,25326000,365640000,-348828000,16812000,16812000,42138000,-448000,697000,766000,2167000,3182000,-8000,-8000,-25721000,74000,74000,2888000,6062000,6062000,6062000,430000,11548000,0.36058,-0.01499,-0.02515,-0.02665,-0.01063,1.35788,1.50642,0.27405,-0.03409,-0.03409,1.35554,1.27936,-0.01458,0.64651,-1.0412
"42","2021_Q1",2.96,"Down",17252000,-11392000,5860000,-6588000,-4903000,-2139000,-2764000,-205000,-1480000,-728000,-199000,55000,-927000,-927000,-937000,-937000,-937000,-937000,24758000,10803000,14256723.4450769,14256723.4450769,5151000,847000,29909000,2953000,8267000,4733000,3534000,11220000,41129000,9894000,7233000,2661000,22543000,2191000,2191000,2251000,24794000,366100000,-349765000,16335000,16335000,41129000,-937000,649000,443000,433000,588000,-2e+05,-2e+05,161000,1000,1000,147000,534999.999999999,534999.999999999,534999.999999999,-79000,10310000,0.33967,-0.0422,-0.05431,-0.05736,-0.02278,1.32675,1.51785,0.25067,-0.07115,-0.07115,1.31001,1.24038,-0.03249,182.88608,19.84615
"43","2021_Q2",2.76079365079365,"Down",17880000,-12071000,5809000,-6903000,-5332000,-2200000,-3132000,-204000,-1367000,-1094000,1404000,1655000,310000,310000,310000,310000,310000,310000,11218000,11218000,13916000,13916000,4997000,690000,30131000,3080000,7550000,4331000,3219000,10630000,40761000,10210000,8131000,2079000,21503000,1944000,1944000,1988000,23491000,366725000,-349455000,17270000,17270000,40761000,310000,641000,-701000,1e+05,350000,-66000,-66000,-18121000,126000,126000,134000,418000,418000,418000,-453000,10317000,0.32489,-0.06119,0.01734,0.01795,0.00761,1.40125,1.36022,0.25311,0.02339,0.02353,1.34912,1.3031,0.0105,1.98896,0.82358
"44","2021_Q3",2.819375,"Up",18736000,-12179000,6557000,-6659000,-5192000,-2209219.28067966,-2735812.3781157,-196000,-1271000,-102000,-202000,44999.9999999998,-304000,-304000,-304000,-304000,-304000,-304000,10849000,10849000,14860000,14860000,5709000,1400000,31418000,3537000,6876000,3929000,2947000,10413000,41831000,11429000,8459000,2970000,22599000,1763000,1763000,1791000,24390000,367200000,-349759000,17441000,17441000,41831000,-304000,625000,703000,-666000,358000,-704000,-704000,-17380000,50000,50000,-20999.9999999999,-367000,-367000,-367000,523000,10247000,0.34997,-0.00543999999999999,-0.01623,-0.01743,-0.00727,1.39024,1.39843,0.24496,-0.02294,-0.02307,1.41371,1.316,-0.01032,-1.15104999999999,5.90196
"45","2021_Q4",3.0946875,"Up",17159000,-12726000,4433000,-7298000,-5723000,-2266421.36043251,-1931453.33152817,-179000,-1396000,-2865000,-191000,63000,-3056000,-3056000,-3056000,-3056000,-3056000,-3056000,9868000,9868000,12796000,12796000,5599000,1287000,28452000,3769000,6677000,3927000,2750000,10446000,38898000,11491000,7955000,3536000,22445000,1598000,1598000,1610000,24055000,367658000,-352815000,14843000,14843000,38898000,-3056000,654000,75000,2321000,-6000,-809000,-809000,35321000,0,-1.45519152283669e-11,-163000,-978000,-978000,-978000,-2211000,10084000,0.25835,-0.16697,-0.1781,-0.20589,-0.07856,1.26763,1.62063,0.25924,-0.23114,-0.23114,1.2978,1.12263,-0.11521,-0.09769,-0.07539
"46","2022_Q1",2.67532258064516,"Down",17810000,-14278000,3532000,-5936000,-4247000,-2402000,-1845000,-74000,-1615000,-2404000,-205000,54000.0000000001,-2609000,-2609000,-2609000,-2609000,-2609000,-2609000,7315000,7315000,11433000,11433000,5312000,998000,25136000,3853000,6143000,3634000,2509000,9996000,35132000,10097000,7705000,2392000,20879000,1432000,1432000,1496000,22375000,368181000,-355424000,12757000,12757000,35132000,-2609000,564000,218000,-291000,-2118000,-465000,-465000,-4000,51000,51000,32000.0000000001,-2551000,-2551000,-2551000,-1840000,10065000,0.19832,-0.13498,-0.14649,-0.20452,-0.07426,1.20389,1.75394,0.28649,-0.20388,-0.20388,1.39176,0.99689,-0.10757,-1.49457,-1.14393
"47","2022_Q2",1.47096774193548,"Down",19064000,-15160000,3904000,-7810000,-6212000,-2650000,-3562000,-65000,-1533000,-3906000,-275000,-9000,-4181000,-4181000,-4307000,-4307000,-4307000,-4307000,3792000,3792000,10881000,10881000,4948000,631000,20101000,3900000,5636000,3340000,2296000,9536000,29637000,9483000,7249000,2234000,19368000,1303000,1303000,1303000,20671000,368697000,-359731000,8966000,8966000,29637000,-4307000,569000,834000,577000,-2327000,-284000,-284000,-19520000,257103.736663659,257103.817807598,-909000,-3520000,-3520000,-3520000,-3337000,9156000,0.20478,-0.20489,-0.22592,-0.48037,-0.14533,1.03785,2.30549,0.30894,-0.32839,-0.32839,1.45356,0.68362,-0.22172,-1.60743,-1.37327
"48","2022_Q3",0.392325581395349,"Down",17195000,-13514000,3681000,-7881000,-6096000,-3059070.32055609,-8005882.85482193,-83000,-1702000,-4200000,-249000,-15000,-4449000,-4449000,-4449000,-4449000,-4449000,-4449000,2716000,2716000,10039000,10039000,1307000,1207000,14062000,3753000,5098000,3047000,2051000,8851000,22913000,11303000,8019000,3284000,16773000,1116000,1116000,1148000,17921000,369172000,-364180000,4992000,4992000,22913000,-4449000,581000,673000,2414000,-781000,-131000,-131000,-21849000,693311.209990976,693311.453422794,-4381000,-5293000,-5293000,-5293000,-3619000,4775000,0.21407,-0.24426,-0.25874,-0.89123,-0.19417,0.83837,3.58994,0.2084,-0.33588,-0.33588,1.29814,0.37687,-0.4088,-0.56894,-0.49024
