"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","other_intangible_assets","discontinued_operations_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","net_income_from_discontinued_operations","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q3",3.66206349206349,"Up",12715000,-10361000,2354000,-3453000,-2834000,-619000,-1099000,-62000,-62000,-1161000,1000.00000000012,-1160000,-66000,-1226000,-160000,-160000,-1386000,-1169000,-1169000,535000,535000,8589000,8589000,330000,6504000,2653000,3759000,15958000,15109000,70494000,-55385000,27220000,1573000,81000,25566000,42329000,58287000,10759000,3911000,6848000,1184000,4840000,2089000,2751000,16783000,3255000,8114000,5682000,11369000,28152000,106203000,-88000,-76109000,-135000,31156000,30135000,58287000,-1226000,-1386000,160000,1133000,214000,-2876000,-145000,-2900000,-87000,-35000,-2548000,-2548000,-5483000,-5483000,-5479000,34000,4439000,-2863000,0.18514,-0.08643,-0.09194,-0.03879,-0.02006,2.4491,0.95084,0.9342,0.07616,-0.09993,-0.09993,1.08694,2.55351,-0.24474,-0.02738,-0.06707,114.82353,-3.55232
"29","2017_Q4",3.7947619047619,"Up",11757000,-10013000,1744000,-2945000,-2653000,-292000,-1201000,-33000,-35000,-1234000,-672000,-1906000,-71000,-1977000,-145000,-145000,-2122000,-2044000,-2044000,1055000,1055000,8791000,8791000,328000,7965000,3340000,4529000,18139000,13507000,69906000,-56399000,27058000,1546000,81000,25431000,40565000,58704000,11915000,3638000,8277000,1184000,6060000,3353000,2707000,19159000,2959000,8448000,5981000,11407000,30566000,106316000,-88000,-78153000,-123000,29237000,28138000,58704000,-1977000,-2122000,145000,1106000,833000,1137000,-180000,919000,-84000,-66000,-305000,-305000,548000,548000,555000,-95000,4143000,1029000,0.14834,-0.10215,-0.17385,-0.07264,-0.03482,-0.50342,0.94676,1.08629,0.07057,-0.17448,-0.17448,1.00359,2.386,0.08784,-0.05019,0.02526,-32.50526,-2.57119
"30","2018_Q1",3.89540983606557,"Up",12590000,-10787000,1803000,-3059000,-2764000,-295000,-1256000,82000,-39000,-1174000,11000,-1163000,1503000,340000,-156000,-156000,184000,260000,260000,1063000,1063000,7940000,7940000,393000,7917000,3281000,4547000,17313000,14870000,71253000,-56383000,27171000,1487000,81000,25603000,42225000,59538000,11110000,3537000,7573000,1184000,7287000,4311000,2976000,19581000,2663000,8848000,7154000,11511000,31092000,106429000,-88000,-77893000,-112000,29621000,28446000,59538000,340000,184000,156000,409000,-286000,271000,-183000,551000,-216000,5612000,-305000,-305000,5858000,5858000,5853000,-847000,3847000,-2295000,0.14321,-0.09976,0.02065,0.00914,0.00437,-8.82692,0.88417,1.09302,0.06461,0.02217,0.02217,1.07332,2.41569,-0.19565,0.00632,-0.05578,-3.28689000000001,-2.21656
"31","2018_Q2",4.5375,"Up",12658000,-9337000,3321000,-3012000,-2780000,-232000,309000,-13000,-13000,296000,8000,304000,-51000,253000,-157000,-157000,96000,136000,136000,2916000,2916000,4762000,4762000,317000,7972000,3304000,4574000,15967000,14830000,71484000,-56654000,27185000,1432000,81000,25672000,42015000,57982000,10265000,3616000,6649000,1184000,6990000,4620000,2370000,18439000,2367000,8853000,7137000,11220000,29659000,106535000,-88000,-78074000,-120000,29538000,28323000,57982000,253000,96000,157000,372000,141000,1849000,-181000,2434000,-240000,-273000,-304000,-304000,1857000,1857000,1853000,681000,3551000,2341000,0.26236,0.02441,0.01074,0.0048,0.00235,17.21324,0.86594,1.04717,0.06124,0.01158,0.01155,1.07755,2.40512,0.19928,0.00334,0.05748,0.93245,2.05502
"32","2018_Q3",4.58047619047619,"Up",13159000,-11117000,2042000,-2859000,-2640000,-219000,-817000,10000,10000,-807000,1613000,806000,-19000,787000,-206000,-206000,581000,609000,609000,2184000,2184000,6075000,6075000,364000,5934000,2822000,3018000,14557000,15074000,40916000,-25842000,27164000,1382000,81000,25701000,42238000,56795000,10254000,5061000,5193000,1244000,6433000,4472000,1961000,17931000,2207000,8293000,6563000,10500000,28431000,107329000,-88000,-77465000,-169000,29607000,28364000,56795000,787000,581000,206000,359000,-1547000,443000,-141000,-98999.9999999995,-288000,-218999.999999999,-311000,-275000,-593000.000000001,-593000.000000001,-601000,-458000,3451000,-283999.999999999,0.15518,-0.06209,0.04628,0.02147,0.01072,-0.466340000000002,0.81183,1.00236,0.06076,0.05155,0.05107,1.11394,2.50631,-0.02404,0.01518,-0.00708,-2.76638,-1.5508
"33","2018_Q4",3.35777777777778,"Down",11984000,-10158000,1826000,-2870000,-2641000,-229000,-1044000,11000,11000,-1033000,9000,-1024000,1342000,318000,-132000,-132000,186000,220000,220000,793000,793000,8300000,8300000,357000,6815000,3331000,3389000,16265000,15342000,41449000,-26107000,27002000,1327000,81000,25594000,42344000,58609000,10645000,4521000,6124000,1244000,8309000,5872000,2437000,20198000,3179000,6546000,6196000,9725000,29923000,107447000,-88000,-77245000,-151000,29963000,28686000,58609000,318000,186000,132000,364000,-1248000,-1043000,-146000,-1755000,-540000,-522000,963000,963000,-1314000,-1314000,-1310000,-680000,4423000,-3605000,0.15237,-0.08712,0.01836,0.00767,0.00375,-16.38636,0.80528,1.04312,0.07547,0.01845,0.01829,1.00503,2.51283,-0.30233,0.00555,-0.09091,-5.33824,-3.47701
"34","2019_Q1",3.32606557377049,"Down",11738000,-10466000,1272000,-3370000,-2680000,-690000,-2098000,-10000,-2000,-2108000,12000,-2096000,-336000,-2432000,-172000,-172000,-2604000,-2386000,-2386000,810000,810000,7735000,7735000,449000,5764000,2552000,3105000,14758000,15739000,42271000,-26532000,26945000,1278000,81000,25586000,42684000,57442000,11653000,5497000,6156000,1184000,8674000,6595000,2079000,21511000,2386000,7412000,6826000,9798000,31309000,107560000,-88000,-79630000,-214000,27628000,26133000,57442000,-2432000,-2604000,172000,360000,389000,3213000,-150000,1380000,-317000,-304000,-964000,-964000,112000,112000,1e+05,-1738000,3570000,1494000,0.10837,-0.17874,-0.20327,-0.0913,-0.04154,-0.626149999999999,0.68607,1.19806,0.06215,-0.1999,-0.20405,0.98341,2.31468,0.12517,-0.06429,0.04025,-1.58803,-1.31554
"35","2019_Q2",4.0215873015873,"Up",11708000,-9207000,2501000,-3125000,-2898000,-227000,-624000,113000,-16000,-511000,0,-511000,-39000,-550000,-152000,-152000,-702000,-672000,-672000,345000,345000,7341000,7341000,362000,6180000,2765000,3316000,14228000,15716000,42444000,-26728000,29790000,1223000,81000,28486000,45506000,59734000,12488000,7206000,5282000,1184000,8123000,5443000,2680000,21795000,2463000,9925000,9321000,12388000,34183000,107668000,-88000,-80302000,-202000,27076000,25551000,59734000,-550000,-702000,152000,323000,165000,-85000,-182000,-329000,-223000,-198000,137000,137000,-390000,-390000,-384000,-301000,3647000,-570000,0.21361,-0.0533,-0.0574,-0.0263,-0.01125,0.84821,0.65281,1.33783,0.06105,-0.05618,-0.05618,0.97885,2.26369,-0.04765,-0.01718,-0.01457,-10.9701,-5.29167
"36","2019_Q3",3.89859375,"Down",17135000,-13864000,3271000,-2928000,-2705000,-223000,343000,35000,-60000,378000,1000,379000,-5999.99999999994,373000,-115000,-115000,258000,289000,289000,384000,384000,7747000,7747000,452000,13422000,2166000,11158000,22005000,15566000,42548000,-26982000,25082000,1167000,81000,23834000,40648000,62653000,14379000,9640000,4739000,581000,7525000,4785000,2740000,22485000,3594000,10315000,9722000,13909000,36394000,108122000,-88000,-80013000,-206000,27815000,26259000,62653000,373000,258000,115000,318000,151000,-1558000,-152000,-868000,-57000,-38000,1133000,1043000,137000,137000,146000,661000,4175000,-948000,0.1909,0.02002,0.01687,0.01101,0.00461,-3.28028,0.97865,1.38596,0.06664,0.02397,0.02397,1.4214,2.30734,-0.0786399999999999,0.00709,-0.02326,5.73525,11.05248
"37","2019_Q4",6.31109375,"Up",22535000,-17378000,5157000,-3110000,-2945000,-165000,2047000,-93000,-91000,1954000,-4000,1950000,-54000,1896000,-157000,-157000,1739000,1768000,1768000,2441000,2441000,10781000,10781000,453000,12602000,3258000,9245000,26277000,15803000,43046000,-27243000,25019000,1107000,81000,23831000,40822000,67099000,16069000,9780000,6289000,987000,9177000,6239000,2938000,26233000,2922000,9837000,9225000,12759000,38992000,108227000,-88000,-78245000,-202000,29692000,28107000,67099000,1896000,1739000,157000,327000,310000,-4674000,-125000,-2266000,-532000,-476000,-103000,-125000,-2867000,-2867000,-2866000,2374000,3909000,-2778000,0.22884,0.09084,0.07846,0.0629,0.02635,-1.57127,1.00168,1.38727,0.05826,0.14647,0.14531,1.86687,2.45978,-0.23014,0.04224,-0.06638,0.61837,0.71715
"38","2020_Q1",7.08064516129032,"Up",22081000,-17426000,4655000,-3449000,-3314000,-135000,1206000,-135000,-136000,1071000,3.63797880709171e-12,1071000,-58000,1013000,-117000,-117000,896000,930000,930000,390000,390000,13178000,13178000,487000,11071000,2983000,7984000,25126000,16576000,43495000,-26919000,24813000,1065000,81000,23667000,41389000,66515000,15479000,9277000,6202000,1300000,8321000,5456000,2865000,25100000,2580000,9599000,9009000,12179000,37279000,108469000,-88000,-77315000,-211000,30855000,29236000,66515000,1013000,896000,117000,374000,398000,-2804000,-201000,-1220000,-721000,-7e+05,-196000,-62999.9999999998,-1983000,-1983000,-1980000,1580000,3880000,-1887000,0.21081,0.05462,0.04212,0.03181,0.01398,-2.02903,1.00104,1.27511,0.05833,0.0768800000000002,0.0771300000000002,1.82533000000002,2.55063000000002,-0.15599,0.02177,-0.04418,2.20886,2.89386
"39","2020_Q2",5.78968253968254,"Down",24860000,-20220000,4640000,-3160000,-2928000,-232000,1480000,-127000,-132000,1353000,-31000,1322000,-14000,1308000,-114000,-114000,1194000,1220000,1220000,1859000,1859000,10226000,10226000,564000,14179000,3881000,10188000,26828000,17230000,44430000,-27200000,24546000,1018000,81000,23447000,41776000,68604000,16696000,10715000,5981000,1614000,8684000,5944000,2740000,26994000,1595000,9566000,8973000,11161000,38155000,108567000,-88000,-76095000,-290000,32094000,30449000,68604000,1308000,1194000,114000,346000,136000,1634000,-151000,3273000,-895000,-882000,-840000,-834000,1557000,1557000,1525000,1826000,3209000,2579000,0.18665,0.05953,0.04907,0.04007,0.01778,2.11393,0.99385,1.25308,0.04678,0.10064,0.09882,2.05082,2.64758,0.21275,0.02823,0.05967,0.73932,0.91216
"40","2020_Q3",6.880625,"Up",22047000,-18737000,3310000,-2908000,-2699000,-209000,402000,-128000,-132000,274000,-23000,251000,9000,260000,-85000,-85000,175000,204000,204000,5630000,5630000,10806000,10806000,548000,13954000,2761000,11069000,30938000,17442000,44943000,-27501000,24492000,999000,81000,23412000,41934000,72872000,17436000,11560000,5876000,1730000,6458000,3699000,2759000,25624000,6547000,9945000,9350000,16492000,42116000,108671000,-88000,-75891000,-262000,32430000,30756000,72872000,260000,175000,85000,365000,145000,-1237000,-108000,-574999.999999999,-467000,-467000,4911000,4826000,3784000,3784000,3798000,767000,8277000,-946000,0.15013,0.01823,0.00924999999999999,0.00662999999999999,0.0028,-4.63725,1.20738,1.36936,0.11358,16.81919,16.55844,1817.70962,2673.75711,-77.99489,0.00417,-0.01931,3.45111,6.58458
"41","2020_Q4",6.555,"Down",30172000,-25422000,4750000,-3465000,-3308000,-157000,1285000,63000,-117000,1348000,0,1348000,133000,1481000,-67000,-67000,1414000,1446000,1446000,4811000,4811000,13442000,13442000,525000,18246000,3863000,14366000,37024000,17896000,45796000,-27900000,24561000,923000,81000,23557000,42457000,79481000,21470000,14652000,6818000,828000,7706000,4806000,2900000,30004000,6426000,10739000,10151000,17165000,47169000,108802000,-88000,-74445000,-251000,34018000,32312000,79481000,1481000,1414000,67000,478000,197000,-1610000,-70000,476000,-122000,-17000,-1264000,-1264000,-805000,-805000,-791000,1763000,7254000,-102000,0.15743,0.04259,0.04793,0.04475,0.01819,-0.07054,1.23397,1.4598,0.09127,0.03975,0.0391,0.82941,0.93513,-0.0028,0.02874,-0.00203,1.38571,1.90117
"42","2021_Q1",6.77,"Up",28347000,-25154000,3193000,-3003000,-2839000,-164000,190000,-149000,-171000,41000,-1999.99999999988,39000,61000,1e+05,-146000,-146000,-46000,-9999.99999999977,-9999.99999999977,7924000,7924000,9659000,9659000,610000,18442000,3967000,14453000,36635000,17783000,45691000,-27908000,24501000,875000,81000,23545000,42284000,78919000,21838000,15382000,6456000,3595000,7530000,4614000,2916000,32963000,3134000,10371000,9900000,13505000,46468000,108943000,-88000,-74455000,-207000,34193000,32451000,78919000,1e+05,-46000,146000,407000,129000,3728000,-170000,4194000,-227000,-227000,-835999.999999998,-836000,3131000,3131000,3141000,597000,6729000,4037000,0.11264,0.0067,-0.000350000000000003,-0.000309999999999998,-0.000130000000000005,-403.7,1.1114,1.43194,0.08526,-0.00082000000000066,-0.000810000000002552,2.33231999999993,2.81331000000061,0.332149999999999,-0.000199999999999992,0.08147,-2.00168,-6.28947
"43","2021_Q2",7.1852380952381,"Up",23133000,-20777000,2356000,-3355000,-3205000,-150000,-999000,-56000,-57000,-1055000,3925559.82011963,-1055000,17000,-1038000,-115000,-115000,-1153000,-1123000,-1123000,713000,713000,20121000,20121000,593000,13059000,3810000,9229000,34486000,17822000,46046000,-28224000,24502000,842000,81000,23579000,42324000,76810000,22575000,15426000,7149000,5196000,5712000,3106000,2606000,33483000,1461000,10424000,9953000,11885000,45368000,109067000,-88000,-75578000,-187000,33214000,31442000,76810000,-1038000,-1153000,115000,4e+05,117000,-5934000,-149000,-6604000,-360000,-360000,-223000,-223000,-7187000,-7187000,-7193000,-599000,6657000,-6910000,0.10185,-0.04319,-0.04855,-0.03572,-0.01462,6.15316,1.02996,1.44291,0.08667,-0.09231,-0.09231,1.9016,2.73029,-0.56802,-0.02314,-0.14241,-9.92321,-5.94995
"44","2021_Q3",6.1396875,"Down",16145000,-15179000,966000,-3142000,-2997000,-145000,-2176000,-71000,-71000,-2247000,5381000,3134000,-13000.0000000001,3121000,-127000,-127000,2994000,3023000,3023000,7312000,7312000,9244000,9244000,701000,10275000,2926000,7332000,27532000,17810000,46384000,-28574000,24717000,885000,81000,23751000,42527000,70059000,17222000,11511000,5711000,404000,6512000,3932000,2580000,24138000,819000,10495000,10021000,11314000,35452000,109218000,-88000,-72555000,-167000,36408000,34607000,70059000,3121000,2994000,127000,399000,-5216000,8954000,-166000,7092000,-289000,-289000,-201000,-216000,6587000,6587000,6602000,-1777000,1223000,6901000,0.05983,-0.13478,0.18724,0.08735,0.04315,2.28282999999992,1.14061,1.02442,0.01746,0.2485,0.2485,1.32716999999999,2.99285000000001,0.56728,0.06526,0.14897,3.42656,2.79825
"45","2021_Q4",6.915625,"Up",15797000,-13573000,2224000,-3591000,-3348000,-243000,-1367000,-87000,-86000,-1454000,-1000,-1455000,2836000,1381000,-43000,-43000,1338000,1402000,1402000,7222000,7222000,11816000,11816000,543000,9846000,4132000,5696000,29427000,18363000,47269000,-28906000,27614000,935000,81000,24138000,45977000,75404000,16445000,9717000,6728000,396000,5439000,3435000,2004000,22280000,702000,11364000,11364000,12066000,34346000,114353000,-88000,-71153000,-189000,42923000,41058000,75404000,1381000,1338000,43000,409000,-2723000,-3901000,19000,-4815000,-482000,-482000,-187000,5222000,-75000,-75000,-88000,-958000,1098000,-8177000,0.14079,-0.08654,0.08875,0.03415,0.01859,-5.83238,1.32078,0.83652,0.01456,0.11525,0.11525,1.29856,3.5284,-0.67217,0.0262,-0.15278,6.39248,4.47988
"46","2022_Q1",5.85032258064516,"Down",17116000,-15838000,1278000,-3503000,-3295000,-208000,-2225000,-134000,-48000,-2359000,-1063000,-3422000,1050000,-2372000,-136000,-136000,-2508000,-2467000,-2467000,4440000,4440000,11372000,11372000,680000,13482000,4472000,8995000,29974000,18609000,47541000,-28932000,28718000,894000,81000,24216000,47327000,77301000,17631000,11975000,5656000,393000,7890000,5580000,1804000,25914000,6e+05,10203000,10203000,10803000,36717000,114320000,-88000,-73620000,-28000,40584000,40584000,77301000,-2372000,-2508000,136000,479000,395000,-786999.999999998,-225000,-2510000,-429000,-433000,-163000,160000,-2783000,-2783000,-2780000,-1746000,993000,-4012000,0.07467,-0.13,-0.14413,-0.06079,-0.03191,1.62627,1.15667,0.90472,0.01285,-0.18599,-0.18599,1.29041,3.05971,-0.30247,-0.04764,-0.0774799999999999,1.97423,1.54921
"47","2022_Q2",5.54870967741935,"Down",15915000,-14279000,1636000,-3518000,-3422000,-96000,-1882000,-39000,-37000,-1921000,-1000,-1922000,673000,-1249000,-94000,-94000,-1343000,-1343000,-1343000,3925000,3925000,10322000,10322000,953000,9379000,4077000,5275000,24579000,18643000,47810000,-29167000,28954000,852000,81000,23758000,47597000,72176000,16413000,10329000,6084000,384000,5441000,2707000,2734000,22238000,491000,9955000,9955000,10446000,32684000,114545000,-88000,-74963000,-2000,39492000,39492000,72176000,-1249000,-1343000,94000,456000,-489000,1430000,-142000,6000,-321000,-321000,-168000,-189000,-504000,-504000,-504000,-1426000,875000,-990000,0.1028,-0.11825,-0.08439,-0.03401,-0.01861,0.73716,1.10527,0.82761,0.01212,-0.10125,-0.10125,1.19986,2.97738,-0.07464,-0.02669,-0.01967,2.13885,1.62062
"48","2022_Q3",5.13484375,"Down",19455000,-16571000,2884000,-3764000,-3684000,-80000,-880000,-30000,-27000,-910000,1.16415321826935e-10,-910000,-347000,-1257000,-188000,-188000,-1445000,-1445000,-1445000,163000,163000,12956000,12956000,1013000,9549000,3184000,6348000,23681000,18991000,48574000,-29583000,28476000,814000,81000,23648000,47467000,71148000,15664000,10725000,4939000,489000,6407000,3574000,2833000,22560000,806000,9579000,9579000,10385000,32945000,114768000,-88000,-76408000,-69000,38203000,38203000,71148000,-1257000,-1445000,188000,480000,590000,-2651000,-225000,-3063000,-412000,-412000,-255000,-255000,-3730000,-3730000,-3733000,-4e+05,1295000,-3116000,0.14824,-0.04523,-0.07427,-0.03782,-0.02031,2.1564,1.04969,0.86237,0.0182,-0.10894,-0.10894,1.46675,2.8802,-0.23492,-0.02944,-0.06349,-2.83,-1.28636
