"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",7.20311475409836,"Up",18435000,-9431000,9004000,-6639000,-5464000,-1175000,2365000,2331000,-497000,-295000,-792000,-792000,-792000,-792000,17861000,17861000,10563000,10563000,6520000,677000,677000,35621000,2717000,7507000,-4790000,28849000,14911000,13738000,2e+05,31566000,67187000,6185000,1787000,4398000,15233000,14533000,21418000,2889000,2e+05,2889000,24307000,26618000,-204000,15683000,783000,42880000,42880000,67187000,-792000,501000,3705000,324000,3738000,-78000,-78000.0000000001,3660000,3660000,-1000,3659000,2866000,-4.44089209850063e-16,3407000,0.48842,0.12829,-0.04296,-0.01847,-0.01179,-4.30177,1.66313,0.56686,-3.30872245021211e-24,-0.0764,-0.0758800000000001,1.77822,4.13615,0.32863,-0.0173,0.07444,-6.23203,-7.55222
"35","2019_Q2",5.7631746031746,"Down",18062000,-9226000,8836000,-7395000,-6111000,-1284000,1441000,1462000,1462000,-324000,1138000,1138000,1138000,1138000,8191000,8191000,10161000,10161000,7146000,763000,763000,26261000,2620000,7570000,-4950000,32561000,14594000,13738000,4229000,35181000,61442000,5192000,2508000,2684000,6354000,5400000,11546000,5778000,3178000,5778000,17324000,26801000,-204000,16821000,7e+05,44118000,44118000,61442000,1138000,804000,-9791000,-1626000,-9475000,-141000,-141000,-9616000,-9616000,-54000,-9670000,2245000,0,802000,0.4892,0.07978,0.06301,0.02579,0.01852,0.70475,2.27447,0.39267,0,0.10958,0.10927,1.73924,4.24824,0.07723,0.02281,0.01607,-3.64855,-5.68425
"36","2019_Q3",4.48546875,"Down",14352000,-7633000,6719000,-7013000,-5805000,-1208000,-294000,-3e+05,-3e+05,113000,-187000,-187000,-187000,-187000,7594000,7594000,9172000,9172000,7183000,544000,544000,24493000,2572000,7692000,-5120000,33731000,14279000,13738000,5714000,36303000,60796000,5782000,2412000,3370000,3334000,2631000,9116000,7477000,4977000,7477000,16593000,27014000,-204000,16634000,759000,44203000,44203000,60796000,-187000,794000,-1987000,904000,-476000,-157000,-157000,-633000.000000002,-633000.000000002,36000,-596999.999999996,5e+05,0,1134000,0.46816,-0.02048,-0.01303,-0.00423,-0.00308,-6.06417,2.68681,0.37538,0,-0.01796,-0.01794,1.37851,4.24568,0.10892,-0.00362,0.02194,-15.188,25.82993
"37","2019_Q4",5.26171875,"Up",14632000,-7427000,7205000,-6399000,-5138000,-1261000,806000,794000,794000,-147000,647000,647000,647000,647000,8025000,8025000,9223000,9223000,7721000,905000,905000,25874000,2423000,7651000,-5228000,33008000,13967000,13738000,5303000,35431000,61305000,6083000,2728000,3355000,3513000,2645000,9596000,6940000,4558000,6940000,16536000,27077000,-204000,17281000,615000,44769000,44769000,61305000,647000,833000,510000,-1170000,820000,-115000,-115000,526000,526000,-95000,431000,1639000,0,501000,0.49241,0.05508,0.04422,0.01445,0.01055,0.77434,2.69633,0.36936,0,0.06208,0.06204,1.40404,4.29588,0.04807,0.01251,0.00969,-4.89628,-9.95658
"38","2020_Q1",4.78935483870968,"Down",13614000,-7149000,6465000,-5629000,-4418000,-1211000,836000,888000,648000,75999.9999999999,724000,724000,724000,724000,7612000,7612000,9296000,9296000,7182000,805000,805000,24895000,2420000,7693000,-5273000,32400000,13654000,13738000,5008000,34820000,59715000,6106000,1984000,4122000,2255000,2255000,8361000,6520000,4257000,6520000,14881000,26360000,-204000,18005000,673000,44834000,44834000,59715000,724000,762000,175000,-935000,726000,-207000,-207000,-444000,-444000,31000,-413000,1598000,0,380000,0.47488,0.06141,0.05318,0.01615,0.01212,0.524860000000001,2.97751,0.33191,-4.2351647362715e-22,0.07046,0.0703,1.32497,4.36341,0.03698,0.0141,0.0074,-4.76345,-9.10526
"39","2020_Q2",3.18222222222222,"Down",11230000,-6363000,4867000,-6220000,-4928000,-1292000,-1353000,-1385000,-1393000,250000,-1143000,-1143000,-1143000,-1143000,7318000,7318000,8052000,8052000,7720000,686000,686000,23776000,2341000,7764000,-5423000,32942000,13343000,13738000,5861000,35283000,59059000,4978000,2299000,2679000,3038000,2378000,8016000,7277000,5107000,7277000,15293000,26473000,-204000,16862000,635000,43766000,43766000,59059000,-1143000,791000,303000,-70000,-119000,-80000,-80000,-273000,-273000,-21000,-294000,-562000,0,-962000,0.43339,-0.12048,-0.10178,-0.02612,-0.01935,0.84164,2.96607,0.34943,0,-0.11183,-0.11183,1.09873,4.28203,-0.09412,-0.02239,-0.01885,13.02135,5.40872
"40","2020_Q3",4.40765625,"Up",13275000,-7208000,6067000,-5828000,-4611000,-1217000,239000,221000,183000,-13000,170000,170000,170000,170000,7424000,7424000,9457000,9457000,7930000,445000,445000,25256000,2295000,7876000,-5581000,32307000,13034000,13738000,5535000,34602000,59858000,5714000,2618000,3096000,3076000,2308000,8790000,6889000,4835000,6889000,15679000,26681000,-204000,17032000,670000,44179000,44179000,59858000,170000,793000,225000,-988000,2e+05,-110000,-110000,89999.9999999999,89999.9999999999,16000,106000,1032000,-9.09494701772928e-13,-53000,0.45702,0.018,0.01281,0.00385000000000001,0.00284000000000001,-0.31176,2.87327,0.3549,0,0.01658,0.01658,1.29481,4.3091,-0.00516999999999997,0.00333,-0.00104,-7.1938,-31.06276
"41","2020_Q4",5.08140625,"Up",14443000,-7993000,6450000,-5862000,-4546000,-1316000,588000,594000,433000,25000,458000,458000,458000,458000,9473000,9473000,9533000,9533000,6924000,712000,712000,26642000,2417000,8159000,-5742000,33730000,12727000,13738000,7265000,36147000,62789000,5524000,2203000,3321000,3760000,3129000,9284000,8682000,6500000,8682000,17966000,26766000,-204000,17490000,771000,44823000,44823000,62789000,458000,794000,370000,697000,2319000,-330000,-330000,1989000,1989000,60000,2049000,1382000,0,1724000,0.44658,0.04071,0.03171,0.01022,0.00729,3.76419,2.86967,0.40082,0,0.0446,0.0446,1.40633,4.36446,0.16787,0.00856,0.03222,-6.85456,-16.11054
"42","2021_Q1",8.55639344262295,"Up",14875000,-8155000,6720000,-6126000,-4881000,-1245000,594000,624000,-454000,74000,-380000,-380000,-380000,-380000,10277000,10277000,8435000,8435000,7476000,776000,776000,26964000,2350000,7992000,-5642000,32716000,12421000,13738000,6557000,35066000,62030000,6441000,2424000,4017000,2415000,2415000,8856000,8422000,6500000,8422000,17278000,26957000,-204000,17110000,889000,44752000,44752000,62030000,-380000,796000,618000,-186000,848000,-128000,-128000,720000,720000,84000,804000,1390000,1.45519152283669e-11,1002000,0.45176,0.03993,-0.02555,-0.00849,-0.00613,-2.63684,3.04472,0.38608,0,-0.03695,-0.03695,1.44658,4.35208,0.09744,-0.00715,0.01884,-7.39353,-17.30135
"43","2021_Q2",13.5061904761905,"Up",19556000,-10035000,9521000,-6886000,-5564000,-1322000,2635000,2633000,2578000,-366000,2212000,2212000,2212000,2212000,10195000,10195000,13487000,13487000,8212000,562000,562000,32456000,2538000,8302000,-5764000,32132000,12117000,13738000,6277000,34670000,67126000,8074000,3655000,4419000,3097000,3097000,11171000,8106000,6193000,8106000,19277000,27943000,-204000,19322000,788000,47849000,47849000,67126000,2212000,740000,336000,-3625000,-337000,-388000,-388000,-8000,-8000,-74000,-82000,3375000,0,-272000,0.48686,0.13474,0.11311,0.04623,0.03295,-0.12297,2.90538,0.40287,0,0.21415,0.21015,1.89323,4.63229,-0.02633,0.03953,-0.00486,-3.02074,-3.86907
"44","2021_Q3",13.3096875,"Down",21820000,-10858000,10962000,-7730000,-6374000,-1356000,3232000,3253000,3056000,-447000,2609000,2609000,2609000,2609000,14625000,14625000,12832000,12832000,8702000,528000,528000,36687000,2462000,8318000,-5856000,31538000,11812000,13738000,5988000,3.4e+07,70687000,8811000,3524000,5287000,2906000,2906000,11717000,7749000,5908000,7749000,19466000,28682000,-204000,21931000,812000,51221000,51221000,70687000,2609000,721000,416000,453000,4199000,-75000.0000000001,-74999.9999999998,4409000,4409000,21000,4430000,3953000,0,4778000,0.50238,0.14812,0.11957,0.05094,0.03691,1.83135,3.13109,0.38004,1.73472347597681e-18,0.24983,0.24236,2.08945,4.90486,0.45753,0.04424,0.08102,-3.69972,-4.52506
"45","2021_Q4",12.95171875,"Down",21144000,-10749000,10395000,-7795000,-6461000,-1334000,2600000,2583000,2532000,-357000,2175000,2175000,2175000,2175000,18743000,18743000,12232000,12232000,9359000,798000,798000,41132000,2397000,8322000,-5925000,31200000,11503000,13738000,5959000,33597000,74729000,9514000,3849000,5665000,4030000,4030000,13544000,7469000,5768000,7469000,21013000,29070000,-204000,24106000,744000,53716000,53716000,74729000,2175000,705000,331000,2103000,5314000,-114000,-114000,5217000,5217000,-46000,5171000,3305000,0,5651000,0.49163,0.12297,0.10287,0.04049,0.02911,2.59816,3.03692,0.39119,0,0.20722,0.20153,2.01445,5.11767,0.53839,0.03555,0.09236,-5.6711,-7.20885
"46","2022_Q1",10.9558064516129,"Down",22358000,-12012000,10346000,-10068000,-8549000,-1519000,278000,219000,236000,51000.0000000001,287000,287000,287000,287000,21195000,21195000,16536000,16536000,12863000,1483000,1483000,52077000,2688000,8734000,-6046000,49140000,21634000,21448000,6058000,51828000,103905000,12296000,4281000,8015000,8676000,8676000,25072000,8010000,6631000,24010000,49082000,30040000,-204000,24393000,594000,54823000,54823000,103905000,287000,979000,310000,82000,1658000,-417000,-20795000,1577000,1577000,-178000,1399000,1257000,20100000,871000,0.46274,0.01243,0.01284,0.00524,0.00276,3.03484,2.0771,0.89528,0.19345,0.02733,0.02615,2.1287,5.21969,0.08293,0.00345999999999999,0.0105,-0.87112,-3.93885
"47","2022_Q2",7.89822580645161,"Down",24081000,-13068000,11013000,-10211000,-8287000,-1924000,802000,655000,655000,-78000,577000,577000,577000,577000,17211000,17211000,17292000,17292000,14913000,1853000,1853000,51269000,2804000,8994000,-6190000,48861000,20905000,21863000,6093000,51665000,102934000,11788000,5896000,5892000,8259000,8259000,24147000,7669000,6728000,22786000,46933000,30468000,-204000,24970000,767000,56001000,56001000,102934000,577000,1279000,116000,-4767000,-2795000,-335000,-335000,-3957000,-3957000,-27000,-3984000,2081000,19217000,-2943000,0.45733,0.0333,0.02396,0.0103,0.00561,-5.10052,2.1232,0.83807,0.18669,0.05525,0.0536,2.30597,5.36258,-0.28182,0.00696,-0.03551,0.96396,2.50125
"48","2022_Q3",8.1915625,"Up",29571000,-16023000,13548000,-10820000,-8961000,-1859000,2728000,2570000,2570000,-454000,2116000,2116000,2116000,2116000,14028000,10543000,22489000,22489000,17519000,1550000,1550000,55586000,2958000,9282000,-6324000,47481000,19907000,21720000,5854000,50439000,106025000,14078000,7802000,6276000,8718000,8718000,26896000,6917000,6343000,21009000,47905000,31084000,-214000,27086000,164000,58120000,58120000,106025000,2116000,1249000,391000,-6060000,-2304000,-2000,-3479000,-6753000,-6753000,85000,-6668000,3977000,18192000,-1631000,0.45815,0.09225,0.07156,0.03641,0.01996,-0.77079,2.0667,0.82424,0.17158,0.19862,0.19566,2.77577,5.4556,-0.1531,0.02542,-0.0196,1.04702,1.52639
