"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",3.26031746031746,"Down",74575000,-44934000,29641000,-23405000,-12398000,-4094000,-6913000,6236000,-2613000,-3062000,3623000,3737000,-1443000,2294000,2294000,2215000,2215000,234199000,101789000,78092000,78092000,15165000,13217000,327456000,63204000,357938000,278702000,74149000,5087000,421142000,748598000,52795000,52795000,60146000,290614000,62409000,19237000,353023000,413169000,871330000,-534482000,335429000,335429000,748598000,2215000,4094000,2586000,-3314000,5581000,-6567000,-7461000,-750000,-29000,-5222000,-7102000,-7102000,-7103000,10330000,293614000,1892000,0.39747,0.08362,0.0297,0.0066,0.00296,0.85418,5.44435,1.23176,0.39222,0.02493,0.02458,0.83931,3.77513,0.02129,0.00963,0.00274,5.75169,9.52774
"34","2019_Q1",3.13672131147541,"Down",82073000,-41245000,40828000,-23915000,-13170000,-4221000,-6524000,16913000,-4495000,-3261000,12418000,12823000,-4713000,8110000,8110000,6913000,6913000,179157000,46733000,79308000,79308000,12583000,10672000,271048000,64939000,354422000,277196000,74292000,2934000,419361000,690409000,51034000,51034000,54034000,240541000,63102000,16418000,303643000,357677000,862308000,-528164000,332732000,332732000,690409000,6913000,4221000,8107000,-7942000,11299000,-4729000,-5254000,-50750000,-5980000,-61138000,-55093000,-55093000,-55093000,21134000,243541000,13176000,0.49746,0.20607,0.08423,0.02078,0.01001,1.90597,5.01625,1.07497,0.35275,0.07826,0.07609,0.92914,3.76681,0.14916,0.01766,0.02061,3.04647,3.80678
"35","2019_Q2",2.61047619047619,"Down",64680000,-36572000,28108000,-22628000,-13814000,-3916000,-4898000,5480000,-2448000,-2571000,3032000,2673000,-1093000,1580000,1580000,1424000,1424000,174573000,52003000,65745000,65745000,13917000,12006000,254235000,69455000,396498000,275514000,74225000,46759000,465953000,720188000,44853000,44853000,58452000,239889000,98117000,50482000,338006000,396458000,851089000,-526740000,323730000,323730000,720188000,1424000,3916000,1752000,7215000,14307000,-6072000,4449000,-750000,-7706000,-13478000,5278000,5278000,5270000,9396000,242889000,11632000,0.43457,0.08472,0.02202,0.0044,0.00198,8.16854,4.34947,1.22466,0.33726,0.01654,0.01634,0.7512,3.75985,0.1351,0.00857,0.0175,7.27075,12.46642
"36","2019_Q3",2.75265625,"Up",69241000,-38514000,30727000,-22755000,-13545000,-4306000,-4904000,7972000,-2364000,-2697000,5608000,-14025000,-2252000,-16277000,-16277000,-16279000,-16279000,165980000,52631000,69841000,69841000,14469000,12558000,250290000,74502000,374787000,274040000,51857000,48890000,449289000,699579000,46198000,46198000,60618000,239032000,97008000,48607000,336040000,396658000,846354000,-543019000,302921000,302921000,699579000,-16279000,4306000,24553000,-7217000,5363000,-7910000,1790000,-750000.000000007,-1302000,-6546000.00000001,607000,607000,628000.000000007,12278000,242032000,-597000,0.44377,0.11513,-0.23511,-0.05374,-0.02327,0.0366700000000026,4.12897,1.30944,0.34597,-0.19072,-0.1931,0.8112,3.54892,-0.00698999999999997,-0.01871,-0.00093,6.19417,9.53989
"37","2019_Q4",2.425625,"Down",68816000,-40749000,28067000,-21860000,-12457000,-4190000,-5213000,6207000,-3398000,-2712000,2809000,-6266000,-5920000,-12186000,-12186000,-12217000,-12217000,156191000,48705000,68809000,68809000,15305000,13621000,240305000,79392000,368145000,269117000,46511000,52517000,447537000,687842000,46766000,46766000,58609000,238400000,104857000,50203000,343257000,401866000,841576000,-555236000,285976000,285976000,687842000,-12217000,4190000,15550000,-3707000,3816000,-7200000,-1387000,-750000,-1349000,-6348000,-3919000,-3919000,-3924000,10397000,241400000,5410000,0.40786,0.0902,-0.17753,-0.04272,-0.01776,-0.44283,4.10014,1.40524,0.35095,-0.14414,-0.14414,0.81194,3.37414,0.06383,-0.01264,0.00856,8.19554,13.72789
"38","2020_Q1",1.91274193548387,"Down",70838000,-40334000,30504000,-25443000,-14149000,-4236000,-7058000,5061000,-1956000,-2350000,3105000,6298000,1107000,7405000,7405000,7360000,7360000,124785000,33123000,71406000,71406000,13241000,11557000,209432000,79642000,367126000,269316000,46511000,51299000,446768000,656200000,53931000,53931000,65987000,213024000,89017000,44758000,302041000,368028000,836179000,-547876000,288172000,288172000,656200000,7360000,4236000,1420000,-4963000,8053000,-6401000,9512000,-25750000,-2208000,-33068000,-15503000,-15503000,-15582000,9297000,216024000,-3174000,0.43062,0.07144,0.1039,0.02554,0.01122,-0.43125,3.17384,1.27711,0.3292,0.08739,0.08739,0.84114,3.4218,-0.03769,0.01948,-0.00535,9.81381,18.02786
"39","2020_Q2",1.44396825396825,"Down",64249000,-34026000,30223000,-24107000,-13591000,-4512000,-6004000,6116000,-3541000,-2056000,2575000,-37260000,1668000,-35592000,-35592000,-35592000,-35592000,128196000,53512000,63879000,63879000,22720000,15108000,214795000,76315000,322021000,227045000,45711000,49265000,398336000,613131000,55557000,55557000,67359000,212380000,85155000,43087000,297535000,364894000,832225000,-583468000,248237000,248237000,613131000,-35592000,4512000,38980000,4114000,12014000,-2826000,13791000,-750000,-525000,-5493000,20312000,20312000,20389000,10628000,215380000,10248000,0.4704,0.09519,-0.55397,-0.14338,-0.05805,-0.28793,3.18881,1.46994,0.35128,-0.42212,-0.42212,0.76199,2.94407,0.12154,-0.05717,0.01867,8.20324,14.25507
"40","2020_Q3",1.35390625,"Down",45116000,-28587000,16529000,-18124000,-10897000,-3873000,-3354000,-1595000,-1330000,-1486000,-2925000,-2925000.00000001,5263000,2337999.99999999,2337999.99999999,2337999.99999999,2337999.99999999,134368000,69270000,51706000,51706000,20420000,16586000,206494000,74810000,314870000,226605000,45711000,42554000,389680000,596174000,48572000,48572000,59402000,211736000,74776000,36169000,286512000,345914000,830909000,-581130000,250260000,250260000,596174000,2337999.99999999,3873000,-5241000,6479000,7449000,981000,11224000,-750000,0,-2869000,15804000,15804000,15759000,2278000,214736000,4475000,0.36637,-0.03535,0.0518199999999999,0.00933999999999999,0.00392,1.91403,3.47621,1.38222,0.36019,0.02779,0.02779,0.53631,2.97491,0.0532,0.00823,0.00829,35.28007,-50.38746
"41","2020_Q4",2.31375,"Up",62978000,-31986000,30992000,-17421000,-9883000,-3934000,-3604000,13571000,-819000,-1501000,12752000,12752000,-3736000,9016000,9016000,9016000,9016000,136492000,83284000,58865000,58865000,16757000,13881000,212114000,73215000,314049000,226160000,45711000,42178000,387264000,599378000,40711000,40711000,51274000,211095000,79469000,36240000,290564000,341838000,829619000,-572114000,257540000,257540000,599378000,9016000,3934000,-458000,-6238000,6254000,-965000,10655000,-750000,0,-2856000,14053000,14053000,14014000,17505000,214095000,14038000,0.49211,0.21549,0.14316,0.03501,0.01504,1.55701,4.13687,1.32732,0.3572,0.1071,0.1071,0.74809,3.0592,0.16675,0.02018,0.02547,4.43319,5.7183
"42","2021_Q1",3.33180327868852,"Up",171683000,-117238000,54445000,-26946000,-14033000,-4963000,-7950000,27499000,253000,-1474000,27752000,27552000,-4701000,22851000,22851000,20328000,20328000,147150000,119162000,142004000,142004000,20911000,18021000,310065000,72004000,365276000,266065000,58043000,41168000,437280000,747345000,126849000,126849000,137139000,210454000,90487000,35507000,300941000,438080000,828822000,-551786000,275980000,309265000,747345000,22851000,4963000,5618000,4300000,37732000,-1319000,2420000,-750000,3.63797880709171e-12,-4264000,35888000,35888000,35892000,32462000,213454000,40144000,0.31713,0.16017,0.1184,0.06573,0.0272,1.97481,2.26095,1.41652,0.28562,0.23904,0.23369,2.01881,3.24523,0.47205,0.03658,0.06547,2.04250999999999,2.41114
"43","2021_Q2",4.38444444444444,"Up",148880000,-111317000,37563000,-24282000,-13853000,-5184000,-5245000,13281000,-2161000,-1577000,11120000,9794000,-2792000,7002000,7002000,5429000,5429000,165732000,149987000,132149000,132149000,25305000,18418000,323186000,69737000,359245000,259340000,58043000,41862000,428982000,752168000,124369000,124369000,134879000,209811000,91937000,35631000,301748000,436627000,827758000,-546357000,280683000,315541000,752168000,7002000,5184000,5518000,5748000,23452000,-1838000,10282000,-750000,167541.812208349,-2885000,30849000,30849000,30825000,18465000,212811000,25167000,0.2523,0.08921,0.03647,0.01721,0.00722,4.63566,2.39612,1.38374,0.28293,0.06384,0.06241,1.75067,3.30054,0.29594,0.01218,0.04057,2.54963,3.54484
"44","2021_Q3",6.58015625,"Up",178410000,-137366000,41044000,-27438000,-23364000,5184000,-9258000,13606000,974000,-1773000,14580000,14468000,-3992000,10476000,10476000,7864000,7864000,181871000,171862000,141697000,141697000,31342000,23345000,354910000,66375000,356733000,257513000,58043000,41177000,423108000,778018000,141767000,141767000,152291000,208612000,92683000,34954000,301295000,453586000,826483000,-538493000,286962000,324432000,778018000,10476000,5074000,2122000,3261000,20933000,-998000,4682000,-750000,172000,-3764000,21851000,21851000,21875000,18680000,211612000,24935000,0.23005,0.07626,0.04408,0.02424,0.01011,3.17078,2.33047,1.39809,0.27199,0.09247,0.0904,2.09791,3.37437,0.29321,0.0159,0.03966,1.59213,2.18587
"45","2021_Q4",7.39640625,"Up",199008000,-152915000,46093000,-25253000,-20431000,-9090791.21945493,-4822000,20840000,-1495000,-1702000,19345000,19002000,-5118000,13884000,13884000,12131000,12131000,182891000,182891000,168165000,168165000,28459000,24803000,379515000,64600000,384288000,275033000,68728000,40527000,448888000,828403000,179912000,179912000,191959000,208014000,175160000,110744000,383174000,575133000,780435000,-526362000,253270000,253270000,828403000,13884000,5901000,3444000,-13834000,9395000,7998000,4351000,-750000,242000,-2714000,11032000,11032000,11029000,26741000,212708000,26023000,0.23161,0.10472,0.06096,0.0479,0.01464,2.14517,1.97706,2.27083,0.25677,0.14207,0.13736,2.33057,2.96603,0.30475,0.02225,0.04059,1.11503,1.43076
"46","2022_Q1",6.10112903225806,"Down",233894000,-181368000,52526000,-28027000,1063000,-22420000,-6670000,24499000,-4388000,-1723000,20111000,10645000,-6777000,3868000,3868000,3868000,3868000,185094000,185094000,201747000,201747000,21637000,18925000,408478000,62498000,380366000,273087000,71708000,34109000,442864000,851342000,212655000,212655000,224862000,207416000,162138000,93918000,369554000,594416000,780397000,-522494000,256926000,256926000,851342000,3868000,6261000,12065000,-10721000,11473000,-633000.000000002,-2046000,-750000,1999.99999999977,-7211000,2216000,2216000,2203000,30760000,212319000,26183000,0.22457,0.10474,0.01654,0.01505,0.00454,6.76913,1.81657,2.31357,0.24939,0.0453,0.0438,2.73912,3.00884,0.30663,0.00951,0.04147,0.88508,1.11127
"47","2022_Q2",5.05854838709677,"Down",197172000,-157714000,39458000,-31039000,-16039000,-6395000,-8605000,8419000,-580000,-1430000,7839000,2739000,-852000,1887000,1887000,1887000,1887000,211584000,126574000,173419000,173419000,39053000,36341000,424056000,60174000,377379000,270529000,71708000,33680000,437553000,861609000,222610000,222610000,234365000,206816000,168673000,100581000,375489000,609854000,773622000,-520607000,251755000,251755000,861609000,1887000,6395000,7441000,37496000,53219000,-1383000,-86900000,-750000,-6924000,-24838000,-58519000,-58519000,-58520000,14814000,211763000,51779000,0.20012,0.0427,0.00957,0.0075,0.00219,27.43985,1.80938,2.42241,0.24578,0.02205,0.02131,2.30397,2.94177,0.60504,0.00641,0.0819,0.01208,0.02126
"48","2022_Q3",4.90625,"Down",221695000,-174561000,47134000,-32677000,-30433000,6395000,-8639000,14457000,-1641000,-1612000,12816000,11840000,-3373000,8467000,8467000,8467000,8467000,184228000,109950000,184872000,184872000,37779000,37029000,406879000,58274000,375050000,267984000,73273000,32331000,433324000,840203000,229953000,229953000,240845000,206218000,137847000,69937000,344065000,584910000,769986000,-512140000,255293000,255293000,840203000,8467000,6263000,700999.999999999,-5744000,9687000,845000,9622000.00000003,-750000,-4138000,-35927000,-16618000,-16618000,-16623000,20720000,211013000,19194000,0.21261,0.06521,0.03819,0.03317,0.01008,2.26692,1.68938,2.29113,0.25115,0.09966,0.09734,2.60943,3.00489,0.22592,0.01753,0.03177,1.29271,1.85274
