"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital"
"36","2019_Q3",6.474375,"Down",81247000,-72755000,8492000,-7224000,-7224000,1268000,-869000,-869000,398999.999999999,422999.999999999,-214000,209000,209000,209000,209000,48213000,48213000,23967000,5412000,4431000,78125000,81254000,42517000,21476000,123771000,201896000,28855000,23552000,5303000,3669000,8368000,8368000,40892000,55431000,9589000,6910000,65020000,105912000,34153000,-28463000,88293000,2001000,95984000,95984000,201896000,209000,2618000,552000,-2967000,412000,-1797000,-1797000,1200000,1128000,-257000,-257000,-257000,3886000,59100000,-664000.000000002,0.10452,0.01561,0.00257000000000001,0.00218,0.00104,-3.17703,1.91052,1.10343,0.29272,0.0268199999999999,0.0268200000000001,10.42564,12.31669,-0.0851999999999999,5,0.00127,-0.00403
"37","2019_Q4",4.49375,"Down",74655000,-68171000,6484000,-7041000,-7041000,-557000,-1113000,-1113000,-1670000,-5747000,-378000,-6125000,-6125000,-6125000,-6125000,45846000,45846000,23413000,5829000,5829000,75088000,80428000,39522000,17376000,119950000,195038000,29490000,22481000,7009000,59037000,6241000,6241000,94768000,38114932.5140192,10351000,6906000,10351000,105119000,34551000,-28463000,82168000,1663000,89919000,89919000,195038000,-6125000,2520000,3827000,454000,676000,-1079000,-1079000,-130000,-130000,-533000,-533000,-533000,1963000,59037000,1716000,0.08685,-0.00746,-0.08204,-0.06812,-0.0314,-0.28016,0.79233,1.16904,0.30269,-0.78065,-0.78065,9.51504,11.46049,0.21871,4,-0.03845,0.01077
"38","2020_Q1",2.82983870967742,"Down",56122000,-52741000,3381000,-7503000,-7503000,-4122000,-1266000,-1266000,-5388000,-5365000,-97000.0000000002,-5462000,-5462000,-5462000,-5462000,32424000,32424000,21682000,5262000,3721000,61224000,79206000,38875000,17376000,118081000,179305000,23937000,19910000,4027000,49451000,10446000,10446000,83834000,10560498.590306,11046000,7927000,11046000,94880000,34851000,-28501000,76706000,1370000,84426000,84426000,179306000,-5462000,2676000,181000,15333000,12728000,-1180000,-1180000,-9751000,-9692000,1856000,1856000,1856000,-1446000,49451000,12804000,0.06024,-0.07345,-0.09732,-0.0647,-0.03046,-2.3442,0.7303,1.12382,0.27579,-0.69122,-0.69122,7.10225,10.68413,1.62035,3,-0.03769,0.08835
"39","2020_Q2",3.21777777777778,"Up",64023000,-53257000,10766000,-6505000,-6505000,4261000,-1174000,-1174000,3087000,3107000,4854000,7961000,7961000,7961000,7961000,28035000,28035000,19632000,10016000,3823000,59105000,77419000,38192000,17376000,115611000,174716000,19849000,12418000,7431000,44162000,8444000,8444000,72455000,-8382684.62856017,11539000,7913000,11539000,83994000,35167000,-28501000,84667000,-611000,90722000,90722000,174716000,7961000,2823000,759000,-6164000,5379000,-456000,-456000,-5357000,-5357000,-434000,-434000,-434000,7084000,44162000,-4390000,0.16816,0.06655,0.12435,0.08775,0.04557,-0.55144,0.81575,0.92584,0.25276,1.01002,1.01002,8.12268,11.51002,-0.55697,5,0.05437,-0.02998
"40","2020_Q3",6.21140625,"Up",37807000,-34904000,2903000,-4109000,-4109000,-1206000,-1197000,-1197000,-2403000,-2383000,110999.999999999,-2272000,-2272000,-2272000,-2272000,21582000,21582000,16225000,9118000,2248000,51529000,76528000,37061000,17376000,113589000,165118000,18928000,11955000,6973000,35360000,9586000,9586000,63874000,135000,11657000,7954000,11792000,75666000,35556000,-28501000,82395000,2000,89452000,89452000,165118000,-2272000,2765000,417000,12194000,13104000,-1188000,-1188000,-8734000,-8734000,3182000,3182000,3182000,1559000,35495000,12454000,0.07678,-0.0319,-0.06009,-0.0254,-0.01376,-5.48151,0.80673,0.84588,0.21497,-0.28701,-0.28701,4.77602,11.30015,1.57327,3,-0.01663,0.09117
"41","2020_Q4",10.69140625,"Up",59875000,-49031000,10844000,-6522000,-6522000,4322000,-967000,-967000,3355000,3375000,-32000,3343000,3343000,3343000,3343000,26306000,26306000,15233000,6345000,3688000,62693000,75207000,36100000,17376000,111307000,1.74e+08,25050000,17949000,7101000,2753000,9195000,9195000,36998000,31537000,11936000,7974000,43473000,80471000,35911000,-28521000,85738000,401000,93529000,93529000,1.74e+08,3343000,2837000,603000,5786000,12569000,-1072000,-1072000,-1152000,-1292000,10205000,10205000,10205000,7159000,34290000,11905000,0.18111,0.07218,0.05583,0.03574,0.01921,3.56117,1.6945,0.86039,0.19707,0.4195,0.4195,7.51349,11.7366,1.49391,6,0.02392,0.08518
"42","2021_Q1",12.5585245901639,"Up",60651000,-50690000,9961000,-6948000,-6948000,3013000,-2585000,-2585000,428000.000000001,447999.999999999,-1315000,-867000,-867000,-867000,-867000,27584000,27584000,18360000,6403000,4377000,56478000,74052000,34978000,17376000,109030000,165508000,23416000,16994000,6422000,2955000,9624000,9624000,35995000,25198000,10383000,7823000,35581000,71576000,36207000,-28521000,84871000,1375000,93932000,93932000,165508000,-867000,3237000,910000,-6168000,-2888000,-967000,-967000,-4925000,-6823000,-10678000,-10678000,-10678000,6250000,28153000,430000,0.16423,0.04968,-0.01429,-0.00923000000000002,-0.00524,-0.49596,1.56905,0.762,0.1701,-0.11479,-0.11479,8.03005,12.43638,0.0569299999999999,5,-0.00653999999999999,0.00325
"43","2021_Q2",12.9585714285714,"Up",72829000,-60111000,12718000,-7372000,-7372000,5346000,-579000,-579000,4767000,4807000,-1351000,3456000,3456000,3456000,3456000,40202000,40202000,20373000,6221000,3966000,69823000,7.4e+07,35962000,17376000,109962000,179785000,30917000,25465000,5452000,5939000,9453000,9453000,46309000,24226000,11655000,7762000,35881000,82190000,36525000,-28568000,88327000,1311000,97595000,97595000,179785000,3456000,3049000,553000,-7570000,-512000,-2436000,-2436000,1846000,1844000,-1104000,-1104000,-1104000,8395000,30165000,-260000,0.17463,0.0734,0.04745,0.03541,0.01922,-0.07523,1.50776,0.84215,0.16778,0.43281,0.43243,9.12073,12.22229,-0.03256,4,0.02479,-0.00186
"44","2021_Q3",14.10578125,"Up",80461000,-66725000,13736000,-7563000,-7563000,6173000,-584000,-584000,5589000,5629000,-1543000,4086000,4086000,4086000,4086000,44654000,44654000,22039000,6493000,3989000,78782000,74613000,35035000,17376000,109648000,188430000,33630000,26423000,7207000,3552000,14507000,14507000,51689000,23243000,11395000,7747000,34638000,86327000,37011000,-28568000,92413000,1247000,102103000,102103000,188430000,4086000,3112000,439000,1371000,9008000,-2951000,-2951000,-3488000,-3488000,2569000,2569000,2569000,9285000,26795000,9248000,0.17072,0.07672,0.05078,0.04002,0.02168,2.26334,1.52415,0.84549,0.1422,0.51171,0.51126,10.07652,12.78685,1.15817,7,0.02912,0.06592
"45","2021_Q4",10.000625,"Down",81025000,-74610000,6415000,-8808000,-8808000,-2393000,-563000,-563000,-2956000,-2916000,-396000,-3312000,-3312000,-3312000,-3312000,39427000,39427000,22410000,8531000,1613000,70983000,74377000,34094000,17376000,108471000,179454000,30998000,24149000,6849000,6094000,10331000,10331000,47423000,22252000,10487000,7745000,32739000,80162000,37624000,-28617000,89101000,1184000,99292000,99292000,179454000,-3312000,3112000,668000,-3916000,-3448000,-2914000,-2914000,1381000,1381000,-4981000,-4981000,-4981000,719000,28346000,-5715000,0.07917,-0.02953,-0.04088,-0.03336,-0.01846,1.72554,1.49681,0.80734,0.15796,-0.41323,-0.41158,10.10917,12.38827,-0.71304,2,-0.02398,-0.04138
"46","2022_Q1",9.14854838709677,"Down",73168000,-64693000,8475000,-6533000,-6533000,1942000,-585000,-585000,1357000,1399000,-958000,441000,441000,441000,441000,35261000,35261000,25129000,8606000,8606000,75142000,75897000,35653000,17376000,111550000,186692000,30897000,22695000,8202000,8367000,13788000,13788000,53052000,21251000,12294000,7689000,33545000,86597000,38095000,-28617000,89542000,1075000,100095000,100095000,186692000,441000,2343000,494000,4220000,7498000,-3114000,-3114000,1147000,1147000,5531000,5531000,5531000,4285000,29618000,6349000,0.11583,0.02654,0.00602999999999999,0.00441,0.00236,14.39683,1.41638,0.86515,0.15865,0.0539999999999999,0.0546399999999999,8.95898,12.25603,0.7774,6,0.00311,0.04471
"47","2022_Q2",10.0117741935484,"Up",90592000,-76085000,14507000,-8495000,-8495000,6012000,-541000,-541000,5471000,5502000,-1638000,3864000,3864000,3864000,3864000,52292000,52292000,28399000,7213000,7213000,89230000,76046000,34610000,17376000,110656000,199886000,40744000,33420000,7324000,8819000,13709000,13709000,63272000,20239000,11978000,7723000,32217000,95489000,38597000,-28617000,93406000,1011000,104397000,104397000,199886000,3864000,3125000,741000,-9387000,-1657000,-2482000,-2482000,-681000,-681000,-4820000,-4820000,-4820000,9137000,29058000,-1094000,0.16014,0.06636,0.04265,0.03701,0.01933,-0.28313,1.41026,0.91467,0.14537,0.46916,0.46916,10.99951,12.67569,-0.13283,4,0.02657,-0.00752
"48","2022_Q3",11.1165625,"Up",98734000,-85689000,13045000,-8660000,-8660000,4385000,-459000,-459000,3926000,3957000,-1769000,2188000,2188000,2188000,2188000,54092000,54092000,28957000,8537000,8537000,91700000,79407000,33649000,17376000,113056000,204756000,42922000,33028000,9894000,7890000,13621000,13621000,64433000,22098000,11603000,7722000,33701000,98134000,39179000,-29099000,95594000,948000,106622000,106622000,204756000,2188000,3094000,516000,-1195000,4603000,-6141000,-6141000,326000,326000,-1212000,-1212000,-1212000,7479000,29988000,1912000,0.13212,0.04441,0.02216,0.02052,0.01069,0.87386,1.42318,0.92039,0.14646,0.26463,0.26463,11.9417,12.89574,0.23125,5,0.01476,0.0129
