"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",21.1095238095238,"Up",8.747e+09,-3.899e+09,4.848e+09,-3.77e+09,-8.96e+08,-2.874e+09,1.078e+09,-1.16e+08,-3.73e+08,2.57e+08,9.62e+08,1.192e+09,-2.11e+08,9.71e+08,9.71e+08,1.9e+07,9.9e+08,9.9e+08,6.09e+08,6.09e+08,5.136e+09,5.136e+09,1.312e+09,5.137e+09,8.47e+08,4.29e+09,1.2194e+10,7.263e+10,6.48e+08,3.1596e+10,6.677e+09,5.39e+08,2.438e+10,1.04874e+11,1.17068e+11,6.026e+09,3.011e+09,3.015e+09,5.693e+09,2.718e+09,2.28e+08,2.49e+09,1.4437e+10,3.1685e+10,4.2655e+10,6.01e+09,4.082e+09,1.928e+09,1.8518e+10,4.2e+08,1.7707e+10,7.434e+10,8.8777e+10,1.8807e+10,-2.327e+09,1.272e+10,-2.67e+09,2.653e+10,1.761e+09,2.8291e+10,1.17068e+11,9.71e+08,1.274e+09,-4.68e+08,-7.03e+08,1.074e+09,-1.987e+09,1.749e+09,-2.283e+09,-3.03e+08,1.479e+09,1.2e+07,-4e+06,1.184e+09,-2.5e+07,-2.5e+07,-2.5e+07,2.352e+09,3.7378e+10,-1.27e+08,0.55425,0.12324,0.11318,0.03499,0.00846,-0.12828,0.84464,3.13799,0.31928,0.76092,0.75928,6.723,20.39113,-0.09761,0.23289,0.01194,-0.00117,0.30606,15.63308,34.10853
"30","2017_Q3",22.3873015873016,"Up",7.666e+09,-3.086e+09,4.58e+09,-4.281e+09,-9.15e+08,-3.366e+09,2.99e+08,-2.59e+08,-4.36e+08,1.77e+08,39999999.9999999,4.1e+07,62000000.0000001,9.5e+07,9.5e+07,1e+06,96000000.0000001,96000000.0000001,5.36e+08,5.36e+08,5.075e+09,5.075e+09,1.267e+09,5.354e+09,8.33e+08,4.521e+09,1.2232e+10,7.2748e+10,6.38e+08,3.1486e+10,6.677e+09,4.64e+08,2.4345e+10,1.04872e+11,1.17104e+11,6.02e+09,3.134e+09,2.886e+09,5.376e+09,2.569e+09,2.44e+08,2.325e+09,1.3965e+10,3.0956e+10,4.2893e+10,6.037e+09,4.082e+09,1.955e+09,1.8521e+10,4.17e+08,1.7918e+10,7.3849e+10,8.7814e+10,1.886e+10,-1.23e+08,1.1442e+10,-2.633e+09,2.7546e+10,1.744e+09,2.929e+10,1.17104e+11,94999999.9999999,1.317e+09,6.5e+08,-2.41e+08,1.821e+09,-1.647e+09,3.455e+09,-1.698e+09,-3.04e+08,-1.059e+09,1.181e+09,-1.9e+07,-2.01e+08,-7.8e+07,-7.8e+07,-7.8e+07,1.616e+09,3.6332e+10,-3.34e+08,0.59744,0.039,0.01252,0.00328,0.000820000000000001,-3.47917,0.8759,2.99809,0.31025,0.0733100000000002,0.07316,5.85429,21.03602,-0.25507,0.23216,0.00369,-0.00308,3.16667,22.15099,119.71906
"31","2017_Q4",24.2439682539683,"Up",8.767e+09,-3.542e+09,5.225e+09,-3.734e+09,-1.003e+09,-2.731e+09,1.491e+09,-1.76e+08,-3.85e+08,2.09e+08,1.315e+09,1.321e+09,-4.52e+08,8.61e+08,8.61e+08,-4.1e+07,8.2e+08,8.2e+08,1.203e+09,1.203e+09,5.104e+09,5.104e+09,1.281e+09,5.136e+09,6.99e+08,4.437e+09,1.2724e+10,7.3067e+10,6.34e+08,3.2048e+10,6.677e+09,4.26e+08,2.4945e+10,1.05749e+11,1.18473e+11,6.217e+09,3.132e+09,3.085e+09,3.874e+09,2.304e+09,1.78e+08,2.126e+09,1.2395e+10,3.209e+10,4.3671e+10,6.032e+09,4.055e+09,1.977e+09,1.925e+10,4.1e+08,1.7979e+10,7.5761e+10,8.8156e+10,1.8862e+10,-1.23e+08,1.195e+10,-2.589e+09,2.81e+10,2.217e+09,3.0317e+10,1.18473e+11,8.62e+08,1.408e+09,4.26e+08,8.2e+07,2.778e+09,-1.703e+09,1.642e+09,-1.762e+09,-3.14e+08,-3.41e+08,1.8e+07,3.55e+08,-2.82e+08,7.34e+08,7.34e+08,7.34e+08,2.899e+09,3.5964e+10,1.73e+09,0.59598,0.17007,0.09353,0.02705,0.00692,2.10976,1.02654,2.90781,0.30356,0.60798,0.60609,6.50022,20.83451,1.28269,0.23281,0.01031,0.01573,0.38293,11.99069,23.31388
"32","2018_Q1",22.9732786885246,"Down",8.385e+09,-3.508e+09,4.877e+09,-3.799e+09,-1.014e+09,-2.785e+09,1.078e+09,-6.2e+07,-3.66e+08,3.04e+08,1.016e+09,1.228e+09,7.27e+08,1.949e+09,1.949e+09,-6.9e+07,1.88e+09,1.88e+09,8.98e+08,8.98e+08,4.445e+09,4.445e+09,1.311e+09,5.242e+09,9.76e+08,4.266e+09,1.1896e+10,7.4202e+10,6.4e+08,3.0032e+10,6.677e+09,3.37e+08,2.3018e+10,1.04874e+11,1.1677e+11,5.374e+09,3.532e+09,1.842e+09,3.017e+09,2.407e+09,2.32e+08,2.175e+09,1.0798e+10,3.2565e+10,4.122e+10,5.829e+09,3.736e+09,2.093e+09,1.1235e+10,4.09e+08,2.3747e+10,7.3785e+10,8.4583e+10,1.8964e+10,-1.23e+08,1.4081e+10,-3.026e+09,2.9896e+10,2.291e+09,3.2187e+10,1.1677e+11,1.948e+09,1.428e+09,-1.125e+09,-4.44e+08,1.807e+09,-2.028e+09,8.69e+08,-2.228e+09,-3.15e+08,3.11e+08,8.9e+07,-19000000.0000001,6.6e+07,-3.55e+08,-3.55e+08,-3.55e+08,2.506e+09,3.5582e+10,-6.93e+08,0.58163,0.12856,0.22421,0.05841,0.0161,-0.368620000000001,1.10169,2.62786,0.30472,1.39102,1.38958,6.20409,22.12015,-0.51275,0.23307,0.02014,-0.00636,0.167549999999999,13.84038,32.1744
"33","2018_Q2",24.58421875,"Up",9.693e+09,-4.727e+09,4.966e+09,-3.921e+09,-1.091e+09,-2.83e+09,1.045e+09,-3.99e+08,-3.71e+08,-2.8e+07,6.46e+08,7.02e+08,-5.9e+07,6.36e+08,6.36e+08,-5.1e+07,5.85e+08,5.85e+08,7.87e+08,7.87e+08,4.19e+09,4.19e+09,1.291e+09,5.265e+09,9.78e+08,4.287e+09,1.1533e+10,7.4711e+10,6.4e+08,3.0134e+10,6.677e+09,5.27e+08,2.293e+10,1.05485e+11,1.17018e+11,4.781e+09,3.207e+09,1.574e+09,2.857e+09,2.515e+09,4.15e+08,2.1e+09,1.0153e+10,3.3294e+10,4.1006e+10,5.547e+09,3.433e+09,2.114e+09,1.1344e+10,4.68e+08,2.3647e+10,7.43e+10,8.4453e+10,1.8973e+10,-1.23e+08,1.4346e+10,-2.965e+09,3.0231e+10,2.334e+09,3.2565e+10,1.17018e+11,6.36e+08,1.501e+09,-7.5e+07,-5.6e+08,1.502e+09,-1.801e+09,1.192e+09,-1.857e+09,-3.33e+08,6.15e+08,1.2e+07,-3e+07,2.64e+08,-9.1e+07,-9.1e+07,-9.1e+07,2.546e+09,3.6151e+10,2.44e+08,0.51233,0.10781,0.06035,0.01796,0.005,0.41709,1.13592,2.59337,0.30894,0.43195,0.43105,7.15703,22.32171,0.18016,0.24588,0.00837,0.00222,0.56923,13.89002,33.84115
"34","2018_Q3",26.6390476190476,"Up",8.076e+09,-3.315e+09,4.761e+09,-3.823e+09,-1.088e+09,-2.735e+09,9.38e+08,-3.29e+08,-3.74e+08,44999999.9999999,6.09e+08,6.13e+08,-6.6e+07,5.43e+08,5.43e+08,-3e+06,5.4e+08,5.4e+08,6.94e+08,6.94e+08,4.094e+09,4.094e+09,1.32e+09,5.381e+09,7.99e+08,4.582e+09,1.1489e+10,7.5284e+10,6.36e+08,2.984e+10,6.677e+09,4.57e+08,2.2706e+10,1.0576e+11,1.17249e+11,4.783e+09,3.113e+09,1.67e+09,2.41e+09,2.433e+09,2.68e+08,2.165e+09,9.626e+09,3.3568e+10,4.1216e+10,5.544e+09,3.412e+09,2.132e+09,1.1484e+10,5.07e+08,2.3681e+10,7.4784e+10,8.441e+10,1.9008e+10,-1.23e+08,1.4551e+10,-2.921e+09,3.0515e+10,2.324e+09,3.2839e+10,1.17249e+11,5.43e+08,1.499e+09,4.64e+08,-1.39e+08,2.367e+09,-1.917e+09,2.661e+09,-1.989e+09,-3.33e+08,-1.11e+08,1.5e+07,-2e+07,-4.49e+08,-7.1e+07,-7.1e+07,-7.1e+07,2.437e+09,3.5978e+10,4.47e+08,0.58952,0.11615,0.06686,0.01644,0.00461,0.827780000000002,1.19354,2.57042,0.30685,0.39831,0.39749,5.95692,22.5081,0.32971,0.24562,0.00793,0.00406,0.61667,14.47846,37.6162
"35","2018_Q4",27.8957142857143,"Up",9.401e+09,-4.332e+09,5.069e+09,-3.918e+09,-1.105e+09,-2.813e+09,1.151e+09,-1.98e+08,-3.93e+08,1.95e+08,9.53e+08,9.48e+08,-1.37e+08,8e+08,8e+08,-6.7e+07,7.33e+08,7.33e+08,1.918e+09,1.918e+09,4.239e+09,4.239e+09,1.316e+09,6e+09,6.96e+08,4.394e+09,1.3473e+10,7.584e+10,6.49e+08,2.9523e+10,6.677e+09,4.49e+08,2.2397e+10,1.06012e+11,1.19485e+11,5.317e+09,3.348e+09,1.969e+09,1.605e+09,3.557e+09,3.29e+08,3.228e+09,1.0479e+10,3.4909e+10,4.0709e+10,5.54e+09,3.385e+09,2.155e+09,1.1702e+10,4.82e+08,2.2985e+10,7.5618e+10,8.6097e+10,1.9063e+10,-1.23e+08,1.4949e+10,-2.869e+09,3.102e+10,2.368e+09,3.3388e+10,1.19485e+11,8e+08,1.511e+09,3.76e+08,1.19e+08,2.806e+09,-1.689e+09,2.555e+09,-1.763e+09,-3.33e+08,5.87e+08,4e+07,-4.4e+07,2.5e+08,1.293e+09,1.293e+09,1.293e+09,2.662e+09,3.6514e+10,1.229e+09,0.5392,0.12243,0.07797,0.02195,0.00613,1.67667,1.28571,2.57868,0.30559,0.54011,0.53899,6.92709,22.85696,0.90558,0.24537,0.00964,0.01111,0.4543,12.99624,30.05734
"36","2019_Q1",29.9231147540984,"Up",8.808e+09,7.383e+09,1.6191e+10,-3.811e+09,-1.069e+09,-2.742e+09,1.238e+10,-7.68e+08,-4.16e+08,-3.24e+08,1.1612e+10,-65999999.9999998,1.44e+08,1e+08,1e+08,4.7e+07,1.47e+08,1.47e+08,1.349e+09,1.349e+09,5.863e+09,5.863e+09,1.351e+09,4.765e+09,8.04e+08,3.057e+09,1.3328e+10,7.6707e+10,6.25e+08,2.8974e+10,6.677e+09,4.52e+08,2.1845e+10,1.06306e+11,1.19634e+11,5.917e+09,3.8e+09,2.117e+09,2.063e+09,3.424e+09,4.75e+08,2.949e+09,1.1404e+10,3.4465e+10,4.0718e+10,5.916e+09,3.988e+09,1.928e+09,1.1321e+10,4.79e+08,2.3002e+10,7.5183e+10,8.6587e+10,1.9116e+10,-1.23e+08,1.4743e+10,-2.995e+09,3.0741e+10,2.306e+09,3.3047e+10,1.19634e+11,1e+08,1.46e+09,4.66e+08,-57000000.0000001,1.969e+09,6.666e+09,-1.5347e+10,-2.225e+09,-3.33e+08,25000000.0000001,3.8e+07,-1.4e+07,-2.84e+08,-5.4e+08,-5.4e+08,-5.4e+08,1.384e+10,3.6528e+10,2.0305e+10,1.83822,1.40554,0.01669,0.00445,0.00123,138.12925,1.16871,2.62012,0.30533,0.10843,0.1082,6.49685,22.6748,14.97713,0.24562,0.00435,0.1841,2.26531,2.54184,2.8416
"37","2019_Q2",31.2547619047619,"Up",9.477e+09,-4.553e+09,4.924e+09,-3.709e+09,-1.075e+09,-2.634e+09,1.215e+09,6.4e+07,-4.03e+08,4.67e+08,1.279e+09,1.282e+09,-3.1e+08,9.66e+08,9.66e+08,-5.9e+07,9.07e+08,9.07e+08,8.8e+08,8.8e+08,4.564e+09,4.564e+09,1.38e+09,5.652e+09,6.52e+08,4.11e+09,1.2476e+10,7.746e+10,6.2e+08,3.1037e+10,6.677e+09,4.54e+08,2.3906e+10,1.09117e+11,1.21593e+11,5.057e+09,3.327e+09,1.73e+09,3.762e+09,3.41e+09,3.45e+08,3.065e+09,1.2229e+10,3.335e+10,4.231e+10,5.718e+09,3.734e+09,1.984e+09,1.1642e+10,4.34e+08,2.4516e+10,7.566e+10,8.7889e+10,1.9171e+10,-1.23e+08,1.5321e+10,-3.012e+09,3.1357e+10,2.347e+09,3.3704e+10,1.21593e+11,9.66e+08,1.46e+09,-3.79e+08,-1.003e+09,1.044e+09,1.848e+09,3.2e+07,-1.786e+09,-3.52e+08,5.9e+08,5.1e+07,-1.4e+07,2.75e+08,-4.67e+08,-4.67e+08,-4.67e+08,2.675e+09,3.7112e+10,3.83e+09,0.51957,0.12821,0.09571,0.02691,0.00746,4.22271,1.0202,2.60767,0.30521,0.66625,0.66557,6.96151,23.03389,2.8134,0.25857,0.01113,0.03386,0.38809,13.54467,29.82058
"38","2019_Q3",29.9646875,"Down",7.689e+09,-3.225e+09,4.464e+09,-3.655e+09,-1.079e+09,-2.576e+09,8.09e+08,-1.98e+08,-4.1e+08,2.12e+08,611000000.000001,6.44e+08,-1.44e+08,4.94e+08,4.94e+08,-1e+07,4.84e+08,4.84e+08,7.35e+08,7.35e+08,5.133e+09,5.133e+09,1.412e+09,4.375e+09,5.26e+08,2.969e+09,1.1655e+10,7.803e+10,6.18e+08,3.1293e+10,6.677e+09,5.37e+08,2.4079e+10,1.09941e+11,1.21596e+11,4.959e+09,3.248e+09,1.711e+09,4.835e+09,3.14e+09,1.63e+08,2.977e+09,1.2934e+10,3.2299e+10,4.2456e+10,5.727e+09,3.72e+09,2.007e+09,1.1826e+10,4.5e+08,2.4453e+10,7.4755e+10,8.7689e+10,1.9209e+10,-1.23e+08,1.5452e+10,-2.99e+09,3.1548e+10,2.359e+09,3.3907e+10,1.21596e+11,4.94e+08,1.462e+09,999999.999999881,-1.03e+08,1.854e+09,1.514e+09,-6e+06,-1.673e+09,-3.52e+08,31000000.0000002,2.4e+07,-2e+07,-3.17e+08,-1.36e+08,-1.36e+08,-1.36e+08,2.271e+09,3.7134e+10,3.826e+09,0.58057,0.10522,0.06295,0.01427,0.00398,7.90496,0.90111,2.58616,0.30539,0.3548,0.35444,5.63649,23.12656,2.80469,0.25804,0.00737,0.03371,0.72727,16.02774,44.99258
"39","2019_Q4",29.12171875,"Down",8.93e+09,-3.953e+09,4.977e+09,-3.608e+09,-1.083e+09,-2.525e+09,1.369e+09,-4.32e+08,-4.08e+08,1.58e+08,9.37e+08,9.2e+08,-1.72e+08,7.6e+08,7.6e+08,1.3e+07,7.73e+08,7.73e+08,1.683e+09,1.683e+09,5.273e+09,5.273e+09,1.458e+09,3.792e+09,6.01e+08,3.173e+09,1.2206e+10,7.8593e+10,4.71e+08,3.1468e+10,6.677e+09,4.87e+08,2.4304e+10,1.10532e+11,1.22738e+11,5.23e+09,3.348e+09,1.882e+09,5.267e+09,2.588e+09,2.39e+08,2.349e+09,1.3085e+10,3.2446e+10,4.2855e+10,5.741e+09,3.712e+09,2.029e+09,1.2133e+10,4.16e+08,2.4565e+10,7.5301e+10,8.8386e+10,1.9238e+10,-1.23e+08,1.5871e+10,-2.963e+09,3.2023e+10,2.329e+09,3.4352e+10,1.22738e+11,7.6e+08,1.471e+09,4.2e+08,-1.5e+08,2.501e+09,-1.61e+08,-8.442e+09,-1.756e+09,-3.51e+08,6.16e+08,1.9e+07,-2.9e+07,2.55e+08,1e+09,1e+09,1e+09,2.84e+09,3.7713e+10,2.701e+09,0.55733,0.1533,0.08656,0.0225,0.0063,3.49418,0.93282,2.57295,0.30726,0.56724,0.56665,6.55295,23.49891,1.98203,0.25757,0.00978,0.0235,0.45408,12.68662,26.31848
"40","2020_Q1",28.5020967741936,"Down",8.342e+09,-3.766e+09,4.576e+09,-3.627e+09,-1.015e+09,-2.612e+09,9.49e+08,-6e+06,-3.95e+08,3.9e+08,9.43e+08,9.56e+08,-1.48e+08,8.08e+08,8.08e+08,-3.6e+07,7.72e+08,7.72e+08,5.87e+08,5.87e+08,6.175e+09,6.175e+09,1.456e+09,3.819e+09,6.79e+08,3.14e+09,1.2037e+10,8.0233e+10,4.64e+08,3.2243e+10,6.677e+09,5.08e+08,2.5058e+10,1.1294e+11,1.24977e+11,5.546e+09,3.56e+09,1.986e+09,6.08e+09,2.559e+09,2.47e+08,2.312e+09,1.4185e+10,3.1719e+10,4.45e+10,6.323e+09,4.247e+09,2.076e+09,1.2351e+10,3.93e+08,2.5433e+10,7.6219e+10,9.0404e+10,1.9274e+10,-1.23e+08,1.6267e+10,-3.194e+09,3.2224e+10,2.349e+09,3.4573e+10,1.24977e+11,8.08e+08,1.387e+09,9.85e+08,-1.92e+09,1.26e+09,-1.0396e+10,8.392e+09,-2.045e+09,-3.53e+08,83000000.0000002,1.8e+07,-1.9e+07,-2.71e+08,-1.056e+09,-1.056e+09,-1.056e+09,2.336e+09,3.7799e+10,-9.832e+09,0.54855,0.11376,0.09254,0.02233,0.00618,-12.73575,0.84857,2.61487,0.30245,0.56418,0.5636,6.09638,23.5495,-7.18529,0.25797,0.00963,-0.08413,0.45725,15.92979,39.2118
"41","2020_Q2",24.3004761904762,"Down",8.747e+09,-3.867e+09,4.88e+09,-3.662e+09,-1.021e+09,-2.641e+09,1.218e+09,-1.138e+09,-4.1e+08,-7.25e+08,8e+07,8.2e+07,2.94e+08,3.76e+08,3.76e+08,2.06e+08,5.82e+08,5.82e+08,1.457e+09,1.457e+09,5.381e+09,5.381e+09,1.463e+09,4.175e+09,6.56e+08,3.519e+09,1.2476e+10,8.1017e+10,4.18e+08,3.0766e+10,6.677e+09,6.25e+08,2.3464e+10,1.12201e+11,1.24677e+11,4.423e+09,2.883e+09,1.54e+09,4.827e+09,2.524e+09,2.64e+08,2.26e+09,1.1774e+10,3.5198e+10,4.3089e+10,5.817e+09,3.705e+09,2.112e+09,1.2242e+10,4.36e+08,2.4594e+10,7.8287e+10,9.0061e+10,1.9303e+10,-1.23e+08,1.6475e+10,-3.173e+09,3.2482e+10,2.134e+09,3.4616e+10,1.24677e+11,3.76e+08,1.378e+09,5.17e+08,-1.191e+09,1.08e+09,-2.016e+09,-1.242e+09,-2.075e+09,-3.73e+08,2.229e+09,3e+07,-2.1e+07,1.865e+09,8.7e+08,8.7e+08,8.7e+08,2.596e+09,4.0025e+10,-9.05e+08,0.55791,0.13925,0.06654,0.01681,0.00467,-1.55498,1.05962,2.60172,0.32103,0.42577,0.42533,6.39892,23.76239,-0.66206,0.27287,0.00811,-0.00769,0.64089,14.8567,31.66502
"42","2020_Q3",24.51421875,"Up",7.322e+09,-2.924e+09,4.398e+09,-3.845e+09,-1.002e+09,-2.843e+09,5.53e+08,2.29e+08,-4.27e+08,6.57e+08,7.82e+08,7.93e+08,-2.19e+08,5.74e+08,5.74e+08,-5.3e+07,5.21e+08,5.21e+08,2.129e+09,2.129e+09,4.302e+09,4.302e+09,1.508e+09,4.594e+09,5.73e+08,4.021e+09,1.2533e+10,8.1748e+10,4.24e+08,3.1608e+10,6.677e+09,4.66e+08,2.4465e+10,1.1378e+11,1.26313e+11,4.668e+09,3.047e+09,1.621e+09,3.633e+09,2.764e+09,2.04e+08,2.56e+09,1.1065e+10,3.6502e+10,4.3875e+10,5.78e+09,3.659e+09,2.121e+09,1.272e+10,4.4e+08,2.4935e+10,8.0377e+10,9.1442e+10,1.9336e+10,-1.23e+08,1.6622e+10,-3.132e+09,3.2703e+10,2.168e+09,3.4871e+10,1.26313e+11,5.74e+08,1.363e+09,2.09e+08,-5.46e+08,1.6e+09,-1.757e+09,-1.92e+08,-6.44e+08,-3.73e+08,1.52e+08,1.6e+07,-6.3e+07,-2.68e+08,6.88e+08,6.88e+08,6.88e+08,1.916e+09,4.0135e+10,-168000000.000001,0.60066,0.07553,0.07116,0.01494,0.00412,-0.322459999999999,1.13267,2.62229,0.31774,0.38114,0.38075,5.35645,23.92406,-0.1229,0.27287,0.00752,-0.00141000000000001,0.71593,19.83612,68.72694
"43","2020_Q4",27.54640625,"Up",8.856e+09,-3.615e+09,5.241e+09,-4.474e+09,-1.289e+09,-3.185e+09,7.67e+08,1.5e+07,-4.04e+08,4.2e+08,7.82e+08,7.85e+08,-2.16e+08,5.69e+08,5.69e+08,-6.8e+07,5.01e+08,5.01e+08,1.858e+09,1.858e+09,4.293e+09,4.293e+09,1.405e+09,4.756e+09,4.72e+08,4.284e+09,1.2312e+10,8.2561e+10,4.44e+08,3.245e+10,6.677e+09,3.83e+08,2.539e+10,1.15455e+11,1.27767e+11,5.066e+09,3.182e+09,1.884e+09,3.258e+09,2.938e+09,1.77e+08,2.761e+09,1.1262e+10,3.5902e+10,4.55e+10,5.776e+09,3.648e+09,2.128e+09,1.3058e+10,3.96e+08,2.627e+10,8.1402e+10,9.2664e+10,1.9362e+10,-1.23e+08,1.6749e+10,-3.104e+09,3.2884e+10,2.219e+09,3.5103e+10,1.27767e+11,5.69e+08,1.678e+09,4.7e+08,-1.175e+09,1.542e+09,-1.787e+09,3.882e+09,-3.93e+08,-3.73e+08,-9.72e+08,1.6e+07,-2e+07,-1.349e+09,-2e+08,-2e+08,-2e+08,2.445e+09,3.916e+10,-3.01e+08,0.5918,0.08661,0.05657,0.01427,0.00392,-0.6008,1.09323,2.63977,0.3065,0.36539,0.36613,6.45878,23.98268,-0.21952,0.27203,0.0073,-0.00251,0.74451,15.25644,48.63364
"44","2021_Q1",28.2496721311475,"Up",-8.262e+09,4.685e+09,-3.577e+09,3.217e+09,4.21e+08,2.796e+09,-3.6e+08,-2.05e+08,-66000000.0000001,-1.44e+08,-5.65e+08,-5.68e+08,1.48e+08,-4.2e+08,4.35e+08,-7.6e+07,3.59e+08,3.59e+08,6.63e+08,6.63e+08,4.629e+09,4.629e+09,1.425e+09,5.845e+09,6.44e+08,4.243e+09,1.2562e+10,8.2584e+10,4.4e+08,3.3731e+10,6.677e+09,5.55e+08,2.6499e+10,1.16755e+11,1.29317e+11,5.645e+09,3.562e+09,2.083e+09,3.85e+09,3.276e+09,2.95e+08,2.981e+09,1.2771e+10,3.5483e+10,4.6195e+10,6.514e+09,4.503e+09,2.011e+09,1.3035e+10,4.73e+08,2.6173e+10,8.1678e+10,9.4449e+10,1.9373e+10,-1.23e+08,1.6735e+10,-3.4e+09,3.2585e+10,2.283e+09,3.4868e+10,1.29317e+11,4.35e+08,2.108e+09,-1.49e+08,-2.381e+09,1.3e+07,8.99e+08,-2.123e+09,-1.224e+09,-3.73e+08,3.19e+08,-1.7e+07,-3.2e+07,-1.03e+08,-1.314e+09,-1.314e+09,-1.314e+09,1.748e+09,3.9333e+10,1.18e+08,0.43295,0.04357,-0.04345,0.0103,0.00278,0.32869,0.98363,2.70876,0.30416,0.26236,0.26129,-6.03792,23.81332,0.08624,0.27259,0.00608,0.00098,1.039,22.12243,-107.41667
"45","2021_Q2",30.6068253968254,"Up",4.632e+09,-1.651e+09,2.981e+09,-2.157e+09,-7.57e+08,-1.4e+09,8.24e+08,-2.6e+08,-3.18e+08,5.8e+07,5.64e+08,5.64e+08,-3.9e+07,5.25e+08,-2.64e+08,-2.5e+07,-2.89e+08,-2.89e+08,1.908e+09,1.908e+09,4.816e+09,4.816e+09,1.427e+09,4.846e+09,5.68e+08,4.267e+09,1.2997e+10,8.2588e+10,4.31e+08,3.3984e+10,6.677e+09,4.91e+08,2.6816e+10,1.17003e+11,1.3e+11,5.164e+09,3.43e+09,1.734e+09,5.409e+09,3.007e+09,4.22e+08,2.585e+09,1.358e+10,3.6638e+10,4.5469e+10,5.939e+09,3.951e+09,1.988e+09,1.3129e+10,4.53e+08,2.5948e+10,8.2107e+10,9.5687e+10,1.9412e+10,-1.23e+08,1.6072e+10,-3.346e+09,3.2015e+10,2.298e+09,3.4313e+10,1.3e+11,-2.64e+08,2.104e+09,-6.39e+08,-2.462e+09,-1.261e+09,-1.46e+09,1.555e+09,9.5e+07,-3.74e+08,2.723e+09,3.1e+07,-4.6e+07,2.334e+09,1.168e+09,1.168e+09,1.168e+09,2.928e+09,4.2047e+10,-9.55e+08,0.64357,0.17789,-0.06239,-0.00842,-0.00222,3.3045,0.95707,2.78865,0.32344,-0.21099,-0.21099,3.38163,23.37281,-0.69721,0.27304,7e-04,-0.00784,-1.29412,13.70867,48.71238
"46","2021_Q3",32.76453125,"Up",4.02e+09,-1.321e+09,2.699e+09,-2.123e+09,-7.37e+08,-1.386e+09,5.76e+08,-2.52e+08,-3.25e+08,7.3e+07,3.24e+08,3.28e+08,-3e+06,3.26e+08,4.75e+08,-7.4e+07,4.01e+08,4.01e+08,1.578e+09,1.578e+09,4.492e+09,4.492e+09,1.443e+09,4.835e+09,7.49e+08,4.075e+09,1.2348e+10,8.212e+10,4.21e+08,3.4507e+10,6.677e+09,4.43e+08,2.7387e+10,1.17048e+11,1.29396e+11,5.271e+09,3.547e+09,1.724e+09,5.498e+09,3.15e+09,7.19e+08,2.431e+09,1.3919e+10,3.5467e+10,4.551e+10,5.863e+09,3.88e+09,1.983e+09,1.3194e+10,5.54e+08,2.5899e+10,8.0977e+10,9.4896e+10,1.9454e+10,-1.23e+08,1.6098e+10,-3.289e+09,3.214e+10,2.36e+09,3.45e+10,1.29396e+11,4.75e+08,2.076e+09,5.59e+08,-7.11e+08,2.399e+09,-1.856e+09,5.71e+08,-1.285e+09,-3.73e+08,-1.064e+09,1.6e+07,-1.8e+07,-1.439e+09,-3.25e+08,-3.25e+08,-3.25e+08,2.652e+09,4.0965e+10,8.8e+07,0.67139,0.14328,0.09975,0.01162,0.0031,0.21945,0.88713,2.75061,0.31659,0.29275,0.29275,2.93483,23.46407,0.06425,0.27231,0.0064,0.00073,0.93017,14.85181,68.38021
