"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2018_Q3",24.308253968254,"Up",306327000,-113307000,193020000,-163789000,-104083000,-52254000,29231000,-10029000,-8788000,-1241000,19202000,19202000,3722000,22924000,22924000,-944000,21980000,21980000,383511000,375077000,301010000,301010000,19727000,209057000,82105000,126952000,913305000,92897000,1698130000,218537000,1375748000,103845000,1791027000,2704332000,257168000,76526000,180642000,325103000,582271000,772942000,159276000,126433000,932218000,1514489000,1.81898940354586e-12,1558681000,-180500000,-143548000,1177035000,12808000,1189843000,2704332000,22924000,20972000,16992000,-16887000,44001000,-10150000,682999.999999998,-24258000,-61167000,-1453000,5.82076609134674e-11,0,-7391000,-8844000,-26010000,-26010000,-2083000,-28093000,50203000,772942000,19444000,0.63011,0.09542,0.07175,0.01847,0.00813,0.884620000000002,1.56852,1.27285,0.28582,0.33976,0.33384,4.73505,18.19404,0.30056,0.01036,0.00916,7.75713,13.32253
"29","2018_Q4",22.9844444444444,"Down",303983000,-111239000,192744000,-159074000,-99902000,-51587000,33670000,-7856000,-7367000,-489000,25814000,25814000,-5601000,20213000,20213000,-1293000,18920000,18920000,402856000,353422000,311492000,311492000,21737000,197494000,85310000,112184000,933579000,95875000,1674121000,203743000,1364452000,105926000,1769996000,2703575000,260824000,79372000,181452000,306240000,567064000,775342000,147670000,120158000,923012000,1490076000,0,1572873000,-161580000,-154148000,1199547000,13952000,1213499000,2703575000,20213000,21296000,19202000,-33214000,27497000,-5036000,-41139000,-914000,-47017000,-1589000,0,0,-1326000,-2915000,-22435000,-22435000,-286000,-22721000,54966000,775342000,22317000,0.63406,0.11076,0.06224,0.01559,0.007,1.17955,1.64634,1.22792,0.28678,0.29053,0.2858,4.66794,18.42015,0.3427,0.00886,0.01045,6.77666,11.06285
"30","2019_Q1",25.4290163934426,"Up",330230000,-110575000,219655000,-176103000,-114701000,-53113000,43552000,-9855000,-8143000,-1712000,33697000,33697000,-5389000,28308000,28308000,-1002000,27306000,27306000,402304000,369975000,375663000,375663000,24952000,203427000,97776000,105651000,1006346000,100134000,1760547000,225183000,1417481000,117883000,1860681000,2867027000,284445000,71621000,212824000,377376000,661821000,777785000,166617000,166617000,944402000,1606223000,-2.91038304567337e-11,1586333000,-134274000,-145225000,1249236000,11568000,1260804000,2867027000,28308000,22684000,19791000,12818000,83601000,-8753000,17301000,-2173000,-56277000,-1872000,0,-5.82076609134674e-11,-3443000,-5315000,22009000,22009000,706000,22715000,66236000,777785000,75690000,0.66516,0.13188,0.08269,0.02166,0.00952,2.77192,1.52057,1.27397,0.27129,0.41431,0.39567,5.01051,18.9544,1.14843,0.01238,0.03432,5.66884,8.62144
"31","2019_Q2",30.0607936507937,"Up",315259000,-114188000,201071000,-186603000,-121721000,-57169000,14468000,-9298000,-8508000,-790000,5170000,5170000,-1409000,3761000,3761000,-2185000,1576000,1576000,451358000,412024000,316101000,316101000,27845000,192993000,90016000,102977000,988297000,102340000,1866904000,219552000,1431517000,215835000,1969244000,2957541000,310258000,65275000,244983000,350488000,660746000,780260000,241958000,241958000,1022218000,1682964000,0,1601223000,-132698000,-149523000,1260930000,13647000,1274577000,2957541000,3761000,22954000,22223000,44125000,93063000,-8331000,-7030000,122000,-35449000,-1584000,-474000,-474000,-11674000,-13732000,43882000,43882000,-853000,43029000,37422000,780260000,74625000,0.6378,0.04589,0.005,0.00124,0.00053,47.35089,1.49573,1.32041,0.26382,0.02408,0.02349,4.81772,19.26924,1.1404,0.00069,0.03249,8.789,22.73307
"32","2019_Q3",26.5884375,"Down",324305000,-116441000,207864000,-192589000,-126265000,-58685000,15275000,-7511000,-8420000,909000,7764000,7764000,4507000,12271000,12271000,-1713000,10558000,10558000,414136000,388546000,349161000,349161000,28459000,169034000,89556000,79478000,960790000,106393000,1864523000,215332000,1430082000,219109000,1970916000,2931706000,291554000,73021000,218533000,347226000,638780000,782589000,222359000,222359000,1004948000,1643728000,4.65661287307739e-10,1628733000,-122140000,-175197000,1273324000,14654000,1287978000,2931706000,12271000,21812000,24122000,-52989000,5216000,-9387000,10765000,-2896000,-30566000,-1822000,9.31322574615479e-10,0,-11582000,-13404000,-38754000,-38754000,-1037000,-39791000,37087000,782589000,-29796000,0.64095,0.0471,0.03256,0.0082,0.0036,-2.82213,1.5041,1.27621,0.26694,0.15924,0.15621,4.89137,19.20507,-0.4494,0.0046,-0.01299,9.93483,24.12131
"33","2019_Q4",24.3628125,"Down",324867000,-113272000,211595000,-181778000,-116306000,-57694000,29817000,-7616000,-8698000,1082000,22201000,22201000,-9218000,12983000,12983000,-1302000,11681000,11681000,426811000,412838000,346741000,346741000,24001000,186528000,96732000,89796000,984081000,109698000,1888668000,205307000,1448726000,234635000,1998366000,2982447000,289473000,66144000,223329000,339232000,628705000,785170000,233982000,233982000,1019152000,1647857000,0,1645347000,-110459000,-158002000,1318814000,15776000,1334590000,2982447000,12983000,23114000,22559000,-20465000,38191000,-10670000,14499000,-4902000,-3296000,-1477000,0,0,-5668000,-7145000,27750000,27750000,639000,28389000,52931000,785170000,31014000,0.65133,0.09178,0.03596,0.00875,0.00392,2.65508,1.56525,1.23473,0.26326,0.17486,0.17259,4.8631,19.74201,0.46426,0.00496,0.01318,6.7703,12.01861
"34","2020_Q1",26.8996774193548,"Up",339203000,-119865000,219338000,-191042000,-124579000,-58135000,28296000,-10128000,-9132000,-996000,18168000,18168000,-11500000,6668000,6668000,-1799000,4869000,4869000,399361000,379146000,382435000,382435000,20495000,196767000,87946000,108821000,999058000,116111000,1900889000,197764000,1469211000,220112000,2.017e+09,3016058000,301302000,71604000,229698000,397350000,702902000,832798000,237921000,198092000,1070719000,1773621000,-48239913.5518918,1660957000,-105590000,-151865000,1229368000,13069000,1242437000,3016058000,-75525000,12967000,13418000,39668000,101434000,7049000,-30745000,668000,-56490000,43193000,-113216000,-113216000,-3599000,-77041000,-32097000,-32097000,-572000,-32669000,41263000,837048000,99480000,0.64663,0.08342,0.01435,0.00392,0.00161,20.4313,1.42133,1.42753,0.27753,0.0738,0.0726,5.14159,18.63457,1.5079,0.0021,0.04293,10.60725,15.46816
"35","2020_Q2",22.147619047619,"Down",287295000,-102326000,184969000,-178795000,-111651000,-59079000,6174000,-11911000,-9681000,-2230000,-5737000,-5737000,1762000,-3975000,-3975000,-2039000,-6014000,-6014000,576412000,556671000,308304000,308304000,25030000,200868000,92168000,108700000,1110614000,115481000,1868613000,182503000,1452434000,233676000,1984094000,3094708000,299243000,70987000,228256000,378548000,677791000,990390000,233621000,233621000,1224011000,1901802000,-2.98023223876953e-08,1677844000,-112544000,-178774000,1178402000,14504000,1192906000,3094708000,-14418000,20989000,10207000,28541000,75978000,-4201000,9e+06,-2276000,9293000,153102000,-36836000,-36836000,-1527000,114739000,200010000,200010000,-3106000,196904000,27163000,990390000,49741000,0.64383,0.02149,-0.02093,-0.00504,-0.00194,-8.27087,1.63858,1.59426,0.32003,-0.09342,-0.09342,4.4628,18.30515,0.77267,-0.00249,0.02058,15.24051,67.05183
"36","2020_Q3",23.32,"Up",309109000,-98099000,211010000,-168693000,-105406000,-55229000,42317000,-21635000,-9424000,-12211000,20682000,20682000,-10095000,10587000,10587000,-2093000,8494000,6010000,813544000,731101000,309355000,309355000,20898000,168880000,76831000,92049000,1312677000,113394000,1876636000,172246000,1468197000,236193000,1990030000,3302707000,318837000,69638000,249199000,340868000,1039934000,603875000,222768000,222768000,826643000,1866577000,200628000,1689458000,-104050000,-158295000,1419617000,16513000,1436130000,3302707000,-9369999.99999999,20761000,33541000,7872000,60753000,-3187000,-59800000,-2325000,-77781000,-17135000,197254000,0,-7574000,169163000,152135000,152135000,2310000,154445000,63078000,984104000,77858000,0.68264,0.1369,0.01944,0.00418,0.00182,12.95474,1.26227,1.29973,0.29797,0.09251,0.09251,4.7582,18.76423,1.19849,0.00227,0.02946,2.70395,4.03053
"37","2020_Q4",28.40171875,"Up",328201000,-103203000,224998000,-187257000,-118084000,-61067000,37741000,-17757000,-9195000,-8562000,19984000,19984000,-8157000,11827000,11827000,-1652000,10175000,7517000,631269000,526815000,346565000,346565000,21748000,156118000,68800000,87318000,1155700000,108578000,1860405000,159120000,1464451000,236834000,1968983000,3124683000,313756000,66807000,246949000,334843000,1032048000,403292000,217866000,217866000,621158000,1653206000,200628000,1717454000,-93875000,-162806000,1453277000,18200000,1471477000,3124683000,-2101000,21914000,29021000,-25703000,21100000,-2530000,-28467000,-1339000,-32188000,-201733000,0,0,-1601000,-204829000,-215917000,-215917000,-1297000,-217214000,59655000,786741000,39579000,0.68555,0.11499,0.0229,0.00511,0.00241,5.26527,1.11981,1.1235,0.25178,0.11463,0.10948,5.00471,19.10154,0.60354,0.00304,0.01598,2.60619,4.11945
"38","2021_Q1",44.7486885245902,"Up",-78080000,-535000,-78615000,-9590000,-44093000,41139000,-88205000,13709000,-9903000,23612000,-74496000,-74496000,9547000,-64949000,17244000,-1215000,16029000,21171000,631573000,585273000,206157000,206157000,5541000,434471000,42814000,36731000,1277742000,69090000,1914463000,143744000,1327407000,162360000,1983553000,3261295000,246980000,35463000,211517000,529746000,1163439000,402781000,211883000,153765000,614664000,1778103000,200628000,1726236000,-113797000,-136878000,1468065000,15127000,1483192000,3261295000,-22712000,21716000,41635000,-2240000,96015000,-4117000,46499000,-1272000,63433000,195536000,-197254000,3.72529029846191e-09,-5422000.00000001,-7139999.99999994,152308000,152308000,2033000,154341000,-66489000,789494000,-82393000,1.00685,1.12967,-0.27114,0.01427,0.00649,-3.89179,1.09825,1.19884,0.24208,0.32187,0.33769,-1.18708,19.26938,-1.25266,0.00852,-0.03316,-2.37514,-1.79038999999999
"39","2021_Q2",46.377619047619,"Up",200904000,-72340000,128564000,-124122000,-87646000,-29148000,4442000,-946000,-4996000,4050000,3496000,1022000,72000,1094000,1094000,-295000,799000,-2523000,360086000,359418000,147932000,147932000,5593000,484925000,56223000,428702000,998536000,69071000,1633704000,132316000,1329798000,171590000,1702775000,2701311000,190403000,35797000,154606000,244892000,822182000,405614000,107546000,107546000,513160000,1335342000,436321000,1333382000,-68123000,-104171000,1363417000,2552000,1365969000,2701311000,1094000,19049000,15126000,2440000,29702000,-4369000,45640000,-1998000,39273000,-5055000,124986000,-75014000,-139987000,-20056000,48919000,48919000,218000,49137000,23491000,792501000,21490000,0.63993,0.02211,-0.01256,-0.00185,-0.00093,-8.51764,1.2145,0.97758,0.29338,-0.03842,-0.03842,3.05972,14.11943,0.32729,-0.00111,0.00948,18.40769,97.34692
"40","2021_Q3",43.5009375,"Down",214617000,-72567000,142050000,-130513000,-91376000,-31792000,11537000,-2020000,-2176000,156000.000000004,9517000,9517000,-4201000,5315999.99999999,5316000,-316000,5e+06,-200000.000000004,321105000,320439000,150242000,150242000,5425000,95723000,57628000,38095000,572495000,67722000,1637802000,123534000,1335816000,178452000,1705524000,2278019000,163577000,31518000,132059000,228040000,391617000,405873000,99540000,99540000,505413000,897030000,436321000,1342200000,-63123000,-102508000,1378366000,2623000,1380989000,2278019000,5316000,18620000,19523000,-54315000,-15143000,-3206000,0,-1677000,-11883000,-388698000,-1714999.99999997,-446000.000000015,-11443000,-401856000,-428882000,-428882000,122000,-428760000,30157000,405873000,-23163000,0.66188,0.05376,-0.000930000000000026,-0.000140000000000004,-9.00000000000013e-05,115.815,1.46187,0.64956,0.17817,-0.00306999999999995,-0.00306999999999995,3.29304,14.45453,-0.35541,-0.00011,-0.01228,2.81089,7.34748999999999
"41","2021_Q4",47.9753125,"Up",224820000,-72084000,152736000,-128068000,-89778000,-31029000,24668000,-1818000,-1401000,-417000,22850000,22850000,-9349000,13501000,13501000,-264000,13237000,8037000,308508000,307847000,161020000,161020000,5760000,85162000,49880000,35282000,560450000,68634000,1669201000,130528000,1361420000,177253000,1737835000,2298285000,171496000,32994000,138502000,221073000,392569000,406411000,98292000,98292000,504703000,897272000,436321000,1121589000,-49886000,-109523000,1398501000,2512000,1401013000,2298285000,13501000,19241000,17731000,-7077000,46635000,-4328000,0,-1988000,-56530000,-1257000,-473000,-473000,-606000,-2336000,-12231000,-12231000,-369000,-12600000,43909000,406411000,41853000,0.67937,0.10972,0.03575,0.00574,0.0035,5.20754,1.42765,0.64045,0.17683,0.12286,0.12286,3.43672,14.70841,0.63979,0.00422,0.02196,2.22968,3.96883
"42","2022_Q1",51.3761290322581,"Up",234168000,-81581000,152587000,-146391000,-108008000,-31322000,6196000,-80999.9999999998,-1519000,1438000,6115000,6115000,-10375000,-4260000,-4260000,-363000,-4623000,-9823000,359570000,358805000,193831000,193831000,5337000,96440000,53752000,42688000,655178000,64090000,1641837000,118254000,1353421000,170162000,1705927000,2361105000,208195000,39501000,168694000,271271000,479466000,406954000,83785000,83785000,490739000,970205000,436321000,1125218000,-54509000,-118515000,1388515000,2385000,1390900000,2361105000,-4260000,18539000,11393000,38733000,64405000,-5059000,-92000,-1799000,-6760000.00000001,197792000,-198753000,-22000,-4914000,-5875000,51770000,51770000,-812000,50958000,24735000,406954000,68784000,0.65161,0.02646,-0.04195,-0.00706,-0.00416,-7.00234000000001,1.36647,0.69754,0.17236,-0.15072,-0.15072,3.59302,14.61025,1.05541,-0.00522,0.03656,1.91567,7.64751000000001
"43","2022_Q2",49.9679032258065,"Down",217906000,-76735000,141171000,-140673000,-102882000,-30947000,498000,372000,-1302000,1674000,870000,870000,-296000,574000,574000,-288000,286000,-4914000,285791000,285046000,149758000,149758000,5225000,94426000,56433000,37993000,535200000,61577000,1604264000,104838000,1327444000,171982000,1665841000,2201041000,181809000,35482000,146327000,258065000,439874000,407402000,282619000,81991000,690021000,1129895000,235693000,1141229000,-54223000,-148560000,1068473000,2673000,1071146000,2201041000,574000,18048000,20527000,14777000,53926000,-5224000,0,-1983000,-7207000,-868000,-105213000,-105213000,-11949000,-118030000,-71311000,-71311000,-2431000,-73742000,18546000,407402000,28395000,0.64785,0.00229,-0.02255,-0.00459,-0.00223,-5.77839,1.21671,1.05485,0.1851,-0.07566,-0.07566,3.35514,12.82246,0.4372,-0.00279,0.01612,6.55726,244.1988
"44","2022_Q3",43.58546875,"Down",222899000,-75105000,147794000,-146284000,-105705000,-33956000,1510000,-898000,-1365000,467000,612000,612000,-2848000,-2236000,-2236000,-176000,-2412000,-7612000,257220000,256502000,148472000,148472000,6557000,113472000,70380000,43092000,525721000,57514000,1584055000,93370000,1315109000,175576000,1641569000,2167290000,171176000,44573000,126603000,229317000,400493000,407816000,84305000,84305000,492121000,892614000,436321000,1054938000,-56635000,-162307000,1272317000,2359000,1274676000,2167290000,-2236000,17300000,31157000,-53467000,-7246000,-4936000,0,-1811000,-6747000,-1031000,-453000,-453000,-12923000,-14407000,-28400000,-28400000,-144000,-28544000,18810000,407816000,-36745000,0.66305,0.00677,-0.03415,-0.00597,-0.00351,4.82725,1.31268,0.70027,0.18817,-0.11718,-0.11718,3.43143,12.86979,-0.56567,-0.00431,-0.0208,8.00617,99.73245
