"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","cash_from_long_term_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",50.3103225806452,"Up",3.935e+09,-2.319e+09,1.616e+09,-1.019e+09,-5.84e+08,-4.35e+08,5.97e+08,-3.9e+07,-5.4e+07,1.5e+07,5.58e+08,6.13e+08,-4999999.99999999,6.08e+08,6.08e+08,6.08e+08,6.08e+08,6.03e+08,6.03e+08,2.98e+08,2.98e+08,3.22e+08,4.66e+08,4.66e+08,1.689e+09,3.2429e+10,4.763e+09,2.91e+09,1.275e+09,5.78e+08,3.7192e+10,3.8881e+10,2.453e+09,7.13e+08,1.74e+09,1.097e+09,4.57e+08,6.4e+08,3.522e+09,3.522e+09,7.072e+09,8.302e+09,9.1e+08,9.1e+08,9.212e+09,1.6284e+10,8.997e+09,3.65e+08,8.632e+09,-5.789e+09,2.1843e+10,-2.454e+09,2.2597e+10,2.2597e+10,3.8881e+10,6.08e+08,4.35e+08,-1.5e+07,1.5e+07,-3e+07,-3999999.99999976,1.3e+07,-1.4e+07,2.1e+07,-24000000.0000002,1.024e+09,-6.65e+08,-6.46e+08,-6.46e+08,-3.6e+07,-7.01e+08,3.37e+08,1.46e+08,1.91e+08,4.98e+08,-2.3e+08,-1.6e+07,-1.65e+08,1.58e+08,1.58e+08,-1.7e+07,1.41e+08,1.032e+09,9.399e+09,3.68e+08,0.41067,0.15172,0.15451,0.02691,0.01564,0.60526,0.23883,0.72063,0.24174,0.83747,0.83631,5.42011,31.12534,0.50689,7,0.02626,0.01118,8.52326,14.73367
"29","2017_Q2",56.4138095238095,"Up",3.791e+09,-2.435e+09,1.356e+09,-9.88e+08,-5.49e+08,-4.39e+08,3.68e+08,-4.1e+07,-4.9e+07,8e+06,3.27e+08,3.54e+08,-2e+06,3.52e+08,3.52e+08,3.52e+08,3.52e+08,4.37e+08,4.37e+08,3.07e+08,3.07e+08,3.61e+08,4.92e+08,4.92e+08,1.597e+09,3.2328e+10,4.778e+09,2.911e+09,1.279e+09,5.88e+08,3.7106e+10,3.8703e+10,2.435e+09,6.69e+08,1.766e+09,1.296e+09,1.69e+08,1.127e+09,3.734e+09,3.734e+09,7.465e+09,7.796e+09,7.82e+08,7.82e+08,8.578e+09,1.6043e+10,9.025e+09,3.65e+08,8.66e+09,-5.864e+09,2.1939e+10,-2.44e+09,2.266e+10,2.266e+10,3.8703e+10,3.52e+08,4.39e+08,1.3e+07,2e+07,-7e+06,1.28e+08,-2e+06,-3.5e+07,-4.7e+07,2.12e+08,9.32e+08,-4.12e+08,-4.12e+08,-4.12e+08,-6.2e+07,-4.74e+08,-2.9e+08,-2.89e+08,-1e+06,1e+08,-68999999.9999999,-2e+06,-6.15e+08,-1.57e+08,-1.57e+08,-9e+06,-1.66e+08,8.07e+08,9.092e+09,5.25e+08,0.35769,0.09707,0.09285,0.01553,0.00909,1.49148,0.21393,0.70799,0.23492,0.48552,0.48352,5.22897,31.25517,0.72414,7,0.01863,0.01614,10.72491,23.51902
"30","2017_Q3",60.8998412698413,"Up",3.945e+09,-2.435e+09,1.51e+09,-1.01e+09,-5.53e+08,-4.57e+08,5e+08,-6.3e+07,-4.8e+07,-1.5e+07,4.37e+08,3.83e+08,-5e+06,3.78e+08,3.78e+08,3.78e+08,3.78e+08,5.97e+08,5.97e+08,3.19e+08,3.19e+08,3.51e+08,5.07e+08,5.07e+08,1.774e+09,3.3823e+10,4.854e+09,2.953e+09,1.286e+09,6.15e+08,3.8677e+10,4.0451e+10,2.497e+09,6.9e+08,1.807e+09,1.783e+09,6.75e+08,1.108e+09,4.778e+09,4.778e+09,9.058e+09,7.635e+09,7.94e+08,7.94e+08,8.429e+09,1.7487e+10,9.038e+09,3.65e+08,8.673e+09,-5.946e+09,2.2026e+10,-2.154e+09,2.2964e+10,2.2964e+10,4.0451e+10,3.78e+08,4.57e+08,8.4e+07,1.4e+07,7e+07,9.98e+08,-6e+06,1.6e+07,9000000.00000001,9.79e+08,1.917e+09,-1.447e+09,-1.447e+09,-1.447e+09,-1.3e+07,-1.46e+09,32000000.0000001,4.71e+08,-4.39e+08,3.67e+08,-8.3e+07,-1.6e+07,-3.2e+08,1.37e+08,1.37e+08,2.3e+07,1.6e+08,9.57e+08,9.418e+09,5.13e+08,0.38276,0.12674,0.09582,0.01646,0.00934,1.35714,0.19585,0.7615,0.23282,0.5221,0.51994,5.4489,31.71823,0.70856,6,0.01902,0.01546,9.21735,17.642
"31","2017_Q4",60.7253968253968,"Down",5.515e+09,-3.014e+09,2.501e+09,-1.019e+09,-5.47e+08,-4.72e+08,1.482e+09,-3.2e+07,-4.6e+07,1.4e+07,1.45e+09,1.369e+09,-3.9e+07,1.33e+09,1.33e+09,1.33e+09,1.33e+09,4.89e+08,4.89e+08,3.24e+08,3.24e+08,3.57e+08,4.91e+08,4.91e+08,1.661e+09,3.4172e+10,4.81e+09,2.957e+09,1.247e+09,6.06e+08,3.8982e+10,4.0643e+10,2.484e+09,6.39e+08,1.845e+09,1.447e+09,1.82e+08,1.265e+09,4.038e+09,4.038e+09,7.969e+09,7.723e+09,7.79e+08,7.79e+08,8.502e+09,1.6471e+10,9.055e+09,3.65e+08,8.69e+09,-6.104e+09,2.3066e+10,-1.845e+09,2.4172e+10,2.4172e+10,4.0643e+10,1.33e+09,4.72e+08,4.14e+08,1.4e+07,4e+08,-7.67e+08,7e+06,1e+06,-6.3e+07,-7.12e+08,1.449e+09,-4.37e+08,-4.37e+08,-4.37e+08,-4.8e+07,-4.85e+08,-6.22e+08,-5.17e+08,-1.05e+08,0,-1.53e+08,-4e+06,-1.069e+09,-1.05e+08,-1.05e+08,-3e+06,-1.08e+08,1.954e+09,9.17e+09,7.89e+08,0.45349,0.26872,0.24116,0.05502,0.03272,0.59323,0.20843,0.68141,0.22562,1.83956,1.83196,7.62794,33.43292,1.09129,6,0.04748,0.02312,4.44268,5.85762
"32","2018_Q1",62.7488524590164,"Up",4.259e+09,-2.617e+09,1.642e+09,-1.094e+09,-6.16e+08,-4.78e+08,5.48e+08,-4.2e+07,-4.6e+07,4e+06,5.06e+08,5.6e+08,-1.4e+07,5.46e+08,5.46e+08,5.46e+08,5.46e+08,3.95e+08,3.95e+08,3.12e+08,3.12e+08,3.87e+08,5.02e+08,5.02e+08,1.596e+09,3.443e+10,4.752e+09,2.967e+09,1.2e+09,5.85e+08,3.9182e+10,4.0778e+10,2.639e+09,7.62e+08,1.877e+09,2.202e+09,4.85e+08,1.717e+09,3.958e+09,3.958e+09,8.799e+09,6.993e+09,7.69e+08,7.69e+08,7.762e+09,1.6561e+10,9.055e+09,3.65e+08,8.69e+09,-6.349e+09,2.3292e+10,-1.782e+09,2.4216e+10,2.4216e+10,4.0777e+10,5.46e+08,4.78e+08,-4e+07,1.5e+07,-54999999.9999999,40000000.0000002,7e+06,-3.1e+07,1.22e+08,-5.8e+07,1.024e+09,-6.48e+08,-6.48e+08,-6.48e+08,-2.2e+07,-6.7e+08,90999999.9999999,3.06e+08,-2.15e+08,0,-2.47e+08,-2e+06,-4.48e+08,-9.4e+07,-9.4e+07,0,-93999999.9999999,1.026e+09,9.195e+09,4.32e+08,0.38554,0.12867,0.1282,0.02255,0.01339,0.79121,0.18138,0.68389,0.22549,0.76257,0.75939,5.94832,33.82123,0.60335,6,0.02446,0.01264,8.577,16.05839
"33","2018_Q2",58.92390625,"Down",4.232e+09,-2.709e+09,1.523e+09,-1.104e+09,-6.16e+08,-4.88e+08,4.19e+08,-4.4e+07,-4.5e+07,1e+06,3.75e+08,3.91e+08,0,3.91e+08,3.91e+08,3.91e+08,3.91e+08,4.53e+08,4.53e+08,3.45e+08,3.45e+08,3.94e+08,4.75e+08,4.75e+08,1.667e+09,3.5027e+10,4.747e+09,3.014e+09,1.198e+09,5.35e+08,3.9774e+10,4.1441e+10,2.448e+09,7.95e+08,1.653e+09,2.114e+09,1.108e+09,1.006e+09,4.288e+09,4.288e+09,8.85e+09,7.445e+09,7.64e+08,7.64e+08,8.209e+09,1.7059e+10,9.073e+09,3.65e+08,8.708e+09,-6.565e+09,2.336e+10,-1.486e+09,2.4382e+10,2.4382e+10,4.1441e+10,3.91e+08,4.88e+08,2.6e+07,1.8e+07,8e+06,1.61e+08,-3e+07,1e+06,1.9e+07,1.71e+08,1.066e+09,-5.74e+08,-5.74e+08,-5.74e+08,-1.7e+07,-5.91e+08,1.17e+08,6.11e+08,-4.94e+08,4.69e+08,-2.18e+08,-4e+06,-4.28e+08,4.7e+07,4.7e+07,1.2e+07,5.9e+07,9.07e+08,9.559e+09,4.94e+08,0.35988,0.09901,0.09239,0.01604,0.00944,1.26343,0.18836,0.69966,0.23067,0.54533,0.54381,5.90237,34.00558,0.68898,8,0.02057,0.01423,10.03969,21.7327
"34","2018_Q3",56.8336507936508,"Down",4.356e+09,-2.681e+09,1.675e+09,-1.117e+09,-6.05e+08,-5.12e+08,5.58e+08,-3.7e+07,-4.7e+07,1e+07,5.21e+08,5.62e+08,-3e+06,5.59e+08,5.59e+08,5.59e+08,5.59e+08,1.053e+09,1.053e+09,3.42e+08,3.42e+08,4.02e+08,4.81e+08,4.81e+08,2.278e+09,3.5227e+10,4.679e+09,2.95e+09,1.183e+09,5.46e+08,3.9906e+10,4.2184e+10,2.316e+09,7.45e+08,1.571e+09,1.685e+09,8.37e+08,8.48e+08,5.308e+09,5.308e+09,9.309e+09,8.172e+09,7.71e+08,7.71e+08,8.943e+09,1.8252e+10,9.086e+09,3.65e+08,8.721e+09,-6.862e+09,2.3564e+10,-1.855e+09,2.3933e+10,2.3933e+10,4.2185e+10,5.6e+08,5.12e+08,-4.7e+07,1.4e+07,-6.1e+07,9.97e+08,-4999999.99999999,-1.7e+07,-3.3e+07,1.052e+09,2.022e+09,-1.525e+09,-1.627e+09,-1.627e+09,2.4e+07,-1.501e+09,7.18e+08,-2.13e+08,9.31e+08,1.149e+09,-2.95e+08,-1.2e+07,88000000.0000001,6.09e+08,6.09e+08,-1e+07,5.99e+08,1.07e+09,9.857e+09,5.45e+08,0.38453,0.1281,0.12833,0.02336,0.01325,0.97496,0.24471,0.76263,0.23367,0.78291,0.78182,6.10084,33.51961,0.76331,8,0.02552,0.01577,8.22804,15.77778
"35","2018_Q4",54.0780952380952,"Down",5.837e+09,-2.958e+09,2.879e+09,-1.083e+09,-5.73e+08,-5.1e+08,1.796e+09,-5.4e+07,-4.5e+07,-9e+06,1.742e+09,1.746e+09,-3.7e+07,1.709e+09,1.709e+09,1.709e+09,1.709e+09,5.26e+08,5.26e+08,3.66e+08,3.66e+08,4.05e+08,4.58e+08,4.58e+08,1.755e+09,3.5178e+10,4.82e+09,2.949e+09,1.182e+09,6.89e+08,3.9998e+10,4.1753e+10,2.282e+09,6.66e+08,1.616e+09,1.32e+09,6.32e+08,6.88e+08,4.418e+09,4.418e+09,8.02e+09,8.297e+09,7.83e+08,7.83e+08,9.08e+09,1.71e+10,9.106e+09,3.65e+08,8.741e+09,-7.533e+09,2.4921e+10,-1.84e+09,2.4654e+10,2.4654e+10,4.1754e+10,1.708e+09,5.1e+08,3e+06,1.7e+07,-1.4e+07,-8.73e+08,-2.6e+07,-3e+06,-8e+07,-7.64e+08,1.348e+09,-4.03e+08,-5.83e+08,-5.83e+08,-1.11e+08,-5.14e+08,-3.06e+08,-2.16e+08,-9e+07,0,-6.92e+08,-1.2e+07,-1.367e+09,-5.33e+08,-5.33e+08,5e+06,-5.28e+08,2.306e+09,9.617e+09,1.067e+09,0.49323,0.30769,0.29279,0.06932,0.04093,0.62434,0.21883,0.6936,0.23033,2.42068,2.41726,8.26771,34.92068,1.51133,7,0.05894,0.03044,3.94232,5.0618
"36","2019_Q1",52.7798360655738,"Down",4.455e+09,2.45e+08,4.7e+09,-4.134e+09,-6.56e+08,-5.07e+08,5.66e+08,-4.2e+07,-4.3e+07,1e+06,5.24e+08,5.06e+08,-1.4e+07,4.92e+08,4.92e+08,4.92e+08,4.92e+08,9.82e+08,9.82e+08,3.58e+08,3.58e+08,4.5e+08,4.36e+08,4.36e+08,2.226e+09,3.5336e+10,4.839e+09,2.925e+09,1.176e+09,7.38e+08,4.0175e+10,4.2401e+10,2.384e+09,7.3e+08,1.654e+09,2.426e+09,8.48e+08,1.578e+09,4.395e+09,4.395e+09,9.205e+09,7.897e+09,8.56e+08,8.56e+08,8.753e+09,1.7958e+10,9.121e+09,3.65e+08,8.756e+09,-7.795e+09,2.5066e+10,-1.949e+09,2.4443e+10,2.4443e+10,4.2401e+10,4.93e+08,5.07e+08,3.4e+07,1.6e+07,1.8e+07,7.9e+07,3e+06,-4.8e+07,7e+07,54000000.0000002,1.113e+09,-8.58e+08,-9.65e+08,-9.65e+08,-5e+07,-9.08e+08,8.74e+08,-1.321e+09,2.195e+09,9.24e+08,-2.6e+08,-1.4e+07,2.48e+08,4.53e+08,4.53e+08,-8e+06,4.45e+08,1.073e+09,1.0323e+10,3.08e+08,1.05499,0.12705,0.11044,0.02013,0.0116,0.62602,0.24183,0.73469,0.24346,0.70386,0.70386,6.37339,34.96853,0.44063,7,0.02369,0.00865,8.7055,16.50353
"37","2019_Q2",50.2890476190476,"Down",4.673e+09,-3.142e+09,1.531e+09,-1.145e+09,-6.29e+08,-5.16e+08,3.86e+08,-4.9e+07,-4.7e+07,-2e+06,3.37e+08,3.37e+08,-2e+06,3.35e+08,3.35e+08,3.35e+08,3.35e+08,6.49e+08,6.49e+08,4.06e+08,4.06e+08,4.44e+08,6.03e+08,6.03e+08,2.102e+09,3.7005e+10,4.824e+09,2.943e+09,1.181e+09,7e+08,4.1829e+10,4.3931e+10,2.435e+09,7.98e+08,1.637e+09,2.452e+09,7.68e+08,1.684e+09,4.755e+09,4.755e+09,9.642e+09,9.134e+09,9.12e+08,9.12e+08,1.0046e+10,1.9688e+10,9.141e+09,3.65e+08,8.776e+09,-8.063e+09,2.5033e+10,-1.869e+09,2.4242e+10,2.4242e+10,4.393e+10,3.36e+08,5.16e+08,3.2e+07,2e+07,1.2e+07,2.31e+08,-5e+07,7e+06,6.5e+07,2.09e+08,1.115e+09,-2.129e+09,-2.129e+09,-2.129e+09,7e+07,-2.059e+09,1.263e+09,-8.1e+07,1.344e+09,1.439e+09,-2.74e+08,-2.9e+07,6.12e+08,-3.32e+08,-3.32e+08,1e+06,-3.31e+08,9.02e+08,1.1586e+10,-9.94e+08,0.32763,0.0826,0.07169,0.01382,0.00763,-2.96716,0.218,0.81214,0.26373,0.48341,0.48201,6.74315,34.98124,-1.43434,6,0.01859,-0.02705,12.12528,28.3342
"38","2019_Q3",44.79890625,"Down",4.838e+09,-3.159e+09,1.679e+09,-1.164e+09,-6.21e+08,-5.43e+08,5.15e+08,-5.6e+07,-4.9e+07,-7e+06,4.59e+08,4.59e+08,-8e+06,4.51e+08,4.51e+08,4.51e+08,4.51e+08,1.202e+09,1.202e+09,4.05e+08,4.05e+08,5.01e+08,7.27e+08,7.27e+08,2.835e+09,3.6814e+10,4.864e+09,2.907e+09,1.172e+09,7.85e+08,4.1678e+10,4.4513e+10,2.467e+09,7.92e+08,1.675e+09,2.094e+09,4.8e+08,1.614e+09,5.815e+09,5.815e+09,1.0376e+10,9.08e+09,9.48e+08,9.48e+08,1.0028e+10,2.0404e+10,9.15e+09,3.65e+08,8.785e+09,-8.104e+09,2.5138e+10,-2.076e+09,2.4108e+10,2.4108e+10,4.4512e+10,4.51e+08,5.43e+08,5e+06,7e+06,-2000000.00000001,1.054e+09,-1.49011611938477e-08,-2e+06,3000000.00000001,1.053e+09,2.053e+09,-8.86e+08,-8.92e+08,-8.92e+08,2.7e+07,-8.59e+08,-2.36e+08,-2.76e+08,4e+07,2.83e+08,-4.2e+07,-1.4e+07,-6.38e+08,5.56e+08,5.56e+08,-6e+06,5.5e+08,1.058e+09,1.1174e+10,1.234e+09,0.34704,0.10645,0.09322,0.01871,0.01013,2.73614,0.27323,0.84636,0.25103,0.65268,0.65079,7.00145,34.88857,1.78582,6,0.022,0.03406,9.42533,19.36311
"39","2019_Q4",43.86890625,"Down",6.533e+09,-3.507e+09,3.026e+09,-1.111e+09,-5.63e+08,-5.48e+08,1.915e+09,-6.3e+07,-4.5e+07,-1.8e+07,1.852e+09,1.828e+09,-4.6e+07,1.782e+09,1.782e+09,1.782e+09,1.782e+09,1.153e+09,1.153e+09,4.41e+08,4.41e+08,4.82e+08,6.35e+08,6.35e+08,2.711e+09,3.6466e+10,4.823e+09,2.886e+09,1.166e+09,7.71e+08,4.1289e+10,4.4e+10,2.413e+09,6.95e+08,1.718e+09,1.845e+09,2.38e+08,1.607e+09,4.674e+09,4.674e+09,8.932e+09,8.893e+09,8.82e+08,8.82e+08,9.775e+09,1.8707e+10,9.163e+09,3.65e+08,8.798e+09,-8.261e+09,2.6576e+10,-2.183e+09,2.5295e+10,2.5295e+10,4.4002e+10,1.78e+09,5.48e+08,5.6e+07,1.1e+07,4.5e+07,-1.137e+09,-5.1e+07,1.7e+07,-9.3e+07,-1.01e+09,1.247e+09,-4.18e+08,-4.27e+08,-4.27e+08,1.9e+07,-3.99e+08,-3.77e+08,-2.43e+08,-1.34e+08,0,-1.52e+08,-1e+07,-8.86e+08,-3.8e+07,-3.8e+07,-6e+06,-4.4e+07,2.463e+09,1.0738e+10,9.54e+08,0.46319,0.29313,0.27277,0.07045,0.0405,0.53535,0.30352,0.73955,0.24405,2.58636,2.57887,9.48186,36.71263,1.38462,5,0.05768,0.02584,3.8916,5.00522
"40","2020_Q1",35.2956451612903,"Down",4.781e+09,9.3e+07,4.874e+09,-4.387e+09,-6.67e+08,-5.53e+08,4.87e+08,-4.7e+07,-4.2e+07,-5e+06,4.4e+08,4.38e+08,-1.5e+07,4.23e+08,4.23e+08,4.23e+08,4.23e+08,5.18e+08,5.18e+08,4.44e+08,4.44e+08,4.27e+08,6.71e+08,6.71e+08,2.06e+09,3.8131e+10,4.869e+09,2.912e+09,1.174e+09,7.83e+08,4.3e+10,4.506e+10,2.565e+09,7.56e+08,1.809e+09,1.827e+09,2.31e+08,1.596e+09,4.735e+09,4.735e+09,9.127e+09,9.675e+09,8.9e+08,8.9e+08,1.0565e+10,1.9692e+10,9.172e+09,3.65e+08,8.807e+09,-8.394e+09,2.6653e+10,-2.066e+09,2.5365e+10,2.5365e+10,4.5057e+10,4.23e+08,5.53e+08,2.3e+07,8e+06,1.5e+07,64000000.0000005,-1.3e+07,5.7e+07,5.9e+07,-3.9e+07,1.063e+09,-1.97e+09,-1.981e+09,-1.981e+09,1e+07,-1.96e+09,7.68e+08,-1.656e+09,2.424e+09,1.952e+09,-1.31e+08,-3.3e+07,2.58e+08,-6.39e+08,-6.39e+08,2e+06,-6.37e+08,1.04e+09,1.1502e+10,-8.51e+08,1.01945,0.10186,0.0884800000000002,0.01668,0.00939,-2.01182,0.2257,0.77635,0.25526,0.61572,0.61393,6.95924,36.9214,-1.23872,5,0.02037,-0.02254,10.56154,22.55441
"41","2020_Q2",14.9836507936508,"Down",4.79e+09,-2.52e+09,2.27e+09,-1.919e+09,-6.78e+08,-5.7e+08,3.51e+08,-5.7e+07,-5e+07,-7e+06,2.94e+08,-7.67e+08,-1.1e+07,-7.78e+08,-7.78e+08,-7.78e+08,-7.78e+08,1.354e+09,1.354e+09,4.05e+08,4.05e+08,4.4e+08,6.87e+08,6.87e+08,2.886e+09,3.8023e+10,6.034e+09,2.176e+09,1.173e+09,2.685e+09,4.4057e+10,4.6943e+10,2.658e+09,9.04e+08,1.754e+09,3.2e+09,1.004e+09,2.196e+09,4.858e+09,4.858e+09,1.0716e+10,9.738e+09,2.199e+09,2.199e+09,1.1937e+10,2.2653e+10,9.195e+09,3.66e+08,8.829e+09,-8.404e+09,2.5527e+10,-2.028e+09,2.429e+10,2.429e+10,4.6943e+10,-7.81e+08,5.7e+08,1.009e+09,2e+07,9.89e+08,1.18e+08,2.1e+07,-1.5e+07,1.48e+08,-3.6e+07,9.16e+08,-1.1e+09,-1.326e+09,-1.326e+09,-6.1e+07,-1.161e+09,1.47e+09,6.47e+08,8.23e+08,8.23e+08,-1e+07,-2.6e+07,1.09e+09,8.45e+08,8.45e+08,-7e+06,8.38e+08,9.21e+08,1.2938e+10,-5e+07,0.4739,0.07328,-0.16242,-0.03203,-0.01657,0.06427,0.26932,0.93261,0.27561,-1.13743,-1.13743,7.00292,35.5117,-0.0731,6,-0.01101,-0.00127,12.57763,33.00285
"42","2020_Q3",15.4565625,"Up",7.39e+08,-1.427e+09,-6.88e+08,-1.54e+09,-4.92e+08,-5.77e+08,-2.228e+09,-2.08e+08,-1.76e+08,-3.2e+07,-2.436e+09,-4.39e+09,1.1e+07,-4.379e+09,-4.379e+09,-4.379e+09,-4.379e+09,6.881e+09,6.881e+09,6.04e+08,6.04e+08,3.62e+08,3.74e+08,3.74e+08,8.221e+09,3.7139e+10,4.457e+09,7.9e+08,1.168e+09,2.499e+09,4.1596e+10,4.9817e+10,3.152e+09,1.809e+09,1.343e+09,5.935e+09,3.562e+09,2.373e+09,2.771e+09,2.771e+09,1.1858e+10,1.487e+10,2.248e+09,2.248e+09,1.7118e+10,2.8976e+10,1.005e+10,3.67e+08,9.683e+09,-8.404e+09,2.1155e+10,-1.962e+09,2.0839e+10,2.0839e+10,4.9815e+10,-4.374e+09,5.77e+08,2.1e+09,1.8e+07,2.082e+09,-1.023e+09,-2.23e+08,7.3e+07,9.04e+08,-1.777e+09,-2.72e+09,-3.32e+08,-3.42e+08,-3.42e+08,2.37e+08,-9.5e+07,8.154e+09,2.303e+09,5.851e+09,5.851e+09,5.56e+08,-3e+07,8.335e+09,5.52e+09,5.52e+09,8e+06,5.528e+09,-1.651e+09,2.0805e+10,-3.017e+09,-0.93099,-3.01488,-5.92558,-0.21013,-0.0879,0.68897,0.69329,1.39047,0.41763,-6.08194,-6.08194,1.02639,28.94306,-4.19028,2,-0.0919,-0.06873,-8.43368,-6.24955000000001
"43","2020_Q4",17.78,"Up",3.2e+07,-4.29e+08,-3.97e+08,-1.023e+09,-2.65e+08,-5.51e+08,-1.42e+09,-3.08e+08,-3.06e+08,-2e+06,-1.728e+09,-2.858e+09,2e+06,-2.856e+09,-2.856e+09,-2.856e+09,-2.856e+09,8.176e+09,8.176e+09,3.76e+08,3.76e+08,3.49e+08,3.67e+08,3.67e+08,9.268e+09,3.6926e+10,4.624e+09,8.07e+08,1.186e+09,2.631e+09,4.155e+10,5.0818e+10,1.89e+09,6.91e+08,1.199e+09,5.995e+09,3.374e+09,2.621e+09,2.3e+09,2.3e+09,1.0185e+10,1.8916e+10,2.215e+09,2.215e+09,2.1131e+10,3.1316e+10,1.1049e+10,3.69e+08,1.068e+10,-8.404e+09,1.8297e+10,-1.439e+09,1.9503e+10,1.9503e+10,5.0819e+10,-2.859e+09,5.51e+08,1.257e+09,1.4e+07,1.243e+09,-1.795e+09,2.27e+08,1.3e+07,-1.149e+09,-8.86e+08,-2.846e+09,-1.96e+08,-2.31e+08,-2.31e+08,0,-1.96e+08,4.089e+09,-7.05e+08,4.794e+09,4.794e+09,2.32e+08,-4.7e+07,4.274e+09,1.232e+09,1.232e+09,6.2e+07,1.294e+09,-8.69e+08,2.4911e+10,-2.862e+09,-12.40625,-44.375,-89.25,-0.14644,-0.0562,1.0021,0.90997,1.6057,0.4902,-3.67568,-3.67568,0.04118,25.10039,-3.6834,2,-0.06125,-0.06138,-19.25777,-11.78521
"44","2021_Q1",23.5890163934426,"Up",3.3e+07,-1.902e+09,-1.869e+09,3.63e+08,-4.43e+08,-5.43e+08,-1.506e+09,-3.56e+08,-3.45e+08,-1.1e+07,-1.862e+09,-2.239e+09,1.5e+07,-2.224e+09,-2.224e+09,-2.224e+09,-2.224e+09,9.513e+09,9.513e+09,2.73e+08,2.73e+08,3.35e+08,4.43e+08,4.43e+08,1.0564e+10,3.8073e+10,4.957e+09,8.07e+08,1.186e+09,2.964e+09,4.303e+10,5.3594e+10,1.768e+09,6.24e+08,1.144e+09,4.826e+09,3.084e+09,1.742e+09,2.091e+09,2.091e+09,8.685e+09,2.213e+10,2.222e+09,2.222e+09,2.4352e+10,3.3037e+10,1.432e+10,3.72e+08,1.3948e+10,-8.404e+09,1.6075e+10,-1.436e+09,2.0555e+10,2.0555e+10,5.3592e+10,-2.222e+09,5.43e+08,5.16e+08,29301504.5698703,431826325.962495,-4.86e+08,241380544.056778,-16962104.5069459,-1232066506.06799,-212273106.442327,-1.649e+09,-1.658e+09,-1.721e+09,-1.721e+09,-1.3e+08,-1.788e+09,2.538e+09,-1493342698.15711,5363629235.93255,5374897023.16731,2.459e+09,-4.7e+07,4.95e+09,1.513e+09,1.513e+09,-9999999.99999999,1.503e+09,-9.63e+08,2.6956e+10,-3.122e+09,-56.63636,-45.63636,-67.39394,-0.1082,-0.0415,1.40378,1.21635,1.60725,0.50297,-2.42002,-2.42002,0.03591,22.3667,-3.39717,2,-0.04472,-0.06277,-18.11319,-11.58234
