"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q3",14.1563492063492,"Up",87494000,-75239000,12255000,-10583000,-7108000,-3475000,1672000,279000,36000,243000,1951000,1951000,-4000,1947000,1947000,1947000,1947000,42406000,42406000,48717000,48717000,6798000,6798000,97921000,4687000,80664000,62283000,10243000,8138000,85351000,183272000,55149000,25381000,29768000,730000,730000,55879000,2486000,2486000,2486000,58365000,267028000,-141641000,-480000,124907000,124907000,183272000,1947000,1810000,2393000,1145000,7295000,-75000,-294000,-14523000,376000,898000,-1109000,-733000,-7961000,-7961000,0,-7961000,3482000,0,4556000,0.14007,0.01911,0.02225,0.01559,0.01062,2.34001,1.75238,0.46727,0,0.04235,0.03924,1.90312,2.71691,0.0991,0.01528,0.03576,-12.17863,-25.36244
"31","2018_Q4",15.0395238095238,"Up",117925000,-99982000,17943000,-11364000,-7678000,-3686000,6579000,628000,45000,583000,7207000,7207000,-90000,7117000,7117000,7117000,7117000,47089000,47089000,69066000,69066000,7074000,7074000,123229000,4259000,79511000,62283000,9380000,7848000,83770000,206999000,69260000,30343000,38917000,555000,555000,69815000,3518000,3518000,3518000,73333000,268648000,-134524000,-458000,133666000,133666000,206999000,7117000,1906000,2113000,-5442000,5694000,-197000,172000,-25000,2267000,2267000,-3280000,-1013000,4656000,4656000,27000,4683000,8485000,0,2936000,0.15216,0.05579,0.06035,0.05324,0.03438,0.41253,1.76508,0.54863,0,0.15272,0.1388,2.53047,2.86825,0.063,0.05188,0.0214,-5.54968,-7.15747
"32","2019_Q1",15.5039344262295,"Up",111521000,-94786000,16735000,-10707000,-7277000,-3430000,6028000,-119000,63000,-182000,5909000,5909000,-488000,5421000,5421000,5421000,5421000,64700000,64700000,68492000,68492000,4432000,4432000,137624000,4211000,78461000,62283000,8573000,7605000,82672000,220296000,67317000,32506000,34811000,715000,715000,68032000,3938000,3938000,3938000,71970000,277809000,-129103000,-380000,148326000,148326000,220296000,5421000,1790000,2517000,1938000,11666000,-214000,-420000,-634000,7863000,7863000,-1372000,6491000,17523000,17523000,88000,17611000,7818000,0,10030000,0.15006,0.05405,0.04861,0.03655,0.02461,1.85021,2.02293,0.48521,0,0.11409,0.10451,2.34712,3.12173,0.2111,0.0356,0.06587,-8.27577,-10.73324
"33","2019_Q2",14.9274603174603,"Down",112869000,-96813000,16056000,-10743000,-7438000,-3305000,5313000,-1000,66000,-67000,5312000,5312000,-15000,5297000,5297000,5297000,5297000,70519000,70519000,65668000,65668000,5297000,5297000,141484000,4126000,77448000,62283000,7835000,7330000,81574000,223058000,65144000,34129000,31015000,881000,881000,66025000,4008000,4008000,4008000,70033000,277133000,-123806000,-302000,153025000,153025000,223058000,5297000,1648000,3211000,71000,10227000,-334000,-451000,-785000,2144000,2144000,-5857000,-3713000,5729000,5729000,90000,5819000,6961000,0,6713000,0.14225,0.04707,0.04693,0.03462,0.02375,1.26732,2.14289,0.45766,0,0.10885,0.10101,2.3194,3.14459,0.13795,0.03373,0.04275,-10.13058,-13.27292
"34","2019_Q3",13.64484375,"Down",104096000,-90915000,13181000,-10327000,-7332000,-2995000,2854000,86000.0000000001,-29000,115000,2940000,2940000,49886000,52826000,52826000,52826000,52826000,62447000,62447000,63122000,63122000,4927000,4927000,130496000,4575000,152678000,67429000,28984000,6133000,157253000,287749000,63351000,34759000,28592000,4795000,892000,68146000,8397000,8397000,8397000,76543000,282543000,-70980000,-357000,211206000,211206000,287749000,52826000,2371000,-44868000,2323000,12652000,-318000,-573000,-23047000,3062000,3062000,-1561000,1501000,-8894000,-8894000,-53000,-8947000,5225000,0,-42656000,0.12662,0.02742,0.50747,0.25012,0.18358,-0.807480000000002,1.91495,0.36241,0,1.06739,1.00271,2.10333,4.26756,-0.86189,0.24055,-0.19424,-11.95158,-21.88052
"35","2019_Q4",14.25984375,"Up",116225000,-98350000,17875000,-18802000,-15938000,-2864000,-927000,-24000,-16000,-8000,-951000,-951000,1892000,941000,941000,941000,941000,67004000,67004000,67494000,67494000,5756000,5756000,140254000,4810000,153244000,67429000,27432000,6250000,158054000,298308000,70238000,35173000,35065000,4799000,848000,75037000,9018000,9018000,9018000,84055000,284649000,-70039000,-357000,214253000,214253000,298308000,941000,2361000,61294000,-58148000,6448000,-541000,-497000,-1038000,508000,508000,-1365000,-857000,4553000,4553000,5000,4558000,1434000,0,-59147000,0.1538,-0.00798,0.0081,0.00439,0.00315000000000007,-62.85547,1.86913,0.39232,-2.11758236813575e-22,0.01886,0.01778,2.32949,4.29425,-1.18548,0.00420999999999999,-0.26491,-46.72524,72.28047
"36","2020_Q1",12.3224193548387,"Down",121964000,-107431000,14533000,-11046000,-7881000,-3165000,3487000,-69000,-98000,29000,3418000,3418000,-2000,3416000,3416000,3416000,3416000,62522000,62522000,75628000,75628000,5228000,5228000,143378000,5410000,175823000,82544000,35118000,6012000,181233000,324611000,73971000,37093000,36878000,9728000,761000,83699000,18083000,18083000,18083000,101782000,289818000,-66623000,-366000,222829000,222829000,324611000,3416000,2595000,-47575000,50202000,8638000,-779000,-759000,-12119000,2075000,2075000,-3060000,-985000,-4466000,-4466000,-16000,-4482000,6082000,1.4210854715202e-14,55507000,0.11916,0.02859,0.0280099999999999,0.01533,0.01052,16.24912,1.71302,0.45677,0,0.0679399999999999,0.0644899999999999,2.42584,4.43203,1.10402,0.01418,0.2304,-10.27984,-17.93003
"37","2020_Q2",9.64873015873016,"Down",126614000,-113189000,13425000,-11744000,-8188000,-3556000,1681000,-397000,-140000,-257000,1284000,1284000,-152000,1132000,1132000,1132000,1132000,70517000,70517000,74615000,74615000,6168000,6168000,151300000,5400000,185558000,82544000,33178000,17788000,190958000,342258000,77719000,40020000,37699000,9854000,839000,87573000,26594000,26594000,26594000,114167000,293917000,-65491000,-335000,228091000,228091000,342258000,1132000,2812000,4929000,668000,9541000,-544000,-507000,-1051000,1827000,1827000,-2358000,-531000,7959000,7959000,36000,7995000,4493000,0,4769000,0.10603,0.01328,0.00894,0.00496000000000001,0.00331,4.2129,1.7277,0.50053,0,0.02226,0.02123,2.4902,4.48601,0.09379,0.00444,0.0187299999999999,-15.69486,-41.94943
"38","2020_Q3",12.98640625,"Up",118101000,-105318000,12783000,-11489000,-8090000,-3399000,1294000,-132000,-123000,-9000,1162000,1162000,387000,1549000,1549000,1549000,1549000,76124000,76124000,69612000,69612000,5234000,5234000,150970000,5682000,182752000,82544000,31244000,16469000,188434000,339404000,72577000,34298000,38279000,10135000,1168000,82712000,22821000,22821000,22821000,105533000,298132000,-63942000,-319000,233871000,233871000,339404000,1549000,2854000,4693000,842000.000000007,9938000,-404000,-582000,-985999.999999996,1326000,1326000,-4694000,-3368000,5584000,5584000,23000,5607000,4148000,8.88178419700125e-16,4199000.00000001,0.10824,0.01096,0.01312,0.00662,0.00456,2.71078,1.82525,0.45124,0,0.03013,0.02896,2.2971,4.54887,0.0816700000000003,0.00603,0.01636,-18.35198,-58.82844
"39","2020_Q4",18.239375,"Up",128663000,-114210000,14453000,-10442000,-7192000,-3250000,4011000,10357000,-134000,10491000,14368000,14368000,-449000,13919000,13919000,13919000,13919000,97139000,97139000,73367000,73367000,8754000,8754000,179260000,5748000,175504000,81179000,30185000,15196000,181252000,360512000,81988000,40065000,41923000,8908000,1e+05,90896000,20409000,20409000,20409000,111305000,299479000,-50023000,-249000,249207000,249207000,360512000,13919000,2851000,-4880000,3266000,15156000,-373000,-561000,8171000,677000,677000,-3065000,-2388000,20939000,20939000,76000,21015000,6862000,0,10204000,0.11233,0.03117,0.10818,0.05585,0.03861,0.7331,1.97214,0.44664,0,0.2687,0.26049,2.48379,4.81085,0.19698,0.05163,0.03785,-14.15608,-24.21815
"40","2021_Q1",22.5013114754098,"Up",116961000,-105147000,11814000,-12595000,-8594000,-4001000,-781000,2653000,-69000,2722000,1872000,1872000,-370000,1502000,1502000,1502000,1502000,107509000,107509000,64472000,64472000,13591000,13591000,185572000,5657000,167178000,80677000,28174000,9654000,172835000,358407000,79030000,36759000,42271000,6807000,73000,85837000,16626000,16626000,16626000,102463000,304702000,-48521000,-237000,255944000,255944000,358407000,1502000,2959000,3142000,5370000,12973000,-641000,-616000,2734000,262000,262000,-5607000,-5345000,10362000,10362000,8000.00000000001,10370000,2178000,0,7277000,0.10101,-0.00668,0.01284,0.00587,0.00419,4.84487,2.16191,0.40033,0,0.02885,0.02818,2.24679,4.91661,0.13979,0.00551,0.0267,-49.36134,137.65557
"41","2021_Q2",18.9655555555556,"Down",139269000,-122231000,17038000,-14115000,-9224000,-4891000,2923000,16372000,-317000,16689000,19295000,19295000,-4614000,14681000,14681000,14681000,14681000,102244000,102244000,69131000,69131000,13467000,13467000,184842000,6117000,226153000,115916000,58619000,15345000,232270000,417112000,91921000,47596000,44325000,12677000,338000,104598000,39226000,39226000,39226000,143824000,307403000,-33840000,-275000,273288000,273288000,417112000,14681000,4133000,-7235000,5979000,17558000,-437000,-696000,-20707000,1167000,1167000,-3222000,-2055000,-5204000,-5204000,-61000,-5265000,7056000,0,17212000,0.12234,0.02099,0.10541,0.05372,0.0352,1.1724,1.76717,0.52627,0,0.27968,0.27052,2.65315,5.20628,0.3279,0.04698,0.05508,-14.49036,-34.97913
"42","2021_Q3",17.973125,"Down",134968000,-120437000,14531000,-14762000,-9782000,-4980000,-231000,-261000,-295000,33999.9999999981,-492000.000000004,-492000.000000004,958000.000000001,466000.000000006,466000.000000006,466000.000000006,466000.000000006,102647000,102647000,71277000,71277000,7455000,7455000,181379000,6650000,227028000,110109000,55690000,16020000,233678000,415057000,85550000,37748000,47802000,12235000,394000,97785000,37866000,37866000,37866000,135651000,313070000,-33374000,-290000,279406000,279406000,415057000,466000.000000006,4003000,4370000,-3260000,5579000,-604000,-703000,-2577000,1791000,1791000,-4378000,-2587000,415000,415000,-12000,402999.999999998,3772000,-3.46944695195361e-18,-1050000,0.10766,-0.00171,0.00345000000000001,0.00167,0.00112,-2.25322,1.85488,0.4855,0,0.00878000000000001,0.00845000000000001,2.54388,5.26625,-0.01979,0.00147,-0.00331,-27.21288,444.35931
"43","2021_Q4",16.5784375,"Down",153052000,-132666000,20386000,-14133000,-9228000,-4905000,6253000,-323000,-295000,-28000,5930000,5930000,-893000,5037000,5037000,5037000,5037000,103202000,103202000,82331000,82331000,8538000,8538000,194071000,6810000,241614000,118209000,62201000,16701000,248424000,442495000,96482000,39848000,56634000,15230000,87000,111712000,42216000,42216000,42216000,153928000,317186000,-28337000,-282000,288567000,288567000,442495000,5037000,3874000,5455000,-1300000,13066000,-326000,-939000,-11778000,1195000,1195000,-1938000,-743000,545000,545000,11000,556000,10127000,0,9394000,0.1332,0.04086,0.03291,0.01746,0.01138,1.865,1.73724,0.53342,0,0.0943,0.09057,2.86528,5.40226,0.17586,0.01523,0.0284,-10.19078,-16.5044000000001
"44","2022_Q1",13.4470967741935,"Down",151198000,-132622000,18576000,-13595000,-9027000,-4568000,4981000,-385000,-350000,-35000.0000000005,4596000,4596000,-1225000,3371000,3371000,3371000,3371000,110318000,110318000,87928000,87928000,7930000,7930000,206176000,6849000,236490000,117833000,59177000,16144000,243339000,449515000,102881000,45231000,57650000,12730000,33000,115611000,38756000,38756000,38756000,154367000,320369000,-24966000,-255000,295148000,295148000,449515000,3371000,4191000,5420000,1430000,14412000,-602000,-793000,-1395000,204000,204000,-6131000,-5927000,7090000,7090000,26000,7116000,9172000,0,11225000,0.12286,0.03294,0.0223,0.01142,0.0075,3.32987,1.78336,0.52302,0,0.06277,0.06077,2.81561,5.49624,0.20903,0.0101,0.03362,-12.02769,-22.14776
"45","2022_Q2",10.5138709677419,"Down",159608000,-141505000,18103000,-14165000,-9540000,-4625000,3938000,-269000,-273000,4000,3669000,3669000,-576000,3093000,3093000,3093000,3093000,105928000,105928000,88421000,88421000,8466000,8466000,202815000,7333000,231785000,117833000,56161000,14989000,239118000,441933000,97251000,48354000,48897000,13205000,34000,110456000,31782000,31782000,31782000,142238000,321823000,-21873000,-255000,299695000,299695000,441933000,3093000,4200000,5515000,-7055000,5753000,-409000,-965000,-1374000,393000,393000,-9157000,-8764000,-4385000,-4385000,-5000,-4390000,8138000,0,1250000,0.11342,0.02467,0.01938,0.01032,0.007,0.40414,1.83616,0.47461,-4.03896783473158e-28,0.05729,0.05544,2.95609,5.55063,0.02315,0.00933,0.00377,-13.01647,-26.89893
"46","2022_Q3",11.378125,"Up",125331000,-115554000,9777000,-17330000,-12469000,-4861000,-7553000,-265000,-267000,1999.99999999994,-7818000,-7818000,2190000,-5628000,-5628000,-5628000,-5628000,115035000,115035000,64175000,64175000,5800000,5800000,185010000,8469000,234112000,119589000,54324000,15202000,242581000,427591000,81313000,39139000,42174000,15343000,36000,96656000,32290000,32290000,32290000,128946000,326401000,-27501000,-255000,298645000,298645000,427591000,-5628000,4213000,6210000,9139000,13934000,-311000,-1294000,-2605000,651000,651000,-2864000,-2213000,9116000,9116000,-9000,9107000,-3340000,0,3298000,0.07801,-0.06026,-0.04491,-0.01885,-0.01316,-0.586,1.91411,0.43177,0,-0.10424,-0.10088,2.32125,5.53118,0.06108,-0.01701,0.00997,34.44162,15.23037
