"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",25.1179365079365,"Down",3.6285e+10,-2.8551e+10,7.734e+09,-7.103e+09,-6.367e+09,-7.36e+08,6.31e+08,-1.86e+08,-1.77e+08,-1.77e+08,4.45e+08,4.45e+08,-1.48e+08,2.97e+08,2.97e+08,6e+06,3.03e+08,3.03e+08,3.56e+08,3.56e+08,1.394e+09,6.359e+09,1.429e+09,4.77e+08,9.52e+08,9.538e+09,2.1133e+10,5.128e+09,3.031e+09,9.56e+08,2.6261e+10,3.5799e+10,7.213e+09,6.078e+09,1.135e+09,1.854e+09,3.448e+09,3.448e+09,1.2515e+10,1.159e+10,5.559e+09,1.552e+09,2.181e+09,1.826e+09,1.7149e+10,2.9664e+10,5.022e+09,-1.3874e+10,1.5735e+10,-7.38e+08,6.145e+09,-1e+07,6.135e+09,3.5799e+10,2.97e+08,7.36e+08,6.9e+07,1.207e+09,2.309e+09,-7.34e+08,8.3e+07,-8.17e+08,-8.17e+08,-1e+07,-7.44e+08,-1.11e+08,-6.28e+08,-7.55e+08,1.7e+07,-7.72e+08,-3.7e+07,-1.531e+09,3.4e+07,3.4e+07,3.4e+07,1.367e+09,1.3444e+10,1.988e+09,0.21315,0.01739,0.00835,0.04939,0.00846,6.56106,0.76213,4.83521,0.37554,0.32166,0.31628,38.51911,6.52335,2.1104,0.11783,0.01647,0.07908,0.36634,9.57425,20.74168
"30","2017_Q3",20.0477777777778,"Down",2.7597e+10,-2.1835e+10,5.762e+09,-5.079e+09,-4.516e+09,-5.63e+08,6.83e+08,-1.43e+08,-1.38e+08,-1.38e+08,5.4e+08,5.4e+08,-1.89e+08,3.51e+08,3.51e+08,2e+06,3.53e+08,3.53e+08,8.19e+08,8.19e+08,1.536e+09,6.363e+09,1.429e+09,4.52e+08,9.77e+08,1.0147e+10,2.1308e+10,5.145e+09,3.052e+09,9.62e+08,2.6453e+10,3.66e+10,7.083e+09,6.003e+09,1.08e+09,9.48e+08,3.587e+09,3.587e+09,1.1618e+10,1.31e+10,5.738e+09,1.533e+09,2.38e+09,1.825e+09,1.8838e+10,3.0456e+10,5.012e+09,-1.4105e+10,1.5978e+10,-7.26e+08,6.159e+09,-1.5e+07,6.144e+09,3.66e+10,3.51e+08,5.63e+08,3.37e+08,-2.35e+08,1.016e+09,-6.94e+08,1.1e+07,-7.05e+08,-7.05e+08,4e+06,-7.06e+08,-1.1e+08,5.5e+08,-2.47e+08,1.1e+07,-2.58e+08,-4e+07,1.53e+08,4.63e+08,4.63e+08,4.63e+08,1.246e+09,1.4048e+10,5.06e+08,0.20879,0.02475,0.01279,0.05745,0.00964,1.43343,0.87339,4.95703,0.38383,0.3892,0.38495,30.42668,6.79052,0.55788,0.12128,0.01786,0.01951,0.31161,10.61717,19.36896
"31","2017_Q4",20.8322222222222,"Up",2.7749e+10,-2.1727e+10,6.022e+09,-5.274e+09,-4.702e+09,-5.72e+08,7.48e+08,-1.45e+08,-1.38e+08,-1.38e+08,6.03e+08,6.03e+08,-2.15e+08,3.88e+08,3.88e+08,9e+06,3.97e+08,3.97e+08,3.52e+08,3.52e+08,1.452e+09,6.917e+09,2.204e+09,4.37e+08,1.163e+09,1.0925e+10,2.0966e+10,5.137e+09,3.035e+09,9.89e+08,2.6103e+10,3.7028e+10,7.381e+09,6.307e+09,1.074e+09,1.729e+09,3.78e+09,3.78e+09,1.289e+10,1.3118e+10,4.809e+09,5.22e+08,2.452e+09,1.835e+09,1.7927e+10,3.0817e+10,5.042e+09,-1.4364e+10,1.6263e+10,-7.06e+08,6.235e+09,-2.4e+07,6.211e+09,3.7028e+10,3.88e+08,5.72e+08,9.8e+07,-1.329e+09,-2.71e+08,-5.89e+08,2.6e+07,-6.15e+08,-6.15e+08,4e+06,-5.85e+08,-1.12e+08,7.67e+08,-2.59e+08,3e+06,-2.62e+08,-7e+06,3.89e+08,-4.67e+08,-4.67e+08,-4.67e+08,1.32e+09,1.4847e+10,-3.83e+08,0.21702,0.02696,0.01431,0.06392,0.01072,-0.96474,0.84756,4.96168,0.40097,0.44657,0.44308,31.21372,7.0135,-0.43082,0.12598,0.01968,-0.01481,0.28212,10.98106,19.37834
"32","2018_Q1",24.4095081967213,"Up",3.1649e+10,-2.4609e+10,7.04e+09,-6.49e+09,-5.925e+09,-5.65e+08,5.5e+08,-6.54e+08,-1.48e+08,-1.48e+08,-1.04e+08,-1.04e+08,9.57e+08,8.53e+08,8.53e+08,1e+06,8.54e+08,8.54e+08,3.47e+08,3.47e+08,1.637e+09,6.533e+09,2.6e+09,8.35e+08,1.161e+09,1.1117e+10,2.1071e+10,5.009e+09,2.925e+09,9.84e+08,2.608e+10,3.7197e+10,6.957e+09,5.858e+09,1.099e+09,3.56e+09,3.68e+09,3.68e+09,1.4197e+10,1.2029e+10,4.066e+09,7.92e+08,1.568e+09,1.706e+09,1.6095e+10,3.0292e+10,5.079e+09,-1.4684e+10,1.7007e+10,-4.71e+08,6.931e+09,-2.6e+07,6.905e+09,3.7197e+10,8.53e+08,5.65e+08,-2.75e+08,-7.84e+08,3.59e+08,-6.54e+08,1.8e+07,-6.72e+08,-6.72e+08,-1.8e+07,-6.72e+08,-1.1e+08,7.42e+08,-3.21e+08,2e+07,-3.41e+08,-3e+06,3.08e+08,-4999999.99999988,-4999999.99999988,-4999999.99999988,1.115e+09,1.5589e+10,-1.28e+09,0.22244,0.01738,0.02698,0.12368,0.02296,-1.49883,0.78305,4.38697,0.41909,0.97377,0.96388,36.0878,7.90308,-1.45952,0.12543,0.0363,-0.04819,0.12881,13.66996,27.71273
"33","2018_Q2",22.71171875,"Down",3.7722e+10,-2.9695e+10,8.027e+09,-6.998e+09,-6.257e+09,-7.41e+08,1.029e+09,-2.02e+08,-1.92e+08,-1.92e+08,8.27e+08,2.634e+09,-6.16e+08,2.018e+09,2.018e+09,8e+06,2.026e+09,2.026e+09,6.91e+08,6.91e+08,1.583e+09,6.387e+09,1.625e+09,5.3e+08,1.053e+09,1.0286e+10,2.1195e+10,5.08e+09,2.925e+09,1.055e+09,2.6275e+10,3.6561e+10,7.213e+09,6.202e+09,1.011e+09,2.242e+09,4.021e+09,4.021e+09,1.3476e+10,1.2059e+10,4.085e+09,7.89e+08,1.59e+09,1.706e+09,1.6144e+10,2.962e+10,4.977e+09,-1.6476e+10,1.8924e+10,-4.55e+08,6.97e+09,-2.9e+07,6.941e+09,3.6561e+10,2.018e+09,7.41e+08,-1.703e+09,1.312e+09,2.368e+09,-7.11e+08,4.7e+07,-7.58e+08,-7.58e+08,-3.8e+07,1.349e+09,-1.1e+08,-1.324e+09,-1.799e+09,1e+07,-1.809e+09,-1.4e+08,-3.373e+09,3.44e+08,3.44e+08,3.44e+08,1.77e+09,1.4301e+10,2.987e+09,0.21279,0.02728,0.05371,0.29189,0.05541,1.47433,0.76328,4.2674,0.39115,2.26369,2.24115,42.14749,7.78771,3.33743,0.12291,0.08434,0.11794,0.05429,7.68927,13.22643
"34","2018_Q3",27.0066666666667,"Up",2.8013e+10,-2.218e+10,5.833e+09,-5.285e+09,-4.711e+09,-5.74e+08,5.48e+08,-1.47e+08,-1.44e+08,-1.44e+08,4.01e+08,6.28e+08,-1.27e+08,5.01e+08,5.01e+08,7e+06,5.08e+08,5.08e+08,3.61e+08,3.61e+08,1.488e+09,6.241e+09,1.656e+09,4.6e+08,1.017e+09,9.746e+09,2.1316e+10,5.895e+09,3.087e+09,1.59e+09,2.7211e+10,3.6957e+10,7.041e+09,5.933e+09,1.108e+09,2.411e+09,3.897e+09,3.897e+09,1.3349e+10,1.2121e+10,4.149e+09,7.87e+08,1.667e+09,1.695e+09,1.627e+10,2.9619e+10,5.098e+09,-1.6605e+10,1.9331e+10,-4.5e+08,7.374e+09,-3.6e+07,7.338e+09,3.6957e+10,5.01e+08,5.74e+08,-6.1e+07,-1.22e+08,8.92e+08,-7.09e+08,2e+07,-7.29e+08,-7.29e+08,5e+07,-1.221e+09,-1.01e+08,1.45e+08,-1.4e+08,3e+07,-1.7e+08,9.5e+07,-1e+06,-3.3e+08,-3.3e+08,-3.3e+08,1.122e+09,1.4532e+10,4.18e+08,0.20822,0.01956,0.01813,0.06923,0.01375,0.82283,0.73009,4.03639,0.39321,0.62408,0.618,34.414,9.05897,0.51351,0.12408,0.02341,0.01607,0.19882,12.63012,25.85949
"35","2018_Q4",26.4495238095238,"Down",2.7831e+10,-2.1952e+10,5.879e+09,-5.231e+09,-4.662e+09,-5.69e+08,6.48e+08,-1.49e+08,-1.43e+08,-1.43e+08,4.99e+08,3.99e+08,-9.1e+07,3.08e+08,3.08e+08,9e+06,3.17e+08,3.17e+08,4.29e+08,4.29e+08,1.51e+09,7.083e+09,1.731e+09,4.61e+08,1.098e+09,1.0753e+10,2.1515e+10,5.873e+09,3.087e+09,1.585e+09,2.7388e+10,3.8141e+10,7.575e+09,6.505e+09,1.07e+09,3.371e+09,3.85e+09,3.85e+09,1.4796e+10,1.1647e+10,4.088e+09,6.01e+08,1.738e+09,1.749e+09,1.5735e+10,3.0531e+10,5.127e+09,-1.6608e+10,1.9535e+10,-4.02e+08,7.652e+09,-4.2e+07,7.61e+09,3.8141e+10,3.08e+08,5.69e+08,2.15e+08,-6.19e+08,4.73e+08,-7.61e+08,9e+06,-7.7e+08,-7.7e+08,3e+06,-7.58e+08,-1.13e+08,4.68e+08,-2e+06,1.5e+07,-1.7e+07,0,3.53e+08,6.8e+07,6.8e+07,6.8e+07,1.217e+09,1.5018e+10,-7.2e+07,0.21124,0.02328,0.01139,0.04166,0.00831,-0.22713,0.72675,4.01196,0.39375,0.38943,0.38564,34.19042,9.40049,-0.08845,0.13882,0.0161,-0.0027,0.35647,11.98767,22.51389
"36","2019_Q1",25.0893442622951,"Down",2.8286e+10,-2.216e+10,6.126e+09,-5.737e+09,-5.156e+09,-5.81e+08,3.89e+08,-1.48e+08,-1.41e+08,-1.41e+08,2.41e+08,3.17e+08,-6.6e+07,2.51e+08,2.51e+08,8e+06,2.59e+08,2.59e+08,4.29e+08,4.29e+08,1.589e+09,6.846e+09,1.939e+09,5.92e+08,1.181e+09,1.0803e+10,2.1635e+10,5.68e+09,3.087e+09,1.335e+09,2.7315e+10,3.8118e+10,7.286e+09,6.059e+09,1.227e+09,3.157e+09,3.831e+09,3.831e+09,1.4274e+10,1.2072e+10,3.937e+09,4.94e+08,1.562e+09,1.881e+09,1.6009e+10,3.0283e+10,5.163e+09,-1.6612e+10,1.9681e+10,-3.46e+08,7.886e+09,-5.1e+07,7.835e+09,3.8118e+10,2.51e+08,5.81e+08,-1.31e+08,-2.7e+08,4.31e+08,-7.01e+08,9e+06,-7.1e+08,-7.1e+08,1.45e+08,-5.56e+08,-1.13e+08,2.54e+08,-4000000.00000003,1e+07,-1.4e+07,-1.2e+07,1.25e+08,5.96046447753906e-08,5.96046447753906e-08,5.96046447753906e-08,9.7e+08,1.5229e+10,64999999.9999999,0.21657,0.01375,0.00916,0.03306,0.00679,0.25097,0.75683,3.86509,0.39952,0.32456,0.32134,35.44612,9.88221,0.0814499999999999,0.1416,0.01378,0.00241,0.43629,15.25773,38.04627
"37","2019_Q2",22.3901587301587,"Down",3.7251e+10,-2.9257e+10,7.994e+09,-7.093e+09,-6.314e+09,-7.79e+08,9.01e+08,-1.94e+08,-1.97e+08,-1.97e+08,7.07e+08,9.89e+08,-2.26e+08,7.63e+08,7.63e+08,9e+06,7.72e+08,7.72e+08,4.09e+08,4.09e+08,1.56e+09,6.707e+09,1.486e+09,4.2e+08,1.066e+09,1.0162e+10,2.1661e+10,1.2496e+10,3.087e+09,8.286e+09,3.4157e+10,4.4319e+10,7.501e+09,6.423e+09,1.078e+09,1.453e+09,4.621e+09,4.621e+09,1.3575e+10,1.2016e+10,1.0196e+10,4.85e+08,1.484e+09,8.227e+09,2.2212e+10,3.5787e+10,5.205e+09,-1.6613e+10,2.0481e+10,-4.92e+08,8.581e+09,-4.9e+07,8.532e+09,4.4319e+10,7.63e+08,7.79e+08,1.25e+08,6.01e+08,2.268e+09,-7.84e+08,1.17e+08,-9.01e+08,-9.01e+08,-6e+06,-4.64e+08,-1.13e+08,-1.704e+09,-3e+06,1.2e+07,-1.5e+07,-4e+06,-1.824e+09,-2e+07,-2e+07,-2e+07,1.68e+09,1.3469e+10,1.723e+09,0.2146,0.02419,0.02072,0.09048,0.01742,2.23187,0.74858,4.19444,0.30391,0.95309,0.94377,45.98889,10.59383,2.12716,0.13951,0.02749,0.05351,0.14637,7.77381,14.49501
"38","2019_Q3",21.56375,"Down",2.8168e+10,-2.2207e+10,5.961e+09,-5.402e+09,-4.811e+09,-5.91e+08,5.59e+08,-1.34e+08,-1.3e+08,-1.3e+08,4.25e+08,3.8e+08,-9.3e+07,2.87e+08,2.87e+08,1e+07,2.97e+08,2.97e+08,6.29e+08,6.29e+08,1.567e+09,6.526e+09,1.418e+09,4.35e+08,9.83e+08,1.014e+10,2.182e+10,1.2502e+10,3.095e+09,8.304e+09,3.4322e+10,4.4462e+10,7.367e+09,6.268e+09,1.099e+09,1.353e+09,4.63e+09,4.63e+09,1.335e+10,1.213e+10,1.0329e+10,4.82e+08,1.502e+09,8.345e+09,2.2459e+10,3.5809e+10,5.188e+09,-1.6587e+10,2.0647e+10,-5.37e+08,8.711e+09,-5.8e+07,8.653e+09,4.4462e+10,2.87e+08,5.91e+08,2.07e+08,-75999999.9999998,1.009e+09,-5.5e+08,1.3e+08,-6.8e+08,-6.8e+08,-2.6e+07,-5.75e+08,-1.13e+08,-67999999.9999995,-2e+06,6e+06,-8e+06,-3.1e+07,-2.14e+08,2.2e+08,2.2e+08,2.2e+08,1.15e+09,1.3483e+10,6.17e+08,0.21162,0.01985,0.01054,0.03432,0.00668,2.07744,0.75955,4.13833,0.30325,0.37125,0.36894,35.21,10.88875,0.77125,0.14125,0.01263,0.01901,0.38047,11.17739,22.99463
"39","2019_Q4",24.724375,"Up",2.7974e+10,-2.1998e+10,5.976e+09,-5.722e+09,-5.098e+09,-6.24e+08,2.54e+08,-1.37e+08,-1.36e+08,-1.36e+08,1.17e+08,2.22e+08,-7.9e+07,1.43e+08,1.43e+08,1.2e+08,2.63e+08,2.63e+08,5.45e+08,5.45e+08,1.6e+09,7.412e+09,1.468e+09,4.34e+08,1.034e+09,1.1025e+10,2.1801e+10,1.2567e+10,3.076e+09,8.405e+09,3.4368e+10,4.5393e+10,7.954e+09,6.867e+09,1.087e+09,1.417e+09,4.747e+09,4.747e+09,1.4118e+10,1.2227e+10,1.032e+10,4.71e+08,1.517e+09,8.332e+09,2.2547e+10,3.6665e+10,5.214e+09,-1.6585e+10,2.0781e+10,-4.95e+08,8.915e+09,-1.87e+08,8.728e+09,4.5393e+10,1.43e+08,6.24e+08,3.74e+08,-3.7e+08,7.71e+08,-7.72e+08,1e+07,-7.82e+08,-7.82e+08,-1.3e+07,-7.85e+08,-1.3e+08,5.8e+07,3e+06,1.4e+07,-1.1e+07,-1e+06,-7e+07,-8.4e+07,-8.4e+07,-8.4e+07,8.78e+08,1.3644e+10,-1.85e+08,0.21363,0.00908,0.0094,0.03013,0.00579,-0.70342,0.78092,4.20085,0.30057,0.32875,0.32671,34.9675,11.14375,-0.23125,0.1625,0.01202,-0.00566,0.4943,14.91913,51.57087
"40","2020_Q1",27.5362903225806,"Up",2.8893e+10,-2.2716e+10,6.177e+09,-5.64e+09,-4.985e+09,-6.55e+08,5.37e+08,-1.38e+08,-1.4e+08,-1.4e+08,3.99e+08,3.9e+08,-7.1e+07,3.19e+08,3.19e+08,7999999.99999999,3.27e+08,3.27e+08,3.99e+08,3.99e+08,1.706e+09,7.084e+09,1.701e+09,5.22e+08,1.179e+09,1.089e+10,2.1871e+10,1.2495e+10,3.076e+09,8.353e+09,3.4366e+10,4.5256e+10,7.517e+09,6.349e+09,1.168e+09,1.965e+09,4.761e+09,4.761e+09,1.4243e+10,1.2111e+10,1.0329e+10,6.08e+08,1.466e+09,8.255e+09,2.244e+10,3.6683e+10,5.255e+09,-1.6991e+10,2.0978e+10,-6.4e+08,8.602e+09,-2.9e+07,8.573e+09,4.5256e+10,3.19e+08,6.55e+08,1.09e+08,-4.67e+08,6.16e+08,-7.49e+08,1.6e+07,-7.65e+08,-7.65e+08,-3.8e+07,-7.87e+08,-1.3e+08,5.73e+08,-4.08e+08,2.3e+07,-4.31e+08,-1e+07,2.5e+07,-1.46e+08,-1.46e+08,-1.46e+08,1.192e+09,1.4076e+10,4.7e+07,0.21379,0.01859,0.01132,0.03814,0.00723,0.14373,0.76459,4.2789,0.31103,0.4108,0.40621,36.29774,10.80653,0.0590499999999998,0.16332,0.01386,0.00143,0.39755,11.47399,25.46927
"41","2020_Q2",30.5860317460317,"Up",4.1549e+10,-3.1727e+10,9.822e+09,-8.496e+09,-7.671e+09,-8.25e+08,1.326e+09,-1.63e+08,-1.74e+08,-1.74e+08,1.163e+09,1.585e+09,-3.73e+08,1.212e+09,1.212e+09,-31259971.6021836,1.212e+09,1.212e+09,2.726e+09,2.726e+09,1.552e+09,6.297e+09,1.6e+09,4.58e+08,1.142e+09,1.2175e+10,2.179e+10,1.2977e+10,3.076e+09,8.857e+09,3.4767e+10,4.6942e+10,8.434e+09,7.132e+09,1.302e+09,1.095e+09,5.142e+09,5.142e+09,1.4671e+10,1.2376e+10,1.0567e+10,5.91e+08,1.532e+09,8.444e+09,2.2943e+10,3.7614e+10,5.315e+09,-1.7363e+10,2.2062e+10,-6.58e+08,9.356e+09,-2.8e+07,9.328e+09,4.6942e+10,1.212e+09,8.25e+08,3.2e+07,2.176e+09,4.245e+09,-6.63e+08,3.5e+07,-6.98e+08,-6.98e+08,-2.6e+07,-6.89e+08,-1.28e+08,-6.6e+08,-3.65e+08,5.7e+07,-4.22e+08,-7.6e+07,-1.229e+09,2.327e+09,2.327e+09,2.327e+09,2.151e+09,1.3471e+10,4.037e+09,0.2364,0.03191,0.02917,0.12993,0.02582,3.33086,0.82987,4.03238,0.28697,1.5169,1.50559,52.00125,11.70964,5.05257,0.1602,0.04016,0.12099,0.10561,4.99535,8.10332
"42","2020_Q3",32.73671875,"Up",3.0489e+10,-2.3755e+10,6.734e+09,-5.914e+09,-5.297e+09,-6.17e+08,8.2e+08,-1.27e+08,-1.35e+08,-1.35e+08,6.93e+08,1.061e+09,-2.41e+08,8.2e+08,8.2e+08,-1e+06,8.19e+08,8.19e+08,2.82e+09,2.82e+09,1.526e+09,6.344e+09,1.596e+09,5.38e+08,1.058e+09,1.2286e+10,2.1881e+10,1.3376e+10,3.076e+09,9.271e+09,3.5257e+10,4.7543e+10,8.138e+09,6.871e+09,1.267e+09,1.096e+09,5.344e+09,5.344e+09,1.4578e+10,1.2386e+10,1.0786e+10,5.78e+08,1.634e+09,8.574e+09,2.3172e+10,3.775e+10,5.297e+09,-1.757e+10,2.2744e+10,-6.51e+08,9.82e+09,-2.7e+07,9.793e+09,4.7543e+10,8.2e+08,6.17e+08,-4.4e+07,-2.33e+08,1.16e+09,-6.4e+08,5e+06,-6.45e+08,-6.45e+08,-1.9e+07,-6.59e+08,-1.26e+08,-13999999.9999998,-2.17e+08,3e+07,-2.47e+08,-5e+07,-4.07e+08,9.4e+07,9.4e+07,9.4e+07,1.437e+09,1.3482e+10,8.05e+08,0.22087,0.02689,0.02686,0.08363,0.01723,0.98291,0.84278,3.85479,0.28357,1.05405,1.04331,39.23938,12.63835,1.03604,0.16216,0.02774,0.02363,0.15385,7.41962,13.00244
"43","2020_Q4",30.8871875,"Down",2.9723e+10,-2.3106e+10,6.617e+09,-5.825e+09,-5.194e+09,-6.31e+08,7.92e+08,-1.2e+08,-1.29e+08,-1.29e+08,6.72e+08,8.34e+08,-2.02e+08,6.32e+08,6.32e+08,-1e+06,6.31e+08,6.31e+08,2.18e+09,2.18e+09,1.61e+09,7.478e+09,1.678e+09,5.76e+08,1.102e+09,1.2946e+10,2.1902e+10,1.3617e+10,3.076e+09,9.529e+09,3.5519e+10,4.8465e+10,8.591e+09,7.355e+09,1.236e+09,1.595e+09,5.331e+09,5.331e+09,1.5517e+10,1.1925e+10,1.0979e+10,5.43e+08,1.682e+09,8.754e+09,2.2904e+10,3.8421e+10,5.338e+09,-1.7881e+10,2.3234e+10,-6.21e+08,1.007e+10,-2.6e+07,1.0044e+10,4.8465e+10,6.32e+08,6.31e+08,6.7e+07,-8.38e+08,4.92e+08,-6.6e+08,5.9e+07,-7.19e+08,-7.19e+08,-4e+07,-7e+08,-1.41e+08,2e+07,-3.09e+08,1.1e+07,-3.2e+08,-2e+06,-4.32e+08,-6.4e+08,-6.4e+08,-6.4e+08,1.423e+09,1.352e+10,1.27e+08,0.22262,0.02665,0.02123,0.06282,0.01302,0.20127,0.83431,3.82527,0.27896,0.8121,0.80382,38.25354,12.9601,0.16345,0.18147,0.02235,0.00368,0.22345,7.96908,14.31818
"44","2021_Q1",32.7418032786885,"Up",3.0737e+10,-2.3883e+10,6.854e+09,-7.012e+09,-6.338e+09,-6.74e+08,-1.58e+08,-1.05e+08,-1.06e+08,-1.06e+08,-2.63e+08,-1.1e+08,3.4e+07,-7.6e+07,-7.6e+07,-1e+06,-7.7e+07,-7.7e+07,1.687e+09,1.687e+09,1.781e+09,7.063e+09,1.972e+09,8.76e+08,1.096e+09,1.2503e+10,2.2386e+10,1.3773e+10,3.076e+09,9.7e+09,3.6159e+10,4.8662e+10,8.092e+09,6.679e+09,1.413e+09,9.11e+08,6.363e+09,6.363e+09,1.5366e+10,1.2502e+10,1.1244e+10,5.35e+08,1.542e+09,9.167e+09,2.3746e+10,3.9112e+10,5.379e+09,-1.8191e+10,2.3018e+10,-6.3e+08,9.576e+09,-2.6e+07,9.55e+09,4.8662e+10,-7.6e+07,6.74e+08,-1.16e+08,4.36e+08,9.18e+08,-7.37e+08,6.6e+07,-8.03e+08,-8.03e+08,-2.9e+07,-7.66e+08,-1.39e+08,-1.94e+08,-3.06e+08,2.9e+07,-3.35e+08,-5999999.99999999,-6.45e+08,-4.93e+08,-4.93e+08,-4.93e+08,5.16e+08,1.3413e+10,1.81e+08,0.22299,-0.00514,-0.00251,-0.00806,-0.00158,-2.35065,0.81368,4.0955,0.27564,-0.10118,-0.10013,40.39028,12.58344,0.23784,0.18265,0.00181,0.00529,-1.80519,22.72481,-74.21519
"45","2021_Q2",36.2522222222222,"Up",4.1298e+10,-3.2208e+10,9.09e+09,-8.285e+09,-7.424e+09,-8.61e+08,8.05e+08,-1.47e+08,-1.65e+08,-1.65e+08,6.58e+08,1.79e+08,-3.6e+07,1.43e+08,1.43e+08,-3e+06,1.4e+08,1.4e+08,2.309e+09,2.309e+09,1.936e+09,6.767e+09,1.533e+09,5.22e+08,1.011e+09,1.2545e+10,2.3057e+10,1.3209e+10,3.076e+09,9.155e+09,3.6266e+10,4.8811e+10,8.18e+09,7.015e+09,1.165e+09,1.15e+09,5.88e+09,5.88e+09,1.521e+10,1.2974e+10,1.1398e+10,5.07e+08,1.541e+09,9.35e+09,2.4372e+10,3.9582e+10,5.423e+09,-1.8568e+10,2.3021e+10,-6.27e+08,9.249e+09,-2e+07,9.229e+09,4.8811e+10,1.43e+08,8.61e+08,8.56e+08,3.96e+08,2.256e+09,-8.13e+08,7e+06,-8.2e+08,-8.2e+08,-4e+07,-8.53e+08,-1.38e+08,-3.28e+08,-3.71e+08,3.1e+07,-4.02e+08,5.6e+07,-7.81e+08,6.22e+08,6.22e+08,6.22e+08,1.666e+09,1.4124e+10,1.285e+09,0.22011,0.01949,0.00339,0.01517,0.00287,9.17857,0.82479,4.28887,0.28936,0.18111,0.17926,53.42561,11.96507,1.66235,0.17853,0.008,0.03698,0.98571,7.09184,14.67702
"46","2021_Q3",40.6425,"Up",3.1682e+10,-2.5105e+10,6.577e+09,-5.738e+09,-5.091e+09,-6.47e+08,8.39e+08,-1.22e+08,-1.37e+08,-1.37e+08,7.17e+08,5.95e+08,-1.26e+08,4.69e+08,4.69e+08,-2e+06,4.67e+08,4.67e+08,2.225e+09,2.225e+09,1.961e+09,6.541e+09,1.605e+09,5.5e+08,1.055e+09,1.2332e+10,2.2986e+10,1.3143e+10,3.076e+09,9.101e+09,3.6129e+10,4.8461e+10,8.046e+09,6.772e+09,1.274e+09,1.547e+09,6.01e+09,6.01e+09,1.5603e+10,1.2608e+10,1.0992e+10,4.94e+08,1.522e+09,8.976e+09,2.36e+10,3.9203e+10,5.445e+09,-1.8876e+10,2.3334e+10,-6.25e+08,9.278e+09,-2e+07,9.258e+09,4.8461e+10,4.69e+08,6.47e+08,2.28e+08,-5.49e+08,7.95e+08,-3.99e+08,1e+08,-4.99e+08,-4.99e+08,4.7e+07,-3.52e+08,-1.36e+08,-40000000.0000001,-2.95e+08,5.4e+07,-3.49e+08,-5.6e+07,-5.27e+08,-8.4e+07,-8.4e+07,-8.4e+07,1.486e+09,1.4155e+10,6.64e+08,0.20759,0.02648,0.01474,0.05044,0.00964,1.42184,0.79036,4.2345,0.29209,0.62267,0.61609,42.24267,12.37067,0.88533,0.18133,0.01753,0.0193,0.29122,8.02826,14.21931
