"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",9.535,"Down",65256000,65256000,-51243000,14013000,-13099000,-6486000,-5261000,-1352000,914000.000000004,-12597000,-6833000,-5764000,-11683000,-9671000,-21354000,-19871000,-41225000,-8307999.99999999,-8307999.99999999,-8307999.99999999,118312000,118312000,53415000,93436000,145624000,10015000,64167000,410787000,743713000,18233000,146176000,97413000,908122000,1318909000,44660000,44660000,11955000,60019000,44549000,116634000,198682000,235106000,69811000,131538000,433788000,550422000,3316399000,-2545424000,-2488000,768487000,768487000,1318909000,-41225000,23296000,30446000,-16424000,25449000,-23103000,-58000,5974000,-23808000,-197602000,-151000,-55429000,-53788000,-53788000,-54371000,24210000,210637000,4554000,0.21474,0.01401,-0.12731,-0.01081,-0.0063,-0.54815,3.52202,0.71624,0.15971,-0.0477100000000001,-0.04619,0.37471,4.41274,0.0261499999999999,-0.00684,0.00375,3.81351,101.01204
"29","2017_Q2",9.08428571428571,"Down",185554000,185554000,-153183000,32371000,-19214000,-10125000,-5252000,-3837000,13157000,17220000,-3579000,20799000,30377000,-1200000,29177000,-10878000,18299000,18663000,18663000,18663000,210033000,210033000,67064000,73760000,89035000,22450000,66585000,439892000,771824000,19354000,106680000,106680000,897858000,1337750000,47370000,47370000,13451000,46564000,46564000,107385000,205625000,238120000,76363000,161757000,443745000,551130000,3316459000,-2526761000,-3078000,786620000,786620000,1337750000,18299000,38693000,-13702000,646000,55271000,-8572000,-1016000,10006000,30000,-3206000,-3247000,-6473000,48828000,48828000,49383000,51850000,219076000,54802000,0.17446,0.07091,0.10058,0.02373,0.01395,2.9364,4.0964,0.70063,0.16376,0.10432,0.10195,1.03721,4.39703,0.30633,0.015,0.04406,0.17441,0.687309999999997
"30","2017_Q3",8.4984126984127,"Down",149540000,149540000,-132963000,16577000,-18923000,-7025000,-7813000,-4085000,-2346000,229999.999999996,-3744000,3973999.99999999,-2116000,-9006000,-11122000,1127000,-9994999.99999999,-10955000,-10955000,-10955000,250038000,250038000,69656000,67895000,94262000,18563000,75699000,481851000,777985000,27012000,107800000,107800000,912797000,1394648000,58800000,58800000,13014000,44849000,44849000,116663000,271766000,228708000,75388000,153320000,500474000,617137000,3318221000,-2537716000,-2994000,777511000,777511000,1394648000,-9994999.99999999,30734000,6494999.99999999,-3130000,29279000,-36671000,-8948000,846000,-45148000,56048000,-473000,55554000,39685000,39685000,40014000,28388000,284780000,-12540000,0.11085,-0.01569,-0.0732599999999999,-0.01409,-0.00786,1.14468,4.13028,0.79373,0.20419,-0.06112,-0.06112,0.8343,4.3378,-0.06996,-0.00849,-0.00971,1.22383,-14.80904
"31","2017_Q4",7.84507936507937,"Down",159920000,159920000,-133959000,25961000,-22166000,-7345000,-9791000,-5030000,3795000,-1234000,-3595000,2361000,2561000,0,2561000,-14289000,-11728000,-16652000,-16652000,-16652000,236221000,236221000,66415000,72329000,99161000,20360000,78801000,474126000,771259000,42586000,114121000,114121000,927966000,1402092000,60188000,60188000,14375000,54197000,54197000,128760000,274523000,234272000,77190000,157082000,508795000,637555000,3320801000,-2554368000,-1896000,764537000,764537000,1402092000,-11728000,32400000,4478000,12159000,29432000,-27966000,-3595000,-3916000,-35889000,-5580000,-6000,-5607000,-12064000,-12064000,-12286000,36195000,288898000,34677000,0.16234,0.02373,-0.10413,-0.02178,-0.01188,-2.08245,3.68225,0.83391,0.20605,-0.09288,-0.09288,0.89202,4.26453,0.19343,-0.01293,0.02693,1.45537,13.88063
"32","2018_Q1",7.99901639344262,"Up",214584000,214584000,-166704000,47880000,-22560000,-9121000,-7455000,-5984000,25320000,-6013000,-5522000,-491000,19307000,-1.86264514923096e-09,19307000,-4958000,14349000,7625000,7625000,7625000,192032000,192032000,19069000,58230000,180226000,15053000,73752000,449557000,1084306000,63587000,103725000,103725000,1251618000,1701175000,48592000,48592000,30753000,149384000,98707000,228729000,380569000,276900000,105148000,171752000,657469000,886198000,3359201000,-2546743000,2519000,814977000,814977000,1701175000,14349000,44722000,-9544000,42284000,94474000,-46820000,-1499000,7249000,-197535000,92313000,-19999.9999999998,92271000,-10790000,-10790000,-11249000,70042000,411322000,70464000,0.22313,0.118,0.03553,0.00936,0.00448,9.24118,1.96546,1.08739,0.24179,0.04167,0.0391,1.1728,4.45423,0.38512,0.00507,0.04688,3.13084,8.66074
"33","2018_Q2",8.07140625,"Up",163267000,163267000,-130117000,33150000,-19712000,-8804000,-6683000,-4225000,13438000,-5785000,-5965000,180000,7653000,4987000,12640000,-11949000,691000,1241000,1241000,1241000,159643000,159643000,35864000,61723000,93787000,18203000,75584000,351017000,1109978000,92745000,108195000,108195000,1310918000,1661935000,44864000,44864000,17040000,108926000,108926000,170830000,396984000,279810000,105224000,174586000,676794000,847624000,3357572000,-2542898000,-363000,814311000,814311000,1661935000,691000,30777000,1972000,-17899000,12851000,-42285000,-361000,1554000,-69562000,-3449000,-4606000,-8077000,-64788000,-64788000,-64231000,44215000,414024000,-4020000,0.20304,0.08231,0.0076,0.00152,0.00075,-3.23932,2.05477,1.04091,0.24912,0.00673,0.00661,0.88555,4.41679,-0.0218,0.00082,-0.00267,5.75327,18.92997
"34","2018_Q3",6.46809523809524,"Down",169987000,169987000,-137705000,32282000,-17699000,-7650000,-6429000,-3620000,14583000,-5141000,-6018000,877000,9442000,-2795000,6647000,-3717000,2930000,2930000,2930000,2930000,123539000,123539000,40759000,62154000,87186000,11925000,75261000,313638000,1134716000,76850000,110700000,110700000,1322266000,1635904000,53428000,53428000,21745000,65441000,65441000,140614000,397974000,278545000,102626000,175919000,676519000,817133000,3359189000,-2539968000,-450000,818771000,818771000,1635904000,2930000,29459000,9107000,-42790000,-1294000,-41069000,-39000,11108000,-3e+07,-4373000.00000001,-233000,-4606000,-35900000,-35900000,-36075000,44042000,419719000,-36100000,0.18991,0.08579,0.01724,0.00358,0.00179,-12.32082,2.23049,0.998,0.25657,0.01582,0.01563,0.91794,4.42142,-0.19494,0.00193,-0.0238,6.72494,20.30995
"35","2018_Q4",4.72634920634921,"Down",148795000,148795000,-148041000,754000,-24007000,-7729000,-8157000,-8121000,-23253000,-26721000,-5818000,-20903000,-49974000,715000,-49259000,-3785000,-53044000,-53044000,-53044000,-53044000,104746000,104746000,30480000,62569000,89682000,12167000,77515000,287477000,1150914000,52267000,107719000,107719000,1310900000,1598377000,55132000,55132000,22696000,69177000,69177000,147005000,406494000,277095000,98891000,178204000,683589000,830594000,3361053000,-2593012000,-258000,767783000,767783000,1598377000,-53044000,31184000,34793000,-7144000,5789000,-39079000,-15000,-14000,-39108000,-533000,-77000,14390000,-18929000,-18929000,-18746000,7931000,429190000,-34507000,0.00507,-0.15628,-0.35649,-0.06909,-0.03319,0.65054,1.95556,1.08181,0.26852,-0.28634,-0.28634,0.80323,4.14467,-0.18628,-0.03598,-0.02341,40.90833,-13.95278
"36","2019_Q1",4.82409836065574,"Up",143855000,143855000,-153560000,-9705000,-15367000,-7162000,-4128000,-4077000,-25072000,-11422000,-6563000,-4859000,-36494000,731000,-35763000,36231000,468000.000000007,467999.999999985,467999.999999985,467999.999999985,115081000,115081000,29744000,66279000,86515000,11393000,75122000,297619000,1270018000,48957000,95906000,95906000,1414881000,1712500000,47210000,47210000,24937000,89171000,89171000,161318000,433889000,264781000,79070000,185711000,698670000,859988000,3445115000,-2592544000,-59000,852512000,852512000,1712500000,468000.000000007,37053000,-13040000,-24409000,72000,-17777000,12702000,6363000,8202000,103355000,-95303000,-6948000,1326000,1326000,789000,11981000,458826000,-66436000,-0.06746,-0.17429,0.00324999999999998,0.00055,0.00027,-141.95726,1.84492,1.00877,0.26793,0.00234000000000012,0.00241000000000002,0.72062,4.2705,-0.3328,3e-04,-0.04215,28.69084,-13.71031
"37","2019_Q2",3.51777777777778,"Down",154870000,154870000,-173526000,-18656000,-17622000,-9474000,-3714000,-4434000,-36278000,-6394000,-6454000,60000,-42672000,9120000,-33552000,8658000,-24894000,-19201000,-19201000,-19201000,69033000,69033000,33530000,60653000,88198000,13681000,74517000,251414000,1261814000,57446000,160691000,160691000,1479951000,1731365000,51777000,51777000,24520000,108688000,108688000,184985000,432269000,281776000,70811000,210965000,714045000,899030000,3444080000,-2611745000,0,832335000,832335000,1731365000,-24894000,41876000,4484000,-33312000,-11846000,-26591000,0,-455000,-27046000,-7356000,-107174688.81754,-7356000,-46248000,-46248000,-46047000,5598000,456789000,-62963000,-0.12046,-0.23425,-0.12398,-0.02307,-0.01109,3.27915,1.3591,1.08013,0.26383,-0.09486,-0.09486,0.76508,4.11188,-0.31105,-0.01222,-0.04008,69.26688,-10.68846
"38","2019_Q3",4.955,"Up",162123000,162123000,-175152000,-13029000,-17803000,-7750000,-5719000,-4334000,-30832000,-6182000,-6825000,643000,-37014000,-5296000,-42310000,5546000,-36764000,-36764000,-36764000,-36764000,37907000,37907000,38495000,59048000,84376000,12066000,72310000,219826000,1244765000,51328000,161311000,161311000,1457404000,1677230000,65676000,65676000,21772000,122739000,122739000,210187000,348205000,272392000,61653000,210739000,620597000,830784000,3494955000,-2648509000,0,846446000,846446000,1677230000,-36764000,43204000,17735000,-1740000,22435000,-20692000,0,7484000,-13208000,-90917000,-48226949.591235,-42030000,-32803000,-32803000,-32747000,12372000,369977000,-15606000,-0.08036,-0.19018,-0.22677,-0.04343,-0.02192,0.424490000000004,1.04586,0.9815,0.22059,-0.17693,-0.17693,0.78025,4.07368,-0.07511,-0.02469,-0.01048,26.84045,-10.7703
"39","2019_Q4",6.1671875,"Up",199469000,199469000,-186630000,12839000,-20379000,-9635000,-5893000,-4851000,-7540000,-9614000,-5980000,-3634000,-17154000,3095000,-14059000,-218000,-14277000,-14277000,-14277000,-14277000,65319000,65319000,37295000,57478000,92262000,16659000,75603000,252354000,1236852000,50392000,150019000,150019000,1437263000,1689617000,72927000,72927000,21939000,124158000,124158000,219024000,276781000,263005000,51534000,211471000,539786000,758810000,3592461000,-2662786000,1132000,930807000,930807000,1689617000,-14277000,45678000,15583000,-4988000,41996000,-30652000,2109000,2100000,-26443000,-57778000,-2958000.00000007,13045000,28598000,28598000,28406000,38138000,298720000,2716000,0.06437,-0.0378,-0.07158,-0.01534,-0.00844999999999999,-0.19024,1.15218,0.81522,0.1768,-0.06315,-0.06315,0.88226,4.11701,0.01201,-0.00956999999999998,0.00182,6.11990999999999,-30.95504
"40","2020_Q1",5.19838709677419,"Down",195040000,195040000,-194749000,291000,-19637000,-7634000,-7201000,-4802000,-19346000,-5774000,-5512000,-261999.999999999,-25120000,-242984000,-268104000,-2857000,-270961000,-270961000,-270961000,-270961000,55645000,55645000,18666000,55886000,80239000,14047000,66192000,210436000,960744000,64355000,143101000,143101000,1168200000,1378636000,69176000,69176000,22746000,98730000,98730000,190652000,272751000,248229000,41976000,206253000,520980000,711632000,3600887000,-2933747000,-136000,667004000,667004000,1378636000,-270961000,48118000,266309000,-4171000,39295000,-20804000,-5023000,-42000,-25869000,-5803000,-19143000,-24555000,-11129000,-11129000,-10663000,28772000,295497000,6654000,0.00149000000000002,-0.09919,-1.38926,-0.40624,-0.19654,-0.0245599999999982,1.10377,1.06691,0.21434,-1.13395,-1.13395,0.81622,2.79135,0.02785,-0.2238,0.0055,8.3363,-12.39802
"41","2020_Q2",4.55015873015873,"Down",173167000,173167000,-155079000,18088000,-21861000,-8920000,-6386000,-6555000,-3773000,-3247000,-5128000,1881000,-7020000,-8819000,-15839000,3939000,-11900000,-11900000,-11900000,-11900000,52895000,52895000,19722000,51857000,97185000,14150000,83035000,221659000,944978000,49975000,132485000,132485000,1127438000,1349097000,61519000,61519000,23588000,53029000,53029000,138136000,319521000,230796000,36472000,194324000,550317000,688453000,3606221000,-2945647000,70000,660644000,660644000,1349097000,-11900000,36162000,13430000,-45683000,-7991000,-17702000,12120022.6700014,-17000,-17719000,44099000,-20723000,23376000,-2334000,-2334000,-2960000,32389000,343109000,-34935000,0.10445,-0.02179,-0.06872,-0.01801,-0.00882,2.93571,1.60464,1.04209,0.25432,-0.04953,-0.04953,0.72076,2.74976,-0.14541,-0.00964000000000001,-0.0283,8.96026,-76.91863
"42","2020_Q3",7.5196875,"Up",154249000,154249000,-117891000,36358000,-39146000,-8616000,-11855000,-18675000,-2788000,-5644000,-5765000,121000,-8432000,10067000,1635000,-2844000,-1208999.99999997,-1209000,-1209000,-1209000,70924000,70924000,21986000,52752000,93841000,18730000,75111000,239503000,938713000,38064000,144800000,144800000,1121577000,1361080000,58241000,58241000,27176000,71551000,71551000,156968000,321443000,228812000,35266000,193546000,550255000,707223000,3608419000,-2946856000,-7706000,653857000,653857000,1361080000,-1208999.99999997,27876000,-2122000.00000003,-14598000,9947000,-16673000,19802000,-183000,2946000,4286999.99999999,141000,4428000,17321000,17321000,18250000,25088000,348619000,-3339000,0.23571,-0.01807,-0.00783999999999996,-0.00185,-0.00089,2.76179,1.52581,1.08162,0.25613,-0.00501999999999984,-0.00502000000000017,0.64018,2.71372,-0.01386,-0.00098,-0.00271,11.06884,-99.60366
"43","2020_Q4",8.2103125,"Up",229728000,229728000,-144988000,84740000,-35606000,-7757000,-12818000,-15031000,49134000,-11408000,-5096000,-6312000,37726000,2243000,39969000,-13113000,26856000,26856000,26856000,26856000,77148000,77148000,22490000,46978000,92611000,20285000,72326000,239227000,934859000,43355000,153705000,153705000,1131919000,1371146000,71461000,71461000,23265000,111084000,111084000,205810000,277873000,223236000,30947000,192289000,501109000,706919000,3610539000,-2.92e+09,-26312000,664227000,664227000,1371146000,26856000,32216000,3791000,16601000,79464000,-22266000,-2500000,-25000,-24791000,-48557000,113999.999999996,-48443000,6230000,6230000,6220000,81350000,301138000,88798000,0.36887,0.21388,0.1169,0.04043,0.01959,3.30645,1.16237,1.06427,0.21963,0.11144,0.1097,0.95328,2.75628,0.36848,0.02259,0.07471,2.75341,4.55876000000002
"44","2021_Q1",9.29491803278689,"Up",228317000,228317000,-153764000,74553000,-35406000,-8429000,-11584000,-15393000,39147000,-6350000,-4719000,-1631000,32797000,4110000,36907000,-25027000,11880000,11880000,11880000,11880000,92794000,92794000,23484000,51210000,102120000,27254000,74866000,269608000,946929000,12943000,174497000,174497000,1134369000,1403977000,209735000,90577000,22074000,2299000,2299000,234108000,253427000,222963000,34202000,188761000,476390000,710498000,3612735000,-2908120000,-11136000,693479000,693479000,1403977000,11880000,35133000,7023000,13253000,67289000,-37109000,11029000,-27000,-26107000,-25813000,-83000,-25896000,15286000,15286000,15642000,74280000,275501000,75451000,0.32653,0.17146,0.05203,0.01713,0.00846,6.35109,1.15164,1.02454,0.19623,0.04929,0.04865,0.94728,2.87721,0.31304,0.00997,0.0633,2.45971,4.6672
"45","2021_Q2",9.64063492063492,"Up",202117000,202117000,-138084000,64033000,-34932000,-11554000,-9666000,-13712000,29101000,-1283000,-4910000,3627000,27818000,-12972000,14846000,-12786000,2060000,2060000,2060000,2060000,154066000,154066000,22606000,53591000,105963000,27274000,78689000,336226000,987796000,8209000.00000001,183184000,183184000,1179189000,1515415000,159397000,96715000,21404000,2299000,2299000,183100000,390721000,221088000,34577000,186511000,611809000,794909000,3613066000,-2906060000,13500000,720506000,720506000,1515415000,2060000,29937000,17929000,-54285000,-4359000,-54836000,935000,-17000,-53918000,123526000,-3925000,119601000,61324000,61324000,61273000,59038000,412125000,-37297000,0.31681,0.14398,0.01019,0.00286,0.00136,-18.10534,1.8363,1.10326,0.27196,0.00853,0.00842,0.83728,2.98473,-0.1545,0.00152,-0.02755,4.37107,8.8677
"46","2021_Q3",7.10796875,"Down",214858000,214858000,-164568000,50290000,-35651000,-10467000,-12446000,-12738000,14639000,-4392000,-5093000,701000,10247000,37239000,47486000,-15340000,32146000,32146000,32146000,32146000,124075000,124075000,22867000,54471000,102722000,20949000,81773000,304135000,1059253000,174370000,170250000,170250000,1403873000,1708008000,196673000,107362000,28876000,2299000,2299000,227848000,385370000,226381000,39598000,186783000,611751000,839599000,3734866000,-2873914000,7457000,868409000,868409000,1708008000,32146000,31973000,-25422000,19362000,58059000,-77255000,-876000,-13000,-78144000,-9611000,-233000,-9844000,-29929000,-29929000,-29985000,46612000,414246000,4058999.99999999,0.23406,0.06813,0.14962,0.03702,0.01882,0.126269999999998,1.33482,0.96682,0.24253,0.13317,0.13147,0.89006,3.59743,0.01681,0.0213,0.00269,6.22524,19.82178
"47","2021_Q4",6.0109375,"Down",207969000,213694937.726375,-134340000,73629000,-65602000,-8743000,-15391000,-10506000,8027000,-29955000,-3237000,-26718000,-21928000,-26440000,-48368000,-6400000,-54768000,-54768000,-54768000,-54768000,85020000,85020000,22956000,52334000,147127000,17846000,74803000,307437000,1081103000,139740000,145753000,145753000,1366596000,1674033000,197373000,119583000,31384000,13776000,2299000,242533000,411042000,206719000,22280000,184439000,617761000,860294000,3737517000,-2928682000,4904000,813739000,813739000,1674033000,-54768000,30962000,58917000,-13265000,21846000,-71205000,-1079000,-12000,-72296000,12056000,-19999.9999999995,12036000,-38414000,-38414000,-38667000,38989000,442426000,-39081000,0.35404,0.0386,-0.26335,-0.0673,-0.03272,0.71357,1.26761,1.05721,0.26429,-0.22113,-0.22113,0.83969,3.28551,-0.15779,-0.03744,-0.02672,9.16684,44.52548
"48","2022_Q1",4.76629032258065,"Down",207884000,198051105.825875,-202862000,5022000.00000001,-4061000,-9635000,-13666000,-11722000,960999.999999999,-3746000,-3211000,-534999.999999996,-2785000,-7543000,-10328000,-432000,-10760000,-10760000,-10760000,-10760000,56664000,56664000,32417000,51281000,149215000,13847000,81128000,289577000,1172766000,132197000,139882000,139882000,1444845000,1734422000,191847000,103901000,30579030.8056121,14200000,14200000,206047000,487501000,240612000,21969000,218643000,728113000,934160000,3740916000,-2939442000,-1212000,800262000,800262000,1734422000,-10760000,35443000,13424000,-3171000,34936000,-99661000,0,-57000,-99718000,36421000,-78000,36343000,-28439000,-28439000,-28502000,36404000,487501000,-65996000,0.02416,0.00462,-0.0517600000000001,-0.01345,-0.0062,6.13346,1.40539,1.16732,0.28107,-0.03902,-0.03902,0.75382,2.90187,-0.23931,-0.00704,-0.04318,11.83488,448.32154
"49","2022_Q2",3.92870967741935,"Down",188404000,188404000,-159700000,28704000,-27102000,-10272000,-5418000,-11412000,1602000,-2831000,-4568000,1737000,-1229000,10605000,9376000,-1694000,7682000,7682000,7682000,7682000,73330000,73330000,29221000,52944000,103746000,14340000,89406000,259241000,1250593000,161894000,145473000,145473000,1557960000,1817201000,185704000,103266000,29620000,2853000,2853000,218177000,455868000,243182000,24647000,218535000,699050000,917227000,3837704000,-2931760000,-5970000,899974000,899974000,1817201000,7682000,26433000,-10021000,-30521000,-6427000,-54131000,3510288.76148469,-11000,-54142000,-18267000,-3403000,76727000,16158000,16158000,16430000,28035000,485488000,-54923000,0.15235,0.0085,0.04077,0.00854000000000001,0.00423,-7.14957,1.18821,1.01917,0.26716,0.03016,0.03016,0.73971,3.53347,-0.21564,0.00472000000000001,-0.03372,14.70155,257.27715
"50","2022_Q3",2.96671875,"Down",204123000,204123000,-178644000,25479000,-23744000,-9287000,-5279000,-9178000,1735000,-4857000,-5170000,313000.000000001,-3122000,-62810000,-65932000,-11502000,-77434000,-77434000,-77434000,-77434000,161698000,74159000,32453000,54845000,130634000,34045000,96589000,379630000,1337099000,11545000,132058000,132058000,1480702000,1860332000,209572000,121238000,30534907.5831637,2853000,2853000,212425000,547500000,243226000,25350000,217876000,790726000,1003151000,3839831000,-3009194000,26544000,857181000,857181000,1860332000,-77434000,27965000,79483000,-7370000.00000001,22644000,-72526000,9125866.28445407,-10000,-72536000,50963000,-160000,50741000,849000,849000,836000,29700000,547500000,-38694000,0.12482,0.0085,-0.37935,-0.09034,-0.04162,0.4997,1.78712,1.17029,0.2943,-0.30402,-0.30402,0.80143,3.36545,-0.15192,-0.04699,-0.02348,12.98997,222.36427
