"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2019_Q4",263.41671875,"Down",885833000,-200793000,685040000,-628716000,-438617000,-190099000,56324000,4446000,12817000,60770000,60770000,-20172000,40598000,40598000,40598000,40598000,1471073000,622925000,848148000,539416000,539416000,286724000,128483000,158241000,2297213000,400858000,1057224000,790375000,2459595000,4756808000,381698000,61906000,319792000,1810863000,1761532000,2192561000,448258000,41286000,406972000,1134774000,3327335000,2360810000,-950968000,19631000,1429473000,1429473000,4756808000,40598000,64006000,212933000,-107359000,210178000,-90069000,-31915000,-371000,-122355000,41927000,41927000,-83183000,-41256000,46567000,46567000,-7725000,38842000,120330000,686516000,-56926000,0.77333,0.06358,0.04583,0.0284,0.00853,-1.40219,1.04773,2.32767,0.14432,0.21573,0.18339,4.70711,7.59589,-0.30249,0.01583,-0.0222,-6.52004,-13.92936
"31","2020_Q1",312.594677419355,"Up",951337000,-210808000,740529000,-712140000,-509181000,-202959000,28389000,5612000,13804000,34001000,34001000,565025000,599026000,599026000,599026000,599026000,1691095000,775778000,915317000,835279000,835279000,300527000,125488000,175039000,2826901000,468085000,1714112000,813873000,3195529000,6022430000,514363000,52960000,461403000,2238422000,2185754000,2752785000,446723000,40038000,406685000,1141704000,3894489000,2454930000,-352244000,25255000,2127941000,2127941000,6022430000,599026000,72217000,-352715000,102711000,421239000,-114751000,-78762000,1258000,-199255000,2773000,2773000,-79198000,-76425000,145559000,145559000,6439000,151998000,100606000,694981000,-476459000,0.77841,0.02984,0.62967,0.2815,0.09947,-0.79539,1.02692,1.83017,0.1154,3.1722,3.01509,5.0379,11.26873,-2.52314,0.18321,-0.14572,-9.90114,-35.08803
"32","2020_Q2",353.066984126984,"Up",1.046e+09,-2.23e+08,8.23e+08,-7.74e+08,-5.47e+08,-2.27e+08,4.9e+07,-999999.999999999,8e+06,4.8e+07,4.8e+07,417105947.941768,4.8e+07,4.8e+07,4.8e+07,4.8e+07,1858705000,808725000,1049980000,615234000,615234000,331922000,149092000,182830000,2805861000,470969000,1842648000,877973000,3391555000,6197416000,444901000,73904000,370997000,2276160000,2215265000,2721061000,508972000,40477000,468495000,1210260000,3931321000,2584488000,-304013000,-14380000,2266095000,2266095000,6197416000,4.8e+07,7.6e+07,2.47e+08,1.21e+08,4.92e+08,-8.3e+07,-2.15e+08,-4e+06,-3.85e+08,6.7e+07,6.7e+07,-1.26e+08,-6.1e+07,4.6e+07,4.6e+07,-1.1e+07,3.5e+07,1.25e+08,701288000,-298307482.43648,0.78681,0.04685,0.04589,0.02118,0.00775000000000003,4.29420400376816,1.03116,1.73484,0.11316,0.25242,0.240070000000001,5.50054,11.91659,-1.58511347459701,0.01381,-0.0939276499549472,-9.25934,-23.62076
"33","2020_Q3",446.55359375,"Up",1.071e+09,-2.33e+08,8.38e+08,-7.75e+08,-5.3e+08,-2.45e+08,6.3e+07,-1e+06,7e+06,6.2e+07,6.2e+07,-20999999.9999998,4.1e+07,4.1e+07,4.1e+07,4.1e+07,2342671000,837309000,1505362000,631992000,631992000,362459000,170582000,191877000,3337122000,547253000,1860127000,890699000,3184187000,6521309000,532410000,85757000,446653000,2316461000,2250719000,2848871000,497509000,31399000,466110000,1193632000,4042503000,2712281000,-263247000,29772000,2478806000,2478806000,6521309000,4.1e+07,8.3e+07,2.7e+08,-2.6e+07,3.68e+08,-1.11e+08,-1.27e+08,-5e+06,-2.43e+08,2.4e+07,2.4e+07,-1.13e+08,-1.03e+08,2.2e+07,2.2e+07,6e+06,2.8e+07,1.46e+08,696123000,30000000.0000002,0.78245,0.05882,0.03828,0.01654,0.00629,0.731710000000001,1.17138,1.63083,0.10675,0.21432,0.20322,5.59857,12.95776,0.15682,0.01116,0.00816999999999996,-11.27773,-26.13568
"34","2020_Q4",519.9290625,"Up",1.152e+09,-2.52e+08,9e+08,-8.31e+08,-5.63e+08,-2.68e+08,6.9e+07,-4.3e+07,-3.5e+07,2.6e+07,2.6e+07,-1.3e+07,1.3e+07,1.3e+07,1.3e+07,1.3e+07,2951611000,1348294000,1603317000,631055000,631055000,384215000,181474000,202741000,3966881000,564007000,1914620000,905955000,3738578000,7705459000,493744000,51456000,442288000,2342203000,2274269000,2835947000,490263000,37749000,452514000,2195796000,5031743000,2872530000,-250389000,51575000,2673716000,2673716000,7705459000,1.3e+07,8.4e+07,2.55e+08,-1.11e+08,2.41e+08,-9.1e+07,-5.88e+08,2e+06,-7.02e+08,5.1e+07,5.1e+07,9.84e+08,9.64e+08,5.03e+08,5.03e+08,8e+06,5.11e+08,1.53e+08,1705533000,-3.6e+07,0.78125,0.0599,0.01128,0.00486,0.00169,-2.76923,1.39879,1.88193,0.22134,0.0656099999999999,0.0628600000000001,5.81387,13.4936,-0.18168,0.00267,-0.00739,-8.1443,-18.0591
"35","2021_Q1",527.862459016393,"Up",1.25e+09,-2.79e+08,9.71e+08,-9.53e+08,-6.69e+08,-2.84e+08,1.8e+07,-4e+06,4e+06,1.4e+07,1.4e+07,2999999.99999999,1.7e+07,1.7e+07,1.7e+07,1.7e+07,3.092e+09,1.677e+09,1.415e+09,1.009e+09,1.009e+09,4.21e+08,1.92e+08,2.29e+08,4.522e+09,6.6e+08,2.065e+09,9.98e+08,4.193e+09,8.715e+09,7.02e+08,3.4e+07,6.68e+08,3.035e+09,2.963e+09,3.737e+09,5.04e+08,4.5e+07,4.59e+08,2.144e+09,5.881e+09,2.974e+09,-2.34e+08,9.4e+07,2.834e+09,2.834e+09,8.715e+09,1.7e+07,9.3e+07,2.79e+08,2.96e+08,6.85e+08,-1.47e+08,-3.9e+07,8e+06,-1.77e+08,4e+06,4e+06,-1.48e+08,-2.03e+08,3.05e+08,3.05e+08,2.2e+07,3.27e+08,1.11e+08,1.64e+09,2.57e+08,0.7768,0.0144,0.0136,0.006,0.00195,15.11765,1.21006,2.07516,0.18818,0.08819,0.08441,6.48424,14.70108,1.33316,0.00342,0.05163,-13.08108,-80.66667
"36","2021_Q2",506.882857142857,"Down",1.36e+09,-2.99e+08,1.061e+09,-9.64e+08,-6.5e+08,-3.14e+08,9.7e+07,2e+06,9e+06,9.9e+07,9.9e+07,-1.7e+07,8.2e+07,8.2e+07,8.2e+07,8.2e+07,3.456e+09,1.821e+09,1.635e+09,6.45e+08,6.45e+08,4.23e+08,1.82e+08,2.41e+08,4.524e+09,6.93e+08,2.257e+09,1.032e+09,4.298e+09,8.822e+09,5.93e+08,1.09e+08,4.84e+08,3.071e+09,2.994e+09,3.664e+09,5.1e+08,5e+07,4.6e+08,2.121e+09,5.785e+09,3.133e+09,-1.52e+08,5.6e+07,3.037e+09,3.037e+09,8.822e+09,8.2e+07,1.06e+08,3.33e+08,2.06e+08,7.27e+08,-1.07e+08,-1.12e+08,7e+06,-4.37e+08,9.5e+07,9.5e+07,-1.91e+08,-1.24e+08,1.66e+08,1.66e+08,-1.8e+07,1.48e+08,2.03e+08,1.611e+09,3.19e+08,0.78015,0.07132,0.06029,0.027,0.00929,3.89024,1.23472,1.90484,0.18261,0.41704,0.4054,6.91675,15.44572,1.62239,0.0159,0.06185,-9.08867,-19.02062
"37","2021_Q3",605.485625,"Up",1.409e+09,-3.29e+08,1.08e+09,-1.029e+09,-6.96e+08,-3.33e+08,5.1e+07,-1e+06,6e+06,5e+07,5e+07,9000000.00000001,5.9e+07,5.9e+07,5.9e+07,5.9e+07,2.984e+09,1.362e+09,1.622e+09,7.81e+08,7.81e+08,4.6e+08,2.05e+08,2.55e+08,4.225e+09,7.32e+08,2.88e+09,1.112e+09,4.962e+09,9.187e+09,7.06e+08,9.8e+07,6.08e+08,3.103e+09,3.023e+09,3.908e+09,5.21e+08,4.9e+07,4.72e+08,2.004e+09,5.912e+09,3.298e+09,-9.3e+07,7e+07,3.275e+09,3.275e+09,9.187e+09,5.9e+07,1.15e+08,3.33e+08,-2.07e+08,3e+08,-9.1e+07,-4e+06,-6e+06,-6.14e+08,0,0,-1.24e+08,-1.49e+08,-4.63e+08,-4.63e+08,7e+06,-4.56e+08,1.66e+08,1.582e+09,-1.41e+08,0.7665,0.0362,0.04187,0.01802,0.00642,-2.38983,1.08112,1.80519,0.1722,0.30007,0.29169,7.16596,16.65616,-0.7171,0.01097,-0.02622,-8.44578,-27.4902
"38","2021_Q4",656.4615625,"Up",1.512e+09,-3.5e+08,1.162e+09,-1.088e+09,-7.3e+08,-3.58e+08,7.4e+07,-6e+06,1e+06,6.8e+07,6.8e+07,-5e+06,6.3e+07,6.3e+07,6.3e+07,6.3e+07,3.031e+09,1.4e+09,1.631e+09,7.76e+08,7.76e+08,4.81e+08,2.13e+08,2.68e+08,4.288e+09,7.4e+08,3.066e+09,1.3e+09,5.19e+09,9.478e+09,6.68e+08,6.4e+07,6.04e+08,3.031e+09,2.949e+09,3.792e+09,6.68e+08,5.3e+07,6.15e+08,2.152e+09,5.944e+09,3.516e+09,-3e+07,4.8e+07,3.534e+09,3.534e+09,9.478e+09,6.3e+07,1.25e+08,3.74e+08,-2.42e+08,3.2e+08,-9.4e+07,-7.4e+07,1.1e+07,-1.97e+08,7e+07,7e+07,-1.42e+08,-7.8e+07,44999999.9999999,44999999.9999999,-1e+07,35000000.0000001,1.99e+08,1.577e+09,-1.32e+08,0.76852,0.04894,0.04167,0.01783,0.00665,-2.09524,1.1308,1.68195,0.16639,0.31658,0.31034,7.59799,17.75879,-0.66332,0.0109,-0.02284,-7.30653,-19.64865
"39","2022_Q1",560.271935483871,"Down",1.615e+09,-3.75e+08,1.24e+09,-1.205e+09,-8.13e+08,-3.92e+08,3.5e+07,-3e+06,4e+06,3.2e+07,3.2e+07,-6e+06,2.6e+07,2.6e+07,2.6e+07,2.6e+07,3.304e+09,1.728e+09,1.576e+09,1.39e+09,1.39e+09,5.26e+08,2.23e+08,3.03e+08,5.22e+09,7.66e+08,3.182e+09,1.426e+09,5.578e+09,1.0798e+10,9.39e+08,8.9e+07,8.5e+08,3.918e+09,3.836e+09,4.949e+09,6.7e+08,6.3e+07,6.07e+08,2.154e+09,7.103e+09,3.665e+09,-4e+06,3.4e+07,3.695e+09,3.695e+09,1.0798e+10,2.6e+07,1.26e+08,3.91e+08,3.01e+08,8.44e+08,-1.07e+08,-2.47e+08,2e+06,-3.59e+08,2e+06,2e+06,-1.55e+08,-1.55e+08,3.3e+08,3.3e+08,-4e+06,3.26e+08,1.61e+08,1.576e+09,3.61e+08,0.7678,0.02167,0.0161,0.00704,0.00241,13.88462,1.05476,1.92233,0.14595,0.13065,0.12808,8.11558,18.56784,1.81407,0.00438,0.06076,-10.73292,-49.37143
"40","2022_Q2",476.590806451613,"Down",1.722e+09,-3.69e+08,1.353e+09,-1.266e+09,-8.52e+08,-4.14e+08,8.7e+07,-2e+06,4e+06,8.5e+07,8.5e+07,-1e+07,7.5e+07,7.5e+07,7.5e+07,7.5e+07,4.014e+09,2.252e+09,1.762e+09,8.24e+08,8.24e+08,6.04e+08,2.82e+08,3.22e+08,5.442e+09,7.98e+08,3.269e+09,1.543e+09,5.551e+09,1.0993e+10,8.27e+08,1.66e+08,6.61e+08,3.937e+09,3.85e+09,4.852e+09,6.6e+08,5.7e+07,6.03e+08,2.144e+09,6.996e+09,3.925e+09,8.8e+07,-1.6e+07,3.997e+09,3.997e+09,1.0993e+10,7.5e+07,1.01e+08,4.21e+08,2.66e+08,8.63e+08,-9.3e+07,-1.86e+08,-999999.999999998,-2.8e+08,1.05e+08,1.05e+08,-1.5e+08,-5.1e+07,5.32e+08,5.32e+08,-5e+06,5.27e+08,1.88e+08,1.572e+09,3.71e+08,0.78571,0.05052,0.04355,0.01876,0.00682,4.94667,1.1216,1.75031,0.143,0.37688,0.36765,8.65327,20.08543,1.86432,0.01204,0.05956,-12.98936,-28.06897
"41","2022_Q3",450.26671875,"Down",1.752e+09,-3.89e+08,1.363e+09,-1.341e+09,-8.97e+08,-4.44e+08,2.2e+07,7e+06,1.3e+07,2.9e+07,2.9e+07,-9e+06,2e+07,2e+07,2e+07,2e+07,3.834e+09,1.664e+09,2.17e+09,8.53e+08,8.53e+08,6.45e+08,3.22e+08,3.23e+08,5.332e+09,8.76e+08,3.286e+09,1.584e+09,5.77e+09,1.1102e+10,9.7e+08,2.65e+08,7.05e+08,3.773e+09,3.686e+09,4.743e+09,6.8e+08,5.8e+07,6.22e+08,2.165e+09,6.908e+09,4.186e+09,1.08e+08,-1e+08,4.194e+09,4.194e+09,1.1102e+10,2e+07,1.05e+08,4.41e+08,-1.33e+08,4.33e+08,-1.51e+08,-5.93e+08,1e+06,-8e+08,1e+06,1e+06,-9.1e+07,-1.78e+08,-5.45e+08,-5.45e+08,-4.4e+07,-5.89e+08,1.27e+08,1.485e+09,-1.48e+08,0.77797,0.01256,0.01142,0.00477,0.0018,-7.4,1.12418,1.64711,0.13376,0.0995,0.09852,8.71642,20.86567,-0.73632,0.00315,-0.02327,-18.49606,-106.77273
