"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","liabilities_from_discontinued_operations_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",52.7722222222222,"Up",366486000,-186146000,180340000,-187893000,-46496000,-2707000,-138690000,-7553000,-5095000,-5629000,534000,-12648000,-5703000,-18351000,-2842000,-21193000,-7000,-7000,-21200000,-21200000,-21200000,956597000,907032000,351317000,351317000,128885000,100873000,79021000,1537672000,5306434000,99898000,32515000,32515000,5438847000,6976519000,287337000,92692000,194645000,326609000,493150000,1455298000,1358093000,3984000,93221000,1948448000,2275057000,454021000,11138000,442883000,-188151000,4438748000,-3156000,4701462000,4701462000,6976519000,-21193000,138690000,83772000,-78348000,-28000,122893000,-35979000,-40063000,-74740000,682000,247000,-73811000,9019000,9019000,9019000,131137000,532384000,19652000,0.49208,-0.02061,-0.05785,-0.00451,-0.00304,-0.92698,4.70799,0.4839,0.07631,-0.19622,-0.19502,3.39201,43.51433,0.18189,0.69176,0.008,0.00294,-3.52547,-3.23488,56.16484
"28","2017_Q1",53.4172580645161,"Up",331708000,-214404000,117304000,-212381000,-33802000,-2328000,-176251000,-95077000,-7296000,-5405000,-1891000,-102373000,-23913000,-126286000,53417000,-72869000,33999.9999999995,33999.9999999995,-72835000,-72835000,-72835000,949709000,905561000,375169000,375169000,124325000,123483000,78067000,1572686000,5144733000,84955000,29645000,24008000,5259333000,6832019000,330061000,95422000,234639000,330120000,491847000,1449127000,1342456000,3890000,102781000,1940974000,2271094000,459592000,11140000,448452000,-188270000,4289807000,-204000,4560925000,4560925000,6832019000,-72869000,176251000,13793000,21035000,-23000,138187000,-28579000,-23197000,-76112000,557000,-906000,-116461000,-1471000,-1471000,-1471000,81174000,491847000,20213000,0.35364,-0.28663,-0.21958,-0.01597,-0.01066,-0.277519999999999,4.76398,0.49795,0.07199,-0.67394,-0.68444,3.06927,42.20187,0.18703,0.70426,5e-04,0.00311,-1.04499,-5.6405,4.81569999999999
"29","2017_Q2",44.4563492063492,"Down",368590000,-247679000,120911000,-170917000,-34262000,-2808000,-133847000,-50006000,-3678000,-4065000,387000,-53684000,842000,-52842000,18288000,-34554000,-509000,-509000,-35063000,-35063000,-35063000,871156000,825893000,326771000,326771000,126082000,121274000,75926000,1445283000,5102679000,105177000,24498000,24498000,5232354000,6677637000,286558000,111638000,174920000,286628000,492110000,1422984000,1332269000,4356000,86359000,1915094000,2201722000,475047000,11188000,463859000,-189941000,4178235000,12574000,4475915000,4475915000,6677637000,-34554000,133847000,-6841000,-18062000,-19000,74371000,-80918000,-82043000,-76176000,10253000,-6073000,-71996000,-79668000,-79668000,-79668000,83841000,492110000,-33427000,0.32804,-0.13567,-0.09513,-0.00783,-0.00525,0.95334,5.04237,0.4919,0.0737,-0.32383,-0.32383,3.40417,41.33802,-0.30872,0.70354,0.00643,-0.00523,-2.17255,-4.52101,7.58001
"30","2017_Q3",38.0426984126984,"Down",405283000,-296829000,108454000,-189015000,-33519000,-2719000,-152777000,-80561000,-4572000,-4746000,174000,-85133000,14889000,-70244000,21771000,-48473000,-345000,-345000,-48818000,-48818000,-48818000,789758000,741746000,345546000,345546000,131679000,96904000,70067000,1363887000,5061368000,88299000,24630000,24630000,5174297000,6538184000,301377000,127116000,174261000,301417000,492373000,1.397e+09,1308794000,4654000,83552000,1889373000,2190790000,482106000,11188000,470918000,-190119000,4052974000,2433000,4347394000,4347394000,6538184000,-48473000,152777000,-23397000,-4939000,-61000,75907000,-80926000,-83700000,-76441000,119000.000000002,-32000,-76354000,-84147000,-84147000,-84147000,72216000,492373000,-35420000,0.2676,-0.19878,-0.12045,-0.01123,-0.00747,0.72555,4.52492,0.50393,0.07531,-0.44968,-0.44968,3.73319,40.04526,-0.32627,0.70412,0.00443,-0.00568,-1.56584,-4.11799,3.69143
"31","2017_Q4",43.7592063492064,"Up",498564000,-337463000,161101000,-190991000,-42890000,-3058000,-145043000,-29890000,-5575000,-4664000,-911000,-35465000,1862000,-33603000,10478000,-23125000,1326000,1326000,-21799000,-21799000,-21799000,612681000,572787000,440872000,440872000,138403000,58432000,58425000,1250388000,5062914000,76986000,123603000,20067000,5263503000,6513891000,333849000,137206000,196643000,333929000,492637000,1437421000,1325250000,3225000,108946000,1930058000,2263987000,489421000,11190000,478231000,-190121000,3954705000,-4101000,4249904000,4249904000,6513891000,-23125000,145043000,13284000,-45190000,-35000,89977000,-120510000,-182835000,-76444000,512000,-169000,-76101000,-168959000,-168959000,-168959000,115153000,492637000,-61025000,0.32313,-0.05995,-0.04372,-0.00513,-0.00335,2.79944,3.74447,0.53271,0.07563,-0.20078,-0.20078,4.59201,39.14365,-0.56207,0.70409,0.00884,-0.00987,-3.50677,-1.04247,4.01619
"32","2018_Q1",53.243606557377,"Up",532304000,-367346000,164958000,-197669000,-40331000,-3462000,-153876000,-32711000,1768000,-357000,2125000,-30943000,3034000,-27909000,6198000,-21711000,-821000,-821000,-22532000,-22532000,-22532000,565866000,521375000,477074000,477074000,137204000,55123000,55123000,1235267000,5001051000,84026000,119644000,17154000,5204721000,6439988000,344385000,135628000,208757000,344385000,492902000,1438110000,1332689000,4012000,101409000,1931012000,2275397000,498444000,11196000,487248000,-191839000,3855686000,2300000,4164591000,4164591000,6439988000,-21711000,153876000,7125000.00000003,-17879000,-35000,121376000,-91801000,-96410000,-76454000,401000,-325000,-76378000,-51412000,-51412000,-51412000,121165000,492902000,5287000.00000003,0.30989,-0.06145,-0.04233,-0.00541000000000001,-0.0035,-0.23464,3.58688,0.54637,0.07654,-0.2075,-0.2075,4.90196,38.35151,0.0486900000000002,0.70406,0.00885,0.000869999999999999,-3.39313,-0.60219,2.23056
"33","2018_Q2",54.2128125,"Up",564087000,-373083000,191004000,-193049000,-46548000,-3234000,-143267000,-2045000,-3519000,-4049000,530000,-5564000,5565000,1000,500641000,500642000,-536000,-536000,500106000,500106000,500106000,426205000,383664000,535271000,535271000,139066000,65804000,65802000,1166346000,4950400000,83943000,161407000,13424000,5195750000,6362096000,355668000,126936000,228732000,355762000,493168000,922816000,830494000,4470000,87852000,1415984000,1771746000,491115000,11201000,479914000,-181130000,4278326000,2039000,4590350000,4590350000,6362096000,500642000,143267000,-496117000,-75520000,-57000,72215000,-82949000,-128844000,-76503000,892000,-5471000,-81082000,-137711000,-137711000,-137711000,141222000,493168000,-517888000,0.33861,-0.00363,0.88658,0.10895,0.07861,-1.03556,3.27844,0.38597,0.07752,4.60151,4.58413,5.1902,42.23614,-4.76512,0.70391,0.096,-0.08622,0.15297,0.47417,-32.74474
"34","2018_Q3",51.4252380952381,"Down",577484000,-385556000,191928000,-198436000,-48325000,-4436000,-145675000,-6508000,-4302000,-4181000,-121000,-10810000,5255000,-5555000,3922000.00000006,-1633000,-10246000,-10246000,-11878999.9999999,-11878999.9999999,-11878999.9999999,380034000,334764000,545348000,545348000,143177000,62424000,62424000,1130983000,4898525000,73356000,158928000,12431000,5130809000,6261792000,340107000,123012000,217095000,340185000,493433000,925021000,816669000,14691000,93661000,1418454000,1758639000,498336000,11201000,487135000,-179459000,4189497000,-5221000,4503153000,4503153000,6261792000,-1633000,145675000,-4849000,-14375000,-39000,124779000,-90427000,-97182000,-76930000,753000,-319999.999999999,-76497000,-48900000,-48900000,-48900000,139167000,493433000,30442999.9999999,0.33235,-0.01127,-0.02057,-0.00264,-0.00189999999999999,-2.56276,3.32461,0.39054,0.0788,-0.10911,-0.108649999999999,5.30449,41.3638,0.27963,0.70664,0.01099,0.00514000000000001,-6.47613,0.81484,-17.42455
"35","2018_Q4",50.0349206349206,"Down",648872000,-444511000,204361000,-202457000,-52399000,-5479000,-144579000,1904000,-3856000,-3884000,28000,-1952000,4313000,2361000,-10535000,-8174000,166000,166000,-8008000,-8008000,-8008000,350705000,306426000,565321000,565321000,152109000,65343000,65343000,1133478000,4883378000,92702000,156314000,11254000,5132394000,6265872000,381667000,143732000,237935000,381668000,493700000,948013000,833738000,14548000,99727000,1441713000,1823381000,505805000,11201000,494604000,-175674000,4103418000,8942000,4442491000,4442491000,6265872000,-8174000,144579000,13434000,11642000,-54000,161427000,-121233000,-116158000,-76935000,3515000,-187000,-73607000,-28338000,-28338000,-28338000,146483000,493700000,47427000,0.31495,0.00293,-0.01234,-0.0018,-0.00128,-5.92245,2.9698,0.41044,0.07879,-0.07353,-0.07307,5.9582,40.79273,0.43549,0.70645,0.01171,0.00806,-9.60727,0.97619,75.10242
"36","2019_Q1",44.9773770491803,"Down",696825000,-449460000,247365000,-207284000,-51985000,-5018000,-150281000,40081000,-5447000,-4134000,-1313000,34634000,-15600000,19034000,-16859000,2174999.99999999,277999.999999999,277999.999999999,2453000.00000001,2453000.00000001,2453000.00000001,325816000,284355000,565202000,565202000,158134000,66398000,66398000,1115550000,4857382000,98696000,143239000,5255000,5099317000,6214867000,377168000,132664000,244504000,377168000,493968000,960996000,853136000,14254000,93606000,1454964000,1832132000,511594000,11201000,500393000,-173188000,4027779000,16550000,4382735000,4382735000,6214867000,2174999.99999999,150281000,43811000,3183000,-19000,199431000,-127594000,-130178000,-78062000,1195000,-11761000,-88628000,-19375000,-19375000,-19375000,190362000,493968000,82810000,0.35499,0.05752,0.00352000000000001,0.000559999999999998,0.000390000000000005,33.75866,2.9577,0.41803,0.07948,0.0225099999999999,0.0223899999999999,6.39582,40.22703,0.76007,0.71649,0.01379,0.01419,31.82307,0.88333,4.19530000000002
"37","2019_Q2",45.9698412698413,"Up",740598000,-488867000,251731000,-202987000,-54508000,-7019000,-141460000,48744000,-1729000,-2270000,541000,47015000,-37299000,9716000,-1352000,8364000,10595000,10595000,18959000,18959000,18959000,269534000,228462000,545731000,545731000,159992000,67490000,67490000,1042747000,4900339000,54731000,146524000,6653000,5101594000,6144341000,385913000,141406000,244507000,385913000,490805000,941385000,853187000,3633000,84565000,1432190000,1818103000,495330000,11208000,484122000,-154079000,3997283000,-12296000,4326238000,4326238000,6144341000,8364000,141460000,52173000,7511000,-26000,209482000,-184485000,-186730000,-78122000,1954000,-10179000,-86347000,-63595000,-63595000,-63595000,190204000,490805000,14582000,0.3399,0.06582,0.0256,0.00438,0.00309,0.76913,2.70203,0.42025,0.07988,0.17371,0.17326,6.78564,39.63862,0.13361,0.71578,0.01686,0.00253,4.12058,1.16334,4.53945
"38","2019_Q3",37.37359375,"Down",720868000,-443339000,277529000,-193928000,-43506000,-7262000,-143160000,83601000,-4099000,-4106000,7000.00000000023,79502000,17432000,96934000,-25077000,71857000,-10966000,-10966000,60891000,60891000,60891000,270030000,243912000,552737000,552737000,161526000,63711000,63711000,1048004000,4886948000,60247000,149363000,10930000,5096558000,6144562000,373707000,130721000,242986000,373707000,491227000,961008000,861440000,14579000,84989000,1452235000,1825942000,504629000,11208000,493421000,-153645000,3979708000,-12072000,4318620000,4318620000,6144562000,71857000,143160000,7828000,-23290000,-19000,199536000,-120936000,-105863000,-78458000,303000,-1000,-78156000,15517000,15517000,15517000,226761000,491227000,107612000,0.38499,0.11597,0.08447,0.0141,0.00991,1.76729,2.80435,0.42281,0.07994,0.55657,0.55619,6.58905,39.47406,0.98362,0.71714,0.02415,0.01865,1.2885,0.97546,2.64587
"39","2019_Q4",34.6096875,"Down",687974000,-444528000,243446000,-196953000,-46590000,-7066000,-143297000,46493000,-5507000,-3908000,-1599000,40986000,-227638000,-186652000,32031000,-154621000,-62000,-62000,-154683000,-154683000,-154683000,380523000,334775000,508183000,508183000,150126000,77406000,77406000,1116238000,4583673000,48291000,149177000,12182000,4781141000,5897379000,390526000,134077000,256449000,390526000,491651000,920148000,827027000,14631000,78490000,1411799000,1802325000,512793000,11208000,501585000,-152439000,3750785000,-16085000,4095054000,4095054000,5897379000,-154621000,143297000,221605000,40083000,-11000,250353000,-61922000,-81368000,-78478000,644000,-152000,-77986000,90999000,90999000,90999000,189790000,491651000,135920000,0.35386,0.06758,-0.22484,-0.03777,-0.02623,-0.8787,2.85829,0.44012,0.08337,-1.41359,-1.41823,6.28712,37.42304,1.24212,0.71718,-0.01384,0.02468,-0.50735,0.58553,2.39021
"40","2020_Q1",30.8591935483871,"Down",649050000,-426470000,222580000,-196200000,-49812000,-6120000,-134886000,26380000,-5981000,-5436000,-545000,20399000,8381000,28780000,13110000,41890000,-713000,-713000,41177000,41177000,41177000,400903000,347943000,495602000,495602000,149653000,68928000,68928000,1115086000,4502084000,31991000,190354000,20852000,4724429000,5839515000,410238000,45383000,287092000,410238000,479356000,937698000,806611000,15341000,115746000,1417054000,1827292000,521513000,11208000,510305000,-194962000,3714307000,-28635000,4012223000,4012223000,5839515000,41890000,134886000,-44260000,63870000,-6000,196380000,-40242000,-48675000,-78363000,-42627000,2000.00000000023,-133840000,13865000,13865000,13865000,161266000,479356000,171784000,0.34293,0.04064,0.06344,0.01026,0.00705,4.17184,2.71814,0.45543,0.08209,0.37815,0.37815,5.96049,36.84589,1.57756,0.71964,0.02202,0.03164,1.90308,0.48648,2.97396
"41","2020_Q2",17.6546031746032,"Down",614657000,-399329000,215328000,-188239000,-49808000,-6878000,-130131000,27089000,-4285000,-3886000,-399000,22804000,22063000,44867000,-14138000,30729000,-124000,-124000,30605000,30605000,30605000,412054000,355010000,500947000,500947000,148688000,92955000,92955000,1154644000,4412359000,35149000,239358000,70243000,4686866000,5841510000,419347000,122609000,296738000,419347000,479355000,967271000,798802000,15443000,153026000,1446626000,1865973000,510492000,11215000,499277000,-173096000,3666260000,-28119000,3975537000,3975537000,5841510000,30729000,130131000,-20899000,-28180000,-20650.9299677291,111781000,-34143000,-23035000,-77602000,4100000,-3900000,-77402000,11344000,11344000,11344000,157220000,479355000,109035000,0.35032,0.04407,0.04979,0.0077,0.00524,3.56265,2.75343,0.46936,0.08206,0.28193,0.28149,5.66217,36.62233,1.00442,0.71486,0.01996,0.02011,2.5356,0.42807,2.48444
"42","2020_Q3",16.10375,"Down",633639000,-417743000,215896000,-181513000,-41978000,-6214000,-132006000,34383000,-2927000,-2529000,-398000,31456000,-565337000,-533881000,113413000,-420468000,-71999.9999999998,-71999.9999999998,-420540000,-420540000,-420540000,381744000,336089000,531556000,531556000,112474000,94342000,94342000,1120116000,3840213000,20300000,196125000,65939000,4056638000,5176754000,377419000,144794000,232625000,377419000,479811000,858518000,700360000,15494000,142664000,1338329000,1715748000,521143000,11215000,509928000,-201500000,3168966000,-27603000,3461006000,3461006000,5176754000,-420468000,132006000,477831000,-68480000,-28000,120861000,-35370000,-23915000,-78288000,-28504000,-4250000,-111042000,-14096000,-14096000,-14096000,166389000,479811000,-50874000,0.34072,0.05426,-0.66369,-0.12151,-0.08124,0.120969999999999,2.96783,0.49574,0.09269,-3.87391,-3.87995,5.83692,31.88192,-0.46864,0.72117,-0.07131,-0.0106,-0.18616,0.58938,2.85219
"43","2020_Q4",18.2146875,"Up",317364000,-205198000,112166000,-158456000,-43108000,-3638000,-110161000,-46290000,-8268000,-5354000,-2914000,-54558000,-9027000,-63585000,17578000,-46007000,408000,408000,-45599000,-45599000,-45599000,492032000,426245000,302194000,302194000,113034000,83284000,83284000,990544000,3754206000,25280000,192296000,63903000,3971782000,4962326000,242167000,36181000,178742000,242167000,480269000,843833000,685589000,15082000,143162000,1324102000,1566269000,525888000,11215000,514673000,-198917000,3096168000,-27082000,3396057000,3396057000,4962326000,-46007000,110161000,-6504000,155971000,-10000,213611000,-20247000,-40074000,-77234000,0,-298000,-77532000,96005000,96005000,96005000,63871000,480269000,182017000,0.35343,-0.14586,-0.14368,-0.01343,-0.00919,-3.99169,4.09033,0.4612,0.09678,-0.4244,-0.4244,2.95379,31.60799,1.69408,0.71884,0.0067,0.03856,-1.69377,-0.18417,0.25412
"44","2021_Q1",26.25,"Up",208267000,-162518000,45749000,-148612000,-32619000,-4915000,-109587000,-102863000,-7074000,-5401000,-1673000,-109937000,26038000,-83899000.0000001,23253000,-60646000,1683000,1683000,-58963000,-58963000,-58963000,577219000,487884000,192623000,192623000,104180000,89305000,89305000,963327000,3646341000,31585000,188368000,61688000,3866294000,4829621000,219136000,36468000,155442000,219136000,480727000,811244000,650675000,13389000,147180000,1291971000,1511107000,532843000,11215000,521628000,-198153000,3010012000,-26188000,3318514000,3318514000,4829621000,-60646000,109587000,-59841000,103537000,-9000,92628000,27364000,-861000,-27211000,-999.999999996275,-4032000,-31244000,60523000,60523000,60523000,6724000,480727000,114372000,0.21967,-0.4939,-0.28311,-0.01777,-0.01221,-1.93972,4.39602,0.45536,0.09954,-0.54859,-0.54859,1.93771,30.87535,1.06411,0.25317,-0.00688999999999999,0.02481,-0.46149,-14.35039,0.93806
"45","2021_Q2",28.1934920634921,"Up",246377000,-198689000,47688000,-153109000,-39303000,-5583000,-106861000,-105421000,-5740000,-4260000,-1480000,-111161000,15122000,-96039000,18115000,-77924000,7493000,7493000,-70431000,-70431000,-70431000,523802000,373980000,233623000,233623000,99353000,95946000,95946000,952724000,3552107000,34018000,187904000,63025000,3774029000,4726753000,228261000,46617000,154266000,228261000,481187000,792387000,635443000,5874000,151070000,1273574000,1501835000,523178000,11222000,511956000,-183535000,2911006000,-25731000,3224918000,3224918000,4726753000,-77924000,106861000,-21156000,-27382000,-3000,-19604000,-7149000,-65203000,-26918000,-21797342.952095,-2369000,-29287000,-114094000,-114094000,-114094000,1440000,481187000,-51206000,0.19356,-0.42788,-0.28587,-0.02184,-0.0149,0.72704,4.17384,0.4657,0.1018,-0.65446,-0.65446,2.28939,29.96662,-0.47582,0.25013,-0.00967,-0.01138,-0.38219,-29.59375,0.40424
"46","2021_Q3",26.97609375,"Down",296171000,-230313000,65858000,-152374000,-39349000,-5334000,-106417000,-86516000,-1517000,-940000,-577000,-88033000,-71887000,-159920000,36624000,-123296000,2293000,2293000,-121003000,-121003000,-121003000,561734000,427243000,209402000,209402000,96504000,110933000,97857000,978573000,3374235000,34569000,200727000,77644000,3609531000,4588104000,251603000,63934000,160342000,251603000,481647000,771158000,604536000,3559000,163063000,1252805000,1504408000,528092000,11222000,516870000,-181857000,2762735000,-25274000,3083696000,3083696000,4588104000,-123296000,106417000,49146000,46161000,-22000,78406000,-10177000,4887999.99999999,-27312000,-46921276.4676401,0,-27312000,55982000,55982000,55982000,19901000,481647000,19261000,0.22236,-0.29212,-0.40856,-0.03924,-0.02637,-0.15918,3.88935,0.48786,0.10498,-1.12186,-1.12186,2.74591,28.59007,0.17858,0.25322,-0.02161,0.00444,-0.22571,-4.02427,0.92569
"47","2021_Q4",27.76546875,"Up",332213000,-255471000,76742000,-153303000,-41719000,-5610000,-104493000,-76561000,-5406000,-4436000,-970000,-81967000,1603000,-80364000,23659000,-56705000,1150000,1150000,-55555000,-55555000,-55555000,557809000,370553000,233632000,233632000,90537000,101565000,91477000,983543000,3281082000,36886000,193774000,72487000,3511742000,4495285000,265301000,64193000,173784000,265301000,481002000,741075000,584633000,2393000,154049000,1222077000,1487378000,534503000,11222000,523281000,-181641000,2679859000,-24814000,3007907000,3007907000,4495285000,-56705000,104493000,-11695000,-5058000,-16000,31019000,-5072000,-59437000,-27585000,-67182738.5071377,-760000,-28345000,-56763000,-56763000,-56763000,27932000,481002000,-5857000,0.231,-0.23046,-0.16723,-0.01847,-0.01236,0.10543,3.70727,0.49449,0.107,-0.51565,-0.51565,3.08353,27.91872,-0.05436,0.25604,-0.00661,-0.00138,-0.49653,-2.74979,1.00321
"48","2022_Q1",33.9579032258065,"Up",343807000,-268127000,75680000,-159997000,-51824000,-5197000,-101955000,-84317000,-6695000,-4065000,-2630000,-91012000,-13845000,-104857000,25323000,-79534000,373000,373000,-79161000,-79161000,-79161000,1116234000,917534000,228894000,228894000,84057000,157381000,85928000,1586566000,3127287000,135444000,184831000,65340000,3447562000,5034128000,382820000,71996000,283492000,866306000,541997000,713207000,563437000,2013000,147757000,1255204000,2121510000,541125000,11222000,529903000,-181638000,2573375000,-20244000,2912618000,2912618000,5034128000,-79534000,101955000,312000,23893000,-7000,46619000,-16235000,-42242000,-27315000,-74391667.0310902,-10937000,510467000,514844000,514844000,514844000,17638000,1025483000,-26999.9999999925,0.22012,-0.24525,-0.23025,-0.02718,-0.01572,0.000339999999999868,1.83142,0.72839,0.20371,-0.73368,-0.73368,3.18647,26.99468,-0.000250000000000007,0.25316,-0.01115,-1.0000000000002e-05,-0.34506,-5.1452,1.07631
"49","2022_Q2",46.0687096774194,"Up",409782000,-299652000,110130000,-151861000,-43715000,-6527000,-100437000,-41731000,-4067000,-3525000,-542000,-45798000,-13101000,-58899000,7568000,-51331000,-31000,-31000,-51362000,-51362000,-51362000,441264000,234196000,282381000,282381000,87272000,143777000,80956000,954694000,3066326000,193624000,177610000,59915000,3437560000,4392254000,398976000,109032000,263125000,398976000,542236000,674451000,545869000,2031000,126551000,1216687000,1615663000,526191000,11222000,514969000,-224956000,2495206000,-19850000,2776591000,2776591000,4392254000,-51331000,100437000,-3535000,-49276000,-13000,-3718000,-22531000,-44729000,-83741000,-60358000,-4363000,-635610000,-684057000,-684057000,-684057000,58706000,542236000,-20669000,0.26875,-0.10184,-0.12534,-0.0185,-0.01169,0.40242,2.39286,0.58189,0.12345,-0.47603,-0.47603,3.79794,25.73396,-0.19156,0.77613,0.00811,-0.00518,-1.63041,1.71996,-2.41959
"50","2022_Q3",42.10625,"Down",467597000,-339759000,127838000,-157556000,-47051000,-6387000,-102937000,-29718000,-1467000,-991000,-476000,-31185000,29233000,-1952000,-2672000,-4624000,-352000,-352000,-4976000,-4976000,-4976000,350583000,202206000,329572000,329572000,83588000,154753000,97380000,918496000,3022335000,219295000,174224000,58325000,3415854000,4334350000,377598000,105123000,245778000,377598000,541969000,680373000,552263000,2356000,125754000,1222342000,1599940000,525993000,11222000,514771000,-235792000,2463665000,-19456000,2734410000,2734410000,4334350000,-4624000,102937000,-13895000,-61775000,-29000,22614000,-47007000,-592000,-26687000,-16641000,-1977000,-45305000,-23282999.9999998,-23282999.9999998,-23282999.9999998,73219000,541969000,-32891000,0.27339,-0.06355,-0.01064,-0.00182,-0.00115,6.60993,2.43247,0.58511,0.12504,-0.04626,-0.04626,4.34687,25.41958,-0.30576,0.24809,0.00549,-0.00831,-5.36314,2.61388,-6.44007
