"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",41.0952380952381,"Down",301970000,262332000,288514000,-26182000,39638000,16032000,23247000,-17500000,284470000,-123391000,-5257000,-118134000,161079000,161079000,-3058000,158021000,-42286000,115735000,115735000,115735000,115735000,451565000,3884059000,16753053000,34513000,2548670000,832146000,24529557000,17929192000,9803039000,8126153000,1639104000,183302000,19751598000,3921979000,951346000,-22340000,4777959000,4777959000,24529557000,115735000,14348000,17500000,13192000,9791000,170566000,-3274000,-158540000,-367330000,278999.999999993,-528865000,-76052000,611942000,-126356000,-147466000,262068000,-96231000,-96231000,-96231000,175427000,1639104000,224230000,0.53343,0.38327,0.02422,0.00472,1.93744,4.1339,0.06682,0.92873,0.92873,2.4232,38.34146,1.79937,0.61029,0.00782,0.00914,0.65712,6.76942,7.3724
"33","2018_Q4",32.9384126984127,"Down",297229000,260317000,292642000,-32325000,36912000,16376000,19710000,-11500000,285729000,-125104000,-6058000,-119046000,160625000,160625000,-3049000,157576000,-41289000,116287000,116287000,116287000,116287000,381786000,3851410000,17088226000,34012000,2548670000,836742000,24782126000,17879543000,10045063000,7834480000,1966110000,194788000,20040441000,3791144000,1067633000,-43854000,4741685000,4741685000,24782126000,116287000,13863000,11500000,12642000,2979000,157271000,-1901000,-70805000,-274580000,-16964000,-364250000,-74395000,325940000,-64789000,-49556000,137200000,-69779000,-69779000,-69779000,174488000,1966110000,216855000,0.54041,0.39124,0.02452,0.00469,1.86483,4.22644,0.07934,0.95224,0.95224,2.43391,38.82808,1.77575,0.6092,0.00769,0.00875,0.63975,9.07985,9.8635
"34","2019_Q1",32.5259016393443,"Down",295291000,261765000,302739000,-40974000,33526000,15205000,17535000,-1.2e+07,283291000,-135843000,-6198000,-129645000,147448000,147448000,6608000,154056000,-39015000,115041000,115041000,115041000,115041000,385767000,4041534000,17825241000,34661000,2548670000,877992000,25731354000,18870501000,10981586000,7888915000,1824960000,210305000,20905766000,3723974000,1182674000,-6075000.00000001,4825588000,4825588000,25731354000,115041000,14366000,11935000,9995000,-7130000,144207000,10295000,91629000,-994580000,-21991000,-914647000,-74057000,-142052000,-1746000.00000001,992276000,774421000,3981000.00000001,3981000.00000001,3981000.00000001,161814000,1824960000,203994000,0.49933,0.38959,0.02384,0.00447,1.77323,4.33227,0.07092,0.9449,0.9449,2.42539,39.63522,1.67552,0.60827,0.00735,0.00793,0.64374,8.89412,9.76068
"35","2019_Q2",32.9634920634921,"Up",285940000,254876000,304559000,-49683000,31064000,14738000,14165000,-4e+06,281940000,-122784000,-4513000,-118271000,159156000,159156000,-3503000,155653000,-43049000,112604000,112604000,112604000,112604000,556882000,4024138000,18171416000,37783000,2548670000,985249000,26324138000,19285927000,11573518000,7712409000,1935545000,311684000,21533156000,3537015000,1296216000,37258000,4790982000,4790982000,26324138000,112604000,14157000,4e+06,15222000,5910000,151893000,-3389000,5896000,-307359000,-4036000,-308888000,-73180000,109973000,-124109000,415426000,328110000,171115000,171115000,171115000,173313000,1935545000,218883000,0.55661,0.3938,0.0235,0.00428,1.94383,4.49452,0.07353,0.93157,0.93157,2.36558,39.63584,1.81082,0.60542,0.00706,0.00831,0.64989,7.95476,8.66234
"36","2019_Q3",31.29953125,"Down",311791000,260898000,314533000,-53635000,50893000,15361000,13014000,-8e+06,303791000,-121976000,-4629000,-117347000,181815000,181815000,-3451000,178364000,-50239000,128125000,128125000,128125000,128125000,607738000,3850390000,18337815000,38162000,2548670000,961639000,26344414000,18805756000,11506543000,7299213000,2369171000,317477000,21492404000,3436898000,1424341000,73066000,4852010000,4852010000,26344414000,128125000,14190000,8e+06,-5076000,-17148000,128091000,-994000.000000002,172400000,-66662999.9999999,-25438000,79304999.9999999,-71909000,431972000,-37717000,-478886000,-156540000,50856000,50856000,50856000,196005000,2369171000,228102000,0.58313,0.41093,0.02641,0.00486,1.78031,4.42959,0.08993,1.08061,1.08061,2.62966,40.92209,1.92382,0.60648,0.00759,0.00866,0.56124,8.98667,9.68805
"37","2019_Q4",33.1371875,"Up",285665000,252236000,307208000,-54972000,33429000,14380000,17376000,-7e+06,278665000,-133145000,-4400000,-128745000,145520000,145520000,6336000,151856000,-41830000,110026000,110026000,110026000,110026000,736001000,3844213000,18596991000,37926000,2548670000,960826000,26724627000,19733203000,12292018000,7441185000,1709176000,362140000,21804519000,3372251000,1534367000,95887000,4920108000,4920108000,26724627000,110026000,-81000,7054000,30593000,20019000,167611000,-2225000,-68211000,-179608000,15286000,-234758000,-71952000,-660028000,-102000,927492000,195410000,128263000,128263000,128263000,145439000,1709176000,205063000,0.50941,0.38516,0.02236,0.00412,1.86377,4.43172,0.06396,0.93092,0.93092,2.41698,41.62845,1.73501,0.60878,0.00681,0.00767,0.65395,6.69129,6.68757
"38","2020_Q1",28.0274193548387,"Down",273795000,246619000,293593000,-46974000,27176000,13781000,5086000,-3e+06,270795000,-123997000,-4261000,-119736000,146798000,146798000,269000,147067000,-29186000,117881000,117881000,117881000,117881000,637624000,3838111000,18708087000,38585000,2548670000,999729000,26770806000,19233036000,11989738000,7243298000,2217217000,365856000,21816109000,3307225000,1652248000,78658000,4954697000,4954697000,26770806000,117881000,29575000,2946000,-367999.99999994,-14969000,135065000,167000,231217000,-358096000,-40253000,-166965000,-72007000,505977000,-1037000,-1507562000,-66476999.9999999,-98377000,-98377000,-98377000,176373000,2217217000,190757000,0.53616,0.43054,0.02379,0.0044,1.61822,4.40312,0.08282,0.99704,0.99704,2.31576,41.90692,1.61343,0.60904,0.00709,0.00713,0.61084,8.95598,10.76032
"39","2020_Q2",16.8636507936508,"Down",299058000,259208000,272176000,-12968000,39850000,13093000,25082000,-1e+07,289058000,-134622000,-6800000,-127822000,154436000,154436000,-1060000,153376000,-36546000,116830000,116830000,116830000,116830000,612260000,3811907000,19524013000,346329000,1078670000,770088000,26143267000,19575837000,12065619000,7510218000,2753994000,423047000,22752878000,3172513000,213854000,90916000,3390389000,3390389000,26143267000,-1433111000,14862000,1.12e+08,1486458000,-64635000,115574000,-3840000,54064000,-936586000,11285000,-875077000,-71206000,535992000,-73460000,-2521429036.52437,734139000,-25364000,-25364000,-25364000,169298000,2753994000,137369000,0.51641,0.39066,0.03446,0.00447,1.1758,6.71099,0.10534,0.99616,0.99616,2.54995,28.9085,1.17129,0.60715,0.00719,0.00525,0.60948,12.65068,13.8681
"40","2020_Q3",17.09203125,"Up",272926000,244818000,293231000,-48413000,28108000,11401000,10052000,-2.22e+08,50925999.9999999,-110313000,-1604000,-108709000,-59387000,-59387000,-1468940000,-1528327000,11590000,-1516737000,-1516737000,-1516737000,-1516737000,1921136000,3868391000,19393581000,337490000,1078670000,766470000,27365738000,22928579000,14299036000,8629543000,520772000,463489000,23912840000,3149297000,247058000,145038000,3452898000,3452898000,27365738000,33204000,15092000,1.2e+08,8996999.99999952,-18845000,158448000,-5161000,-13646000,76535000.0000001,4623000,62351000,-29505000,-2.235e+09,-1601000,-1339493678.7783,1088077000,1308876000,1308876000,1308876000,-44295000,520772000,-79891000,-0.21759,-5.55732,-0.43926,-0.05542,0.05267,6.92544,0.01903,-13.0096,-13.0096,2.34098,29.61675,-0.68525,0.25307,-0.05435,-0.00292,-0.01945,31.61449,23.58031
"41","2020_Q4",20.81546875,"Up",289576000,251324000,265908000,-14584000,38252000,13111000,19836000,-9.7e+07,192576000,-133402000,-4713000,-128689000,59174000,59174000,0,59174000,-13671000,45503000,45503000,45503000,45503000,2953196000,4549864000,18680234000,326969000,1078670000,837783000,28426716000,23965695000,14618951000,9346744000,523282000,451508000,24940485000,3126762000,292561000,66908000,3486231000,3486231000,28426716000,45503000,14930000,9.7e+07,13714000,-102232000,68915000,-1025000,-666131000,597334000,25387000,-44435000,-29599000,4.76837158203125e-07,-71000,623327018.356919,1007580000,1032060000,1032060000,1032060000,74104000,523282000,-15482000,0.20435,0.15714,0.01305,0.0016,-0.34024,7.154,0.01841,0.38974,0.38974,2.48024,29.85988,-0.1326,0.25352,0.00264,-0.00054,0.65048,-32.79059,-41.06388
"42","2021_Q1",33.0226229508197,"Up",299058000,259208000,272176000,-12968000,39850000,13093000,-511000.000000007,-1e+07,289058000,-134622000,-6800000,-127822000,154436000,154436000,-1059999.99999976,153376000,-36546000,116830000,116830000,116830000,116830000,3160661000,5252841000,18805176000,373080000,1078670000,828014000,29498442000,24940717000,15746890000,9193827000,470812000,491962000,25903491000,3101840000,409391000,83720000,3594951000,3594951000,29498442000,116830000,14708000,1e+07,15811000,-16413000,140936000,-1099000,-686306000,-49114000,-87299000,-823818000,-29438000,-5.5e+07,-237000,1952116000,890347000,207465000,207465000,207465000,169144000,470812000,188178000,0.51641,0.39066,0.0325,0.00395999999999999,1.6107,7.20552,0.01596,1.00032,1.00032,2.56058,30.78053,1.61121,0.25205,0.00496,0.00638,0.25197,-15.90272,-17.41724
"43","2021_Q2",40.5425396825397,"Up",306098000,261269000,273337000,-12068000,44829000,12092000,15470000,4.8e+07,354098000,-146711000,-5126000,-141585000,207387000,207387000,-3425000,203962000,-53556000,150406000,150406000,150406000,150406000,5694866000,5958940000,18762720000,39622000,1204092000,1196293000,32856533000,28223291000,17205829000,11017462000,485564000,493541000,29202396000,3078670000,559797000,15670000,3654137000,3654137000,32856533000,150406000,16003000,-4.8e+07,20667000,7627000,146703000,-1437000,-805198000,141696000,-4289000,-791137000,-50722416.6265039,-35460000,-1908000,1786655000,3178639000,2534205000,2534205000,2534205000,223390000,485564000,283136000,0.67752,0.49137,0.04116,0.00458,1.88248,7.9916,0.01478,1.28718,1.28718,2.6196,31.2723,2.42309,0.434392686297061,0.00458,0.00862,0.164839715207491,-23.31932,-25.11875
"44","2021_Q3",39.52796875,"Down",306679000,266308000,280505000,-14197000,40371000,14156000,13749000,8.8e+07,394679000,-151550000,-5256000,-146294000,243129000,243129000,-199999.999999985,242929000,-62417000,180512000,180512000,180512000,180512000,5858092000,7215858000,19355131000,39541000,1204118000,1195247000,34867987000,29647034000,18394748000,11252286000,868413000,505859000,31021306000,3057743000,740309000,48629000,3846681000,3846681000,34867987000,180512000,15529000,-8.8e+07,23549000,-47688000,83902000,-1368000,-1211828000,-493204000,18430000,-1689151000,-59503000,381183000,-6176000,234465000,1768475000,163226000,163226000,163226000,258658000,868413000,272019000,0.79278,0.5886,0.04693,0.00518,1.50693,8.06443,0.02491,1.54483,1.53938,2.62458,32.9201,2.32795,0.50923,0.00688,0.0078,0.32963,-19.29064,-20.52276
"45","2021_Q4",44.66234375,"Up",327187000,275842000,290082000,-14240000,51345000,15199000,35631000,2e+07,347187000,-159221000,-5164000,-154057000,187966000,187966000,-2e+05,187766000,-47770000,139996000,139996000,139996000,139996000,3699198000,9294176000,20384522000,381521000,1204118000,922141000,35885676000,30559745000,17677939000,12881806000,862447000,545050000,31967242000,3036273000,880305000,1856000,3918434000,3918434000,35885676000,139996000,15637000,-2e+07,27439000,-1366000,161706000,-10332000,-2154192000,-1005731000,-26344000,-3196599000,-29971000,1924424000,8084000,-2029320000,875999000,-2158894000,-2158894000,-2158894000,203603000,862447000,239675000,0.57449,0.42788,0.03573,0.0039,1.71201,8.15817,0.02403,1.19386,1.19386,2.7902,33.41577,2.04391,0.25559,0.00474,0.00668,0.21408,-13.93276,-15.09183
"46","2022_Q1",45.4653225806452,"Up",357787000,300405000,314805000,-14400000,57382000,14109000,-2283000,6e+06,363787000,-170520000,-5946000,-164574000,193267000,193267000,-5590000,187677000,-51632000,136045000,136045000,136045000,136045000,4057234000,10711708000,22825744000,385890000,1405736000,1057032000,40443344000,34997757000,20454624000,14543133000,863283000,582674000,36443714000,3014620000,1016350000,65968000,3999630000,3999630000,40443344000,136045000,17760000,-6e+06,30371000,-67531000,110645000,-1392000,-1477912000,-2424040000,-14440000,-37572000.0000005,-29969000,-1931049000,-8505000,3734357000,284963000,358036000,358036000,358036000,211027000,863283000,193736000,0.54017,0.38024,0.03401,0.00336,1.42406,9.11177,0.02135,1.16017,1.16017,3.05115,34.1082,1.65215,0.25557,0.0041,0.00479,0.22029,-15.13527,-16.52611
"47","2022_Q2",31.3691935483871,"Down",329535000,308717000,322904000,-14187000,20818000,15151000,16249000,12823297.7605335,329535000,-167426000,-5954000,-161472000,162109000,162109000,-33325915.1842436,162109000,-41981000,120128000,120128000,120128000,120128000,2070681000,9992359000,24242351000,376316000,1405736000,1162196000,39249639000,33224895000,19167844000,14057051000,1854880000,519269000,35599044000,2992381000,1136478000,-478264000,3650595000,3650595000,39249639000,120128000,17226000,-12934730.0714372,26087000,-29235000,134206000,8736000,93917000,-1411934000,4661000,-1304620000,-46683520.1163274,9.91e+08,-4481000,-486082000,-816139000,-1986553000,-1986553000,-1986553000,179335000,1854880000,200817000,0.49193,0.36454,0.03291,0.00306,1.67169,9.75157,0.04726,1.02368,1.02368,2.80816,31.10887,1.71128,0.398338872886308,0.00306,0.00512,0.332771690854914,-1.20334,-1.33121
"48","2022_Q3",26.31515625,"Down",358271000,323925000,350518000,-26593000,34346000,14447000,15384000,-11500000,346771000,-183645000,-6726000,-176919000,163126000,163126000,-85572745.5527309,163126000,-40766000,122360000,122360000,122360000,122360000,2389904000,9074225000,26419836000,375316000,1405736000,1285706000,40950723000,33968152000,20630123000,13338029000,2455756000,548412000,36972320000,2971877000,1258838000,-750828000,3978403000,3978403000,40950723000,122360000,17018000,11500000,32538000,-46053000,137363000,-2833000,547419000,-2163706000,-7302000,-1626422000,-59998000,6.01e+08,494227000,-719021999.999999,1808282000,319223000,319223000,319223000,180144000,2455756000,172024000,0.45531,0.34153,0.03076,0.00299,1.40588,9.29326,0.05997,1.04081,1.04081,3.04751,29.60044,1.46326,0.51035,0.00445,0.0042,0.49034,0.36555,0.403690000000001
