"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",13.9588524590164,"Down",249608000,-96194000,153414000,-133517000,-14926000,19897000,-6936000,-8534000,1598000,12961000,-2008000,10953000,507000,11460000,5461000,6972000,6971999.99999999,148699000,148699000,245365000,211470000,75466000,605534000,209995000,7699000,1306320000,755949000,425975000,104320000,1524014000,2129548000,65586000,23647000,41939000,5656000,139546000,7353000,132193000,210788000,687619000,293656000,293656000,981275000,1192063000,1129836000,-90061000,-102922000,936853000,937485000,2129548000,11460000,14926000,-11573000,-12233000,8018000,-3214000,697000,9236000,-275581000,298271000,-2363000,289727000,22164000,22164000,22164000,34823000,693275000,18869000,0.61462,0.07971,0.02793,0.00744000000000001,0.00326999999999999,2.7064,2.87272,1.27155,0.32555,0.08524,0.08542,3.05189,11.45465,0.23071,0.00362,0.00981000000000001,15.6384,27.36975
"31","2018_Q2",11.96140625,"Down",254191000,-98489000,155702000,-151806000,-15420000,3896000,-9980000,-8759000,-1221000,-6084000,-4524000,-10608000,2031000,-8577000,-27081000,-26449000,-26449000,130385000,130385000,236199000,194459000,80680000,561043000,212040000,7776000,1303123000,755949000,418653000,106484000,1522939000,2083982000,54025000,27770000,26255000,5656000,134496000,7184000,127312000,194177000,687106000,298011000,298011000,985117000,1179294000,1127505000,-120635000,-102182000,904688000,904688000,2083982000,-8577000,15420000,-3261000,-2258000,5015000,-11362000,-117000,192000,-11607000,-750000,-2672000,-11722000,-18314000,-18314000,-18314000,19316000,692762000,3665000,0.61254,0.01533,-0.10405,-0.02924,-0.01269,-0.13857,2.88934,1.30354,0.33242,-0.32431,-0.32431,3.11684,11.09312,0.04494,-0.01178,0.00193,29.11457,144.34728
"32","2018_Q3",13.9531746031746,"Up",283395000,-95071000,188324000,-163591000,-15382000,24733000,-10824000,-9279000,-1545000,13909000,-2264000,11645000,-2983000,8662000,5719999.99999999,5720000,5720000,125719000,125719000,250728000,193109000,82105000,569556000,218628000,7351000,1294390000,755949000,416915000,104002000,1520369000,2089925000,67660000,32402000,35258000,5656000,128056000,7544000,120512000,201372000,686659000,290030000,290030000,976689000,1178061000,1132318000,-119012000,-101442000,911864000,911864000,2089925000,8662000.00000001,15382000,66000.0000000019,-7817000,17541000,-20384000,38000.0000000001,2467000,-18244000,-749999.99999997,-739000,-3963000,-4665999.99999999,-4665999.99999999,-4666000.00000001,40115000,692315000,14897000,0.66453,0.08727,0.02018,0.00627,0.00274,2.60437,2.82838,1.29193,0.33126,0.0699100000000001,0.06988,3.46347,11.14421,0.18206,0.00518,0.00786,14.12429,22.9085
"33","2018_Q4",16.1415873015873,"Up",302726000,-96129000,206597000,-165578000,-15598000,41019000,-13078000,-9003000,-4075000,27941000,-694000,27247000,-7208000,20039000,19131000,19131000,19131000,129743000,129743000,254682000,176507000,67871000,560932000,223629000,7299000,1276170000,760098000,411419000,88923000,1507098000,2068030000,67306000,38213000,29093000,3e+06,139887000,17692000,122195000,210193000,686212000,265973000,265973000,952185000,1162378000,1108799000,-104021000,-99126000,905652000,905652000,2068030000,20039000,15598000,-8659000,20315000,51232000,-14762000,0,594000,-14527000,-3406000,726000,-32681000,4024000,4024000,4024000,56617000,689212000,69378000,0.68246,0.1355,0.0632,0.02112,0.00925,3.62647,2.66865,1.28347,0.33327,0.23487,0.23307,3.71662,11.11884,0.85177,0.01251,0.03728,9.88164,13.63926
"34","2019_Q1",19.2750819672131,"Up",317050000,-86747000,230303000,-128258000,-14311000,102045000,-21931000,-9143000,-12788000,80114000,-15728000,64386000,-14621000,49765000,21979000,21979000,21979000,107114000,107114000,281330000,82573000,82573000,471017000,237927000,7162000,1413955000,834013000,478953000,91848000,1659044000,2130061000,71848000,26919000,44929000,3e+06,123211000,11459000,111752000,198059000,685764000,320073000,294542000,1005837000,1203896000,1107791000,-86229000,-95397000,926165000,926165000,2130061000,49765000,14311000,51212000,-34474000,67123000,-7814000,-479000,584000,-83106000,-750000,205000,-6631000,-22614000,-22614000,-22629000,116356000,688764000,88689000,0.72639,0.32186,0.06932,0.02373,0.01032,4.03517,2.37817,1.29987,0.32335,0.27254,0.26733,3.93138,11.48433,1.09973,0.01344,0.04583,4.99888,5.69994000000001
"35","2019_Q2",18.1844444444444,"Down",292163000,-110203000,181960000,-177229000,-17792000,4731000,-11288000,-8916000,-2372000,-6557000,-4591000,-11148000,4334000,-6814000,-6814000,-6814000,-6814000,14402000,14402000,277528000,105569000,105569000,397499000,254935000,7276000,1514206000,852362000,495440000,156547000,1776417000,2173916000,54759000,32230000,22529000,3e+06,177451000,8120000,169331000,235210000,685317000,336016000,313955000,1021333000,1256543000,1109393000,-97083000,-94937000,917373000,917373000,2173916000,-6814000,17792000,1606000,-25776000,-13192000,-13844000,-115000,1521000,-67637000,-750000,-6511000,-11885000,-92714000,-92714000,-92712000,22523000,688317000,-21431000,0.6228,0.01619,-0.02332,-0.00743,-0.00313,3.14514,1.68997,1.36972,0.31663,-0.08446,-0.08446,3.62157,11.3715,-0.26565,-0.00143,-0.01104,29.92119,142.44663
"36","2019_Q3",13.42328125,"Down",337495000,-115602000,221893000,-195832000,-20237000,26061000,-19218000,-18023000,-1195000,6843000,-3889000,2954000,-3320000,-365999.999999993,-366000.000000002,-365999.999999996,-366000.000000004,56514000,56514000,323575000,341035000,341035000,721124000,315288000,7688000,2003625000,1111247000,724792000,159029000,2326601000,3047725000,77914000,43648000,34266000,10650000,171268000,6522000,164746000,259832000,1537849000,333391000,308206000,1871240000,2131072000,1112658000,-101529000,-94476000,916653000,916653000,3047725000,-365999.999999993,20237000,3776000,-1297000,22350000,-40223000,-5e+05,307000,-593490000,878512000,-21186000,853246000,282106000,282106000,282112000,46298000,1548499000,8098000.00000001,0.65747,0.07722,-0.00108000000000001,-4e-04,-0.000120000000000001,-22.12568,2.77535,2.32484,0.50808,-0.00453000000000003,-0.00453000000000003,4.17573,11.34149,0.10019,0.00133,0.00288999999999998,32.22569,57.24972
"37","2019_Q4",13.97296875,"Up",298686000,-108393000,190293000,-156322000,-20170000,33971000,-26566000,-26537000,-29000,7405000,-16752000,-9347000,1671000,-7676000,-21763000,-21929000,-21929000,86507000,86507000,333725000,114010000,114010000,534242000,375942000,8395000,2587912000,1323312000,1021025000,235118000,2972249000,3506491000,82931000,43295000,39636000,10650000,150667000,8948000,141719000,244248000,1925566000,442903000,421862000,2368469000,2612717000,1115048000,-127612000,-93828000,893608000,893774000,3506491000,-7676000,20170000,10202000,-3685000,1849000,-12075000,-838000,2096000,-593283000,397338000,-11751000,381433000,-210001000,-210001000,-210007000,54141000,1936216000,36710000,0.6371,0.11373,-0.07342,-0.02454,-0.00625,-1.67404,2.18729,2.92324,0.55218,-0.27114,-0.27114,3.69309,11.04898,0.4539,-0.00543,0.01122,34.16466,54.44965
"38","2020_Q1",12.1209677419355,"Down",423055000,-367637000,55418000,-4839999.99999997,-26145000,50578000,-29283000,-27120000,-2163000,21295000,-2750000,18545000,-5602000,12943000,10565000,10731000,10731000,32968000,32968000,387847000,223102000,121836000,643917000,370378000,8375000,2539187000,1224679000,1060675000,241527000,2917940000,3561857000,43793000,28441000,15352000,10612000,257627000,10704000,224196000,312032000,1904418000,447472000,429596000,2351890000,2663922000,1117905000,-120981000,-98989000,897935000,897935000,3561857000,12943000,26145000,-22357000,-49384000,-38459000,5207000,-183000,9769000,-10097000,-22653000,21785000,-4968000.00000006,-53524000,-53524000,-53538999.9999999,76723000,1915030000,38148000,0.13099,0.11955,0.02537,0.01195,0.00301,3.55493,2.06362,2.96672,0.53765,0.13259,0.13259,5.22735,11.09507,0.47136,0.00455,0.0117,24.53061,37.21108
"39","2020_Q2",7.92095238095238,"Down",414223000,-231900000,182323000,-155056000,-27345000,27267000,-25710000,-25798000,88000,1557000,-6343000,-4786000,-2412000,-7198000,-11809000,-11809000,-11809000,179627000,179627000,401409000,89774000,89774000,670810000,377317000,11434000,2636114000,1275327000,1047791000,301394000,3024865000,3695675000,88367000,43389000,44978000,10612000,175292000,8572000,166720000,274271000,2078232000,457852000,423277000,2536084000,2810355000,1120299000,-136898000,-98081000,885320000,885320000,3695675000,-7198000,27345000,17477000,-19483000,13701000,-16690000,-3087000,3492000,-16330000,172347000,-18840000,149399000,146770000,146770000,146659000,54612000,2088844000,20851000,0.44016,0.06583,-0.02851,-0.01334,-0.0032,-1.76569,2.44579,3.17439,0.56521,-0.14565,-0.14565,5.10901,10.9195,0.25718,-0.00224,0.00608,34.95966,70.01933
"40","2020_Q3",10.84,"Up",358883000,-223035000,135848000,-132770000,-26645000,3078000,-25577000,-22999000,-2578000,-22499000,-1528000,-24027000,6515000,-17512000,-22043000,-22043000,-22043000,98933000,98933000,347122000,170522000,74487000,616577000,369869000,13357000,2548042000,1226222000,1033334000,275152000,2931268000,3547845000,102002000,49053000,52949000,10612000,178988000,9371000,169617000,291602000,1952047000,440582000,411187000,2392629000,2684231000,1123882000,-163092000,-97176000,863614000,863614000,3547845000,-17512000,26645000,7646999.99999999,46561000,60558000,-11301000,-2274000,6708000,-4655000,-127653000,-4890000,-136694000,-80791000,-80791000,-80694000,29723000,1962659000,58468000,0.37853,0.00858,-0.06142,-0.02552,-0.00621,-2.65245,2.11445,3.10814,0.5532,-0.27074,-0.27074,4.40785,10.60703,0.71811,-0.00548,0.0179,62.70316,605.49903
"41","2020_Q4",12.26890625,"Up",493262000,-227520000,265742000,-149593000,-26856000,116149000,-21160000,-21387000,227000,94989000,-8916000,86073000,-22100000,63973000,58518000,58518000,58518000,128548000,128548000,382531000,310585000,52451000,821664000,349709000,13207000,2401547000,1201533000,982366000,209276000,2764463000,3586127000,112652000,59684000,52968000,10612000,264345000,34510000,210127000,387609000,1900861000,374590000,327754000,2275451000,2663060000,1127965000,-108730000,-96168000,923067000,923067000,3586127000,63973000,26856000,6638000,-622000,85540000,-10095000,-92000,12944000,1277000,-52653000,-430000,-57239000,29578000,29578000,29615000,143005000,1911473000,154388000,0.53874,0.23547,0.11863,0.0634,0.01632,2.6383,2.11983,2.88501,0.53302,0.7178,0.71051,6.05051,11.32264,1.89377,0.01953,0.04811,12.46757,15.35033
"42","2021_Q1",18.4050819672131,"Up",591110000,-247293000,343817000,-167484000,-26309000,176333000,-22021000,-22810000,789000,154312000,-2552000,151760000,-37459000,114301000,244667000,244667000,244667000,576021000,576021000,429017000,1089147000,1089147000,2094185000,343920000,14404000,2406877000,1203212000,975444000,228221000,2765201000,4859386000,84653000,68139000,16514000,10612000,263191000,14101000,249090000,358456000,2923359000,414306000,328462000,3337665000,3696121000,1131606000,131778000,-100119000,1163265000,1163265000,4859386000,114301000,26309000,37712000,-1319000,117595000,76875000,-2856000,10540000,337130000,1047347000,-475000,1042713000,1497438000,1497438000,1497473000,202642000,2933971000,315657000,0.58165,0.29831,0.41391,0.21033,0.05035,1.29015,5.84224,3.17737,0.60377,2.99646,2.96685,7.23938,14.24662,3.86588,0.05515,0.06997,11.63604,13.37214
"43","2021_Q2",20.9574603174603,"Up",540921000,-264395000,276526000,-183533000,-39507000,92993000,-48726000,-43882000,-4844000,44267000,-21235000,23032000,-19529000,3503000,5567000,5567000,-6076000,538185000,538185000,495895000,38657000,38657000,1072737000,397858000,15555000,5412530000,2963565000,1997712000,451253000,5825943000,6898680000,90680000,66479000,24201000,18612000,322518000,21408000,301110000,431810000,3690284000,1207399000,860052000,4897683000,5329493000,1134189000,125702000,-98914000,1569187000,1569187000,6898680000,3503000,39507000,4646000,2438000,50094000,-4139000,-1263000,5357000,-2455283000,795347000,-68907000,1317373000,-1087816000,-1087816000,-1087836000,132500000,3708896000,150328000,0.51121,0.17192,-0.01123,-0.00387,-0.00088,-24.74128,2.48428,3.39634,0.53762,-0.07419,-0.07419,6.60449,14.1752,1.83546,0.00046,0.02318,23.92989,34.09623
"44","2021_Q3",18.48609375,"Down",565077000,-268683000,296394000,-184864000,-40751000,111530000,-44710000,-42010000,-2700000,66820000,-52924000,13896000,-12683000,1212999.99999999,5643999.99999997,5643999.99999994,-6931999.99999997,85955999.9999999,85955999.9999999,525678000,78499000,78499000,690133000,463301000,13902000,5394863000,2921197000,1956015000,517651000,5872066000,6562199000,111757000,75839000,35918000,18612000,338959000,22893000,316066000,469328000,3243270000,998862000,640034000,4242132000,4711460000,1420891000,118770000,-97708000,1850739000,1850739000,6562199000,1213000.00000001,40751000,46892000,-46772000,40149000,-23845000,-168000,8877000,-15135999.9999995,-464905000,-336999.999999985,-477242000,-452229000,-452229000,-452229000,152281000,3261882000,94347000,0.52452,0.19737,-0.01227,-0.00375000000000002,-0.00106,-13.61036,1.47047,2.54572,0.49707,-0.0846400000000001,-0.0846400000000001,6.89943,17.60583,1.15195,0.000830000000000009,0.01544,20.85569,28.47598
"45","2021_Q4",19.320625,"Up",555243000,-285775000,269468000,-182831000,-42086000,86637000,-40603000,-41013000,410000,46034000,28986000,75020000,-16654000,58366000,58698000,58698000,46121000,72208000,72208000,524428000,63531000,63531000,660167000,463989000,23287000,5433106000,2927310000,1931800000,573996000,5920382000,6580549000,92860000,76467000,16393000,18612000,348355000,21856000,326499000,459827000,3192506000,1025249000,660683000,4217755000,4677582000,1425065000,164891000,-96352000,1902967000,1902967000,6580549000,58366000,42086000,-34607000,-7548000,66309000,-17042000,-10354000,37650000,20254000,-54653000,599000,-66054000,20509000,20509000,20509000,128723000,3211118000,120787000,0.48532,0.15603,0.08306,0.02424,0.00701,2.61892,1.43569,2.45805,0.48797,0.56069,0.53072,6.75002,18.15755,1.46839,0.00947,0.01967,24.385,36.23059
"46","2022_Q1",21.1209677419355,"Up",622291000,-287373000,334918000,-205799000,-39578000,129119000,-46937000,-38259000,-8678000,82182000,-7042000,75140000,-22323000,52817000,52803000,52803000,40227000,66223000,66223000,572525000,63533000,63533000,702281000,456945000,21632000,5477456000,2913384000,1910311000,653761000,5956033000,6658314000,118904000,83931000,7435001.69223596,18612000,374364000,2e+07,354364000,511880000,3129393000,1046607000,689830000,4.176e+09,4687880000,1429286000,205118000,-73909000,1970434000,1970434000,6658314000,52817000,39578000,3506000,-15439000,80448000,-15718000,-244999.999999998,8089000,-5831000,-67894000,-708000,-80602000,-5985000,-5985000,-5985000,168697000,3148005000,159863000,0.5382,0.20749,0.06464,0.02042,0.00604,3.97402,1.37196,2.37911,0.47279,0.48377,0.403,7.4836,18.76633,1.92249,0.00847,0.02593,18.26815,23.86777
"47","2022_Q2",15.985,"Down",565706000,-297834000,267872000,-192472000,-39745000,75400000,-36243000,-36499000,256000,39157000,-2889000,36268000,-13903000,22365000,22365000,22365000,9789000,35026000,35026000,563862000,28856000,28856000,627744000,450975000,26700000,5436442000,2920466000,1893129000,622847000,5914117000,6541861000,105629000,90578000,15051000,18612000,333098000,19381000,313717000,457339000,3081513000,1018980000,648241000,4100493000,4557832000,1431686000,214907000,-73079000,1984029000,1984029000,6541861000,22365000,39745000,22704000,-47435000,37379000,-12685000,-5117000,-1255000,-32854000,-49197000,-8782000,-69979000,-65454000,-65454000,-65454000,115145000,3100125000,68928000,0.47352,0.13328,0.0173,0.00493,0.0015,7.04137,1.3726,2.29726,0.47389,0.11861,0.10733,6.8543,19.06527,0.83516,0.00357,0.01129,26.61947,40.65118
"48","2022_Q3",14.16265625,"Down",594467000,-308510000,285957000,-195401000,-41019000,90556000,-33179000,-36011000,2832000,57377000,-1577000,55800000,-14060000,41740000,41740000,41740000,29163000,58237000,58237000,580747000,56423000,56423000,695407000,445654000,25677000,5368932000,2920466000,1870194000,578272000,5840263000,6535670000,116966000,84656000,32310000,18612000,335402000,23767000,311635000,470980000,3064352000,980724000,608800000,4045076000,4516056000,1436701000,244070000,-72249000,2019614000,2019614000,6535670000,41740000,41019000,2705000,-16258000,69206000,-14771000,-164000,546000,-14389000,-19653000,46999.9999999981,-31606000,23211000,23211000,23211000,131575000,3082964000,114606000,0.48103,0.15233,0.04906,0.01444,0.00446,3.92984,1.47651,2.2361,0.47171,0.33208,0.33208,6.76915,18.31612,1.30501,0.00677,0.01884,22.98861,33.40173
