"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",3.9575,"Down",7601000,-5733000,1868000,-4257000,-4257000,-2389000,625000,-14000,639000,-1764000,-1764000,393000,-1371000,-1371000,-1371000,-1371000,1370000,1370000,4870000,1018000,1091000,8349000,740000,24394000,5272000,25134000,33483000,9800000,3777000,6023000,1747000,11547000,3707000,15254000,38662000,-19917000,-516000,18229000,18229000,33483000,-1371000,957000,-421000,-40000,-875000,-64000,1054000,508000,508000,687000,687000,31000,718000,-1432000,2999000,-1929000,0.24576,-0.3143,-0.18037,-0.07521,-0.04095,1.407,0.72304,0.8368,0.08957,-0.80885,-0.80885,4.48437,10.75457,-1.13805,-0.05789,-0.08145,-1.13757,-0.68188
"37","2019_Q4",2.8140625,"Down",9790000,-7226000,2564000,-5185000,-5185000,-2621000,-69000,-75000,6000,-2690000,-2690000,732000,-1958000,-1958000,-1958000,-1958000,638000,638000,5877000,1727000,1002000,9244000,802000,23597000,5404000,24399000,33643000,9726000,3726000,6e+06,1837000,11563000,5376000,16939000,39109000,-21875000,-530000,16704000,16704000,33643000,-1958000,1076000,97000,-1737000,-2522000,-209000,-446000,2248000,2248000,-720000,-720000,-12000,-732000,-1545000,5487000,-4223000,0.2619,-0.26772,-0.2,-0.11722,-0.0582,2.15679,0.79945,1.01407,0.16309,-1.15438,-1.15438,5.7719,9.84819,-2.48976,-0.08187,-0.17657,-3.13851,-1.85006
"38","2020_Q1",3.20935483870968,"Up",11413000,-9208000,2205000,-6751000,-6751000,-4546000,-1135000,-1399000,264000,-5681000,-7979000,1372000,-6607000,-6607000,-6607000,-6607000,481000,481000,6578000,1348000,432000,8839000,324000,19871000,2166000,20195000,29034000,13741000,4365000,9376000,1359000,17573000,1120000,18693000,39293000,-28419000,-533000,10341000,10341000,29034000,-6607000,1030000,4419000,1291000,133000,224000,-1e+05,-154000,-154000,-121000,-121000,-36000,-157000,-3516000,2209000,-3373000,0.1932,-0.39832,-0.5789,-0.63891,-0.22756,0.51052,0.50299,1.80766,0.07608,-3.35631,-3.35631,5.79772,5.25316,-1.71346,-0.51537,-0.2631,-0.49147,-0.38011
"39","2020_Q2",2.8168253968254,"Down",8450000,-6976000,1474000,-4873000,-4873000,-3399000,705000,-113000,818000,-2694000,-2694000,411000,-2283000,-2283000,-2283000,-2283000,837000,837000,3951000,1313000,326000,6427000,313000,19735000,2769000,20048000,26475000,12992000,4136000,8856000,1247000,16722000,1313000,18035000,39669000,-30702000,-527000,8440000,8440000,26475000,-2283000,1017000,-59000,2021000,696000,-64000,-64000,-280000,-280000,352000,352000,4000,356000,-2382000,2560000,-836000,0.17444,-0.40225,-0.27018,-0.2705,-0.08623,0.36618,0.38434,2.13685,0.09669,-1.33362,-1.33362,4.93609,4.93024,-0.48835,-0.20755,-0.076,-0.72334,-0.50691
"40","2020_Q3",4.7475,"Up",4007000,-2962000,1045000,-3363000,-3363000,-2318000,-61999.9999999998,-54000,-8000,-2380000,-2380000,-62000.0000000001,-2442000,-2442000,-2442000,-2442000,883000,883000,3276000,1829000,888000,6876000,304000,18841000,2822000,19145000,26021000,12244000,1900000,10344000,4714000,18451000,1471000,19922000,39804000,-33144000,-561000,6099000,6099000,26021000,-2442000,1027000,146000,-1049000,-2318000,-71000,-71000,2469000,2469000,80000.0000000001,80000.0000000001,-34000,45999.9999999999,-1291000,6185000,-2349000,0.26079,-0.57849,-0.60943,-0.40039,-0.09385,0.96192,0.37266,3.26644,0.23769,-1.10471,-1.10471,1.81268,2.75906,-1.06264,-0.1988,-0.19122,-4.10689,-2.28732
"41","2020_Q4",4.23796875,"Down",12266000,-8549000,3717000,-4540000,-4540000,-823000,-86000,-88000,2000,-909000,-909000,99000,-810000,-810000,-810000,-810000,638000,638000,5019000,1071000,1261000,7989000,268000,17620000,2670000,17888000,25877000,13666000,2253000,11413000,4587000,19253000,1350000,20603000,39816000,-33954000,-588000,5274000,5274000,25877000,-810000,1060000,370000,-40000,580000,-158000,-158000,-642000,-642000,-220000,-220000,-25000,-245000,237000,5937000,-60000,0.30303,-0.0671,-0.06604,-0.15358,-0.0313,0.07407,0.41495,3.90652,0.22943,-0.48843,-0.48843,7.39633,3.18019,-0.03618,-0.07225,-0.00535,22.35865,-6.43864
"42","2021_Q1",7.82688524590164,"Up",9144000,-6553000,2591000,-5047000,-5047000,-2456000,-1046000,-249000,-797000,-3502000,-2942000,-21000,-2963000,-2963000,-2963000,-2963000,379000,379000,3600000,1630000,1332000,6941000,732000,16678000,2689000,17410000,24351000,15358000,4701000,10657000,4239000,19597000,2388000,21985000,39871000,-36917000,-588000,2366000,2366000,24351000,-2963000,1018000,-412000,2782000,425000,-541000,-541000,-143000,-143000,-259000,-259000,0,-259000,-1438000,6627000,824000,0.28336,-0.26859,-0.32404,-1.25232,-0.12168,-0.2781,0.35419,9.29205,0.27214,-1.62109,-1.62109,5.0028,1.29447,0.45082,-0.32948,0.09163,-4.34492,-2.54397
"43","2021_Q2",7.64571428571429,"Down",8672000,-7251000,1421000,-3530000,-3530000,-2109000,-73000,-73000,-601571.937097724,-2182000,5e+05,2000,502000,502000,502000,502000,5060000,5060000,3518000,1007000,930000,10515000,991000,15799000,2768000,16790000,27305000,14973000,4667000,10306000,1482000,17455000,1360000,18815000,45535000,-36415000,-630000,8490000,8490000,27305000,502000,1045000,-2573000,684000,-342000,-346000,-346000,-144000,5411000,4723000,4723000,-42000,4681000,-1064000,2842000,-728000,0.16386,-0.2432,0.05789,0.05913,0.01838,-1.4502,0.60241,2.21614,0.10408,0.27104,0.27104,4.68213,4.58387,-0.39306,0.0443,-0.06424,2.08459,1.05168
"44","2021_Q3",6.9346875,"Down",8606000,-6863000,1743000,-4595000,-4595000,-2852000,-103000,-125000,22000.0000000005,-2955000,-4774000,-205000,-4979000,-4979000,-4979000,-4979000,3710000,3710000,3804000,1327000,1049000,9890000,2111000,15455000,3412000,17566000,27456000,16993000,6025000,10968000,1670000,19663000,4195000,23858000,45622000,-41394000,-630000,3598000,3598000,27456000,-4979000,1045000,-59999.9999999995,2029000,-1965000,-1177000,-1177000,7320000,1792000,-1350000,-1350000,0,-1350000,-1807000,5015000,-750000,0.20253,-0.3314,-0.57855,-1.38382,-0.18134,0.15063,0.50298,6.63091,0.18266,-1.91366,-1.91366,3.30768,1.38287,-0.28826,-0.52615,-0.07926,-0.72219,-0.45757
"45","2021_Q4",5.38921875,"Down",12113000,-9032000,3081000,-3925000,-3925000,-844000,-102000,-125000,23000,-946000,-935000,-33000,-968000,-968000,-968000,-968000,2820000,2820000,5531000,1152000,1207000,10710000,2134000,14766000,3720000,16900000,27610000,17518000,5433000,12085000,2071000,20589000,4297000,24886000,45716000,-42362000,-630000,2724000,2724000,27610000,-968000,1046000,83000,-1339000,-1178000,-72000,-72000,360000,360000,-890000,-890000,0,-890000,202000,5688000,-1176000,0.25435,-0.06968,-0.07991,-0.35536,-0.03506,1.21488,0.52018,9.13583,0.20601,-0.37205,-0.37205,4.65557,1.04696,-0.45199,-0.10647,-0.12934,14.19802,-3.3981
"46","2022_Q1",3.21693548387097,"Down",10631000,-8008000,2623000,-3807000,-3807000,-1184000,-435000,-450000,15000,-1619000,-11405000,-37000,-11442000,-11442000,-11442000,-11442000,705000,705000,4220000,1209000,1423000,7557000,2113000,5495000,5227000,7608000,15165000,16520000,5266000,11254000,2853000,19373000,4468000,23841000,45745000,-53804000,-617000,-8676000,-8676000,15165000,-11442000,1056000,9824000,-1245000,-1807000,-126000,-126000,-5739000,-195000,-2128000,-2128000,13000,-2115000,-128000,6641000,-1462000,0.24673,-0.11137,-1.07629,1.31881,-0.7545,0.12777,0.39008,-2.74793,0.43792,-6.1777,-6.1777,5.73983,-4.68429,-0.78935,8.44428,1.07897,-46.375,-5.01351
"47","2022_Q2",2.72725806451613,"Down",9324000,-7471000,1853000,-2945000,-2945000,-1092000,-166000,-192000,26000,-1258000,1214000,-3000,1211000,1211000,1211000,1211000,2313000,2313000,4830000,1249000,1231000,9623000,2161000,4751000,4537000,6912000,16535000,18001000,6778000,11223000,1557000,19558000,4487000,24045000,45749000,-52601000,-658000,-7510000,-7510000,16535000,1211000,133000,-745000,1456000,2055000,-127000,-127000,-279000,-279000,1649000,1649000,-41000,1608000,-959000,5704000,373000,0.19873,-0.11712,0.12988,-0.16125,0.07324,0.30801,0.49202,-3.20173,0.34497,0.42831,0.42831,3.29772,-2.65614,0.13192,-0.82606,-0.25443,-3.53597,-3.10531
"48","2022_Q3",2.78703125,"Up",10538000,-8889000,1649000,-2908000,-2908000,-1259000,235000,-98000,333000,-1024000,10691000,-4000,10687000,10687000,10687000,10687000,1181000,1181000,4273000,494000,881000,6829000,2676000,17444000,17099000,20690000,27519000,16942000,5839000,11103000,1943000,18885000,5416000,24301000,45749000,-41914000,-617000,3218000,3218000,27519000,10687000,137000,-11738000,348000,-566000,-783000,-783000,176000.000000001,176000,-1173000,-1173000,41000,-1132000,-1122000,6416000,-1553000,0.15648,-0.11947,1.01414,3.32101,0.38835,-0.14532,0.36161,7.55158,0.23315,3.77978,3.77978,3.72709,1.13814,-0.54927,1.0104,-0.14683,-4.66578,-4.15806
