"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",23.5944262295082,"Up",54489000,-36645000,17844000,-13509000,-12483000,-1026000,4335000,-858000,-445000,-411000,3477000,-348000,-1613000,-1961000,-1961000,-1961000,-1961000,8983000,8983000,49468000,49468000,35742000,5763000,5763000,99956000,59872000,121339000,-61467000,13255000,12861000,296000,73127000,173083000,39739000,19826000,2939000,16679000,5888000,5888000,45627000,21676000,573000,21103000,21676000,67303000,76887000,60074000,-30819000,105780000,105780000,173083000,-1961000,2502000,5675000,13000,6229000,-2889000,-2887000,-4e+06,141000,-4158000,-816000,-816000,938000,122000,6837000,-2.91038304567337e-11,5574000,0.32748,0.07956,-0.03599,-0.01854,-0.01133,-2.84243,2.19072,0.63625,1.0842021724855e-19,-0.1363,-0.1363,3.78736,7.35245,0.38743,-0.01308,0.04373,-1.31388,-2.0722
"31","2018_Q2",38.12203125,"Up",67313000,-44560000,22753000,-14194000,-13389000,-805000,8559000,-842000,-465000,-377000,7717000,4470000,-550000,3920000,3920000,3920000,3920000,10768000,10768000,57201000,57201000,46458000,10764000,10764000,125191000,60956000,124577000,-63621000,12272000,12121000,151000,73228000,198419000,49162000,22901000,4603000,21363000,5215000,5215000,54377000,32685000,265000,32420000,32685000,87062000,77642000,63634000,-29214000,111357000,111357000,198419000,3920000,2375000,466000,-9739000,-2978000,-5302000,-5302000,11176000,-343000,10538000,2258000,2258000,-473000,1785000,10934000,0,-3557000,0.33802,0.12715,0.05824,0.0352,0.01976,-0.9074,2.30228,0.78183,0,0.27128,0.27128,4.65837,7.70641,-0.24616,0.02926,-0.02469,-0.98482,-1.25809
"32","2018_Q3",42.0704761904762,"Up",80915000,-54140000,26775000,-16329000,-15538000,-791000,10446000,-463000,-136000,-327000,9983000,9766000,-3394000,6372000,6372000,6372000,6372000,6629000,6629000,62821000,62821000,53709000,6411000,6411000,129570000,70527000,133976000,-63449000,10685000,10528000,157000,81212000,210782000,56027000,27753000,6557000,21420000,2355000,2355000,58382000,38171000,606000,37565000,38171000,96553000,78838000,69706000,-33570000,114229000,114229000,210782000,6372000,2392000,1702000,-9067000,1399000,-10899000,-10899000,5449000,190000,5210000,-4290000,-4290000,151000,-4139000,12838000,-4.65661287307739e-10,-3734000,0.3309,0.1291,0.07875,0.05578,0.03023,-0.586,2.21935,0.84526,1.73472347597681e-18,0.43844,0.43844,5.56759,7.85985,-0.25693,0.04377,-0.0245,-0.51636,-0.6346
"33","2018_Q4",35.8842857142857,"Down",87883000,-58155000,29728000,-15819000,-15050000,-769000,13909000,-830000,-495000,-335000,13079000,7990000,-3080000,4910000,4910000,4910000,4910000,11098000,11098000,65618000,65618000,56496000,6664000,6664000,139876000,79782000,144697000,-64915000,9861000,9515000,346000,89643000,229519000,60816000,25068000,9299000,26151000,4310000,4310000,65126000,45003000,849000,44154000,45003000,110129000,79693000,74318000,-33806000,119390000,119390000,229519000,4910000,2397000,942000,-125000,8124000,-10373000,-10373000,6887000,-68000,6342000,4093000,4093000,376000,4469000,16306000,0,8888000,0.33827,0.15827,0.05587,0.04113,0.02139,1.81018,2.14778,0.92243,0,0.33692,0.33692,6.03047,8.19246,0.60989,0.03168,0.05407,-0.68061,-0.7979
"34","2019_Q1",40.0522950819672,"Up",90318000,-58879000,31439000,-17815000,-17236000,-579000,13624000,-682000,-519000,-163000,12942000,12381000,2890000,15271000,15271000,15271000,15271000,13375000,13375000,59709000,59709000,51074000,8058000,8058000,132216000,95140000,160725000,-65585000,13062000,8589000,472000,108202000,240418000,60300000,24243000,9545000,26217000,1140000,1140000,64565000,3337000,379000,2958000,41567000,106132000,80826000,89291000,-35014000,134286000,134286000,240418000,15271000,2356000,-2356000,5822000,21093000,-18521000,-18521000,-140000.000000001,210000,-232000,2340000,2340000,-63000.0000000001,2277000,15980000,41355000,391000,0.34809,0.15084,0.16908,0.11372,0.06352,0.0256000000000001,2.0478,0.79034,0.17201,1.04864,1.0231,6.20202,9.22124,0.02685,0.08699,0.00218000000000001,1.75094,2.05373
"35","2019_Q2",65.5644444444444,"Up",100135000,-63730000,36405000,-15875000,-15477000,-398000,20530000,-394000,-373000,-21000,20136000,20058000,-4888000,15170000,15170000,15170000,15170000,14874000,14874000,73252000,73252000,50851000,7015000,7015000,145992000,99911000,166487000,-66576000,20203000,7882000,8478000,120114000,266106000,59186000,29747000,5367000,23773000,4612000,4612000,66923000,10033000,880000,9153000,50272000,117195000,81877000,104162000,-35433000,148911000,148911000,266106000,15170000,2196000,1639000,-12008000,6997000,-6397000,-6397000,1969000,-853000,818000,1418000,1418000,81000,1499000,22726000,43364000,9209000,0.36356,0.20502,0.1515,0.10187,0.05701,0.60705,2.18149,0.78701,0.16296,1.03861,1.03396,6.85572,10.19516,0.63049,0.07646,0.04552,1.25363,1.38773
"36","2019_Q3",49.715,"Down",110954000,-68881000,42073000,-17096000,-16699000,-397000,24977000,-66000,-409000,343000,24911000,24587000,-7343000,17244000,17244000,17244000,17244000,14881000,14881000,76800000,76800000,59980000,6650000,6650000,158311000,105232000,169178000,-63946000,21641000,7375000,10610000,126873000,285184000,63115000,36179000,9419000,17218000,4092000,4092000,70332000,18607000,458000,18149000,51351000,121683000,83609000,121107000,-33895000,163501000,163501000,285184000,17244000,2554000,2253000,-5746000,16305000,-8628000,-8628000,-7530000,255000,-7575000,102000,102000,-95000.0000000001,7000,27531000,35869000,20500000,0.37919,0.22511,0.15542,0.10547,0.06047,1.18882,2.25091,0.74423,0.12577,1.1776,1.14746,7.57707,11.16552,1.39995,0.08049,0.09405,0.76234,0.84029
"37","2019_Q4",44.0796875,"Down",100094000,-63870000,36224000,-17505000,-17111000,-394000,18719000,-217000,-387000,170000,18502000,12604000,-5689000,6915000,6915000,6915000,6915000,12183000,12183000,71689000,71689000,58923000,9206000,9206000,152001000,103670000,168614000,-64944000,20144000,6251000,10462000,123814000,275815000,56454000,24306000,10427000,19855000,4379000,4379000,63958000,19771000,1469000,18302000,44781000,108739000,84954000,126156000,-36591000,167076000,167076000,275815000,6915000,2617000,8449000,-6187000,11794000,-6094000,-6094000,-5438000,-123000,-8203000,-2503000,-2503000,-195000,-2698000,21336000,28135000,14744000,0.3619,0.18701,0.06909,0.04139,0.02507,2.13218,2.37658,0.65084,0.10201,0.47626,0.47038,6.89375,11.50698,1.01546,0.03355,0.06858,0.74766,0.85218
"38","2020_Q1",35.7604838709677,"Down",86367000,-56146000,30221000,-16519000,-16164000,-355000,13702000,-1046000,-385000,-661000,12656000,-547000.000000004,-4741000,-5288000,-5288000,-5288000,-5288000,20353000,20353000,60855000,60855000,53728000,9417000,9417000,144353000,108234000,174741000,-66507000,24834000,5880000,15118000,133068000,277421000,63846000,34758000,9651000,17571000,4452000,4452000,71423000,22710000,3786000,18924000,33857000,105280000,86395000,119002000,-25803000,172141000,172141000,277421000,-5288000,2493000,17363000,14930000,29498000,-4828000,-4828000,-6130000,175000,-15602000,9068000,9068000,-898000,8170000,16195000,14272000,31038000,0.34991,0.15865,-0.06123,-0.03072,-0.01906,-5.86952,2.0211,0.61159,0.05145,-0.36345,-0.37184,5.93609,11.83143,2.13327,-0.01636,0.14842,-0.37549,-0.4438
"39","2020_Q2",27.5955555555556,"Down",73564000,-49094000,24470000,-17007000,-16653000,-354000,7463000,-123000,-238000,115000,7340000,6224000,-2069000,4155000,4155000,4155000,4155000,16451000,16451000,51011000,51011000,61445000,9534000,9534000,138441000,106817000,173538000,-66721000,23682000,5199000,14581000,130499000,268940000,53983000,29020000,8666000,14414000,5985000,5985000,63093000,21752000,3692000,18060000,32158000,95251000,87595000,121224000,-26643000,173689000,173689000,268940000,4155000,2706000,2127000,-4068000,4920000,-5121000,-5121000,-781000,-1034000,-3681000,-3882000,-3882000,-20000,-3902000,10169000,13531000,3049000,0.33264,0.10145,0.05648,0.02392,0.01545,0.73381,2.19424,0.5484,0.05031,0.28271,0.28231,5.00532,11.81786,0.20745,0.02881,0.01459,-0.28715,-0.39126
"40","2020_Q3",31.58234375,"Up",43202000,-36602000,6600000,-12546000,-12193000,-353000,-5946000,-239000,-156000,-83000.0000000001,-6185000,-8231000,2583000,-5648000,-5648000,-5648000,-5648000,17248000,17248000,33684000,33684000,59760000,8419000,8419000,119111000,106453000,175832000,-69379000,26453000,4784000,17512000,132906000,252017000,39694000,21473000,5727000,12494000,7072000,7072000,49891000,22248000,2747000,19501000,31843000,81734000,89266000,115576000,-26038000,170283000,170283000,252017000,-5648000,2717000,2332000,6807000,6208000,-2341000,-2341000,-781000,229000,-2519000,1348000,1348000,-551000,797000.000000002,-3229000,12720000,-1346000,0.15277,-0.13763,-0.13073,-0.03317,-0.02241,0.238309999999999,2.38742,0.47999,0.05047,-0.38177,-0.38231,2.92021,11.51015,-0.09098,-0.01834,-0.00656,1.40229,0.76152
"41","2020_Q4",39.43140625,"Up",55282000,-41685000,13597000,-11987000,-11618000,-369000,1610000,-320000,-170000,-150000,1290000,1147000,-139000,1008000,1008000,1008000,1008000,24604000,24604000,34424000,34424000,56958000,9831000,9831000,125817000,107402000,177420000,-70018000,26064000,4383000,17611000,133466000,259283000,43954000,22123000,7080000,14751000,6999000,6999000,54078000,26387000,3181000,23206000,35254000,89332000,90834000,116584000,-25285000,169951000,169951000,259283000,1008000,2820000,2428000,3970000,10226000,-2200000,-2200000,-782000,-52000,-838000,7188000,7188000,168000,7356000,4430000,11992000,6339000,0.24596,0.02912,0.01823,0.00593,0.00389,6.28869,2.32658,0.52563,0.04625,0.06817,0.06817,3.73884,11.49415,0.42872,0.00484,0.03043,-2.84695,-7.83354
"42","2021_Q1",57.3888524590164,"Up",57113000,-44927000,12186000,-12922000,-12549000,-373000,-736000,-282000,-167000,-115000,-1018000,-1100000,173000,-927000,-926999.999999999,-927000.000000001,-927000.000000001,53923000,28187000,31366000,31366000,52573000,5448000,5448000,143310000,109411000,180278000,-70867000,26924000,3665000,18677000,136335000,279645000,37314000,17574000,7279000,12461000,6669000,6669000,47108000,27484000,2254000,25230000,35623000,82731000,118183000,115657000,-22962000,196914000,196914000,279645000,-927000.000000001,2838000,316000,6781000,9008000,-4155000,-29895000,2344000,25138000,24355000,3468000,3468000,115000,3583000,2102000,11264000,4555000,0.21337,-0.01289,-0.01623,-0.00471000000000001,-0.00331,-4.9137,3.04216,0.42014,0.04028,-0.06228,-0.06228,3.83721,13.22991,0.30603,-0.00393,0.01933,-20.29448,57.9606
"43","2021_Q2",54.991746031746,"Down",55658000,-42745000,12913000,-13496000,-13172000,-324000,-583000,259000,-135000,394000,-324000,-451000,883000,432000,432000,432000,432000,66780000,45837000,35609000,35609000,57944000,7855000,7855000,168188000,106800000,178752000,-71952000,29829000,2927000,21029000,136629000,304817000,49663000,27336000,7975000,14352000,8710000,8710000,58373000,28014000,1211000,26803000,28014000,86387000,144914000,116089000,-24929000,218430000,218430000,304817000,432000,3022000,-831000,-447000,2176000,-1084000,3715000,-11750000,22827000,11077000,16968000,16968000,682000,17650000,2439000,0,25000,0.23201,-0.01047,0.00776,0.00198,0.00142,0.05787,2.88126,0.39549,0,0.02796,0.02794,3.60174,14.13503,0.00162,0.00175,1e-04,-27.38007,114.54545
"44","2021_Q3",43.3328125,"Down",65438000,-48467000,16971000,-14303000,-14015000,-288000,2668000,26999.9999999999,-81000,108000,2695000,2695000,-971000,1724000,1724000,1724000,1724000,181294000,36363000,43027000,43027000,62478000,10577000,10577000,297376000,105589000,172409000,-66820000,31381000,2391000,22893000,136970000,434346000,47545000,25122000,8696000,13727000,11665000,11665000,59210000,29099000,1153000,27946000,29099000,88309000,270340000,117813000,-24456000,346037000,346037000,434346000,1724000,3120000,1506000,-14547000,-8197000,-1164000,-125148000,0,123698000,123698000,-9647000,-9647000,173000,-9474000,5788000,-1.86264514923096e-09,-8952000,0.25934,0.04077,0.02635,0.00498,0.00397,-5.19258,5.02239,0.2552,0,0.11156,0.11149,4.23462,22.39272,-0.5793,0.0046,-0.02386,-31.32239,-67.95127
"45","2021_Q4",39.85265625,"Down",67175000,-50513000,16662000,-15525000,-15314000,-211000,1137000,-212000,-14000,-198000,925000,925000,-522000,403000,403000,403000,403000,181952000,37020000,39347000,39347000,62172000,9974000,9974000,293445000,105137000,172039000,-66902000,37793000,1829000,30217000,142930000,436375000,48581000,24436000,8101000,16044000,11407000,11407000,59988000,31487000,1373000,30114000,31487000,91475000,271958000,118216000,-25803000,344900000,344900000,436375000,403000,3081000,2180000,-1549000,4115000,-3081000,-3081000,0,-25000,-25000,1009000,1009000,-352000,657000,4218000,0,110000,0.24804,0.01693,0.006,0.00117,0.00092,0.27295,4.89173,0.26522,0,0.02338,0.02336,3.89662,20.00661,0.00638,0.00107,0.00029,-43.13703,-160.02814
"46","2022_Q1",36.2672580645161,"Down",71844000,-58910000,12934000,-16850000,-16282000,-568000,-3916000,-226000,-74000,-152000,-4142000,-5723000,2154000,-3569000,-3569000,-2761000,-2761000,30810000,30810000,71932000,71932000,124214000,12240000,12240000,239196000,122078000,191022000,-68944000,503138000,255576000,99366000,625216000,864412000,63636000,40276000,9000,23351000,27178000,27178000,105814000,68452000,2202000,66250000,200877000,306691000,295511000,111031000,-26538000,360525000,557721000,864412000,-3569000,3471000,2044000,-12852000,-10906000,-2311000,-143292000,161750000,172000.000000015,147835000,-6363000,-6363000,153000,-6210000,-445000,147425000,-17762000,0.18003,-0.05451,-0.03843,-0.00495,-0.00319,6.43318,2.26053,0.5499,0.17055,-0.11903,-0.11898,3.09737,15.54309,-0.76576,-0.00357,-0.02296,-262.05618,-29.77911
"47","2022_Q2",24.5488709677419,"Down",138716000,-101810000,36906000,-40784000,-27808000,-12976000,-3878000,-1233000,-1024000,-209000,-5111000,-5143000,863000,-4280000,-4280000,-3288000,-3288000,15376000,15376000,79782000,79782000,143304000,17354000,17354000,255816000,120479000,192161000,-71682000,487629000,242568000,96448000,608108000,863924000,72949000,48114000,834000,24001000,33239000,33239000,121188000,65335000,937000,64398000,194045000,315233000,297778000,102026000,-27742000,351495000,548691000,863924000,-4280000,16335000,75000,-16714000,-4584000,-1536000,-1536000,-3750000,-1088000,-9335000,-15455000,-15455000,21000,-15434000,12457000,143710000,-6656000,0.26605,-0.02796,-0.0237,-0.00599,-0.00381,2.02433,2.1109,0.57452,0.16635,-0.17035,-0.17035,7.18694,18.21111,-0.34485,-0.00434,-0.00878,10.30216,-33.09283
"48","2022_Q3",20.3028125,"Down",165831000,-113732000,52099000,-42154000,-29361000,-12793000,9945000,-1209000,-1263000,54000,8736000,8723000,-2264000,6459000,6459000,5552000,5552000,11819000,11819000,92998000,92998000,152023000,11888000,11888000,268728000,124829000,198920000,-74091000,469998000,229365000,98075000,594827000,863555000,66917000,45179000,289000,21449000,39493000,39493000,121410000,64877000,2019000,62858000,189894000,311304000,299911000,106043000,-30329000,355055000,552251000,863555000,6459000,16471000,5197000,-21007000,7120000,-4783000,-4143000,-3750000,-6000,-6435000,-3458000,-3458000,-99000,-3557000,26416000,140017000,2890000,0.31417,0.05997,0.03348,0.01005,0.00643,0.52053,2.21339,0.5637,0.16214,0.28656,0.28656,8.55915,18.32569,0.14916,0.00733,0.00382,4.85304000000001,12.8907
