"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","fed_funds_sold_repos","other_interbank_assets","short_long_term_investments","trading_securities","investment_securities_available_for_sale","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","property_plant_equipment_net","other_assets","total_assets","total_deposits","short_term_debt","securities_sold_under_repo","trading_account_liabilities","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","deferred_income_taxes","change_in_working_capital","trading_assets_liabilities","net_change_in_operating_loans","accrued_interest_receivable","other_operating_assets_liabilities","net_cash_from_operating_activities","net_change_in_investments","decrease_in_investments","increase_in_investments","net_change_in_loans_interbank","net_change_in_interbank_assets","net_change_in_other_loans","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","net_change_in_interbank_transfers","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",65.074126984127,"Up",2.4673e+10,1.1603e+10,1.407e+10,-2.467e+09,1.307e+10,3.451e+09,6.4e+07,7.571e+09,1.984e+09,-1.271e+09,2.3402e+10,-1.4463e+10,-1.4463e+10,8.939e+09,8.939e+09,8.939e+09,-2.653e+09,6.286e+09,6.286e+09,6.286e+09,-4.75e+08,5.811e+09,2.139e+10,6.28837e+11,2.32637e+11,3.962e+11,7.56435e+11,3.74837e+11,2.72401e+11,1.09197e+11,8.7385e+11,-1.4204e+10,8.88054e+11,1.4208e+10,1.4208e+10,2.25422e+11,2.521029e+12,1.376138e+12,3.24018e+11,1.68491e+11,1.43269e+11,3.09418e+11,2.57124e+11,2.266698e+12,2.6068e+10,9.6208e+10,4.105e+09,9.2103e+10,-2.7268e+10,1.5787e+11,1.453e+09,2.54331e+11,2.54331e+11,2.521029e+12,6.286e+09,1.407e+09,1.271e+09,6.97e+08,2.74e+08,-5.469e+09,-1.6981e+10,1.744e+09,6.76e+08,9.092e+09,4.192e+09,5.953e+09,3.0718e+10,-2.4765e+10,-6.4977e+10,-4.6029e+10,-1.8948e+10,-1.014e+09,-6.0038e+10,-2.069e+09,1.8596e+10,-7.8e+08,2.451e+09,1.6925e+10,-1.9032e+10,3.5957e+10,-2.295e+09,-2.295e+09,4.5156e+10,-1.848e+09,5.754e+10,1.694e+09,1.694e+09,-1.4e+07,1.68e+09,1.0346e+10,6.33436e+11,0.3623,0.23552,0.02285,0.00231,8.91239,0.25126,1.61533,1.601,6.85856,63.45222,0.57514,0.00313,0.35605,59.15774,68.46918
"28","2017_Q1",75.7020967741935,"Up",2.3376e+10,1.1753e+10,1.4466e+10,-2.713e+09,1.1623e+10,2.46e+09,4999999.99999999,7.289e+09,1.869e+09,-8.64e+08,2.2512e+10,-1.3833e+10,-1.3833e+10,8.679e+09,8.679e+09,8.679e+09,-1.952e+09,6.727e+09,6.727e+09,6.727e+09,-7.28e+08,5.999e+09,2.3873e+10,5.95729e+11,2.29967e+11,3.65762e+11,7.57598e+11,3.7213e+11,2.89059e+11,9.6409e+10,8.80989e+11,-1.3776e+10,8.94765e+11,1.4131e+10,1.4131e+10,2.1779e+11,2.490972e+12,1.375179e+12,3.14063e+11,1.65666e+11,1.36659e+11,2.95245e+11,2.52295e+11,2.236782e+12,2.6068e+10,9.5732e+10,4.105e+09,9.1627e+10,-2.8854e+10,1.6244e+11,-1.196e+09,2.5419e+11,2.5419e+11,2.490972e+12,6.727e+09,1.446e+09,8.64e+08,4.175e+09,3.8e+09,2.5699e+10,1.8753e+10,-48000000.000001,1.1916e+10,-4.922e+09,3.8911e+10,-2.5506e+10,3.1695e+10,-5.7201e+10,2.3894e+10,3.3018e+10,-9.124e+09,-1.235e+09,-2847000000.00001,-2.287e+09,-1.1628e+10,-1.992e+09,-2.79e+09,-6.846e+09,-1.7895e+10,1.1049e+10,-2.251e+09,-2.251e+09,-1.6029e+10,-1.233e+09,-3.3428e+10,2.636e+09,2.636e+09,-1.53e+08,2.483e+09,1.0125e+10,6.09308e+11,0.37128,0.25663,0.0236,0.00241,8.79965,0.24461,1.69934,191.66134,6.62172,64.62013,0.64784,0.00333,0.38123,57.82074,67.4542
"29","2017_Q2",74.464126984127,"Down",2.4675e+10,1.2064e+10,1.5042e+10,-2.978e+09,1.2611e+10,3.582e+09,-3e+06,7.348e+09,1.684e+09,-1.315e+09,2.336e+10,-1.5019e+10,-1.5019e+10,8.341e+09,8.341e+09,8.341e+09,-1.893e+09,6.448e+09,6.448e+09,6.448e+09,-4.73e+08,5.975e+09,2.0484e+10,6.30477e+11,1.90566e+11,4.39911e+11,7.76672e+11,4.02513e+11,2.8185e+11,9.2309e+10,8.82561e+11,-1.3413e+10,8.95974e+11,1.4227e+10,1.4227e+10,2.21022e+11,2.54629e+12,1.422999e+12,3.33712e+11,1.83316e+11,1.35488e+11,2.89492e+11,2.44224e+11,2.290427e+12,2.6068e+10,9.45e+10,4.105e+09,9.0395e+10,-3.0424e+10,1.66663e+11,-9.44e+08,2.55863e+11,2.55863e+11,2.54629e+12,6.448e+09,1.464e+09,1.315e+09,1.233e+09,6.29e+08,-3.0496e+10,-2.4995e+10,-3.332e+09,-7.767e+09,5.598e+09,-2.0036e+10,8.05e+09,2.8466e+10,-2.0416e+10,-3.5063e+10,-3.4769e+10,-2.94e+08,-2.4e+07,-2.7037e+10,-2.045e+09,1.2452e+10,4.308e+09,1.7655e+10,-9.511e+09,-2.6049e+10,1.6538e+10,-2.832e+09,-2.832e+09,3.593e+10,1e+08,4.3605e+10,-3.468e+09,-3.468e+09,7.9e+07,-3.389e+09,9.805e+09,6.23204e+11,0.33803,0.24215,0.02335,0.00235,8.95177,0.24475,1.65894,208.18815,6.85093,63.80182,0.56779,0.00315,0.34226,61.47068,72.25992
"30","2017_Q3",80.0226984126984,"Up",2.5995e+10,1.2208e+10,1.565e+10,-3.442e+09,1.3787e+10,3.137e+09,-3.4e+07,8.042e+09,2.642e+09,-1.215e+09,2.478e+10,-1.5031e+10,-1.5031e+10,9.749e+09,9.749e+09,9.749e+09,-2.72e+09,7.029e+09,7.029e+09,7.029e+09,-4.73e+08,6.556e+09,2.1781e+10,6.4595e+11,2.1857e+11,4.2738e+11,7.61176e+11,4.07064e+11,2.63458e+11,9.0654e+10,8.95404e+11,-1.3363e+10,9.08767e+11,1.4206e+10,1.4206e+10,2.2383e+11,2.563174e+12,1.439473e+12,3.21251e+11,1.65621e+11,1.33423e+11,2.92973e+11,2.50994e+11,2.304691e+12,2.6068e+10,9.4709e+10,4.105e+09,9.0604e+10,-3.3369e+10,1.71488e+11,-4.13e+08,2.58483e+11,2.58483e+11,2.563174e+12,7.029e+09,1.504e+09,1.215e+09,-2.31e+08,-7.9e+08,-7.967e+09,-4.901e+09,-1.734e+09,-4.173e+09,2.841e+09,1.55e+09,2.1079e+10,4.6276e+10,-2.5197e+10,2.9923e+10,4.6133e+10,-1.621e+10,5.74e+08,5.1576e+10,-2.341e+09,-6.486e+09,1.3914e+10,-1.7698e+10,-2.702e+09,-2.1694e+10,1.8992e+10,-3.007e+09,-3.007e+09,1.7192e+10,-1.052e+09,4305999999.99998,5.7432e+10,5.7432e+10,5.329e+09,6.2761e+10,1.1253e+10,6.14224e+11,0.37503,0.2522,0.02536,0.00256,8.91622,0.23963,1.83431,1.82161999999997,7.27316,65.02756,0.65499,0.00347,0.35708,52.64756,60.76962
"31","2017_Q4",88.3436507936508,"Up",2.5578e+10,1.2798e+10,1.6687e+10,-3.889e+09,1.278e+10,2.721e+09,-1e+06,7.866e+09,2.194e+09,-1.452e+09,2.4126e+10,-1.457e+10,-1.457e+10,9.556e+09,9.556e+09,9.556e+09,-2.824e+09,6.732e+09,6.732e+09,6.732e+09,-4.77e+08,6.255e+09,2.1994e+10,6.21264e+11,1.85454e+11,4.3581e+11,7.85386e+11,4.20418e+11,2.63288e+11,1.0168e+11,9.00222e+11,-1.3539e+10,9.13761e+11,1.4218e+10,1.4218e+10,2.19182e+11,2.563074e+12,1.439027e+12,3.22176e+11,1.69393e+11,1.28535e+11,2.88582e+11,2.54907e+11,2.304692e+12,2.6068e+10,9.4802e+10,4.105e+09,9.0697e+10,-3.7985e+10,1.75827e+11,-3.3e+08,2.58382e+11,2.58382e+11,2.563074e+12,6.732e+09,1.579e+09,1.452e+09,4.66e+08,-2.6e+07,-1.5124e+10,-2.9646e+10,4.414e+09,2.145e+09,7.963e+09,-4.895e+09,1.244e+09,2.9942e+10,-2.8698e+10,2.1818e+10,3.3099e+10,-1.1281e+10,1.05e+08,2.3167e+10,-2.092e+09,-2.85e+09,7.84e+08,3.774e+09,-7.408e+09,-1.8189e+10,1.0781e+10,-4.763e+09,-4.763e+09,-1.77e+09,-3.1e+07,-1.1506e+10,6.766e+09,6.766e+09,1.864e+09,8.63e+09,1.1135e+10,6.10758e+11,0.3736,0.24455,0.02421,0.00244,8.91971,0.23829,1.7696,1.75722,7.23626,65.72382,0.59185,0.00326,0.33445,52.87508,61.61197
"32","2018_Q1",99.3095081967213,"Up",2.4457e+10,1.3027e+10,1.6993e+10,-3.966e+09,1.143e+10,1.907e+09,-2.8e+07,7.992e+09,1.559e+09,-1.308e+09,2.3149e+10,-1.4895e+10,-1.4895e+10,8.254e+09,8.254e+09,8.254e+09,-4.022e+09,4.232e+09,4.232e+09,4.232e+09,-4.51e+08,3.781e+09,2.5898e+10,6.03828e+11,1.98422e+11,4.05406e+11,7.36914e+11,3.81844e+11,2.49958e+11,1.05112e+11,9.17093e+11,-1.3604e+10,9.30697e+11,1.4159e+10,1.4159e+10,2.35708e+11,2.5336e+12,1.443982e+12,2.82579e+11,1.58916e+11,1.23663e+11,2.8408e+11,2.67266e+11,2.277907e+12,2.6068e+10,9.4684e+10,4.105e+09,9.0579e+10,-4.2595e+10,1.77676e+11,-1.4e+08,2.55693e+11,2.55693e+11,2.5336e+12,4.232e+09,1.632e+09,1.308e+09,2.98e+09,2.499e+09,2401999999.99999,3.0306e+10,-706000000.000001,-6.073e+09,-2.1125e+10,1.2554e+10,1.285e+10,4.6197e+10,-3.3347e+10,-3.1089e+10,-1.3015e+10,-1.8074e+10,-1.218e+09,-1.9457e+10,-2.515e+09,-2.0123e+10,-2.466e+09,-1.047e+10,-7.187e+09,-1.7147e+10,9.96e+09,-4.808e+09,-6.066e+09,5.67e+09,13000000.0000002,-2.1763e+10,-2.8666e+10,-2.8666e+10,8.14e+08,-2.7852e+10,9.886e+09,5.66659e+11,0.33749,0.1546,0.01479,0.00149,8.90876,0.22366,1.08155,0.53104999999999,6.99591,65.68409,0.71941,0.00249,0.66517,54.69968,65.51502
"33","2018_Q2",96.69015625,"Down",2.7907e+10,1.3312e+10,1.7695e+10,-4.383e+09,1.4595e+10,3.952e+09,-2.45e+08,7.987e+09,2.901e+09,-1.165e+09,2.6742e+10,-1.608e+10,-1.608e+10,1.0662e+10,1.0662e+10,1.0662e+10,-1.95e+09,8.712e+09,8.712e+09,8.712e+09,-4.74e+08,8.238e+09,2.4834e+10,6.37586e+11,2.47608e+11,3.89978e+11,7.66602e+11,4.12282e+11,2.38188e+11,1.16132e+11,9.21049e+11,-1.3375e+10,9.34424e+11,1.4382e+10,1.4382e+10,2.45332e+11,2.609785e+12,1.486961e+12,3.15628e+11,1.79091e+11,1.36537e+11,2.74449e+11,2.76546e+11,2.353584e+12,2.6068e+10,9.3316e+10,4.105e+09,8.9211e+10,-4.5954e+10,1.83855e+11,-1.084e+09,2.56201e+11,2.56201e+11,2.609785e+12,8.712e+09,1.797e+09,1.165e+09,7.76e+08,-1.75e+08,-4.7559e+10,-3.6423e+10,-1.71e+09,-5.009e+09,-4.417e+09,-3.5109e+10,8.814e+09,2.818e+10,-1.9366e+10,-5.3186e+10,-4.9179e+10,-4.007e+09,-6.49e+08,-4.5021e+10,-2.236e+09,1.9243e+10,1.1029e+10,2.0185e+10,-1.1971e+10,-3.1887e+10,1.9916e+10,-4.671e+09,-4.671e+09,4.9429e+10,-1.176e+09,6.0589e+10,-1.9541e+10,-1.9541e+10,3.049e+09,-1.6492e+10,1.2459e+10,5.90077e+11,0.38205,0.29519,0.03215,0.00316,9.18647,0.2261,2.3821,2.36758,8.06957,66.54512,0.64656,0.00401,0.27143,45.36825,53.01473
"34","2018_Q3",100.603174603175,"Up",2.7753e+10,1.3485e+10,1.8869e+10,-5.384e+09,1.4268e+10,3.782e+09,-8e+07,8.291e+09,2.275e+09,-1.21e+09,2.6543e+10,-1.5971e+10,-1.5971e+10,1.0572e+10,1.0572e+10,1.0572e+10,-2.256e+09,8.316e+09,8.316e+09,8.316e+09,-4.35e+08,7.881e+09,2.368e+10,6.08005e+11,2.26505e+11,3.815e+11,7.6006e+11,4.18799e+11,2.33015e+11,1.08246e+11,9.35164e+11,-1.325e+10,9.48414e+11,1.4132e+10,1.4132e+10,2.49009e+11,2.59005e+12,1.452122e+12,3.25131e+11,1.75293e+11,1.49838e+11,2.73114e+11,2.82225e+11,2.332592e+12,2.6068e+10,9.3497e+10,4.105e+09,8.9392e+10,-5.0829e+10,1.89881e+11,-1.159e+09,2.57458e+11,2.57458e+11,2.59005e+12,8.316e+09,1.927e+09,1.21e+09,6.19e+08,-4.1e+07,2.3613e+10,1.2429e+10,2.26e+08,-3.074e+09,1.4032e+10,3.5685e+10,2.711e+09,1.8224e+10,-1.5513e+10,4.599e+09,2.107e+10,-1.6471e+10,-1.263e+09,6.047e+09,-2.48e+09,2.99e+08,1.122e+09,-3.789e+09,2.966e+09,-1.8284e+10,2.125e+10,-4.968e+09,-4.968e+09,-3.9329e+10,-3.45e+08,-4.6823e+10,-5.091e+09,-5.091e+09,-4.541e+09,-9.632e+09,1.2499e+10,5.98245e+11,0.38093,0.28397,0.03061,0.00304,9.06009,0.23098,2.30762,2.29452,8.12632,67.75299,0.72617,0.004,0.31468,45.96888,54.34781
"35","2018_Q4",95.0611111111111,"Down",2.726e+10,1.3908e+10,1.984e+10,-5.932e+09,1.3352e+10,2.964e+09,-4.6e+07,7.946e+09,2.488e+09,-9.48e+08,2.6312e+10,-1.5623e+10,-1.5623e+10,1.0689e+10,1.0689e+10,1.0689e+10,-2.309e+09,8.38e+09,8.38e+09,8.38e+09,-4.32e+08,7.948e+09,2.3225e+10,6.13504e+11,2.17632e+11,3.95872e+11,7.73659e+11,4.19827e+11,2.31398e+11,1.22434e+11,9.4119e+11,-1.3128e+10,9.54318e+11,1.418e+10,1.418e+10,2.49425e+11,2.615183e+12,1.458762e+12,3.32758e+11,1.81608e+11,1.5115e+11,2.70124e+11,2.94583e+11,2.356227e+12,2.7764e+10,9.3438e+10,4.105e+09,8.9333e+10,-5.498e+10,1.9518e+11,-2.446e+09,2.58956e+11,2.58956e+11,2.615183e+12,8.38e+09,1.992e+09,9.48e+08,4.61e+08,-1.07e+08,1.408e+09,-1.6197e+10,1.463e+09,-3.252e+09,1.9394e+10,1.3189e+10,-4.6e+08,1.9804e+10,-2.0264e+10,-2.73e+08,8.85e+09,-9.123e+09,-7.5e+07,-8.08e+08,-2.273e+09,1.357e+09,8.23e+08,6.323e+09,-5.789e+09,-1.9465e+10,1.3676e+10,-2.761e+09,-4.416e+09,5.174e+09,1.056e+09,2.553e+09,1.4934e+10,1.4934e+10,-1.017e+09,1.3917e+10,1.2681e+10,6.02882e+11,0.39211,0.29156,0.03069,0.00304,9.09895,0.23053,2.3542,2.34157,8.07441,68.47901,0.67326,0.00391,0.28598,45.71067,54.2293
"36","2019_Q1",92.6950819672131,"Down",2.5863e+10,1.4354e+10,1.9696e+10,-5.342e+09,1.1509e+10,1.361e+09,-2.4e+07,7.75e+09,2.422e+09,-1.548e+09,2.4315e+10,-1.5474e+10,-1.5474e+10,8.841e+09,8.841e+09,8.841e+09,-1.775e+09,7.066e+09,7.066e+09,7.066e+09,-4.24e+08,6.642e+09,2.2324e+10,5.78057e+11,3.21588e+11,2.56469e+11,7.87537e+11,4.13714e+11,2.61828e+11,1.11995e+11,9.71109e+11,-1.3445e+10,9.84554e+11,1.4934e+10,1.4934e+10,2.48571e+11,2.622532e+12,1.470666e+12,3.27093e+11,1.8232e+11,1.44773e+11,2.82031e+11,2.86227e+11,2.366017e+12,2.6068e+10,9.3267e+10,4.105e+09,8.9162e+10,-6.0494e+10,1.99202e+11,-1.528e+09,2.56515e+11,2.56515e+11,2.622532e+12,7.066e+09,2.075e+09,1.548e+09,2.582e+09,2.044e+09,-1.1422e+10,1.6553e+10,-8.96e+09,5.486e+09,-2.4501e+10,1.849e+09,-2.9111e+10,2.0205e+10,-4.9316e+10,-1.27528e+11,-1.03942e+11,-2.3586e+10,-2.999e+09,-1.59638e+11,-3.12e+09,1.6341e+10,5.502e+09,695999999.999996,1.0143e+10,-6.677e+09,1.682e+10,-7.583e+09,-7.624e+09,1.1454e+10,7.47e+08,1.7839e+10,-1.3995e+11,-1.3995e+11,-3.54e+08,-1.40304e+11,1.0916e+10,6.09124e+11,0.34184,0.25681,0.02589,0.00253,9.2237,0.23227,1.99101,1.98417,7.7527,69.07884,0.93525,0.00372,0.46974,53.75595,66.37258
"37","2019_Q2",99.9349206349206,"Up",2.9123e+10,1.4453e+10,2.1894e+10,-7.441e+09,1.467e+10,4.076e+09,1.3e+07,7.832e+09,2.749e+09,-1.495e+09,2.7628e+10,-1.6395e+10,-1.6395e+10,1.1233e+10,1.1233e+10,1.1233e+10,-2.054e+09,9.179e+09,9.179e+09,9.179e+09,-4.26e+08,8.753e+09,2.1946e+10,5.79798e+11,2.9914e+11,2.80658e+11,9.23953e+11,5.33402e+11,2.67365e+11,1.23186e+11,9.42712e+11,-1.3533e+10,9.56245e+11,2.416e+10,2.416e+10,2.44619e+11,2.737188e+12,1.493441e+12,3.79584e+11,2.22677e+11,1.56907e+11,2.90893e+11,3.13433e+11,2.477351e+12,2.6993e+10,9.2275e+10,4.105e+09,8.817e+10,-6.4289e+10,2.05437e+11,-5.79e+08,2.59837e+11,2.59837e+11,2.737188e+12,9.179e+09,2.038e+09,1.495e+09,8.73e+08,2.33e+08,-9.4465e+10,-1.20865e+11,7.917e+09,8.69e+08,1.7614e+10,-8.088e+10,-2.772e+09,3.0472e+10,-3.3244e+10,4.0842e+10,2.2459e+10,1.8383e+10,-1.769e+09,3.6301e+10,-3.033e+09,4.4942e+10,1.455e+09,4.0352e+10,3.135e+09,-1.2425e+10,1.556e+10,-4.166e+09,-6.016e+09,2.6799e+10,4.893e+09,6.9435e+10,2.4856e+10,2.4856e+10,-1.045e+09,2.3811e+10,1.3271e+10,6.70477e+11,0.38571,0.30055,0.03369,0.0032,9.53425,0.24495,2.65403,2.64585,8.8305,70.60158,0.91965,0.00431,0.34651,48.86828,57.73444
"38","2019_Q3",103.26109375,"Up",2.8832e+10,1.4398e+10,2.1098e+10,-6.7e+09,1.4434e+10,3.714e+09,4.4e+07,8.018e+09,2.658e+09,-1.149e+09,2.7683e+10,-1.6341e+10,-1.6341e+10,1.1342e+10,1.1342e+10,1.1342e+10,-1.69e+09,9.652e+09,9.652e+09,9.652e+09,-4.6e+08,9.192e+09,2.3164e+10,5.12738e+11,2.67864e+11,2.44874e+11,9.61298e+11,5.23373e+11,3.07264e+11,1.30661e+11,9.43723e+11,-1.3166e+10,9.56889e+11,2.4665e+10,2.4665e+10,2.61791e+11,2.727379e+12,1.524361e+12,4.09212e+11,2.01683e+11,1.47639e+11,2.88869e+11,2.41722e+11,2.464164e+12,2.6993e+10,9.2464e+10,4.105e+09,8.8359e+10,-6.9428e+10,2.12093e+11,1.093e+09,2.63215e+11,2.63215e+11,2.727379e+12,9.652e+09,2.046e+09,1.149e+09,2.49e+08,-2.75e+08,-2.695e+10,3481999999.99998,1.17e+09,-1.6285e+10,-1.5317e+10,-1.3854e+10,1.8289e+10,3.7373e+10,-1.9084e+10,-5.8563e+10,-2.2459e+10,-3.6104e+10,3.1397e+10,-8.877e+09,-3.048e+09,-4.4731e+10,-1.1362e+10,-2.1009e+10,-1.236e+10,-2.5959e+10,1.3599e+10,-5.21e+09,-5.21e+09,3.5996e+10,4.027e+09,-1.2966e+10,-3.5697e+10,-3.5697e+10,1.131e+09,-3.4566e+10,1.3388e+10,6.98081e+11,0.39338,0.31881,0.03492,0.00337,9.36179,0.25595,2.82779,2.81998,8.86975,72.67028,0.93767,0.00449,0.33159,50.41209,59.506
"39","2019_Q4",118.0259375,"Up",2.9159e+10,1.4228e+10,2.1121e+10,-6.893e+09,1.4931e+10,3.449e+09,7.8e+07,8.831e+09,2.573e+09,-1.514e+09,2.7645e+10,-1.624e+10,-1.624e+10,1.1405e+10,1.1405e+10,1.1405e+10,-2.325e+09,9.08e+09,9.08e+09,9.08e+09,-4.74e+08,8.606e+09,2.1215e+10,4.92773e+11,2.57391e+11,2.35382e+11,1.028462e+12,4.95875e+11,3.94251e+11,1.38336e+11,9.31983e+11,-1.3235e+10,9.45218e+11,2.5117e+10,2.5117e+10,2.65111e+11,2.764661e+12,1.525261e+12,4.35002e+11,2.47766e+11,1.38343e+11,2.96472e+11,2.43578e+11,2.500313e+12,2.8363e+10,9.2617e+10,4.105e+09,8.8512e+10,-7.6299e+10,2.17888e+11,1.779e+09,2.64348e+11,2.64348e+11,2.764661e+12,9.08e+09,2.145e+09,1.514e+09,8.3e+07,-3.98e+08,3.193e+09,1.1954e+10,-6.462e+09,-6.73e+08,-1.626e+09,1.6015e+10,-1.40384e+11,1.9232e+10,-1.59616e+11,1.1037e+11,6.4207e+10,4.6163e+10,-3.3911e+10,-6.3925e+10,-2.975e+09,3.7859e+10,-1.067e+10,4.6085e+10,2.444e+09,-1.3552e+10,1.5996e+10,-5.579e+09,-7.829e+09,1.4352e+10,-4.12e+09,3.9537e+10,-8.373e+09,-8.373e+09,-3.068e+09,-1.1441e+10,1.355e+10,7.31474e+11,0.39113,0.29514,0.03256,0.00311,9.45841,0.26458,2.69148,2.68417,9.11931,73.80297,0.93041,0.00419,0.34569,52.41764,62.27611
"40","2020_Q1",112.543387096774,"Down",2.8606e+10,1.4166e+10,1.9927e+10,-5.761e+09,1.444e+10,2.779e+09,1.23e+08,8.39e+09,3.148e+09,-1.427e+09,2.7179e+10,-1.6293e+10,-1.6293e+10,1.0886e+10,1.0886e+10,1.0886e+10,-2.366e+09,8.52e+09,8.52e+09,8.52e+09,-4.29e+08,8.091e+09,2.1704e+10,4.91084e+11,2.49157e+11,2.41927e+11,9.07684e+11,3.69687e+11,3.50699e+11,1.87298e+11,9.84497e+11,-1.3123e+10,9.9762e+11,2.5813e+10,2.5813e+10,2.56597e+11,2.687379e+12,1.562431e+12,3.43872e+11,1.83675e+11,1.19277e+11,2.91498e+11,2.28248e+11,2.426049e+12,2.6993e+10,9.2627e+10,4.105e+09,8.8522e+10,-8.3049e+10,2.23211e+11,1.548e+09,2.6133e+11,2.6133e+11,2.687379e+12,8.52e+09,2.139e+09,1.427e+09,2.061e+09,1.71e+09,6.8664e+10,9.7464e+10,-4.99e+08,1.6011e+10,-4.4312e+10,8.2811e+10,-4904999999.99997,3.8727e+10,-4.3632e+10,-9.901e+09,8.189e+09,-1.809e+10,-7.52e+08,-1.5558e+10,-3.287e+09,-7.3809e+10,-7.984e+09,-6.4081e+10,-1.744e+09,-1.7674e+10,1.593e+10,-8.121e+09,-9.021e+09,2.3855e+10,-1.657e+09,-6.3019e+10,4233999999.99999,4233999999.99999,2.8e+09,7.034e+09,1.3025e+10,6.3537e+11,0.38055,0.28284,0.03096,0.00301,9.28347,0.23643,2.57683,2.57053,9.11048,74.63199,1.04685,0.00423,0.40625,47.11447,56.37204
"41","2020_Q2",88.8138095238095,"Down",2.8286e+10,1.4439e+10,1.9161e+10,-4.722e+09,1.3847e+10,2.937e+09,2.33e+08,8.432e+09,2.245e+09,-8.285e+09,2.0001e+10,-1.6791e+10,-1.6791e+10,3.21e+09,3.21e+09,3.21e+09,-3.45e+08,2.865e+09,2.865e+09,2.865e+09,-4.34e+08,2.431e+09,2.4001e+10,5.92113e+11,2.4858e+11,3.43533e+11,1.159563e+12,5.4858e+11,4.71144e+11,1.39839e+11,9.92131e+11,-2.3244e+10,1.015375e+12,2.5882e+10,2.5882e+10,3.45741e+11,3.139431e+12,1.836009e+12,4.69312e+11,2.33207e+11,1.84196e+11,2.99344e+11,2.73504e+11,2.878169e+12,3.0063e+10,9.1962e+10,4.105e+09,8.7857e+10,-8.8386e+10,2.20226e+11,7.397e+09,2.61262e+11,2.61262e+11,3.139431e+12,2.865e+09,2.197e+09,8.285e+09,-8.24e+08,-1.235e+09,-1.32612e+11,-7.0604e+10,4.993e+09,-4.9323e+10,-1.7678e+10,-1.20089e+11,-7.7786e+10,6.6009e+10,-1.43795e+11,-5.6924e+10,1.12e+09,-5.8044e+10,-1.123e+09,-1.35833e+11,-3.188e+09,6.7522e+10,1.2455e+10,4.9273e+10,5.794e+09,-2.9057e+10,3.4851e+10,-3.447e+09,-3.447e+09,2.97976e+11,3.442e+09,3.62305e+11,1.06383e+11,1.06383e+11,-2.48e+09,1.03903e+11,5.407e+09,7.68656e+11,0.11348,0.08594,0.0093,0.00077,11.01641,0.24484,0.78526,0.78402,9.1369,74.6815,1.02978,0.00179,1.31139,137.72055,231.97975
