"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",3.3003125,"Down",5653620,5653620,-4062191,1591429,-11383063,-6931410,-4451653,-9791634,1261106,159851,1101255,-8530528,3058424,-5472104,0,-5472104,-5472104,-64174,-5536278,-5536278,61041495,24167900,36873595,2457904,2457904,3773305,3736827,1257765,71009531,9204135,6658934,4194219,15863069,86872600,7837294,3210639,4626655,907602,384073,8744896,2027268,1765061,2027268,10772164,333294475,-17238669,-242598797,3294916,76751925,-651489,76100436,86872600,-5472104,554967,-1362748,220841,-6059044,-553793,6909855,5268430,245825.901224715,-790614,-790614,110287,-680327,-9236667,0,-9569619,0.28149,-1.73192,-0.97924,-0.07275,-0.06373,1.72853,8.12011,0.14155,0,-0.07576,-0.07576,0.07736,1.05027,-0.13095,-0.07086,-0.12249,6.60861,6.23405
"32","2018_Q3",2.54063492063492,"Down",5943898,5943898,-3497750,2446148,-11439659,-6913503,-4526156,-8993511,183614,165513,18101,-8809897,-235776,-9045673,-201000,-9246673,-9246673,5715.99999999999,-9240957,-9240957,53423704,22742575,30681129,2785081,2785081,4257702,3658312,1274005,64124799,10834445,4383785,2173428,15218230,79343029,8109840,3894049,4215791,1180094,317094,9289934,2203857,2050013,2203857,11493791,334571447,-17238669,-251839754,3046191,68539215,-689977,67849238,79343029,-9246673,575202,1937943,-415280,-7148808,-186379,6199430,6058717,-11401.9999999991,-1101493,-1101493,-323832,-1425325,-8418309,0,-8818968,0.41154,-1.51307,-1.5547,-0.1362,-0.11647,0.95433,6.90261,0.1694,0,-0.12642,-0.12642,0.08132,0.93767,-0.12065,-0.13191,-0.12589,6.34613,5.94025
"33","2018_Q4",1.80253968253968,"Down",5126330,5126330,-3659800,1466530,-11765403,-7166137,-4599266,-10298873,402341,160875,241466,-9896532,-227447,-10123979,316000,-9807979,-9807979,16596,-9791383,-9791383,46203016,19367048,26835968,2628139,2628139,4953908,3113081,1177819,56898144,10648418,4078623,2096578,14727041,71625185,9082550,4229387,4853163,975908,428642,10058458,2341340,2186571,2341340,12399798,335762276,-17238669,-261631136,3036681,59929152,-703765,59225387,71625185,-9807979,558546,978788,1295744,-6974901,-219316,3838870,3653904,-1,-3320998,-3320998,-54529,-3375527,-9740327,0,-8979899,0.28608,-2.00901,-1.91002,-0.16532,-0.1367,0.91712,5.65675,0.20937,0,-0.13388,-0.13388,0.07009,0.81943,-0.12278,-0.15904,-0.14586,4.74348,4.48622
"34","2019_Q1",1.34065573770492,"Down",7741157,7741157,-4611700,3129457,-10068027,-6199799,-3868228,-6938570,-351896,153820,-505716,-7290466,-2520270,-9810736,-145000,-9955736,-9955736,-9188,-9964924,-9964924,37244363,14326347,22918016,3088360,3088360,4797238,4274064,1184401,49404025,2598842,1980745,1649401,10145086,59549111,9432432,3921880,5510552,934933,388933,10367365,1468925,1468925,1468925,11836290,336478099,-17238669,-272932143,1554587,47861874,-149053,47712821,59549111,-9955736,269965,3904181,-2139439,-7921029,-223643,3000594,3776194,-895717,-5040552,-5040552,-149,-5040701,-6668605,0,-8886687,0.40426,-0.89632,-1.28727,-0.20885,-0.16734,0.8918,4.76534,0.24807,0,-0.13591,-0.13591,0.10558,0.6528,-0.12121,-0.20261,-0.18069,5.58503,5.36773
"35","2019_Q2",1.21555555555556,"Down",5542925,5542925,-5877077,-334152,-11249519,-6282803,-4966716,-11583671,53626,163361,-109735,-11530045,236135,-11293910,-26000,-11319910,-11319910,-11017,-11330927,-11330927,36872442,16583525,20288917,3800689,3800689,4174350,3169518,1027841,48016999,2234285,5525890,5194546,13410274,61427273,10200351,4492572,5707779,2727081,2192081,12927432,3890899,3890899,3890899,16818331,344596813,-17238669,-284263070,1651904,44746978,-138036,44608942,61427273,-11319910,264389,2296660,912058,-7846803,-74920,2789139,2664219,7442872,2260288,2260288,-3110,2257178,-11319282,0,-10456144,-0.06028,-2.08981,-2.04421,-0.25401,-0.18446,0.9228,3.71435,0.37702,0,-0.15114,-0.15114,0.07394,0.59687,-0.13947,-0.23363,-0.21559,3.25749,3.18314
"36","2019_Q3",0.9978125,"Down",9110133,9110133,-5242514,3867619,-8705873,-5375671,-3330202,-4838254,42837.9999999999,154310,-111472,-4795416,584392,-4211024,-26000,-4237024,-4237024,-23367,-4260391,-4260391,31554755,12134526,19420229,4904247,4904247,3700174,2129729,907124,42288905,2029406,4898653,4567309,16069192,58358097,10109220,4116685,5992535,2771432,2244432,12880652,3618054,3618054,3618054,16498706,345863818,-17238669,-288523461,1872372,41974060,-114669,41859391,58358097,-4237024,173905,1237267,-706125,-3531977,-44895,1e+06,-1595705,678531.000000001,-4449151,-4449151,152,-4448999,-4664349,0,-5389369,0.42454,-0.53108,-0.46765,-0.10178,-0.073,1.26499,3.28313,0.39415,0,-0.05199,-0.05199,0.11117,0.51219,-0.06576,-0.09368,-0.11851,6.76509,6.52193
"37","2019_Q4",0.5121875,"Down",6139332,6139332,-4689944,1449388,-7850936,-5130019,-2389573,-6401548,11031,120645,-109614,-6390517,-88847,-6479364,-26000,-6505364,-6505364,-120094,-6625458,-6625458,26016203,8757699,17258504,4910375,4910375,3442490,2414235,1368296,36783303,1621927,3917700,3917700,14569044,51352347,9162155,3018906,6143249,3019080,2512080,12181235,3354684,3354684,3354684,15535919,345114019,-17238669,-293947437,1883090,35811003,5425,35816428,51352347,-6505364,158797,1153804,-243549,-5436312,6806,2165000,2166092,-90000,-3360220,-3360220,-16607,-3376827,-6242751,0,-6453494,0.23608,-1.04271,-1.07918,-0.18498,-0.12902,0.97404,3.01967,0.43377,0,-0.08075,-0.08075,0.07482,0.43643,-0.07865,-0.16914,-0.16475,4.16743,4.06405
"38","2020_Q1",0.382096774193548,"Down",8726419,4474366,-5092003,3634416,-6859261,-4527966,-2662639,-3224845,864398,105443,556438,-2360447,-4921477,-7281924,-30000,-7311924,-7311924,22448,-7289476,-7289476,21782244,6029247,15752997,6023250,6023250,3768696,2190451,1269369,33764641,1473341,3271374,3271374,9281874,43046515,8913224,3998234,4914990,2396489,1871489,11309713,3145190,3145190,3145190,14454903,345327033,-17238669,-301236913,1757184,28608635,-17023,28591612,43046515,-7311924,195130,4442589,-1537557,-4211762,-57177,-1e+06,1508316,-38387,-2741833,-2741833,13381,-2728452,-3029715,0,-4594449,0.41648,-0.36955,-0.83533,-0.25495,-0.16934,0.63029,2.98546,0.50556,0,-0.08873,-0.08873,0.10622,0.34823,-0.05592,-0.22969,-0.14477,7.18954,6.75451
"39","2020_Q2",0.837460317460317,"Up",7878605,7878605,-5647847,2230758,-5771840,-3432092,-2339748,-3541082,86084,73406,12678,-3454998,-172993,-3627991,-29000,-3656991,-3656991,61472,-3595519,-3595519,17641562,8333603,9307959,5929983,5929983,3427507,2880450,1485817,29879502,1450328,2759909,2759909,8556879,38436381,8320258,3925184,4395074,2288825,2288825,10609083,2832844,2832844,2832844,13441927,345485498,-17238669,-304832432,1658552,25072949,-78495,24994454,38436381,-3656991,170805,878460,-1260729,-3868455,-155930,6297500,6196801,20636.6682253963,2328346,2328346,-23990,2304356,-3370277,0,-4757936,0.28314,-0.44946,-0.45636,-0.14385,-0.09354,1.3233,2.81641,0.5378,0,-0.04356,-0.04356,0.09546,0.30378,-0.05765,-0.12921,-0.17098,5.23445,4.98197
"40","2020_Q3",1.54359375,"Up",8814646,8814646,-4779577,4035069,-5130519,-2909365,-2221154,-1095450,-15728.0000000001,34030,-49758.0000000001,-1111178,9995.00000000047,-1101183,-42000,-1143183,-1143183,21642,-1121541,-1121541,15262516,8776820,6485696,6682329,6682329,3712047,3906309,1397051,29563201,1328207,2514069,2514069,8065172,37628373,7605196,3068657,4536539,3373545,3373545,10978741,2589716,2589716,2589716,13568457,345647175,-17238669,-305953973,1705520,24160053,-100137,24059916,37628373,-1143183,170938,-40400.9999999995,-1878204,-2890850,-50197,2999050,3160594,168000,437744.000000001,437744.000000001,5473,443217,-924512,0,-2810913,0.45777,-0.12428,-0.12724,-0.04661,-0.02981,2.5063,2.69277,0.56394,0,-0.01358,-0.01358,0.10675,0.2926,-0.03404,-0.04208,-0.10548,16.50873,13.93265
"41","2020_Q4",1.63078125,"Up",9512752,9512752,-4825032,4687720,-5795435,-3079567,-2715868,-1107715,-15849,12751,-28600,-1123564,183795,-939769,-29000,-968769,-968769,11329,-957440,-957440,15613359,10624506,4988853,6507138,6507138,3999107,3740481,2156310,29860085,1288722,2180158,2180158,7798940,37659025,8116305,2805944,5310361,3818652,3818652,11934957,2418853,2418853,2418853,14353810,345965783,-17238669,-306911413,1600980,23416681,-111466,23305215,37659025,-968769,132694,99763,1219473,483161,-88468,1501567,1521013,-168000,1836174,1836174,11512,1847686,-975021,0,184984,0.49278,-0.11645,-0.10065,-0.04108,-0.02542,-0.19321,2.5019,0.61591,0,-0.01159,-0.01159,0.11517,0.28351,0.00224,-0.03722,0.00719,16.01336,14.0951
"42","2021_Q1",7.56098360655738,"Up",13921666,12434548,-6145925,7775741,-6794912,-2401679,-4393233,980829,336342,12455,30217,1317171,-50153,1267018,-29000,1238018,1238018,25370,1263388,1263388,20748550,17112869,3635681,9260865,9260865,4455756,4991009,1469256,39456180,1626930,1942512,1942512,8092967,47549147,9902256,5606910,4295346,6980253,6426253,16882509,2368043,2091634,2368043,19250552,342392968,-9793946,-305648025,1484434,28435431,-136836,28298595,47549147,1238018,176646,-348657,792980,1858987,-248267,1350000,920033,3689536,6468556,6468556,19807,6488363,1157475,0,1731188,0.55854,0.07045,0.09075,0.04464,0.02657,1.37027,2.3371,0.68027,0,0.01547,0.01547,0.17042,0.34809,0.02119,0.0412,0.05645,-17.9257,-21.1541
"43","2021_Q2",8.28285714285714,"Up",11676369,11129588,-6396671,5279698,-9469006,-5905706,-3563300,-4189308,36585,8744,-1150,-4152723,990482.00951789,-4152723,-33000,-4185723,-4185723,39485,-4146238,-4146238,35633682,32203311,3430371,7807465,7807465,5455134,3152173,2036754,52048454,1662315,1683788,1683788,7868548,59917002,10118065,5594876,4523189,5384363,4845537,15502428,2223713,2223713,2223713,17726141,351306899,-610332,-309794263,1464878,42367182,-176321,42190861,59917002,-4185723,205023,3492450,242970,-245280,-346450,2e+05,-146450,15487379,15095649,15095649,-5207,15090442,-3984285,0,-4054765,0.45217,-0.35879,-0.3551,-0.09827,-0.0692,0.97794,3.35744,0.42014,0,-0.04745,-0.04745,0.13363,0.48487,-0.0464,-0.09335,-0.09129,8.94356,8.50586
"44","2021_Q3",6.0703125,"Down",9905255,7664185.07093699,-6044542,3860713,-7781232,-4040979,-3740253,-3920519,103636,3541,-895.000000000007,-3816883,3093002.98275158,-3816883,-32000,-3848883,-3848883,16.0000000000073,-3848867,-3848867,30784280,27359688,3424592,7443210,7443210,6249403,5526360,2329883,50003253,1860899,1420474,1420474,7821583,57824836,10064198,5099714,4964484,6019544,5478927,16083742,2100704,2100704,2100704,18184446,352309122,-257652,-313643130,1408387,39816727,-176337,39640390,57824836,-3848883,207008,513494,-2207985,-5336366,-327125,0,-327125,840393.999999998,-4823097,-4823097,-20526,-4843623,-3713511,0,-6216621,0.38976,-0.3958,-0.38857,-0.09709,-0.06656,1.61518,3.10893,0.45874,0,-0.04405,-0.04405,0.11336,0.45568,-0.07115,-0.09221,-0.14893,8.2898,7.85209
"45","2021_Q4",5.079375,"Down",10887173,4964267.16124932,-5145175,5741998,-7787727,-4035998,-3751729,-2045729,-50954,9959,-31529,-2096683,5150221.75122632,-2096683,-32000,-2128683,-2128683,-107,-2128790,-2128790,31763687,28349798,3413889,7348721,7348721,6739017,4792749,1999848,50644174,1855451,1890021,1890021,8305228,58949402,8859734,3635708,5224026,4839827,4325827,13699561,2385355,2083529,2385355,16084916,357384549,-703721.87749867,-315771920,1428087,43040716,-176230,42864486,58949402,-2128683,154061,330514,-1837784,-3481892,-191842,0,-191842,4690895,1017161,1017161,-27051,990110,-1891668,0,-3889294,0.52741,-0.1879,-0.19553,-0.04966,-0.03611,1.827,3.69677,0.37525,0,-0.02394,-0.02394,0.12246,0.48413,-0.04375,-0.04705,-0.08595,16.79136,15.52683
"46","2022_Q1",2.87822580645161,"Down",13197320,5418502.92093699,-7465995,5731325,-9350805,-4117836,-5232969,-3619480,346398,8898,299083,-3273082,6054950.14646738,-3273082,-32000,-3305082,-3305082,-3896,-3308978,-3308978,29295466,26787931,2507535,12113070,12113070,6581139,4218070,1918678,52207745,1888963,3998998,3998998,10799983,63007728,9617349,5483970,4133379,7402338,7402338,17019687,6361184,5847767,6361184,23380871,357831848,-366110,-319080898,1414351,39799191,-172334,39626857,63007728,-3305082,102599,390517,1127722,-1684244,-168086,9e+05,719092,-569375,-1534527,-1534527,-27340,-1561867,-3516881,0,-2525245,0.43428,-0.27426,-0.25073,-0.0835,-0.05252,0.76315,3.06749,0.59003,0,-0.0347,-0.0347,0.1384,0.41736,-0.02648,-0.07195,-0.05491,8.32996,8.09383
"47","2022_Q2",1.50064516129032,"Down",11578422,11415561,-7782879,3795543,-9873161,-4464548,-5408613,-6077618,40954,6980,-1141,-6036664,4700000,-1336664,-36000,-1372664,-1372664,23,-1372641,-1372641,26318580,21867492,4451088,6777310,6777310,7132617,4766398,2214197,44994905,1939506,3801487,3801487,15294621,60289526,11704024,5865030,5838994,5369098,4871996,17073122,4515657,4241744,4515657,21588779,358487921,-461723,-320453539,1300445,38873104,-172357,38700747,60289526,-1372664,267590,-2806487,1628898,-2282663,-524368,-2000030,-2524398,-95613,-4902674,-4902674,-17765,-4920439,-5810028,0,-4669498,0.32781,-0.52491,-0.11855,-0.03547,-0.02277,3.40183,2.63542,0.55784,0,-0.01523,-0.01523,0.12848,0.43134,-0.05181,-0.03176,-0.10805,4.52985,4.33041
"48","2022_Q3",1.396875,"Down",11909032,25344110.0484383,-7906250,4002782,-9472843,-4327468,-5145375,-5470061,-141128,12552,-3586,-5611189,0,-5611189,-36000,-5647189,-5647189,257,-5646932,-5646932,18558012,13630219,4927793,7048635,7048635,6926489,7530387,2261633,40063523,1738962,3937534,3937534,15508088,55571611,9847415,4860573,4986842,5093257,4620688,14940672,5239993,4989149,5239993,20180665,360470336,-1087732.20399787,-326100471,1193695,35563560,-172614,35390946,55571611,-5647189,267663,1480988,-5251574,-9150112,-80576,-999998,-1080574,2027105,-8203581,-8203581,-33692,-8237273,-5202398,0,-10498548,0.33611,-0.45932,-0.47417,-0.15956,-0.10162,1.85916,2.68151,0.57022,0,-0.06253,-0.06253,0.13188,0.39383,-0.11626,-0.13898,-0.25839,3.5672,3.39265
