"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",37.2909523809524,"Up",153127000,-60891000,92236000,-73344000,-39237000,-27432000,-6675000,18892000,-2233000,-2029000,-204000,16659000,16659000,-4095000,12564000,12564000,12564000,12564000,277854000,277854000,61220000,61220000,74975000,24781000,21217000,438830000,118740000,503812000,346575000,75112000,6341000,75784000,622552000,1061382000,100711000,34868000,65843000,128393000,73795000,8879000,64916000,293088000,421481000,407745000,-257634000,490304000,-514000,639901000,639901000,1061382000,12564000,11792000,13285000,-2004000,35637000,-13777000,-2712000,-34108000,-3750000,745000,1173000,-428000,-2220000,-5225000,-3696000,-3696000,-3696000,30684000,233745000,18998000,0.60235,0.12337,0.08205,0.01963,0.01184,1.5121,3.41787,0.65867,0.22023,0.19105,0.18622,2.32847,9.73041,0.28889,0.01326,0.02005,-1.43752,-2.3348
"31","2017_Q4",37.4353968253968,"Up",150304000,-60885000,89419000,-71840000,-36568000,-27631000,-7641000,17579000,3485000,-2032000,5517000,21064000,16814000,-3272000,13338000,13338000,13338000,13338000,291125000,291125000,66456000,66456000,71249000,21015000,15741000,449845000,123360000,497752000,341890000,67660000,5848000,82354000,621112000,1070957000,91230000,39832000,51398000,118421000,72203000,8687000,63516000,287877000,406298000,411351000,-249198000,503642000,-1136000,664659000,664659000,1070957000,13338000,12701000,21095000,-20280000,26854000,-7692000,-175000,-7867000,-3750000,3008000,3008000,0,-4974000,-5716000,13271000,13271000,13271000,30280000,230136000,5580000,0.59492,0.11696,0.08874,0.02007,0.01245,0.41835,3.79869,0.61129,0.21489,0.2015,0.19668,2.27066,10.04108,0.0843,0.01379,0.00577,-2.01417,-3.46942
"32","2018_Q1",36.016393442623,"Down",140614000,-55213000,85401000,-71392000,-36483000,-23752000,-11157000,14009000,-7439000,-1856000,-5583000,6570000,10820000,-12067000,-1297000,-1297000,-1297000,-1297000,307923000,307923000,53183000,53183000,71067000,29059000,17250000,461232000,124586000,499958000,341897000,60207000,4236000,93618000,624544000,1085776000,98040000,37208000,60832000,126208000,83441000,14682000,68759000,294555000,420763000,415841000,-251974000,502346000,-1200000,665013000,665013000,1085776000,-1297000,13205000,18137000,8590000,38635000,-8634000,-5328000,-13962000,-3750000,-3115000,1340000,-4455000,-1010000,-7875000,16798000,16798000,16798000,27214000,226524000,39237000,0.60734,0.09963,-0.00922000000000002,-0.00195,-0.00119,-30.25212,3.65454,0.63271,0.20863,-0.01956,-0.01914,2.12049,10.02855,0.5917,-0.00133,0.04024,-2.99107,-5.81048
"33","2018_Q2",44.8246875,"Up",130429000,-58960000,71469000,-74566000,-41406000,-26199000,-6961000,-3097000,-2e+06,-2190000,190000,-5097000,-5097000,17510000,12382000,12382000,12382000,12382000,303349000,303349000,65568000,65568000,65458000,33017000,20143000,467392000,122469000,508944000,341897000,53246000,24907000,88894000,631413000,1098805000,93076000,38676000,54400000,114407000,84492000,15812000,68680000,291044000,405451000,439149000,-268864000,524238000,-1169000,693354000,693354000,1098805000,12382000,12453000,19805000,-9611000,35029000,-4908000,-5490000,-8797000,-3750000,-21287000,4038000,-25325000,-5769000,-30806000,-4574000,-4574000,-4574000,9356000,222910000,-22673000,0.54795,-0.02374,0.09493,0.01786,0.01127,-1.83113,4.08534,0.58477,0.20287,0.18669,0.18157,1.96654,10.45404,-0.34185,0.01237,-0.02266,-8.59758,25.9732
"34","2018_Q3",52.2865079365079,"Up",163211000,-63087000,100124000,-67188000,-33529000,-28079000,-5580000,32936000,-1658000,-2200000,541999.999999999,31278000,31278000,-6082000.00000001,25169000,25169000,25169000,25169000,311334000,311334000,78376000,78376000,58893000,29693000,20346000,478296000,122608000,507866000,346731000,46766000,24244000,90125000,630474000,1108770000,93508000,37717000,55791000,115915000,87581000,15762000,71819000,289567000,405482000,443749000,-288541000,549404000,-1324000,703288000,703288000,1108770000,25169000,12087000,14889000,-2807000,49338000,-4903000,-105000,-12329000,-3750000,-20403000,4010000,-24413000,-4871000,-29024000,7985000,7985000,7985000,45023000,219293000,43395000,0.61346,0.2018,0.15421,0.03579,0.0227,1.72414000000001,4.12626,0.57655,0.19778,0.38098,0.3654,2.47054,10.64572,0.65687,0.02492,0.04296,-2.04431,-2.79454
"35","2018_Q4",47.6103174603175,"Down",173550000,-66988000,106562000,-64695000,-39587000,-27147000,2039000,41867000,-1173000,-2355000,1182000,40694000,10694000,1454000,12165000,12165000,12165000,12165000,312236000,312236000,83820000,83820000,61159000,29219000,18126000,486434000,119481000,478469000,355175000,40286000,27485000,55523000,597950000,1084384000,101412000,40556000,60856000,120633000,73397000,13814000,59583000,270814000,391447000,445688000,-313019000,561589000,-1321000,692937000,692937000,1084384000,12165000,12792000,28246000,-1205000,51998000,-3005000,-1106000,-4055000,-3750000,-27599000,2401000,-3e+07,-15692000,-47041000,902000,902000,902000,54659000,215673000,48995000,0.61401,0.24124,0.0701,0.01756,0.01122,4.02754,4.03235,0.56491,0.19889,0.18428,0.17699,2.62899,10.49682,0.74219,0.01239,0.04989,-1.76664,-2.30642
"36","2019_Q1",51.6380327868852,"Up",160006000,-61139000,98867000,-74493000,-30724000,-27622000,-16147000,24374000,-548000,-2457000,1909000,23826000,33245000,-13237000,19923000,19923000,19923000,19923000,312120000,312120000,79223000,79223000,63679000,30282000,21876000,485304000,118488000,459089000,351141000,36558000,14362000,57028000,577577000,1062881000,108206000,43183000,65023000,129914000,57441000,3363000,54078000,250286000,380200000,457576000,-346218000,574930000,-3607000,682681000,682681000,1062881000,19923000,12307000,7737000,7231000,47198000,-4124000,3371000,-11037000,-4688000,-30646000,5826000,-36472000,-942999.999999998,-36277000,-115999.999999996,-115999.999999996,-116000,36681000,211114000,53025000,0.6179,0.15233,0.12451,0.02918,0.01874,2.6615,3.73558,0.55692,0.19862,0.30404,0.29248,2.44183,10.41832,0.80921,0.02094,0.05574,-2.75363,-4.14401
"37","2019_Q2",48.5695238095238,"Down",131354000,-50079000,81275000,-68458000,-38377000,-27099000,-2982000,12817000,-1424000,-2467000,1043000,11393000,11393000,2312000,13294000,13294000,13294000,13294000,287302000,287302000,66459000,66459000,73480000,29806000,18620000,457047000,126169000,470194000,351141000,31415000,14365000,73273000,596363000,1053410000,80107000,40713000,39394000,103330000,66584000,3646000,62938000,254854000,358184000,438063000,-327442000,588224000,-3619000,695226000,695226000,1053410000,13294000,10824000,10848000,-28225000,6741000,-15145000,-625000,-15770000,-4688000,1271000,1381000,-110000,-12372000,-15789000,-24818000,-24818000,-24818000,23641000,206551000,-22041000,0.61875,0.09758,0.10121,0.01912,0.01262,-1.65797,4.42318,0.51521,0.19608,0.2011,0.19557,1.98705,10.517,-0.33342,0.01373,-0.02276,-3.41572,-6.3003
"38","2019_Q3",47.468125,"Down",137146000,-52262000,84884000,-69336000,-39875000,-25553000,-3908000,15548000,-1384000,-2597000,1213000,14164000,14164000,-8966000,5366000,5366000,5366000,5366000,287839000,287839000,58643000,58643000,75060000,31715000,16175000,453257000,125764000,477293000,351141000,27506000,17896000,80750000,603057000,1056314000,88828000,38903000,49925000,110577000,72505000,3620000,68885000,256197000,366774000,445501000,-345810000,593590000,-3741000,689540000,689540000,1056314000,5366000,9719000,11890000,6377000,33352000,-1605000,-7067000,-8672000,-4687000,-18427000,1573000,-2e+07,-1029000,-24143000,537000.000000007,537000.000000007,537000,25267000,201986000,39005000,0.61893,0.11337,0.03913,0.00778,0.00508,7.26892,4.09902,0.53191,0.19122,0.08067,0.07932,2.06176,10.36606,0.58637,0.00557,0.04046,-3.39783,-5.5218
"39","2019_Q4",50.086875,"Up",141011000,-54763000,86248000,-72800000,-41822000,-27360000,-3618000,13448000,-1539000,-2183000,644000,11909000,11909000,-1984000,10277000,10277000,10277000,10277000,283057000,283057000,61444000,61444000,70108000,25422000,13966000,440031000,124111000,474997000,351141000,23736000,17896000,82224000,599108000,1039139000,80505000,33724000,46781000,101147000,69909000,3643000,66266000,249020000,350167000,442687000,-361840000,611189000,-3315000,688721000,688972000,1039139000,10277000,9727000,16735000,-3471000,33268000,-3330000,-1900000,-5230000,-4924000,-21034000,1492000,-22526000,-6862000,-32820000,-4782000,-4782000,-4782000,23175000,197417000,18358000,0.61164,0.09537,0.07288,0.01492,0.00989,1.78632,4.35041,0.50825,0.18998,0.1548,0.15279,2.12408,10.37434,0.27653,0.01075,0.0192,-3.69536,-6.36823
"40","2020_Q1",45.2348387096774,"Down",138001000,-53724000,84277000,-76426000,-43032000,-27356000,-6038000,7851000,-1866000,-1859000,-7000,5985000,7119000,-4190000,2929000,2929000,2934000,2934000,293324000,293324000,61927000,61927000,73010000,32475000,21757000,460736000,124418000,467279000,351141000,20012000,20094000,76032000,591697000,1052433000,98641000,48009000,50632000,98641000,81849000,3600000,78249000,276592000,375233000,459364000,-387851000,611607000,-6166000,676954000,677200000,1052433000,2929000,9681000,16741000,15904000,45255000,-2624000,-2038000,-4662000,-1013000,-26027000,1556000,-27583000,-3286000,-30326000,10267000,10267000,10267000,17532000,194743000,35002000,0.6107,0.05689,0.02126,0.00433,0.00279,11.92979,4.67084,0.55409,0.18504,0.04443,0.04393,2.08963,10.25051,0.53,0.00308,0.0367,-5.62292,-12.55649
"41","2020_Q2",46.7987301587302,"Up",132702000,-51941000,80761000,-65026000,-34600000,-27586000,-2840000,15735000,-1136000,-1559000,423000,14599000,11002000,-1359000,9632000,9632000,9635000,9635000,268947000,268947000,49451000,49451000,76933000,36973000,23430000,432304000,125731000,465315000,351141000,17172000,20754000,76248000,591046000,1023350000,91626000,43337000,48289000,91626000,79167000,3600000,75567000,270007000,361633000,461746000,-414028000,620928000,-7172000,661474000,661717000,1023350000,9632000,7575000,13715000,-4839000,26083000,-7672000,-3888000,-11560000,-4e+06,-29112000,888000,-3e+07,-5788000,-38900000,-24377000,-24377000,-24377000,23310000,190840000,12158000,0.60859,0.11857,0.07261,0.01456,0.00942,1.26186,4.71814,0.54651,0.18649,0.1469,0.1456,2.02324,10.08514,0.18537,0.01034,0.01305,-3.35079,-4.9639
"42","2020_Q3",56.2075,"Up",143660000,-55409000,88251000,-69495000,-38255000,-29220000,-2020000,18756000,-1428000,-1252000,-176000,17328000,15843000,416000,16122000,16122000,16125000,16125000,281456000,281456000,51672000,51672000,77548000,43195000,22205000,453871000,125542000,474618000,351141000,15152000,26929000,81396000,600160000,1054031000,102072000,39319000,62753000,102072000,87271000,3735000,83536000,274226000,376298000,471876000,-424095000,637053000,-7341000,677493000,677733000,1054031000,16122000,6765000,12064000,2265000,37216000,-6948000,-2473000,-9421000,-4e+06,-10294000,2093000,-12387000,-992000.000000001,-15286000,12509000,12509000,12509000,25521000,186955000,20422000,0.6143,0.13056,0.11224,0.02379,0.0153,1.26648,4.44658,0.55523,0.17737,0.24775,0.24423,2.20727,10.40936,0.31377,0.01694,0.02145,-3.70287,-5.03844
"43","2020_Q4",63.87796875,"Up",154082000,-60021000,94061000,-72579000,-42891000,-27890000,-1798000,21482000,-1244000,-1008000,-236000,20238000,19903000,-1580000,18482000,18482000,18487000,18487000,262271000,262271000,58700000,58700000,78367000,48408000,25731000,447746000,127472000,472754000,351141000,13354000,24983000,83276000,600226000,1047972000,105873000,47338000,58535000,105873000,82398000,877000,81521000,265473000,371346000,466216000,-438246000,655540000,-7119000,676391000,676626000,1047972000,18482000,6943000,16072000,-13120000,28377000,-7168000,-4250000,-11418000,-4e+06,-21937000,2109000,-24046000,-10207000,-36144000,-19185000,-19185000,-19185000,28425000,183075000,9717000,0.61046,0.13942,0.11998,0.02732,0.01764,0.52561,4.22909,0.54882,0.17469,0.28382,0.28031,2.36554,10.38429,0.14918,0.01962,0.01031,-2.78614,-3.68662
"44","2021_Q1",73.4003278688525,"Up",164673000,-64197000,100476000,-81526000,-47086000,-32833000,-1607000,18950000,-1404000,-1517000,113000,17546000,16227000,-914000,15631000,15631000,15656000,15656000,268891000,268891000,70433000,70433000,87494000,47910000,25827000,474728000,130934000,476440000,351141000,11746000,25483000,88070000,607374000,1082102000,109573000,50189000,59384000,109573000,94381000,976000,93405000,273576000,383149000,474513000,-438798000,671196000,-7958000,698953000,698953000,1082102000,15631000,10584000,21188000,-20149000,27254000,-10561000,51000,-10510000,-4e+06,-1591000,3409000,-5e+06,-4533000,-10124000,6619999.99999999,6619999.99999999,6619999.99999999,29534000,179195000,-262000,0.61015,0.11508,0.09507,0.0224,0.01447,-0.01673,4.33253,0.54818,0.1656,0.24078,0.2369,2.53257,10.74948,-0.00402999999999998,0.0161,-0.00027,-3.03704,-4.7333
"45","2021_Q2",66.1144444444444,"Down",170372000,-65511000,104861000,-76892000,-38804000,-36790000,-1298000,27969000,-1105000,-1199000,94000,26864000,26618000,-3198000,23498000,23498000,23500000,23500000,258219000,258219000,66518000,66518000,93919000,42706000,26309000,461362000,131255000,4.77e+08,351141000,10448000,25413000,89998000,608255000,1069617000,96512000,51195000,45317000,96512000,93304000,955000,92349000,268620000,365132000,477558000,-460249000,694696000,-7520000,704485000,704485000,1069617000,23498000,7420000,15696000,-14029000,32585000,-5728000,-2927000,-8655000,-4e+06,-24372000,628000,-2.5e+07,-6230000,-34602000,-10672000,-10672000,-10672000,35389000,175316000,18830000,0.61548,0.16416,0.13793,0.03336,0.02197,0.80128,4.78036,0.5183,0.16391,0.36039,0.35574,2.61275,10.80366,0.28877,0.02415,0.01935,-2.34262,-2.9641
"46","2021_Q3",68.49984375,"Up",185004000,-69572000,115432000,-78772000,-41977000,-35497000,-1298000,36660000,-972000,-1185000,213000,35688000,35220000,-2963000,32931000,32931000,32933000,32933000,262657000,262657000,73062000,73062000,103031000,46099000,31920000,484849000,132140000,483015000,351141000,9150000,24816000,97908000,615155000,1100004000,116366000,52473000,63893000,116366000,99579000,1127000,98452000,275015000,391381000,487478000,-499199000,727629000,-7285000,708623000,708623000,1100004000,32931000,7801000,14392000,-2110000,53014000,-6962000,-250000,-7212000,0,-40305000,1695000,-4.2e+07,-1059000,-41364000,4438000,4438000,4438000,44461000,175436000,38352000,0.62394,0.19816,0.17801,0.04647,0.02994,1.16455,4.16659,0.55231,0.15949,0.5074,0.50013,2.85038,10.91785,0.59089,0.03348,0.03899,-1.96174,-2.37919
"47","2021_Q4",85.1384375,"Up",194932000,-71243000,123689000,-86265000,-47621000,-37346000,-1298000,37424000,-1128000,-1233000,105000,36296000,36080000,-3018000,34425000,34425000,34427000,34427000,276599000,276599000,74313000,74313000,105159000,40286000,28548000,496357000,130734000,494209000,351141000,7852000,26928000,108288000,624943000,1121300000,123909000,46426000,77483000,123909000,103437000,1127000,102310000,278993000,402902000,482546000,-519610000,762056000,-6594000,718398000,718398000,1121300000,34425000,7465000,16220000,8428000,66538000,-5309000,-2655000,-13964000,0,-28036000,1964000,-3e+07,-10596000,-38632000,13942000,13942000,13942000,44889000,175556000,51026000,0.63452,0.19198,0.17661,0.04792,0.0307,1.48215,4.00582,0.56083,0.15656,0.53042,0.52282,3.00334,11.06845,0.78616,0.03452,0.05116,-2.25095,-2.69995
"48","2022_Q1",71.7590322580645,"Down",190550000,-68451000,122099000,-79148000,-39808000,-38292000,-1048000,42951000,-1406000,-1474000,68000,41545000,41151000,-6360000,34791000,34791000,34804000,34804000,279601000,279601000,71507000,71507000,114003000,37184000,31201000,502295000,134940000,493676000,351141000,6804000,27803000,107928000,628616000,1130911000,128399000,50695000,77704000,128399000,93061000,1132000,91929000,264737000,393136000,492741000,-549942000,796860000,-2075000,737584000,737775000,1130911000,34791000,8206000,9911000,-1922000,50986000,-8072000,-2413000,-10485000,-4e+06,-31756000,990000,-32746000,-1743000,-37499000,3002000,3002000,3002000,51157000,171676000,47523000,0.64077,0.22541,0.18265,0.04717,0.03078,1.36545,3.91199,0.53287,0.1518,0.53921,0.53299,2.95216,11.42726,0.73627,0.03472,0.0474,-2.10968,-2.51275
"49","2022_Q2",60.285,"Down",202149000,-71896000,130253000,-83201000,-43364000,-38789000,-1048000,47052000,-935000,-1197000,262000,46117000,46093000,-8069000,38048000,38048000,38049000,38049000,275184000,275184000,66360000,66360000,106901000,46978000,35471000,495423000,133590000,486903000,350306000,5756000,25643000,105198000,620493000,1115916000,109174000,48381000,60793000,110416000,88530000,1066000,87464000,270327000,380743000,496936000,-596187000,834909000,-675000,734983000,735173000,1115916000,38048000,7668000,13862000,-9527000,50051000,-8315000,-2e+06,-10315000,1e+07,-49583000,417000,-5e+07,-4570000,-44153000,-4417000,-4417000,-4417000,54720000,181797000,44947000,0.64434,0.23276,0.18822,0.05176,0.0341,1.18129,4.48688,0.5179,0.16291,0.59498,0.58942,3.16105,11.49309,0.70285,0.03784,0.0447,-1.70663,-1.98476
"50","2022_Q3",46.85984375,"Down",209254000,-73435000,135819000,-89768000,-48119000,-40601000,-1048000,46051000,-1134000,-1259000,125000,44917000,63332000,-12019000,51596000,51596000,51598000,51598000,362150000,362150000,71105000,71105000,107628000,36203000,33905000,577086000,134015000,488731000,350306000,4708000,26977000,106740000,622746000,1199832000,140129000,53759000,86370000,140129000,88740000,1159000,87581000,260657000,400786000,506963000,-594449000,886507000,-163000,798858000,799046000,1199832000,51596000,7330000,-4774000,23126000,77278000,-7268000,987000,20531000,-1e+07,203000.000000007,203000,0,-1046000,-10843000,86966000,86966000,86966000,53381000,171917000,81258000,0.64906,0.22007,0.24658,0.06457,0.043,1.57483,4.11825,0.50158,0.14328,0.81257,0.80651,3.29534,12.58044,1.27965,0.04869,0.07668,-3.56368,-4.13092
