"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2019_Q4",23.8134375,"Up",104672000,-53840000,50832000,-47173000,-44562000,-2611000,3659000,-168000,-203000,3491000,3491000,2143000,2143000,2143000,2143000,178891000,178891000,91133000,91133000,12632000,9345000,8742000,292001000,62488000,356666000,29011000,419154000,711155000,52193000,17995000,34198000,15527000,68907000,97009000,48232000,28544000,145241000,214148000,517040000,-17653000,497007000,497007000,711155000,2143000,7228000,4401000,4862000,18634000,-7316000,-7316000,-1837000,137000,11455000,11455000,11455000,10887000,112536000,0.48563,0.03496,0.02047,0.00431,0.00301,4.23761,0.43088,0.15824,0.02061,0.01866,1.00666,4.77988,0.00326,-6.09488,-18.13474
"38","2020_Q1",29.9545161290323,"Up",106868000,-56945000,49923000,-47602000,-45522000,-2080000,2321000,114000,-380000,2435000,2435000,6296000,6296000,6296000,6296000,173016000,173016000,94242000,94242000,14405000,9075000,6327000,290738000,64188000,354580000,29339000,418768000,709506000,48481000,19568000,28913000,10432000,63904000,91829000,46365000,30799000,138194000,202098000,520383000,-11357000,507408000,507408000,709506000,6296000,7589000,4772000,-15298000,3359000,-6076000,-6076000,-5279000,-3158000,-5875000.00000001,-5875000.00000001,-5875000,9910000,102261000,0.46715,0.02172,0.05891,0.01241,0.00887,4.54961,0.39829,0.14413,0.06029,0.05931,1.02332,4.85869,0.0096,-7.13976,-30.4847
"39","2020_Q2",27.7119047619048,"Down",106030000,-59661000,46369000,-51662000,-49602000,-2060000,-5293000,-596000,-819000,-5889000,-5889000,-6978000,-6978000,-6978000,-6978000,86254000,86254000,99972000,99972000,20286000,8930000,6884000,215442000,83392000,433413000,94291000,516805000,732247000,50229000,20453000,29776000,14446000,67649000,136515000,23040000,6663000,159555000,227204000,526034000,-18335000,505043000,505043000,732247000,-6978000,8692000,4294000,-12941000,-6933000,-4708000,-41708000,-2848000,617000,-48024000,-48024000,-48024000,3399000,150961000,0.43732,-0.04992,-0.06581,-0.01382,-0.00953,3.1847,0.44987,0.20616,-0.06679,-0.06679,1.0148,4.83369,-0.01028,19.03707,-12.22501
"40","2020_Q3",37.175625,"Up",86977000,-58971000,28006000,-46913000,-44808000,-2105000,-18907000,5857000,-1548000,-13050000,-17956000,-6824000,-6824000,-6824000,-6824000,295281000,295281000,87766000,87766000,21627000,14326000,8300000,4.19e+08,83969000,442516000,92725000,526485000,945485000,49176000,19198000,29978000,8954000,61700000,210979000,18577000,3155000,229556000,291256000,679345000,-25159000,654229000,654229000,945485000,-6824000,8404000,10785000,-10483000,1882000,-5026000,-18163000,96625000,222600000,206319000,206319000,206319000,-10503000,219933000,0.32199,-0.21738,-0.07846,-0.01043,-0.00722,6.79092,0.44519,0.23261,-0.06322,-0.06322,0.80584,6.06138,-0.00764,7.17395,3.98519
"41","2020_Q4",45.1875,"Up",125444000,-71379000,54065000,-49396000,-47432000,-1964000,4669000,-2447000,-2458000,2222000,2222000,2557000,2557000,2557000,2557000,283608000,233233000,103697000,103697000,20643000,14427000,10459000,422375000,85449000,451604000,91818000,537053000,959428000,52495000,17735000,34760000,8401000,64612000,167839000,60614000,47060000,228453000,293065000,688943000,-22602000,666363000,666363000,959428000,2557000,8996000,6942000,-17969000,526000,-7857000,-70716000,-1182000,4115000,-66075000,-66075000,-66075000,13665000,176240000,0.43099,0.03722,0.02038,0.00384,0.00267,6.5371,0.4398,0.18369,0.02316,0.02316,1.1363,6.03606,0.00283,-7.85715,-22.99593
"42","2021_Q1",52.062131147541,"Up",125997000,-68544000,57453000,-51914000,-49814000,-2100000,5539000,-1927000,-2194000,3612000,7567000,15417000,15417000,15417000,15417000,296259000,228713000,106843000,106843000,29526000,16102000,11547000,448730000,85873000,424173000,92437000,539601000,988331000,61346000,24965000,36381000,2841000,73183000,168120000,52734000,47319000,220854000,294037000,701469000,-7185000,694294000,694294000,988331000,15417000,9629000,1293000,-20354000,5985000,-11505000,-28854000,-1284000,8265000,-14603999.9999999,-14603999.9999999,-14604000,15168000,170961000,0.45599,0.04396,0.12236,0.02221,0.0156,6.13162,0.42351,0.17298,0.13827,0.12397,1.13001,6.2268,0.01679,-8.26068,-22.62105
"43","2021_Q2",44.3087301587302,"Down",115533000,-73959000,41574000,-56681000,-54225000,-2456000,-15107000,-6031000,-1177000,-21138000,-21138000,-22114000,-22114000,-22114000,-22114000,802680000,611970000,102922000,102922000,21382000,15748000,11073000,942732000,94315000,427811000,88348000,551681000,1494413000,56558000,18919000,37639000,2089000,67750000,530378000,52571000,50827000,582949000,650699000,872467000,-28603000,843714000,843714000,1494413000,-22114000,9138000,16575000,-1389000,2210000,-15831000,-154688000,333319000,524935000,372457000,372457000,372457000,-5969000,532467000,0.35985,-0.13076,-0.19141,-0.02621,-0.0148,13.91486,0.77123,0.35631,-0.19031,-0.19031,0.99427,7.26094,-0.01548,45.26939,17.88661
"44","2021_Q3",46.2925,"Up",121724000,-68734000,52990000,-75357000,-71862000,-3495000,-22367000,4293000,-902000,-18074000,73436000,75873000,75873000,75873000,75873000,571746000,368796000,106284000,106284000,21384000,22381000,13959000,721795000,112208000,1062308000,91293000,1174516000,1896311000,87079000,23056000,64023000,1913000,99131000,531077000,117745000,53868000,648822000,747953000,1101421000,47270000,1148358000,1148358000,1896311000,75873000,10700000,-89381000,1418000,-1390000,-21347000,-453410000,-801000.00000006,204610000,-250190000,-250190000,-250190000,-11667000,532990000,0.43533,-0.18375,0.62332,0.06607,0.04001,7.28122,0.65132,0.28107,0.64137,0.52582,1.02895,9.70725,0.04217,3.32185,1.73273
"45","2021_Q4",39.1628125,"Down",121340000,-74101000,47239000,-86952000,-79543000,-7409000,-39713000,-1207000,-1296000,-40920000,-23170000,-20348000,-20348000,-20348000,-20348000,542709000,340565000,104964000,104964000,21834000,40423000,14618000,709930000,107172000,1089285000,112681000,1196457000,1906387000,78907000,28536000,50371000,1564000,92737000,531779000,144626000,86920000,676405000,769142000,1110713000,26922000,1137245000,1137245000,1906387000,-20347000,16652000,-8796000,4724000,-7767000,-14977000,-14686000,-645000,-6720000,-29173000,-29173000,-29173000,-23061000,533343000,0.38931,-0.32729,-0.16769,-0.01789,-0.01067,7.6553,0.67632,0.27977,-0.17355,-0.15623,1.03489,9.6994,-0.01121,0.40614,0.23584
"46","2022_Q1",21.0435483870968,"Down",125732000,-80475000,45257000,-86824000,-78311000,-8513000,-41567000,-2636000,-1707000,-44203000,-44203000,-41758000,-41758000,-41758000,-41758000,515390000,316827000,112130000,112130000,23395000,30593000,12354000,681508000,109465000,1078805000,109365000,1188270000,1869778000,74021000,17921000,56100000,1135000,87232000,532483000,141786000,86311000,674269000,761501000,1123752000,-14837000,1108277000,1108277000,1869778000,-41759000,16862000,14474000,-9353000,-19776000,-11987000,-9583000,-510000,2459999.99999999,-26899000,-26899000,-26899000,-24705000,533618000,0.35995,-0.3306,-0.33212,-0.03768,-0.02233,7.81259,0.6871,0.28539,-0.34072,-0.34072,1.02589,9.0428,-0.02341,-0.73783,-0.43852
"47","2022_Q2",9.54725806451613,"Down",117169000,-78937000,38232000,-90260000,-82547000,-7713000,-52028000,-1133000,-1301000,-53161000,-53161000,-49408000,-49408000,-49408000,-49408000,481430000,305896000,110796000,110796000,23840000,35034000,14341000,651100000,108942000,1069505000,108555000,1178447000,1829547000,69372000,20481000,48891000,621000,82070000,533189000,139284000,87575000,672473000,754543000,1142258000,-64245000,1075004000,1075004000,1829547000,-49408000,16885000,14540000,-11057000,-29040000,-8219000,12052000,-346000,6057000,-10931000,-10931000,-10931000,-35143000,533810000,0.3263,-0.44404,-0.42168,-0.04596,-0.02701,7.93347,0.7019,0.29177,-0.40142,-0.40142,0.95196,8.73405,-0.02826,-1.49048,-1.00677
"48","2022_Q3",9.93078125,"Up",125072000,-81126000,43946000,-83648000,-75022000,-8626000,-39702000,-1331000,-926000,-41033000,-41033000,-35303000,-35303000,-35303000,-35303000,465953000,283637000,111276000,111276000,21863000,23168000,16662000,622260000,111105000,1058748000,106295000,1169853000,1792113000,70204000,16849000,53355000,410000,82670000,533898000,132026000,86047000,665924000,748594000,1147123000,-99548000,1043519000,1043519000,1792113000,-35303000,17015000,7147000,-5855000,-16996000,1804000,-6274000,-228000,1011000,-22259000,-22259000,-22259000,-22687000,534308000,0.35137,-0.31743,-0.28226,-0.03383,-0.0197,7.52704,0.71737,0.29814,-0.28455,-0.28455,1.00809,8.41086,-0.02065,-3.01296,-1.7217
