"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"36","2020_Q1",33.3011290322581,"Down",92463000,-70903000,21560000,-5309000,-5309000,16251000,-368000,-368000,15883000,15883000,-2936000,12947000,12947000,12947000,12865000,40931000,40931000,136931000,3035000,2048000,184206000,128419000,9972000,9972000,138391000,322597000,38894000,29511000,9383000,401000,39295000,40659000,11599000,1929000,9670000,52258000,91553000,4000,502000,230784000,-246000,231044000,231044000,322597000,12947000,3035000,-51000,-8622000,7309000,-6355000,-6367000,-298000,-2030000,-1088000,-1088000,-1088000,19286000,41060000,7245000,0.23317,0.17576,0.13914,0.05568,0.03988,0.56316,4.68777,0.39626,0.12728,0.75541,0.75541,5.42927,13.56627,0.42541,0.05139,0.02554
"37","2020_Q2",35.0431746031746,"Up",99082000,-75871000,23211000,-9503000,-9503000,13708000,-642000,-642000,13066000,13066000,-3224000,9842000,9842000,9842000,9776000,52443000,52443000,142774000,4387000,4387000,242263000,128671000,11468000,11468000,140139000,382402000,40908000,28456000,10398000,404000,41312000,94151000,11374000,1806000,9568000,105525000,146837000,4000,-2754000,238567000,-252000,235565000,235565000,382402000,9842000,3125000,1231000,-13656000,542000,-5279000,-8189000,54600000,46997000,39350000,39350000,39350000,16833000,94555000,1122000,0.23426,0.13835,0.09867,0.0415,0.02556,0.11477,5.86423,0.62334,0.24727,0.57459,0.57459,5.82358,13.84519,0.06595,0.03466,0.00329
"38","2020_Q3",36.685,"Up",92560000,-71858000,20702000,-9364000,-9364000,11338000,-298000,-465000,11040000,11040000,-2550000,8490000,8490000,8490000,8433000,54164000,54164000,147108000,4021000,4021000,217038000,128603000,11372000,11372000,139975000,357013000,38787000,21429000,12626000,408000,39195000,64125000,10996000,1606000,9390000,75121000,114316000,4000,-2092000,245016000,-231000,242697000,242697000,357013000,8490000,3219000,463000,-6728000,5444000,-4210000,-4218000,-30099000,-32140000,-30914000,-30914000,-30914000,14557000,64533000,6169000,0.22366,0.12249,0.09111,0.03475,0.02362,0.73153,5.53739,0.47102,0.18076,0.49902,0.49902,5.47722,14.36132,0.36505,0.03291,0.01939
"39","2020_Q4",42.50015625,"Up",102964000,-79802000,23162000,-9510000,-9510000,13652000,-409000,-594000,13243000,13243000,-2862000,10381000,10381000,10381000,10312000,52673000,52673000,142798000,5647000,3928000,221084000,129643000,11019000,11019000,140662000,361746000,43993000,29055000,14938000,412000,44405000,54096000,11244000,2165000,9079000,65340000,109745000,4000,-1200000,253354000,-157000,252001000,252001000,361746000,10381000,3274000,1796000,8020000,23471000,-3330000,-3106000,-10101000,-12144000,8221000,8221000,8221000,16926000,54508000,24478000,0.22495,0.13259,0.10015,0.04092,0.02851,2.37374,4.97881,0.43549,0.15068,0.60959,0.60959,6.08664,14.89662,1.447,0.03888,0.07703
"40","2021_Q1",59.9467213114754,"Up",100915000,-69184000,31731000,-16188000,-16188000,15543000,-291000,-566000,15252000,15252000,-3620000,11632000,11632000,11632000,11563000,56966000,56966000,141011000,2644000,2644000,222283000,131992000,12300000,8672000,144292000,366575000,51729000,30273000,20752000,1600000,53329000,38271000,12449000,2298000,10151000,50720000,104049000,4000,-906999.999999996,262943000,486000,262526000,262526000,366575000,11632000,3343000,599000,8224000,23798000,-3976000,-4134000,-15908000,-17968000,1696000.00000001,1696000.00000001,1695999.99999999,18886000,39871000,26754000,0.31443,0.15402,0.11458,0.04405,0.03154,2.31376,4.16814,0.39634,0.10877,0.68343,0.68343,5.96456,15.5163,1.58129,0.04322,0.08497
"41","2021_Q2",64.8904761904762,"Up",108323000,-76024000,32299000,-11799000,-11799000,20500000,-458000,-488000,20042000,20042000,-4615000,15427000,15427000,15427000,15281000,67147000,67147000,136087000,3728000,3728000,229548000,138619000,12935000,12935000,151554000,381102000,52603000,28545000,18117000,2400000,55003000,37476000,10112000,1650000,8462000,47588000,102591000,4000,1648000,276318000,541000,278511000,278511000,381102000,15427000,3311000,2581000,-4329000,16990000,-12059000,-13340000,166920045.39929,-2726000,924000,924000,924000,23811000,39876000,12038000,0.29817,0.18925,0.14107,0.05487,0.0401,0.78778,4.17337,0.36836,0.10463,0.90271,0.90271,6.39904,16.45244,0.71113,0.05276,0.03665
"42","2021_Q3",63.6096875,"Down",174939000,-118112000,56827000,-29164000,-29164000,27663000,-1192000,-1104000,26471000,26471000,-6412000,20059000,20059000,20135000,20580000,79110000,79110000,232292000,4996000,4996000,353641000,189632000,471024000,17170000,660656000,1014297000,80211000,37434000,41056000,3227000,83438000,267164000,70193000,58450000,11743000,337357000,420795000,4000,299308000,293724000,542000,593578000,593502000,1014297000,20059000,5114000,549000,4742000,30464000,-6277000,-156895000,231994000,141085000,14654000,14654000,14657000,32777000,270391000,37654000,0.32484,0.15813,0.11764,0.03468,0.02029,1.82964,4.23837,0.709,0.26658,1.21574,1.21574,10.3343,35.06462,2.22436,0.02487,0.04031
"43","2021_Q4",74.96953125,"Up",176611000,-119525000,57086000,-24202000,-24191000,32884000,-1537000,-1116000,31347000,31347000,-7674000,23673000,23673000,23876000,24051000,92152000,92152000,239312000,4270000,2888000,351896000,197248000,468324000,16047000,665572000,1017468000,83239000,37004000,46235000,3227000,86466000,244450000,71641000,60479000,11162000,316091000,402557000,4000,299852000,315022000,312000,615190000,614911000,1017468000,23673000,5243000,2351000,-7936000,23331000,-18921000,-18931000,-22807000,-25476000,-21076000,-21076000,-21081000,38127000,247677000,18944000,0.32323,0.18619,0.13618,0.03911,0.02364,0.78766,4.06976,0.65466,0.24342,1.18514,1.18514,8.7027,30.31396,0.93349,0.02859,0.02028
"44","2022_Q1",80.188064516129,"Up",166847000,-114094000,52753000,-7437000,-23773000,45316000,-2080000,-1329000,43236000,43236000,-11578000,31658000,31658000,31869000,30683000,92537000,92537000,245944000,7049000,1510000,367098000,207286000,467083000,17007000,674369000,1041467000,85573000,53712000,31861000,3227000,88800000,230172000,78230000,66101000,12129000,308402000,397202000,4000,322517000,344237000,354000,644755000,644265000,1041467000,31658000,5424000,-7723000,-11881000,17478000,-10132000,6546999.99999999,-9557000,-18596000,5428999.99999999,5428999.99999999,5405999.99999999,50740000,233399000,40305000,0.31618,0.2716,0.1839,0.04762,0.02946,1.31359,4.13399,0.61652,0.22411,1.13459,1.13459,6.16961,23.84139,1.49038,0.03488,0.04216
"45","2022_Q2",93.7998387096774,"Up",195235000,-123414000,71821000,-21741000,-21770000,50080000,-1544000,-1598000,48536000,48536000,-11165000,37371000,37371000,37437000,37119000,102062000,102062000,259517000,6391000,6391000,395265000,207366000,474188000,23208000,681554000,1076819000,81235000,52763000,23035000,3228000,84463000,229449000,83502000,66394000,17108000,312951000,397414000,4000,300822000,379013000,122000,679961000,679405000,1076819000,37371000,5621000,1350000,-22112000,22230000,-10642000,-12033000,-807000,-4182000,6015000,6015000,5727000,55701000,232677000,34112000,0.36787,0.25651,0.19012,0.05463,0.03447,0.91899,4.67974,0.58494,0.21608,1.68851,1.61309,8.88106,30.9306,1.55172,0.03996,0.03426
"46","2022_Q3",107.2653125,"Up",194982000,-135758000,59224000,-23918000,-23924000,35306000,-2605000,-1543000,32701000,32701000,-7339000,25362000,25362000,25560000,26413000,105393000,105393000,272948000,6768000,6768000,422524000,211985000,472111000,22222000,684096000,1106620000,89067000,60572000,28354000,4189000,93256000,227764000,82527000,66226000,16301000,310291000,403547000,4000,302229000,401915000,-321000,703827000,703073000,1106620000,25362000,5303000,988000,-10864000,20789000,-7445000,-7451000,-807000,-3467000,9871000,9871000,10120000,40609000,231953000,29639000,0.30374,0.18107,0.13546,0.03757,0.02387,1.12214,4.5308,0.57398,0.2096,1.20046,1.20046,8.86186,31.98849,1.34708,0.02857,0.02913
