"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",15.6172131147541,"Up",24852000,-7472000,17380000,-18640000,-13014000,-7929000,-5085000,-5626000,-1260000,268000,-24000,80999.9999999999,211000,-992000,-992000,854000,-138000,-138000,-138000,-138000,18520000,18520000,17853000,17853000,13310000,4207000,4207000,53890000,9776000,4266000,271000,1786000,1242000,967000,14042000,67932000,6033000,6033000,5716000,7339000,7339000,19088000,531000,5377000,374000,5908000,24996000,205334000,-161248000,-1150000,42936000,42936000,67932000,-138000,844000,1234000,-828000,1112000,-77000,-77000.0000000001,-77000,-76999.9999999999,-316000,1379000,2414000,2414000,-25999.9999999999,2388000,-416000,6247000,-2175000,0.69934,-0.0507,-0.00555000000000001,-0.00321,-0.00203,15.76087,2.82324,0.58217,0.09196,-0.00335,-0.00343,0.60285,1.04153,-0.05276,-0.00253,-0.03986,29.5024,9.74048
"31","2018_Q2",23.39609375,"Up",27093000,-7662000,19431000,-18632000,-13589000,-7380000,-6209000,-5043000,799000,85000,-12000,-77000,174000,884000,884000,-301000,583000,583000,583000,583000,20771000,20771000,22960000,22960000,13444000,4936000,4936000,62111000,11856000,4325000,278000,1786000,1265000,996000,16181000,78292000,8239000,8239000,6602000,10755000,10755000,25596000,1153000,5626000,4e+05,6779000,32375000,207211000,-160665000,-629000,45917000,45917000,78292000,583000,558000,2e+06,-611000,2530000,-965000,-965000,-965000,-965000,-380000,74000,1639000,1639000,612000,2251000,1357000,7755000,82000,0.7172,0.02949,0.02152,0.0127,0.00745,0.14065,2.42659,0.70508,0.09905,0.01408,0.01353,0.65426,1.10884,0.00198,0.00983,0.00138,-9.59175,-16.29036
"32","2018_Q3",40.9436507936508,"Up",33905000,-8678000,25227000,-22201000,-16491000,-10733000,-5758000,-5710000,3026000,-391000,-24000,-520000,153000,2635000,2635000,-805000,1830000,1830000,1830000,1830000,21246000,21246000,26233000,26233000,14387000,5059000,5059000,66925000,11593000,4191000,259000,1786000,1139000,1007000,15784000,82709000,7197000,7197000,6116000,11620000,11620000,24933000,868000,5825000,425000,6693000,31626000,210907000,-158835000,-989000,51083000,51083000,82709000,1830000,627000,2066000,-4747000,-224000,-304000,-304000,-304000,-304000,-501000,1452000,924000.000000004,924000.000000004,-449000,475000,3653000,6984000,-593000,0.74405,0.08925,0.05397,0.03582,0.02213,-0.324040000000001,2.68419,0.61911,0.08444,0.04386,0.04159,0.81256,1.22425,-0.01421,0.02864,-0.00928,-3.90418999999999,-4.71315
"33","2018_Q4",38.9657142857143,"Down",31770000,-7910000,23860000,-22277000,-16707000,-10620000,-6087000,-5570000,1583000,222000,-29000,52000,199000,1805000,1805000,-346000,1459000,1459000,1459000,1459000,102195000,102195000,23732000,23732000,16180000,5190000,5190000,147297000,11462000,4229000,244000,1786000,1201000,998000,15691000,162988000,8282000,8282000,5521000,13737000,13737000,27540000,662000,5922000,404000,6584000,34124000,287441000,-157376000,-1201000,128864000,128864000,162988000,1459000,633000,2356000,3668000,8116000,-452000,-452000,-452000,-452000,-766000,73559000,81223000,81223000,-274000,80949000,2216000,6183000,5778000,0.75102,0.04983,0.04592,0.01132,0.00895,3.96025,5.34847,0.26481,0.03794,0.03389,0.0317,0.73791,2.99308,0.1342,0.01035,0.04099,-43.32671,-60.65193
"34","2019_Q1",35.3804918032787,"Down",31186000,-8194000,22992000,-21805000,-16100000,-9867000,-6233000,-5705000,1187000,128000,230000,-291000,189000,1315000,1315000,-219000,1096000,1096000,1096000,1096000,103877000,103877000,25946000,25946000,16704000,5045000,5045000,151572000,11451000,4316000,243000,1786000,1278000,1009000,15767000,167339000,6524000,6524000,4878000,16326000,16326000,27728000,459000,6726000,394000,7185000,34913000,290026000,-156280000,-1320000,132426000,132426000,167339000,1096000,646000,1927000,-1324000,2345000,-524000,-524000,-524000,-524000,-1007000,-446000,1375000,1375000,308000,1683000,1833000,5337000,204000,0.73725,0.03806,0.03514,0.00828,0.00655,0.186129999999999,5.46639,0.26364,0.03189,0.02482,0.02287,0.70624,2.99891,0.00462000000000001,0.00759,0.00141000000000001,-53.75887,-83.01601
"35","2019_Q2",28.8669841269841,"Down",32583000,-8403000,24180000,-22615000,-16980000,-10143000,-6837000,-5635000,1565000,291000,271000,-248000,268000,1856000,1856000,-489000,1367000,1367000,1367000,1367000,102111000,102111000,26601000,26601000,16439000,7534000,7534000,152685000,11300000,13234000,263000,1786000,1275000,9910000,24534000,177219000,7018000,7018000,4430000,16783000,16783000,28231000,656000,10994000,4476000,11650000,39881000,293166000,-154485000,-1343000,137338000,137338000,177219000,1367000,1230000,2805000,-4671000,731000,-2233000,-2233000,-2203000,-2233000,-864000,-240000,-1742000,-1742000,-24000,-1766000,2795000,5086000,-3620000,0.7421,0.04803,0.04195,0.00995,0.00771,-2.64813,5.40842,0.29039,0.0287,0.0309,0.02914,0.73659,3.10474,-0.08184,0.00891,-0.0236,-34.71377,-61.99681
"36","2019_Q3",30.3925,"Up",39664000,-9765000,29899000,-25288000,-19190000,-11682000,-7508000,-6098000,4611000,434000,259000,11000,164000,5045000,5045000,-1131000,3914000,3914000,3914000,3914000,103251000,103251000,32962000,32962000,16328000,6367000,6367000,158908000,13382000,13672000,261000,1786000,1355000,10270000,27054000,185962000,8097000,8097000,3814000,16800000,16800000,28711000,580000,12336000,4792000,12916000,41627000,296508000,-150571000,-1602000,144335000,144335000,185962000,3914000,770000,2979000,-4186000,3477000,-2398000,-2398000,-2398000,-2398000,-816000,-328000,751000.000000002,751000.000000002,267000,1018000,5381000,4394000,-72000,0.75381,0.11625,0.09868,0.02712,0.02105,-0.0184000000000002,5.53474,0.28841,0.02363,0.088,0.08368,0.89175,3.24501,-0.00162,0.0243,-0.000449999999999999,-18.37149,-21.43938
"37","2019_Q4",32.99359375,"Up",39055000,-10004000,29051000,-25717000,-19561000,-12463000,-7098000,-6156000,3334000,-186000,266000,-584000,132000,3148000,3148000,-760000,2388000,2388000,2388000,2388000,112327000,112327000,30789000,30789000,16440000,5406000,5406000,164962000,14846000,12933000,252000,1786000,1460000,9435000,27779000,192741000,7535000,7535000,3092000,19345000,19345000,29972000,471000,12958000,4214000,13429000,43401000,300043000,-148183000,-2520000,149340000,149340000,192741000,2388000,879000,3107000,5420000,11794000,-2568000,-2568000,-2568000,-2568000,-830000,-111000,9115000,9115000,-39000,9076000,4213000,3563000,7825000,0.74385,0.08537,0.06114,0.01599,0.01239,3.2768,5.50387,0.29062,0.01849,0.05359,0.05096,0.87638,3.35114,0.17559,0.0144,0.04718,-25.81628,-32.62268
"38","2020_Q1",33.7,"Up",38883000,-10059000,28824000,-26482000,-19073000,-11203000,-7870000,-7409000,2342000,635000,192000,304000,139000,2977000,2977000,3402000,6379000,6379000,6379000,6379000,119968000,119968000,30996000,30996000,17142000,6560000,6560000,174666000,17065000,15792000,296000,1786000,4408000,9302000,32857000,207523000,8050000,8050000,1827000,24601000,24601000,34478000,366000,12795000,4297000,13161000,47639000,304736000,-141804000,-3048000,159884000,159884000,207523000,6379000,820000,-1177000,3771000,9793000,-2896000,-2896000,-2926000,-2979000,-802000,828000,7642000,7642000,-1000,7641000,3162000,2193000,635000,0.7413,0.06023,0.16406,0.0399,0.03074,0.0995499999999923,5.06601,0.29796,0.01057,0.14273,0.13562,0.86998,3.5773,0.01421,0.03648,0.00363000000000001,-37.247,-50.28822
"39","2020_Q2",40.8479365079365,"Up",35187000,-10427000,24760000,-25895000,-18997000,-11028000,-7969000,-6898000,-1135000,-157000,216000,-468000,95000,-1292000,-1292000,1158000,-134000,-134000,-134000,-134000,110851000,110851000,34492000,34492000,17565000,9168000,9168000,172076000,20184000,14528000,287000,1786000,5112000,7343000,34712000,206788000,9507000,9507000,1873000,18522000,18522000,29902000,132000,11787000,3822000,11919000,41821000,309931000,-141938000,-3026000,164967000,164967000,206788000,-134000,775000,1808000,-10620000,-8171000,-2185000,-2185000,-2185000,-2185000,-741000,1264000,-9092000,-9092000,-25000,-9117000,-360000,2005000,-14323000,0.70367,-0.03226,-0.00381,-0.00081,-0.00065,106.88806,5.75467,0.25351,0.0097,-0.00298,-0.00298,0.78275,3.66977,-0.31862,-0.00075,-0.08012,302.35,95.89956
"40","2020_Q3",53.8584375,"Up",35194000,-10764000,24430000,-25485000,-18174000,-10326000,-7848000,-7311000,-1055000,439000,20000,388000,31000,-616000,-616000,-556000,-1172000,-1172000,-1172000,-1172000,116315000,116315000,39469000,39469000,17836000,8897000,8897000,182517000,21478000,14044000,280000,1785000,5114000,6865000,35522000,218039000,8890000,8890000,1818000,20881000,20881000,31589000,108000,11668000,3532000,11776000,43365000,320693000,-143110000,-2909000,174674000,174674000,218039000,-1172000,760000,3646000,-3251000,-17000,-2025000,-2025000,-2025000,-2025000,-113000,7440000,5398000,5398000,66000,5464000,-295000,1926000,-5015000,0.69415,-0.02998,-0.0333,-0.00671,-0.00538,4.27900999999999,5.77787,0.24826,0.00883,-0.02584,-0.02584,0.77604,3.8516,-0.11058,-0.00623,-0.02664,387.75932,108.42559
"41","2020_Q4",73.17734375,"Up",47081000,-12210000,34871000,-29989000,-21238000,-12649000,-8589000,-8751000,4882000,499000,1000,468000,30000,5381000,5381000,-1489000,3892000,3892000,3892000,3892000,128338000,128338000,42063000,42063000,18234000,7368000,7368000,196003000,22662000,16033000,275000,1786000,5007000,8965000,38695000,234698000,7830000,7830000,1775000,24254000,24254000,33859000,73000,14374000,5787000,14447000,48306000,328535000,-139218000,-2925000,186392000,186392000,234698000,3892000,767000,3636000,1294000,9589000,-2049000,-2049000,-2049000,-2049000,-112000,4317000,11857000,11857000,166000,12023000,5649000,1848000,6383000,0.74066,0.10369,0.08267,0.02088,0.01658,1.64003,5.7888,0.25916,0.00787,0.08483,0.07419,1.02622,4.06278,0.13913,0.01921,0.0315,-22.39157,-25.90946
"42","2021_Q1",100.125245901639,"Up",45998000,-11697000,34301000,-30224000,-21266000,-11761000,-9505000,-8958000,4077000,717000,1000,476000,240000,4794000,4794000,-1467000,3327000,3327000,3327000,3327000,152453000,152453000,35229000,35229000,18111000,10625000,10625000,216418000,24030000,16968000,270000,1786000,4944000,9968000,40998000,257416000,7474000,7474000,1739000,32023000,32023000,41236000,38000,18920000,6758000,18958000,60194000,338658000,-135891000,-5545000,197222000,197222000,257416000,3327000,793000,3911000,11519000,19550000,-2145000,-2145000,-2145000,-2145000,-110000,6550000,23955000,23955000,160000,24115000,4870000,1777000,15711000,0.74571,0.08863,0.07233,0.01687,0.01292,4.72227,5.24828,0.30521,0.0069,0.07195,0.06784,0.99481,4.26537,0.33979,0.01527,0.0721,-30.9396300000001,-36.95757
"43","2021_Q2",131.717777777778,"Up",50752000,-11610000,39142000,-31672000,-23413000,-13201000,-10212000,-8259000,7470000,-1231000,-7000,-1299000,75000,6239000,6239000,-1247000,4992000,4992000,4992000,4992000,162344000,162344000,33733000,33733000,16789000,10649000,10649000,223515000,26314000,15977000,249000,1786000,4536000,9406000,42291000,265806000,7834000,7834000,1288000,27007000,27007000,36129000,28000,15473000,6522000,15501000,51630000,348532000,-130899000,-3457000,214176000,214176000,265806000,4992000,874000,3562000,-2662000,6766000,-2159000,-2159000,-2159000,-2159000,-235000,6e+06,10607000,10607000,-716000,9891000,8344000,1316000,4770000,0.77124,0.14719,0.09836,0.02331,0.01878,0.95553,6.18658,0.24106,0.00495,0.10709,0.10144,1.0887,4.59438,0.10232,0.02161,0.02065,-19.29866,-21.55663
"44","2021_Q3",139.9371875,"Up",62367000,-13164000,49203000,-38554000,-30294000,-18853000,-11441000,-8260000,10649000,66000.0000000002,-5000,-131000,202000,10715000,10715000,-2148000,8567000,8567000,8567000,8567000,173083000,173083000,48647000,48647000,15590000,10797000,10797000,248117000,28616000,17705000,239000,1786000,3720000,11960000,46321000,294438000,7579000,7579000,1280000,32942000,32942000,41801000,25000,17990000,8859000,18015000,59816000,360790000,-122332000,-3836000,234622000,234622000,294438000,8567000,897000,5512000,-8594000,6382000,-3524000,-3524000,-3524000,-3524000,-43000,7833000,10691000,10691000,47999.9999999999,10739000,11546000,1305000,1576000,0.78893,0.17075,0.13736,0.03651,0.0291,0.18396,5.93567,0.25495,0.00443,0.18377,0.17408,1.33786,5.03297,0.03381,0.03374,0.00621,-14.87771,-16.1309
"45","2021_Q4",107.2878125,"Down",58352000,-13051000,45301000,-37464000,-29193000,-18175000,-11018000,-8271000,7837000,-461000,-23000,-610000,172000,7376000,7376000,-1356000,6020000,6020000,6020000,6020000,196246000,196246000,41917000,41917000,16518000,9264000,9264000,263945000,32266000,28394000,232000,1786000,3700000,22676000,60660000,324605000,9092000,9092000,1332000,36372000,36372000,46796000,21000,28680000,19642000,28701000,75497000,369048000,-116312000,-3628000,249108000,249108000,324605000,6020000,926000,3918000,11452000,22316000,-3273000,-3449981.01777047,-3450005.67223445,-3273000,-36000,4176000,23219000,23219000,-56000,23163000,8763000,1353000,18298000,0.77634,0.13431,0.10317,0.02417,0.01855,3.03953,5.64033,0.30307,0.00417,0.12791,0.12174,1.23984,5.29296,0.38879,0.02157,0.06555,-22.24044,-24.86832
"46","2022_Q1",74.4716129032258,"Down",59001000,-14010000,44991000,-37608000,-28536000,-17065000,-11471000,-9072000,7383000,-409000,-3000,-924000,518000,6974000,6974000,-2052000,4922000,4922000,4922000,4922000,199706000,199706000,43531000,43531000,17274000,10900000,10900000,271411000,35912000,38455000,218000,1786000,3813000,32638000,74367000,345778000,8699000,8699000,127000,39976000,39976000,48802000,382000,38036000,28467000,38418000,87220000,373996000,-111390000,-4048000,258558000,258558000,345778000,4922000,945000,3565000,-933999.999999996,8498000,-4689000,-2515960.64767212,-2515976.33687647,-4689000,-1331000,-216000,3593000,3593000,-133000,3460000,8328000,509000,4757000,0.76255,0.12513,0.08342,0.01904,0.01423,0.96648,5.56147,0.33733,0.00147,0.10098,0.09839,1.21053,5.30484,0.0976,0.01657,0.01601,-23.91895,-26.9805
"47","2022_Q2",64.4283870967742,"Down",63200000,-13936000,49264000,-37151000,-29210000,-17270000,-11940000,-7941000,12113000,-586000,-6000,-915000,335000,11527000,11527000,-1925000,9602000,9602000,9602000,9602000,193067000,193067000,47074000,47074000,18450000,15311000,15311000,273902000,39645000,37630000,203000,1786000,3333000,32308000,77275000,351177000,13421000,13421000,151000,27610000,27610000,41182000,338000,33340000,27948000,33678000,74860000,379168000,-101788000,-1063000,276317000,276317000,351177000,9602000,1002000,3741000,-18955000,-4610000,-2539000,-2539000,-2539000,-2539000,-18000,894000,-6255000,-6255000,-384000,-6639000,13115000,489000,-6454000,0.77949,0.19166,0.15193,0.03475,0.02734,-0.67215,6.65101,0.27092,0.00139,0.20222,0.19362,1.331,5.81928,-0.13592,0.03096,-0.02081,-14.6838,-15.89846
"48","2022_Q3",85.585625,"Up",81101000,-17229000,63872000,-46852000,-38216000,-24233000,-13983000,-8636000,17020000,-1551000,43000,-1860000,266000,15469000,15469000,-2431000,13038000,13038000,13038000,13038000,202490000,202490000,62811000,62811000,18089000,13066000,13066000,296456000,42813000,36756000,184000,1786000,3217000,31569000,79569000,376025000,12716000,12716000,166000,33632000,33632000,46514000,295000,29909000,27049000,30204000,76718000,387808000,-88750000,249000,299307000,299307000,376025000,13038000,1037000,6759000,-7588000,13246000,-5271000,-5271000,-5271000,-5271000,-27000,2207000,10182000,10182000,-759000,9423000,18057000,461000,7629000,0.78756,0.20986,0.16076,0.04356,0.03467,0.58514,6.37348,0.25632,0.00123,0.27225,0.26488,1.69352,6.25002,0.15931,0.03955,0.02314,-11.1884,-11.87009
