"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",4.511875,"Down",23428000,-5407000,18021000,-18025000,-6627000,-11398000,-4000,373000,369000,369000,27999.9999999999,397000,397000,397000,397000,108106000,108106000,10343000,6127000,6127000,124576000,887000,10628000,7654000,11515000,136091000,11402000,675000,10727000,20126000,3390000,16736000,31528000,25211000,15552000,9659000,25211000,56739000,86262000,40169000,-1192000,79352000,79352000,136091000,397000,96000,464000,-4666000,-3709000,-95000,-95000,-6682000,-10486000,-10486000,-175000,-10661000,92000,0,-4697000,0.76921,-0.000170000000000003,0.01695,0.00500000000000001,0.00292,-11.83123,3.95128,0.71503,0,0.03583,0.03583,2.11425,7.16109,-0.42388,0.00380000000000001,-0.04492,-1175.06522,27026.5
"37","2019_Q4",4.031875,"Down",17023000,-4371000,12652000,-13716000,-6354000,-7362000,-1064000,323000,-741000,-741000,-502000,-1243000,-1243000,-1243000,-1243000,101113000,101113000,7999000,6997000,6997000,116109000,821000,10177000,7203000,10998000,127107000,7817000,627000,7190000,19269000,3302000,15967000,27086000,17454000,15551000,1903000,17454000,44540000,86115000,23567000,-1764000,82567000,82567000,127107000,-1243000,101000,422000,-2969000,-3689000,-40000,-40000,-2882000,-6611000,-6611000,-501000,-7112000,-963000,0,-3470000,0.74323,-0.0625,-0.07302,-0.01505,-0.00978,2.79163,4.28668,0.53944,0,-0.11709,-0.11709,1.60352,7.7776,-0.32687,-0.01243,-0.03469,104.99792,95.03102
"38","2020_Q1",2.68177419354839,"Down",17835000,-5102000,12733000,-14215000,-6924000,-7291000,-1482000,298000,-1184000,-2948000,106000,-2842000,-2842000,-2842000,-2842000,96035000,96035000,6404000,5936000,5936000,108375000,735000,9387000,7348000,10122000,118497000,6171000,680000,5318000,20131000,4506000,15625000,26302000,17131000,15567000,1564000,17131000,43433000,86115000,16117000,-1264000,75064000,75064000,118497000,-2842000,97000,1371000,1484000,110000,-8000,-8000,-5161000,-5059000,-5059000,490000,-4569000,-1385000,0,-15000.0000000005,0.71393,-0.0831,-0.15935,-0.03786,-0.02398,0.00527999999999951,4.12041,0.57861,0,-0.27186,-0.27186,1.70605,7.18041,-0.00142999999999993,0.01916,-0.000159999999999993,69.3393499999999,64.8009399999988
"39","2020_Q2",3.60063492063492,"Up",14948000,-4514000,10434000,-11882000,-5279000,-6603000,-1448000,93000,-1355000,-1355000,782000,-573000,-573000,-573000,-573000,95393000,95393000,5406000,6922000,6922000,107721000,649000,5299000,4137000,5948000,113669000,5160000,848000,4312000,19641000,3994000,15647000,24801000,16971000,15568000,1403000,16971000,41772000,86115000,13259000,-1573000,71897000,71897000,113669000,-573000,95000,1287000,-1799000,-990000,-12000,-12000,-2285000,-3287000,-3287000,-240000,-3527000,-1353000,0,-3946000,0.69802,-0.09687,-0.03833,-0.00797,-0.00504,6.88656,4.34341,0.581,0,-0.05466,-0.05466,1.42593,6.85844,-0.37642,0.01926,-0.0444,70.5048,65.87914
"40","2020_Q3",4.10640625,"Up",16404000,-4817000,11587000,-11404000,-4291000,-7113000,183000,125000,308000,308000,-274000,34000.0000000002,34000.0000000002,34000.0000000002,34000.0000000002,93206000,93206000,4114000,5057000,5057000,102377000,599000,5501000,4338000,6100000,108477000,5960000,1084000,4876000,16768000,2645000,14123000,22728000,15914000,13951000,1963000,15914000,38642000,86115000,11008000,-1384000,69835000,69835000,108477000,34000.0000000002,107000,417000,-586000,-28000.0000000002,-56000,-56000,-2285000,-2369000,-2369000,190000,-2179000,290000,0,-78000,0.70635,0.01116,0.00206999999999999,0.000490000000000003,0.000310000000000002,-2.29412,4.50444,0.55333,0,0.00321000000000002,0.00321,1.55033,6.60004,-0.00736999999999993,0.02704,-0.000910000000000001,-321.4,-509.3224
"41","2020_Q4",4.1246875,"Up",14124000,-3635000,10489000,-9821000,-4201000,-5620000,668000,385000,1053000,1053000,-418000,635000,635000,635000,635000,90789000,90789000,4259000,4972000,4972000,100020000,581000,6487000,5418000,7068000,107088000,5719000,887000,4832000,15592000,3477000,12115000,21311000,17101000,13951000,3150000,17101000,38412000,86115000,9358000,-893000,68676000,68676000,107088000,635000,99000,474000,-1720000,-512000,-79000,-79000,-2285000,-2876000,-2876000,463000,-2413000,767000,0,-614000,0.74264,0.0473,0.04496,0.00925,0.00593,-0.96693,4.69335,0.55932,0,0.05946,0.04808,1.3226,6.43094,-0.0575,0.03404,-0.00716,-118.36897,-135.91168
"42","2021_Q1",4.89475409836066,"Up",16595000,-4024000,12571000,-11305000,-4437000,-6868000,1266000,218000,1484000,1484000,-737000,747000,747000,747000,747000,92367000,92367000,3779000,3595000,3595000,99741000,539000,5662000,4931000,6201000,105942000,7479000,580000,5418000,14027000,3091000,10936000,21506000,16739000,13964000,2775000,16739000,38245000,86115000,7822000,-336000,67697000,67697000,105942000,747000,109000,693000,1866000,3415000,-64000,-64000,-2283000,1068000,1068000,518000,1586000,1375000,0,3914000,0.75752,0.07629,0.04501,0.01103,0.00705,5.23963,4.63782,0.56494,0,0.06931,0.06539,1.53985,6.28162,0.36318,0.03589,0.04635,-67.176,-72.95972
"43","2021_Q2",5.69555555555556,"Up",13469000,-3255000,10214000,-9994000,-4480000,-5514000,220000,20000,240000,240000,-87000,153000,153000,153000,153000,90214000,90214000,3627000,3393000,3393000,97234000,521000,5730000,5009000,6251000,103485000,7089000,756000,4786000,14300000,4169000,10131000,21389000,16720000,13964000,2756000,16720000,38109000,86115000,5690000,-525000,65376000,65376000,103485000,153000,79000,303000,-121000,414000,-63000,-63000,-2285000,-1934000,-1934000,-222000,-2156000,299000,0,202000,0.75833,0.01633,0.01136,0.00234,0.00148,1.32026,4.54598,0.58292,0,0.01407,0.01339,1.23864,6.01214,0.01858,0.0297,0.00246,-301.71906,-410.06364
"44","2021_Q3",5.64484375,"Down",16152000,-3934000,12218000,-11833000,-4906000,-6927000,385000,-59000,326000,326000,-97000,229000,229000,229000,229000,88114000,88114000,3706000,3707000,3707000,95527000,528000,5351000,4649000,5879000,101406000,8026000,1027000,5278000,15114000,5713000,9401000,23140000,14834000,12346000,2488000,14834000,37974000,86115000,3634000,-413000,63432000,63432000,101406000,229000,77000,315000,-487000,134000,-84000,-84000,-2285000,-2235000,-2235000,136000,-2099000,462000,0,-12000,0.75644,0.02384,0.01418,0.00361,0.00226,-0.0523999999999998,4.12822,0.59866,0,0.02106,0.02005,1.48538,5.83336,-0.00110000000000003,0.03212,-0.000150000000000001,-190.72294,-228.86753
"45","2021_Q4",5.95453125,"Up",14276000,-3668000,10608000,-10129000,-4102000,-6027000,479000,-53000,426000,426000,45000,471000,471000,471000,471000,84640000,84640000,4390000,4386000,4386000,93416000,463000,5097000,4437000,5560000,98976000,7922000,879000,5199000,14945000,6038000,8907000,22867000,14554000,12345000,2209000,14554000,37421000,86115000,1820000,-476000,61555000,61555000,98976000,471000,81000,343000,-2e+06,-1105000,-18000,-18000,-2285000,-3408000,-3408000,-65000,-3473000,560000,0,-1503000,0.74307,0.03355,0.03299,0.00765,0.00476,-3.19108,4.08519,0.60793,0,0.04257,0.04123,1.29043,5.56404,-0.13586,0.03621,-0.01975,-151.14286,-176.70146
"46","2022_Q1",6.20532258064516,"Up",16108000,-4153000,11955000,-11468000,-4358000,-7110000,487000,31000,518000,518000,-286000,232000,232000,232000,232000,83843000,83843000,5257000,4369000,4369000,93469000,463000,4423000,4114000,4886000,98355000,7675000,761000,5569000,16981000,8536000,8445000,24656000,14211000,153000.000000002,14058000,14211000,38867000,86115000,-231000,-492000,59488000,59488000,98355000,232000,62000,564000,715000,1573000,-60000,-60000,-2283000,-770000,-770000,-28999.9999999999,-799000,549000,0,1490000,0.74218,0.03023,0.0144,0.0039,0.00236,6.42241,3.79092,0.65336,0,0.02097,0.02031,1.45602,5.3772,0.13468,0.03413,0.02022,-152.71949,-172.16222
"47","2022_Q2",5.82338709677419,"Down",11546000,-2908000,8638000,-9021000,-4281000,-4740000,-383000,110000,-273000,-273000,168000,-105000,-105000,-105000,-105000,79382000,79382000,4860000,4674000,4674000,88916000,450000,3676000,3358000,4126000,93042000,6065000,824000,3844000,16133000,8049000,8084000,22198000,13974000,12283000,1691000,13974000,36172000,86115000,-2621000,-720000,56870000,56870000,93042000,-105000,53000,293000,-2589000,-2348000,-40000,-40000,-2285000,-4673000,-4673000,-228000,-4901000,-330000,0,-3127000,0.74814,-0.03317,-0.00909,-0.00185,-0.00113,29.78095,4.00559,0.63605,0,-0.00941,-0.00919,1.03468,5.09633,-0.28022,0.03077,-0.04414,240.55152,207.26371
"48","2022_Q3",4.5671875,"Down",13360000,-3392000,9968000,-9753000,-3986000,-5767000,215000,175000,390000,390000,-207000,183000,183000,183000,183000,75633000,75633000,5193000,3408000,3408000,84234000,430000,3368000,3079000,3798000,88032000,8630000,758000,4885000,14114000,6692000,7422000,22744000,10740000,9251000,1489000,10740000,33484000,86115000,-4723000,-940000,54548000,54548000,88032000,183000,53000,318000,-1706000,-1152000,-38000,-38000,-2285000,-3475000,-3475000,-278000,-3753000,268000,0,-1269000,0.74611,0.01609,0.0137,0.00335,0.00208,-6.93443,3.70357,0.61384,0,0.0164,0.01602,1.19724,4.88825,-0.11372,0.0378,-0.01944,-282.21269,-351.7814
