"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2019_Q2",19.0968253968254,"Up",169496000,-100956000,68540000,-91506000,-73384000,-10279000,-7843000,-22966000,-716000,-990000,-23682000,-23682000,6416000,-17266000,-17266000,-17266000,-17266000,27016000,27016000,30735000,30735000,160680000,25998000,25998000,244429000,160350000,135826000,62590000,59606000,13630000,296176000,540605000,104096000,70896000,10781000,114877000,40127000,14186000,129744000,244621000,295984000,540605000,-17266000,7843000,1430000,-101430000,-109423000,-4907000,-4907000,-2156000,-3738000,-4040000,-5894000,-120224000,-120224000,-120224000,-15123000,100398000,-127876000,0.40438,-0.1355,-0.10187,-0.05833,-0.03194,7.40623,2.12775,0.82647,0.18571,-0.26719,-0.26719,2.62297,-1.97889,-0.03955,-0.29295,-4.85234,-3.19525
"34","2019_Q3",17.3165625,"Down",571316000,-316489000,254827000,-160142000,-141267000,-10906000,-7969000,94685000,-2696000,-1430000,91989000,91989000,-23411000,68578000,68578000,68578000,68578000,257685000,257685000,48400000,48400000,64006000,20108000,20108000,390199000,160204000,135058000,62590000,59909000,12559000,295262000,685461000,192012000,140065000,11500000,203512000,38906000,13360000,125876000,329388000,356073000,685461000,68578000,7969000,1077000,171382000,249006000,-6879000,-6879000,-2156000,-9302000,-9365000,-11458000,230669000,230669000,230669000,102654000,98470000,290568000,0.44604,0.16573,0.12004,0.1926,0.10005,4.23704,1.91733,0.92506,0.14366,1.06803,1.00339,8.89762,4.52528,0.13898,0.58885,-1.55099,-1.68152
"35","2019_Q4",13.59,"Down",248413000,-150893000,97520000,-112149000,-93610000,-11511000,-7028000,-14629000,1315000,30000,-13314000,-13314000,5073000,-8241000,-8241000,-8241000,-8241000,206377000,206377000,19166000,19166000,74377000,20592000,20592000,320512000,158190000,136246000,62590000,59762000,13894000,294436000,614948000,128393000,103012000,12219000,140612000,41799000,14788000,125394000,266006000,348942000,614948000,-8241000,7028000,4223000,-45588000,-42578000,-5059000,-5059000,-2875000,-796000,-1360000,-3671000,-51308000,-51308000,-51308000,-7601000,95814000,-63321000,0.39257,-0.05889,-0.03317,-0.0236199999999999,-0.0134,7.68365,2.27941,0.76232,0.15581,-0.12813,-0.12411,3.8622,-0.98448,-0.01694,-0.13014,14.54585,7.5578
"36","2020_Q1",15.4001612903226,"Up",259398000,-154164000,105234000,-117216000,-99029000,-11062000,-7125000,-11982000,-28000,-379000,-12010000,-12010000,3705000,-8305000,-8305000,-8305000.00000001,-8305000.00000001,172923000,172923000,12374000,12374000,92361000,25580000,25580000,303238000,166681000,136521000,62590000,59615000,14316000,303202000,606440000,122497000,96793000,5e+06,127497000,44259000,15361000,136232000,263729000,342711000,606440000,-8305000,7125000,4614000,-22339000,-18905000,-15715000,-15715000,2250000,306000,-1000,1166000,-33454000,-33454000,-33454000,-4857000.00000001,96973000,-46616000,0.40569,-0.04619,-0.03202,-0.02423,-0.01369,5.613,2.37839,0.76954,0.15991,-0.12932,-0.12496,4.03927,-0.72589,-0.01716,-0.09633,15.63722,6.33867
"37","2020_Q2",19.7111111111111,"Up",187263000,-111117000,76146000,-96799000,-78361000,-10803000,-7635000,-20653000,-679000,-595000,-21332000,-21332000,6061000,-15271000,-15271000,-15271000,-15271000,34174000,34174000,36062000,36062000,172513000,25649000,25649000,268398000,163422000,233135000,74711000,66954000,91470000,396557000,664955000,120041000,82913000,15381000,135422000,109355000,81160000,200137000,335559000,329396000,664955000,-15271000,7635000,1861000,-107003000,-112778000,-4359000,-24859000,-1250000,191000,-31000,-1112000,-138749000,-138749000,-138749000,-13018000,106163000,-130441000,0.40663,-0.11029,-0.08155,-0.04636,-0.02297,8.54175,1.98194,1.01871,0.15965,-0.23675,-0.23675,2.90317,-2.02225,-0.02802,-0.23938,-5.52996,-3.48564
"38","2020_Q3",26.44109375,"Up",605642000,-336470000,269172000,-169601000,-150038000,-11733000,-7830000,99571000,-9999.99999999977,-985000,99561000,99561000,-25409000,74152000,74152000,74152000,74152000,295561000,295561000,44561000,44561000,68032000,23439000,23439000,431593000,162568000,232059000,74711000,66727000,90621000,394627000,826220000,212854000,151028000,13849000,226703000,108871000,80976000,198609000,425312000,400908000,826220000,74152000,7830000,2050000,190902000,274934000,-6353000,-7354000,-1250000,-4936000,-4999000,-6193000,261387000,261387000,261387000,107401000,103587000,317359000,0.44444,0.16441,0.12244,0.18496,0.08975,4.27984,1.90378,1.06087,0.12537,1.14632,1.083,9.36265,4.90607,0.12089,0.51741,-1.78745,-1.92801
"39","2020_Q4",24.31046875,"Down",278776000,-171324000,107452000,-118340000,-98637000,-11900000,-7803000,-10888000,-2752000,-147000,-13640000,-13640000,3983000,-9657000,-9657000,-9657000,-9657000,232115000,232115000,26217000,26217000,74037000,21312000,21312000,353681000,166399000,228549000,74711000,66500000,87338000,394948000,748629000,154129000,116815000,14524000,168653000,103317000,76017000,191965000,360618000,388011000,748629000,-9657000,7803000,2597000,-45557000,-44814000,-11570000,-11745000,-1250000,-5637000,-5637000,-6887000,-63446000,-63446000,-63446000,-3085000,103172000,-64195000,0.38544,-0.03906,-0.03464,-0.02489,-0.0129,6.64751,2.09709,0.9294,0.13781,-0.15004,-0.14596,4.33144,-0.99742,-0.01624,-0.10798,41.79676,11.84267
"40","2021_Q1",29.7103278688525,"Up",417956000,-248530000,169426000,-157092000,-133585000,-14262000,-9245000,12334000,919000.000000001,-711000,13253000,13253000,-3479000.00000001,9773999.99999999,9774000,9774000.00000001,9774000.00000001,240506000,240506000,15178000,15178000,97760000,25186000,25186000,378630000,169075000,226730000,74711000,66273000,85746000,395805000,774435000,167047000,141741000,13285000,180332000,106770000,78138000,194329000,374661000,399774000,774435000,9774000,9245000,7481000,-4425000,22075000,-12421000,-12421000,-1250000,-13000,-13000.0000000009,-1262999.99999999,8391000,8391000,8391000,21579000,100844000,8212000,0.40537,0.02951,0.02339,0.02445,0.01262,0.84019,2.09963,0.93718,0.13022,0.152,0.14698,6.49999,0.127710000000001,0.01609,0.01352,-6.47213,-11.32333
"41","2021_Q2",31.2120634920635,"Up",283772000,-168292000,115480000,-128941000,-108498000,-11603000,-8840000,-13461000,-41000,-1040000,-13502000,-13502000,3740000,-9762000,-9762000,-9762000,-9762000,11012000,11012000,31993000,31993000,192613000,39316000,39316000,274934000,198412000,461313000,208048000,141587000,111678000,659725000,934659000,185493000,140093000,47939000,233432000,134167000,106138000,309689000,543121000,391538000,934659000,-9762000,8840000,1927000,-91713000,-90708000,-6958000,-258226000,122500000,-867000,-1088000,119440000,-229494000,-229494000,-229494000,-4621000,223461000,-107032000,0.40695,-0.04744,-0.0344,-0.02493,-0.01044,10.96415,1.17779,1.38715,0.23908,-0.15177,-0.15177,4.41188,-1.66405,-0.01303,-0.14287,-45.97468,-15.78256
"42","2021_Q3",31.6140625,"Up",877256000,-479010000,398246000,-250644000,-225531000,-14053000,-11060000,147602000,330000,-1927000,147932000,147932000,-34255000,113677000,113677000,113677000,113677000,370586000,370586000,72590000,72590000,89389000,30879000,30879000,563444000,197598000,461218000,208048000,140672000,112498000,658816000,1222260000,390787000,285822000,25953000,416740000,1.37e+08,109756000,307912000,724652000,497608000,1222260000,113677000,11060000,2608000,280010000,407355000,-8750000,-9710000,-27500000,-10571000,-11382000,-38071000.0000001,359574000,359574000,359574000,158662000,196865000,464177000,0.45397,0.16825,0.12958,0.22845,0.09301,4.0833,1.35203,1.45627,0.16107,1.75623,1.6507,13.55296,7.17119,0.13672,0.55826,-1.09491,-1.17696
"43","2021_Q4",29.0553125,"Down",474234000,-289535000,184699000,-185008000,-158835000,-14281000,-11892000,-309000,-608000,-1553000,-917000,-917000,2344000,1427000,1427000,1427000,1427000,256783000,256783000,39121000,39121000,122385000,30243000,30243000,448532000,197490000,461298000,208048000,139962000,113288000,658788000,1107320000,275394000,215177000,28521000,303915000,137077000,110576000,303290000,607205000,500115000,1107320000,1427000,11892000,3287000,-115042000,-98436000,-11113000,-11079000,-2497000,-1791000,-2355000,-4288000,-113803000,-113803000,-113803000,11583000,194734000,-116916000,0.38947,-0.00065,0.00301,0.00284999999999994,0.00129000000000003,-81.93132,1.47585,1.21413,0.17586,0.02199,0.02146,7.30895,-1.80192,0.00172,-0.14054,-5.3569,200.80583
"44","2022_Q1",17.1896774193548,"Down",486983000,-288979000,198004000,-182749000,-157540000,-14491000,-10718000,15255000,347000,-1340000,15602000,15602000,-2292000,13310000,13310000,13310000,13310000,173573000,173573000,20831000,20831000,153863000,51792000,51792000,400059000,215287000,461333000,208150000,139048000,114135000,676620000,1076679000,235946000,178512000,29992000,265938000,140159000,105997000,301671000,567609000,509070000,1076679000,13310000,10718000,11295000,-80244000,-44920999.9999999,-28398000,-28902000,-2500000,-6887000,-7544000,-9387000,-83210000,-83210000,-83210000,25973000,191504000,-80376999.9999999,0.40659,0.03133,0.02733,0.02615,0.01236,-6.03884000000001,1.50433,1.11499,0.17787,0.2059,0.19996,7.53331,-1.24338,0.01583,-0.0956,0.69037,1.17542
"45","2022_Q2",11.0453225806452,"Down",309373000,-183859000,125514000,-145838000,-121445000,-13423000,-10970000,-20324000,-932000,-1528000,-21256000,-21256000,8057000,-13199000,-13199000,-13199000,-13199000,3785000,3785000,30635000,30635000,282439000,68644000,68644000,385503000,216083000,488300000,208150000,138144000,142006000,704383000,1089886000,238361000,172998000,36453000,274814000,167887000,134466000,324698000,599512000,490374000,1089886000,-13199000,10970000,2727000,-150662000,-150164000,-11122000,-11122000,-18635498.6510807,-8502000,-9065000,-8502000,-169788000,-169788000,-169788000,-9354000,193264000,-179195000,0.4057,-0.06569,-0.04266,-0.02692,-0.01211,13.57641,1.40278,1.22256,0.17732,-0.20287,-0.20287,4.75505,-2.75422,-0.0155,-0.21044,-20.25647,-9.32291999999999
"46","2022_Q3",8.8465625,"Down",943044000,-564594000,378450000,-262721000,-236643000,-13490000,-12588000,115729000,734000,-1723000,116463000,116463000,-27995000,88468000,88468000,88468000,88468000,271068000,271068000,77797000,77797000,191050000,32956000,32956000,572871000,226660000,521807000,212533000,147178000,162096000,748467000,1321338000,388602000,279345000,32344000,420946000,183588000,150732000,335432000,756378000,564960000,1321338000,88468000,12588000,146000.000000001,234810000,336012000,-21486000,-42272000,-1e+07,-16173000,-16456000,-26457000,267283000,267283000,267283000,128317000,184188000,369636000,0.40131,0.12272,0.09381,0.15659,0.06695,4.17819,1.36091,1.33882,0.1394,1.35975,1.35975,14.49454,5.68129,0.09485,0.39629,-0.67707,-0.75072
