"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","long_term_borrowings","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",173.577619047619,"Up",686361000,-190619000,495742000,-135631000,-22311000,-113320000,360111000,5952000,-2389000,-13446000,17218000,4569000,366063000,358274000,358274000,358274000,-1600000,356674000,-76957000,279717000,694233000,694233000,694233000,9006048000,14591873000,-5585825000,1065413000,205868000,726168000,133377000,10071461000,10765694000,380420000,380420000,380420000,1425854000,1425854000,1425854000,1806274000,4.025e+09,5648423000,-662360000,-74873000,8936190000,23230000,8959420000,10765694000,358274000,113320000,25219000,12876000,537192000,-155909000,-47269000,-108640000,-155909000,991703000,292972000,292972000,-411564000,-49389000,331894000,331894000,-61000,331833000,473431000,1425854000,0.72228,0.52467,0.40754,0.03122,0.02598,1.82491,0.20161,0.13244,1.61022,1.60535,3.9511,28.2717,4,0.11576,1.54536,2.03165
"32","2018_Q1",161.550163934426,"Down",672308000,-151879000,520429000,-140651000,-20551000,-120100000,379778000,10739000,-8137000,-5593000,18420000,6049000,390517000,390963000,390963000,390963000,-1564000,389399000,-55319000,334080000,433376000,433376000,433376000,9230099000,14930430000,-5700331000,1069417000,214957000,724173000,130287000,10299516000,10732892000,337201000,337201000,337201000,1431322000,1431322000,1431322000,1768523000,4.025e+09,5665784000,-675711000,-75064000,8940009000,24360000,8964369000,10732892000,390963000,120100000,12632000,589000.000000002,473160000,-338495000,-203603000,-135399000,-338495000,-485999.999999762,7746000,7746000,-404867000,-397607000,-262942000,-262942000,39000,-262903000,499878000,1431322000,0.77409,0.56489,0.49692,0.03727,0.03113,1.28522,0.19728,0.13336,1.92252,1.91758,3.86891,28.28424,4,0.03214,1.99638,2.62771
"33","2018_Q2",174.40140625,"Up",669924000,-192827000,477097000,-149499000,-31520000,-117979000,327598000,16414000,-8107000,-11818000,30795000,5544000,344012000,344436000,344436000,344436000,-1439000,342997000,-55178000,287819000,363030000,363030000,363030000,9235022000,15046308000,-5811286000,1087468000,210733000,746254000,130481000,10322490000,10685520000,326819000,326819000,326819000,1442911000,1442911000,1442911000,1769730000,4.025e+09,5672660000,-735806000,-70851000,8891003000,24787000,8915790000,10685520000,344436000,117979000,10158000,-6752000,458519000,-114900000,-18024000,-98823000,-114900000,-440000,967000,967000,-414173000,-413646000,-70027000,-70027000,-25000,-70052000,445577000,1442911000,0.71217,0.48901,0.42963,0.03228,0.02694,1.1108,0.19849,0.13503,1.65516,1.65273,3.85253,27.9829,5,0.02779,2.42356,3.29636
"34","2018_Q3",182.424761904762,"Up",685528000,-190977000,494551000,-151106000,-31329000,-119777000,343445000,61847000,-8388000,21944000,41963000,6328000,405292000,405292000,405292000,405292000,-1490000,403802000,-55502000,348300000,338419000,338419000,338419000,9254989000,15178676000,-5923687000,1099554000,207390000,762247000,129917000,10354543000,10692962000,351336000,351336000,351336000,1420834000,1420834000,1420834000,1772170000,4.025e+09,5690472000,-735065000,-84601000,8895806000,24986000,8920792000,10692962000,405292000,119777000,-33990000,-51268000,519391000,-139765000,-15906000,-123859000,-139765000,-442000.00000003,732000,732000,-404525000,-404235000,-24609000,-24609000,38000,-24571000,463222000,1420834000,0.72142,0.50099,0.50808,0.03904,0.03257,0.96323,0.19866,0.13288,2.00251,1.99915,3.94136,28.00408,5,0.03368,2.33671,3.15164
"35","2018_Q4",174.19126984127,"Down",706368000,-195544000,510824000,-151945000,-27429000,-124516000,358879000,19309000,-8094000,2612000,17771000,7020000,378188000,379589000,379589000,379589000,-1562000,378027000,-55348000,322679000,432525000,432525000,432525000,9348350000,15389612000,-6041262000,967065000,209317000,619405000,138343000,10315415000,10747940000,409973000,409973000,409973000,1417945000,1417945000,1417945000,1827918000,4.025e+09,5714714000,-760284000,-84339000,8895091000,24931000,8920022000,10747940000,379589000,124516000,64901000,47253000,600426000,-198842000,-73845000,-126440000,-106915000,-447000,6244000,6244000,-405470000,-399673000,93838000,93838000,-156000,93682000,483395000,1417945000,0.72317,0.50806,0.45681,0.03617,0.03002,1.05501,0.20492,0.13193,1.85474,1.85078,4.06017,27.99305,6,0.03121,2.03854,2.74583
"36","2019_Q1",180.31262295082,"Up",697703000,-177735000,519968000,-135808000,-14434000,-121374000,384160000,16052000,-7953000,5379000,12966000,5660000,400212000,587906000,587906000,587906000,-1701000,586205000,-56103000,530102000,361218000,361218000,361218000,9442111000,15582183000,-6140072000,1124941000,209856000,783988000,131097000,10567052000,10928270000,371259000,371259000,371259000,1412283000,1412283000,1412283000,1783542000,4.025e+09,5735898000,-577360000,-64060000,9119478000,25250000,9144728000,10928270000,587906000,121374000,-178292000,-196392000,485310000,-208525000,-554257000,349122000,-154341000,-455000,4581999.99999999,4581999.99999999,-406161000,-402034000,-71065000,-71065000,-28000,-71093000,505534000,1412283000,0.74526,0.55061,0.75978,0.05797,0.04851,0.97295,0.19503,0.12923,3.04522,3.03839,4.00801,29.26566,4,0.05021,2.07912,2.73601
"37","2019_Q2",199.366349206349,"Up",689038000,-204201000,484837000,-141444000,-19503000,-121941000,343393000,24285000,-8143000,7791000,17672000,6965000,367678000,367678000,367678000,367678000,-1157000,366521000,-64778000,301743000,217973000,217973000,217973000,9495670000,15751145000,-6255475000,1161373000,210459000,784314000,166600000,10657043000,10875016000,374245000,374245000,374245000,1406150000,1406150000,1406150000,1780395000,4.025e+09,5726121000,-615329000,-65971000,9069821000,24800000,9094621000,10875016000,367678000,121941000,-3364000,-10028000,473584000,-133263000,-125090000,-8173000,-193245000,-467000,278316000,278316000,-415854000,-423005000,-142666000,-142666000,50000,-142616000,465334000,1406150000,0.70364,0.49837,0.43792,0.03318,0.02775,0.58243,0.19576,0.1293,1.73239,1.73042,3.95596,28.96376,5,0.05588,2.55339,3.46011
"38","2019_Q3",220.04,"Up",710950000,-207736000,503214000,-142123000,-15264000,-126859000,361091000,10024000,-12254000,-5218000,18914000,8582000,371115000,371456000,371456000,371456000,-1400000,370056000,-63645000,306411000,360331000,360331000,360331000,9598487000,15973619000,-6375132000,1154473000,210178000,778523000,165772000,10752960000,11113291000,410671000,410671000,410671000,1908110000,1908110000,1908110000,2318781000,3737500000,5747374000,-648391000,-67549000,8768934000,25576000,8794510000,11113291000,371456000,126859000,14800000,9089999.99999997,541610000,-209694000,-208476000,-1218000.00000006,-219898000,496419000,15797000,15797000,-403996000,-179280000,142432000,142432000,-3999.99999999999,142428000,487950000,1908110000,0.70781,0.5079,0.43099,0.03484,0.02757,0.87742,0.26366,0.1717,1.75843,1.75551,4.07999,28.8743,4,0.05549,3.172,4.2864
"39","2019_Q4",196.04734375,"Down",729336000,-212262000,517074000,-146141000,-16908000,-129233000,370933000,28487000,-12597000,15574000,19045000,6465000,399420000,399420000,399420000,399420000,-1478000,397942000,-60580000,337362000,541357000,541357000,541357000,9718516000,16215505000,-6496989000,1153988000,211476000,771167000,171345000,10872504000,11413861000,444962000,444962000,732462000,1892435000,1892435000,1892435000,2624897000,3766250000,5736620000,-650222000,-78513000,8774135000,14829000,8788964000,11413861000,399420000,129233000,-12068000,-19182000,552451000,-327721000,-207741000,-120742000,-257535000,-484000,322967000,322967000,-436583000,-114100000,180816000,180816000,45000,180861000,500166000,1892435000,0.70897,0.50859,0.46256,0.03838,0.02956,0.73909,0.29866,0.1658,1.93514,1.93207,4.18353,28.72564,4,0.03158,2.70126,3.64238
"40","2020_Q1",191.067258064516,"Down",725784000,-188953000,536831000,-145356000,-10471000,-134885000,391475000,-4378000,-12647000,-10318000,13916000,4671000,387097000,387097000,387097000,387097000,-1082000,386015000,-58764000,327251000,409743000,409743000,409743000,9807605000,16431080000,-6623475000,1148096000,205936000,767816000,174344000,10955701000,11365444000,383284000,383284000,383284000,1902493000,1902493000,1902493000,2285777000,4.065e+09,5728376000,-665575000,-64890000,9062911000,16756000,9079667000,11365444000,387097000,134885000,29697000,49185000,499989000,-239065000,-368436000,130133000,-226673000,-488000,475640000,475640000,-402002000,-404350000,-131034000,-131047000,-91000,-131138000,526360000,1902493000,0.73966,0.53938,0.45089,0.03604,0.02879,1.06903,0.25175,0.16739,1.87662,1.8744,4.16201,28.66054,5,0.07328,2.83599,3.81314
"41","2020_Q2",173.789841269841,"Down",719044000,-224668000,494376000,-153768000,-17868000,-135900000,340608000,25411000,-13621000,8945000,23968000,6119000,366019000,367136000,367136000,367136000,-980000,366156000,-53022000,313134000,718427000,718427000,718427000,9959530000,16710680000,-6751150000,1147964000,209440000,763226000,175298000,11107494000,11825921000,357045000,357045000,357045000,2438668000,2438668000,2438668000,2795713000,4.065e+09,5727309000,-701226000,-78005000,9013078000,17130000,9030208000,11825921000,367136000,135900000,-40086000,-45763000,462950000,-291303000,-291303000,1050472735.11439,-289904000,544654000,1763000,1763000,-410920000,135497000,308543000,308543000,31000,308574000,476508000,2438668000,0.68755,0.4737,0.43549,0.03468,0.02648,2.01215,0.3096,0.20621,1.79502,1.79327,4.12187,28.36453,4,0.0273,3.6101,5.0505
"42","2020_Q3",185.91125,"Up",712943000,-232289000,480654000,-154722000,-17104000,-137618000,325932000,-10120000,-14145000,-19295000,17655000,5665000,315812000,315812000,315812000,315812000,-889000,314923000,-68804000,246119000,1268475000,1268475000,1268475000,9969870000,16851228000,-6881358000,1119710000,206922000,753358000,159430000,11089580000,12358055000,394986000,394986000,889986000,2457871000,2457871000,2457871000,3347857000,4.135e+09,5719916000,-789089000,-73136000,8992691000,17507000,9010198000,12358055000,315812000,137618000,85694000,78570000,539124000,-150593000,-150593000,2142526295.81674,-134930000,-503000.000000119,551093000,551093000,-403908000,146682000,550876000,550848000,-31000,550817000,463550000,2457871000,0.67418,0.45716,0.34522,0.02732,0.01992,1.42528,0.37156,0.19889,1.41047,1.40981,4.08577,27.83873,4,0.02146,2.56584,3.64922
"43","2020_Q4",210.37953125,"Up",734545000,-224353000,510192000,-156595000,-18262000,-138333000,353597000,-27750000,-14282000,-41900000,21240000,7192000,325847000,325847000,325847000,325847000,-980000,324867000,-77951000,246916000,293955000,293955000,293955000,9947322000,16960684000,-7013362000,1143871000,204700000,769923000,169248000,11091193000,11385148000,433524000,433524000,433524000,2499570000,2499570000,2499570000,2933094000,3.64e+09,5724421000,-867950000,-62344000,8434127000,17927000,8452054000,11385148000,325847000,138333000,64086000,76887000,528266000,-105966000,-105966000,2741085888.9619,-103317000,-505000,226390000,226390000,-404907000,-1399022000,-974073000,-974237000,16236.2304957442,-974237000,491930000,2499570000,0.69457,0.48138,0.33615,0.02921,0.02169,0.67806,0.34703,0.21955,1.41497,1.41397,4.20935,27.47303,3,0.13395,4.4836,6.23765
"44","2021_Q1",215.646229508197,"Up",748536000,-186152000,562384000,-171371000,-29965000,-141406000,391013000,-38957000,-14235000,-45703000,17634000,3347000,352056000,352432000,352432000,352432000,-1165000,351267000,-59101000,292166000,257560000,257560000,257560000,10408571000,17560706000,-7152135000,1150415000,204654000,773046000,172715000,11558986000,11816546000,394655000,394655000,694655000,2544992000,2544992000,2544992000,3239647000,3792500000,5724559000,-914791000,-43401000,8558867000,18032000,8576899000,11816546000,352432000,141406000,18724000,18724000,512562000,-603815000,-603815000,2180943721.4047,-589563000,-514999.999999985,441624000,441624000,-399982000,41127000.0000005,-35874000.0000002,-36108000,147524.134660635,-36108000,532419000,2544992000,0.75131,0.52237,0.39032,0.03406,0.02473,0.37077,0.37772,0.21538,1.67399,1.67191,4.28879,27.30926,4,0.02627,4.2963,5.85002
"45","2021_Q2",261.777619047619,"Up",767262000,-228423000,538839000,-166433000,-19574000,-146859000,372406000,52443000,-15250000,45385000,19456000,2852000,424849000,434262000,434262000,434262000,-1226000,433036000,-47226000,385810000,159622000,159622000,159622000,10559664000,17845996000,-7286332000,1262449000,205061000,771075000,286313000,11822113000,11981735000,368309000,368309000,3364420000,3033305096.69072,3033305096.69072,3033305096.69072,3364420000,3792500000,5732719000,-877931000,-49341000,8597947000,19368000,8617315000,11981735000,434262000,146859000,-71959000,-71959000,509162000,-300872000,-97764000,-203108000,-403725000,495708000,4703000,4703000,-403382000,-202971000,-97534000,-97534000,178000,-97356000,519265000,2996111000,0.70229,0.48537,0.50284,0.04477,0.0322,0.04744,0.39043,0.25006,2.20954,2.20665,4.39412,27.52087,7,0.05905,5.46251,7.61666
"46","2021_Q3",294.766875,"Up",829315000,-218586000,610729000,-200468000,-27740000,-172728000,410261000,-2522000.00000001,-21994000,-12707000,29066000,3113000,407739000,411730000,411730000,411730000,-1304000,410426000,-64177000,346249000,480810000,480810000,480810000,12791988000,20227645000,-7435657000,1217567000,265486000,767914000,184167000,14009555000,14490365000,406642000,406642000,5727262000,4106486639.63962,4106486639.63962,4106486639.63962,5727262000,3871250000,5782158000,-863742000,-46082000,8743584000,19519000,8763103000,14490365000,411730000,172728000,36835000,36835000,621293000,-2443310000,-128060000,-2315250000,-2315979000,1985768000,629233000,629233000,-399119000,2015882000,321196000,321196000,-5000,321191000,582989000,4995620000,0.73643,0.4947,0.41751,0.03951,0.0239,0.0839499999999999,0.65357,0.34475,1.98297,1.98038,4.7495,27.90394,7,0.0397,7.74425,11.00473
"47","2021_Q4",315.75265625,"Up",894931000,-236734000,658197000,-220234000,-31682000,-188552000,437963000,53386000,-23736000,40906000,32860000,3356000,491349000,491628000,491628000,491628000,-1537000,490091000,-47764000,442327000,958247000,958247000,958247000,13086406000,20684902000,-7598496000,1240033000,258949000,779272000,201812000,14326439000,15284686000,474198000,474198000,474198000,5773190000,5773190000,5773190000,6247388000,4.015e+09,5826448000,-771114000,-52980000,9017354000,19944000,9037298000,15284686000,491628000,188552000,4085000,4085000,684265000,-471732000,-2990090000,2518358000,-471375000,817099000,172787000,172787000,-4e+08,264886000,477776000,478089000,-173000,477916000,626515000,5773190000,0.73547,0.48938,0.49426,0.04894,0.02894,2.02077,0.69129,0.37771,2.52865,2.51599,5.11605,28.59697,7,0.05181,7.68528,10.99395
"48","2022_Q1",345.010967741935,"Up",924316000,-236855000,687461000,-227547000,-22258000,-205289000,459914000,162105000,-29794000,38203000,150711000,2985000,622019000,622019000,622019000,622019000,-2309000,619710000,-61652000,558058000,734599000,734599000,734599000,15306996000,23080304000,-7773308000,1339313000,302894000,828763000,207656000,16646309000,17380908000,482091000,482091000,482091000,7475279000,7475279000,7475279000,7957370000,4.1e+09,5839180000,-550416000,-53587000,9335177000,88361000,9423538000,17380908000,622019000,205289000,-98473000,-98473000,728835000,-2383411000,-2383411000,2749348416.78442,-2372432000,1738111000,436592000,436592000,-404359000,1420344000,-223253000,-223061000,2100.65302862242,-223061000,665203000,7475279000,0.74375,0.49757,0.60375,0.05922,0.03211,1.52378,0.84441,0.43009,3.19025,3.17428,5.28404,29.92795,5,0.05374,10.13327,14.65639
"49","2022_Q2",330.984516129032,"Down",973445000,-261009000,712436000,-245197000,-23069000,-222128000,467239000,49056000,-33124000,35377000,43424000,3379000,516295000,516295000,516295000,516295000,-2352000,513943000,-49819000,464124000,940524000,940524000,940524000,15422723000,23381259000,-7958536000,1335534000,271127000,850649000,213758000,16758257000,17698781000,453971000,453971000,453971000,7441723000,7441723000,7441723000,7895694000,4.35e+09,5845195000,-436101000,-60382000,9698712000,104375000,9803087000,17698781000,516295000,222128000,-82182000,-82182000,656241000,-288531000,-176254000,-112277000,-288531000,-236000,250905000,250905000,-411922000,-161253000,206457000,206457000,173000,206630000,689367000,7441723000,0.73187,0.47999,0.47679,0.04734,0.02622,2.07177,0.80543,0.42047,2.65106,2.63589,5.56029,30.55167,6,0.02691,9.43068,13.91408
"50","2022_Q3",326.53612244898,"Down",1032045000,-255199000,776846000,-247539000,-28831000,-218708000,529307000,127586000,-32941000,101723000,48525000,10279000,656893000,656893000,656893000,656893000,-3043000,653850000,-50469000,603381000,1013886000,1013886000,1013886000,15545495000,23695608000,-8150113000,1303470000,249744000,845894000,207832000,16848965000,17862851000,473599000,473599000,473599000,7340904000,7340904000,7340904000,7814503000,4.35e+09,5866156000,-182213000,-79217000,9954726000,93622000,10048348000,17862851000,656893000,218708000,-78069000,-78069000,797532000,-311822000,-192682000,-119140000,-307285000,-235999.999999762,3419000,3419000,-419789000,-416606000,73641000,73641000,-173000,73468000,748015000,7340904000,0.75272,0.51287,0.58465,0.06005,0.03378,2.14081,0.77769,0.41096,3.44339,3.42223,5.88969,31.98515,7,0.0347,8.45841,11.9534
