"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",157.690952380952,"Up",2.8099e+10,-2.4288e+10,3.811e+09,-2.962e+09,-2.94e+09,-2.2e+07,8.49e+08,-3e+06,-2.9e+07,2.6e+07,8.46e+08,8.46e+08,-2.91e+08,5.55e+08,5.55e+08,-1e+07,5.45e+08,5.45e+08,6.116e+09,4.805e+09,1.311e+09,1.498e+09,1.498e+09,1.0721e+10,2.35e+08,1.857e+10,1.7156e+10,2.6438e+10,8.06e+08,1.7962e+10,3.6532e+10,1.3537e+10,1.1003e+10,2.534e+09,4.465e+09,4.465e+09,1.9161e+10,3.933e+09,3.933e+09,1.207e+09,1.207e+09,5.14e+09,2.4301e+10,5.53e+09,2e+06,5.528e+09,7.882e+09,-1.439e+09,1.1973e+10,2.58e+08,1.2231e+10,3.6532e+10,5.55e+08,2.97e+08,1.7e+08,2.11e+08,4.9e+07,-9e+07,1.771e+09,-1.983e+09,3.707e+09,4.7e+07,2.793e+09,-6.67e+08,-6.67e+08,-6.67e+08,1.2e+07,-6.55e+08,-1.98e+08,0,-1.22e+08,-1.22e+08,-3.4e+08,-6.6e+08,1.478e+09,1.478e+09,-5.2e+07,1.426e+09,1.146e+09,5.092e+09,2.541e+09,0.13563,0.03021,0.0194,0.04456,0.01492,4.66239,0.96916,1.98684,0.13938,1.24427,1.23716,64.15194,27.33518,5.80128,0.45205,0.0401,0.13713,0.3633,-0.89354,-1.20612
"30","2017_Q3",146.355396825397,"Down",2.9766e+10,-2.5927e+10,3.839e+09,-2.995e+09,-2.98e+09,-1.5e+07,8.44e+08,-3.5e+07,-3.1e+07,-4e+06,8.09e+08,8.09e+08,-2.88e+08,5.21e+08,5.21e+08,-6e+06,5.15e+08,5.15e+08,5.965e+09,4.744e+09,1.221e+09,1.597e+09,1.597e+09,9.53e+09,3.68e+08,1.746e+10,1.7342e+10,2.6891e+10,8.28e+08,1.817e+10,3.563e+10,1.1544e+10,8.764e+09,2.78e+09,5.059e+09,5.059e+09,1.886e+10,2.815e+09,2.815e+09,1.243e+09,1.243e+09,4.058e+09,2.2918e+10,5.633e+09,2e+06,5.631e+09,8.14e+09,-1.333e+09,1.244e+10,2.72e+08,1.2712e+10,3.563e+10,5.21e+08,3.12e+08,1.48e+08,1.11e+08,-4e+06,4.1e+07,-4.88e+08,1.248e+09,-2.128e+09,3.92e+08,4.93e+08,-5.16e+08,-5.16e+08,-5.16e+08,1.19e+08,-3.97e+08,0,1.19209289550781e-07,-6.8e+07,-6.8e+07,-9.7e+07,-1.65e+08,-6.9e+07,-6.9e+07,8000000.00000001,-60999999.9999995,1.156e+09,5.072e+09,4.4e+08,0.12897,0.02835,0.0173,0.04051,0.01445,0.85437,0.92577,1.80286,0.14235,1.17278,1.16871,67.78449,28.32893,1.00199,0,0.02707,0.02313,0,-0.77249,-1.05806
"31","2017_Q4",161.310317460317,"Up",2.886e+10,-2.497e+10,3.89e+09,-2.922e+09,-2.907e+09,-1.5e+07,9.68e+08,-3e+06,-2.1e+07,1.8e+07,9.65e+08,9.65e+08,-2.59e+08,7.06e+08,7.06e+08,-6e+06,7e+08,7e+08,5.725e+09,4.538e+09,1.187e+09,1.462e+09,1.462e+09,9.736e+09,3.33e+08,1.7256e+10,1.7535e+10,2.7324e+10,8.4e+08,1.8375e+10,3.5631e+10,1.1939e+10,9.425e+09,2.514e+09,8.297e+09,8.297e+09,2.1394e+10,2.821e+09,2.821e+09,1.231e+09,1.231e+09,4.052e+09,2.5446e+10,5.711e+09,2e+06,5.709e+09,5.508e+09,-1.321e+09,9.898e+09,2.87e+08,1.0185e+10,3.5631e+10,7.06e+08,3.2e+08,6.7e+07,8.2e+07,2e+06,-1.7e+07,5.13e+08,-2.17e+08,6.55e+08,7.5e+07,1.606e+09,-5.4e+08,-5.4e+08,-5.4e+08,4.2e+07,-4.98e+08,-1.98e+08,-1.1e+09,-4.6e+07,-4.6e+07,2.8e+07,-1.316e+09,-2.08e+08,-2.08e+08,2e+06,-2.06e+08,1.288e+09,3.979e+09,1.52e+09,0.13479,0.03354,0.02426,0.06873,0.01965,2.17143,0.80658,2.49838,0.11167,1.5952,1.5871,65.76773,22.5561,3.46386,0.45121,0.05833,0.09873,0.28286,-1.35559,-1.80372
"32","2018_Q1",176.765737704918,"Up",4.23e+10,-3.6697e+10,5.603e+09,-4.153e+09,-4.123e+09,-3e+07,1.45e+09,-3.1e+07,-5.3e+07,2.2e+07,1.419e+09,1.419e+09,-4.87e+08,9.32e+08,9.32e+08,-1.3e+07,9.19e+08,9.19e+08,5.779e+09,4.546e+09,1.233e+09,1.432e+09,1.432e+09,9.834e+09,2.72e+08,1.7317e+10,1.8161e+10,2.8341e+10,8.69e+08,1.903e+10,3.6347e+10,1.2311e+10,9.608e+09,2.703e+09,5.184e+09,5.184e+09,1.7495e+10,6.573e+09,6.573e+09,1.2e+09,1.2e+09,7.773e+09,2.5268e+10,5.804e+09,4e+06,5.8e+09,5.988e+09,-1.014e+09,1.0778e+10,3.01e+08,1.1079e+10,3.6347e+10,9.32e+08,4.41e+08,8.6e+07,1.1e+08,-7.6e+07,5.2e+07,3.75e+08,5.8e+07,24000000.0000005,2.93e+08,1.834e+09,-7.79e+08,-7.79e+08,-7.79e+08,-3.7e+07,-8.16e+08,-3.508e+09,2.682e+09,-2.33e+08,-2.33e+08,-1.8e+07,-1.077e+09,-5.9e+07,-5.9e+07,6.7e+07,8e+06,1.891e+09,6.573e+09,1.974e+09,0.13246,0.03428,0.02173,0.08295,0.02528,2.14799,0.98983,2.28071,0.18084,2.09915,2.08149,96.62012,24.61872,4.50894,8.01285,0.23483,0.10471,3.81719,0.41988,0.54759
"33","2018_Q2",185.64171875,"Up",3.1809e+10,-2.7617e+10,4.192e+09,-3.241e+09,-3.224e+09,-1.7e+07,9.51e+08,-1.5e+07,-3.7e+07,2.2e+07,9.36e+08,9.36e+08,-2.85e+08,6.51e+08,6.51e+08,-1.1e+07,6.4e+08,6.4e+08,6.885e+09,5.689e+09,1.196e+09,1.559e+09,1.559e+09,1.1213e+10,2.4e+08,1.9897e+10,1.8682e+10,2.9109e+10,7.99e+08,1.9481e+10,3.9378e+10,1.4783e+10,1.1992e+10,2.791e+09,5.577e+09,5.577e+09,2.036e+10,6.478e+09,6.478e+09,1.184e+09,1.184e+09,7.662e+09,2.8022e+10,5.815e+09,4e+06,5.811e+09,6.3e+09,-1.037e+09,1.1078e+10,2.78e+08,1.1356e+10,3.9378e+10,6.51e+08,3.35e+08,2.27e+08,2.34e+08,-2e+06,-5e+06,7.93e+08,-1.415e+09,2.058e+09,1.5e+08,2.006e+09,-8.2e+08,-8.2e+08,-8.2e+08,3.5e+07,-7.85e+08,0,-5.8e+07,-1.24e+08,-1.24e+08,1.24e+08,-5.8e+07,1.163e+09,1.163e+09,-2e+07,1.143e+09,1.286e+09,6.478e+09,1.544e+09,0.13179,0.0299,0.02012,0.05636,0.01625,2.4125,0.97726,2.46759,0.16451,1.4613,1.45174,72.62909,25.29426,3.5254,0,0.03365,0.08119,0,-0.31649,-0.42797
"34","2018_Q3",212.138571428571,"Up",3.2995e+10,-2.8733e+10,4.262e+09,-3.246e+09,-3.234e+09,-1.2e+07,1.016e+09,-3e+07,-3.7e+07,7e+06,9.86e+08,9.86e+08,-2.73e+08,7.13e+08,7.13e+08,-1.2e+07,7.01e+08,7.01e+08,5.83e+09,4.781e+09,1.049e+09,2.001e+09,2.001e+09,1.0671e+10,3.97e+08,1.8899e+10,1.9049e+10,2.9803e+10,7.55e+08,1.9804e+10,3.8703e+10,1.3058e+10,1.0061e+10,2.997e+09,5.855e+09,5.855e+09,1.8913e+10,6.505e+09,6.505e+09,1.232e+09,1.232e+09,7.737e+09,2.665e+10,5.924e+09,4e+06,5.92e+09,6.727e+09,-8.97e+08,1.1754e+10,2.99e+08,1.2053e+10,3.8703e+10,7.13e+08,3.44e+08,6.5e+07,1.12e+08,-6.2e+07,1.5e+07,-1.013e+09,6.13e+08,-1.572e+09,-5.4e+07,1.09e+08,-5.08e+08,-5.08e+08,-5.08e+08,1.35e+08,-3.73e+08,-2.2e+08,0,-6e+07,-6e+07,-4.1e+08,-6.9e+08,-9.54e+08,-9.54e+08,4.6e+07,-9.08e+08,1.36e+09,6.505e+09,1.12e+08,0.12917,0.03079,0.02125,0.05816,0.01811,0.15977,0.99926,2.21107,0.16807,1.59673,1.58752,75.15569,26.77315,0.25511,0.501109999999999,0.0465400000000001,0.00566,0.31384,0.49632,0.66437
"35","2018_Q4",210.931904761905,"Down",3.2361e+10,-2.8131e+10,4.23e+09,-3.163e+09,-3.155e+09,-8e+06,1.067e+09,4e+06,-3.7e+07,4.1e+07,1.071e+09,1.071e+09,-3.09e+08,7.62e+08,7.62e+08,-1.2e+07,7.5e+08,7.5e+08,7.044e+09,5.877e+09,1.167e+09,1.593e+09,1.593e+09,1.0626e+10,4.3e+08,1.9693e+10,1.9178e+10,3.011e+10,7.34e+08,1.9912e+10,3.9605e+10,1.3402e+10,1.0705e+10,2.697e+09,6.009e+09,6.009e+09,1.9411e+10,6.492e+09,6.492e+09,1.255e+09,1.255e+09,7.747e+09,2.7158e+10,6.005e+09,4e+06,6.001e+09,7.176e+09,-1.038e+09,1.2143e+10,3.04e+08,1.2447e+10,3.9605e+10,7.62e+08,3.27e+08,1.15e+08,8.5e+07,4.3e+07,-1.3e+07,9.01e+08,-2.6e+07,6.74e+08,2.53e+08,2.105e+09,-5.85e+08,-5.85e+08,-5.85e+08,-1.09e+08,-6.94e+08,-2.19e+08,0,-5.4e+07,-5.4e+07,7e+06,-2.66e+08,1.145e+09,1.145e+09,-4.9e+07,1.096e+09,1.394e+09,6.492e+09,2.019e+09,0.13071,0.03297,0.02318,0.06026,0.01894,2.692,1.01453,2.18189,0.16392,1.70944,1.69793,73.75895,27.67698,4.60181,0.49916,0.04798,0.09998,0.292,-0.39598,-0.51734
"36","2019_Q1",207.145573770492,"Down",4.4411e+10,-3.8671e+10,5.74e+09,-4.294e+09,-4.263e+09,-3.1e+07,1.446e+09,3e+06,-4.8e+07,5.1e+07,1.449e+09,1.449e+09,-3.96e+08,1.053e+09,1.053e+09,-1e+07,1.043e+09,1.043e+09,7.259e+09,6.055e+09,1.204e+09,1.669e+09,1.669e+09,1.104e+10,3.21e+08,2.0289e+10,1.9681e+10,3.0714e+10,8.6e+08,2.0541e+10,4.083e+10,1.4231e+10,1.1237e+10,2.994e+09,5.695e+09,5.695e+09,1.9926e+10,6.487e+09,6.487e+09,1.314e+09,1.314e+09,7.801e+09,2.7727e+10,6.111e+09,4e+06,6.107e+09,7.887e+09,-1.199e+09,1.2799e+10,3.04e+08,1.3103e+10,4.083e+10,1.053e+09,4.31e+08,8.2e+07,1.13e+08,-2.8e+07,-3e+06,-12000000.0000005,-4.85e+08,4.01e+08,7.2e+07,1.554e+09,-1.056e+09,-1.056e+09,-1.056e+09,-3.9e+07,-1.095e+09,-2.5e+08,5.2e+07,-9e+07,-9e+07,20999999.9999999,-2.67e+08,1.92e+08,1.92e+08,-1.4e+07,1.78e+08,1.877e+09,6.487e+09,1.205e+09,0.12925,0.03256,0.02349,0.0796,0.02554,1.15532,1.01822,2.11608,0.15888,2.37947,2.35333,101.31795,29.19926,2.74905,0.57034,0.06185,0.05764,0.23969,-0.41129,-0.53389
"37","2019_Q2",236.649047619048,"Up",3.5069e+10,-3.0623e+10,4.446e+09,-3.497e+09,-3.475e+09,-2.2e+07,9.49e+08,-1.4e+07,-3.6e+07,2.2e+07,9.35e+08,9.35e+08,-1.58e+08,7.77e+08,7.77e+08,-1e+07,7.67e+08,7.67e+08,7.953e+09,6.778e+09,1.175e+09,1.795e+09,1.795e+09,1.2205e+10,1.001e+09,2.2954e+10,1.9879e+10,3.1144e+10,9.81e+08,2.086e+10,4.3814e+10,1.6115e+10,1.3133e+10,2.982e+09,6.358e+09,6.358e+09,2.2473e+10,6.48e+09,6.48e+09,1.382e+09,1.382e+09,7.862e+09,3.0335e+10,6.111e+09,4e+06,6.107e+09,8.387e+09,-1.331e+09,1.3167e+10,3.12e+08,1.3479e+10,4.3814e+10,7.77e+08,3.31e+08,2.35e+08,2.7e+08,-3.1e+07,-4e+06,8.34e+08,-1.324e+09,1.822e+09,3.36e+08,2.177e+09,-7.3e+08,-7.3e+08,-7.3e+08,-7e+06,-7.37e+08,-5.01e+08,-8.9e+07,-3.2e+07,-3.2e+07,-7.8e+07,-7e+08,7.4e+08,7.4e+08,-1.7e+07,7.23e+08,1.28e+09,6.48e+09,1.542e+09,0.12678,0.02706,0.02187,0.0569,0.01751,2.01043,1.0214,2.25054,0.1479,1.74653,1.73236,79.85527,29.98244,3.51127,1.14082,0.05942,0.07226,0.65319,-1.15078,-1.55216
"38","2019_Q3",267.7025,"Up",3.5396e+10,-3.072e+10,4.676e+09,-3.473e+09,-3.464e+09,-9e+06,1.203e+09,1.2e+07,-3.4e+07,4.6e+07,1.215e+09,1.215e+09,-3.14e+08,9.01e+08,9.01e+08,-1.2e+07,8.89e+08,8.89e+08,7.122e+09,6.08e+09,1.042e+09,1.995e+09,1.995e+09,1.1356e+10,1.175e+09,2.1648e+10,2.0145e+10,3.1702e+10,1.006e+09,2.1151e+10,4.2799e+10,1.3884e+10,1.0711e+10,3.173e+09,6.868e+09,6.868e+09,2.245e+10,4.794e+09,4.794e+09,1.372e+09,1.372e+09,6.166e+09,2.8616e+10,6.222e+09,4e+06,6.218e+09,8.916e+09,-1.28e+09,1.3858e+10,3.25e+08,1.4183e+10,4.2799e+10,9.01e+08,3.52e+08,1.33e+08,1.19e+08,4e+06,1e+07,-1.605e+09,8.75e+08,-2.506e+09,2.6e+07,-2.19e+08,-5.87e+08,-5.87e+08,-5.87e+08,1.53e+08,-4.34e+08,0,0,-1.17e+08,-1.17e+08,6.8e+07,-4.9e+07,-7.02e+08,-7.02e+08,4e+06,-6.98e+08,1.555e+09,6.492e+09,-3.23e+08,0.13211,0.03399,0.02512,0.06268,0.02077,-0.36333,0.96428,2.01763,0.15169,2.01915,2.00985,80.39338,31.47507,-0.73362,-2.22044604925031e-16,0.04032,-0.01465,0,-0.40514,-0.52369
"39","2019_Q4",283.55125,"Up",3.474e+10,-3.0233e+10,4.507e+09,-3.385e+09,-3.371e+09,-1.4e+07,1.122e+09,1e+06,-3.5e+07,3.6e+07,1.123e+09,1.123e+09,-2.07e+08,9.16e+08,9.16e+08,-1e+07,9.06e+08,9.06e+08,8.167e+09,7.013e+09,1.154e+09,1.704e+09,1.704e+09,1.1304e+10,1.11e+09,2.2285e+10,2.0475e+10,3.2224e+10,9.92e+08,2.1467e+10,4.3752e+10,1.4219e+10,1.1331e+10,2.888e+09,6.914e+09,6.914e+09,2.2832e+10,4.799e+09,4.799e+09,1.301e+09,1.301e+09,6.1e+09,2.8932e+10,6.311e+09,4e+06,6.307e+09,9.496e+09,-1.321e+09,1.4486e+10,3.34e+08,1.482e+10,4.3752e+10,9.16e+08,3.36e+08,9.1e+07,9.3e+07,-6e+06,4e+06,7.62e+08,4e+07,6.84e+08,3.8e+07,2.105e+09,-6.72e+08,-6.72e+08,-6.72e+08,-1.02e+08,-7.74e+08,-2.51e+08,0,-4.6e+07,-4.6e+07,-1e+08,-3.97e+08,9.34e+08,9.34e+08,-1e+06,9.33e+08,1.458e+09,6.498e+09,1.755e+09,0.12974,0.0323,0.02608,0.06113,0.02071,1.93709,0.97604,1.95223,0.14852,2.05975,2.04688,78.97985,32.93328,3.98991,0.57064,0.05115,0.07759,0.27704,-1.14472,-1.48752
"40","2020_Q1",290.088225806452,"Up",4.7498e+10,-4.131e+10,6.188e+09,-4.725e+09,-4.684e+09,-4.1e+07,1.463e+09,2.9e+07,-4.5e+07,7.4e+07,1.492e+09,1.492e+09,-3.82e+08,1.11e+09,1.11e+09,-1.3e+07,1.097e+09,1.097e+09,9.444e+09,8.384e+09,1.06e+09,1.535e+09,1.535e+09,1.1395e+10,1.111e+09,2.3485e+10,2.089e+10,32935580579.4797,1.025e+09,2.1915e+10,4.54e+10,1.4855e+10,1.1679e+10,3.176e+09,6.683e+09,6.683e+09,2.3237e+10,5.124e+09,5.124e+09,1.455e+09,1.455e+09,6.579e+09,2.9816e+10,6.421e+09,4e+06,6.417e+09,1.0258e+10,-1.436e+09,1.5243e+10,3.41e+08,1.5584e+10,4.54e+10,1.11e+09,4.73e+08,2.92e+08,1.13e+08,1.8e+08,-999999.999999998,4.18e+08,-1.27e+08,3.22e+08,2.23e+08,2.293e+09,-1.009e+09,-1.009e+09,-1.009e+09,89000000.0000001,-9.2e+08,-2.86e+08,5.08e+08,-5.2e+07,-5.2e+07,-1.71e+08,-1000000.00000012,1.372e+09,1.372e+09,-1e+06,1.371e+09,1.936e+09,6.823e+09,1.727e+09,0.13028,0.0308,0.0231,0.07039,0.02416,1.57429,1.01067,1.91324,0.15029,2.49478,2.47074,108.01898,34.66532,3.92751,0.65042,0.05796,0.07237,0.26071,-1.35382,-1.79152
"41","2020_Q2",291.552063492063,"Up",3.704e+10,-3.2233e+10,4.807e+09,-3.746e+09,-3.732e+09,-1.4e+07,1.061e+09,-3e+06,-3.8e+07,3.5e+07,1.058e+09,1.058e+09,-2.02e+08,8.56e+08,8.56e+08,-1.2e+07,8.44e+08,8.44e+08,1.002e+10,9.027e+09,9.93e+08,1.711e+09,1.711e+09,1.3818e+10,1.094e+09,2.6643e+10,2.1237e+10,3.3311e+10,3.551e+09,2.4788e+10,5.1431e+10,1.7599e+10,1.444e+10,3.159e+09,6.966e+09,6.966e+09,2.6265e+10,5.107e+09,5.107e+09,3.835e+09,3.835e+09,8.942e+09,3.5207e+10,6.395e+09,4e+06,6.391e+09,1.0787e+10,-1.321e+09,1.5861e+10,3.63e+08,1.6224e+10,5.1431e+10,8.56e+08,3.69e+08,3.61e+08,3.01e+08,5e+06,5.5e+07,5.16e+08,-2.384e+09,2.664e+09,2.36e+08,2.102e+09,-7.15e+08,-7.15e+08,-7.15e+08,8.5e+07,-6.3e+08,-5.73e+08,1.22e+08,-3e+07,-3e+07,-3.55e+08,-8.36e+08,6.36e+08,6.36e+08,7e+06,6.43e+08,1.43e+09,6.807e+09,1.433e+09,0.12978,0.02864,0.02279,0.05202,0.01641,1.69787,1.01439,2.17006,0.13235,1.91029,1.90227,83.83543,35.8994,3.24342,1.29691,0.05274,0.05334,0.67891,-2.24685,-3.02828
"42","2020_Q3",322.759375,"Up",3.9072e+10,-3.4056e+10,5.016e+09,-3.75e+09,-3.743e+09,-7e+06,1.266e+09,1.1e+07,-3.4e+07,4.5e+07,1.277e+09,1.277e+09,-3.3e+08,9.47e+08,9.47e+08,-1.6e+07,9.31e+08,9.31e+08,8.715e+09,7.786e+09,9.29e+08,1.988e+09,1.988e+09,1.185e+10,1.15e+09,2.3703e+10,2.1481e+10,3.3861e+10,3.598e+09,2.5079e+10,4.8782e+10,1.4487e+10,1.1072e+10,3.415e+09,7.708e+09,7.708e+09,2.2695e+10,5.099e+09,5.099e+09,3.989e+09,3.989e+09,9.088e+09,3.1783e+10,6.51e+09,4e+06,6.506e+09,1.1384e+10,-1.28e+09,1.6614e+10,3.85e+08,1.6999e+10,4.8782e+10,9.47e+08,3.89e+08,1.5e+08,1.18e+08,-4000000.00000001,3.6e+07,-8.67e+08,1.99e+09,-3.201e+09,3.44e+08,6.19e+08,-5.45e+08,-5.45e+08,-5.45e+08,7.5e+07,-4.7e+08,-1.19209289550781e-07,-1.322e+09,-4.7e+07,-4.7e+07,-2.3e+07,-1.392e+09,-1.243e+09,-1.243e+09,2e+06,-1.241e+09,1.655e+09,5.599e+09,5.73e+08,0.12838,0.0324,0.02383,0.05477,0.01908,0.61547,1.04442,1.8697,0.11478,2.10623,2.09813,88.39379,37.58636,1.29632,0,0.03502,0.02155,-1.11022302462516e-16,-1.88278,-2.4613
"43","2020_Q4",362.73734375,"Up",3.7266e+10,-3.2249e+10,5.017e+09,-3.838e+09,-3.83e+09,-8e+06,1.179e+09,-1.6e+07,-3.7e+07,2.1e+07,1.163e+09,1.163e+09,-3.11e+08,8.52e+08,8.52e+08,-1.4e+07,8.38e+08,8.38e+08,1.1774e+10,1.0826e+10,9.48e+08,1.507e+09,1.507e+09,1.101e+10,9.63e+08,2.5254e+10,2.1527e+10,3.4106e+10,4.951e+09,2.6478e+10,5.1732e+10,1.4059e+10,1.0813e+10,3.246e+09,7.223e+09,7.223e+09,2.2779e+10,7.598e+09,7.598e+09,4.152e+09,4.152e+09,1.175e+10,3.4529e+10,6.597e+09,4e+06,6.593e+09,1.1883e+10,-1.678e+09,1.6802e+10,4.01e+08,1.7203e+10,5.1732e+10,8.52e+08,3.82e+08,8.5e+07,8.9e+07,-6e+06,2e+06,5.79e+08,6.59e+08,-3.4e+07,-4.6e+07,1.898e+09,-6.98e+08,-6.98e+08,-6.98e+08,-1.9e+07,-1.85e+09,-2.87e+08,3.347e+09,-3.4e+07,-3.4e+07,-2.7e+07,2.999e+09,3.047e+09,3.047e+09,-7e+06,3.04e+09,1.561e+09,9.095e+09,1.753e+09,0.13463,0.03164,0.02249,0.04871,0.0162,2.09189,1.10865,2.00715,0.17581,1.89455,1.88801,84.25084,37.9859,3.96318,0.64885,0.03695,0.05757,0.34248,-1.71621,-2.27226
"44","2021_Q1",344.259016393443,"Down",5.3383e+10,-4.6401e+10,6.982e+09,-5.053e+09,-5.027e+09,-2.6e+07,1.929e+09,-6e+07,-5.1e+07,-9e+06,1.869e+09,1.869e+09,-4.65e+08,1.404e+09,1.404e+09,-1.5e+07,1.389e+09,1.389e+09,1.3305e+10,1.2277e+10,1.028e+09,1.55e+09,1.55e+09,1.2242e+10,1.023e+09,2.812e+10,2.1807e+10,2.1807e+10,5.629e+09,2.7436e+10,5.5556e+10,1.7777e+10,1.4172e+10,3.605e+09,6.972e+09,6.972e+09,2.4844e+10,7.514e+09,7.514e+09,4.493e+09,4.493e+09,1.2007e+10,3.6851e+10,6.702e+09,4e+06,6.698e+09,1.2879e+10,-1.297e+09,1.8284e+10,4.21e+08,1.8705e+10,5.5556e+10,1.404e+09,5.05e+08,3.63e+08,1.11e+08,1.09e+08,1.43e+08,1.97e+09,-1.056e+09,2.832e+09,1.94e+08,4.242e+09,-8.52e+08,-8.52e+08,-8.52e+08,-5.9e+07,-9.41e+08,-6.19e+08,-1.218e+09,-8.5e+07,-8.5e+07,4000000.00000003,-1.918e+09,1.383e+09,1.383e+09,6.8e+07,1.451e+09,2.434e+09,7.609e+09,4.017e+09,0.13079,0.03614,0.02602,0.07426,0.025,2.89201,1.13186,1.97011,0.13696,3.13526,3.12597,120.49631,41.27072,9.06719,1.39721,0.06518,0.13039,0.44564,-2.34018,-2.95283
"45","2021_Q2",374.80253968254,"Up",4.3208e+10,-3.7458e+10,5.75e+09,-4.32e+09,-4.32e+09,-38394919.6880738,1.43e+09,-1e+07,-3.9e+07,2.9e+07,1.42e+09,1.42e+09,-2.39e+08,1.181e+09,1.181e+09,-1.5e+07,1.166e+09,1.166e+09,1.4423e+10,1.359e+10,8.33e+08,1.646e+09,1.646e+09,1.4901e+10,1.126e+09,3.2096e+10,2.2288e+10,16667689350.8612,5.833e+09,2.8121e+10,6.0217e+10,2.06e+10,1.7014e+10,3.586e+09,1.1971e+10,1.1971e+10,3.2667e+10,7.529e+09,7.529e+09,4.712e+09,4.712e+09,1.2241e+10,4.4908e+10,6.729e+09,4e+06,6.725e+09,9.232e+09,-1.101e+09,1.486e+10,4.49e+08,1.5309e+10,6.0217e+10,1.181e+09,4.04e+08,3.93e+08,3.41e+08,-9e+06,6.1e+07,6.69e+08,-2.58e+09,2.785e+09,4.64e+08,2.647e+09,-8.93e+08,-8.93e+08,-8.93e+08,2.11e+08,-6.82e+08,-3.1e+08,4e+07,-8e+07,-8e+07,-3.5e+08,-7e+08,1.265e+09,1.265e+09,4.8e+07,1.313e+09,1.834e+09,7.625e+09,1.849e+09,0.13308,0.0331,0.02699,0.07616,0.01936,1.58576,0.98252,2.93344,0.12663,2.63234,2.62385,97.54556,33.54765,4.17427,0.69985,0.05339,0.06688,0.26587,-3.70665,-4.75385
"46","2021_Q3",436.57203125,"Up",4.4769e+10,-3.9078e+10,5.691e+09,-4.351e+09,-4.32e+09,-3.1e+07,1.34e+09,-2.1e+07,-4e+07,1.9e+07,1.319e+09,1.319e+09,-3.48e+08,9.71e+08,9.71e+08,-2e+07,9.51e+08,9.51e+08,9.254e+09,8.637e+09,6.17e+08,1.934e+09,1.934e+09,1.3865e+10,1.255e+09,2.6308e+10,2.2531e+10,19414690085.4259,6.079e+09,2.861e+10,5.4918e+10,1.8515e+10,1.4383e+10,4.132e+09,7.954e+09,7.954e+09,2.6564e+10,7.522e+09,7.522e+09,4.703e+09,4.703e+09,1.2225e+10,3.8789e+10,6.847e+09,4e+06,6.843e+09,9.766e+09,-9.61e+08,1.5652e+10,4.77e+08,1.6129e+10,5.4918e+10,9.71e+08,4.16e+08,1.67e+08,1.22e+08,-1.2e+07,5.7e+07,-1.516e+09,1.1e+09,-2.594e+09,-2.2e+07,3.8e+07,-5.73e+08,-5.73e+08,-5.73e+08,2.18e+08,-3.55e+08,-4.43e+09,-1.07e+08,-1.06e+08,-1.06e+08,-6999999.99999994,-4.65e+09,-4.967e+09,-4.967e+09,1.4e+07,-4.953e+09,1.756e+09,7.617e+09,14999999.9999998,0.12712,0.02993,0.02124,0.05896,0.01732,0.0157700000000003,0.99036,2.40492,0.1387,2.14696,2.14003,101.06964,35.33566,0.0338600000000007,10.00108,0.18915,0.000530000000000003,4.65825,-0.93223,-1.22164
