"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"35","2018_Q4",51.001746031746,"Up",145394000,-95256000,50138000,-68712000,-68712000,-18574000,-1340000,-11281000,9963000,-19914000,-19914000,-451999.999999985,-20366000,-20366000,-4560000,-4560000,1958989000,479891000,1479098000,8378000,111857000,111857000,2079224000,132003000,36686000,24027000,12659000,168689000,2247913000,88621000,13576000,75045000,14472000,157145000,157145000,260238000,624147000,523384000,523384000,1147531000,1407769000,2030451000,-1287369000,-32532000,710550000,840144000,2247913000,-26004000,-4707000,-4707000,-3244000,-1463000,-302964000,-307671000,8076000,8076000,8076000,-325599000,-325599000,-325599000,638619000,0.34484,-0.12775,-0.03136,-0.00542999999999998,-0.00203,7.9897,1.67563,0.28409,-0.03182,-0.03182,1.01451,4.95799,-0.00227999999999999,71.087
"36","2019_Q1",64.5065573770492,"Up",192115000,299333000,491448000,-480663000,-66059000,10785000,192000,-11457000,11686000,10977000,10767000,291965000,302732000,302732000,320076000,320076000,2084072000,278820000,1805252000,8582000,115232000,115232000,2207886000,132160000,327738000,24032000,12910000,459898000,2667784000,106289000,28660000,76771000,13749000,160256000,160256000,280294000,632971000,567359000,567359000,1200330000,1480624000,2047388000,-967293000,-32016000,1048079000,1187160000,2667784000,115508000,1930000,1930000,-1387000,3317000,-324093000,-326207000,429711000,429711000,9645999.99999994,-201053000,-201053000,-201071000,646720000,2.55809,0.05614,1.66606,0.26961,0.11998,7.87704,1.2472,0.24242,2.42655,2.30489,1.45645,7.94565,0.1333,-133.27325
"37","2019_Q2",70.6887301587302,"Up",297214000,-107458000,189756000,-68221000,-68221000,121535000,396000,-11599000,12142000,121931000,121931000,-31047000,90884000,90884000,84443000,84443000,2253754000,375811000,1877943000,11057000,109138000,109138000,2373949000,133519000,328421000,25220000,25954000,461940000,2835889000,93127000,13332000,61394000,14500000,144846000,144846000,252473000,653580000,542416000,542416000,1195996000,1448469000,2118109000,-882850000,-27608000,1207651000,1387420000,2835889000,107705000,-4261000,-4261000,-3229000,-1032000,-65913000,-70174000,67057000,67057000,59460000,96991000,96991000,96991000,668080000,0.63845,0.40891,0.28412,0.06086,0.02978,9.40278,1.044,0.23558,0.60934,0.59661,2.14468,8.71434,0.0325,-13.04706
"38","2019_Q3",65.175,"Down",163812000,-107530000,56282000,-75111000.0000001,-75111000,-18829000,1890000,-11803000,13738000,-16939000,-16939000,6928000,-10011000,-10011000,-875999.99999997,-875999.99999997,2262031000,272523000,1989508000,18505000,133686000,133686000,2414222000,135349000,328194000,26056000,25778000,463543000,2877765000,89393000,15628000,69730000,14432000,137388000,137388000,241213000,662766000,516584000,516584000,1179350000,1420563000,2177362000,-883726000,-24252000,1269384000,1457202000,2877765000,-27111000,-5292000,-5292000,-4014000,-1278000,-105395000,-110687000,34946999.9999999,34946999.9999999,34510000,-103288000,-103288000,-103288000,677198000,0.34358,-0.11494,-0.00535000000000013,-6e-04,-3e-04,10.00867,0.97486,0.23532,-0.00624999999999987,-0.00610999999999995,1.16795,9.05048,-0.00033,84.16979
"39","2019_Q4",59.58015625,"Down",167892000,-105333000,62559000,-60036000,-60036000,2523000,993000,-12002000,13135000,3516000,3516000,14915000,18431000,18431000,26163000,26163000,2220830000,247939000,1972891000,19375000,167886000,167886000,2408091000,148717000,338181000,26985000,26199000,486898000,2894989000,92110000,13146000,77019000,2060000,137607000,137607000,231777000,672267000,492979000,492979000,1165246000,1397023000,2219231000,-857563000,-25375000,1336293000,1497966000,2894989000,-12806000,-17786000,-17786000,-15900000,-1886000,19182000,1396000,10133000,10133000,-13174000,-24584000,-24584000,-24584000,674327000,0.37261,0.01503,0.15583,0.01747,0.00904,10.38969,0.93261,0.23293,0.18613,0.18237,1.19443,9.50679,0.00982,-612.96195
"40","2020_Q1",55.7379032258064,"Down",493681000,-149751000,343930000,-83276000,-83276000,260654000,35608000,22964000,12998000,296262000,230258000,-42303000,187955000,187955000,168413000,168413000,2499544000,683287000,1816257000,18180000,202873000,202873000,2720597000,153651000,358864000,25674000,27633000,512515000,3233112000,152707000,16067000,104126000,2026000,118272000,118272000,273005000,785500000,490060000,490060000,1275560000,1548565000,2203918000,-707534000,-25290000,1471094000,1684547000,3233112000,277839000,-8943000,-8943000,-7762000,-1181000,157134000,138191000,-26872000,7520000,19225000,435255000,435255000,435348000,787526000,0.69666,0.52798,0.34114,0.09998,0.05209,9.96537,0.91928,0.24358,1.19788,1.17751,3.51144,10.46357,0.05686,-6.56816
"41","2020_Q2",55.6288888888889,"Down",133367000,-2548000,130819000,-191946000,-74994000,-61127000,8173000,-2207000,10479000,-52954000,-52954000,3072000.00000001,-49882000,-49882000,-39628000,-39628000,2384087000,486195000,1897892000,22885000,151073000,151073000,2558045000,163952000,368916000,26750000,32552000,532868000,3090913000,133064000,21174000,78944000,4150000,120811000,120811000,258025000,794635000,467842000,467842000,1262477000,1520502000,2233783000,-846309000,-27235000,1360239000,1570411000,3090913000,-7592000,-9984000,-9984000,-9080000,-904000,-85023000,-95007000,-82898000,7652000,-94501000,-197100000,-197100000,-197092000,798785000,0.98089,-0.45834,-0.29713,-0.02523,-0.01282,9.91394,0.96822,0.25843,-0.28422,-0.28422,0.95652,9.75578,-0.01397,25.93456
"42","2020_Q3",55.5484375,"Down",145538000,-3013000,142525000,-194277000,-72015000,-51752000,6389000,-2441000,8980000,-45363000,-35476000,-2084000,-37560000,-37560000,-25636000,-25636000,2348616000,530181000,1818435000,23722000,158849000,158849000,2531187000,172618000,375145000,27700000,41465000,547763000,3078950000,125974000,7407000,90624000,4966000,100401000,100401000,231341000,804238000,448576000,448576000,1252814000,1484155000,2271769000,-878154000,-16440000,1377175000,1594795000,3078950000,-44218000,-11217000,-11217000,-9098000,-2119000,90912000,79695000,-7650000,-7652000,8435000,43912000,43912000,43986000,809204000,0.9793,-0.35559,-0.17615,-0.01607,-0.00833,10.94137,0.93062,0.26282,-0.18396,-0.18396,1.04438,9.88264,-0.00899,29.74594
"43","2020_Q4",49.833125,"Down",160078000,-367383000,-207305000,170768000,-68446000,-36537000,4153000,-2428000,6454000,-32384000,-31549000,-5065000,-36614000,-36614000,-24467000,-24467000,2329204000,633059000,1696145000,22172000,185605000,185605000,2536981000,181518000,377202000,28274000,41191000,558720000,3095701000,134291000,16222000,109140000,5849000.00000001,104431000,104431000,244571000,814815000,429931000,429931000,1244746000,1489317000,2311819000,-909098000,-19572000,1383149000,1606384000,3095701000,-10275000,-8770000,-8770000,-11793000,3023000,114913000,101940000,0,28335115.7569481,10937000,102602000,102602000,102878000,820664000,-1.29502,-0.22824,-0.15284,-0.01523,-0.0079,10.37319,0.92712,0.2651,-0.17513,-0.17513,1.1458,9.90021,-0.00855999999999999,41.28801
"44","2021_Q1",55.7713114754098,"Up",290281000,-174080000,116201000,-138867000,-138867000,-22666000,2275000,-2434000,4649000,-20391000,-14573000,-341114000,-355687000,-355687000,-354532000,-354532000,1892375000,397664000,1494711000,21965000,216367000,216367000,2130707000,181077000,77971000,28494076.2571872,77971000,259048000,2389755000,174412000,17199000,155889000,316110000,108376000,108376000,598898000,623529000,424046000,424046000,1047575000,1646473000,1895659000,-1131306000,-21071000,743282000,743282000,2389755000,97977000,-11077000,-11077000,-5149000,-5928000,194723000,187849000,52036000,52036000,-521480000,-235654000,-235654000,-235395000,939639000,0.40031,-0.07808,-1.22134,-0.47698,-0.14835,3.55771,2.21514,0.39319,-2.53315,-2.53315,2.07407,5.31079,-0.16827,42.03371
"45","2021_Q2",39.1684126984127,"Down",111607000,-2578000,109029000,-2.01e+08,-61199000,-91971000,2232000,-2414000,4643000,-89739000,-89739000,-130000.00000006,-89869000,-89869000,-89869000,-89869000,1819995000,414155000,1405840000,22199000,147224000,147224000,1989418000,180413000,78720000,28795000,49925000,259133000,2248551000,118861000,9506000,108029000,69504000,106740000,106740000,295105000,870916000,401966000,401966000,1272882000,1567987000,1925942000,-1221175000,-24203000,680564000,680564000,2248551000,-54662000,-3e+06,-3e+06,-1772000,-1228000,81856000,78856000,7760000,7760000,-7577000,16617000,16617000,16491000,940420000,0.9769,-0.82406,-0.80523,-0.13205,-0.03997,6.74139,2.30395,0.41823,-0.63841,-0.63841,0.79283,4.83458,-0.04442,9.56361
"46","2021_Q3",37.67890625,"Down",125750000,-2959000,122791000,-195760000,-56454000,-72969000,-8452000,-2357000,2721000,-81421000,-80548000,-327000,-80875000,-80875000,-80875000,-80875000,2059270000,565119000,1494151000,24099000,155049000,155049000,2238418000,179316000,79335000,29373000,49962000,258651000,2497069000,121905000,14658000,105372000,7972000,163948000,163948000,293825000,1240696000,379874000,379874000,1620570000,1914395000,1910520000,-1302050000,-25796000,582674000,582674000,2497069000,-62652000,-6312000,-6312000,-4358000,-1954000,-94718000,-101030000,-7760000,-7760000,314542000,150860000,150860000,150964000,1248668000,0.97647,-0.58027,-0.64314,-0.1388,-0.03239,7.6182,3.28553,0.50005,-0.57452,-0.57452,0.8933,4.13919,-0.03657,11.10885
"47","2021_Q4",31.47640625,"Down",133093000,-3079000,130014000,-215863000,-31093000,-85849000,-1937000,-2340000,872000,-87786000,-83773000,1307000.00000001,-82466000,-82466000,-82466000,-82466000,1987099000,632953000,1354146000,22930000,145711000,145711000,2155740000,180144000,79009000,29242646.2270411,79009000,259153000,2414893000,116808000,8357000,108001000,65045000,97925000,97925000,279778000,1241692000,362887000,362887000,1604579000,1884357000,1942489000,-1384516000,-27437000,530536000,530536000,2414893000,-55574000,-4600000,-8062088.52552082,-5198907.84046489,-2863180.68505593,126571000,121971000,3964822.29231221,3195993.09536735,1458000,67855000,67855000,67834000,1306737000,0.97687,-0.64503,-0.61961,-0.15544,-0.03415,7.70518,3.5518,0.54112,-0.58504,-0.58504,0.9442,3.76379,-0.03748,7.9251
"48","2022_Q1",32.7316129032258,"Up",440006000,-645679000,-205673000,426276000,-37601000,220603000,7719000,-2238000,1808000,228322000,224912000,-299000,224613000,224613000,224613000,224613000,2114973000,869191000,1245782000,24806000,205270000,205270000,2345049000,178069000,88572000,29005000,59567000,266641000,2611690000,139310000,11904000,127370000,3526000,97714000,97714000,240550000,1247524000,351879000,351879000,1599403000,1839953000,1964308000,-1159903000,-32668000,771737000,771737000,2611690000,203687000,-3989000,-5872301.7889678,-3966286.80756857,-1906014.98139923,106283000,95109000,11565000,11565000,-62490000,236306000,236306000,236238000,1251050000,-0.46743,0.50136,0.51048,0.29105,0.086,9.7487,2.38417,0.47902,1.58533,1.58533,3.10559,5.44697,0.09459,-3.91619
"49","2022_Q2",37.7082258064516,"Up",141919000,-4170000,137749000,-195253000,-34127000,-57504000,58000,-2122000,1993000,-57446000,-64071000,-1094000,-65165000,-65165000,-65165000,-65165000,2052393000,542513000,1509880000,24032000,176699000,176699000,2253124000,177724000,88244000,29295000,58949000,265968000,2519092000,132807000,16125000,115781000,4205999.99999999,91437000,91437000,228450000,1247930000,333138000,333138000,1581068000,1809518000,1983220000,-1225068000,-48578000,709574000,709574000,2519092000,-31650000,-3531000,-3531000,-2705000,-826000,-284018000,-287549000,1848000,1848000,-7325000,-326524000,-326524000,-326678000,1252136000,0.97062,-0.40519,-0.45917,-0.0918399999999999,-0.02587,9.86266,2.55015,0.49706,-0.46216,-0.40728,1.00652,5.03244,-0.0284,13.91654
"50","2022_Q3",42.135625,"Up",133791000,-4744000,129047000,-214560000,-33802000,-85513000,-11024000,-2130000,3403000,-96537000.0000001,-102875000,-2260000,-105135000,-105135000,-105135000,-105135000,2021827000,521917000,1499910000,19811000,149510000,149510000,2191148000,177015000,87970000,29054000,58916000,264985000,2456133000,169686000,10351000,159321000,4732000,93393000,93393000,267811000,1248400000,315196000,315196000,1563596000,1831407000,2008936000,-1330203000,-54007000,624726000,624726000,2456133000,-18096000,-4502000,-4502000,-3335000,-1167000,1198000,-3304000,-1848000,-1848000,1215000.00000001,-20185000,-20185000,-20596000,1253132000,0.96454,-0.63915,-0.78582,-0.16829,-0.04281,8.1817,2.93154,0.51021,-0.74564,-0.65709,0.94887,4.43068,-0.04794,8.98922
